Date,rate_TSM_5D,rate_VOO_20D,Max_Divergence
2022-11-10,-40.5,-14.86,-228.49
2022-11-11,-38.49,-14.39,-229.16
2022-11-14,-36.7,-14.06,-216.2
2022-11-15,-33.94,-13.74,-169.98
2022-11-16,-31.36,-13.43,-161.52
2022-11-17,-29.46,-13.09,-138.69
2022-11-18,-27.94,-12.84,-140.8
2022-11-21,-26.66,-12.64,-153.43
2022-11-22,-26.28,-12.46,-159.44
2022-11-23,-25.83,-12.22,-180.86
2022-11-25,-25.84,-11.96,-186.15
2022-11-28,-26.39,-11.86,-166.76
2022-11-29,-26.5,-11.75,-161.91
2022-11-30,-26.52,-11.5,-215.18
2022-12-01,-26.37,-11.13,-218.94
2022-12-02,-26.29,-10.73,-224.84
2022-12-05,-25.79,-10.46,-169.98
2022-12-06,-25.66,-10.29,-154.2
2022-12-07,-26.14,-10.16,-152.71
2022-12-08,-26.43,-9.91,-156.81
2022-12-09,-26.57,-9.91,-142.71
2022-12-12,-26.77,-9.89,-176.07
2022-12-13,-26.61,-9.8,-195.31
2022-12-14,-26.48,-9.78,-183.05
2022-12-15,-27.03,-9.83,-148.12
2022-12-16,-27.8,-9.92,-136.98
2022-12-19,-28.55,-10.07,-125.37
2022-12-20,-29.4,-10.22,-123.91
2022-12-21,-29.9,-10.36,-135.71
2022-12-22,-30.31,-10.59,-127.16
2022-12-23,-30.56,-10.79,-137.83
2022-12-27,-30.87,-10.94,-135.8
2022-12-28,-31.33,-11.14,-126.65
2022-12-29,-31.53,-11.39,-132.26
2022-12-30,-31.67,-11.67,-138.39
2023-01-03,-31.68,-11.94,-135.66
2023-01-04,-31.17,-12.1,-130.66
2023-01-05,-30.54,-12.25,-118.83
2023-01-06,-30.01,-12.29,-136.2
2023-01-09,-28.8,-12.37,-117.54
2023-01-10,-27.48,-12.39,-121.74
2023-01-11,-26.48,-12.41,-141.27
2023-01-12,-24.4,-12.45,-100.0
2023-01-13,-22.79,-12.45,-109.25
2023-01-17,-21.19,-12.34,-85.22
2023-01-18,-19.68,-12.26,-56.92
2023-01-19,-18.46,-12.16,-56.98
2023-01-20,-17.72,-11.98,-57.74
2023-01-23,-16.08,-11.8,-28.86
2023-01-24,-15.06,-11.57,-38.61
2023-01-25,-14.51,-11.36,-61.04
2023-01-26,-13.58,-11.09,-68.24
2023-01-27,-13.16,-10.75,-75.51
2023-01-30,-13.63,-10.54,-55.1
2023-01-31,-13.95,-10.26,-84.86
2023-02-01,-13.51,-9.92,-88.65
2023-02-02,-12.97,-9.55,-106.48
2023-02-03,-12.7,-9.18,-99.03
2023-02-06,-12.84,-8.93,-115.9
2023-02-07,-12.45,-8.62,-113.07
2023-02-08,-12.48,-8.39,-89.07
2023-02-09,-12.4,-8.25,-43.72
2023-02-10,-12.24,-8.12,-63.46
2023-02-13,-11.51,-7.96,-76.54
2023-02-14,-10.97,-7.79,-53.14
2023-02-15,-11.17,-7.54,-125.67
2023-02-16,-12.07,-7.31,-113.75
2023-02-17,-12.85,-7.16,-115.76
2023-02-21,-14.14,-7.15,-101.51
2023-02-22,-15.82,-7.13,-106.44
2023-02-23,-16.23,-7.1,-85.61
2023-02-24,-16.64,-7.15,-86.48
2023-02-27,-17.06,-7.2,-98.76
2023-02-28,-17.15,-7.21,-94.1
2023-03-01,-16.82,-7.29,-76.08
2023-03-02,-16.87,-7.4,-81.99
2023-03-03,-16.51,-7.51,-104.18
2023-03-06,-16.05,-7.56,-109.02
2023-03-07,-15.68,-7.66,-84.39
2023-03-08,-15.27,-7.8,-66.67
2023-03-09,-15.3,-7.97,-57.94
2023-03-10,-15.75,-8.17,-54.13
2023-03-13,-16.07,-8.39,-48.38
2023-03-14,-15.99,-8.58,-55.1
2023-03-15,-16.72,-8.8,-69.8
2023-03-16,-16.64,-8.95,-71.19
2023-03-17,-16.24,-9.1,-53.19
2023-03-20,-15.82,-9.21,-60.67
2023-03-21,-15.22,-9.18,-55.2
2023-03-22,-14.13,-9.22,-30.02
2023-03-23,-13.15,-9.28,-13.37
2023-03-24,-12.53,-9.28,-34.39
2023-03-27,-12.42,-9.28,-58.69
2023-03-28,-12.73,-9.28,-54.38
2023-03-29,-12.7,-9.21,-56.16
2023-03-30,-13.1,-9.15,-71.35
2023-03-31,-13.05,-9.08,-99.17
2023-04-03,-12.59,-8.99,-114.93
2023-04-04,-12.28,-8.86,-106.74
2023-04-05,-12.71,-8.75,-128.73
2023-04-06,-13.07,-8.54,-141.51
2023-04-10,-13.76,-8.27,-165.13
2023-04-11,-14.43,-8.0,-161.99
2023-04-12,-15.42,-7.81,-182.29
2023-04-13,-16.01,-7.53,-246.51
2023-04-14,-16.58,-7.34,-231.15
2023-04-17,-16.78,-7.08,-237.7
2023-04-18,-16.98,-6.86,-238.8
2023-04-19,-16.92,-6.7,-255.9
2023-04-20,-16.49,-6.49,-184.51
2023-04-21,-16.84,-6.28,-257.36
2023-04-24,-17.47,-6.09,-278.96
2023-04-25,-18.57,-5.96,-239.81
2023-04-26,-19.51,-5.84,-222.86
2023-04-27,-20.57,-5.71,-292.18
2023-04-28,-20.77,-5.57,-337.5
2023-05-01,-20.81,-5.49,-339.69
2023-05-02,-20.6,-5.49,-278.51
2023-05-03,-20.43,-5.49,-245.89
2023-05-04,-20.38,-5.51,-202.38
2023-05-05,-20.17,-5.47,-266.99
2023-05-08,-19.87,-5.43,-259.3
2023-05-09,-19.48,-5.42,-242.0
2023-05-10,-19.07,-5.36,-271.96
2023-05-11,-19.08,-5.37,-289.1
2023-05-12,-19.37,-5.38,-280.37
2023-05-15,-19.35,-5.39,-262.1
2023-05-16,-19.19,-5.43,-219.29
2023-05-17,-18.06,-5.42,-191.67
2023-05-18,-16.31,-5.33,-218.36
2023-05-19,-14.58,-5.26,-207.63
2023-05-22,-13.43,-5.18,-234.49
2023-05-23,-12.57,-5.1,-185.83
2023-05-24,-12.71,-5.04,-154.45
2023-05-25,-11.14,-5.01,20.43
2023-05-26,-9.12,-4.96,54.31
2023-05-30,-7.17,-4.9,20.0
2023-05-31,-5.62,-4.83,-51.01
2023-06-01,-3.94,-4.67,-87.96
2023-06-02,-4.3,-4.42,-245.62
2023-06-05,-5.25,-4.25,-255.87
2023-06-06,-5.69,-4.07,-210.69
2023-06-07,-5.4,-3.9,-138.74
2023-06-08,-5.25,-3.71,-263.91
2023-06-09,-4.65,-3.5,-115.38
2023-06-12,-3.19,-3.25,444.44
2023-06-13,-2.06,-2.98,84.21
2023-06-14,-0.9,-2.67,173.33
2023-06-15,-0.08,-2.36,-141.86
2023-06-16,0.18,-2.11,-192.59
2023-06-20,-0.36,-1.88,-298.88
2023-06-21,-1.27,-1.67,-1191.43
2023-06-22,-2.01,-1.4,-453.52
2023-06-23,-2.59,-1.12,-8850.0
2023-06-26,-3.37,-0.91,-1046.67
2023-06-27,-3.69,-0.7,-625.0
2023-06-28,-3.81,-0.5,-740.58
2023-06-29,-4.24,-0.26,-786.76
2023-06-30,-4.41,-0.02,-338.92
2023-07-03,-3.84,0.16,-217.0
2023-07-05,-4.03,0.34,-342.7
2023-07-06,-4.3,0.46,-694.85
2023-07-07,-4.37,0.6,-778.38
2023-07-10,-4.58,0.71,-638.61
2023-07-11,-4.92,0.86,-346.06
2023-07-12,-4.38,0.99,-165.57
2023-07-13,-3.23,1.13,-101.23
2023-07-14,-2.32,1.27,-113.84
2023-07-17,-1.38,1.36,-121.81
2023-07-18,-1.03,1.51,-153.36
2023-07-19,-1.19,1.69,-152.76
2023-07-20,-2.63,1.87,-288.08
2023-07-21,-4.11,2.02,-302.33
2023-07-24,-5.33,2.24,-260.23
2023-07-25,-5.86,2.49,-208.55
2023-07-26,-6.55,2.69,-226.64
2023-07-27,-6.27,2.85,-246.87
2023-07-28,-5.59,3.06,-191.74
2023-07-31,-5.42,3.22,-220.76
2023-08-01,-5.75,3.35,-242.06
2023-08-02,-6.42,3.44,-358.07
2023-08-03,-7.2,3.56,-395.47
2023-08-04,-8.05,3.67,-397.6
2023-08-07,-8.54,3.8,-334.44
2023-08-08,-9.18,3.88,-395.78
2023-08-09,-9.4,3.9,-457.19
2023-08-10,-9.36,3.88,-432.18
2023-08-11,-9.94,3.87,-509.19
2023-08-14,-10.4,3.85,-434.98
2023-08-15,-10.78,3.76,-580.74
2023-08-16,-11.08,3.63,-701.03
2023-08-17,-11.51,3.5,-946.04
2023-08-18,-11.62,3.38,-935.17
2023-08-21,-11.68,3.26,-686.84
2023-08-22,-11.61,3.12,-764.33
2023-08-23,-11.29,3.01,-515.23
2023-08-24,-11.18,2.89,-830.07
2023-08-25,-10.92,2.75,-648.73
2023-08-28,-10.73,2.62,-524.48
2023-08-29,-10.37,2.55,-382.54
2023-08-30,-10.3,2.56,-366.12
2023-08-31,-10.17,2.57,-393.3
2023-09-01,-10.11,2.61,-388.77
2023-09-05,-10.0,2.6,-388.36
2023-09-06,-10.39,2.57,-516.67
2023-09-07,-11.13,2.55,-639.36
2023-09-08,-11.79,2.54,-627.1
2023-09-11,-12.45,2.56,-524.54
2023-09-12,-13.12,2.53,-578.68
2023-09-13,-13.29,2.55,-534.15
2023-09-14,-13.02,2.64,-426.76
2023-09-15,-13.09,2.69,-678.37
2023-09-18,-13.23,2.75,-668.75
2023-09-19,-13.67,2.77,-743.64
2023-09-20,-14.41,2.76,-1228.17
2023-09-21,-15.56,2.63,-8825.0
2023-09-22,-16.24,2.53,-3895.45
2023-09-25,-16.73,2.43,-56633.33
2023-09-26,-17.47,2.23,-1175.68
2023-09-27,-17.82,1.99,-1117.81
2023-09-28,-17.62,1.74,-1237.3
2023-09-29,-17.38,1.49,-1000.0
2023-10-02,-17.05,1.23,-945.58
2023-10-03,-16.78,0.93,-531.41
2023-10-04,-16.48,0.69,-687.44
2023-10-05,-16.3,0.46,-642.33
2023-10-06,-15.79,0.27,-1267.33
2023-10-09,-15.53,0.09,-3816.67
2023-10-10,-14.54,-0.04,-9064.29
2023-10-11,-13.53,-0.15,-2103.57
2023-10-12,-12.5,-0.34,-35966.67
2023-10-13,-12.28,-0.49,-2207.27
2023-10-16,-11.85,-0.59,-2646.81
2023-10-17,-11.78,-0.68,-2637.5
2023-10-18,-12.24,-0.8,-1490.59
2023-10-19,-12.14,-0.87,-516.07
2023-10-20,-11.98,-0.99,-311.07
2023-10-23,-12.0,-1.15,-294.44
2023-10-24,-11.88,-1.19,-394.02
2023-10-25,-12.25,-1.3,-316.49
2023-10-26,-13.3,-1.48,-220.12
2023-10-27,-14.32,-1.67,-221.78
2023-10-30,-15.29,-1.81,-306.73
2023-10-31,-16.32,-1.85,-364.62
2023-11-01,-16.23,-1.87,-500.8
2023-11-02,-15.6,-1.8,-1677.14
2023-11-03,-14.44,-1.74,-5994.74
2023-11-06,-13.14,-1.7,-2847.37
2023-11-07,-11.93,-1.67,-1733.85
2023-11-08,-11.14,-1.66,-1608.22
2023-11-09,-10.93,-1.66,-113600.0
2023-11-10,-9.85,-1.56,-483.55
2023-11-13,-9.13,-1.51,-578.87
2023-11-14,-7.89,-1.37,-232.34
2023-11-15,-6.59,-1.15,-226.61
2023-11-16,-5.27,-0.88,-228.57
2023-11-17,-4.86,-0.54,-197.93
2023-11-20,-4.18,-0.16,-173.65
2023-11-21,-4.28,0.18,-212.39
2023-11-22,-4.31,0.6,-197.09
2023-11-24,-4.44,1.09,-212.11
2023-11-27,-4.9,1.59,-229.0
2023-11-28,-5.28,2.04,-210.86
2023-11-29,-5.19,2.45,-194.07
2023-11-30,-5.44,2.83,-216.21
2023-12-01,-5.28,3.15,-183.1
2023-12-04,-5.3,3.39,-219.96
2023-12-05,-5.52,3.63,-226.57
2023-12-06,-5.7,3.83,-212.92
2023-12-07,-5.3,4.07,-173.15
2023-12-08,-4.96,4.36,-150.95
2023-12-11,-4.2,4.59,-138.73
2023-12-12,-3.27,4.84,-126.52
2023-12-13,-2.45,5.07,-115.78
2023-12-14,-1.66,5.31,-99.63
2023-12-15,-1.24,5.52,-110.42
2023-12-18,-0.86,5.76,-105.45
2023-12-19,-0.42,5.99,-95.31
2023-12-20,-0.82,6.14,-143.28
2023-12-21,-0.99,6.32,-110.05
2023-12-22,-0.88,6.51,-103.03
2023-12-26,-0.59,6.72,-88.93
2023-12-27,-0.44,6.94,-87.03
2023-12-28,0.46,7.15,-86.5
2023-12-29,0.74,7.34,-93.69
2024-01-02,0.44,7.47,-121.81
2024-01-03,-0.38,7.59,-140.9
2024-01-04,-1.43,7.7,-156.43
2024-01-05,-2.4,7.83,-149.18
2024-01-08,-2.73,8.0,-112.2
2024-01-09,-2.66,8.14,-116.47
2024-01-10,-2.53,8.3,-126.79
2024-01-11,-2.13,8.43,-122.42
2024-01-12,-1.81,8.5,-122.1
2024-01-16,-1.92,8.53,-118.27
2024-01-17,-1.72,8.55,-104.63
2024-01-18,0.64,8.58,1.3
2024-01-19,3.15,8.64,1.26
2024-01-22,5.43,8.79,-11.47
2024-01-23,7.83,8.91,-3.97
2024-01-24,10.45,9.03,16.41
2024-01-25,11.13,9.15,11.46
2024-01-26,11.72,9.27,18.03
2024-01-29,12.48,9.42,9.04
2024-01-30,12.85,9.57,2.25
2024-01-31,12.17,9.69,-11.29
2024-02-01,11.52,9.88,-17.02
2024-02-02,11.19,10.14,-5.32
2024-02-05,11.48,10.38,21.21
2024-02-06,12.05,10.55,22.35
2024-02-07,14.13,10.77,50.42
2024-02-08,17.58,10.97,103.81
2024-02-09,20.48,11.19,92.52
2024-02-12,22.38,11.41,77.28
2024-02-13,23.63,11.57,75.35
2024-02-14,24.29,11.81,75.15
2024-02-15,23.49,12.04,64.86
2024-02-16,22.34,12.18,54.59
2024-02-20,21.37,12.29,51.14
2024-02-21,20.95,12.39,50.04
2024-02-22,20.91,12.6,52.54
2024-02-23,21.01,12.77,54.9
2024-02-26,21.76,12.93,66.19
2024-02-27,22.37,13.07,50.78
2024-02-28,22.76,13.21,44.57
2024-02-29,22.68,13.44,48.9
2024-03-01,23.42,13.65,70.08
2024-03-04,24.75,13.82,97.45
2024-03-05,25.86,13.94,91.28
2024-03-06,28.44,14.08,124.88
2024-03-07,32.2,14.24,153.88
2024-03-08,34.54,14.36,147.72
2024-03-11,34.68,14.45,104.59
2024-03-12,36.3,14.6,118.06
2024-03-13,36.32,14.81,108.99
2024-03-14,34.51,14.96,99.19
2024-03-15,32.8,15.04,94.06
2024-03-18,32.42,15.18,85.19
2024-03-19,30.87,15.38,70.21
2024-03-20,30.01,15.6,71.81
2024-03-21,30.02,15.74,82.14
2024-03-22,30.65,15.85,92.07
2024-03-25,31.27,15.98,93.19
2024-03-26,31.96,16.07,88.56
2024-03-27,31.92,16.22,68.92
2024-03-28,31.3,16.34,65.72
2024-04-01,31.36,16.41,95.22
2024-04-02,31.24,16.45,96.11
2024-04-03,31.69,16.55,104.89
2024-04-04,32.11,16.56,107.58
2024-04-05,32.96,16.57,103.67
2024-04-08,33.2,16.61,111.15
2024-04-09,34.16,16.66,124.05
2024-04-10,34.94,16.61,144.13
2024-04-11,36.33,16.61,138.17
2024-04-12,36.54,16.54,132.43
2024-04-15,36.05,16.44,139.15
2024-04-16,35.01,16.3,140.42
2024-04-17,33.68,16.1,147.3
2024-04-18,30.89,15.85,100.89
2024-04-19,28.12,15.54,79.56
2024-04-22,26.18,15.29,81.58
2024-04-23,24.99,15.13,88.31
2024-04-24,23.86,14.97,86.27
2024-04-25,24.67,14.76,118.29
2024-04-26,26.66,14.6,112.62
2024-04-29,28.3,14.48,108.28
2024-04-30,29.03,14.3,128.67
2024-05-01,29.3,14.09,117.39
2024-05-02,29.14,13.99,109.72
2024-05-03,29.64,13.91,123.66
2024-05-06,30.33,13.88,115.11
2024-05-07,30.93,13.86,102.99
2024-05-08,32.53,13.89,117.32
2024-05-09,33.74,13.91,104.31
2024-05-10,35.17,14.01,138.22
2024-05-13,35.84,14.18,122.49
2024-05-14,37.86,14.39,145.17
2024-05-15,40.09,14.7,144.76
2024-05-16,41.85,15.01,131.0
2024-05-17,42.3,15.37,126.07
2024-05-20,43.64,15.7,133.97
2024-05-21,43.96,15.97,130.64
2024-05-22,44.06,16.23,147.24
2024-05-23,44.97,16.46,164.11
2024-05-24,46.53,16.69,167.48
2024-05-28,47.62,16.89,163.15
2024-05-29,47.75,17.15,148.97
2024-05-30,47.15,17.39,152.75
2024-05-31,46.02,17.64,128.92
2024-06-03,44.92,17.8,147.23
2024-06-04,43.48,17.92,132.77
2024-06-05,44.92,18.1,165.71
2024-06-06,46.46,18.27,161.95
2024-06-07,48.78,18.41,175.04
2024-06-10,51.23,18.56,187.38
2024-06-11,53.68,18.72,172.21
2024-06-12,55.54,18.9,191.5
2024-06-13,57.55,19.03,188.2
2024-06-14,59.05,19.17,185.13
2024-06-17,60.74,19.34,192.74
2024-06-18,63.32,19.53,198.59
2024-06-20,63.77,19.69,185.12
2024-06-21,63.96,19.85,182.67
2024-06-24,63.09,20.04,160.64
2024-06-25,62.23,20.2,175.75
2024-06-26,60.83,20.37,172.06
2024-06-27,60.13,20.59,168.29
2024-06-28,60.11,20.81,187.03
2024-07-01,60.75,20.98,177.62
2024-07-02,61.12,21.18,183.97
2024-07-03,62.83,21.4,206.2
2024-07-05,64.91,21.58,204.49
2024-07-08,67.06,21.76,213.76
2024-07-09,69.3,21.96,204.11
2024-07-10,72.13,22.18,217.04
2024-07-11,72.5,22.35,202.73
2024-07-12,73.11,22.5,206.07
2024-07-15,72.85,22.65,194.37
2024-07-16,73.11,22.82,192.32
2024-07-17,69.84,22.89,155.2
2024-07-18,67.88,22.92,163.03
2024-07-19,64.44,22.95,147.26
2024-07-22,61.95,23.02,151.96
2024-07-23,59.41,23.1,155.29
2024-07-24,57.48,23.06,140.75
2024-07-25,55.52,22.98,148.07
2024-07-26,54.81,22.94,142.9
