Date,rate_LUCD_5D,rate_VOO_20D,Max_Divergence
2022-11-08,-43.82,-15.4,-223.36
2022-11-09,-42.22,-15.19,-132.85
2022-11-10,-40.56,-14.86,-231.82
2022-11-11,-38.36,-14.39,-226.75
2022-11-14,-35.87,-14.06,-194.29
2022-11-15,-35.0,-13.74,-296.69
2022-11-16,-36.38,-13.43,-299.81
2022-11-17,-37.65,-13.09,-287.87
2022-11-18,-39.57,-12.84,-302.29
2022-11-21,-41.3,-12.64,-271.3
2022-11-22,-41.72,-12.46,-331.64
2022-11-23,-41.24,-12.22,-341.14
2022-11-25,-40.34,-11.96,-314.29
2022-11-28,-39.68,-11.86,-270.48
2022-11-29,-39.86,-11.75,-284.71
2022-11-30,-40.29,-11.5,-448.68
2022-12-01,-40.69,-11.13,-442.53
2022-12-02,-40.86,-10.73,-388.72
2022-12-05,-40.97,-10.46,-317.02
2022-12-06,-41.14,-10.29,-290.39
2022-12-07,-41.24,-10.16,-306.43
2022-12-08,-41.07,-9.91,-304.02
2022-12-09,-41.73,-9.91,-286.07
2022-12-12,-42.87,-9.89,-369.93
2022-12-13,-43.9,-9.8,-424.44
2022-12-14,-44.75,-9.78,-410.63
2022-12-15,-46.45,-9.83,-325.77
2022-12-16,-48.15,-9.92,-296.07
2022-12-19,-49.3,-10.07,-279.09
2022-12-20,-50.16,-10.22,-273.62
2022-12-21,-50.89,-10.36,-318.78
2022-12-22,-51.75,-10.59,-295.39
2022-12-23,-53.03,-10.79,-330.4
2022-12-27,-55.36,-10.94,-363.02
2022-12-28,-56.96,-11.14,-306.73
2022-12-29,-57.94,-11.39,-336.39
2022-12-30,-58.73,-11.67,-335.76
2023-01-03,-58.53,-11.94,-318.54
2023-01-04,-57.53,-12.1,-352.83
2023-01-05,-57.4,-12.25,-328.94
2023-01-06,-57.82,-12.29,-404.09
2023-01-09,-57.86,-12.37,-393.47
2023-01-10,-58.42,-12.39,-423.61
2023-01-11,-58.61,-12.41,-480.75
2023-01-12,-58.35,-12.45,-487.38
2023-01-13,-58.22,-12.45,-522.1
2023-01-17,-56.63,-12.34,-426.94
2023-01-18,-56.31,-12.26,-418.67
2023-01-19,-56.31,-12.16,-404.66
2023-01-20,-56.44,-11.98,-478.52
2023-01-23,-56.76,-11.8,-572.6
2023-01-24,-59.05,-11.57,-582.85
2023-01-25,-60.2,-11.36,-595.67
2023-01-26,-60.71,-11.09,-657.94
2023-01-27,-60.96,-10.75,-658.72
2023-01-30,-60.64,-10.54,-555.54
2023-01-31,-59.94,-10.26,-660.05
2023-02-01,-58.85,-9.92,-777.45
2023-02-02,-58.04,-9.55,-986.86
2023-02-03,-57.59,-9.18,-816.26
2023-02-06,-57.32,-8.93,-750.07
2023-02-07,-57.12,-8.62,-896.69
2023-02-08,-57.18,-8.39,-772.99
2023-02-09,-57.28,-8.25,-693.52
2023-02-10,-57.47,-8.12,-719.41
2023-02-13,-57.66,-7.96,-841.26
2023-02-14,-57.92,-7.79,-842.03
2023-02-15,-57.78,-7.54,-854.19
2023-02-16,-57.65,-7.31,-714.76
2023-02-17,-57.39,-7.16,-688.7
2023-02-21,-57.07,-7.15,-557.56
2023-02-22,-56.87,-7.13,-561.91
2023-02-23,-57.07,-7.1,-593.65
2023-02-24,-57.2,-7.15,-532.09
2023-02-27,-57.0,-7.2,-527.91
2023-02-28,-56.74,-7.21,-503.17
2023-03-01,-56.04,-7.29,-484.63
2023-03-02,-55.15,-7.4,-516.4
2023-03-03,-54.19,-7.51,-611.74
2023-03-06,-53.18,-7.56,-589.89
2023-03-07,-51.9,-7.66,-464.86
2023-03-08,-49.62,-7.8,-400.35
2023-03-09,-47.87,-7.97,-342.46
2023-03-10,-46.89,-8.17,-324.84
2023-03-13,-45.98,-8.39,-302.37
2023-03-14,-44.76,-8.58,-328.0
2023-03-15,-44.51,-8.8,-292.97
2023-03-16,-44.15,-8.95,-372.41
2023-03-17,-43.36,-9.1,-338.42
2023-03-20,-43.36,-9.21,-397.4
2023-03-21,-44.42,-9.18,-494.93
2023-03-22,-46.19,-9.22,-425.52
2023-03-23,-48.17,-9.28,-463.85
2023-03-24,-49.87,-9.28,-474.04
2023-03-27,-51.17,-9.28,-483.63
2023-03-28,-51.65,-9.28,-452.08
2023-03-29,-52.15,-9.21,-570.01
2023-03-30,-52.15,-9.15,-619.37
2023-03-31,-52.15,-9.08,-766.28
2023-04-03,-52.36,-8.99,-862.05
2023-04-04,-53.17,-8.86,-796.22
2023-04-05,-53.66,-8.75,-775.56
2023-04-06,-54.14,-8.54,-827.06
2023-04-10,-54.16,-8.27,-797.26
2023-04-11,-53.34,-8.0,-746.23
2023-04-12,-52.74,-7.81,-728.66
2023-04-13,-52.27,-7.53,-954.49
2023-04-14,-51.74,-7.34,-909.42
2023-04-17,-51.74,-7.08,-975.61
2023-04-18,-51.59,-6.86,-910.17
2023-04-19,-50.14,-6.7,-815.11
2023-04-20,-48.69,-6.49,-750.37
2023-04-21,-47.52,-6.28,-779.62
2023-04-24,-46.34,-6.09,-800.0
2023-04-25,-46.27,-5.96,-651.94
2023-04-26,-46.97,-5.84,-602.95
2023-04-27,-47.45,-5.71,-816.22
2023-04-28,-47.87,-5.57,-967.98
2023-05-01,-48.69,-5.49,-1024.61
2023-05-02,-47.84,-5.49,-703.28
2023-05-03,-48.17,-5.49,-711.35
2023-05-04,-48.02,-5.51,-604.02
2023-05-05,-47.59,-5.47,-803.69
2023-05-08,-46.12,-5.43,-749.32
2023-05-09,-46.62,-5.42,-746.73
2023-05-10,-46.06,-5.36,-813.14
2023-05-11,-46.0,-5.37,-797.32
2023-05-12,-45.8,-5.38,-750.84
2023-05-15,-46.5,-5.39,-831.15
2023-05-16,-46.5,-5.43,-724.25
2023-05-17,-46.43,-5.42,-913.6
2023-05-18,-45.8,-5.33,-1098.36
2023-05-19,-45.44,-5.26,-1051.05
2023-05-22,-44.8,-5.18,-1069.52
2023-05-23,-44.52,-5.1,-840.83
2023-05-24,-44.31,-5.04,-719.6
2023-05-25,-44.88,-5.01,-891.06
2023-05-26,-45.44,-4.96,-1238.51
2023-05-30,-45.51,-4.9,-1177.1
2023-05-31,-45.15,-4.83,-995.45
2023-06-01,-44.38,-4.67,-1281.27
2023-06-02,-42.93,-4.42,-2356.88
2023-06-05,-41.19,-4.25,-2016.2
2023-06-06,-39.52,-4.07,-2146.54
2023-06-07,-38.42,-3.9,-1883.25
2023-06-08,-37.52,-3.71,-2666.92
2023-06-09,-37.02,-3.5,-3045.3
2023-06-12,-37.02,-3.25,-13929.63
2023-06-13,-37.59,-2.98,-10257.89
2023-06-14,-38.31,-2.67,-9317.78
2023-06-15,-39.39,-2.36,-2553.49
2023-06-16,-40.54,-2.11,-3252.59
2023-06-20,-42.13,-1.88,-5247.19
2023-06-21,-44.15,-1.67,-14011.43
2023-06-22,-45.66,-1.4,-7008.45
2023-06-23,-47.32,-1.12,-126125.0
2023-06-26,-48.76,-0.91,-10960.0
2023-06-27,-49.48,-0.7,-7820.31
2023-06-28,-49.7,-0.5,-7313.04
2023-06-29,-49.91,-0.26,-7472.06
2023-06-30,-49.77,-0.02,-2790.27
2023-07-03,-49.5,0.16,-2520.0
2023-07-05,-49.51,0.34,-2880.34
2023-07-06,-49.31,0.46,-5126.8
2023-07-07,-49.04,0.6,-6689.19
2023-07-10,-48.83,0.71,-4927.72
2023-07-11,-48.61,0.86,-2966.67
2023-07-12,-48.54,0.99,-2113.52
2023-07-13,-48.69,1.13,-1618.1
2023-07-14,-49.13,1.27,-1702.2
2023-07-17,-49.42,1.36,-1522.66
2023-07-18,-49.78,1.51,-1239.68
2023-07-19,-49.93,1.69,-1200.66
2023-07-20,-49.93,1.87,-1382.12
2023-07-21,-49.71,2.02,-1388.37
2023-07-24,-49.93,2.24,-1293.49
2023-07-25,-50.44,2.49,-1233.55
2023-07-26,-50.37,2.69,-1180.35
2023-07-27,-50.33,2.85,-1335.59
2023-07-28,-50.25,3.06,-1122.31
2023-07-31,-49.67,3.22,-1065.67
2023-08-01,-48.45,3.35,-1078.76
2023-08-02,-47.96,3.44,-1432.86
2023-08-03,-47.08,3.56,-1456.19
2023-08-04,-46.02,3.67,-1612.67
2023-08-07,-45.18,3.8,-1316.8
2023-08-08,-45.0,3.88,-1446.99
2023-08-09,-44.53,3.9,-1669.12
2023-08-10,-44.5,3.88,-1647.4
2023-08-11,-44.55,3.87,-1670.32
2023-08-14,-44.58,3.85,-1471.52
2023-08-15,-44.47,3.76,-1910.66
2023-08-16,-44.47,3.63,-2403.61
2023-08-17,-44.82,3.5,-3444.6
2023-08-18,-44.87,3.38,-3182.07
2023-08-21,-44.95,3.26,-2452.11
2023-08-22,-45.1,3.12,-2728.07
2023-08-23,-45.15,3.01,-1949.38
2023-08-24,-44.99,2.89,-3086.93
2023-08-25,-44.94,2.75,-2355.84
2023-08-28,-45.04,2.62,-1975.1
2023-08-29,-44.89,2.55,-1407.4
2023-08-30,-44.54,2.56,-1279.78
2023-08-31,-43.99,2.57,-1299.16
2023-09-01,-43.42,2.61,-1239.45
2023-09-05,-42.84,2.6,-1363.58
2023-09-06,-41.91,2.57,-1531.88
2023-09-07,-40.97,2.55,-1646.18
2023-09-08,-40.09,2.54,-1569.47
2023-09-11,-39.61,2.56,-1302.76
2023-09-12,-39.35,2.53,-1608.82
2023-09-13,-39.88,2.55,-1583.45
2023-09-14,-40.38,2.64,-1209.19
2023-09-15,-41.33,2.69,-1864.49
2023-09-18,-42.28,2.75,-1817.19
2023-09-19,-42.64,2.77,-1915.68
2023-09-20,-43.38,2.76,-3326.06
2023-09-21,-44.41,2.63,-22990.0
2023-09-22,-45.0,2.53,-10395.45
2023-09-25,-45.51,2.43,-155066.67
2023-09-26,-45.88,2.23,-2919.59
2023-09-27,-45.73,1.99,-2986.3
2023-09-28,-46.33,1.74,-3800.79
2023-09-29,-48.33,1.49,-3672.48
2023-10-02,-49.54,1.23,-3476.87
2023-10-03,-50.82,0.93,-1744.04
2023-10-04,-52.02,0.69,-2367.63
2023-10-05,-52.63,0.46,-2327.91
2023-10-06,-51.68,0.27,-4995.05
2023-10-09,-51.75,0.09,-14608.33
2023-10-10,-51.98,-0.04,-37378.57
2023-10-11,-51.9,-0.15,-9150.0
2023-10-12,-51.97,-0.34,-175133.33
2023-10-13,-52.34,-0.49,-9596.36
2023-10-16,-52.27,-0.59,-11285.11
2023-10-17,-52.5,-0.68,-11210.42
2023-10-18,-53.03,-0.8,-6174.12
2023-10-19,-53.1,-0.87,-3051.79
2023-10-20,-52.72,-0.99,-1679.58
2023-10-23,-52.27,-1.15,-1543.46
2023-10-24,-51.81,-1.19,-2081.62
2023-10-25,-51.35,-1.3,-1279.73
2023-10-26,-50.82,-1.48,-932.65
2023-10-27,-50.67,-1.67,-859.66
2023-10-30,-50.75,-1.81,-1118.03
2023-10-31,-50.67,-1.85,-1311.42
2023-11-01,-50.33,-1.87,-1881.53
2023-11-02,-50.29,-1.8,-7055.71
2023-11-03,-50.1,-1.74,-26268.42
2023-11-06,-49.91,-1.7,-13184.21
2023-11-07,-49.72,-1.67,-7749.23
2023-11-08,-50.79,-1.66,-7590.41
2023-11-09,-51.7,-1.66,-546700.0
2023-11-10,-52.7,-1.56,-3697.37
2023-11-13,-53.69,-1.51,-3950.7
2023-11-14,-53.6,-1.37,-1575.15
2023-11-15,-52.28,-1.15,-1447.62
2023-11-16,-51.05,-0.88,-1407.28
2023-11-17,-49.89,-0.54,-1366.58
2023-11-20,-48.81,-0.16,-1164.15
2023-11-21,-48.81,0.18,-1230.05
2023-11-22,-48.81,0.6,-1100.21
2023-11-24,-48.5,1.09,-1063.86
2023-11-27,-48.03,1.59,-1092.75
2023-11-28,-47.25,2.04,-1047.6
2023-11-29,-46.24,2.45,-1036.86
2023-11-30,-45.08,2.83,-925.59
2023-12-01,-44.06,3.15,-845.02
2023-12-04,-42.59,3.39,-867.12
2023-12-05,-41.9,3.63,-925.2
2023-12-06,-41.44,3.83,-988.14
2023-12-07,-41.44,4.07,-883.52
2023-12-08,-42.23,4.36,-893.76
2023-12-11,-43.55,4.59,-848.37
2023-12-12,-44.4,4.84,-799.85
2023-12-13,-45.18,5.07,-678.28
2023-12-14,-46.11,5.31,-672.23
2023-12-15,-46.58,5.52,-697.39
2023-12-18,-47.21,5.76,-667.75
2023-12-19,-47.53,5.99,-621.4
2023-12-20,-47.52,6.14,-709.72
2023-12-21,-47.29,6.32,-647.73
2023-12-22,-46.58,6.51,-620.54
2023-12-26,-45.71,6.72,-598.99
2023-12-27,-44.77,6.94,-572.86
2023-12-28,-44.21,7.15,-572.34
2023-12-29,-43.9,7.34,-598.42
2024-01-02,-43.81,7.47,-641.42
2024-01-03,-43.88,7.59,-697.21
2024-01-04,-43.71,7.7,-683.4
2024-01-05,-43.86,7.83,-694.84
2024-01-08,-43.22,8.0,-563.05
2024-01-09,-42.5,8.14,-570.77
2024-01-10,-41.86,8.3,-553.15
2024-01-11,-42.1,8.43,-572.14
2024-01-12,-41.14,8.5,-522.21
2024-01-16,-41.22,8.53,-563.9
2024-01-17,-41.46,8.55,-596.2
2024-01-18,-41.54,8.58,-557.48
2024-01-19,-41.22,8.64,-504.06
2024-01-22,-41.94,8.79,-503.6
2024-01-23,-42.18,8.91,-493.17
2024-01-24,-42.34,9.03,-490.28
2024-01-25,-42.42,9.15,-472.53
2024-01-26,-42.58,9.27,-474.49
2024-01-29,-42.42,9.42,-446.43
2024-01-30,-42.66,9.57,-465.22
2024-01-31,-42.82,9.69,-515.22
2024-02-01,-42.59,9.88,-461.52
2024-02-02,-42.36,10.14,-433.84
2024-02-05,-42.29,10.38,-443.25
2024-02-06,-42.86,10.55,-477.57
2024-02-07,-43.43,10.77,-453.71
2024-02-08,-44.79,10.97,-467.4
2024-02-09,-45.91,11.19,-444.87
2024-02-12,-47.44,11.41,-460.59
2024-02-13,-47.92,11.57,-502.96
2024-02-14,-47.75,11.81,-446.04
2024-02-15,-46.94,12.04,-420.22
2024-02-16,-46.45,12.18,-435.77
2024-02-20,-46.05,12.29,-469.36
2024-02-21,-45.72,12.39,-469.6
2024-02-22,-46.45,12.6,-428.25
2024-02-23,-47.5,12.77,-429.82
2024-02-26,-48.31,12.93,-432.85
2024-02-27,-48.55,13.07,-425.66
2024-02-28,-48.63,13.21,-426.42
2024-02-29,-48.79,13.44,-431.23
2024-03-01,-48.62,13.65,-407.27
2024-03-04,-48.77,13.82,-414.86
2024-03-05,-49.08,13.94,-441.66
2024-03-06,-49.07,14.08,-415.18
2024-03-07,-48.56,14.24,-391.5
2024-03-08,-48.15,14.36,-398.84
2024-03-11,-47.83,14.45,-408.46
2024-03-12,-47.42,14.6,-389.39
2024-03-13,-47.75,14.81,-402.08
2024-03-14,-48.98,14.96,-431.47
2024-03-15,-50.46,15.04,-448.26
2024-03-18,-51.77,15.18,-438.02
2024-03-19,-53.25,15.38,-432.63
2024-03-20,-54.16,15.6,-410.18
2024-03-21,-54.24,15.74,-404.75
2024-03-22,-54.4,15.85,-416.91
2024-03-25,-54.73,15.98,-428.66
2024-03-26,-55.48,16.07,-450.83
2024-03-27,-56.47,16.22,-435.06
2024-03-28,-58.95,16.34,-477.73
2024-04-01,-60.33,16.41,-459.39
2024-04-02,-61.53,16.45,-476.32
2024-04-03,-61.9,16.55,-466.67
2024-04-04,-62.18,16.56,-493.66
2024-04-05,-60.98,16.57,-468.66
2024-04-08,-60.93,16.61,-473.61
2024-04-09,-60.65,16.66,-466.1
2024-04-10,-60.62,16.61,-490.9
2024-04-11,-61.22,16.61,-488.75
2024-04-12,-62.22,16.54,-541.62
2024-04-15,-63.02,16.44,-585.29
2024-04-16,-63.93,16.3,-591.03
2024-04-17,-64.94,16.1,-621.11
2024-04-18,-65.45,15.85,-632.28
2024-04-19,-65.55,15.54,-675.28
2024-04-22,-66.05,15.29,-647.9
2024-04-23,-66.84,15.13,-601.31
2024-04-24,-67.85,14.97,-616.65
2024-04-25,-68.95,14.76,-638.85
2024-04-26,-69.92,14.6,-593.24
2024-04-29,-69.92,14.48,-560.49
2024-04-30,-68.4,14.3,-574.65
2024-05-01,-66.51,14.09,-595.95
2024-05-02,-63.92,13.99,-535.87
2024-05-03,-61.61,13.91,-501.08
2024-05-06,-58.95,13.88,-443.39
2024-05-07,-57.65,13.86,-442.64
2024-05-08,-57.07,13.89,-463.8
2024-05-09,-57.26,13.91,-454.79
2024-05-10,-57.16,14.01,-448.07
2024-05-13,-57.93,14.18,-446.53
2024-05-14,-58.8,14.39,-440.8
2024-05-15,-59.24,14.7,-422.17
2024-05-16,-59.59,15.01,-428.26
2024-05-17,-59.92,15.37,-421.64
2024-05-20,-60.1,15.7,-414.04
2024-05-21,-60.26,15.97,-413.34
2024-05-22,-60.13,16.23,-417.99
2024-05-23,-59.78,16.46,-429.77
2024-05-24,-59.69,16.69,-419.14
2024-05-28,-59.93,16.89,-420.68
2024-05-29,-60.03,17.15,-436.38
2024-05-30,-60.1,17.39,-449.33
2024-05-31,-60.44,17.64,-433.84
2024-06-03,-60.51,17.8,-432.96
2024-06-04,-60.54,17.92,-432.82
2024-06-05,-61.11,18.1,-423.93
2024-06-06,-61.89,18.27,-427.63
2024-06-07,-62.74,18.41,-435.56
2024-06-10,-63.97,18.56,-434.93
2024-06-11,-65.29,18.72,-434.86
2024-06-12,-65.82,18.9,-414.2
2024-06-13,-66.31,19.03,-413.02
2024-06-14,-66.52,19.17,-409.68
2024-06-17,-66.83,19.34,-404.21
2024-06-18,-66.85,19.53,-397.57
2024-06-20,-67.34,19.69,-407.58
2024-06-21,-67.75,19.85,-411.57
2024-06-24,-67.28,20.04,-393.83
2024-06-25,-66.23,20.2,-382.97
2024-06-26,-65.16,20.37,-378.62
2024-06-27,-63.58,20.59,-371.01
2024-06-28,-62.44,20.81,-390.72
2024-07-01,-62.34,20.98,-393.92
2024-07-02,-62.56,21.18,-387.67
2024-07-03,-63.16,21.4,-388.0
2024-07-05,-63.67,21.58,-373.36
2024-07-08,-63.44,21.76,-366.02
2024-07-09,-62.99,21.96,-361.37
2024-07-10,-62.4,22.18,-350.31
2024-07-11,-61.45,22.35,-356.93
2024-07-12,-60.75,22.5,-348.77
2024-07-15,-60.21,22.65,-342.97
2024-07-16,-59.88,22.82,-340.11
2024-07-17,-59.55,22.89,-348.8
2024-07-18,-59.7,22.92,-362.21
