Date,rate_VHT_5D,rate_VOO_20D,Max_Divergence
2022-08-23,-3.73,-8.9,47.87
2022-08-24,-4.06,-8.76,49.13
2022-08-25,-4.19,-8.62,52.34
2022-08-26,-4.71,-8.66,43.75
2022-08-29,-5.14,-8.71,41.43
2022-08-30,-5.53,-8.77,40.37
2022-08-31,-6.01,-8.91,40.02
2022-09-01,-6.44,-9.02,46.4
2022-09-02,-6.67,-9.16,41.82
2022-09-06,-6.81,-9.3,42.32
2022-09-07,-6.57,-9.36,48.35
2022-09-08,-5.95,-9.46,61.37
2022-09-09,-5.37,-9.5,64.95
2022-09-12,-4.5,-9.55,67.8
2022-09-13,-4.24,-9.8,52.37
2022-09-14,-4.24,-10.04,51.88
2022-09-15,-4.48,-10.31,58.67
2022-09-16,-4.97,-10.62,57.45
2022-09-19,-5.68,-10.85,51.07
2022-09-20,-5.97,-11.07,47.32
2022-09-21,-6.6,-11.36,41.71
2022-09-22,-7.3,-11.69,44.74
2022-09-23,-8.01,-12.13,46.44
2022-09-26,-8.79,-12.5,43.58
2022-09-27,-9.4,-12.87,43.88
2022-09-28,-9.33,-13.15,50.06
2022-09-29,-9.45,-13.48,49.95
2022-09-30,-9.68,-13.91,47.78
2022-10-03,-9.36,-14.17,50.92
2022-10-04,-8.58,-14.31,57.76
2022-10-05,-8.11,-14.52,59.41
2022-10-06,-7.68,-14.79,54.97
2022-10-07,-7.45,-15.24,49.34
2022-10-10,-7.74,-15.77,46.99
2022-10-11,-8.38,-16.14,50.98
2022-10-12,-9.14,-16.53,49.18
2022-10-13,-9.29,-16.77,54.75
2022-10-14,-9.21,-17.07,54.3
2022-10-17,-8.65,-17.3,58.76
2022-10-18,-8.08,-17.44,59.49
2022-10-19,-7.72,-17.53,51.98
2022-10-20,-7.91,-17.62,49.46
2022-10-21,-7.54,-17.54,55.6
2022-10-24,-7.2,-17.38,62.75
2022-10-25,-6.77,-17.14,66.31
2022-10-26,-5.82,-16.99,75.97
2022-10-27,-4.83,-16.77,72.4
2022-10-28,-3.92,-16.4,80.65
2022-10-31,-3.33,-16.18,80.82
2022-11-01,-2.91,-16.09,81.92
2022-11-02,-3.03,-16.09,73.86
2022-11-03,-3.11,-16.1,72.82
2022-11-04,-3.42,-15.93,73.31
2022-11-07,-3.53,-15.69,78.19
2022-11-08,-3.6,-15.4,80.03
2022-11-09,-3.57,-15.19,75.07
2022-11-10,-2.91,-14.86,90.38
2022-11-11,-2.5,-14.39,81.16
2022-11-14,-2.29,-14.06,81.18
2022-11-15,-2.14,-13.74,80.52
2022-11-16,-1.82,-13.43,78.83
2022-11-17,-2.1,-13.09,77.57
2022-11-18,-1.99,-12.84,87.51
2022-11-21,-1.86,-12.64,87.5
2022-11-22,-1.57,-12.46,95.02
2022-11-23,-1.13,-12.22,99.45
2022-11-25,-0.53,-11.96,105.82
2022-11-28,-0.33,-11.86,97.05
2022-11-29,-0.17,-11.75,94.84
2022-11-30,0.34,-11.5,125.97
2022-12-01,0.82,-11.13,130.41
2022-12-02,1.24,-10.73,133.46
2022-12-05,1.6,-10.46,115.75
2022-12-06,1.85,-10.29,106.25
2022-12-07,1.69,-10.16,111.85
2022-12-08,1.65,-9.91,120.96
2022-12-09,1.31,-9.91,108.67
2022-12-12,1.39,-9.89,119.77
2022-12-13,1.71,-9.8,125.33
2022-12-14,1.93,-9.78,125.37
2022-12-15,1.61,-9.83,104.54
2022-12-16,1.32,-9.92,96.14
2022-12-19,0.77,-10.07,93.53
2022-12-20,0.16,-10.22,94.46
2022-12-21,-0.24,-10.36,102.97
2022-12-22,-0.29,-10.59,102.12
2022-12-23,-0.16,-10.79,101.36
2022-12-27,-0.03,-10.94,98.15
2022-12-28,-0.03,-11.14,94.92
2022-12-29,-0.03,-11.39,102.68
2022-12-30,-0.08,-11.67,100.53
2023-01-03,-0.17,-11.94,97.82
2023-01-04,-0.1,-12.1,100.94
2023-01-05,-0.1,-12.25,94.51
2023-01-06,-0.16,-12.29,100.51
2023-01-09,-0.47,-12.37,87.46
2023-01-10,-0.51,-12.39,95.53
2023-01-11,-0.51,-12.41,101.19
2023-01-12,-0.35,-12.45,100.72
2023-01-13,-0.26,-12.45,105.31
2023-01-17,0.06,-12.34,101.15
2023-01-18,-0.1,-12.26,88.34
2023-01-19,-0.35,-12.16,90.17
2023-01-20,-0.46,-11.98,95.1
2023-01-23,-0.58,-11.8,98.99
2023-01-24,-0.75,-11.57,91.59
2023-01-25,-0.62,-11.36,92.9
2023-01-26,-0.47,-11.09,95.16
2023-01-27,-0.57,-10.75,87.31
2023-01-30,-0.96,-10.54,77.6
2023-01-31,-0.94,-10.26,91.25
2023-02-01,-0.83,-9.92,98.62
2023-02-02,-0.83,-9.55,92.38
2023-02-03,-0.8,-9.18,86.8
2023-02-06,-0.69,-8.93,77.86
2023-02-07,-0.74,-8.62,84.67
2023-02-08,-0.99,-8.39,79.67
2023-02-09,-1.35,-8.25,69.66
2023-02-10,-1.47,-8.12,79.32
2023-02-13,-1.32,-7.96,88.35
2023-02-14,-1.38,-7.79,80.68
2023-02-15,-1.41,-7.54,75.17
2023-02-16,-1.45,-7.31,65.62
2023-02-17,-1.45,-7.16,80.06
2023-02-21,-1.92,-7.15,64.19
2023-02-22,-2.33,-7.13,62.37
2023-02-23,-2.64,-7.1,63.79
2023-02-24,-3.02,-7.15,52.97
2023-02-27,-3.63,-7.2,49.15
2023-02-28,-4.04,-7.21,43.78
2023-03-01,-4.39,-7.29,45.67
2023-03-02,-4.69,-7.4,47.81
2023-03-03,-4.51,-7.51,54.93
2023-03-06,-4.34,-7.56,49.86
2023-03-07,-4.33,-7.66,40.92
2023-03-08,-4.46,-7.8,33.69
2023-03-09,-4.9,-7.97,33.23
2023-03-10,-5.76,-8.17,32.21
2023-03-13,-6.38,-8.39,40.75
2023-03-14,-6.5,-8.58,42.7
2023-03-15,-6.56,-8.8,43.4
2023-03-16,-6.21,-8.95,45.14
2023-03-17,-5.95,-9.1,36.83
2023-03-20,-5.64,-9.21,43.55
2023-03-21,-5.4,-9.18,43.81
2023-03-22,-5.42,-9.22,36.51
2023-03-23,-5.68,-9.28,33.37
2023-03-24,-5.49,-9.28,40.85
2023-03-27,-5.43,-9.28,45.32
2023-03-28,-5.61,-9.28,40.26
2023-03-29,-5.42,-9.21,35.45
2023-03-30,-5.1,-9.15,36.29
2023-03-31,-4.74,-9.08,41.16
2023-04-03,-4.27,-8.99,53.78
2023-04-04,-3.7,-8.86,56.74
2023-04-05,-2.91,-8.75,81.9
2023-04-06,-2.15,-8.54,85.71
2023-04-10,-1.61,-8.27,84.96
2023-04-11,-1.2,-8.0,91.44
2023-04-12,-0.79,-7.81,90.82
2023-04-13,-0.39,-7.53,116.77
2023-04-14,-0.23,-7.34,99.62
2023-04-17,-0.03,-7.08,102.46
2023-04-18,-0.01,-6.86,91.7
2023-04-19,0.08,-6.7,97.31
2023-04-20,-0.19,-6.49,90.3
2023-04-21,-0.16,-6.28,102.45
2023-04-24,-0.08,-6.09,109.85
2023-04-25,-0.09,-5.96,92.85
2023-04-26,-0.36,-5.84,78.17
2023-04-27,-0.49,-5.71,78.44
2023-04-28,-0.6,-5.57,90.57
2023-05-01,-0.69,-5.49,101.55
2023-05-02,-0.7,-5.49,90.16
2023-05-03,-0.49,-5.49,92.76
2023-05-04,-0.49,-5.51,83.76
2023-05-05,-0.44,-5.47,96.5
2023-05-08,-0.54,-5.43,91.19
2023-05-09,-0.63,-5.42,82.18
2023-05-10,-0.67,-5.36,87.45
2023-05-11,-0.65,-5.37,81.26
2023-05-12,-0.85,-5.38,77.38
2023-05-15,-0.99,-5.39,77.58
2023-05-16,-1.23,-5.43,61.42
2023-05-17,-1.5,-5.42,56.36
2023-05-18,-1.73,-5.33,40.82
2023-05-19,-1.85,-5.26,52.89
2023-05-22,-1.93,-5.18,58.82
2023-05-23,-2.02,-5.1,45.42
2023-05-24,-2.29,-5.04,39.56
2023-05-25,-2.73,-5.01,6.81
2023-05-26,-3.26,-4.96,-27.3
2023-05-30,-3.96,-4.9,-46.67
2023-05-31,-4.31,-4.83,-10.35
2023-06-01,-4.35,-4.67,-18.06
2023-06-02,-3.92,-4.42,-37.5
2023-06-05,-3.42,-4.25,-8.94
2023-06-06,-2.92,-4.07,-60.38
2023-06-07,-2.62,-3.9,-50.79
2023-06-08,-2.39,-3.71,-78.95
2023-06-09,-2.41,-3.5,-96.58
2023-06-12,-2.38,-3.25,-562.96
2023-06-13,-2.11,-2.98,-410.53
2023-06-14,-1.97,-2.67,-584.44
2023-06-15,-1.64,-2.36,-143.02
2023-06-16,-1.35,-2.11,-162.22
2023-06-20,-1.16,-1.88,-198.88
2023-06-21,-1.12,-1.67,-371.43
2023-06-22,-0.76,-1.4,-154.93
2023-06-23,-0.78,-1.12,-2000.0
2023-06-26,-0.91,-0.91,-228.89
2023-06-27,-1.06,-0.7,-357.81
2023-06-28,-1.24,-0.5,-366.67
2023-06-29,-1.48,-0.26,-335.29
2023-06-30,-1.46,-0.02,-139.46
2023-07-03,-1.46,0.16,-173.0
2023-07-05,-1.43,0.34,-186.52
2023-07-06,-1.55,0.46,-348.45
2023-07-07,-1.89,0.6,-550.0
2023-07-10,-2.22,0.71,-334.65
2023-07-11,-2.4,0.86,-241.82
2023-07-12,-2.59,0.99,-203.28
2023-07-13,-2.61,1.13,-176.07
2023-07-14,-2.17,1.27,-136.16
2023-07-17,-2.01,1.36,-144.48
2023-07-18,-1.73,1.51,-121.81
2023-07-19,-1.34,1.69,-111.92
2023-07-20,-0.7,1.87,-81.35
2023-07-21,-0.13,2.02,-56.07
2023-07-24,0.46,2.24,-68.14
2023-07-25,0.91,2.49,-71.93
2023-07-26,1.27,2.69,-72.49
2023-07-27,1.23,2.85,-86.47
2023-07-28,1.08,3.06,-80.58
2023-07-31,0.87,3.22,-93.61
2023-08-01,0.56,3.35,-105.15
2023-08-02,0.24,3.44,-110.48
2023-08-03,-0.06,3.56,-129.0
2023-08-04,-0.49,3.67,-140.41
2023-08-07,-0.63,3.8,-110.47
2023-08-08,-0.55,3.88,-95.78
2023-08-09,-0.46,3.9,-97.19
2023-08-10,-0.26,3.88,-98.96
2023-08-11,0.06,3.87,-84.1
2023-08-14,0.27,3.85,-79.88
2023-08-15,0.32,3.76,-84.02
2023-08-16,0.27,3.63,-108.76
2023-08-17,0.11,3.5,-154.68
2023-08-18,-0.12,3.38,-149.66
2023-08-21,-0.37,3.26,-132.11
2023-08-22,-0.61,3.12,-146.78
2023-08-23,-0.7,3.01,-125.51
2023-08-24,-0.77,2.89,-173.2
2023-08-25,-0.76,2.75,-132.99
2023-08-28,-0.74,2.62,-121.99
2023-08-29,-0.57,2.55,-97.93
2023-08-30,-0.43,2.56,-97.27
2023-08-31,-0.32,2.57,-117.04
2023-09-01,-0.27,2.61,-110.41
2023-09-05,-0.37,2.6,-130.45
2023-09-06,-0.68,2.57,-153.62
2023-09-07,-0.94,2.55,-149.4
2023-09-08,-1.09,2.54,-150.38
2023-09-11,-1.13,2.56,-118.1
2023-09-12,-1.09,2.53,-131.25
2023-09-13,-0.95,2.55,-127.46
2023-09-14,-0.84,2.64,-117.57
2023-09-15,-0.84,2.69,-155.1
2023-09-18,-1.06,2.75,-165.62
2023-09-19,-1.22,2.77,-168.64
2023-09-20,-1.4,2.76,-219.72
2023-09-21,-1.81,2.63,-1245.0
2023-09-22,-2.11,2.53,-554.55
2023-09-25,-2.27,2.43,-8066.67
2023-09-26,-2.57,2.23,-110.81
2023-09-27,-2.93,1.99,-140.41
2023-09-28,-3.08,1.74,-173.02
2023-09-29,-3.32,1.49,-173.83
2023-10-02,-3.7,1.23,-194.56
2023-10-03,-4.11,0.93,-88.09
2023-10-04,-4.4,0.69,-139.61
2023-10-05,-4.59,0.46,-102.33
2023-10-06,-4.45,0.27,-237.62
2023-10-09,-4.22,0.09,-777.78
2023-10-10,-3.69,-0.04,-1942.86
2023-10-11,-3.33,-0.15,-658.93
2023-10-12,-3.3,-0.34,-13900.0
2023-10-13,-3.34,-0.49,-558.18
2023-10-16,-3.28,-0.59,-712.77
2023-10-17,-3.34,-0.68,-700.0
2023-10-18,-3.49,-0.8,-355.29
2023-10-19,-3.62,-0.87,-189.29
2023-10-20,-3.94,-0.99,-80.62
2023-10-23,-4.54,-1.15,-92.16
2023-10-24,-5.06,-1.19,-132.91
2023-10-25,-5.57,-1.3,-74.05
2023-10-26,-6.05,-1.48,-49.49
2023-10-27,-6.78,-1.67,-67.8
2023-10-30,-7.28,-1.81,-101.68
2023-10-31,-7.75,-1.85,-116.43
2023-11-01,-7.94,-1.87,-197.99
2023-11-02,-7.69,-1.8,-761.43
2023-11-03,-7.0,-1.74,-2931.58
2023-11-06,-6.31,-1.7,-1400.0
2023-11-07,-5.71,-1.67,-833.85
2023-11-08,-5.25,-1.66,-801.37
2023-11-09,-5.47,-1.66,-71400.0
2023-11-10,-5.73,-1.56,-538.16
2023-11-13,-5.95,-1.51,-526.76
2023-11-14,-6.0,-1.37,-249.4
2023-11-15,-5.95,-1.15,-236.97
2023-11-16,-5.45,-0.88,-224.8
2023-11-17,-5.05,-0.54,-221.76
2023-11-20,-4.66,-0.16,-188.55
2023-11-21,-4.39,0.18,-183.03
2023-11-22,-4.04,0.6,-165.28
2023-11-24,-3.64,1.09,-154.41
2023-11-27,-3.34,1.59,-167.8
2023-11-28,-3.26,2.04,-177.87
2023-11-29,-3.27,2.45,-177.12
2023-11-30,-3.14,2.83,-148.63
2023-12-01,-2.97,3.15,-132.56
2023-12-04,-2.64,3.39,-129.75
2023-12-05,-2.24,3.63,-133.86
2023-12-06,-1.83,3.83,-133.69
2023-12-07,-1.67,4.07,-131.11
2023-12-08,-1.61,4.36,-127.04
2023-12-11,-1.52,4.59,-116.99
2023-12-12,-1.26,4.84,-106.67
2023-12-13,-0.63,5.07,-80.18
2023-12-14,-0.02,5.31,-83.31
2023-12-15,0.38,5.52,-94.67
2023-12-18,0.7,5.76,-93.39
2023-12-19,1.0,5.99,-88.65
2023-12-20,0.61,6.14,-105.06
2023-12-21,0.49,6.32,-90.79
2023-12-22,0.67,6.51,-84.13
2023-12-26,0.89,6.72,-81.43
2023-12-27,1.1,6.94,-77.14
2023-12-28,1.63,7.15,-74.75
2023-12-29,1.91,7.34,-75.65
2024-01-02,2.33,7.47,-57.84
2024-01-03,2.61,7.59,-59.1
2024-01-04,2.91,7.7,-50.9
2024-01-05,3.14,7.83,-52.72
2024-01-08,3.63,8.0,-47.91
2024-01-09,3.87,8.14,-46.17
2024-01-10,4.25,8.3,-46.1
2024-01-11,4.49,8.43,-48.2
2024-01-12,4.7,8.5,-51.25
2024-01-16,4.56,8.53,-56.05
2024-01-17,4.34,8.55,-57.6
2024-01-18,4.07,8.58,-60.85
2024-01-19,3.86,8.64,-64.02
2024-01-22,3.81,8.79,-59.72
2024-01-23,3.87,8.91,-61.4
2024-01-24,3.83,9.03,-69.02
2024-01-25,3.77,9.15,-71.13
2024-01-26,3.76,9.27,-67.37
2024-01-29,3.8,9.42,-63.1
2024-01-30,3.86,9.57,-62.64
2024-01-31,4.04,9.69,-59.04
2024-02-01,4.44,9.88,-54.01
2024-02-02,4.72,10.14,-58.82
2024-02-05,4.89,10.38,-56.17
2024-02-06,5.27,10.55,-48.18
2024-02-07,5.72,10.77,-50.04
2024-02-08,5.97,10.97,-50.42
2024-02-09,6.25,11.19,-52.27
2024-02-12,6.55,11.41,-50.0
2024-02-13,6.41,11.57,-53.25
2024-02-14,6.43,11.81,-49.31
2024-02-15,6.62,12.04,-45.94
2024-02-16,6.86,12.18,-41.94
2024-02-20,6.95,12.29,-42.97
2024-02-21,7.31,12.39,-41.62
2024-02-22,7.72,12.6,-42.03
2024-02-23,8.05,12.77,-38.96
2024-02-26,8.25,12.93,-40.38
2024-02-27,8.57,13.07,-40.31
2024-02-28,8.71,13.21,-44.03
2024-02-29,8.42,13.44,-52.23
2024-03-01,8.24,13.65,-47.75
2024-03-04,8.1,13.82,-48.79
2024-03-05,7.8,13.94,-49.83
2024-03-06,7.74,14.08,-47.72
2024-03-07,7.98,14.24,-48.28
2024-03-08,7.98,14.36,-47.08
2024-03-11,7.98,14.45,-48.0
2024-03-12,8.21,14.6,-48.91
2024-03-13,8.24,14.81,-50.64
2024-03-14,8.07,14.96,-53.04
2024-03-15,7.88,15.04,-53.04
2024-03-18,7.71,15.18,-55.26
2024-03-19,7.61,15.38,-52.17
2024-03-20,7.56,15.6,-55.06
2024-03-21,7.63,15.74,-55.06
2024-03-22,7.65,15.85,-57.21
2024-03-25,7.66,15.98,-57.66
2024-03-26,7.61,16.07,-54.17
2024-03-27,7.87,16.22,-48.09
2024-03-28,8.1,16.34,-48.12
2024-04-01,8.24,16.41,-53.03
2024-04-02,8.06,16.45,-61.69
2024-04-03,7.78,16.55,-61.84
2024-04-04,6.94,16.56,-67.86
2024-04-05,6.27,16.57,-64.75
2024-04-08,5.77,16.61,-66.42
2024-04-09,5.7,16.66,-63.75
2024-04-10,5.39,16.61,-69.48
2024-04-11,5.26,16.61,-73.69
2024-04-12,4.65,16.54,-81.42
2024-04-15,4.01,16.44,-82.99
2024-04-16,3.28,16.3,-82.13
2024-04-17,2.76,16.1,-83.33
2024-04-18,2.3,15.85,-83.98
2024-04-19,2.18,15.54,-80.96
2024-04-22,2.26,15.29,-78.51
2024-04-23,2.58,15.13,-71.17
2024-04-24,2.91,14.97,-72.61
2024-04-25,3.1,14.76,-77.78
2024-04-26,3.26,14.6,-79.22
2024-04-29,3.42,14.48,-76.51
2024-04-30,3.28,14.3,-74.81
2024-05-01,3.27,14.09,-70.15
2024-05-02,3.41,13.99,-72.8
2024-05-03,3.61,13.91,-72.95
2024-05-06,3.8,13.88,-72.1
2024-05-07,4.19,13.86,-67.64
2024-05-08,4.38,13.89,-70.9
2024-05-09,4.77,13.91,-66.59
2024-05-10,5.1,14.01,-66.53
2024-05-13,5.34,14.18,-66.59
2024-05-14,5.52,14.39,-65.11
2024-05-15,6.11,14.7,-59.33
2024-05-16,6.51,15.01,-59.36
2024-05-17,6.9,15.37,-59.49
2024-05-20,7.27,15.7,-60.25
2024-05-21,7.56,15.97,-60.81
2024-05-22,7.58,16.23,-59.08
2024-05-23,7.37,16.46,-63.72
2024-05-24,7.08,16.69,-67.16
2024-05-28,6.59,16.89,-73.38
2024-05-29,5.92,17.15,-76.87
2024-05-30,5.24,17.39,-74.9
2024-05-31,5.08,17.64,-68.57
2024-06-03,5.1,17.8,-65.38
2024-06-04,5.42,17.92,-63.83
2024-06-05,6.02,18.1,-63.37
2024-06-06,6.63,18.27,-62.21
2024-06-07,6.96,18.41,-61.97
2024-06-10,7.28,18.56,-60.32
2024-06-11,7.45,18.72,-62.95
2024-06-12,7.49,18.9,-65.15
2024-06-13,7.44,19.03,-66.21
2024-06-14,7.37,19.17,-67.07
2024-06-17,7.18,19.34,-69.13
2024-06-18,7.07,19.53,-69.57
2024-06-20,7.06,19.69,-67.37
2024-06-21,7.16,19.85,-65.11
2024-06-24,7.43,20.04,-61.37
2024-06-25,7.67,20.2,-63.41
2024-06-26,7.84,20.37,-65.32
2024-06-27,7.9,20.59,-66.06
2024-06-28,7.77,20.81,-67.5
2024-07-01,7.38,20.98,-70.15
2024-07-02,6.97,21.18,-72.73
2024-07-03,6.48,21.4,-76.53
2024-07-05,6.18,21.58,-73.62
2024-07-08,5.97,21.76,-74.24
2024-07-09,5.99,21.96,-72.08
2024-07-10,6.29,22.18,-68.92
2024-07-11,6.95,22.35,-63.37
2024-07-12,7.61,22.5,-61.0
