Date,rate_MU_5D,rate_VOO_20D,Max_Divergence
2022-05-24,-22.61,-12.08,-77.68
2022-05-25,-23.32,-12.27,-76.6
2022-05-26,-23.05,-12.49,-75.76
2022-05-27,-22.07,-12.44,-83.42
2022-05-31,-21.12,-12.45,-69.01
2022-06-01,-19.48,-12.5,-60.71
2022-06-02,-17.71,-12.61,-67.44
2022-06-03,-17.76,-12.62,-102.0
2022-06-06,-18.31,-12.6,-101.17
2022-06-07,-18.9,-12.4,-115.85
2022-06-08,-20.0,-12.26,-119.0
2022-06-09,-22.09,-12.15,-106.12
2022-06-10,-23.73,-12.17,-96.99
2022-06-13,-26.33,-12.44,-85.65
2022-06-14,-29.03,-12.7,-84.5
2022-06-15,-31.15,-13.0,-93.95
2022-06-16,-33.62,-13.26,-91.33
2022-06-17,-35.16,-13.47,-89.14
2022-06-21,-35.62,-13.6,-102.88
2022-06-22,-36.15,-13.81,-103.86
2022-06-23,-36.8,-13.94,-114.67
2022-06-24,-36.03,-13.99,-134.62
2022-06-27,-35.35,-14.14,-127.16
2022-06-28,-35.11,-14.48,-108.9
2022-06-29,-35.19,-14.81,-117.55
2022-06-30,-35.4,-15.16,-114.35
2022-07-01,-36.26,-15.52,-135.87
2022-07-05,-36.52,-15.8,-117.04
2022-07-06,-36.44,-16.08,-116.53
2022-07-07,-35.61,-16.34,-122.87
2022-07-08,-34.54,-16.56,-119.86
2022-07-11,-33.63,-16.72,-116.3
2022-07-12,-33.08,-16.79,-96.77
2022-07-13,-32.74,-16.72,-94.63
2022-07-14,-32.63,-16.66,-88.82
2022-07-15,-32.08,-16.57,-91.46
2022-07-18,-31.48,-16.39,-91.02
2022-07-19,-30.75,-16.1,-105.38
2022-07-20,-29.74,-15.89,-105.82
2022-07-21,-28.76,-15.62,-116.65
2022-07-22,-28.82,-15.43,-124.25
2022-07-25,-28.88,-15.37,-135.42
2022-07-26,-29.51,-15.34,-122.6
2022-07-27,-29.83,-15.11,-141.84
2022-07-28,-30.19,-14.82,-163.69
2022-07-29,-30.06,-14.42,-200.62
2022-08-01,-29.36,-14.1,-184.98
2022-08-02,-28.57,-13.8,-173.5
2022-08-03,-27.98,-13.46,-187.72
2022-08-04,-27.33,-13.19,-180.28
2022-08-05,-27.04,-12.92,-198.28
2022-08-08,-27.23,-12.6,-205.55
2022-08-09,-27.76,-12.26,-216.53
2022-08-10,-28.25,-11.84,-244.18
2022-08-11,-28.69,-11.41,-235.41
2022-08-12,-28.29,-11.0,-255.1
2022-08-15,-27.78,-10.54,-273.21
2022-08-16,-27.03,-10.19,-288.65
2022-08-17,-26.98,-9.88,-289.32
2022-08-18,-26.86,-9.61,-284.95
2022-08-19,-27.56,-9.34,-267.71
2022-08-22,-28.55,-9.14,-235.17
2022-08-23,-29.47,-8.9,-233.9
2022-08-24,-29.98,-8.76,-236.63
2022-08-25,-30.25,-8.62,-244.66
2022-08-26,-30.69,-8.66,-202.88
2022-08-29,-30.9,-8.71,-196.39
2022-08-30,-31.14,-8.77,-184.94
2022-08-31,-31.42,-8.91,-172.62
2022-09-01,-31.86,-9.02,-171.32
2022-09-02,-31.9,-9.16,-164.52
2022-09-06,-32.01,-9.3,-167.3
2022-09-07,-32.05,-9.36,-200.55
2022-09-08,-32.05,-9.46,-211.46
2022-09-09,-31.87,-9.5,-229.24
2022-09-12,-31.44,-9.55,-258.57
2022-09-13,-31.84,-9.8,-187.43
2022-09-14,-32.31,-10.04,-200.09
2022-09-15,-32.96,-10.31,-181.87
2022-09-16,-34.03,-10.62,-166.64
2022-09-19,-35.38,-10.85,-186.8
2022-09-20,-36.05,-11.07,-177.96
2022-09-21,-36.76,-11.36,-156.43
2022-09-22,-37.48,-11.69,-148.35
2022-09-23,-38.13,-12.13,-125.61
2022-09-26,-38.9,-12.5,-123.88
2022-09-27,-38.94,-12.87,-109.87
2022-09-28,-38.72,-13.15,-121.99
2022-09-29,-38.63,-13.48,-108.11
2022-09-30,-38.63,-13.91,-94.81
2022-10-03,-37.76,-14.17,-106.52
2022-10-04,-36.76,-14.31,-122.1
2022-10-05,-35.68,-14.52,-113.84
2022-10-06,-34.38,-14.79,-102.96
2022-10-07,-33.52,-15.24,-88.89
2022-10-10,-33.6,-15.77,-92.75
2022-10-11,-33.65,-16.14,-72.69
2022-10-12,-34.13,-16.53,-76.61
2022-10-13,-34.06,-16.77,-82.67
2022-10-14,-34.1,-17.07,-78.96
2022-10-17,-33.58,-17.3,-94.27
2022-10-18,-33.87,-17.44,-112.73
2022-10-19,-33.8,-17.53,-102.07
2022-10-20,-34.08,-17.62,-89.76
2022-10-21,-33.26,-17.54,-94.88
2022-10-24,-32.59,-17.38,-106.56
2022-10-25,-31.77,-17.14,-131.2
2022-10-26,-31.18,-16.99,-124.46
2022-10-27,-31.55,-16.77,-145.23
2022-10-28,-32.04,-16.4,-165.56
2022-10-31,-32.57,-16.18,-153.16
2022-11-01,-32.66,-16.09,-139.54
2022-11-02,-32.99,-16.09,-117.34
2022-11-03,-32.52,-16.1,-105.45
2022-11-04,-31.84,-15.93,-99.8
2022-11-07,-31.09,-15.69,-107.34
2022-11-08,-30.45,-15.4,-105.97
2022-11-09,-29.85,-15.19,-95.16
2022-11-10,-28.19,-14.86,-127.01
2022-11-11,-26.64,-14.39,-118.24
2022-11-14,-25.35,-14.06,-112.36
2022-11-15,-23.97,-13.74,-111.35
2022-11-16,-23.27,-13.43,-147.22
2022-11-17,-23.65,-13.09,-143.11
2022-11-18,-24.62,-12.84,-153.96
2022-11-21,-25.76,-12.64,-162.96
2022-11-22,-26.87,-12.46,-175.73
2022-11-23,-26.85,-12.22,-188.23
2022-11-25,-26.93,-11.96,-195.05
2022-11-28,-27.64,-11.86,-187.14
2022-11-29,-28.14,-11.75,-190.24
2022-11-30,-28.38,-11.5,-248.56
2022-12-01,-29.09,-11.13,-283.38
2022-12-02,-29.87,-10.73,-289.61
2022-12-05,-30.15,-10.46,-233.19
2022-12-06,-30.35,-10.29,-198.13
2022-12-07,-31.15,-10.16,-191.92
2022-12-08,-31.22,-9.91,-194.61
2022-12-09,-31.17,-9.91,-181.27
2022-12-12,-30.84,-9.89,-211.03
2022-12-13,-30.46,-9.8,-235.16
2022-12-14,-30.27,-9.78,-224.63
2022-12-15,-31.06,-9.83,-191.44
2022-12-16,-31.76,-9.92,-167.51
2022-12-19,-32.67,-10.07,-156.25
2022-12-20,-33.81,-10.22,-160.57
2022-12-21,-34.67,-10.36,-181.78
2022-12-22,-35.33,-10.59,-173.28
2022-12-23,-35.8,-10.79,-175.66
2022-12-27,-36.23,-10.94,-170.64
2022-12-28,-36.62,-11.14,-159.07
2022-12-29,-36.76,-11.39,-173.62
2022-12-30,-36.62,-11.67,-175.28
2023-01-03,-36.41,-11.94,-165.02
2023-01-04,-35.19,-12.1,-139.78
2023-01-05,-33.62,-12.25,-118.68
2023-01-06,-31.9,-12.29,-131.94
2023-01-09,-30.13,-12.37,-135.17
2023-01-10,-28.4,-12.39,-138.46
2023-01-11,-27.41,-12.41,-153.77
2023-01-12,-26.76,-12.45,-172.72
2023-01-13,-26.72,-12.45,-187.14
2023-01-17,-26.59,-12.34,-184.28
2023-01-18,-26.77,-12.26,-151.0
2023-01-19,-27.21,-12.16,-139.22
2023-01-20,-26.9,-11.98,-150.45
2023-01-23,-25.66,-11.8,-132.44
2023-01-24,-24.53,-11.57,-137.83
2023-01-25,-23.25,-11.36,-134.63
2023-01-26,-21.6,-11.09,-142.31
2023-01-27,-20.22,-10.75,-132.82
2023-01-30,-20.25,-10.54,-134.27
2023-01-31,-20.49,-10.26,-196.61
2023-02-01,-20.13,-9.92,-196.63
2023-02-02,-19.95,-9.55,-254.67
2023-02-03,-20.23,-9.18,-215.14
2023-02-06,-20.57,-8.93,-235.81
2023-02-07,-20.0,-8.62,-246.34
2023-02-08,-20.59,-8.39,-237.78
2023-02-09,-21.33,-8.25,-208.28
2023-02-10,-21.98,-8.12,-223.09
2023-02-13,-21.95,-7.96,-262.94
2023-02-14,-21.96,-7.79,-221.1
2023-02-15,-21.55,-7.54,-239.43
2023-02-16,-21.59,-7.31,-222.64
2023-02-17,-21.79,-7.16,-232.5
2023-02-21,-22.43,-7.15,-198.14
2023-02-22,-23.73,-7.13,-204.26
2023-02-23,-24.52,-7.1,-189.93
2023-02-24,-25.0,-7.15,-173.63
2023-02-27,-25.28,-7.2,-185.42
2023-02-28,-25.23,-7.21,-176.86
2023-03-01,-25.02,-7.29,-174.89
2023-03-02,-25.49,-7.4,-206.47
2023-03-03,-25.73,-7.51,-252.23
2023-03-06,-25.89,-7.56,-255.74
2023-03-07,-26.35,-7.66,-219.77
2023-03-08,-26.46,-7.8,-204.69
2023-03-09,-26.67,-7.97,-173.91
2023-03-10,-27.15,-8.17,-152.62
2023-03-13,-27.9,-8.39,-161.0
2023-03-14,-28.23,-8.58,-193.1
2023-03-15,-28.93,-8.8,-180.06
2023-03-16,-28.68,-8.95,-190.73
2023-03-17,-28.23,-9.1,-161.78
2023-03-20,-27.27,-9.21,-170.42
2023-03-21,-26.14,-9.18,-193.07
2023-03-22,-25.1,-9.22,-153.97
2023-03-23,-23.86,-9.28,-115.72
2023-03-24,-22.7,-9.28,-123.55
2023-03-27,-22.14,-9.28,-146.99
2023-03-28,-21.98,-9.28,-149.89
2023-03-29,-20.58,-9.21,-119.95
2023-03-30,-20.13,-9.15,-144.2
2023-03-31,-20.34,-9.08,-254.88
2023-04-03,-20.29,-8.99,-294.42
2023-04-04,-20.71,-8.86,-310.2
2023-04-05,-22.3,-8.75,-301.11
2023-04-06,-23.38,-8.54,-291.26
2023-04-10,-22.53,-8.27,-194.19
2023-04-11,-21.52,-8.0,-189.04
2023-04-12,-20.26,-7.81,-200.32
2023-04-13,-18.71,-7.53,-249.5
2023-04-14,-17.63,-7.34,-244.42
2023-04-17,-17.79,-7.08,-269.06
2023-04-18,-18.17,-6.86,-289.0
2023-04-19,-18.49,-6.7,-320.08
2023-04-20,-18.85,-6.49,-260.26
2023-04-21,-19.21,-6.28,-271.89
2023-04-24,-19.94,-6.09,-318.15
2023-04-25,-20.87,-5.96,-263.76
2023-04-26,-20.77,-5.84,-191.45
2023-04-27,-20.64,-5.71,-256.11
2023-04-28,-19.81,-5.57,-241.23
2023-05-01,-19.01,-5.49,-292.46
2023-05-02,-17.99,-5.49,-232.97
2023-05-03,-17.95,-5.49,-221.38
2023-05-04,-18.23,-5.51,-198.81
2023-05-05,-18.94,-5.47,-271.46
2023-05-08,-19.32,-5.43,-283.37
2023-05-09,-19.56,-5.42,-254.73
2023-05-10,-19.8,-5.36,-306.47
2023-05-11,-19.52,-5.37,-256.21
2023-05-12,-19.6,-5.38,-264.86
2023-05-15,-18.62,-5.39,-191.87
2023-05-16,-17.9,-5.43,-181.24
2023-05-17,-16.62,-5.42,-214.47
2023-05-18,-15.07,-5.33,-198.08
2023-05-19,-13.18,-5.26,-165.53
2023-05-22,-12.77,-5.18,-237.7
2023-05-23,-12.17,-5.1,-169.17
2023-05-24,-11.75,-5.04,-121.96
2023-05-25,-11.21,-5.01,-74.26
2023-05-26,-9.7,-4.96,27.3
2023-05-30,-8.27,-4.9,-58.26
2023-05-31,-7.69,-4.83,-153.54
2023-06-01,-6.98,-4.67,-190.64
2023-06-02,-7.06,-4.42,-436.87
2023-06-05,-8.64,-4.25,-482.12
2023-06-06,-9.69,-4.07,-574.21
2023-06-07,-9.95,-3.9,-494.24
2023-06-08,-10.94,-3.71,-925.56
2023-06-09,-11.93,-3.5,-1053.85
2023-06-12,-12.01,-3.25,-3914.81
2023-06-13,-11.92,-2.98,-2807.89
2023-06-14,-11.38,-2.67,-2020.0
2023-06-15,-10.46,-2.36,-625.58
2023-06-16,-9.87,-2.11,-882.22
2023-06-20,-10.02,-1.88,-1398.88
2023-06-21,-10.56,-1.67,-3817.14
2023-06-22,-11.32,-1.4,-1849.3
2023-06-23,-12.25,-1.12,-34150.0
2023-06-26,-12.83,-0.91,-2893.33
2023-06-27,-12.86,-0.7,-1929.69
2023-06-28,-12.53,-0.5,-1743.48
2023-06-29,-13.03,-0.26,-2298.53
2023-06-30,-13.61,-0.02,-995.14
2023-07-03,-13.95,0.16,-860.0
2023-07-05,-15.13,0.34,-1088.76
2023-07-06,-16.6,0.46,-2026.8
2023-07-07,-17.5,0.6,-2727.03
2023-07-10,-17.6,0.71,-1788.12
2023-07-11,-17.67,0.86,-1044.24
2023-07-12,-17.22,0.99,-728.28
2023-07-13,-16.35,1.13,-540.18
2023-07-14,-15.45,1.27,-570.13
2023-07-17,-14.75,1.36,-483.29
2023-07-18,-14.4,1.51,-420.65
2023-07-19,-14.09,1.69,-404.42
2023-07-20,-14.05,1.87,-466.58
2023-07-21,-13.63,2.02,-432.82
2023-07-24,-13.55,2.24,-404.65
2023-07-25,-13.35,2.49,-381.58
2023-07-26,-12.71,2.69,-331.22
2023-07-27,-11.02,2.85,-243.11
2023-07-28,-9.56,3.06,-214.46
2023-07-31,-7.99,3.22,-205.59
2023-08-01,-6.63,3.35,-228.76
2023-08-02,-6.38,3.44,-365.16
2023-08-03,-6.85,3.56,-343.2
2023-08-04,-7.16,3.67,-343.15
2023-08-07,-7.66,3.8,-314.6
2023-08-08,-8.36,3.88,-386.14
2023-08-09,-8.58,3.9,-466.32
2023-08-10,-9.3,3.88,-504.15
2023-08-11,-10.43,3.87,-550.18
2023-08-14,-10.65,3.85,-374.61
2023-08-15,-11.06,3.76,-574.18
2023-08-16,-11.49,3.63,-748.45
2023-08-17,-11.79,3.5,-1048.2
2023-08-18,-11.87,3.38,-1007.59
2023-08-21,-12.66,3.26,-774.74
2023-08-22,-13.01,3.12,-878.95
2023-08-23,-12.84,3.01,-581.48
2023-08-24,-12.81,2.89,-953.59
2023-08-25,-12.79,2.75,-761.93
2023-08-28,-12.54,2.62,-580.91
2023-08-29,-11.95,2.55,-406.51
2023-08-30,-11.43,2.56,-348.36
2023-08-31,-10.3,2.57,-307.26
2023-09-01,-9.07,2.61,-288.22
2023-09-05,-8.14,2.6,-307.76
2023-09-06,-7.43,2.57,-347.46
2023-09-07,-7.11,2.55,-400.4
2023-09-08,-7.05,2.54,-370.61
2023-09-11,-7.13,2.56,-323.31
2023-09-12,-7.12,2.53,-354.41
2023-09-13,-7.0,2.55,-319.01
2023-09-14,-6.5,2.64,-235.14
2023-09-15,-6.58,2.69,-405.31
2023-09-18,-6.46,2.75,-360.55
2023-09-19,-6.35,2.77,-371.19
2023-09-20,-6.66,2.76,-645.77
2023-09-21,-7.67,2.63,-4935.0
2023-09-22,-7.94,2.53,-1897.73
2023-09-25,-8.44,2.43,-30500.0
2023-09-26,-9.16,2.23,-577.03
2023-09-27,-9.55,1.99,-562.33
2023-09-28,-10.26,1.74,-981.75
2023-09-29,-10.48,1.49,-565.1
2023-10-02,-10.61,1.23,-567.35
2023-10-03,-10.6,0.93,-260.29
2023-10-04,-10.59,0.69,-364.25
2023-10-05,-9.54,0.46,-289.77
2023-10-06,-8.99,0.27,-611.88
2023-10-09,-8.6,0.09,-2072.22
2023-10-10,-8.27,-0.04,-6071.43
2023-10-11,-7.72,-0.15,-1325.0
2023-10-12,-7.54,-0.34,-24766.67
2023-10-13,-7.73,-0.49,-1385.45
2023-10-16,-7.84,-0.59,-1876.6
2023-10-17,-7.86,-0.68,-1860.42
2023-10-18,-8.14,-0.8,-872.94
2023-10-19,-8.73,-0.87,-518.45
2023-10-20,-9.25,-0.99,-273.7
2023-10-23,-9.83,-1.15,-267.65
2023-10-24,-10.08,-1.19,-313.68
2023-10-25,-10.77,-1.3,-217.57
2023-10-26,-11.57,-1.48,-194.66
2023-10-27,-11.98,-1.67,-143.75
2023-10-30,-12.19,-1.81,-196.15
2023-10-31,-12.51,-1.85,-213.65
2023-11-01,-11.71,-1.87,-211.65
2023-11-02,-10.12,-1.8,-815.71
2023-11-03,-8.28,-1.74,-2010.53
2023-11-06,-6.45,-1.7,-939.47
2023-11-07,-4.87,-1.67,-613.85
2023-11-08,-4.12,-1.66,-650.68
2023-11-09,-3.3,-1.66,-23200.0
2023-11-10,-2.57,-1.56,-98.68
2023-11-13,-2.08,-1.51,-152.82
2023-11-14,-0.93,-1.37,-27.84
2023-11-15,0.34,-1.15,-33.61
2023-11-16,1.16,-0.88,-52.83
2023-11-17,1.74,-0.54,-24.35
2023-11-20,2.75,-0.16,-6.7
2023-11-21,2.63,0.18,-58.72
2023-11-22,2.62,0.6,-51.98
2023-11-24,2.67,1.09,-58.73
2023-11-27,2.66,1.59,-39.23
2023-11-28,2.05,2.04,-73.07
2023-11-29,2.08,2.45,-59.11
2023-11-30,1.87,2.83,-74.8
2023-12-01,1.68,3.15,-81.14
2023-12-04,0.96,3.39,-114.68
2023-12-05,0.41,3.63,-129.13
2023-12-06,-0.41,3.83,-145.76
2023-12-07,-0.97,4.07,-128.33
2023-12-08,-1.17,4.36,-98.96
2023-12-11,-0.32,4.59,-42.65
2023-12-12,0.76,4.84,-40.61
2023-12-13,2.33,5.07,-28.03
2023-12-14,4.3,5.31,1.22
2023-12-15,5.78,5.52,-7.44
2023-12-18,6.6,5.76,-11.48
2023-12-19,7.49,5.99,-8.73
2023-12-20,7.19,6.14,-44.47
2023-12-21,7.99,6.32,47.73
2023-12-22,9.22,6.51,58.34
2023-12-26,10.54,6.72,59.4
2023-12-27,11.62,6.94,51.32
2023-12-28,13.38,7.15,42.37
2023-12-29,13.35,7.34,37.32
2024-01-02,12.32,7.47,3.06
2024-01-03,11.13,7.59,10.36
2024-01-04,10.15,7.7,22.96
2024-01-05,9.53,7.83,33.83
2024-01-08,9.45,8.0,33.45
2024-01-09,9.77,8.14,16.01
2024-01-10,9.9,8.3,-3.04
2024-01-11,10.13,8.43,9.58
2024-01-12,9.95,8.5,-3.03
2024-01-16,9.88,8.53,28.14
2024-01-17,9.87,8.55,18.17
2024-01-18,10.41,8.58,26.46
2024-01-19,11.33,8.64,41.78
2024-01-22,12.86,8.79,57.25
2024-01-23,13.48,8.91,34.07
2024-01-24,14.52,9.03,39.23
2024-01-25,15.5,9.15,44.71
2024-01-26,15.6,9.27,33.25
2024-01-29,15.56,9.42,35.82
2024-01-30,15.2,9.57,6.17
2024-01-31,14.6,9.69,16.84
2024-02-01,13.66,9.88,3.14
2024-02-02,13.21,10.14,3.87
2024-02-05,12.63,10.38,11.93
2024-02-06,12.18,10.55,-15.06
2024-02-07,11.98,10.77,-14.23
2024-02-08,11.79,10.97,-17.36
2024-02-09,11.55,11.19,-14.15
2024-02-12,11.23,11.41,-12.57
2024-02-13,10.44,11.57,-46.34
2024-02-14,9.58,11.81,-47.33
2024-02-15,8.74,12.04,-51.74
2024-02-16,7.18,12.18,-70.48
2024-02-20,5.9,12.29,-57.03
2024-02-21,5.89,12.39,-49.49
2024-02-22,6.94,12.6,-18.61
2024-02-23,8.06,12.77,-18.15
2024-02-26,10.62,12.93,14.44
2024-02-27,13.49,13.07,33.76
2024-02-28,15.6,13.21,16.31
2024-02-29,16.81,13.44,21.0
2024-03-01,19.09,13.65,49.65
2024-03-04,20.63,13.82,55.93
2024-03-05,21.22,13.94,56.21
2024-03-06,22.65,14.08,59.6
2024-03-07,24.73,14.24,76.23
2024-03-08,25.37,14.36,72.45
2024-03-11,25.04,14.45,47.35
2024-03-12,25.81,14.6,61.15
2024-03-13,25.45,14.81,36.76
2024-03-14,23.48,14.96,16.54
2024-03-15,22.35,15.04,36.82
2024-03-18,22.16,15.18,36.09
2024-03-19,21.27,15.38,33.59
2024-03-20,21.82,15.6,44.25
2024-03-21,26.6,15.74,141.61
2024-03-22,31.01,15.85,150.2
2024-03-25,37.07,15.98,206.52
2024-03-26,43.52,16.07,224.02
2024-03-27,49.49,16.22,212.75
2024-03-28,51.58,16.34,202.9
2024-04-01,55.03,16.41,252.68
2024-04-02,56.28,16.45,254.95
2024-04-03,58.45,16.55,293.84
2024-04-04,59.5,16.56,293.08
2024-04-05,60.77,16.57,263.65
2024-04-08,60.42,16.61,257.83
2024-04-09,60.4,16.66,252.69
2024-04-10,58.94,16.61,273.55
2024-04-11,59.65,16.61,291.58
2024-04-12,59.39,16.54,293.58
2024-04-15,59.04,16.44,323.4
2024-04-16,58.85,16.3,332.88
2024-04-17,57.63,16.1,311.19
2024-04-18,54.35,15.85,282.61
2024-04-19,51.1,15.54,266.72
2024-04-22,48.58,15.29,258.72
2024-04-23,46.76,15.13,250.91
2024-04-24,45.91,14.97,247.19
2024-04-25,45.91,14.76,257.45
2024-04-26,47.73,14.6,256.49
2024-04-29,48.96,14.48,243.18
2024-04-30,49.06,14.3,277.2
2024-05-01,48.35,14.09,255.99
2024-05-02,48.34,13.99,252.91
2024-05-03,48.14,13.91,239.73
2024-05-06,49.38,13.88,257.37
2024-05-07,50.73,13.86,246.57
2024-05-08,53.08,13.89,247.17
2024-05-09,54.4,13.91,222.28
2024-05-10,56.01,14.01,245.1
2024-05-13,56.73,14.18,258.28
2024-05-14,58.15,14.39,260.29
2024-05-15,60.31,14.7,253.69
2024-05-16,62.87,15.01,258.61
2024-05-17,63.9,15.37,237.42
2024-05-20,65.44,15.7,260.63
2024-05-21,66.13,15.97,244.61
2024-05-22,65.74,16.23,242.73
2024-05-23,65.32,16.46,259.27
2024-05-24,66.4,16.69,266.1
2024-05-28,67.34,16.89,285.79
2024-05-29,68.39,17.15,295.78
2024-05-30,68.39,17.39,274.38
2024-05-31,68.06,17.64,244.63
2024-06-03,67.5,17.8,264.33
2024-06-04,65.73,17.92,250.82
2024-06-05,66.05,18.1,272.14
2024-06-06,66.79,18.27,248.83
2024-06-07,68.09,18.41,257.23
2024-06-10,69.78,18.56,275.32
2024-06-11,71.93,18.72,271.86
2024-06-12,73.73,18.9,288.94
2024-06-13,77.06,19.03,299.25
2024-06-14,79.72,19.17,286.76
2024-06-17,83.03,19.34,307.44
2024-06-18,87.72,19.53,333.35
2024-06-20,88.6,19.69,286.82
2024-06-21,87.68,19.85,264.66
2024-06-24,87.08,20.04,266.9
2024-06-25,85.37,20.2,272.18
2024-06-26,82.55,20.37,277.36
2024-06-27,79.49,20.59,216.64
2024-06-28,77.43,20.81,223.59
2024-07-01,75.28,20.98,220.01
2024-07-02,72.86,21.18,217.34
2024-07-03,71.2,21.4,235.16
2024-07-05,70.8,21.58,198.06
2024-07-08,70.36,21.76,191.91
2024-07-09,70.26,21.96,193.15
2024-07-10,71.24,22.18,209.43
2024-07-11,69.56,22.35,186.95
2024-07-12,70.06,22.5,197.42
2024-07-15,70.11,22.65,179.79
