Date,rate_ORCL_5D,rate_VOO_20D,Max_Divergence
2022-09-30,-22.3,-13.91,-19.96
2022-10-03,-22.29,-14.17,-20.03
2022-10-04,-21.38,-14.31,-18.13
2022-10-05,-20.4,-14.52,-9.31
2022-10-06,-19.34,-14.79,-13.65
2022-10-07,-18.68,-15.24,-12.93
2022-10-10,-18.81,-15.77,-14.06
2022-10-11,-19.61,-16.14,-11.97
2022-10-12,-20.31,-16.53,-1.94
2022-10-13,-20.33,-16.77,-3.89
2022-10-14,-20.07,-17.07,0.21
2022-10-17,-18.97,-17.3,8.04
2022-10-18,-17.83,-17.44,2.75
2022-10-19,-17.2,-17.53,0.65
2022-10-20,-16.2,-17.62,25.27
2022-10-21,-14.11,-17.54,43.51
2022-10-24,-12.64,-17.38,41.49
2022-10-25,-11.12,-17.14,37.6
2022-10-26,-9.0,-16.99,55.47
2022-10-27,-7.53,-16.77,59.79
2022-10-28,-6.36,-16.4,75.65
2022-10-31,-5.08,-16.18,83.59
2022-11-01,-4.07,-16.09,75.0
2022-11-02,-3.97,-16.09,62.48
2022-11-03,-3.97,-16.1,63.81
2022-11-04,-4.29,-15.93,68.92
2022-11-07,-4.6,-15.69,73.63
2022-11-08,-4.92,-15.4,64.19
2022-11-09,-4.75,-15.19,68.39
2022-11-10,-4.25,-14.86,69.94
2022-11-11,-3.86,-14.39,73.45
2022-11-14,-3.48,-14.06,83.05
2022-11-15,-2.72,-13.74,89.26
2022-11-16,-1.81,-13.43,97.65
2022-11-17,-1.36,-13.09,90.44
2022-11-18,-0.92,-12.84,95.9
2022-11-21,-0.62,-12.64,96.94
2022-11-22,0.08,-12.46,125.21
2022-11-23,0.72,-12.22,132.45
2022-11-25,1.55,-11.96,134.51
2022-11-28,1.95,-11.86,114.76
2022-11-29,2.21,-11.75,109.29
2022-11-30,2.38,-11.5,140.9
2022-12-01,2.64,-11.13,155.15
2022-12-02,2.72,-10.73,144.49
2022-12-05,2.31,-10.46,94.93
2022-12-06,1.9,-10.29,90.02
2022-12-07,1.0,-10.16,88.8
2022-12-08,0.2,-9.91,102.45
2022-12-09,-0.5,-9.91,100.09
2022-12-12,-0.08,-9.89,116.86
2022-12-13,0.28,-9.8,108.48
2022-12-14,0.98,-9.78,123.79
2022-12-15,0.97,-9.83,101.54
2022-12-16,0.88,-9.92,96.85
2022-12-19,0.7,-10.07,105.13
2022-12-20,0.79,-10.22,108.97
2022-12-21,0.72,-10.36,115.33
2022-12-22,0.82,-10.59,104.98
2022-12-23,1.13,-10.79,108.49
2022-12-27,1.24,-10.94,109.47
2022-12-28,1.09,-11.14,103.3
2022-12-29,1.07,-11.39,113.69
2022-12-30,1.37,-11.67,116.53
2023-01-03,2.05,-11.94,133.86
2023-01-04,2.88,-12.1,142.69
2023-01-05,3.83,-12.25,138.24
2023-01-06,4.85,-12.29,158.69
2023-01-09,5.98,-12.37,166.44
2023-01-10,6.66,-12.39,171.02
2023-01-11,7.69,-12.41,204.66
2023-01-12,8.8,-12.45,210.46
2023-01-13,9.68,-12.45,219.98
2023-01-17,10.22,-12.34,210.59
2023-01-18,10.27,-12.26,174.68
2023-01-19,9.61,-12.16,162.41
2023-01-20,9.23,-11.98,188.61
2023-01-23,9.17,-11.8,223.15
2023-01-24,9.42,-11.57,230.31
2023-01-25,10.12,-11.36,230.08
2023-01-26,11.06,-11.09,247.89
2023-01-27,11.49,-10.75,241.41
2023-01-30,11.15,-10.54,204.03
2023-01-31,10.91,-10.26,237.99
2023-02-01,10.99,-9.92,285.89
2023-02-02,10.88,-9.55,316.57
2023-02-03,11.0,-9.18,287.44
2023-02-06,11.22,-8.93,254.68
2023-02-07,11.0,-8.62,264.98
2023-02-08,10.22,-8.39,224.89
2023-02-09,9.59,-8.25,212.83
2023-02-10,9.01,-8.12,224.08
2023-02-13,9.22,-7.96,285.6
2023-02-14,9.54,-7.79,278.1
2023-02-15,9.92,-7.54,270.3
2023-02-16,10.17,-7.31,234.67
2023-02-17,10.19,-7.16,223.71
2023-02-21,9.41,-7.15,187.79
2023-02-22,8.73,-7.13,188.61
2023-02-23,8.79,-7.1,225.3
2023-02-24,9.02,-7.15,215.82
2023-02-27,9.19,-7.2,209.49
2023-02-28,9.48,-7.21,198.25
2023-03-01,9.44,-7.29,181.49
2023-03-02,9.01,-7.4,195.73
2023-03-03,9.11,-7.51,248.85
2023-03-06,9.49,-7.56,258.74
2023-03-07,9.68,-7.66,214.8
2023-03-08,10.19,-7.8,218.43
2023-03-09,10.16,-7.97,180.46
2023-03-10,8.89,-8.17,141.61
2023-03-13,7.71,-8.39,150.31
2023-03-14,6.78,-8.58,152.8
2023-03-15,5.43,-8.8,131.72
2023-03-16,4.93,-8.95,161.81
2023-03-17,5.22,-9.1,161.28
2023-03-20,5.72,-9.21,189.27
2023-03-21,6.46,-9.18,211.39
2023-03-22,7.68,-9.22,198.33
2023-03-23,8.41,-9.28,198.93
2023-03-24,9.08,-9.28,204.38
2023-03-27,9.87,-9.28,235.52
2023-03-28,10.43,-9.28,229.21
2023-03-29,11.1,-9.21,262.13
2023-03-30,11.78,-9.15,272.31
2023-03-31,13.0,-9.08,358.02
2023-04-03,13.86,-8.99,396.4
2023-04-04,14.81,-8.86,372.53
2023-04-05,15.79,-8.75,380.16
2023-04-06,17.04,-8.54,417.65
2023-04-10,17.18,-8.27,378.29
2023-04-11,17.19,-8.0,383.22
2023-04-12,17.16,-7.81,364.9
2023-04-13,17.33,-7.53,468.66
2023-04-14,17.28,-7.34,459.04
2023-04-17,17.73,-7.08,479.51
2023-04-18,18.34,-6.86,506.64
2023-04-19,18.81,-6.7,489.03
2023-04-20,18.63,-6.49,428.17
2023-04-21,18.5,-6.28,439.25
2023-04-24,18.46,-6.09,454.05
2023-04-25,17.92,-5.96,362.67
2023-04-26,17.46,-5.84,343.66
2023-04-27,17.53,-5.71,441.98
2023-04-28,17.45,-5.57,485.53
2023-05-01,17.25,-5.49,484.92
2023-05-02,17.33,-5.49,414.75
2023-05-03,17.48,-5.49,383.88
2023-05-04,17.39,-5.51,360.51
2023-05-05,17.82,-5.47,483.3
2023-05-08,18.26,-5.43,482.19
2023-05-09,18.56,-5.42,441.27
2023-05-10,19.18,-5.36,499.8
2023-05-11,19.75,-5.37,488.15
2023-05-12,19.95,-5.38,488.41
2023-05-15,20.07,-5.39,498.61
2023-05-16,20.57,-5.43,476.64
2023-05-17,21.11,-5.42,606.8
2023-05-18,22.29,-5.33,818.08
2023-05-19,23.5,-5.26,805.53
2023-05-22,24.59,-5.18,782.35
2023-05-23,24.65,-5.1,549.58
2023-05-24,24.29,-5.04,486.93
2023-05-25,24.76,-5.01,708.3
2023-05-26,25.07,-4.96,914.08
2023-05-30,25.89,-4.9,959.13
2023-05-31,27.7,-4.83,872.73
2023-06-01,29.44,-4.67,1104.01
2023-06-02,29.7,-4.42,1968.75
2023-06-05,30.26,-4.25,1840.78
2023-06-06,30.61,-4.07,2072.96
2023-06-07,30.32,-3.9,1625.13
2023-06-08,30.68,-3.71,2493.23
2023-06-09,31.64,-3.5,3064.96
2023-06-12,33.93,-3.25,15896.3
2023-06-13,36.25,-2.98,11202.63
2023-06-14,40.37,-2.67,10946.67
2023-06-15,44.98,-2.36,3091.28
2023-06-16,48.75,-2.11,3868.15
2023-06-20,50.11,-1.88,5453.93
2023-06-21,51.42,-1.67,14045.71
2023-06-22,51.01,-1.4,6614.08
2023-06-23,49.1,-1.12,113400.0
2023-06-26,47.0,-0.91,9671.11
2023-06-27,45.95,-0.7,6801.56
2023-06-28,44.61,-0.5,6104.35
2023-06-29,43.9,-0.26,6386.76
2023-06-30,43.92,-0.02,2357.3
2023-07-03,43.82,0.16,2028.5
2023-07-05,43.24,0.34,2216.85
2023-07-06,42.81,0.46,4093.81
2023-07-07,41.94,0.6,5270.27
2023-07-10,40.74,0.71,3809.9
2023-07-11,40.24,0.86,2328.48
2023-07-12,40.28,0.99,1596.72
2023-07-13,40.75,1.13,1221.17
2023-07-14,41.84,1.27,1321.07
2023-07-17,42.9,1.36,1167.71
2023-07-18,44.21,1.51,982.37
2023-07-19,44.84,1.69,883.22
2023-07-20,44.56,1.87,980.05
2023-07-21,44.22,2.02,1023.77
2023-07-24,44.06,2.24,921.16
2023-07-25,43.48,2.49,860.09
2023-07-26,42.78,2.69,796.07
2023-07-27,42.85,2.85,953.88
2023-07-28,42.47,3.06,759.3
2023-07-31,42.29,3.22,757.68
2023-08-01,42.11,3.35,820.39
2023-08-02,41.98,3.44,1043.91
2023-08-03,41.38,3.56,1079.76
2023-08-04,40.84,3.67,1233.22
2023-08-07,40.41,3.8,1024.52
2023-08-08,39.85,3.88,1106.33
2023-08-09,39.4,3.9,1238.6
2023-08-10,39.2,3.88,1216.61
2023-08-11,39.04,3.87,1246.64
2023-08-14,38.94,3.85,1149.23
2023-08-15,39.29,3.76,1612.3
2023-08-16,39.69,3.63,1970.1
2023-08-17,40.04,3.5,2761.87
2023-08-18,40.63,3.38,2733.79
2023-08-21,40.8,3.26,2068.42
2023-08-22,40.68,3.12,2306.43
2023-08-23,41.09,3.01,1637.04
2023-08-24,40.77,2.89,2397.39
2023-08-25,40.71,2.75,1969.54
2023-08-28,40.75,2.62,1617.84
2023-08-29,41.41,2.55,1215.68
2023-08-30,41.94,2.56,1125.41
2023-08-31,43.15,2.57,1136.31
2023-09-01,43.76,2.61,1100.55
2023-09-05,44.73,2.6,1280.0
2023-09-06,45.15,2.57,1587.68
2023-09-07,45.66,2.55,1803.61
2023-09-08,46.56,2.54,1762.21
2023-09-11,47.65,2.56,1410.12
2023-09-12,44.38,2.53,999.63
2023-09-13,41.55,2.55,1041.9
2023-09-14,38.97,2.64,832.16
2023-09-15,36.17,2.69,1319.18
2023-09-18,32.89,2.75,1183.2
2023-09-19,33.61,2.77,1319.49
2023-09-20,33.84,2.76,2266.9
2023-09-21,32.87,2.63,14920.0
2023-09-22,31.76,2.53,6731.82
2023-09-25,30.85,2.43,94533.33
2023-09-26,29.02,2.23,1744.59
2023-09-27,27.11,1.99,1746.58
2023-09-28,26.34,1.74,2149.21
2023-09-29,25.62,1.49,1814.77
2023-10-02,25.14,1.23,1866.67
2023-10-03,24.96,0.93,945.49
2023-10-04,25.43,0.69,1375.36
2023-10-05,25.84,0.46,1396.28
2023-10-06,26.68,0.27,3045.54
2023-10-09,27.52,0.09,8477.78
2023-10-10,28.73,-0.04,20935.71
2023-10-11,29.32,-0.15,5144.64
2023-10-12,29.5,-0.34,95933.33
2023-10-13,29.09,-0.49,5143.64
2023-10-16,28.72,-0.59,5917.02
2023-10-17,28.56,-0.68,5872.92
2023-10-18,28.24,-0.8,3363.53
2023-10-19,28.06,-0.87,1757.74
2023-10-20,26.56,-0.99,800.35
2023-10-23,25.37,-1.15,830.72
2023-10-24,24.0,-1.19,1032.48
2023-10-25,22.4,-1.3,633.51
2023-10-26,20.54,-1.48,480.49
2023-10-27,20.33,-1.67,464.02
2023-10-30,19.86,-1.81,580.77
2023-10-31,19.91,-1.85,714.48
2023-11-01,20.83,-1.87,1078.31
2023-11-02,22.26,-1.8,3764.29
2023-11-03,23.82,-1.74,14115.79
2023-11-06,25.46,-1.7,7331.58
2023-11-07,26.67,-1.67,4223.08
2023-11-08,28.2,-1.66,4282.19
2023-11-09,29.43,-1.66,318300.0
2023-11-10,30.6,-1.56,2061.18
2023-11-13,31.77,-1.51,2302.11
2023-11-14,33.43,-1.37,989.52
2023-11-15,33.84,-1.15,852.66
2023-11-16,34.42,-0.88,835.85
2023-11-17,34.95,-0.54,820.47
2023-11-20,35.6,-0.16,706.7
2023-11-21,35.59,0.18,733.94
2023-11-22,36.1,0.6,659.88
2023-11-24,36.47,1.09,650.72
2023-11-27,36.73,1.59,685.07
2023-11-28,36.58,2.04,663.88
2023-11-29,36.62,2.45,674.58
2023-11-30,36.62,2.83,614.06
2023-12-01,36.67,3.15,554.98
2023-12-04,36.4,3.39,593.93
2023-12-05,35.94,3.63,575.39
2023-12-06,35.03,3.83,577.97
2023-12-07,34.27,4.07,506.85
2023-12-08,33.6,4.36,479.9
2023-12-11,33.48,4.59,469.61
2023-12-12,30.59,4.84,200.91
2023-12-13,28.62,5.07,179.55
2023-12-14,25.93,5.31,135.57
2023-12-15,23.74,5.52,179.03
2023-12-18,21.62,5.76,181.32
2023-12-19,22.77,5.99,179.91
2023-12-20,23.0,6.14,210.25
2023-12-21,24.18,6.32,201.56
2023-12-22,24.8,6.51,198.6
2023-12-26,25.06,6.72,186.13
2023-12-27,25.0,6.94,178.02
2023-12-28,25.46,7.15,181.45
2023-12-29,25.37,7.34,178.8
2024-01-02,24.81,7.47,179.17
2024-01-03,23.88,7.59,178.35
2024-01-04,23.04,7.7,191.98
2024-01-05,22.17,7.83,188.99
2024-01-08,21.93,8.0,165.99
2024-01-09,21.84,8.14,159.05
2024-01-10,22.18,8.3,145.88
2024-01-11,22.7,8.43,157.56
2024-01-12,23.61,8.5,179.74
2024-01-16,24.05,8.53,189.01
2024-01-17,24.71,8.55,204.28
2024-01-18,25.84,8.58,206.83
2024-01-19,26.99,8.64,184.62
2024-01-22,27.81,8.79,183.7
2024-01-23,29.05,8.91,195.2
2024-01-24,30.9,9.03,219.8
2024-01-25,32.38,9.15,212.34
2024-01-26,33.55,9.27,210.29
2024-01-29,34.41,9.42,183.83
2024-01-30,34.95,9.57,188.91
2024-01-31,34.41,9.69,207.94
2024-02-01,34.34,9.88,208.64
2024-02-02,34.41,10.14,187.03
2024-02-05,34.8,10.38,200.0
2024-02-06,34.88,10.55,183.72
2024-02-07,35.88,10.77,184.32
2024-02-08,36.11,10.97,178.22
2024-02-09,36.28,11.19,167.45
2024-02-12,36.17,11.41,161.91
2024-02-13,35.87,11.57,175.68
2024-02-14,35.26,11.81,159.98
2024-02-15,34.49,12.04,136.81
2024-02-16,33.45,12.18,135.47
2024-02-20,32.03,12.29,124.12
2024-02-21,30.97,12.39,120.19
2024-02-22,30.34,12.6,107.36
2024-02-23,30.18,12.77,112.74
2024-02-26,30.12,12.93,111.84
2024-02-27,30.69,13.07,111.88
2024-02-28,31.38,13.21,116.45
2024-02-29,31.53,13.44,110.7
2024-03-01,31.82,13.65,111.01
2024-03-04,32.36,13.82,114.6
2024-03-05,32.12,13.94,107.21
2024-03-06,32.11,14.08,108.98
2024-03-07,32.61,14.24,110.47
2024-03-08,32.3,14.36,104.43
2024-03-11,32.32,14.45,117.89
2024-03-12,36.08,14.6,197.03
2024-03-13,39.09,14.81,185.69
2024-03-14,41.6,14.96,189.47
2024-03-15,44.58,15.04,201.87
2024-03-18,47.69,15.18,206.78
2024-03-19,48.07,15.38,207.0
2024-03-20,48.92,15.6,193.15
2024-03-21,49.71,15.74,186.55
2024-03-22,50.23,15.85,185.41
2024-03-25,49.83,15.98,177.92
2024-03-26,49.2,16.07,184.39
2024-03-27,48.31,16.22,164.83
2024-03-28,47.55,16.34,166.91
2024-04-01,46.88,16.41,168.03
2024-04-02,46.39,16.45,172.56
2024-04-03,46.17,16.55,181.58
2024-04-04,45.82,16.56,192.29
2024-04-05,45.52,16.57,177.34
2024-04-08,45.31,16.61,173.61
2024-04-09,45.08,16.66,164.23
2024-04-10,44.19,16.61,172.19
2024-04-11,43.99,16.61,168.84
2024-04-12,43.22,16.54,180.54
2024-04-15,42.28,16.44,198.96
2024-04-16,41.75,16.3,209.65
2024-04-17,41.09,16.1,208.81
2024-04-18,39.54,15.85,190.94
2024-04-19,38.18,15.54,203.32
2024-04-22,37.0,15.29,177.38
2024-04-23,35.78,15.13,154.03
2024-04-24,35.05,14.97,157.56
2024-04-25,34.81,14.76,162.66
2024-04-26,35.34,14.6,160.74
2024-04-29,35.79,14.48,148.27
2024-04-30,35.48,14.3,158.19
2024-05-01,35.19,14.09,173.79
2024-05-02,35.09,13.99,155.75
2024-05-03,34.64,13.91,138.44
2024-05-06,34.94,13.88,139.61
2024-05-07,35.77,13.86,134.29
2024-05-08,36.4,13.89,130.28
2024-05-09,36.77,13.91,116.11
2024-05-10,36.96,14.01,114.42
2024-05-13,36.51,14.18,112.34
2024-05-14,37.19,14.39,135.57
2024-05-15,38.17,14.7,122.59
2024-05-16,39.45,15.01,128.69
2024-05-17,41.03,15.37,134.75
2024-05-20,42.92,15.7,139.64
2024-05-21,43.79,15.97,136.27
2024-05-22,44.48,16.23,140.5
2024-05-23,44.93,16.46,148.86
2024-05-24,44.79,16.69,131.08
2024-05-28,44.78,16.89,139.55
2024-05-29,44.57,17.15,145.76
2024-05-30,42.83,17.39,112.06
2024-05-31,41.22,17.64,100.99
2024-06-03,40.25,17.8,112.83
2024-06-04,39.09,17.92,116.19
2024-06-05,38.7,18.1,115.97
2024-06-06,40.05,18.27,121.3
2024-06-07,41.93,18.41,137.36
2024-06-10,43.13,18.56,124.58
2024-06-11,44.01,18.72,117.98
2024-06-12,48.11,18.9,198.34
2024-06-13,51.89,19.03,192.39
2024-06-14,54.71,19.17,181.71
2024-06-17,58.59,19.34,186.34
2024-06-18,63.39,19.53,199.29
2024-06-20,63.98,19.69,194.76
2024-06-21,64.36,19.85,190.97
2024-06-24,64.76,20.04,186.65
2024-06-25,64.29,20.2,178.05
2024-06-26,62.87,20.37,172.37
2024-06-27,62.23,20.59,178.99
2024-06-28,62.11,20.81,193.4
2024-07-01,62.53,20.98,198.7
2024-07-02,63.12,21.18,191.38
2024-07-03,64.14,21.4,190.97
2024-07-05,64.86,21.58,185.75
2024-07-08,65.43,21.76,185.55
2024-07-09,64.92,21.96,164.63
2024-07-10,64.66,22.18,160.44
2024-07-11,64.32,22.35,172.88
2024-07-12,64.31,22.5,174.93
