Date,rate_BLK_5D,rate_VOO_20D,Max_Divergence
2022-06-08,-18.81,-12.26,-95.56
2022-06-09,-19.43,-12.15,-65.7
2022-06-10,-20.68,-12.17,-70.46
2022-06-13,-22.45,-12.44,-52.54
2022-06-14,-24.49,-12.7,-55.62
2022-06-15,-25.94,-13.0,-60.07
2022-06-16,-27.65,-13.26,-46.95
2022-06-17,-28.47,-13.47,-50.56
2022-06-21,-28.1,-13.6,-45.74
2022-06-22,-27.68,-13.81,-47.76
2022-06-23,-27.11,-13.94,-44.6
2022-06-24,-25.68,-13.99,-51.2
2022-06-27,-24.41,-14.14,-56.54
2022-06-28,-24.08,-14.48,-45.1
2022-06-29,-23.88,-14.81,-50.24
2022-06-30,-24.24,-15.16,-50.63
2022-07-01,-24.82,-15.52,-52.76
2022-07-05,-25.06,-15.8,-51.3
2022-07-06,-25.25,-16.08,-58.42
2022-07-07,-24.98,-16.34,-64.3
2022-07-08,-24.6,-16.56,-67.01
2022-07-11,-24.88,-16.72,-67.77
2022-07-12,-25.28,-16.79,-61.22
2022-07-13,-25.71,-16.72,-62.43
2022-07-14,-26.52,-16.66,-65.63
2022-07-15,-26.97,-16.57,-73.22
2022-07-18,-27.14,-16.39,-67.97
2022-07-19,-26.56,-16.1,-68.99
2022-07-20,-25.67,-15.89,-70.07
2022-07-21,-24.5,-15.62,-77.37
2022-07-22,-23.72,-15.43,-72.07
2022-07-25,-22.83,-15.37,-70.92
2022-07-26,-22.95,-15.34,-69.54
2022-07-27,-22.75,-15.11,-80.61
2022-07-28,-22.28,-14.82,-80.8
2022-07-29,-21.45,-14.42,-93.42
2022-08-01,-20.54,-14.1,-85.8
2022-08-02,-19.41,-13.8,-82.36
2022-08-03,-18.33,-13.46,-79.71
2022-08-04,-17.53,-13.19,-73.31
2022-08-05,-16.96,-12.92,-71.0
2022-08-08,-16.52,-12.6,-69.58
2022-08-09,-16.0,-12.26,-64.97
2022-08-10,-15.42,-11.84,-62.42
2022-08-11,-14.89,-11.41,-59.06
2022-08-12,-13.98,-11.0,-56.61
2022-08-15,-13.01,-10.54,-58.31
2022-08-16,-12.03,-10.19,-59.39
2022-08-17,-11.73,-9.88,-64.79
2022-08-18,-11.46,-9.61,-67.09
2022-08-19,-12.05,-9.34,-80.03
2022-08-22,-13.0,-9.14,-71.0
2022-08-23,-13.94,-8.9,-66.95
2022-08-24,-14.61,-8.76,-67.28
2022-08-25,-15.16,-8.62,-75.39
2022-08-26,-15.74,-8.66,-65.67
2022-08-29,-16.03,-8.71,-60.06
2022-08-30,-16.41,-8.77,-53.5
2022-08-31,-16.93,-8.91,-51.9
2022-09-01,-17.55,-9.02,-55.18
2022-09-02,-17.75,-9.16,-52.0
2022-09-06,-17.88,-9.3,-47.33
2022-09-07,-17.71,-9.36,-53.3
2022-09-08,-17.07,-9.46,-42.68
2022-09-09,-16.42,-9.5,-58.05
2022-09-12,-15.63,-9.55,-73.51
2022-09-13,-16.09,-9.8,-68.19
2022-09-14,-16.81,-10.04,-73.93
2022-09-15,-18.18,-10.31,-71.34
2022-09-16,-19.75,-10.62,-67.7
2022-09-19,-21.16,-10.85,-68.85
2022-09-20,-21.69,-11.07,-67.67
2022-09-21,-22.52,-11.36,-62.4
2022-09-22,-23.26,-11.69,-60.84
2022-09-23,-24.1,-12.13,-54.32
2022-09-26,-25.28,-12.5,-52.01
2022-09-27,-26.31,-12.87,-54.19
2022-09-28,-26.84,-13.15,-60.46
2022-09-29,-27.71,-13.48,-59.72
2022-09-30,-28.7,-13.91,-58.22
2022-10-03,-28.84,-14.17,-61.49
2022-10-04,-28.39,-14.31,-72.73
2022-10-05,-28.3,-14.52,-77.64
2022-10-06,-27.98,-14.79,-76.73
2022-10-07,-27.83,-15.24,-68.7
2022-10-10,-28.49,-15.77,-66.49
2022-10-11,-29.94,-16.14,-70.98
2022-10-12,-31.2,-16.53,-68.88
2022-10-13,-31.34,-16.77,-64.59
2022-10-14,-31.32,-17.07,-58.55
2022-10-17,-30.75,-17.3,-64.2
2022-10-18,-29.54,-17.44,-64.99
2022-10-19,-28.41,-17.53,-61.68
2022-10-20,-28.26,-17.62,-59.42
2022-10-21,-27.14,-17.54,-59.95
2022-10-24,-26.12,-17.38,-59.13
2022-10-25,-24.79,-17.14,-53.13
2022-10-26,-23.34,-16.99,-44.53
2022-10-27,-21.49,-16.77,-30.59
2022-10-28,-19.88,-16.4,-36.69
2022-10-31,-19.04,-16.18,-47.23
2022-11-01,-18.56,-16.09,-37.92
2022-11-02,-18.44,-16.09,-28.92
2022-11-03,-18.71,-16.1,-25.67
2022-11-04,-18.81,-15.93,-17.84
2022-11-07,-18.0,-15.69,-7.34
2022-11-08,-17.22,-15.4,-3.46
2022-11-09,-16.47,-15.19,-3.01
2022-11-10,-13.77,-14.86,39.22
2022-11-11,-11.29,-14.39,49.4
2022-11-14,-9.97,-14.06,20.69
2022-11-15,-8.88,-13.74,14.16
2022-11-16,-7.69,-13.43,7.53
2022-11-17,-8.46,-13.09,4.6
2022-11-18,-9.54,-12.84,0.38
2022-11-21,-9.87,-12.64,6.02
2022-11-22,-10.01,-12.46,4.05
2022-11-23,-9.84,-12.22,1.21
2022-11-25,-9.53,-11.96,2.86
2022-11-28,-9.52,-11.86,1.05
2022-11-29,-9.72,-11.75,-4.6
2022-11-30,-10.06,-11.5,-37.14
2022-12-01,-10.27,-11.13,-29.38
2022-12-02,-10.7,-10.73,-39.29
2022-12-05,-10.82,-10.46,-16.38
2022-12-06,-10.85,-10.29,-5.32
2022-12-07,-10.95,-10.16,-4.78
2022-12-08,-11.35,-9.91,-18.12
2022-12-09,-11.49,-9.91,-7.56
2022-12-12,-11.56,-9.89,-18.63
2022-12-13,-11.23,-9.8,-7.59
2022-12-14,-11.18,-9.78,-17.16
2022-12-15,-11.31,-9.83,-8.82
2022-12-16,-11.47,-9.92,1.89
2022-12-19,-11.87,-10.07,0.37
2022-12-20,-12.64,-10.22,1.6
2022-12-21,-12.59,-10.36,12.52
2022-12-22,-12.47,-10.59,11.64
2022-12-23,-12.37,-10.79,9.02
2022-12-27,-12.11,-10.94,10.65
2022-12-28,-11.9,-11.14,14.56
2022-12-29,-11.82,-11.39,19.65
2022-12-30,-11.69,-11.67,14.12
2023-01-03,-11.44,-11.94,19.29
2023-01-04,-10.94,-12.1,24.92
2023-01-05,-10.86,-12.25,11.58
2023-01-06,-10.28,-12.29,35.35
2023-01-09,-9.14,-12.37,51.19
2023-01-10,-8.04,-12.39,53.13
2023-01-11,-7.21,-12.41,46.33
2023-01-12,-5.93,-12.45,42.05
2023-01-13,-5.54,-12.45,40.06
2023-01-17,-5.62,-12.34,35.43
2023-01-18,-5.86,-12.26,41.26
2023-01-19,-6.5,-12.16,26.03
2023-01-20,-6.79,-11.98,28.67
2023-01-23,-6.94,-11.8,28.75
2023-01-24,-6.88,-11.57,34.96
2023-01-25,-6.79,-11.36,33.63
2023-01-26,-6.08,-11.09,37.47
2023-01-27,-5.66,-10.75,35.77
2023-01-30,-5.66,-10.54,28.44
2023-01-31,-5.49,-10.26,34.6
2023-02-01,-5.19,-9.92,31.13
2023-02-02,-4.88,-9.55,32.95
2023-02-03,-4.91,-9.18,17.23
2023-02-06,-5.01,-8.93,-2.53
2023-02-07,-5.43,-8.62,-23.52
2023-02-08,-6.22,-8.39,-27.92
2023-02-09,-7.54,-8.25,-39.59
2023-02-10,-8.35,-8.12,-30.31
2023-02-13,-8.48,-7.96,-22.33
2023-02-14,-8.76,-7.79,-37.04
2023-02-15,-8.9,-7.54,-53.02
2023-02-16,-8.97,-7.31,-50.14
2023-02-17,-9.15,-7.16,-40.86
2023-02-21,-10.16,-7.15,-46.4
2023-02-22,-11.18,-7.13,-56.62
2023-02-23,-11.97,-7.1,-56.71
2023-02-24,-12.69,-7.15,-54.84
2023-02-27,-13.5,-7.2,-59.77
2023-02-28,-13.65,-7.21,-45.85
2023-03-01,-13.76,-7.29,-52.81
2023-03-02,-13.84,-7.4,-55.66
2023-03-03,-13.49,-7.51,-66.94
2023-03-06,-13.3,-7.56,-80.19
2023-03-07,-13.6,-7.66,-71.79
2023-03-08,-13.76,-7.8,-74.88
2023-03-09,-14.61,-7.97,-75.79
2023-03-10,-16.08,-8.17,-74.89
2023-03-13,-17.61,-8.39,-82.65
2023-03-14,-18.51,-8.58,-93.7
2023-03-15,-19.55,-8.8,-90.98
2023-03-16,-19.9,-8.95,-114.9
2023-03-17,-19.86,-9.1,-94.61
2023-03-20,-19.42,-9.21,-102.28
2023-03-21,-18.83,-9.18,-102.85
2023-03-22,-18.42,-9.22,-89.12
2023-03-23,-18.06,-9.28,-88.88
2023-03-24,-17.86,-9.28,-102.63
2023-03-27,-17.74,-9.28,-101.34
2023-03-28,-18.13,-9.28,-100.66
2023-03-29,-17.92,-9.21,-116.01
2023-03-30,-17.69,-9.15,-125.51
2023-03-31,-17.1,-9.08,-156.86
2023-04-03,-16.59,-8.99,-179.32
2023-04-04,-16.2,-8.86,-170.07
2023-04-05,-16.16,-8.75,-166.67
2023-04-06,-16.21,-8.54,-181.51
2023-04-10,-16.37,-8.27,-179.15
2023-04-11,-16.29,-8.0,-159.08
2023-04-12,-16.12,-7.81,-150.89
2023-04-13,-15.76,-7.53,-199.4
2023-04-14,-14.9,-7.34,-140.0
2023-04-17,-13.96,-7.08,-138.11
2023-04-18,-13.37,-6.86,-152.07
2023-04-19,-12.65,-6.7,-148.45
2023-04-20,-12.02,-6.49,-121.27
2023-04-21,-12.28,-6.28,-159.43
2023-04-24,-12.87,-6.09,-181.47
2023-04-25,-13.71,-5.96,-154.28
2023-04-26,-14.8,-5.84,-157.37
2023-04-27,-15.62,-5.71,-204.96
2023-04-28,-15.86,-5.57,-227.63
2023-05-01,-16.07,-5.49,-246.12
2023-05-02,-16.2,-5.49,-210.02
2023-05-03,-16.34,-5.49,-198.19
2023-05-04,-17.03,-5.51,-189.87
2023-05-05,-17.62,-5.47,-247.18
2023-05-08,-18.1,-5.43,-253.03
2023-05-09,-18.49,-5.42,-244.91
2023-05-10,-18.82,-5.36,-287.25
2023-05-11,-18.56,-5.37,-247.61
2023-05-12,-18.55,-5.38,-232.71
2023-05-15,-18.51,-5.39,-253.97
2023-05-16,-18.55,-5.43,-239.47
2023-05-17,-18.02,-5.42,-275.44
2023-05-18,-17.35,-5.33,-306.3
2023-05-19,-16.82,-5.26,-298.68
2023-05-22,-16.17,-5.18,-289.84
2023-05-23,-15.49,-5.1,-228.96
2023-05-24,-15.39,-5.04,-201.09
2023-05-25,-15.6,-5.01,-238.51
2023-05-26,-15.47,-4.96,-315.8
2023-05-30,-15.41,-4.9,-314.78
2023-05-31,-15.51,-4.83,-310.86
2023-06-01,-15.11,-4.67,-387.63
2023-06-02,-14.52,-4.42,-711.25
2023-06-05,-14.36,-4.25,-662.01
2023-06-06,-14.02,-4.07,-693.08
2023-06-07,-13.45,-3.9,-603.14
2023-06-08,-13.16,-3.71,-887.97
2023-06-09,-13.1,-3.5,-982.91
2023-06-12,-12.95,-3.25,-4685.19
2023-06-13,-12.85,-2.98,-3284.21
2023-06-14,-12.5,-2.67,-2695.56
2023-06-15,-11.75,-2.36,-645.35
2023-06-16,-11.3,-2.11,-871.85
2023-06-20,-11.09,-1.88,-1433.71
2023-06-21,-11.09,-1.67,-3557.14
2023-06-22,-11.41,-1.4,-1971.83
2023-06-23,-12.17,-1.12,-32800.0
2023-06-26,-12.72,-0.91,-2831.11
2023-06-27,-12.88,-0.7,-2075.0
2023-06-28,-12.97,-0.5,-1921.74
2023-06-29,-12.75,-0.26,-1894.12
2023-06-30,-12.49,-0.02,-740.0
2023-07-03,-12.11,0.16,-665.5
2023-07-05,-11.86,0.34,-740.45
2023-07-06,-11.93,0.46,-1429.9
2023-07-07,-11.98,0.6,-1785.14
2023-07-10,-11.81,0.71,-1188.12
2023-07-11,-11.41,0.86,-661.82
2023-07-12,-10.59,0.99,-400.41
2023-07-13,-9.14,1.13,-272.7
2023-07-14,-8.06,1.27,-322.64
2023-07-17,-7.28,1.36,-301.13
2023-07-18,-6.58,1.51,-233.18
2023-07-19,-6.05,1.69,-203.97
2023-07-20,-5.78,1.87,-210.62
2023-07-21,-5.21,2.02,-209.3
2023-07-24,-4.5,2.24,-183.02
2023-07-25,-4.33,2.49,-206.8
2023-07-26,-4.43,2.69,-213.97
2023-07-27,-4.97,2.85,-274.19
2023-07-28,-5.28,3.06,-220.04
2023-07-31,-5.72,3.22,-214.77
2023-08-01,-6.03,3.35,-237.98
2023-08-02,-6.63,3.44,-332.58
2023-08-03,-7.06,3.56,-374.62
2023-08-04,-7.71,3.67,-410.62
2023-08-07,-8.32,3.8,-342.42
2023-08-08,-9.09,3.88,-409.04
2023-08-09,-9.59,3.9,-476.14
2023-08-10,-9.82,3.88,-455.02
2023-08-11,-10.09,3.87,-467.14
2023-08-14,-10.45,3.85,-429.41
2023-08-15,-10.88,3.76,-606.97
2023-08-16,-11.22,3.63,-740.21
2023-08-17,-11.62,3.5,-982.73
2023-08-18,-12.06,3.38,-968.28
2023-08-21,-12.43,3.26,-756.84
2023-08-22,-12.54,3.12,-857.89
2023-08-23,-12.43,3.01,-588.48
2023-08-24,-12.45,2.89,-907.19
2023-08-25,-12.35,2.75,-714.72
2023-08-28,-12.23,2.62,-591.7
2023-08-29,-11.8,2.55,-420.71
2023-08-30,-11.52,2.56,-385.25
2023-08-31,-11.06,2.57,-380.45
2023-09-01,-10.51,2.61,-356.99
2023-09-05,-10.19,2.6,-405.37
2023-09-06,-10.1,2.57,-477.17
2023-09-07,-10.17,2.55,-532.53
2023-09-08,-10.32,2.54,-512.98
2023-09-11,-10.48,2.56,-412.27
2023-09-12,-10.44,2.53,-468.01
2023-09-13,-10.36,2.55,-452.82
2023-09-14,-9.97,2.64,-338.92
2023-09-15,-9.81,2.69,-508.16
2023-09-18,-9.84,2.75,-502.73
2023-09-19,-10.05,2.77,-568.64
2023-09-20,-10.39,2.76,-926.76
2023-09-21,-11.34,2.63,-6690.0
2023-09-22,-12.27,2.53,-3236.36
2023-09-25,-13.21,2.43,-49900.0
2023-09-26,-14.27,2.23,-1005.41
2023-09-27,-15.28,1.99,-1049.32
2023-09-28,-15.87,1.74,-1213.49
2023-09-29,-16.22,1.49,-1000.0
2023-10-02,-16.52,1.23,-1022.45
2023-10-03,-16.99,0.93,-575.45
2023-10-04,-17.09,0.69,-736.71
2023-10-05,-17.15,0.46,-683.26
2023-10-06,-17.04,0.27,-1468.32
2023-10-09,-17.03,0.09,-4463.89
2023-10-10,-16.61,-0.04,-11985.71
2023-10-11,-16.46,-0.15,-3055.36
2023-10-12,-16.56,-0.34,-57766.67
2023-10-13,-17.08,-0.49,-3250.91
2023-10-16,-17.29,-0.59,-3812.77
2023-10-17,-17.43,-0.68,-3718.75
2023-10-18,-18.08,-0.8,-2230.59
2023-10-19,-18.43,-0.87,-1035.71
2023-10-20,-18.75,-0.99,-593.43
2023-10-23,-19.27,-1.15,-555.56
2023-10-24,-19.87,-1.19,-769.66
2023-10-25,-20.07,-1.3,-462.7
2023-10-26,-20.46,-1.48,-331.62
2023-10-27,-20.88,-1.67,-319.51
2023-10-30,-21.07,-1.81,-405.05
2023-10-31,-21.07,-1.85,-467.41
2023-11-01,-20.81,-1.87,-683.13
2023-11-02,-19.81,-1.8,-2187.14
2023-11-03,-18.25,-1.74,-7652.63
2023-11-06,-17.03,-1.7,-4028.95
2023-11-07,-16.06,-1.67,-2487.69
2023-11-08,-15.11,-1.66,-2116.44
2023-11-09,-14.93,-1.66,-151000.0
2023-11-10,-14.75,-1.56,-984.87
2023-11-13,-14.54,-1.51,-1078.87
2023-11-14,-13.31,-1.37,-380.84
2023-11-15,-11.96,-1.15,-322.41
2023-11-16,-10.37,-0.88,-293.53
2023-11-17,-9.07,-0.54,-279.53
2023-11-20,-7.57,-0.16,-238.66
2023-11-21,-6.88,0.18,-236.47
2023-11-22,-6.42,0.6,-217.26
2023-11-24,-6.04,1.09,-208.21
2023-11-27,-5.69,1.59,-210.66
2023-11-28,-5.3,2.04,-192.48
2023-11-29,-4.73,2.45,-165.68
2023-11-30,-4.12,2.83,-150.98
2023-12-01,-3.45,3.15,-134.34
2023-12-04,-2.8,3.39,-137.57
2023-12-05,-2.34,3.63,-142.13
2023-12-06,-2.39,3.83,-170.55
2023-12-07,-2.48,4.07,-157.04
2023-12-08,-2.72,4.36,-154.59
2023-12-11,-2.81,4.59,-138.24
2023-12-12,-2.71,4.84,-125.0
2023-12-13,-2.09,5.07,-102.9
2023-12-14,-0.84,5.31,-61.63
2023-12-15,0.66,5.52,-46.03
2023-12-18,1.54,5.76,-75.87
2023-12-19,2.4,5.99,-71.18
2023-12-20,2.7,6.14,-83.09
2023-12-21,2.54,6.32,-71.53
2023-12-22,2.22,6.51,-67.91
2023-12-26,2.45,6.72,-63.98
2023-12-27,2.72,6.94,-56.37
2023-12-28,3.28,7.15,-54.99
2023-12-29,3.57,7.34,-57.05
2024-01-02,3.51,7.47,-69.73
2024-01-03,2.98,7.59,-92.43
2024-01-04,2.35,7.7,-89.07
2024-01-05,1.61,7.83,-94.57
2024-01-08,1.28,8.0,-75.25
2024-01-09,1.17,8.14,-77.84
2024-01-10,1.39,8.3,-81.78
2024-01-11,1.58,8.43,-81.5
2024-01-12,1.99,8.5,-73.46
2024-01-16,1.86,8.53,-82.4
2024-01-17,1.71,8.55,-86.22
2024-01-18,1.77,8.58,-78.42
2024-01-19,2.05,8.64,-70.31
2024-01-22,1.93,8.79,-82.46
2024-01-23,1.95,8.91,-84.4
2024-01-24,1.9,9.03,-91.75
2024-01-25,1.79,9.15,-87.4
2024-01-26,1.39,9.27,-90.5
2024-01-29,1.27,9.42,-89.72
2024-01-30,1.01,9.57,-96.66
2024-01-31,0.73,9.69,-104.69
2024-02-01,0.6,9.88,-93.28
2024-02-02,0.61,10.14,-90.89
2024-02-05,0.47,10.38,-95.36
2024-02-06,0.62,10.55,-90.69
2024-02-07,1.12,10.77,-84.85
2024-02-08,1.32,10.97,-86.29
2024-02-09,1.56,11.19,-83.21
2024-02-12,2.01,11.41,-79.04
2024-02-13,1.76,11.57,-100.99
2024-02-14,1.52,11.81,-93.9
2024-02-15,1.64,12.04,-82.75
2024-02-16,1.56,12.18,-85.84
2024-02-20,1.47,12.29,-81.23
2024-02-21,2.15,12.39,-74.2
2024-02-22,2.85,12.6,-71.15
2024-02-23,3.24,12.77,-71.11
2024-02-26,3.54,12.93,-76.87
2024-02-27,3.6,13.07,-81.84
2024-02-28,3.71,13.21,-73.79
2024-02-29,3.66,13.44,-73.09
2024-03-01,3.67,13.65,-72.17
2024-03-04,4.36,13.82,-56.51
2024-03-05,5.0,13.94,-59.64
2024-03-06,5.49,14.08,-58.35
2024-03-07,5.98,14.24,-60.16
2024-03-08,6.5,14.36,-54.85
2024-03-11,6.27,14.45,-63.5
2024-03-12,6.33,14.6,-62.36
2024-03-13,6.22,14.81,-64.77
2024-03-14,5.65,14.96,-77.7
2024-03-15,4.81,15.04,-81.78
2024-03-18,4.18,15.18,-84.26
2024-03-19,3.5,15.38,-83.17
2024-03-20,3.3,15.6,-72.73
2024-03-21,4.13,15.74,-56.08
2024-03-22,4.69,15.85,-67.52
2024-03-25,5.09,15.98,-73.4
2024-03-26,5.54,16.07,-70.02
2024-03-27,5.97,16.22,-60.73
2024-03-28,5.76,16.34,-61.73
2024-04-01,5.79,16.41,-66.45
2024-04-02,5.78,16.45,-72.8
2024-04-03,5.62,16.55,-74.34
2024-04-04,4.52,16.56,-90.79
2024-04-05,3.6,16.57,-87.23
2024-04-08,3.01,16.61,-82.82
2024-04-09,2.69,16.66,-82.54
2024-04-10,1.91,16.61,-97.74
2024-04-11,1.76,16.61,-96.07
2024-04-12,0.9,16.54,-114.8
2024-04-15,-0.11,16.44,-116.64
2024-04-16,-1.47,16.3,-129.49
2024-04-17,-2.22,16.1,-126.9
2024-04-18,-3.19,15.85,-133.98
2024-04-19,-3.52,15.54,-133.8
2024-04-22,-3.59,15.29,-121.0
2024-04-23,-3.17,15.13,-112.93
2024-04-24,-2.94,14.97,-116.51
2024-04-25,-2.68,14.76,-122.0
2024-04-26,-2.36,14.6,-115.69
2024-04-29,-2.33,14.48,-116.63
2024-04-30,-2.63,14.3,-125.35
2024-05-01,-2.9,14.09,-129.21
2024-05-02,-2.91,13.99,-121.97
2024-05-03,-2.87,13.91,-114.17
2024-05-06,-2.54,13.88,-104.85
2024-05-07,-1.88,13.86,-99.88
2024-05-08,-1.22,13.89,-101.87
2024-05-09,-0.42,13.91,-93.71
2024-05-10,0.4,14.01,-88.13
2024-05-13,0.79,14.18,-92.88
2024-05-14,1.35,14.39,-83.97
2024-05-15,2.28,14.7,-76.71
2024-05-16,2.75,15.01,-81.81
2024-05-17,3.14,15.37,-78.94
2024-05-20,3.51,15.7,-83.73
2024-05-21,3.56,15.97,-84.21
2024-05-22,3.16,16.23,-87.42
2024-05-23,2.58,16.46,-97.33
2024-05-24,1.82,16.69,-99.25
2024-05-28,0.97,16.89,-106.2
2024-05-29,-0.24,17.15,-116.81
2024-05-30,-1.19,17.39,-113.74
2024-05-31,-1.5,17.64,-105.97
2024-06-03,-1.62,17.8,-102.32
2024-06-04,-1.27,17.92,-96.82
2024-06-05,-0.45,18.1,-94.74
2024-06-06,-0.03,18.27,-101.38
2024-06-07,-0.12,18.41,-107.77
2024-06-10,-0.4,18.56,-109.19
2024-06-11,-1.09,18.72,-114.39
2024-06-12,-1.56,18.9,-106.32
2024-06-13,-1.79,19.03,-106.48
2024-06-14,-1.77,19.17,-106.64
2024-06-17,-1.39,19.34,-99.78
2024-06-18,-0.74,19.53,-98.37
2024-06-20,-0.42,19.69,-98.79
2024-06-21,0.03,19.85,-96.05
2024-06-24,0.77,20.04,-89.46
2024-06-25,1.1,20.2,-92.23
2024-06-26,1.2,20.37,-96.18
2024-06-27,1.16,20.59,-99.73
2024-06-28,1.15,20.81,-96.17
2024-07-01,0.73,20.98,-99.07
2024-07-02,0.6,21.18,-95.21
2024-07-03,0.64,21.4,-95.31
2024-07-05,0.88,21.58,-94.65
2024-07-08,0.95,21.76,-94.88
2024-07-09,1.45,21.96,-88.39
2024-07-10,2.03,22.18,-83.82
2024-07-11,2.92,22.35,-76.38
2024-07-12,3.86,22.5,-75.34
2024-07-15,4.68,22.65,-78.23
2024-07-16,5.73,22.82,-67.89
