Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2022-06-27,-35.108000000000004,-33.562,-16.4,-14.136499999999998
2022-06-28,-34.626,-33.943,-16.184,-14.479499999999998
2022-06-29,-34.504000000000005,-34.2915,-15.992,-14.8125
2022-06-30,-34.742,-34.540000000000006,-16.096,-15.156
2022-07-01,-34.782000000000004,-34.8235,-16.446,-15.517
2022-07-05,-34.672000000000004,-34.95100000000001,-16.706,-15.799000000000001
2022-07-06,-34.278,-35.07899999999999,-16.55,-16.0785
2022-07-07,-33.706,-35.2405,-16.096,-16.341
2022-07-08,-33.01,-35.3475,-15.524000000000001,-16.5575
2022-07-11,-33.035999999999994,-35.3685,-15.395999999999997,-16.7185
2022-07-12,-33.332,-35.3735,-15.447999999999999,-16.792
2022-07-13,-33.544,-35.2175,-15.632,-16.7245
2022-07-14,-33.826,-34.9645,-16.1,-16.658
2022-07-15,-33.692,-34.685,-16.252000000000002,-16.572
2022-07-18,-33.658,-34.394999999999996,-16.352,-16.3875
2022-07-19,-32.87,-33.99550000000001,-15.857999999999999,-16.103
2022-07-20,-31.772000000000002,-33.555,-15.184000000000001,-15.8875
2022-07-21,-30.465999999999998,-33.1255,-14.296000000000001,-15.620999999999999
2022-07-22,-30.406,-32.9625,-13.868,-15.434999999999999
2022-07-25,-29.580000000000002,-32.763999999999996,-13.288,-15.370499999999998
2022-07-26,-29.43,-32.576,-13.352,-15.341
2022-07-27,-29.04,-32.1585,-13.086000000000002,-15.113
2022-07-28,-28.668,-31.666500000000003,-12.774,-14.8165
2022-07-29,-27.496,-31.151,-12.053999999999998,-14.4245
2022-08-01,-26.758,-30.758000000000003,-11.350000000000001,-14.0965
2022-08-02,-25.396,-30.256999999999998,-10.53,-13.797
2022-08-03,-24.404,-29.690000000000005,-9.94,-13.460500000000001
2022-08-04,-23.732,-29.173000000000002,-9.578,-13.187000000000001
2022-08-05,-23.137999999999998,-28.683,-9.496,-12.9175
2022-08-08,-22.636000000000003,-28.157999999999998,-9.425999999999998,-12.604000000000001
2022-08-09,-22.878,-27.6435,-9.319999999999999,-12.265
2022-08-10,-23.080000000000002,-27.074,-9.162,-11.843
2022-08-11,-23.375999999999998,-26.560499999999998,-8.992,-11.41
2022-08-12,-23.465999999999998,-26.1265,-8.581999999999999,-11.0
2022-08-15,-23.503999999999998,-25.6195,-8.104000000000001,-10.542
2022-08-16,-23.466,-25.2925,-7.554,-10.189
2022-08-17,-23.816,-25.085,-7.348000000000001,-9.884
2022-08-18,-24.09,-24.9665,-7.104000000000001,-9.611999999999998
2022-08-19,-24.676,-24.694,-7.244,-9.344
2022-08-22,-25.523999999999997,-24.6055,-7.696,-9.144
2022-08-23,-26.25,-24.4975,-8.198,-8.9005
2022-08-24,-26.645999999999997,-24.4865,-8.578,-8.757
2022-08-25,-26.839999999999996,-24.5095,-8.822,-8.623999999999999
2022-08-26,-27.432,-24.677999999999997,-9.31,-8.658
2022-08-29,-27.85,-24.8785,-9.620000000000001,-8.7115
2022-08-30,-28.3,-25.2235,-10.028,-8.774999999999999
2022-08-31,-28.942,-25.621,-10.562,-8.9125
2022-09-01,-29.612000000000002,-25.9795,-11.175999999999998,-9.0235
2022-09-02,-29.78,-26.3385,-11.492,-9.157
2022-09-06,-29.913999999999998,-26.698,-11.768,-9.297
