Date,rate_ADP_5D,rate_VOO_20D,Max_Divergence
2023-03-16,-6.63,-8.95,35.54
2023-03-17,-6.66,-9.1,30.64
2023-03-20,-6.46,-9.21,37.05
2023-03-21,-6.07,-9.18,40.1
2023-03-22,-6.08,-9.22,27.41
2023-03-23,-6.26,-9.28,27.49
2023-03-24,-6.19,-9.28,28.15
2023-03-27,-6.32,-9.28,28.06
2023-03-28,-6.66,-9.28,28.34
2023-03-29,-6.08,-9.21,48.41
2023-03-30,-5.57,-9.15,42.16
2023-03-31,-4.84,-9.08,52.4
2023-04-03,-4.6,-8.99,5.04
2023-04-04,-4.59,-8.86,-6.41
2023-04-05,-5.14,-8.75,-8.73
2023-04-06,-5.41,-8.54,6.22
2023-04-10,-6.11,-8.27,-9.23
2023-04-11,-6.25,-8.0,-2.23
2023-04-12,-6.12,-7.81,6.76
2023-04-13,-5.76,-7.53,-1.6
2023-04-14,-5.8,-7.34,-10.77
2023-04-17,-5.46,-7.08,3.89
2023-04-18,-5.28,-6.86,-4.98
2023-04-19,-5.16,-6.7,-7.25
2023-04-20,-5.3,-6.49,-8.02
2023-04-21,-5.34,-6.28,-12.64
2023-04-24,-5.57,-6.09,-12.93
2023-04-25,-6.06,-5.96,-16.49
2023-04-26,-6.59,-5.84,-15.93
2023-04-27,-6.55,-5.71,-6.11
2023-04-28,-6.13,-5.57,14.47
2023-05-01,-5.63,-5.49,25.94
2023-05-02,-5.19,-5.49,3.46
2023-05-03,-4.73,-5.49,8.88
2023-05-04,-4.91,-5.51,3.58
2023-05-05,-5.28,-5.47,-11.84
2023-05-08,-5.87,-5.43,-22.9
2023-05-09,-6.12,-5.42,-18.91
2023-05-10,-6.2,-5.36,-16.86
2023-05-11,-6.55,-5.37,-56.79
2023-05-12,-6.78,-5.38,-29.72
2023-05-15,-6.77,-5.39,-23.41
2023-05-16,-6.89,-5.43,-25.84
2023-05-17,-6.98,-5.42,-40.57
2023-05-18,-6.49,-5.33,-58.08
2023-05-19,-6.19,-5.26,-43.42
2023-05-22,-6.01,-5.18,-41.71
2023-05-23,-5.73,-5.1,-19.17
2023-05-24,-5.73,-5.04,-15.97
2023-05-25,-6.16,-5.01,-69.36
2023-05-26,-6.48,-4.96,-102.59
2023-05-30,-7.04,-4.9,-134.2
2023-05-31,-7.61,-4.83,-116.41
2023-06-01,-7.77,-4.67,-140.47
2023-06-02,-7.21,-4.42,-222.5
2023-06-05,-6.86,-4.25,-194.97
2023-06-06,-6.25,-4.07,-218.87
2023-06-07,-5.58,-3.9,-171.73
2023-06-08,-5.29,-3.71,-331.58
2023-06-09,-5.4,-3.5,-389.74
2023-06-12,-5.22,-3.25,-1518.52
2023-06-13,-4.89,-2.98,-1005.26
2023-06-14,-4.93,-2.67,-1288.89
2023-06-15,-4.43,-2.36,-288.37
2023-06-16,-3.9,-2.11,-328.15
2023-06-20,-3.73,-1.88,-497.75
2023-06-21,-3.72,-1.67,-1074.29
2023-06-22,-3.35,-1.4,-590.14
2023-06-23,-3.97,-1.12,-15725.0
2023-06-26,-4.47,-0.91,-1142.22
2023-06-27,-4.87,-0.7,-968.75
2023-06-28,-5.3,-0.5,-905.8
2023-06-29,-5.65,-0.26,-863.24
2023-06-30,-5.13,-0.02,-302.7
2023-07-03,-4.84,0.16,-306.0
2023-07-05,-4.46,0.34,-307.87
2023-07-06,-3.93,0.46,-395.88
2023-07-07,-3.71,0.6,-656.76
2023-07-10,-3.31,0.71,-273.27
2023-07-11,-2.65,0.86,-150.3
2023-07-12,-2.2,0.99,-158.61
2023-07-13,-1.72,1.13,-115.03
2023-07-14,-0.8,1.27,-83.96
2023-07-17,0.02,1.36,-33.71
2023-07-18,0.84,1.51,-23.67
2023-07-19,1.91,1.69,-13.69
2023-07-20,2.77,1.87,-1.55
2023-07-21,3.48,2.02,5.17
2023-07-24,3.99,2.24,13.02
2023-07-25,4.38,2.49,15.79
2023-07-26,5.79,2.69,138.43
2023-07-27,6.99,2.85,145.61
2023-07-28,8.11,3.06,100.21
2023-07-31,8.78,3.22,64.27
2023-08-01,9.42,3.35,81.33
2023-08-02,8.85,3.44,129.46
2023-08-03,8.56,3.56,151.66
2023-08-04,8.13,3.67,157.53
2023-08-07,8.35,3.8,157.85
2023-08-08,8.38,3.88,159.04
2023-08-09,8.6,3.9,222.81
2023-08-10,8.79,3.88,221.11
2023-08-11,9.28,3.87,252.3
2023-08-14,9.35,3.85,200.62
2023-08-15,9.52,3.76,286.07
2023-08-16,9.56,3.63,384.54
2023-08-17,9.54,3.5,563.31
2023-08-18,9.44,3.38,551.03
2023-08-21,9.39,3.26,397.89
2023-08-22,9.3,3.12,426.32
2023-08-23,9.3,3.01,286.83
2023-08-24,9.28,2.89,493.46
2023-08-25,9.39,2.75,408.63
2023-08-28,9.58,2.62,331.95
2023-08-29,9.86,2.55,207.69
2023-08-30,10.1,2.56,188.8
2023-08-31,10.37,2.57,192.46
2023-09-01,10.49,2.61,190.14
2023-09-05,10.36,2.6,191.64
2023-09-06,10.11,2.57,230.8
2023-09-07,9.74,2.55,251.81
2023-09-08,9.34,2.54,222.52
2023-09-11,8.82,2.56,144.48
2023-09-12,8.44,2.53,190.44
2023-09-13,8.18,2.55,175.0
2023-09-14,8.03,2.64,116.49
2023-09-15,7.69,2.69,175.51
2023-09-18,7.61,2.75,196.09
2023-09-19,7.42,2.77,195.34
2023-09-20,7.09,2.76,330.99
2023-09-21,6.27,2.63,2060.0
2023-09-22,5.76,2.53,1052.27
2023-09-25,5.14,2.43,15033.33
2023-09-26,4.4,2.23,321.62
2023-09-27,4.29,1.99,483.56
2023-09-28,4.69,1.74,567.46
2023-09-29,4.79,1.49,416.78
2023-10-02,4.72,1.23,380.27
2023-10-03,4.98,0.93,264.98
2023-10-04,5.08,0.69,394.2
2023-10-05,5.06,0.46,370.7
2023-10-06,5.54,0.27,803.96
2023-10-09,6.46,0.09,2525.0
2023-10-10,7.21,-0.04,5821.43
2023-10-11,7.67,-0.15,1403.57
2023-10-12,8.04,-0.34,25600.0
2023-10-13,8.13,-0.49,1478.18
2023-10-16,8.06,-0.59,1674.47
2023-10-17,8.07,-0.68,1643.75
2023-10-18,7.97,-0.8,1030.59
2023-10-19,7.83,-0.87,514.29
2023-10-20,7.33,-0.99,275.09
2023-10-23,6.63,-1.15,258.17
2023-10-24,5.86,-1.19,293.59
2023-10-25,3.27,-1.3,-35.68
2023-10-26,0.92,-1.48,1.44
2023-10-27,-1.4,-1.67,-23.67
2023-10-30,-3.56,-1.81,-43.99
2023-10-31,-5.48,-1.85,-41.23
2023-11-01,-6.14,-1.87,-233.33
2023-11-02,-6.14,-1.8,-590.0
2023-11-03,-5.74,-1.74,-2473.68
2023-11-06,-5.34,-1.7,-1150.0
2023-11-07,-4.98,-1.67,-601.54
2023-11-08,-3.69,-1.66,-356.16
2023-11-09,-3.01,-1.66,-14200.0
2023-11-10,-2.23,-1.56,-138.16
2023-11-13,-1.73,-1.51,-205.63
2023-11-14,-1.02,-1.37,-92.22
2023-11-15,-0.6,-1.15,-92.44
2023-11-16,-0.3,-0.88,-98.92
2023-11-17,-0.22,-0.54,-104.92
2023-11-20,0.24,-0.16,-82.51
2023-11-21,0.31,0.18,-86.24
2023-11-22,0.37,0.6,-88.15
2023-11-24,0.43,1.09,-92.61
2023-11-27,0.41,1.59,-106.18
2023-11-28,0.18,2.04,-107.52
2023-11-29,-0.0,2.45,-106.14
2023-11-30,-0.11,2.83,-99.22
2023-12-01,0.08,3.15,-76.51
2023-12-04,0.38,3.39,-77.1
2023-12-05,0.59,3.63,-85.63
2023-12-06,0.87,3.83,-77.33
2023-12-07,0.87,4.07,-98.89
2023-12-08,0.56,4.36,-104.33
2023-12-11,0.62,4.59,-75.98
2023-12-12,1.06,4.84,-55.61
2023-12-13,1.65,5.07,-49.24
2023-12-14,2.16,5.31,-68.09
2023-12-15,2.58,5.52,-77.17
2023-12-18,2.71,5.76,-75.17
2023-12-19,2.45,5.99,-81.99
2023-12-20,1.85,6.14,-86.55
2023-12-21,1.25,6.32,-104.55
2023-12-22,0.98,6.51,-94.52
2023-12-26,0.78,6.72,-87.14
2023-12-27,0.6,6.94,-91.76
2023-12-28,0.62,7.15,-87.6
2023-12-29,0.97,7.34,-85.01
2024-01-02,1.17,7.47,-81.62
2024-01-03,1.16,7.59,-85.26
2024-01-04,1.33,7.7,-77.87
2024-01-05,1.56,7.83,-69.16
2024-01-08,1.88,8.0,-66.78
2024-01-09,2.04,8.14,-73.55
2024-01-10,2.28,8.3,-74.95
2024-01-11,2.43,8.43,-74.65
2024-01-12,2.49,8.5,-71.94
2024-01-16,2.36,8.53,-74.22
2024-01-17,2.38,8.55,-72.09
2024-01-18,2.44,8.58,-71.26
2024-01-19,2.69,8.64,-65.38
2024-01-22,2.99,8.79,-61.33
2024-01-23,3.43,8.91,-58.45
2024-01-24,3.7,9.03,-66.36
2024-01-25,3.75,9.15,-74.45
2024-01-26,3.57,9.27,-76.61
2024-01-29,3.42,9.42,-72.22
2024-01-30,3.27,9.57,-68.89
2024-01-31,3.9,9.69,-34.55
2024-02-01,4.77,9.88,-36.56
2024-02-02,5.84,10.14,-35.54
2024-02-05,6.72,10.38,-35.54
2024-02-06,7.75,10.55,-28.26
2024-02-07,8.11,10.77,-33.97
2024-02-08,8.45,10.97,-31.61
2024-02-09,8.55,11.19,-37.61
2024-02-12,8.7,11.41,-37.21
2024-02-13,8.6,11.57,-31.47
2024-02-14,8.65,11.81,-32.16
2024-02-15,8.74,12.04,-31.88
2024-02-16,8.99,12.18,-26.28
2024-02-20,9.24,12.29,-23.17
2024-02-21,9.61,12.39,-20.5
2024-02-22,9.95,12.6,-29.25
2024-02-23,10.28,12.77,-26.35
2024-02-26,10.33,12.93,-31.28
2024-02-27,10.19,13.07,-38.69
2024-02-28,9.98,13.21,-37.27
2024-02-29,9.67,13.44,-40.2
2024-03-01,9.11,13.65,-47.94
2024-03-04,8.45,13.82,-56.95
2024-03-05,7.8,13.94,-60.12
2024-03-06,7.1,14.08,-62.31
2024-03-07,6.48,14.24,-63.55
2024-03-08,5.86,14.36,-67.05
2024-03-11,5.68,14.45,-62.21
2024-03-12,5.74,14.6,-63.03
2024-03-13,5.78,14.81,-63.91
2024-03-14,5.69,14.96,-65.99
2024-03-15,5.67,15.04,-67.76
2024-03-18,5.47,15.18,-69.57
2024-03-19,5.43,15.38,-64.6
2024-03-20,5.73,15.6,-57.36
2024-03-21,6.22,15.74,-55.12
2024-03-22,6.7,15.85,-57.32
2024-03-25,6.9,15.98,-65.36
2024-03-26,6.98,16.07,-62.63
2024-03-27,7.03,16.22,-56.29
2024-03-28,7.1,16.34,-52.85
2024-04-01,6.88,16.41,-63.42
2024-04-02,7.15,16.45,-55.86
2024-04-03,7.14,16.55,-62.62
2024-04-04,6.53,16.56,-69.76
2024-04-05,6.09,16.57,-62.92
2024-04-08,6.2,16.61,-58.38
2024-04-09,6.4,16.66,-49.97
2024-04-10,6.46,16.61,-58.26
2024-04-11,6.71,16.61,-63.86
2024-04-12,6.62,16.54,-61.89
2024-04-15,6.4,16.44,-57.43
2024-04-16,5.9,16.3,-56.33
2024-04-17,5.65,16.1,-58.49
2024-04-18,5.45,15.85,-60.84
2024-04-19,5.4,15.54,-52.84
2024-04-22,5.59,15.29,-45.96
2024-04-23,5.82,15.13,-49.75
2024-04-24,6.13,14.97,-50.18
2024-04-25,6.51,14.76,-49.28
2024-04-26,6.49,14.6,-63.04
2024-04-29,6.29,14.48,-61.44
2024-04-30,5.86,14.3,-62.98
2024-05-01,5.9,14.09,-43.28
2024-05-02,5.51,13.99,-64.35
2024-05-03,5.39,13.91,-68.07
2024-05-06,5.27,13.88,-68.07
2024-05-07,5.53,13.86,-62.03
2024-05-08,5.16,13.89,-67.85
2024-05-09,5.43,13.91,-63.47
2024-05-10,5.85,14.01,-59.47
2024-05-13,6.28,14.18,-57.09
2024-05-14,6.31,14.39,-64.14
2024-05-15,6.62,14.7,-64.27
2024-05-16,7.04,15.01,-55.87
2024-05-17,7.51,15.37,-51.12
2024-05-20,7.85,15.7,-52.62
2024-05-21,8.42,15.97,-52.63
2024-05-22,9.06,16.23,-47.45
2024-05-23,9.18,16.46,-50.97
2024-05-24,8.89,16.69,-58.96
2024-05-28,8.16,16.89,-71.9
2024-05-29,7.13,17.15,-78.26
2024-05-30,6.0,17.39,-75.25
2024-05-31,5.44,17.64,-67.14
2024-06-03,5.0,17.8,-69.47
2024-06-04,5.19,17.92,-65.86
2024-06-05,5.66,18.1,-68.01
2024-06-06,6.24,18.27,-63.23
2024-06-07,6.85,18.41,-53.42
2024-06-10,7.09,18.56,-66.03
2024-06-11,7.17,18.72,-67.08
2024-06-12,7.2,18.9,-69.56
2024-06-13,6.88,19.03,-73.59
2024-06-14,6.06,19.17,-77.03
2024-06-17,5.89,19.34,-73.52
2024-06-18,5.71,19.53,-74.91
2024-06-20,5.7,19.69,-71.4
2024-06-21,6.02,19.85,-67.33
2024-06-24,6.58,20.04,-64.41
2024-06-25,6.88,20.2,-66.62
2024-06-26,6.33,20.37,-86.79
2024-06-27,5.58,20.59,-88.27
2024-06-28,4.78,20.81,-85.09
2024-07-01,3.62,20.98,-91.18
2024-07-02,2.6,21.18,-89.57
2024-07-03,2.5,21.4,-89.24
2024-07-05,2.34,21.58,-92.01
2024-07-08,1.89,21.76,-95.91
2024-07-09,1.81,21.96,-93.62
2024-07-10,1.6,22.18,-94.81
2024-07-11,1.49,22.35,-91.94
2024-07-12,1.7,22.5,-87.9
2024-07-15,2.49,22.65,-79.91
