Date,rate_HD_5D,rate_VOO_20D,Max_Divergence
2022-08-23,-15.18,-8.9,-83.26
2022-08-24,-15.8,-8.76,-84.46
2022-08-25,-16.35,-8.62,-100.24
2022-08-26,-17.17,-8.66,-80.19
2022-08-29,-17.73,-8.71,-76.65
2022-08-30,-18.22,-8.77,-71.98
2022-08-31,-18.92,-8.91,-72.62
2022-09-01,-19.4,-9.02,-67.46
2022-09-02,-19.53,-9.16,-61.52
2022-09-06,-19.67,-9.3,-62.37
2022-09-07,-19.33,-9.36,-64.86
2022-09-08,-18.71,-9.46,-67.34
2022-09-09,-18.37,-9.5,-90.58
2022-09-12,-18.09,-9.55,-118.1
2022-09-13,-18.75,-9.8,-91.84
2022-09-14,-19.84,-10.04,-100.43
2022-09-15,-21.31,-10.31,-95.57
2022-09-16,-22.54,-10.62,-77.33
2022-09-19,-23.43,-10.85,-77.08
2022-09-20,-23.63,-11.07,-76.78
2022-09-21,-23.89,-11.36,-64.12
2022-09-22,-24.03,-11.69,-60.96
2022-09-23,-24.31,-12.13,-45.39
2022-09-26,-25.04,-12.5,-45.54
2022-09-27,-25.33,-12.87,-40.63
2022-09-28,-24.76,-13.15,-29.26
2022-09-29,-24.26,-13.48,-23.04
2022-09-30,-23.99,-13.91,-18.75
2022-10-03,-22.96,-14.17,-20.84
2022-10-04,-21.72,-14.31,-29.95
2022-10-05,-21.2,-14.52,-28.21
2022-10-06,-20.45,-14.79,-20.31
2022-10-07,-19.89,-15.24,-14.19
2022-10-10,-19.95,-15.77,-13.27
2022-10-11,-20.31,-16.14,-9.59
2022-10-12,-20.82,-16.53,-11.51
2022-10-13,-21.22,-16.77,-21.05
2022-10-14,-21.65,-17.07,-18.7
2022-10-17,-21.72,-17.3,-24.87
2022-10-18,-21.6,-17.44,-25.83
2022-10-19,-21.88,-17.53,-36.96
2022-10-20,-22.61,-17.62,-41.21
2022-10-21,-22.65,-17.54,-48.11
2022-10-24,-22.55,-17.38,-43.88
2022-10-25,-22.26,-17.14,-44.24
2022-10-26,-21.46,-16.99,-37.91
2022-10-27,-20.29,-16.77,-31.85
2022-10-28,-19.03,-16.4,-35.89
2022-10-31,-18.32,-16.18,-35.13
2022-11-01,-17.92,-16.09,-31.77
2022-11-02,-17.9,-16.09,-26.27
2022-11-03,-18.32,-16.1,-31.5
2022-11-04,-19.02,-15.93,-37.36
2022-11-07,-19.24,-15.69,-33.07
2022-11-08,-19.5,-15.4,-35.81
2022-11-09,-19.61,-15.19,-28.47
2022-11-10,-17.98,-14.86,-18.78
2022-11-11,-16.3,-14.39,-19.74
2022-11-14,-15.4,-14.06,-32.4
2022-11-15,-14.26,-13.74,-28.11
2022-11-16,-12.73,-13.43,-12.32
2022-11-17,-12.74,-13.09,-18.47
2022-11-18,-12.83,-12.84,-18.3
2022-11-21,-12.28,-12.64,-5.74
2022-11-22,-11.57,-12.46,4.67
2022-11-23,-11.21,-12.22,-11.33
2022-11-25,-10.38,-11.96,3.52
2022-11-28,-10.07,-11.86,-3.14
2022-11-29,-10.09,-11.75,-8.07
2022-11-30,-10.18,-11.5,-21.08
2022-12-01,-9.9,-11.13,-12.24
2022-12-02,-9.84,-10.73,-7.73
2022-12-05,-9.74,-10.46,-8.99
2022-12-06,-9.63,-10.29,-2.43
2022-12-07,-9.76,-10.16,5.51
2022-12-08,-9.87,-9.91,9.01
2022-12-09,-10.22,-9.91,5.81
2022-12-12,-9.82,-9.89,13.53
2022-12-13,-9.06,-9.8,19.64
2022-12-14,-8.42,-9.78,25.58
2022-12-15,-8.24,-9.83,28.08
2022-12-16,-8.07,-9.92,26.36
2022-12-19,-8.55,-10.07,20.24
2022-12-20,-9.38,-10.22,17.27
2022-12-21,-10.01,-10.36,18.06
2022-12-22,-10.53,-10.59,19.25
2022-12-23,-10.74,-10.79,21.38
2022-12-27,-10.63,-10.94,24.78
2022-12-28,-10.58,-11.14,23.56
2022-12-29,-10.53,-11.39,23.93
2022-12-30,-10.54,-11.67,16.68
2023-01-03,-10.63,-11.94,18.77
2023-01-04,-10.56,-12.1,22.8
2023-01-05,-10.53,-12.25,19.56
2023-01-06,-10.62,-12.29,11.33
2023-01-09,-10.47,-12.37,12.46
2023-01-10,-10.22,-12.39,14.58
2023-01-11,-9.7,-12.41,28.47
2023-01-12,-8.89,-12.45,28.51
2023-01-13,-8.13,-12.45,29.97
2023-01-17,-7.59,-12.34,20.13
2023-01-18,-7.42,-12.26,20.86
2023-01-19,-8.43,-12.16,-5.69
2023-01-20,-9.26,-11.98,-11.09
2023-01-23,-10.13,-11.8,-22.82
2023-01-24,-10.68,-11.57,-14.71
2023-01-25,-11.04,-11.36,-16.43
2023-01-26,-10.88,-11.09,-42.06
2023-01-27,-10.79,-10.75,-36.41
2023-01-30,-10.86,-10.54,-26.88
2023-01-31,-10.49,-10.26,-11.75
2023-02-01,-9.86,-9.92,-11.96
2023-02-02,-8.39,-9.55,21.71
2023-02-03,-7.53,-9.18,-2.58
2023-02-06,-6.66,-8.93,-3.57
2023-02-07,-6.57,-8.62,-40.94
2023-02-08,-6.97,-8.39,-41.27
2023-02-09,-8.3,-8.25,-48.28
2023-02-10,-9.12,-8.12,-48.44
2023-02-13,-9.44,-7.96,-38.51
2023-02-14,-9.82,-7.79,-60.71
2023-02-15,-9.82,-7.54,-56.88
2023-02-16,-9.51,-7.31,-31.66
2023-02-17,-9.44,-7.16,-41.0
2023-02-21,-11.0,-7.15,-90.23
2023-02-22,-12.23,-7.13,-85.73
2023-02-23,-13.42,-7.1,-83.45
2023-02-24,-14.79,-7.15,-76.26
2023-02-27,-16.01,-7.2,-83.28
2023-02-28,-15.95,-7.21,-75.44
2023-03-01,-16.18,-7.29,-87.01
2023-03-02,-16.46,-7.4,-92.49
2023-03-03,-16.29,-7.51,-104.99
2023-03-06,-16.09,-7.56,-108.47
2023-03-07,-16.35,-7.66,-100.58
2023-03-08,-16.32,-7.8,-101.06
2023-03-09,-16.61,-7.97,-79.56
2023-03-10,-17.28,-8.17,-64.77
2023-03-13,-17.93,-8.39,-62.23
2023-03-14,-18.22,-8.58,-87.8
2023-03-15,-18.41,-8.8,-71.89
2023-03-16,-18.48,-8.95,-103.64
2023-03-17,-18.36,-9.1,-79.44
2023-03-20,-18.21,-9.21,-92.2
2023-03-21,-17.99,-9.18,-118.94
2023-03-22,-18.29,-9.22,-105.13
2023-03-23,-18.45,-9.28,-105.78
2023-03-24,-18.75,-9.28,-113.47
2023-03-27,-19.2,-9.28,-122.49
2023-03-28,-19.69,-9.28,-120.02
2023-03-29,-19.64,-9.21,-146.51
2023-03-30,-19.56,-9.15,-157.03
2023-03-31,-18.88,-9.08,-165.95
2023-04-03,-17.89,-8.99,-170.32
2023-04-04,-17.03,-8.86,-159.87
2023-04-05,-16.66,-8.75,-178.41
2023-04-06,-16.4,-8.54,-195.13
2023-04-10,-16.56,-8.27,-188.03
2023-04-11,-16.77,-8.0,-176.03
2023-04-12,-17.02,-7.81,-174.56
2023-04-13,-16.83,-7.53,-230.74
2023-04-14,-16.63,-7.34,-218.46
2023-04-17,-16.39,-7.08,-220.9
2023-04-18,-16.1,-6.86,-204.36
2023-04-19,-15.74,-6.7,-215.53
2023-04-20,-15.38,-6.49,-175.56
2023-04-21,-14.94,-6.28,-170.94
2023-04-24,-14.59,-6.09,-168.53
2023-04-25,-14.74,-5.96,-139.5
2023-04-26,-15.23,-5.84,-161.36
2023-04-27,-15.49,-5.71,-206.68
2023-04-28,-15.46,-5.57,-211.84
2023-05-01,-15.62,-5.49,-225.94
2023-05-02,-15.67,-5.49,-185.06
2023-05-03,-15.33,-5.49,-162.99
2023-05-04,-15.72,-5.51,-168.85
2023-05-05,-16.27,-5.47,-229.32
2023-05-08,-16.81,-5.43,-241.1
2023-05-09,-17.02,-5.42,-203.27
2023-05-10,-17.25,-5.36,-235.69
2023-05-11,-17.14,-5.37,-234.61
2023-05-12,-17.09,-5.38,-212.34
2023-05-15,-17.05,-5.39,-242.46
2023-05-16,-17.52,-5.43,-236.64
2023-05-17,-17.33,-5.42,-254.61
2023-05-18,-16.91,-5.33,-321.64
2023-05-19,-16.89,-5.26,-336.84
2023-05-22,-16.77,-5.18,-345.45
2023-05-23,-16.05,-5.1,-221.88
2023-05-24,-16.13,-5.04,-200.18
2023-05-25,-16.6,-5.01,-278.09
2023-05-26,-16.49,-4.96,-361.21
2023-05-30,-16.4,-4.9,-368.7
2023-05-31,-17.05,-4.83,-372.22
2023-06-01,-17.13,-4.67,-466.56
2023-06-02,-16.53,-4.42,-825.62
2023-06-05,-16.45,-4.25,-772.63
2023-06-06,-16.17,-4.07,-830.19
2023-06-07,-15.07,-3.9,-589.53
2023-06-08,-14.35,-3.71,-903.01
2023-06-09,-14.27,-3.5,-1131.62
2023-06-12,-13.82,-3.25,-4866.67
2023-06-13,-13.59,-2.98,-3686.84
2023-06-14,-13.71,-2.67,-3153.33
2023-06-15,-13.65,-2.36,-860.47
2023-06-16,-13.48,-2.11,-1103.7
2023-06-20,-13.45,-1.88,-1588.76
2023-06-21,-13.41,-1.67,-3942.86
2023-06-22,-13.33,-1.4,-1976.06
2023-06-23,-13.4,-1.12,-33450.0
2023-06-26,-12.97,-0.91,-2433.33
2023-06-27,-12.27,-0.7,-1621.88
2023-06-28,-11.94,-0.5,-1810.14
2023-06-29,-11.56,-0.26,-1779.41
2023-06-30,-11.0,-0.02,-674.05
2023-07-03,-10.83,0.16,-629.0
2023-07-05,-10.96,0.34,-683.71
2023-07-06,-11.1,0.46,-1388.66
2023-07-07,-11.28,0.6,-1763.51
2023-07-10,-11.26,0.71,-1140.59
2023-07-11,-11.07,0.86,-683.03
2023-07-12,-10.71,0.99,-452.46
2023-07-13,-10.08,1.13,-387.42
2023-07-14,-9.39,1.27,-378.93
2023-07-17,-9.09,1.36,-354.67
2023-07-18,-8.92,1.51,-303.94
2023-07-19,-8.81,1.69,-277.48
2023-07-20,-8.57,1.87,-311.14
2023-07-21,-8.35,2.02,-300.78
2023-07-24,-7.85,2.24,-251.16
2023-07-25,-7.39,2.49,-242.32
2023-07-26,-6.83,2.69,-214.41
2023-07-27,-6.24,2.85,-230.58
2023-07-28,-5.64,3.06,-197.93
2023-07-31,-5.15,3.22,-180.84
2023-08-01,-4.74,3.35,-195.71
2023-08-02,-4.78,3.44,-254.39
2023-08-03,-4.75,3.56,-253.17
2023-08-04,-5.01,3.67,-306.16
2023-08-07,-5.25,3.8,-244.9
2023-08-08,-5.47,3.88,-267.17
2023-08-09,-5.47,3.9,-291.93
2023-08-10,-5.5,3.88,-280.28
2023-08-11,-5.27,3.87,-271.38
2023-08-14,-5.24,3.85,-257.89
2023-08-15,-5.06,3.76,-291.39
2023-08-16,-4.87,3.63,-331.96
2023-08-17,-4.95,3.5,-504.32
2023-08-18,-5.1,3.38,-486.21
2023-08-21,-5.33,3.26,-428.42
2023-08-22,-5.62,3.12,-460.23
2023-08-23,-5.89,3.01,-340.74
2023-08-24,-6.07,2.89,-526.14
2023-08-25,-6.25,2.75,-428.43
2023-08-28,-6.18,2.62,-344.4
2023-08-29,-5.99,2.55,-254.44
2023-08-30,-5.82,2.56,-236.07
2023-08-31,-5.52,2.57,-241.06
2023-09-01,-5.11,2.61,-221.37
2023-09-05,-5.02,2.6,-261.79
2023-09-06,-5.14,2.57,-311.59
2023-09-07,-5.19,2.55,-309.24
2023-09-08,-5.21,2.54,-295.8
2023-09-11,-5.36,2.56,-260.12
2023-09-12,-5.44,2.53,-313.6
2023-09-13,-5.46,2.55,-308.45
2023-09-14,-5.39,2.64,-231.62
2023-09-15,-5.8,2.69,-392.65
2023-09-18,-6.42,2.75,-425.39
2023-09-19,-7.07,2.77,-484.75
2023-09-20,-7.92,2.76,-813.38
2023-09-21,-9.2,2.63,-5545.0
2023-09-22,-10.08,2.53,-2531.82
2023-09-25,-10.69,2.43,-37800.0
2023-09-26,-11.37,2.23,-743.92
2023-09-27,-11.89,1.99,-769.86
2023-09-28,-12.07,1.74,-869.84
2023-09-29,-12.28,1.49,-745.64
2023-10-02,-12.6,1.23,-785.03
2023-10-03,-13.16,0.93,-450.54
2023-10-04,-13.64,0.69,-630.43
2023-10-05,-14.26,0.46,-612.56
2023-10-06,-14.74,0.27,-1385.15
2023-10-09,-14.99,0.09,-3866.67
2023-10-10,-14.58,-0.04,-9507.14
2023-10-11,-14.26,-0.15,-2512.5
2023-10-12,-14.18,-0.34,-49733.33
2023-10-13,-14.23,-0.49,-2674.55
2023-10-16,-14.12,-0.59,-3017.02
2023-10-17,-14.31,-0.68,-3039.58
2023-10-18,-14.76,-0.8,-1752.94
2023-10-19,-15.11,-0.87,-896.43
2023-10-20,-15.43,-0.99,-482.7
2023-10-23,-16.13,-1.15,-463.07
2023-10-24,-16.86,-1.19,-657.69
2023-10-25,-17.39,-1.3,-397.57
2023-10-26,-17.89,-1.48,-295.28
2023-10-27,-18.46,-1.67,-273.11
2023-10-30,-18.67,-1.81,-338.94
2023-10-31,-18.59,-1.85,-383.01
2023-11-01,-18.2,-1.87,-561.04
2023-11-02,-17.2,-1.8,-1934.29
2023-11-03,-16.05,-1.74,-7436.84
2023-11-06,-15.24,-1.7,-3844.74
2023-11-07,-14.61,-1.67,-2280.0
2023-11-08,-14.08,-1.66,-1995.89
2023-11-09,-14.47,-1.66,-161400.0
2023-11-10,-14.69,-1.56,-1092.11
2023-11-13,-15.07,-1.51,-1233.1
2023-11-14,-14.55,-1.37,-447.31
2023-11-15,-13.84,-1.15,-387.96
2023-11-16,-12.77,-0.88,-390.84
2023-11-17,-11.86,-0.54,-373.32
2023-11-20,-10.7,-0.16,-322.03
2023-11-21,-10.6,0.18,-354.82
2023-11-22,-10.54,0.6,-307.69
2023-11-24,-10.3,1.09,-296.3
2023-11-27,-10.09,1.59,-302.56
2023-11-28,-9.79,2.04,-283.72
2023-11-29,-9.46,2.45,-300.64
2023-11-30,-9.22,2.83,-270.9
2023-12-01,-8.68,3.15,-222.06
2023-12-04,-7.9,3.39,-209.78
2023-12-05,-7.29,3.63,-213.39
2023-12-06,-6.4,3.83,-206.14
2023-12-07,-5.65,4.07,-192.41
2023-12-08,-5.26,4.36,-185.1
2023-12-11,-4.84,4.59,-157.52
2023-12-12,-4.28,4.84,-145.15
2023-12-13,-3.29,5.07,-100.51
2023-12-14,-1.81,5.31,-71.01
2023-12-15,-0.23,5.52,-62.66
2023-12-18,0.89,5.76,-75.75
2023-12-19,1.97,5.99,-73.8
2023-12-20,2.29,6.14,-79.23
2023-12-21,2.14,6.32,-80.38
2023-12-22,1.85,6.51,-81.91
2023-12-26,1.77,6.72,-80.76
2023-12-27,1.6,6.94,-83.19
2023-12-28,1.54,7.15,-86.28
2023-12-29,1.42,7.34,-88.16
2024-01-02,1.25,7.47,-91.67
2024-01-03,0.72,7.59,-111.82
2024-01-04,0.26,7.7,-111.2
2024-01-05,0.08,7.83,-94.7
2024-01-08,0.19,8.0,-81.92
2024-01-09,0.3,8.14,-86.08
2024-01-10,1.2,8.3,-60.74
2024-01-11,2.07,8.43,-61.26
2024-01-12,2.67,8.5,-63.49
2024-01-16,3.15,8.53,-55.27
2024-01-17,3.58,8.55,-59.98
2024-01-18,3.63,8.58,-58.03
2024-01-19,3.9,8.64,-52.61
2024-01-22,3.95,8.79,-65.88
2024-01-23,3.56,8.91,-80.89
2024-01-24,3.12,9.03,-89.37
2024-01-25,2.77,9.15,-81.54
2024-01-26,2.44,9.27,-71.5
2024-01-29,2.38,9.42,-72.31
2024-01-30,2.71,9.57,-68.97
2024-01-31,3.0,9.69,-75.22
2024-02-01,3.47,9.88,-61.17
2024-02-02,3.56,10.14,-70.27
2024-02-05,3.52,10.38,-74.07
2024-02-06,3.46,10.55,-72.15
2024-02-07,3.99,10.77,-59.98
2024-02-08,4.2,10.97,-58.04
2024-02-09,4.53,11.19,-60.7
2024-02-12,5.11,11.41,-55.96
2024-02-13,5.17,11.57,-69.02
2024-02-14,4.92,11.81,-69.82
2024-02-15,4.77,12.04,-65.51
2024-02-16,4.72,12.18,-61.45
2024-02-20,4.56,12.29,-59.31
2024-02-21,4.93,12.39,-56.2
2024-02-22,5.67,12.6,-48.73
2024-02-23,6.28,12.77,-47.77
2024-02-26,6.8,12.93,-47.09
2024-02-27,7.54,13.07,-40.18
2024-02-28,8.3,13.21,-35.56
2024-02-29,8.83,13.44,-31.56
2024-03-01,9.5,13.65,-29.22
2024-03-04,9.97,13.82,-35.91
2024-03-05,10.1,13.94,-34.8
2024-03-06,10.05,14.08,-39.14
2024-03-07,9.78,14.24,-44.83
2024-03-08,9.16,14.36,-48.3
2024-03-11,8.65,14.45,-51.36
2024-03-12,8.43,14.6,-49.09
2024-03-13,8.52,14.81,-40.86
2024-03-14,8.45,14.96,-46.65
2024-03-15,8.45,15.04,-48.19
2024-03-18,8.47,15.18,-52.46
2024-03-19,8.75,15.38,-40.95
2024-03-20,9.06,15.6,-35.39
2024-03-21,10.2,15.74,-19.05
2024-03-22,11.18,15.85,-25.25
2024-03-25,11.84,15.98,-35.58
2024-03-26,11.87,16.07,-40.76
2024-03-27,11.96,16.22,-33.69
2024-03-28,11.29,16.34,-37.41
2024-04-01,9.99,16.41,-62.54
2024-04-02,8.8,16.45,-69.7
2024-04-03,7.63,16.55,-75.18
2024-04-04,6.0,16.56,-77.27
2024-04-05,4.51,16.57,-78.38
2024-04-08,4.17,16.61,-71.24
2024-04-09,4.08,16.66,-72.57
2024-04-10,3.54,16.61,-90.71
2024-04-11,2.95,16.61,-96.8
2024-04-12,2.09,16.54,-105.2
2024-04-15,0.71,16.44,-116.2
2024-04-16,-0.81,16.3,-123.15
2024-04-17,-1.83,16.1,-128.89
2024-04-18,-2.66,15.85,-129.29
2024-04-19,-3.08,15.54,-125.41
2024-04-22,-3.19,15.29,-121.81
2024-04-23,-2.95,15.13,-113.58
2024-04-24,-2.94,14.97,-126.22
2024-04-25,-2.99,14.76,-129.33
2024-04-26,-3.01,14.6,-120.85
2024-04-29,-2.97,14.48,-116.97
2024-04-30,-3.24,14.3,-125.04
2024-05-01,-3.29,14.09,-130.91
2024-05-02,-3.07,13.99,-121.08
2024-05-03,-2.63,13.91,-105.15
2024-05-06,-2.31,13.88,-105.79
2024-05-07,-1.94,13.86,-108.54
2024-05-08,-1.55,13.89,-111.84
2024-05-09,-0.88,13.91,-96.77
2024-05-10,-0.68,14.01,-98.46
2024-05-13,-0.75,14.18,-107.66
2024-05-14,-0.76,14.39,-108.16
2024-05-15,-0.2,14.7,-95.16
2024-05-16,-0.47,15.01,-104.25
2024-05-17,-0.59,15.37,-101.92
2024-05-20,-0.77,15.7,-111.61
2024-05-21,-1.02,15.97,-113.91
2024-05-22,-2.05,16.23,-122.61
2024-05-23,-2.96,16.46,-129.55
2024-05-24,-4.05,16.69,-131.02
2024-05-28,-4.57,16.89,-125.4
2024-05-29,-5.15,17.15,-131.0
2024-05-30,-5.23,17.39,-127.01
2024-05-31,-4.78,17.64,-116.59
2024-06-03,-4.6,17.8,-127.16
2024-06-04,-4.61,17.92,-126.56
2024-06-05,-4.34,18.1,-121.79
2024-06-06,-4.22,18.27,-120.58
2024-06-07,-4.65,18.41,-126.71
2024-06-10,-4.39,18.56,-118.22
2024-06-11,-3.96,18.72,-113.45
2024-06-12,-3.16,18.9,-101.33
2024-06-13,-2.2,19.03,-96.29
2024-06-14,-1.06,19.17,-97.71
2024-06-17,-0.09,19.34,-94.35
2024-06-18,0.95,19.53,-88.91
2024-06-20,1.49,19.69,-89.29
2024-06-21,1.94,19.85,-86.07
2024-06-24,2.18,20.04,-92.4
2024-06-25,1.53,20.2,-108.85
2024-06-26,0.84,20.37,-104.27
2024-06-27,0.15,20.59,-104.64
2024-06-28,-0.51,20.81,-101.15
2024-07-01,-1.35,20.98,-111.75
2024-07-02,-1.53,21.18,-112.96
2024-07-03,-1.99,21.4,-114.39
2024-07-05,-2.38,21.58,-112.87
2024-07-08,-2.64,21.76,-106.67
2024-07-09,-2.58,21.96,-109.72
2024-07-10,-2.06,22.18,-100.99
2024-07-11,-0.9,22.35,-89.25
2024-07-12,0.54,22.5,-82.41
2024-07-15,1.62,22.65,-84.14
2024-07-16,3.46,22.82,-72.02
