Date,rate_AVGO_5D,rate_VOO_20D,Max_Divergence
2022-05-03,-8.17,-6.19,34.72
2022-05-04,-6.73,-6.41,61.09
2022-05-05,-6.65,-6.74,36.23
2022-05-06,-5.79,-7.12,39.55
2022-05-09,-6.22,-7.62,31.72
2022-05-10,-6.2,-8.04,52.95
2022-05-11,-7.36,-8.5,41.7
2022-05-12,-7.62,-9.02,46.86
2022-05-13,-7.36,-9.39,59.62
2022-05-16,-6.73,-9.77,53.73
2022-05-17,-5.87,-10.14,82.99
2022-05-18,-5.76,-10.68,45.96
2022-05-19,-6.57,-11.17,22.33
2022-05-20,-8.02,-11.54,19.02
2022-05-23,-9.83,-11.86,-10.01
2022-05-24,-12.52,-12.08,-7.7
2022-05-25,-13.77,-12.27,-4.49
2022-05-26,-13.63,-12.49,6.54
2022-05-27,-12.33,-12.44,39.71
2022-05-31,-10.6,-12.45,37.62
2022-06-01,-8.97,-12.5,32.27
2022-06-02,-7.48,-12.61,25.61
2022-06-03,-7.03,-12.62,15.33
2022-06-06,-7.7,-12.6,10.04
2022-06-07,-7.89,-12.4,22.02
2022-06-08,-8.15,-12.26,17.45
2022-06-09,-8.81,-12.15,19.24
2022-06-10,-9.52,-12.17,16.68
2022-06-13,-10.92,-12.44,10.32
2022-06-14,-12.62,-12.7,13.54
2022-06-15,-13.87,-13.0,13.97
2022-06-16,-15.77,-13.26,1.41
2022-06-17,-17.15,-13.47,1.58
2022-06-21,-17.59,-13.6,-4.35
2022-06-22,-18.37,-13.81,-10.29
2022-06-23,-19.34,-13.94,-15.32
2022-06-24,-18.96,-13.99,-21.34
2022-06-27,-18.73,-14.14,-22.44
2022-06-28,-18.9,-14.48,-16.3
2022-06-29,-19.09,-14.81,-21.99
2022-06-30,-19.43,-15.16,-21.75
2022-07-01,-20.32,-15.52,-35.5
2022-07-05,-21.14,-15.8,-38.17
2022-07-06,-21.53,-16.08,-34.32
2022-07-07,-21.15,-16.34,-27.78
2022-07-08,-20.61,-16.56,-27.21
2022-07-11,-20.45,-16.72,-35.93
2022-07-12,-20.29,-16.79,-31.1
2022-07-13,-20.32,-16.72,-27.85
2022-07-14,-20.77,-16.66,-23.43
2022-07-15,-20.91,-16.57,-25.36
2022-07-18,-20.64,-16.39,-23.48
2022-07-19,-19.75,-16.1,-22.11
2022-07-20,-18.77,-15.89,-23.58
2022-07-21,-17.7,-15.62,-24.3
2022-07-22,-17.11,-15.43,-23.42
2022-07-25,-16.39,-15.37,-23.41
2022-07-26,-16.32,-15.34,-16.98
2022-07-27,-15.8,-15.11,-15.66
2022-07-28,-15.28,-14.82,-18.38
2022-07-29,-14.54,-14.42,-30.66
2022-08-01,-13.71,-14.1,-25.82
2022-08-02,-12.95,-13.8,-26.6
2022-08-03,-12.35,-13.46,-20.29
2022-08-04,-11.8,-13.19,-11.55
2022-08-05,-11.34,-12.92,-11.71
2022-08-08,-11.12,-12.6,-18.68
2022-08-09,-11.05,-12.26,-30.35
2022-08-10,-10.97,-11.84,-26.89
2022-08-11,-11.15,-11.41,-33.61
2022-08-12,-11.01,-11.0,-33.61
2022-08-15,-10.71,-10.54,-37.82
2022-08-16,-10.29,-10.19,-51.53
2022-08-17,-10.54,-9.88,-62.05
2022-08-18,-10.25,-9.61,-36.01
2022-08-19,-10.46,-9.34,-35.18
2022-08-22,-11.11,-9.14,-39.61
2022-08-23,-11.59,-8.9,-36.25
2022-08-24,-11.76,-8.76,-37.72
2022-08-25,-11.93,-8.62,-26.77
2022-08-26,-12.53,-8.66,-32.31
2022-08-29,-12.85,-8.71,-34.29
2022-08-30,-13.37,-8.77,-34.41
2022-08-31,-14.06,-8.91,-36.06
2022-09-01,-15.25,-9.02,-44.74
2022-09-02,-15.62,-9.16,-30.38
2022-09-06,-15.89,-9.3,-30.16
2022-09-07,-15.8,-9.36,-36.51
2022-09-08,-15.34,-9.46,-33.33
2022-09-09,-14.48,-9.5,-33.95
2022-09-12,-13.6,-9.55,-36.21
2022-09-13,-13.49,-9.8,-27.23
2022-09-14,-13.34,-10.04,-20.94
2022-09-15,-13.74,-10.31,-25.49
2022-09-16,-14.39,-10.62,-16.49
2022-09-19,-15.26,-10.85,-23.08
2022-09-20,-15.61,-11.07,-24.98
2022-09-21,-16.54,-11.36,-24.67
2022-09-22,-17.28,-11.69,-23.89
2022-09-23,-18.39,-12.13,-22.58
2022-09-26,-19.69,-12.5,-23.1
2022-09-27,-20.61,-12.87,-19.35
2022-09-28,-21.14,-13.15,-26.77
2022-09-29,-22.05,-13.48,-29.32
2022-09-30,-22.87,-13.91,-26.51
2022-10-03,-22.94,-14.17,-29.33
2022-10-04,-22.32,-14.31,-24.78
2022-10-05,-21.58,-14.52,-18.16
2022-10-06,-20.49,-14.79,-17.17
2022-10-07,-19.83,-15.24,-19.86
2022-10-10,-20.46,-15.77,-36.17
2022-10-11,-22.09,-16.14,-38.45
2022-10-12,-23.89,-16.53,-36.95
2022-10-13,-25.27,-16.77,-45.94
2022-10-14,-26.38,-17.07,-41.66
2022-10-17,-26.46,-17.3,-50.09
2022-10-18,-26.32,-17.44,-59.36
2022-10-19,-26.16,-17.53,-53.52
2022-10-20,-26.42,-17.62,-52.59
2022-10-21,-25.66,-17.54,-50.54
2022-10-24,-24.94,-17.38,-52.97
2022-10-25,-24.09,-17.14,-64.13
2022-10-26,-23.22,-16.99,-55.4
2022-10-27,-22.37,-16.77,-57.28
2022-10-28,-21.59,-16.4,-58.15
2022-10-31,-21.13,-16.18,-54.7
2022-11-01,-20.76,-16.09,-53.54
2022-11-02,-20.83,-16.09,-45.07
2022-11-03,-21.09,-16.1,-49.59
2022-11-04,-21.25,-15.93,-37.77
2022-11-07,-20.98,-15.69,-33.64
2022-11-08,-20.51,-15.4,-29.62
2022-11-09,-20.07,-15.19,-29.06
2022-11-10,-17.99,-14.86,-24.7
2022-11-11,-16.22,-14.39,-15.73
2022-11-14,-14.94,-14.06,-15.82
2022-11-15,-13.52,-13.74,-5.12
2022-11-16,-12.1,-13.43,-18.72
2022-11-17,-11.91,-13.09,-15.35
2022-11-18,-12.01,-12.84,-14.78
2022-11-21,-11.87,-12.64,-7.87
2022-11-22,-11.74,-12.46,-1.97
2022-11-23,-11.08,-12.22,-2.42
2022-11-25,-10.54,-11.96,-8.24
2022-11-28,-10.32,-11.86,-4.38
2022-11-29,-10.2,-11.75,-3.85
2022-11-30,-9.65,-11.5,11.54
2022-12-01,-9.17,-11.13,10.82
2022-12-02,-8.85,-10.73,-4.44
2022-12-05,-8.57,-10.46,-1.37
2022-12-06,-8.42,-10.29,3.82
2022-12-07,-9.3,-10.16,-4.87
2022-12-08,-9.82,-9.91,6.76
2022-12-09,-9.66,-9.91,31.27
2022-12-12,-8.87,-9.89,41.21
2022-12-13,-7.48,-9.8,62.72
2022-12-14,-5.75,-9.78,70.53
2022-12-15,-4.93,-9.83,53.51
2022-12-16,-4.6,-9.92,54.6
2022-12-19,-4.82,-10.07,49.63
2022-12-20,-5.69,-10.22,43.88
2022-12-21,-6.11,-10.36,61.0
2022-12-22,-6.26,-10.59,54.61
2022-12-23,-6.37,-10.79,52.16
2022-12-27,-6.24,-10.94,54.66
2022-12-28,-6.21,-11.14,48.08
2022-12-29,-6.32,-11.39,58.56
2022-12-30,-6.13,-11.67,60.86
2023-01-03,-6.06,-11.94,54.95
2023-01-04,-5.81,-12.1,61.64
2023-01-05,-5.45,-12.25,57.88
2023-01-06,-4.39,-12.29,98.89
2023-01-09,-3.77,-12.37,82.37
2023-01-10,-3.05,-12.39,78.44
2023-01-11,-2.45,-12.41,81.45
2023-01-12,-1.54,-12.45,87.49
2023-01-13,-1.86,-12.45,81.72
2023-01-17,-1.78,-12.34,82.39
2023-01-18,-1.8,-12.26,77.05
2023-01-19,-2.31,-12.16,62.16
2023-01-20,-2.68,-11.98,68.93
2023-01-23,-2.59,-11.8,85.79
2023-01-24,-2.4,-11.57,92.26
2023-01-25,-2.01,-11.36,93.45
2023-01-26,-0.82,-11.09,119.73
2023-01-27,-0.13,-10.75,103.97
2023-01-30,-0.14,-10.54,85.44
2023-01-31,-0.14,-10.26,90.86
2023-02-01,0.43,-9.92,134.51
2023-02-02,0.66,-9.55,152.38
2023-02-03,0.88,-9.18,122.54
2023-02-06,1.54,-8.93,129.87
2023-02-07,2.52,-8.62,173.34
2023-02-08,2.49,-8.39,131.56
2023-02-09,2.28,-8.25,123.31
2023-02-10,2.13,-8.12,109.35
2023-02-13,2.12,-7.96,132.04
2023-02-14,1.72,-7.79,135.1
2023-02-15,1.92,-7.54,151.68
2023-02-16,1.96,-7.31,126.93
2023-02-17,2.03,-7.16,114.64
2023-02-21,1.37,-7.15,84.65
2023-02-22,0.49,-7.13,74.45
2023-02-23,-0.31,-7.1,88.73
2023-02-24,-1.08,-7.15,78.46
2023-02-27,-1.42,-7.2,92.54
2023-02-28,-0.99,-7.21,109.06
2023-03-01,-0.41,-7.29,107.58
2023-03-02,0.09,-7.4,117.78
2023-03-03,1.92,-7.51,196.76
2023-03-06,3.49,-7.56,198.36
2023-03-07,4.5,-7.66,168.21
2023-03-08,5.78,-7.8,183.22
2023-03-09,6.56,-7.97,154.17
2023-03-10,5.96,-8.17,137.0
2023-03-13,5.41,-8.39,139.0
2023-03-14,5.66,-8.58,171.3
2023-03-15,5.45,-8.8,157.55
2023-03-16,5.92,-8.95,186.2
2023-03-17,6.47,-9.1,168.66
2023-03-20,7.38,-9.21,197.83
2023-03-21,7.53,-9.18,197.15
2023-03-22,7.69,-9.22,171.86
2023-03-23,7.78,-9.28,188.45
2023-03-24,7.95,-9.28,184.88
2023-03-27,7.38,-9.28,168.82
2023-03-28,6.98,-9.28,163.68
2023-03-29,6.79,-9.21,175.6
2023-03-30,6.61,-9.15,200.27
2023-03-31,6.79,-9.08,243.14
2023-04-03,7.28,-8.99,255.22
2023-04-04,7.57,-8.86,219.74
2023-04-05,7.66,-8.75,201.27
2023-04-06,7.25,-8.54,189.41
2023-04-10,6.74,-8.27,204.44
2023-04-11,6.04,-8.0,187.84
2023-04-12,5.45,-7.81,169.57
2023-04-13,5.29,-7.53,211.38
2023-04-14,5.19,-7.34,192.12
2023-04-17,5.19,-7.08,225.2
2023-04-18,5.55,-6.86,243.98
2023-04-19,6.15,-6.7,251.35
2023-04-20,6.44,-6.49,231.72
2023-04-21,6.89,-6.28,232.83
2023-04-24,7.13,-6.09,241.31
2023-04-25,6.79,-5.96,180.87
2023-04-26,6.17,-5.84,162.24
2023-04-27,5.67,-5.71,187.6
2023-04-28,5.46,-5.57,230.7
2023-05-01,5.54,-5.49,271.18
2023-05-02,5.19,-5.49,162.84
2023-05-03,5.06,-5.49,159.21
2023-05-04,4.76,-5.51,146.05
2023-05-05,4.86,-5.47,224.66
2023-05-08,4.56,-5.43,222.11
2023-05-09,4.76,-5.42,181.27
2023-05-10,5.2,-5.36,213.14
2023-05-11,5.78,-5.37,214.91
2023-05-12,5.82,-5.38,223.18
2023-05-15,6.18,-5.39,259.52
2023-05-16,6.95,-5.43,247.26
2023-05-17,7.99,-5.42,341.45
2023-05-18,9.68,-5.33,495.89
2023-05-19,11.4,-5.26,499.47
2023-05-22,12.7,-5.18,488.5
2023-05-23,14.21,-5.1,431.25
2023-05-24,14.96,-5.04,367.15
2023-05-25,16.67,-5.01,589.79
2023-05-26,21.07,-4.96,1167.82
2023-05-30,25.28,-4.9,1131.3
2023-05-31,29.37,-4.83,1017.93
2023-06-01,32.95,-4.67,1191.3
2023-06-02,35.61,-4.42,2370.0
2023-06-05,35.12,-4.25,2038.55
2023-06-06,34.53,-4.07,2152.2
2023-06-07,33.87,-3.9,1831.41
2023-06-08,34.35,-3.71,2733.08
2023-06-09,34.1,-3.5,3099.15
2023-06-12,35.88,-3.25,16248.15
2023-06-13,37.93,-2.98,11186.84
2023-06-14,41.07,-2.67,10737.78
2023-06-15,43.73,-2.36,2708.72
2023-06-16,45.86,-2.11,3288.15
2023-06-20,46.29,-1.88,5038.2
2023-06-21,46.17,-1.67,11988.57
2023-06-22,44.7,-1.4,5735.21
2023-06-23,42.65,-1.12,95175.0
2023-06-26,41.09,-0.91,8531.11
2023-06-27,40.43,-0.7,6529.69
2023-06-28,40.44,-0.5,6039.13
2023-06-29,41.11,-0.26,6489.71
2023-06-30,42.63,-0.02,2366.49
2023-07-03,44.28,0.16,2209.0
2023-07-05,44.55,0.34,2358.43
2023-07-06,44.37,0.46,4175.26
2023-07-07,43.66,0.6,5475.68
2023-07-10,43.81,0.71,4493.07
2023-07-11,44.0,0.86,2755.15
2023-07-12,44.93,0.99,1884.43
2023-07-13,46.33,1.13,1387.42
2023-07-14,47.72,1.27,1415.41
2023-07-17,48.8,1.36,1367.42
2023-07-18,49.51,1.51,1075.41
2023-07-19,49.89,1.69,1010.6
2023-07-20,49.82,1.87,1147.41
2023-07-21,50.09,2.02,1180.36
2023-07-24,49.8,2.24,1070.93
2023-07-25,50.21,2.49,1055.04
2023-07-26,49.97,2.69,973.14
2023-07-27,50.19,2.85,1133.33
2023-07-28,50.3,3.06,935.12
2023-07-31,50.21,3.22,896.61
2023-08-01,50.11,3.35,1019.31
2023-08-02,49.88,3.44,1259.21
2023-08-03,49.41,3.56,1316.01
2023-08-04,48.66,3.67,1488.01
2023-08-07,48.42,3.8,1241.6
2023-08-08,47.39,3.88,1316.27
2023-08-09,46.42,3.9,1412.98
2023-08-10,45.48,3.88,1359.52
2023-08-11,44.32,3.87,1334.63
2023-08-14,43.29,3.85,1247.68
2023-08-15,42.33,3.76,1629.92
2023-08-16,41.93,3.63,2019.59
2023-08-17,41.58,3.5,2810.07
2023-08-18,41.52,3.38,2679.31
2023-08-21,41.77,3.26,2256.84
2023-08-22,42.08,3.12,2457.89
2023-08-23,43.07,3.01,1795.88
2023-08-24,43.7,2.89,2749.02
2023-08-25,44.29,2.75,2097.46
2023-08-28,44.2,2.62,1739.42
2023-08-29,44.97,2.55,1306.8
2023-08-30,45.31,2.56,1206.28
2023-08-31,46.84,2.57,1331.01
2023-09-01,47.13,2.61,1124.93
2023-09-05,47.19,2.6,1233.43
2023-09-06,46.62,2.57,1519.2
2023-09-07,45.54,2.55,1602.01
2023-09-08,43.78,2.54,1520.61
2023-09-11,43.38,2.56,1210.12
2023-09-12,42.52,2.53,1383.09
2023-09-13,41.92,2.55,1368.31
2023-09-14,42.39,2.64,1109.19
2023-09-15,42.2,2.69,1593.88
2023-09-18,41.9,2.75,1510.55
2023-09-19,42.05,2.77,1641.53
2023-09-20,41.32,2.76,2578.87
2023-09-21,39.25,2.63,17300.0
2023-09-22,38.51,2.53,8690.91
2023-09-25,37.99,2.43,128733.33
2023-09-26,36.9,2.23,2509.46
2023-09-27,36.44,1.99,2550.0
2023-09-28,37.22,1.74,3137.3
2023-09-29,37.27,1.49,2653.02
2023-10-02,37.15,1.23,2686.39
2023-10-03,36.97,0.93,1353.79
2023-10-04,37.05,0.69,1848.79
2023-10-05,36.64,0.46,1783.72
2023-10-06,36.97,0.27,4030.69
2023-10-09,37.65,0.09,11611.11
2023-10-10,39.08,-0.04,29792.86
2023-10-11,40.74,-0.15,7846.43
2023-10-12,43.42,-0.34,165433.33
2023-10-13,44.66,-0.49,8449.09
2023-10-16,46.19,-0.59,10346.81
2023-10-17,47.05,-0.68,9506.25
2023-10-18,47.45,-0.8,5575.29
2023-10-19,46.21,-0.87,2682.14
2023-10-20,45.23,-0.99,1520.07
2023-10-23,43.91,-1.15,1487.58
2023-10-24,43.8,-1.19,2047.44
2023-10-25,42.57,-1.3,1191.35
2023-10-26,41.21,-1.48,851.75
2023-10-27,40.71,-1.67,829.55
2023-10-30,40.02,-1.81,1037.5
2023-10-31,38.71,-1.85,1186.91
2023-11-01,38.66,-1.87,1712.45
2023-11-02,39.96,-1.8,6260.0
2023-11-03,41.25,-1.74,23568.42
2023-11-06,42.39,-1.7,11655.26
2023-11-07,44.07,-1.67,7196.92
2023-11-08,45.96,-1.66,6694.52
2023-11-09,47.26,-1.66,496500.0
2023-11-10,49.7,-1.56,3659.87
2023-11-13,51.85,-1.51,3803.52
2023-11-14,54.3,-1.37,1686.83
2023-11-15,56.39,-1.15,1582.63
2023-11-16,57.96,-0.88,1449.6
2023-11-17,58.62,-0.54,1466.06
2023-11-20,60.22,-0.16,1269.11
2023-11-21,60.48,0.18,1299.54
2023-11-22,60.37,0.6,1137.42
2023-11-24,61.0,1.09,1145.17
2023-11-27,60.11,1.59,1093.39
2023-11-28,58.5,2.04,1055.11
2023-11-29,57.18,2.45,1053.18
2023-11-30,55.67,2.83,914.84
2023-12-01,53.87,3.15,819.57
2023-12-04,52.82,3.39,892.37
2023-12-05,51.55,3.63,863.78
2023-12-06,50.15,3.83,904.87
2023-12-07,49.84,4.07,834.07
2023-12-08,50.31,4.36,835.88
2023-12-11,53.71,4.59,1006.7
2023-12-12,58.86,4.84,1031.67
2023-12-13,64.87,5.07,878.66
2023-12-14,70.83,5.31,877.22
2023-12-15,76.83,5.52,941.94
2023-12-18,80.64,5.76,906.73
2023-12-19,82.81,5.99,834.17
2023-12-20,83.48,6.14,976.43
2023-12-21,84.15,6.32,899.76
2023-12-22,83.9,6.51,865.23
2023-12-26,83.41,6.72,843.18
2023-12-27,82.97,6.94,816.48
2023-12-28,83.36,7.15,808.78
2023-12-29,83.0,7.34,822.1
2024-01-02,81.54,7.47,823.9
2024-01-03,78.89,7.59,844.09
2024-01-04,76.12,7.7,861.96
2024-01-05,73.48,7.83,845.52
2024-01-08,71.87,8.0,732.99
2024-01-09,71.78,8.14,769.49
2024-01-10,72.49,8.3,709.54
2024-01-11,74.13,8.43,746.25
2024-01-12,76.02,8.5,756.01
2024-01-16,77.31,8.53,798.99
2024-01-17,78.0,8.55,830.76
2024-01-18,80.04,8.58,820.39
2024-01-19,83.63,8.64,825.73
2024-01-22,87.27,8.79,821.52
2024-01-23,90.86,8.91,806.28
2024-01-24,95.71,9.03,840.42
2024-01-25,98.49,9.15,763.95
2024-01-26,98.28,9.27,732.89
2024-01-29,98.2,9.42,702.49
2024-01-30,97.66,9.57,696.16
2024-01-31,95.46,9.69,776.56
2024-02-01,94.24,9.88,708.55
2024-02-02,94.49,10.14,673.01
2024-02-05,94.82,10.38,715.74
2024-02-06,94.9,10.55,676.28
2024-02-07,96.63,10.77,666.87
2024-02-08,98.59,10.97,680.43
2024-02-09,100.12,11.19,659.31
2024-02-12,100.67,11.41,644.34
2024-02-13,101.37,11.57,716.19
2024-02-14,101.49,11.81,668.6
2024-02-15,101.24,12.04,633.62
2024-02-16,100.22,12.18,641.34
2024-02-20,99.12,12.29,652.08
2024-02-21,98.43,12.39,647.23
2024-02-22,99.65,12.6,615.73
2024-02-23,100.54,12.77,605.2
2024-02-26,102.36,12.93,636.0
2024-02-27,104.35,13.07,613.64
2024-02-28,106.12,13.21,614.81
2024-02-29,105.99,13.44,606.31
2024-03-01,108.5,13.65,648.07
2024-03-04,110.74,13.82,657.08
2024-03-05,111.67,13.94,657.45
2024-03-06,113.0,14.08,635.18
2024-03-07,115.62,14.24,635.04
2024-03-08,113.08,14.36,578.16
2024-03-11,110.02,14.45,567.96
2024-03-12,108.59,14.6,525.58
2024-03-13,105.95,14.81,500.37
2024-03-14,101.84,14.96,512.21
2024-03-15,99.68,15.04,512.6
2024-03-18,98.02,15.18,491.72
2024-03-19,96.42,15.38,474.25
2024-03-20,96.99,15.6,481.24
2024-03-21,99.64,15.74,533.35
2024-03-22,103.25,15.85,553.62
2024-03-25,106.75,15.98,561.13
2024-03-26,109.6,16.07,552.38
2024-03-27,110.89,16.22,511.78
2024-03-28,110.19,16.34,518.05
2024-04-01,109.71,16.41,544.4
2024-04-02,108.92,16.45,559.87
2024-04-03,109.52,16.55,578.99
2024-04-04,109.1,16.56,588.44
2024-04-05,109.15,16.57,564.51
2024-04-08,108.71,16.61,559.78
2024-04-09,108.57,16.66,552.27
2024-04-10,107.31,16.61,584.77
2024-04-11,109.32,16.61,609.53
2024-04-12,109.46,16.54,639.86
2024-04-15,108.67,16.44,675.11
2024-04-16,108.52,16.3,708.3
2024-04-17,107.28,16.1,693.41
2024-04-18,103.46,15.85,679.13
2024-04-19,99.13,15.54,667.42
2024-04-22,96.45,15.29,634.57
2024-04-23,93.97,15.13,588.38
2024-04-24,93.17,14.97,601.02
2024-04-25,94.28,14.76,669.61
2024-04-26,98.61,14.6,663.88
2024-04-29,102.16,14.48,637.88
2024-04-30,103.75,14.3,693.89
2024-05-01,103.0,14.09,646.04
2024-05-02,100.94,13.99,584.23
2024-05-03,98.56,13.91,561.69
2024-05-06,97.32,13.88,545.59
2024-05-07,97.06,13.86,532.29
2024-05-08,99.59,13.89,553.21
2024-05-09,101.64,13.91,509.64
2024-05-10,103.31,14.01,528.96
2024-05-13,104.15,14.18,533.23
2024-05-14,106.52,14.39,550.86
2024-05-15,109.93,14.7,548.01
2024-05-16,113.2,15.01,536.11
2024-05-17,115.13,15.37,516.2
2024-05-20,117.48,15.7,527.87
2024-05-21,118.07,15.97,505.52
2024-05-22,116.72,16.23,511.04
2024-05-23,116.14,16.46,541.51
2024-05-24,116.52,16.69,526.49
2024-05-28,116.47,16.89,526.94
2024-05-29,116.21,17.15,537.16
2024-05-30,115.34,17.39,542.2
2024-05-31,113.35,17.64,476.67
2024-06-03,110.35,17.8,467.15
2024-06-04,107.48,17.92,470.25
2024-06-05,107.79,18.1,494.03
2024-06-06,108.56,18.27,485.44
2024-06-07,110.59,18.41,494.13
2024-06-10,114.2,18.56,508.78
2024-06-11,118.17,18.72,516.19
2024-06-12,120.68,18.9,512.44
2024-06-13,129.13,19.03,637.41
2024-06-14,139.14,19.17,673.9
2024-06-17,150.97,19.34,705.33
2024-06-18,161.37,19.53,676.19
2024-06-20,168.64,19.69,641.19
2024-06-21,168.02,19.85,597.73
2024-06-24,163.65,20.04,561.37
2024-06-25,156.09,20.2,540.97
2024-06-26,149.66,20.37,545.19
2024-06-27,145.15,20.59,536.93
2024-06-28,143.53,20.81,572.62
2024-07-01,144.52,20.98,589.88
2024-07-02,146.29,21.18,580.5
2024-07-03,149.55,21.4,608.28
2024-07-05,152.31,21.58,576.21
2024-07-08,155.59,21.76,597.03
2024-07-09,157.93,21.96,586.6
2024-07-10,160.16,22.18,566.53
2024-07-11,159.48,22.35,567.42
2024-07-12,159.32,22.5,547.86
