Date,rate_COKE_5D,rate_VOO_20D,Max_Divergence
2023-07-03,15.53,0.16,649.0
2023-07-05,15.49,0.34,800.56
2023-07-06,15.19,0.46,1446.39
2023-07-07,14.92,0.6,1778.38
2023-07-10,14.76,0.71,1273.27
2023-07-11,14.04,0.86,590.91
2023-07-12,12.97,0.99,337.3
2023-07-13,12.47,1.13,284.36
2023-07-14,12.32,1.27,313.52
2023-07-17,12.4,1.36,303.4
2023-07-18,12.68,1.51,196.98
2023-07-19,13.69,1.69,246.8
2023-07-20,14.29,1.87,302.85
2023-07-21,14.67,2.02,288.63
2023-07-24,15.06,2.24,276.98
2023-07-25,15.47,2.49,225.0
2023-07-26,15.2,2.69,213.76
2023-07-27,15.28,2.85,299.75
2023-07-28,15.89,3.06,273.76
2023-07-31,15.43,3.22,177.84
2023-08-01,15.18,3.35,191.63
2023-08-02,14.72,3.44,240.79
2023-08-03,16.83,3.56,700.91
2023-08-04,18.07,3.67,732.19
2023-08-07,20.77,3.8,655.92
2023-08-08,23.38,3.88,701.51
2023-08-09,26.16,3.9,810.88
2023-08-10,26.36,3.88,851.56
2023-08-11,27.48,3.87,956.18
2023-08-14,27.61,3.85,769.97
2023-08-15,27.82,3.76,1034.02
2023-08-16,28.02,3.63,1288.14
2023-08-17,27.05,3.5,1530.22
2023-08-18,25.82,3.38,1535.86
2023-08-21,24.72,3.26,1090.0
2023-08-22,23.72,3.12,1226.9
2023-08-23,23.03,3.01,865.02
2023-08-24,22.99,2.89,1370.59
2023-08-25,22.91,2.75,1081.73
2023-08-28,23.08,2.62,873.86
2023-08-29,23.35,2.55,611.83
2023-08-30,23.4,2.56,547.81
2023-08-31,23.66,2.57,564.8
2023-09-01,22.96,2.61,441.37
2023-09-05,22.4,2.6,516.42
2023-09-06,21.35,2.57,581.52
2023-09-07,20.33,2.55,647.39
2023-09-08,18.97,2.54,548.85
2023-09-11,19.2,2.56,541.72
2023-09-12,19.14,2.53,648.16
2023-09-13,19.11,2.55,557.75
2023-09-14,19.02,2.64,391.08
2023-09-15,18.72,2.69,532.24
2023-09-18,18.0,2.75,576.17
2023-09-19,17.4,2.77,635.59
2023-09-20,17.32,2.76,1185.92
2023-09-21,17.07,2.63,8565.0
2023-09-22,17.44,2.53,4045.45
2023-09-25,17.41,2.43,57233.33
2023-09-26,17.09,2.23,1163.51
2023-09-27,16.25,1.99,1065.75
2023-09-28,15.93,1.74,1313.49
2023-09-29,15.26,1.49,1042.95
2023-10-02,14.6,1.23,1038.78
2023-10-03,14.12,0.93,582.67
2023-10-04,14.36,0.69,838.65
2023-10-05,13.92,0.46,708.37
2023-10-06,14.07,0.27,1564.36
2023-10-09,14.2,0.09,4119.44
2023-10-10,15.05,-0.04,12492.86
2023-10-11,15.57,-0.15,3092.86
2023-10-12,15.4,-0.34,40933.33
2023-10-13,14.68,-0.49,2130.91
2023-10-16,14.41,-0.59,2693.62
2023-10-17,13.52,-0.68,2639.58
2023-10-18,12.63,-0.8,1681.18
2023-10-19,12.56,-0.87,808.33
2023-10-20,12.6,-0.99,493.43
2023-10-23,12.29,-1.15,479.08
2023-10-24,12.79,-1.19,768.38
2023-10-25,13.07,-1.3,500.81
2023-10-26,13.57,-1.48,395.89
2023-10-27,13.97,-1.67,353.41
2023-10-30,14.57,-1.81,450.48
2023-10-31,14.2,-1.85,484.12
2023-11-01,14.09,-1.87,674.7
2023-11-02,14.16,-1.8,2202.86
2023-11-03,14.76,-1.74,8526.32
2023-11-06,15.51,-1.7,4728.95
2023-11-07,16.76,-1.67,2981.54
2023-11-08,17.9,-1.66,2639.73
2023-11-09,19.04,-1.66,204600.0
2023-11-10,19.98,-1.56,1287.5
2023-11-13,20.55,-1.51,1390.14
2023-11-14,21.09,-1.37,581.74
2023-11-15,21.7,-1.15,544.82
2023-11-16,22.4,-0.88,546.36
2023-11-17,23.46,-0.54,582.64
2023-11-20,24.72,-0.16,493.09
2023-11-21,25.78,0.18,544.5
2023-11-22,27.08,0.6,513.31
2023-11-24,28.08,1.09,495.07
2023-11-27,28.6,1.59,517.91
2023-11-28,28.74,2.04,487.68
2023-11-29,28.94,2.45,516.31
2023-11-30,29.12,2.83,493.75
2023-12-01,29.06,3.15,410.14
2023-12-04,29.57,3.39,517.22
2023-12-05,30.51,3.63,546.46
2023-12-06,32.14,3.83,689.19
2023-12-07,34.22,4.07,655.56
2023-12-08,36.56,4.36,599.65
2023-12-11,38.87,4.59,604.41
2023-12-12,41.4,4.84,588.94
2023-12-13,43.47,5.07,500.88
2023-12-14,44.95,5.31,487.33
2023-12-15,46.41,5.52,491.44
2023-12-18,47.7,5.76,474.71
2023-12-19,48.88,5.99,460.92
2023-12-20,49.44,6.14,570.97
2023-12-21,50.15,6.32,519.14
2023-12-22,51.37,6.51,527.65
2023-12-26,52.62,6.72,523.94
2023-12-27,53.9,6.94,535.05
2023-12-28,55.05,7.15,516.36
2023-12-29,55.84,7.34,527.62
2024-01-02,56.14,7.47,577.94
2024-01-03,55.79,7.59,617.53
2024-01-04,54.84,7.7,633.75
2024-01-05,54.0,7.83,605.57
2024-01-08,53.44,8.0,497.51
2024-01-09,52.94,8.14,512.41
2024-01-10,52.67,8.3,471.69
2024-01-11,52.54,8.43,470.29
2024-01-12,52.61,8.5,466.2
2024-01-16,52.47,8.53,485.09
2024-01-17,51.95,8.55,495.72
2024-01-18,50.57,8.58,397.29
2024-01-19,49.26,8.64,343.13
2024-01-22,48.23,8.79,346.54
2024-01-23,47.07,8.91,328.53
2024-01-24,46.61,9.03,338.59
2024-01-25,46.01,9.15,275.07
2024-01-26,45.5,9.27,280.56
2024-01-29,45.2,9.42,278.28
2024-01-30,45.36,9.57,293.49
2024-01-31,44.99,9.69,340.48
2024-02-01,46.62,9.88,344.85
2024-02-02,48.49,10.14,324.01
2024-02-05,49.55,10.38,321.96
2024-02-06,49.6,10.55,284.29
2024-02-07,50.1,10.77,271.0
2024-02-08,49.46,10.97,264.13
2024-02-09,48.04,11.19,233.8
2024-02-12,46.63,11.41,222.57
2024-02-13,45.69,11.57,251.27
2024-02-14,44.56,11.81,226.52
2024-02-15,44.1,12.04,229.64
2024-02-16,43.48,12.18,219.73
2024-02-20,42.89,12.29,221.29
2024-02-21,42.68,12.39,225.25
2024-02-22,41.55,12.6,148.8
2024-02-23,40.39,12.77,164.91
2024-02-26,40.46,12.93,192.74
2024-02-27,40.31,13.07,171.37
2024-02-28,40.02,13.21,174.88
2024-02-29,40.91,13.44,176.35
2024-03-01,40.78,13.65,147.31
2024-03-04,40.23,13.82,155.23
2024-03-05,39.81,13.94,161.43
2024-03-06,38.92,14.08,136.44
2024-03-07,38.19,14.24,133.37
2024-03-08,38.02,14.36,145.79
2024-03-11,37.7,14.45,148.19
2024-03-12,37.6,14.6,127.76
2024-03-13,38.58,14.81,149.11
2024-03-14,39.27,14.96,156.07
2024-03-15,39.44,15.04,152.97
2024-03-18,39.7,15.18,146.92
2024-03-19,40.26,15.38,143.73
2024-03-20,41.06,15.6,157.25
2024-03-21,42.4,15.74,171.51
2024-03-22,43.85,15.85,168.67
2024-03-25,44.35,15.98,147.92
2024-03-26,44.42,16.07,142.79
2024-03-27,43.7,16.22,133.92
2024-03-28,42.45,16.34,137.98
2024-04-01,41.05,16.41,129.99
2024-04-02,39.88,16.45,120.58
2024-04-03,38.82,16.55,114.19
2024-04-04,37.94,16.56,139.65
2024-04-05,37.27,16.57,134.7
2024-04-08,37.56,16.61,149.18
2024-04-09,38.16,16.66,137.58
2024-04-10,38.1,16.61,126.97
2024-04-11,38.13,16.61,126.49
2024-04-12,37.7,16.54,144.86
2024-04-15,36.63,16.44,164.04
2024-04-16,35.88,16.3,168.33
2024-04-17,35.92,16.1,180.79
2024-04-18,35.27,15.85,172.09
2024-04-19,35.28,15.54,216.94
2024-04-22,35.88,15.29,211.07
2024-04-23,36.47,15.13,180.03
2024-04-24,37.49,14.97,195.47
2024-04-25,38.47,14.76,191.46
2024-04-26,38.65,14.6,159.14
2024-04-29,38.76,14.48,165.17
2024-04-30,38.59,14.3,191.65
2024-05-01,38.07,14.09,206.07
2024-05-02,38.26,13.99,195.44
2024-05-03,39.14,13.91,181.56
2024-05-06,39.78,13.88,166.06
2024-05-07,45.57,13.86,315.96
2024-05-08,49.27,13.89,250.78
2024-05-09,52.71,13.91,239.82
2024-05-10,55.9,14.01,241.13
2024-05-13,58.94,14.18,241.01
2024-05-14,57.13,14.39,231.44
2024-05-15,57.35,14.7,205.16
2024-05-16,56.96,15.01,194.78
2024-05-17,56.54,15.37,195.31
2024-05-20,56.36,15.7,199.68
2024-05-21,57.06,15.97,218.81
2024-05-22,58.25,16.23,236.25
2024-05-23,59.35,16.46,235.34
2024-05-24,60.8,16.69,234.01
2024-05-28,61.91,16.89,229.32
2024-05-29,62.01,17.15,241.93
2024-05-30,61.61,17.39,255.77
2024-05-31,61.79,17.64,234.94
2024-06-03,61.33,17.8,233.79
2024-06-04,61.08,17.92,234.14
2024-06-05,61.29,18.1,219.8
2024-06-06,62.1,18.27,234.27
2024-06-07,63.05,18.41,239.11
2024-06-10,63.96,18.56,227.51
2024-06-11,65.43,18.72,239.84
2024-06-12,66.18,18.9,215.43
2024-06-13,66.0,19.03,203.48
2024-06-14,65.49,19.17,196.26
2024-06-17,65.11,19.34,182.17
2024-06-18,64.76,19.53,193.68
2024-06-20,63.33,19.69,165.53
2024-06-21,62.81,19.85,181.22
2024-06-24,63.72,20.04,212.71
2024-06-25,65.27,20.2,219.33
2024-06-26,66.36,20.37,223.23
2024-06-27,69.12,20.59,225.91
2024-06-28,71.73,20.81,246.26
2024-07-01,73.57,20.98,257.99
2024-07-02,74.73,21.18,245.42
2024-07-03,75.28,21.4,230.91
2024-07-05,75.22,21.58,214.21
2024-07-08,75.09,21.76,219.74
2024-07-09,74.22,21.96,211.69
2024-07-10,73.62,22.18,202.59
2024-07-11,73.33,22.35,212.32
2024-07-12,73.48,22.5,205.78
2024-07-15,72.9,22.65,193.55
2024-07-16,73.13,22.82,198.83
2024-07-17,72.76,22.89,201.43
2024-07-18,73.05,22.92,221.2
2024-07-19,73.18,22.95,225.25
2024-07-22,73.89,23.02,219.19
2024-07-23,74.86,23.1,237.22
2024-07-24,75.95,23.06,263.98
2024-07-25,76.63,23.02,262.34
