Date,rate_AMT_5D,rate_VOO_20D,Max_Divergence
2023-03-01,-21.57,-7.29,-138.64
2023-03-02,-21.82,-7.4,-142.96
2023-03-03,-21.2,-7.51,-158.16
2023-03-06,-20.84,-7.56,-181.97
2023-03-07,-21.18,-7.66,-166.47
2023-03-08,-21.12,-7.8,-155.05
2023-03-09,-21.61,-7.97,-133.13
2023-03-10,-22.48,-8.17,-108.34
2023-03-13,-22.65,-8.39,-88.52
2023-03-14,-22.07,-8.58,-101.4
2023-03-15,-21.56,-8.8,-81.96
2023-03-16,-20.48,-8.95,-99.67
2023-03-17,-19.69,-9.1,-95.01
2023-03-20,-19.25,-9.21,-109.21
2023-03-21,-19.38,-9.18,-157.3
2023-03-22,-20.18,-9.22,-142.57
2023-03-23,-21.24,-9.28,-150.05
2023-03-24,-21.38,-9.28,-121.58
2023-03-27,-22.07,-9.28,-153.67
2023-03-28,-22.49,-9.28,-150.44
2023-03-29,-21.99,-9.21,-162.64
2023-03-30,-21.24,-9.15,-167.53
2023-03-31,-20.86,-9.08,-203.64
2023-04-03,-20.15,-8.99,-245.68
2023-04-04,-19.23,-8.86,-200.99
2023-04-05,-18.66,-8.75,-182.7
2023-04-06,-18.15,-8.54,-186.22
2023-04-10,-17.75,-8.27,-180.0
2023-04-11,-17.02,-8.0,-166.78
2023-04-12,-16.41,-7.81,-145.25
2023-04-13,-15.93,-7.53,-207.58
2023-04-14,-15.91,-7.34,-225.96
2023-04-17,-15.87,-7.08,-231.76
2023-04-18,-16.05,-6.86,-241.29
2023-04-19,-16.29,-6.7,-240.99
2023-04-20,-16.71,-6.49,-225.93
2023-04-21,-16.93,-6.28,-240.57
2023-04-24,-17.31,-6.09,-250.0
2023-04-25,-17.82,-5.96,-195.49
2023-04-26,-18.44,-5.84,-188.5
2023-04-27,-18.44,-5.71,-233.21
2023-04-28,-18.42,-5.57,-293.64
2023-05-01,-18.69,-5.49,-331.71
2023-05-02,-19.05,-5.49,-278.87
2023-05-03,-19.62,-5.49,-269.08
2023-05-04,-20.43,-5.51,-220.12
2023-05-05,-20.95,-5.47,-299.22
2023-05-08,-21.45,-5.43,-329.55
2023-05-09,-21.65,-5.42,-296.91
2023-05-10,-21.3,-5.36,-305.88
2023-05-11,-21.2,-5.37,-300.96
2023-05-12,-20.92,-5.38,-257.76
2023-05-15,-20.74,-5.39,-317.86
2023-05-16,-20.94,-5.43,-304.07
2023-05-17,-21.07,-5.42,-367.98
2023-05-18,-21.44,-5.33,-525.48
2023-05-19,-22.2,-5.26,-503.95
2023-05-22,-22.36,-5.18,-484.22
2023-05-23,-22.59,-5.1,-399.58
2023-05-24,-23.5,-5.04,-369.69
2023-05-25,-24.18,-5.01,-457.87
2023-05-26,-24.86,-4.96,-657.76
2023-05-30,-25.78,-4.9,-666.38
2023-05-31,-26.08,-4.83,-543.18
2023-06-01,-25.69,-4.67,-700.33
2023-06-02,-24.9,-4.42,-1292.5
2023-06-05,-24.28,-4.25,-1201.12
2023-06-06,-23.61,-4.07,-1352.83
2023-06-07,-22.99,-3.9,-1071.2
2023-06-08,-22.75,-3.71,-1609.02
2023-06-09,-23.06,-3.5,-1936.75
2023-06-12,-23.07,-3.25,-8537.04
2023-06-13,-22.92,-2.98,-5976.32
2023-06-14,-22.75,-2.67,-4884.44
2023-06-15,-22.41,-2.36,-1322.09
2023-06-16,-21.96,-2.11,-1698.52
2023-06-20,-21.84,-1.88,-2652.81
2023-06-21,-21.97,-1.67,-6674.29
2023-06-22,-22.5,-1.4,-3505.63
2023-06-23,-23.17,-1.12,-60750.0
2023-06-26,-23.55,-0.91,-5120.0
2023-06-27,-23.74,-0.7,-3796.88
2023-06-28,-23.55,-0.5,-3301.45
2023-06-29,-23.04,-0.26,-3282.35
2023-06-30,-22.41,-0.02,-1243.78
2023-07-03,-21.77,0.16,-1114.5
2023-07-05,-20.83,0.34,-1165.17
2023-07-06,-20.39,0.46,-2151.55
2023-07-07,-20.08,0.6,-2814.86
2023-07-10,-20.03,0.71,-2168.32
2023-07-11,-20.06,0.86,-1340.0
2023-07-12,-20.29,0.99,-925.0
2023-07-13,-20.23,1.13,-700.0
2023-07-14,-20.35,1.27,-751.57
2023-07-17,-20.94,1.36,-774.79
2023-07-18,-21.65,1.51,-657.08
2023-07-19,-22.15,1.69,-600.22
2023-07-20,-23.14,1.87,-733.94
2023-07-21,-23.87,2.02,-729.72
2023-07-24,-23.5,2.24,-610.93
2023-07-25,-23.41,2.49,-617.54
2023-07-26,-23.34,2.69,-587.12
2023-07-27,-22.65,2.85,-626.32
2023-07-28,-22.32,3.06,-569.42
2023-07-31,-22.36,3.22,-542.71
2023-08-01,-21.91,3.35,-558.37
2023-08-02,-21.77,3.44,-712.18
2023-08-03,-22.28,3.56,-811.18
2023-08-04,-22.52,3.67,-919.52
2023-08-07,-22.97,3.8,-773.0
2023-08-08,-23.52,3.88,-825.6
2023-08-09,-23.87,3.9,-918.95
2023-08-10,-23.83,3.88,-909.0
2023-08-11,-23.71,3.87,-924.38
2023-08-14,-23.49,3.85,-821.98
2023-08-15,-23.42,3.76,-1072.95
2023-08-16,-23.93,3.63,-1434.02
2023-08-17,-24.52,3.5,-1995.68
2023-08-18,-25.12,3.38,-1915.17
2023-08-21,-25.8,3.26,-1506.32
2023-08-22,-26.36,3.12,-1650.88
2023-08-23,-26.37,3.01,-1167.08
2023-08-24,-26.32,2.89,-1807.19
2023-08-25,-26.26,2.75,-1420.81
2023-08-28,-26.09,2.62,-1172.2
2023-08-29,-25.77,2.55,-837.28
2023-08-30,-25.52,2.56,-774.86
2023-08-31,-25.29,2.57,-797.49
2023-09-01,-25.01,2.61,-774.52
2023-09-05,-24.79,2.6,-837.91
2023-09-06,-24.91,2.57,-1025.72
2023-09-07,-24.74,2.55,-1057.03
2023-09-08,-24.64,2.54,-1034.73
2023-09-11,-24.66,2.56,-858.59
2023-09-12,-24.75,2.53,-1025.37
2023-09-13,-24.86,2.55,-1018.31
2023-09-14,-24.98,2.64,-759.73
2023-09-15,-25.04,2.69,-1111.84
2023-09-18,-25.1,2.75,-1078.12
2023-09-19,-25.25,2.77,-1198.73
2023-09-20,-25.22,2.76,-1924.65
2023-09-21,-26.18,2.63,-14520.0
2023-09-22,-27.33,2.53,-6836.36
2023-09-25,-28.46,2.43,-102300.0
2023-09-26,-29.65,2.23,-2054.05
2023-09-27,-31.11,1.99,-2174.66
2023-09-28,-31.69,1.74,-2450.0
2023-09-29,-31.84,1.49,-1996.64
2023-10-02,-32.04,1.23,-2060.54
2023-10-03,-32.32,0.93,-1100.36
2023-10-04,-32.36,0.69,-1514.49
2023-10-05,-32.53,0.46,-1434.88
2023-10-06,-32.81,0.27,-3131.68
2023-10-09,-32.79,0.09,-8686.11
2023-10-10,-32.75,-0.04,-23721.43
2023-10-11,-32.09,-0.15,-5480.36
2023-10-12,-31.63,-0.34,-102233.33
2023-10-13,-31.02,-0.49,-5276.36
2023-10-16,-30.42,-0.59,-6195.74
2023-10-17,-29.73,-0.68,-6266.67
2023-10-18,-29.97,-0.8,-3585.88
2023-10-19,-30.38,-0.87,-1848.21
2023-10-20,-30.95,-0.99,-1022.84
2023-10-23,-31.78,-1.15,-971.57
2023-10-24,-32.09,-1.19,-1230.77
2023-10-25,-32.16,-1.3,-756.22
2023-10-26,-30.85,-1.48,-437.78
2023-10-27,-29.85,-1.67,-420.27
2023-10-30,-28.74,-1.81,-553.85
2023-10-31,-27.48,-1.85,-593.04
2023-11-01,-26.01,-1.87,-877.11
2023-11-02,-25.17,-1.8,-3037.14
2023-11-03,-23.54,-1.74,-10268.42
2023-11-06,-22.28,-1.7,-5602.63
2023-11-07,-21.59,-1.67,-3396.92
2023-11-08,-21.1,-1.66,-3094.52
2023-11-09,-21.29,-1.66,-229200.0
2023-11-10,-21.85,-1.56,-1555.26
2023-11-13,-22.11,-1.51,-1662.68
2023-11-14,-21.5,-1.37,-651.5
2023-11-15,-20.7,-1.15,-599.16
2023-11-16,-19.44,-0.88,-549.06
2023-11-17,-18.45,-0.54,-544.3
2023-11-20,-17.3,-0.16,-455.72
2023-11-21,-17.08,0.18,-496.33
2023-11-22,-16.87,0.6,-449.27
2023-11-24,-16.86,1.09,-440.86
2023-11-27,-16.6,1.59,-438.38
2023-11-28,-16.32,2.04,-414.41
2023-11-29,-15.64,2.45,-393.86
2023-11-30,-14.85,2.83,-350.59
2023-12-01,-13.91,3.15,-312.1
2023-12-04,-13.26,3.39,-346.77
2023-12-05,-12.63,3.63,-334.84
2023-12-06,-12.22,3.83,-349.79
2023-12-07,-12.01,4.07,-318.52
2023-12-08,-12.33,4.36,-334.66
2023-12-11,-12.59,4.59,-326.8
2023-12-12,-13.02,4.84,-313.18
2023-12-13,-13.05,5.07,-251.26
2023-12-14,-13.01,5.31,-241.17
2023-12-15,-12.62,5.52,-243.8
2023-12-18,-12.27,5.76,-240.37
2023-12-19,-11.85,5.99,-231.0
2023-12-20,-11.85,6.14,-259.39
2023-12-21,-11.72,6.32,-230.62
2023-12-22,-11.52,6.51,-223.92
2023-12-26,-11.16,6.72,-214.99
2023-12-27,-10.78,6.94,-211.21
2023-12-28,-10.38,7.15,-209.55
2023-12-29,-10.28,7.34,-217.25
2024-01-02,-10.01,7.47,-213.48
2024-01-03,-10.11,7.59,-243.16
2024-01-04,-10.18,7.7,-244.95
2024-01-05,-10.37,7.83,-248.78
2024-01-08,-10.36,8.0,-216.72
2024-01-09,-10.85,8.14,-235.85
2024-01-10,-11.23,8.3,-237.31
2024-01-11,-11.75,8.43,-242.55
2024-01-12,-12.06,8.5,-235.54
2024-01-16,-12.59,8.53,-245.4
2024-01-17,-13.05,8.55,-266.15
2024-01-18,-13.38,8.58,-255.42
2024-01-19,-13.63,8.64,-238.68
2024-01-22,-13.98,8.79,-235.45
2024-01-23,-14.38,8.91,-238.04
2024-01-24,-14.98,9.03,-255.91
2024-01-25,-15.26,9.15,-237.53
2024-01-26,-15.76,9.27,-247.85
2024-01-29,-16.12,9.42,-233.75
2024-01-30,-16.64,9.57,-246.29
2024-01-31,-16.74,9.69,-267.46
2024-02-01,-16.82,9.88,-240.66
2024-02-02,-17.06,10.14,-245.29
2024-02-05,-17.76,10.38,-262.39
2024-02-06,-17.99,10.55,-251.5
2024-02-07,-18.07,10.77,-237.03
2024-02-08,-18.43,10.97,-236.41
2024-02-09,-18.34,11.19,-228.89
2024-02-12,-18.16,11.41,-237.28
2024-02-13,-18.42,11.57,-264.75
2024-02-14,-18.85,11.81,-252.59
2024-02-15,-19.19,12.04,-242.17
2024-02-16,-19.79,12.18,-255.05
2024-02-20,-20.07,12.29,-257.58
2024-02-21,-20.09,12.39,-256.98
2024-02-22,-20.13,12.6,-235.34
2024-02-23,-20.09,12.77,-229.62
2024-02-26,-20.04,12.93,-239.22
2024-02-27,-20.18,13.07,-240.31
2024-02-28,-19.72,13.21,-221.64
2024-02-29,-18.81,13.44,-204.19
2024-03-01,-17.77,13.65,-189.94
2024-03-04,-16.18,13.82,-179.15
2024-03-05,-14.57,13.94,-187.3
2024-03-06,-13.5,14.08,-182.31
2024-03-07,-12.97,14.24,-180.11
2024-03-08,-12.51,14.36,-176.62
2024-03-11,-12.46,14.45,-178.55
2024-03-12,-12.56,14.6,-180.24
2024-03-13,-12.87,14.81,-185.69
2024-03-14,-13.34,14.96,-195.04
2024-03-15,-14.17,15.04,-204.07
2024-03-18,-15.08,15.18,-203.98
2024-03-19,-15.72,15.38,-198.97
2024-03-20,-16.37,15.6,-199.31
2024-03-21,-16.81,15.74,-199.21
2024-03-22,-17.19,15.85,-204.4
2024-03-25,-17.22,15.98,-199.0
2024-03-26,-17.44,16.07,-204.17
2024-03-27,-17.2,16.22,-191.58
2024-03-28,-16.89,16.34,-191.17
2024-04-01,-16.81,16.41,-202.86
2024-04-02,-17.04,16.45,-209.17
2024-04-03,-17.13,16.55,-208.21
2024-04-04,-17.66,16.56,-222.6
2024-04-05,-18.22,16.57,-214.97
2024-04-08,-18.63,16.61,-219.68
2024-04-09,-18.57,16.66,-206.95
2024-04-10,-19.44,16.61,-243.74
2024-04-11,-20.42,16.61,-245.54
2024-04-12,-21.35,16.54,-258.38
2024-04-15,-22.2,16.44,-277.56
2024-04-16,-23.94,16.3,-299.1
2024-04-17,-24.78,16.1,-310.16
2024-04-18,-25.43,15.85,-317.8
2024-04-19,-26.1,15.54,-333.97
2024-04-22,-26.59,15.29,-313.0
2024-04-23,-26.43,15.13,-285.69
2024-04-24,-26.31,14.97,-289.34
2024-04-25,-26.15,14.76,-297.35
2024-04-26,-26.12,14.6,-285.63
2024-04-29,-25.89,14.48,-271.28
2024-04-30,-26.11,14.3,-306.18
2024-05-01,-25.73,14.09,-294.42
2024-05-02,-25.08,13.99,-270.85
2024-05-03,-24.16,13.91,-249.02
2024-05-06,-23.76,13.88,-246.47
2024-05-07,-22.86,13.86,-238.22
2024-05-08,-22.48,13.89,-237.94
2024-05-09,-21.91,13.91,-219.88
2024-05-10,-21.68,14.01,-223.5
2024-05-13,-21.15,14.18,-222.26
2024-05-14,-20.67,14.39,-213.62
2024-05-15,-19.77,14.7,-193.73
2024-05-16,-19.04,15.01,-188.21
2024-05-17,-18.19,15.37,-188.33
2024-05-20,-17.62,15.7,-194.01
2024-05-21,-17.01,15.97,-187.18
2024-05-22,-17.07,16.23,-195.12
2024-05-23,-17.78,16.46,-210.91
2024-05-24,-18.51,16.69,-207.78
2024-05-28,-19.08,16.89,-209.23
2024-05-29,-19.83,17.15,-213.59
2024-05-30,-19.88,17.39,-205.22
2024-05-31,-19.1,17.64,-187.84
2024-06-03,-18.11,17.8,-184.4
2024-06-04,-16.75,17.92,-175.8
2024-06-05,-15.6,18.1,-175.2
2024-06-06,-14.81,18.27,-172.47
2024-06-07,-14.88,18.41,-184.46
2024-06-10,-15.07,18.56,-181.83
2024-06-11,-15.68,18.72,-183.81
2024-06-12,-16.05,18.9,-178.77
2024-06-13,-16.28,19.03,-172.09
2024-06-14,-16.04,19.17,-171.23
2024-06-17,-16.25,19.34,-177.28
2024-06-18,-16.29,19.53,-175.27
2024-06-20,-16.26,19.69,-173.69
2024-06-21,-16.42,19.85,-173.28
2024-06-24,-16.47,20.04,-171.32
2024-06-25,-16.44,20.2,-177.15
2024-06-26,-16.45,20.37,-176.73
2024-06-27,-16.35,20.59,-171.14
2024-06-28,-16.39,20.81,-175.48
2024-07-01,-16.54,20.98,-175.35
2024-07-02,-16.52,21.18,-176.66
2024-07-03,-16.28,21.4,-170.46
2024-07-05,-16.2,21.58,-167.14
2024-07-08,-16.0,21.76,-165.89
2024-07-09,-15.83,21.96,-166.0
2024-07-10,-15.45,22.18,-162.04
2024-07-11,-14.39,22.35,-145.29
2024-07-12,-13.12,22.5,-138.09
2024-07-15,-12.04,22.65,-140.76
2024-07-16,-10.83,22.82,-137.85
2024-07-17,-9.43,22.89,-133.99
2024-07-18,-9.13,22.92,-139.29
2024-07-19,-9.17,22.95,-141.03
2024-07-22,-9.13,23.02,-141.23
2024-07-23,-9.18,23.1,-141.28
2024-07-24,-9.5,23.06,-145.7
