Date,rate_COIN_5D,rate_VOO_20D,Max_Divergence
2022-06-22,-73.05,-13.81,-312.53
2022-06-23,-72.66,-13.94,-312.5
2022-06-24,-71.5,-13.99,-370.61
2022-06-27,-71.03,-14.14,-383.42
2022-06-28,-71.66,-14.48,-345.7
2022-06-29,-71.87,-14.81,-342.32
2022-06-30,-73.06,-15.16,-333.94
2022-07-01,-74.01,-15.52,-349.39
2022-07-05,-73.68,-15.8,-334.14
2022-07-06,-73.24,-16.08,-353.94
2022-07-07,-72.06,-16.34,-370.58
2022-07-08,-70.31,-16.56,-358.78
2022-07-11,-69.85,-16.72,-352.94
2022-07-12,-69.96,-16.79,-330.79
2022-07-13,-69.83,-16.72,-324.93
2022-07-14,-70.26,-16.66,-318.42
2022-07-15,-70.95,-16.57,-358.54
2022-07-18,-70.43,-16.39,-323.05
2022-07-19,-69.2,-16.1,-362.74
2022-07-20,-66.83,-15.89,-343.43
2022-07-21,-64.63,-15.62,-378.96
2022-07-22,-62.81,-15.43,-363.96
2022-07-25,-61.92,-15.37,-381.87
2022-07-26,-63.3,-15.34,-400.7
2022-07-27,-65.05,-15.11,-465.04
2022-07-28,-66.3,-14.82,-503.91
2022-07-29,-67.14,-14.42,-578.91
2022-08-01,-67.26,-14.1,-562.45
2022-08-02,-65.49,-13.8,-515.96
2022-08-03,-63.23,-13.46,-523.9
2022-08-04,-60.67,-13.19,-483.33
2022-08-05,-57.84,-12.92,-456.71
2022-08-08,-54.91,-12.6,-431.16
2022-08-09,-53.1,-12.26,-455.82
2022-08-10,-51.96,-11.84,-514.17
2022-08-11,-52.2,-11.41,-557.62
2022-08-12,-52.33,-11.0,-622.59
2022-08-15,-52.76,-10.54,-643.98
2022-08-16,-52.56,-10.19,-664.05
2022-08-17,-53.18,-9.88,-642.74
2022-08-18,-53.2,-9.61,-672.29
2022-08-19,-54.35,-9.34,-631.16
2022-08-22,-55.79,-9.14,-539.72
2022-08-23,-57.13,-8.9,-531.24
2022-08-24,-58.11,-8.76,-542.39
2022-08-25,-58.95,-8.62,-609.96
2022-08-26,-59.49,-8.66,-485.29
2022-08-29,-59.87,-8.71,-465.52
2022-08-30,-60.18,-8.77,-431.96
2022-08-31,-60.52,-8.91,-412.55
2022-09-01,-60.65,-9.02,-424.21
2022-09-02,-60.45,-9.16,-399.67
2022-09-06,-60.4,-9.3,-399.51
2022-09-07,-59.86,-9.36,-432.66
2022-09-08,-58.77,-9.46,-433.53
2022-09-09,-57.03,-9.5,-459.26
2022-09-12,-55.08,-9.55,-509.11
2022-09-13,-53.8,-9.8,-352.54
2022-09-14,-52.65,-10.04,-347.44
2022-09-15,-52.22,-10.31,-321.22
2022-09-16,-53.02,-10.62,-314.68
2022-09-19,-54.48,-10.85,-353.99
2022-09-20,-55.33,-11.07,-330.57
2022-09-21,-56.62,-11.36,-289.79
2022-09-22,-58.29,-11.69,-290.11
2022-09-23,-59.71,-12.13,-262.84
2022-09-26,-60.62,-12.5,-245.7
2022-09-27,-61.19,-12.87,-238.97
2022-09-28,-61.23,-13.15,-248.35
2022-09-29,-61.35,-13.48,-233.83
2022-09-30,-61.03,-13.91,-205.59
2022-10-03,-60.3,-14.17,-236.37
2022-10-04,-58.61,-14.31,-256.48
2022-10-05,-57.63,-14.52,-259.35
2022-10-06,-55.88,-14.79,-236.1
2022-10-07,-55.28,-15.24,-217.0
2022-10-10,-55.15,-15.77,-206.87
2022-10-11,-55.67,-16.14,-188.45
2022-10-12,-56.03,-16.53,-185.57
2022-10-13,-56.59,-16.77,-221.68
2022-10-14,-57.01,-17.07,-209.53
2022-10-17,-56.74,-17.3,-225.51
2022-10-18,-57.24,-17.44,-255.75
2022-10-19,-58.08,-17.53,-254.88
2022-10-20,-58.78,-17.62,-240.13
2022-10-21,-58.44,-17.54,-271.21
2022-10-24,-58.79,-17.38,-296.51
2022-10-25,-57.68,-17.14,-296.31
2022-10-26,-56.35,-16.99,-283.96
2022-10-27,-55.24,-16.77,-277.77
2022-10-28,-54.53,-16.4,-339.19
2022-10-31,-54.55,-16.18,-347.61
2022-11-01,-55.73,-16.09,-350.0
2022-11-02,-57.07,-16.09,-297.62
2022-11-03,-58.85,-16.1,-295.12
2022-11-04,-60.2,-15.93,-313.78
2022-11-07,-61.06,-15.69,-344.62
2022-11-08,-62.62,-15.4,-388.43
2022-11-09,-64.47,-15.19,-353.99
2022-11-10,-65.1,-14.86,-512.67
2022-11-11,-65.27,-14.39,-521.94
2022-11-14,-65.74,-14.06,-506.37
2022-11-15,-65.14,-13.74,-535.24
2022-11-16,-64.79,-13.43,-536.03
2022-11-17,-65.07,-13.09,-521.69
2022-11-18,-66.64,-12.84,-566.63
2022-11-21,-68.2,-12.64,-571.67
2022-11-22,-69.77,-12.46,-637.86
2022-11-23,-70.19,-12.22,-666.78
2022-11-25,-70.77,-11.96,-675.16
2022-11-28,-71.12,-11.86,-582.86
2022-11-29,-70.88,-11.75,-568.95
2022-11-30,-70.57,-11.5,-773.02
2022-12-01,-70.27,-11.13,-779.12
2022-12-02,-69.5,-10.73,-745.12
2022-12-05,-68.71,-10.46,-616.17
2022-12-06,-68.48,-10.29,-554.48
2022-12-07,-68.75,-10.16,-551.33
2022-12-08,-69.08,-9.91,-584.52
2022-12-09,-70.07,-9.91,-560.7
2022-12-12,-70.53,-9.89,-628.72
2022-12-13,-71.04,-9.8,-711.5
2022-12-14,-71.19,-9.78,-654.63
2022-12-15,-71.85,-9.83,-526.71
2022-12-16,-72.36,-9.92,-483.4
2022-12-19,-73.38,-10.07,-459.0
2022-12-20,-73.89,-10.22,-448.62
2022-12-21,-74.58,-10.36,-503.05
2022-12-22,-75.04,-10.59,-452.93
2022-12-23,-75.2,-10.79,-467.93
2022-12-27,-75.55,-10.94,-468.64
2022-12-28,-75.88,-11.14,-428.57
2022-12-29,-75.94,-11.39,-476.45
2022-12-30,-75.83,-11.67,-463.34
2023-01-03,-75.73,-11.94,-458.93
2023-01-04,-74.66,-12.1,-462.11
2023-01-05,-74.18,-12.25,-446.3
2023-01-06,-74.05,-12.29,-536.88
2023-01-09,-73.26,-12.37,-501.78
2023-01-10,-71.82,-12.39,-501.7
2023-01-11,-70.89,-12.41,-563.1
2023-01-12,-68.78,-12.45,-556.51
2023-01-13,-66.26,-12.45,-560.68
2023-01-17,-63.87,-12.34,-518.87
2023-01-18,-62.81,-12.26,-464.66
2023-01-19,-61.96,-12.16,-439.66
2023-01-20,-60.82,-11.98,-482.12
2023-01-23,-59.91,-11.8,-544.97
2023-01-24,-60.0,-11.57,-557.85
2023-01-25,-59.62,-11.36,-566.81
2023-01-26,-59.07,-11.09,-642.93
2023-01-27,-58.13,-10.75,-586.92
2023-01-30,-58.1,-10.54,-544.01
2023-01-31,-57.36,-10.26,-627.94
2023-02-01,-55.18,-9.92,-654.14
2023-02-02,-50.71,-9.55,-615.24
2023-02-03,-48.52,-9.18,-585.83
2023-02-06,-45.54,-8.93,-533.28
2023-02-07,-43.31,-8.62,-677.7
2023-02-08,-42.66,-8.39,-596.66
2023-02-09,-45.59,-8.25,-619.86
2023-02-10,-47.84,-8.12,-662.32
2023-02-13,-50.16,-7.96,-777.99
2023-02-14,-51.71,-7.79,-743.16
2023-02-15,-51.51,-7.54,-653.52
2023-02-16,-50.59,-7.31,-582.23
2023-02-17,-49.41,-7.16,-568.06
2023-02-21,-48.59,-7.15,-483.26
2023-02-22,-48.28,-7.13,-484.7
2023-02-23,-49.29,-7.1,-498.92
2023-02-24,-50.32,-7.15,-480.11
2023-02-27,-51.22,-7.2,-492.2
2023-02-28,-50.78,-7.21,-423.14
2023-03-01,-50.01,-7.29,-408.44
2023-03-02,-49.56,-7.4,-450.81
2023-03-03,-48.42,-7.51,-535.63
2023-03-06,-47.62,-7.56,-561.2
2023-03-07,-47.85,-7.66,-467.51
2023-03-08,-48.1,-7.8,-465.85
2023-03-09,-48.97,-7.97,-416.47
2023-03-10,-50.69,-8.17,-394.14
2023-03-13,-51.25,-8.39,-348.82
2023-03-14,-51.12,-8.58,-384.2
2023-03-15,-50.87,-8.8,-345.96
2023-03-16,-49.32,-8.95,-389.07
2023-03-17,-45.89,-9.1,-284.53
2023-03-20,-43.32,-9.21,-316.03
2023-03-21,-39.89,-9.18,-286.51
2023-03-22,-37.85,-9.22,-284.73
2023-03-23,-38.1,-9.28,-387.38
2023-03-24,-39.26,-9.28,-385.54
2023-03-27,-41.31,-9.28,-441.43
2023-03-28,-44.7,-9.28,-427.46
2023-03-29,-46.62,-9.21,-489.2
2023-03-30,-46.97,-9.15,-545.29
2023-03-31,-47.01,-9.08,-636.03
2023-04-03,-46.62,-8.99,-740.11
2023-04-04,-46.5,-8.86,-682.57
2023-04-05,-47.03,-8.75,-678.1
2023-04-06,-47.26,-8.54,-714.79
2023-04-10,-47.29,-8.27,-663.25
2023-04-11,-46.21,-8.0,-607.36
2023-04-12,-45.34,-7.81,-596.3
2023-04-13,-44.0,-7.53,-744.91
2023-04-14,-42.61,-7.34,-698.85
2023-04-17,-42.35,-7.08,-788.11
2023-04-18,-42.84,-6.86,-807.26
2023-04-19,-43.4,-6.7,-853.83
2023-04-20,-44.8,-6.49,-820.52
2023-04-21,-46.61,-6.28,-853.77
2023-04-24,-48.76,-6.09,-944.59
2023-04-25,-50.7,-5.96,-731.1
2023-04-26,-52.45,-5.84,-708.7
2023-04-27,-53.5,-5.71,-941.79
2023-04-28,-54.38,-5.57,-1104.17
2023-05-01,-54.9,-5.49,-1157.65
2023-05-02,-55.36,-5.49,-915.12
2023-05-03,-56.01,-5.49,-855.59
2023-05-04,-56.59,-5.51,-756.78
2023-05-05,-55.59,-5.47,-869.51
2023-05-08,-54.26,-5.43,-879.45
2023-05-09,-52.77,-5.42,-777.45
2023-05-10,-50.39,-5.36,-805.88
2023-05-11,-48.52,-5.37,-820.46
2023-05-12,-48.67,-5.38,-847.66
2023-05-15,-48.22,-5.39,-848.21
2023-05-16,-48.62,-5.43,-789.38
2023-05-17,-48.89,-5.42,-942.98
2023-05-18,-48.9,-5.33,-1221.1
2023-05-19,-49.0,-5.26,-1246.84
2023-05-22,-48.95,-5.18,-1170.86
2023-05-23,-48.74,-5.1,-925.21
2023-05-24,-49.2,-5.04,-804.54
2023-05-25,-49.78,-5.01,-987.66
2023-05-26,-49.75,-4.96,-1367.53
2023-05-30,-49.74,-4.9,-1275.36
2023-05-31,-49.21,-4.83,-1076.01
2023-06-01,-48.13,-4.67,-1386.62
2023-06-02,-46.63,-4.42,-2626.25
2023-06-05,-46.15,-4.25,-2617.32
2023-06-06,-47.61,-4.07,-3345.91
2023-06-07,-48.97,-3.9,-2693.72
2023-06-08,-50.47,-3.71,-3805.26
2023-06-09,-52.41,-3.5,-4458.97
2023-06-12,-53.83,-3.25,-20529.63
2023-06-13,-53.69,-2.98,-14336.84
2023-06-14,-53.58,-2.67,-11833.33
2023-06-15,-53.69,-2.36,-3151.74
2023-06-16,-53.28,-2.11,-3902.22
2023-06-20,-52.15,-1.88,-5720.22
2023-06-21,-51.16,-1.67,-14142.86
2023-06-22,-50.53,-1.4,-7097.18
2023-06-23,-49.28,-1.12,-115450.0
2023-06-26,-48.18,-0.91,-10080.0
2023-06-27,-45.95,-0.7,-6176.56
2023-06-28,-43.75,-0.5,-5627.54
2023-06-29,-41.15,-0.26,-5492.65
2023-06-30,-39.39,-0.02,-2123.78
2023-07-03,-36.13,0.16,-1576.0
2023-07-05,-34.53,0.34,-1835.39
2023-07-06,-33.13,0.46,-3307.22
2023-07-07,-31.91,0.6,-4231.08
2023-07-10,-30.1,0.71,-2912.87
2023-07-11,-28.49,0.86,-1402.42
2023-07-12,-27.17,0.99,-1095.08
2023-07-13,-22.13,1.13,-281.6
2023-07-14,-17.5,1.27,-332.7
2023-07-17,-13.26,1.36,-303.68
2023-07-18,-10.54,1.51,-283.29
2023-07-19,-6.44,1.69,-183.22
2023-07-20,-7.33,1.87,-368.91
2023-07-21,-7.99,2.02,-376.49
2023-07-24,-8.98,2.24,-383.02
2023-07-25,-10.0,2.49,-384.87
2023-07-26,-11.55,2.69,-351.75
2023-07-27,-12.78,2.85,-513.53
2023-07-28,-13.65,3.06,-410.74
2023-07-31,-13.68,3.22,-346.31
2023-08-01,-14.1,3.35,-424.03
2023-08-02,-15.32,3.44,-598.87
2023-08-03,-15.5,3.56,-625.38
2023-08-04,-16.43,3.67,-775.0
2023-08-07,-18.09,3.8,-668.32
2023-08-08,-18.93,3.88,-681.93
2023-08-09,-19.74,3.9,-859.3
2023-08-10,-20.71,3.88,-869.55
2023-08-11,-21.51,3.87,-938.87
2023-08-14,-22.16,3.85,-838.7
2023-08-15,-23.27,3.76,-1119.67
2023-08-16,-23.94,3.63,-1388.66
2023-08-17,-24.93,3.5,-2053.24
2023-08-18,-25.91,3.38,-2075.17
2023-08-21,-26.6,3.26,-1538.42
2023-08-22,-27.14,3.12,-1712.28
2023-08-23,-27.28,3.01,-1158.85
2023-08-24,-27.53,2.89,-1953.59
2023-08-25,-27.39,2.75,-1520.3
2023-08-28,-27.59,2.62,-1275.52
2023-08-29,-26.33,2.55,-728.7
2023-08-30,-25.55,2.56,-695.9
2023-08-31,-24.78,2.57,-785.2
2023-09-01,-24.2,2.61,-786.85
2023-09-05,-23.61,2.6,-857.61
2023-09-06,-24.35,2.57,-1003.99
2023-09-07,-24.32,2.55,-969.48
2023-09-08,-23.69,2.54,-916.03
2023-09-11,-23.22,2.56,-797.24
2023-09-12,-22.56,2.53,-911.4
2023-09-13,-22.25,2.55,-925.35
2023-09-14,-21.94,2.64,-642.43
2023-09-15,-21.92,2.69,-968.98
2023-09-18,-21.73,2.75,-951.56
2023-09-19,-22.34,2.77,-1163.56
2023-09-20,-22.95,2.76,-1964.79
2023-09-21,-24.66,2.63,-14205.0
2023-09-22,-26.78,2.53,-7147.73
2023-09-25,-28.64,2.43,-103700.0
2023-09-26,-30.09,2.23,-2083.11
2023-09-27,-31.06,1.99,-2047.95
2023-09-28,-30.92,1.74,-2113.49
2023-09-29,-30.13,1.49,-1777.18
2023-10-02,-29.35,1.23,-1751.7
2023-10-03,-28.87,0.93,-979.42
2023-10-04,-28.39,0.69,-1299.03
2023-10-05,-28.38,0.46,-1196.28
2023-10-06,-27.64,0.27,-2299.01
2023-10-09,-26.92,0.09,-6461.11
2023-10-10,-25.56,-0.04,-16614.29
2023-10-11,-24.83,-0.15,-4616.07
2023-10-12,-24.72,-0.34,-91100.0
2023-10-13,-25.69,-0.49,-5180.0
2023-10-16,-26.43,-0.59,-5917.02
2023-10-17,-26.84,-0.68,-5345.83
2023-10-18,-27.5,-0.8,-3261.18
2023-10-19,-27.9,-0.87,-1647.62
2023-10-20,-27.66,-0.99,-864.36
2023-10-23,-27.28,-1.15,-730.72
2023-10-24,-26.39,-1.19,-786.75
2023-10-25,-25.65,-1.3,-571.89
2023-10-26,-25.36,-1.48,-473.31
2023-10-27,-26.11,-1.67,-498.67
2023-10-30,-26.81,-1.81,-594.47
2023-10-31,-27.76,-1.85,-610.58
2023-11-01,-27.66,-1.87,-879.12
2023-11-02,-25.67,-1.8,-2467.14
2023-11-03,-22.72,-1.74,-8963.16
2023-11-06,-20.2,-1.7,-4389.47
2023-11-07,-17.83,-1.67,-2204.62
2023-11-08,-15.84,-1.66,-2073.97
2023-11-09,-14.25,-1.66,-100000.0
2023-11-10,-12.87,-1.56,-755.26
2023-11-13,-11.66,-1.51,-820.42
2023-11-14,-11.07,-1.37,-422.16
2023-11-15,-9.17,-1.15,-236.97
2023-11-16,-8.38,-0.88,-263.88
2023-11-17,-7.2,-0.54,-204.15
2023-11-20,-4.59,-0.16,-39.52
2023-11-21,-2.0,0.18,-49.31
2023-11-22,0.15,0.6,21.62
2023-11-24,3.76,1.09,145.17
2023-11-27,7.77,1.59,242.0
2023-11-28,12.06,2.04,406.68
2023-11-29,16.39,2.45,404.87
2023-11-30,19.38,2.83,306.84
2023-12-01,22.8,3.15,416.73
2023-12-04,26.79,3.39,604.5
2023-12-05,28.97,3.63,591.73
2023-12-06,30.16,3.83,530.93
2023-12-07,32.25,4.07,479.26
2023-12-08,34.71,4.36,616.29
2023-12-11,34.11,4.59,439.87
2023-12-12,33.96,4.84,420.45
2023-12-13,36.65,5.07,445.83
2023-12-14,39.56,5.31,458.22
2023-12-15,39.52,5.52,410.3
2023-12-18,42.04,5.76,429.7
2023-12-19,45.67,5.99,473.14
2023-12-20,47.65,6.14,607.32
2023-12-21,50.2,6.32,600.6
2023-12-22,55.0,6.51,660.33
2023-12-26,58.29,6.72,594.85
2023-12-27,62.55,6.94,710.88
2023-12-28,66.88,7.15,720.86
2023-12-29,67.93,7.34,619.05
2024-01-02,64.46,7.47,486.15
2024-01-03,60.76,7.59,479.55
2024-01-04,55.35,7.7,546.47
2024-01-05,49.44,7.83,514.54
2024-01-08,46.75,8.0,468.59
2024-01-09,45.85,8.14,402.78
2024-01-10,45.66,8.3,363.02
2024-01-11,42.95,8.43,261.04
2024-01-12,38.59,8.5,153.85
2024-01-16,33.8,8.53,195.29
2024-01-17,30.39,8.55,212.59
2024-01-18,25.33,8.58,88.61
2024-01-19,22.25,8.64,71.86
2024-01-22,21.77,8.79,99.24
2024-01-23,19.95,8.91,59.1
2024-01-24,17.59,9.03,33.36
2024-01-25,16.96,9.15,24.58
2024-01-26,17.05,9.27,59.98
2024-01-29,17.91,9.42,110.28
2024-01-30,19.16,9.57,95.83
2024-01-31,20.46,9.69,101.05
2024-02-01,21.87,9.88,86.13
2024-02-02,22.55,10.14,73.89
2024-02-05,19.59,10.38,-12.51
2024-02-06,17.47,10.55,4.29
2024-02-07,16.27,10.77,14.77
2024-02-08,16.96,10.97,88.58
2024-02-09,19.35,11.19,145.97
2024-02-12,24.94,11.41,183.16
2024-02-13,28.77,11.57,163.35
2024-02-14,35.92,11.81,286.51
2024-02-15,42.09,12.04,303.26
2024-02-16,49.25,12.18,421.99
2024-02-20,54.1,12.29,393.17
2024-02-21,58.21,12.39,310.05
2024-02-22,60.18,12.6,305.22
2024-02-23,60.24,12.77,273.18
2024-02-26,62.78,12.93,461.6
2024-02-27,67.63,13.07,487.37
2024-02-28,74.8,13.21,503.89
2024-02-29,80.9,13.44,505.05
2024-03-01,88.01,13.65,478.75
2024-03-04,94.21,13.82,620.73
2024-03-05,97.11,13.94,596.71
2024-03-06,103.77,14.08,703.63
2024-03-07,110.66,14.24,672.97
2024-03-08,120.07,14.36,789.85
2024-03-11,124.72,14.45,780.3
2024-03-12,132.04,14.6,736.97
2024-03-13,134.49,14.81,719.57
2024-03-14,132.83,14.96,626.27
2024-03-15,130.18,15.04,709.37
2024-03-18,127.47,15.18,663.85
2024-03-19,122.9,15.38,595.05
2024-03-20,123.38,15.6,684.7
2024-03-21,128.02,15.74,693.78
2024-03-22,130.02,15.85,683.44
2024-03-25,136.35,15.98,806.69
2024-03-26,142.15,16.07,759.48
2024-03-27,142.12,16.22,675.41
2024-03-28,142.61,16.34,713.72
2024-04-01,141.62,16.41,660.33
2024-04-02,135.74,16.45,659.2
2024-04-03,132.87,16.55,684.3
2024-04-04,131.27,16.56,737.49
2024-04-05,126.87,16.57,638.36
2024-04-08,127.69,16.61,719.26
2024-04-09,127.11,16.66,637.95
2024-04-10,126.97,16.61,733.42
2024-04-11,129.27,16.61,758.76
2024-04-12,130.01,16.54,741.76
2024-04-15,124.12,16.44,680.01
2024-04-16,119.87,16.3,660.78
2024-04-17,113.3,16.1,664.68
2024-04-18,105.4,15.85,710.76
2024-04-19,99.26,15.54,719.74
2024-04-22,99.7,15.29,765.83
2024-04-23,102.88,15.13,748.0
2024-04-24,104.77,14.97,673.12
2024-04-25,105.76,14.76,694.78
2024-04-26,110.32,14.6,713.6
2024-04-29,108.93,14.48,580.31
2024-04-30,103.02,14.3,574.27
2024-05-01,100.11,14.09,638.59
2024-05-02,100.7,13.99,707.77
2024-05-03,97.98,13.91,598.78
2024-05-06,99.21,13.88,569.77
2024-05-07,100.76,13.86,492.33
2024-05-08,100.94,13.89,474.33
2024-05-09,97.62,13.91,447.9
2024-05-10,93.59,14.01,392.05
2024-05-13,88.65,14.18,384.51
2024-05-14,86.61,14.39,387.59
2024-05-15,88.19,14.7,432.06
2024-05-16,86.16,15.01,337.73
2024-05-17,87.37,15.37,374.15
2024-05-20,92.01,15.7,455.64
2024-05-21,96.12,15.97,449.19
2024-05-22,98.22,16.23,486.94
2024-05-23,101.78,16.46,451.53
2024-05-24,107.21,16.69,519.08
2024-05-28,110.8,16.89,551.11
2024-05-29,112.77,17.15,539.16
2024-05-30,113.36,17.39,558.09
2024-05-31,114.64,17.64,477.82
2024-06-03,113.14,17.8,500.83
2024-06-04,112.6,17.92,559.17
2024-06-05,114.86,18.1,545.66
2024-06-06,118.48,18.27,572.27
2024-06-07,121.39,18.41,517.91
2024-06-10,124.69,18.56,531.6
2024-06-11,124.69,18.72,498.06
2024-06-12,125.33,18.9,516.05
2024-06-13,123.64,19.03,478.81
2024-06-14,123.7,19.17,462.96
2024-06-17,122.85,19.34,441.62
2024-06-18,121.37,19.53,397.7
2024-06-20,117.79,19.69,401.39
2024-06-21,113.88,19.85,370.15
2024-06-24,108.1,20.04,321.09
2024-06-25,103.9,20.2,351.22
2024-06-26,100.07,20.37,320.04
2024-06-27,98.09,20.59,354.73
2024-06-28,97.44,20.81,363.39
2024-07-01,100.86,20.98,403.99
2024-07-02,101.55,21.18,366.64
2024-07-03,103.06,21.4,347.65
2024-07-05,102.67,21.58,331.61
2024-07-08,102.03,21.76,318.02
2024-07-09,99.65,21.96,314.0
2024-07-10,98.24,22.18,296.46
2024-07-11,96.41,22.35,291.98
2024-07-12,95.4,22.5,294.72
2024-07-15,99.37,22.65,380.73
2024-07-16,104.98,22.82,404.33
2024-07-17,110.23,22.89,415.73
2024-07-18,113.54,22.92,366.25
2024-07-19,120.62,22.95,471.37
2024-07-22,124.6,23.02,482.51
2024-07-23,125.69,23.1,457.56
2024-07-24,124.97,23.06,461.76
