Date,rate_VCR_5D,rate_VOO_20D,Max_Divergence
2023-03-31,-17.51,-9.08,-146.28
2023-04-03,-16.72,-8.99,-171.76
2023-04-04,-15.97,-8.86,-151.48
2023-04-05,-15.83,-8.75,-168.73
2023-04-06,-15.85,-8.54,-186.22
2023-04-10,-16.16,-8.27,-181.2
2023-04-11,-16.39,-8.0,-178.08
2023-04-12,-16.84,-7.81,-182.77
2023-04-13,-16.64,-7.53,-218.16
2023-04-14,-16.4,-7.34,-204.23
2023-04-17,-16.17,-7.08,-213.52
2023-04-18,-15.95,-6.86,-213.49
2023-04-19,-15.45,-6.7,-211.8
2023-04-20,-15.48,-6.49,-200.56
2023-04-21,-15.38,-6.28,-189.25
2023-04-24,-15.39,-6.09,-195.95
2023-04-25,-15.79,-5.96,-166.1
2023-04-26,-16.26,-5.84,-156.78
2023-04-27,-16.11,-5.71,-193.13
2023-04-28,-16.08,-5.57,-232.89
2023-05-01,-16.12,-5.49,-245.01
2023-05-02,-15.83,-5.49,-184.52
2023-05-03,-15.58,-5.49,-165.95
2023-05-04,-15.89,-5.51,-151.86
2023-05-05,-15.9,-5.47,-195.73
2023-05-08,-15.77,-5.43,-192.56
2023-05-09,-15.64,-5.42,-171.64
2023-05-10,-15.34,-5.36,-188.04
2023-05-11,-14.82,-5.37,-173.23
2023-05-12,-14.77,-5.38,-180.19
2023-05-15,-14.74,-5.39,-193.65
2023-05-16,-14.8,-5.43,-169.91
2023-05-17,-14.58,-5.42,-197.81
2023-05-18,-14.19,-5.33,-237.53
2023-05-19,-13.86,-5.26,-251.05
2023-05-22,-13.61,-5.18,-262.03
2023-05-23,-13.44,-5.1,-200.62
2023-05-24,-13.65,-5.04,-165.52
2023-05-25,-14.23,-5.01,-223.62
2023-05-26,-14.27,-4.96,-288.51
2023-05-30,-14.17,-4.9,-278.55
2023-05-31,-14.08,-4.83,-252.78
2023-06-01,-13.7,-4.67,-326.09
2023-06-02,-12.75,-4.42,-553.12
2023-06-05,-12.12,-4.25,-480.45
2023-06-06,-11.35,-4.07,-477.99
2023-06-07,-10.5,-3.9,-408.9
2023-06-08,-9.68,-3.71,-549.62
2023-06-09,-9.27,-3.5,-618.8
2023-06-12,-8.55,-3.25,-2414.81
2023-06-13,-7.88,-2.98,-1634.21
2023-06-14,-7.15,-2.67,-1453.33
2023-06-15,-6.51,-2.36,-416.86
2023-06-16,-5.96,-2.11,-518.52
2023-06-20,-5.64,-1.88,-684.27
2023-06-21,-5.7,-1.67,-1848.57
2023-06-22,-5.49,-1.4,-808.45
2023-06-23,-5.62,-1.12,-15125.0
2023-06-26,-5.91,-0.91,-1480.0
2023-06-27,-5.9,-0.7,-904.69
2023-06-28,-5.66,-0.5,-810.14
2023-06-29,-5.62,-0.26,-813.24
2023-06-30,-5.14,-0.02,-298.38
2023-07-03,-4.21,0.16,-224.5
2023-07-05,-3.7,0.34,-246.07
2023-07-06,-3.56,0.46,-534.02
2023-07-07,-3.36,0.6,-620.27
2023-07-10,-3.33,0.71,-446.53
2023-07-11,-3.36,0.86,-259.39
2023-07-12,-3.19,0.99,-172.95
2023-07-13,-2.56,1.13,-132.21
2023-07-14,-1.98,1.27,-129.87
2023-07-17,-1.42,1.36,-119.26
2023-07-18,-0.94,1.51,-106.03
2023-07-19,-0.52,1.69,-92.94
2023-07-20,-0.81,1.87,-164.77
2023-07-21,-1.13,2.02,-165.37
2023-07-24,-1.42,2.24,-149.3
2023-07-25,-1.82,2.49,-150.22
2023-07-26,-2.33,2.69,-148.03
2023-07-27,-2.46,2.85,-178.95
2023-07-28,-2.23,3.06,-128.31
2023-07-31,-1.96,3.22,-115.97
2023-08-01,-1.83,3.35,-134.55
2023-08-02,-2.0,3.44,-186.69
2023-08-03,-1.92,3.56,-183.99
2023-08-04,-1.99,3.67,-157.53
2023-08-07,-2.02,3.8,-126.17
2023-08-08,-1.99,3.88,-143.98
2023-08-09,-1.83,3.9,-179.3
2023-08-10,-1.68,3.88,-171.63
2023-08-11,-1.83,3.87,-184.81
2023-08-14,-2.07,3.85,-166.25
2023-08-15,-2.38,3.76,-224.18
2023-08-16,-2.7,3.63,-299.48
2023-08-17,-3.27,3.5,-454.68
2023-08-18,-3.79,3.38,-442.76
2023-08-21,-4.25,3.26,-333.68
2023-08-22,-4.53,3.12,-359.65
2023-08-23,-4.55,3.01,-262.55
2023-08-24,-4.6,2.89,-439.22
2023-08-25,-4.53,2.75,-334.01
2023-08-28,-4.5,2.62,-279.25
2023-08-29,-4.17,2.55,-182.84
2023-08-30,-3.88,2.56,-167.76
2023-08-31,-3.28,2.57,-161.17
2023-09-01,-2.82,2.61,-163.01
2023-09-05,-2.46,2.6,-174.93
2023-09-06,-2.55,2.57,-218.48
2023-09-07,-2.65,2.55,-219.68
2023-09-08,-2.81,2.54,-213.74
2023-09-11,-2.53,2.56,-127.61
2023-09-12,-2.37,2.53,-163.24
2023-09-13,-1.95,2.55,-141.2
2023-09-14,-1.4,2.64,-105.68
2023-09-15,-1.17,2.69,-175.51
2023-09-18,-1.57,2.75,-213.28
2023-09-19,-1.92,2.77,-246.19
2023-09-20,-2.55,2.76,-407.04
2023-09-21,-3.88,2.63,-3310.0
2023-09-22,-5.02,2.53,-1625.0
2023-09-25,-5.86,2.43,-23466.67
2023-09-26,-6.93,2.23,-496.62
2023-09-27,-7.86,1.99,-516.44
2023-09-28,-8.16,1.74,-557.94
2023-09-29,-8.2,1.49,-423.49
2023-10-02,-8.31,1.23,-420.41
2023-10-03,-8.54,0.93,-258.84
2023-10-04,-8.45,0.69,-314.49
2023-10-05,-8.64,0.46,-329.3
2023-10-06,-8.78,0.27,-742.57
2023-10-09,-8.92,0.09,-2219.44
2023-10-10,-8.37,-0.04,-5214.29
2023-10-11,-8.02,-0.15,-1326.79
2023-10-12,-7.8,-0.34,-26900.0
2023-10-13,-7.95,-0.49,-1589.09
2023-10-16,-7.81,-0.59,-1725.53
2023-10-17,-7.85,-0.68,-1631.25
2023-10-18,-8.37,-0.8,-1012.94
2023-10-19,-9.05,-0.87,-585.71
2023-10-20,-9.74,-0.99,-339.79
2023-10-23,-10.75,-1.15,-315.36
2023-10-24,-11.64,-1.19,-403.85
2023-10-25,-12.49,-1.3,-271.08
2023-10-26,-13.18,-1.48,-206.98
2023-10-27,-13.43,-1.67,-164.96
2023-10-30,-13.51,-1.81,-214.18
2023-10-31,-13.63,-1.85,-245.68
2023-11-01,-13.11,-1.87,-346.18
2023-11-02,-11.87,-1.8,-1154.29
2023-11-03,-10.54,-1.74,-3968.42
2023-11-06,-9.42,-1.7,-2063.16
2023-11-07,-8.24,-1.67,-1096.92
2023-11-08,-7.38,-1.66,-1035.62
2023-11-09,-7.34,-1.66,-85500.0
2023-11-10,-7.3,-1.56,-573.03
2023-11-13,-7.2,-1.51,-588.03
2023-11-14,-6.62,-1.37,-207.49
2023-11-15,-5.92,-1.15,-193.0
2023-11-16,-5.06,-0.88,-214.56
2023-11-17,-4.31,-0.54,-189.9
2023-11-20,-3.52,-0.16,-163.93
2023-11-21,-3.47,0.18,-176.38
2023-11-22,-3.34,0.6,-156.34
2023-11-24,-3.02,1.09,-154.41
2023-11-27,-2.83,1.59,-153.73
2023-11-28,-2.66,2.04,-143.22
2023-11-29,-2.42,2.45,-145.97
2023-11-30,-2.35,2.83,-145.51
2023-12-01,-1.93,3.15,-110.32
2023-12-04,-1.58,3.39,-114.87
2023-12-05,-1.35,3.63,-117.91
2023-12-06,-1.07,3.83,-116.53
2023-12-07,-0.62,4.07,-101.48
2023-12-08,-0.45,4.36,-95.32
2023-12-11,-0.19,4.59,-91.18
2023-12-12,0.13,4.84,-89.09
2023-12-13,0.73,5.07,-72.1
2023-12-14,1.49,5.31,-54.57
2023-12-15,2.18,5.52,-53.97
2023-12-18,2.94,5.76,-49.77
2023-12-19,3.82,5.99,-43.89
2023-12-20,4.03,6.14,-56.72
2023-12-21,4.26,6.32,-41.63
2023-12-22,4.36,6.51,-50.76
2023-12-26,4.45,6.72,-46.87
2023-12-27,4.43,6.94,-44.4
2023-12-28,4.71,7.15,-49.29
2023-12-29,4.52,7.34,-55.58
2024-01-02,4.26,7.47,-64.09
2024-01-03,3.45,7.59,-90.84
2024-01-04,2.43,7.7,-100.14
2024-01-05,1.55,7.83,-97.15
2024-01-08,1.16,8.0,-77.63
2024-01-09,0.9,8.14,-81.32
2024-01-10,1.26,8.3,-72.89
2024-01-11,1.72,8.43,-74.86
2024-01-12,1.93,8.5,-86.67
2024-01-16,1.74,8.53,-88.34
2024-01-17,1.46,8.55,-97.51
2024-01-18,1.13,8.58,-90.46
2024-01-19,1.04,8.64,-82.3
2024-01-22,1.13,8.79,-83.98
2024-01-23,1.21,8.91,-86.61
2024-01-24,1.37,9.03,-90.74
2024-01-25,1.25,9.15,-97.81
2024-01-26,1.03,9.27,-93.49
2024-01-29,1.09,9.42,-83.58
2024-01-30,1.14,9.57,-85.82
2024-01-31,0.9,9.69,-101.63
2024-02-01,1.22,9.88,-84.03
2024-02-02,1.77,10.14,-71.64
2024-02-05,1.79,10.38,-82.77
2024-02-06,1.97,10.55,-78.95
2024-02-07,2.71,10.77,-72.92
2024-02-08,3.19,10.97,-68.01
2024-02-09,3.51,11.19,-62.54
2024-02-12,4.15,11.41,-60.96
2024-02-13,4.23,11.57,-75.27
2024-02-14,4.36,11.81,-68.29
2024-02-15,4.6,12.04,-60.94
2024-02-16,4.55,12.18,-63.33
2024-02-20,4.24,12.29,-70.38
2024-02-21,4.5,12.39,-66.25
2024-02-22,4.93,12.6,-57.76
2024-02-23,5.04,12.77,-60.57
2024-02-26,5.3,12.93,-57.84
2024-02-27,5.88,13.07,-54.83
2024-02-28,6.39,13.21,-52.9
2024-02-29,6.67,13.44,-48.84
2024-03-01,7.11,13.65,-48.7
2024-03-04,7.25,13.82,-56.31
2024-03-05,7.04,13.94,-61.29
2024-03-06,6.7,14.08,-65.68
2024-03-07,6.37,14.24,-62.75
2024-03-08,5.89,14.36,-63.39
2024-03-11,5.58,14.45,-65.7
2024-03-12,5.69,14.6,-62.42
2024-03-13,5.9,14.81,-61.9
2024-03-14,5.8,14.96,-65.55
2024-03-15,5.56,15.04,-70.8
2024-03-18,5.51,15.18,-68.57
2024-03-19,5.46,15.38,-64.05
2024-03-20,5.75,15.6,-55.87
2024-03-21,6.31,15.74,-52.85
2024-03-22,6.88,15.85,-57.38
2024-03-25,7.28,15.98,-58.54
2024-03-26,7.5,16.07,-57.93
2024-03-27,7.64,16.22,-52.25
2024-03-28,7.63,16.34,-52.96
2024-04-01,7.64,16.41,-56.53
2024-04-02,7.39,16.45,-64.97
2024-04-03,7.15,16.55,-64.61
2024-04-04,6.38,16.56,-70.35
2024-04-05,5.78,16.57,-67.62
2024-04-08,5.52,16.61,-62.77
2024-04-09,5.67,16.66,-60.6
2024-04-10,5.44,16.61,-69.55
2024-04-11,5.61,16.61,-66.81
2024-04-12,5.31,16.54,-74.46
2024-04-15,4.49,16.44,-85.07
2024-04-16,3.49,16.3,-88.31
2024-04-17,2.71,16.1,-93.65
2024-04-18,1.69,15.85,-97.49
2024-04-19,0.83,15.54,-104.54
2024-04-22,0.45,15.29,-99.03
2024-04-23,0.46,15.13,-88.45
2024-04-24,0.69,14.97,-85.68
2024-04-25,0.99,14.76,-86.55
2024-04-26,1.69,14.6,-79.22
2024-04-29,2.64,14.48,-66.8
2024-04-30,2.82,14.3,-80.91
2024-05-01,2.83,14.09,-83.5
2024-05-02,3.19,13.99,-73.32
2024-05-03,3.47,13.91,-70.44
2024-05-06,3.6,13.88,-65.05
2024-05-07,4.1,13.86,-69.01
2024-05-08,4.62,13.89,-70.9
2024-05-09,5.01,13.91,-67.19
2024-05-10,5.14,14.01,-70.21
2024-05-13,5.04,14.18,-69.91
2024-05-14,5.2,14.39,-67.01
2024-05-15,5.44,14.7,-68.69
2024-05-16,5.33,15.01,-73.41
2024-05-17,5.37,15.37,-72.17
2024-05-20,5.28,15.7,-75.62
2024-05-21,5.11,15.97,-74.36
2024-05-22,4.69,16.23,-80.1
2024-05-23,4.13,16.46,-88.04
2024-05-24,3.72,16.69,-83.05
2024-05-28,3.4,16.89,-83.99
2024-05-29,2.9,17.15,-86.74
2024-05-30,2.74,17.39,-82.72
2024-05-31,3.03,17.64,-80.34
2024-06-03,3.14,17.8,-79.37
2024-06-04,3.21,17.92,-81.45
2024-06-05,3.56,18.1,-79.03
2024-06-06,3.94,18.27,-74.92
2024-06-07,4.04,18.41,-79.0
2024-06-10,4.2,18.56,-77.13
2024-06-11,4.35,18.72,-79.43
2024-06-12,4.6,18.9,-74.55
2024-06-13,4.64,19.03,-76.08
2024-06-14,4.63,19.17,-81.2
2024-06-17,4.85,19.34,-74.78
2024-06-18,5.08,19.53,-76.59
2024-06-20,5.07,19.69,-76.24
2024-06-21,5.27,19.85,-72.23
2024-06-24,5.63,20.04,-73.39
2024-06-25,5.56,20.2,-76.06
2024-06-26,5.87,20.37,-69.32
2024-06-27,6.27,20.59,-67.26
2024-06-28,6.28,20.81,-71.61
2024-07-01,6.33,20.98,-71.96
2024-07-02,6.8,21.18,-65.42
2024-07-03,7.06,21.4,-64.13
2024-07-05,7.32,21.58,-62.74
2024-07-08,7.86,21.76,-61.89
2024-07-09,8.45,21.96,-61.54
2024-07-10,8.82,22.18,-60.68
2024-07-11,9.03,22.35,-60.98
2024-07-12,9.45,22.5,-55.55
