Date,rate_TQQQ_5D,rate_TQQQ_20D,rate_VOO_5D,rate_VOO_20D
2022-03-30,-16.466,-28.7615,-1.688,-5.4055
2022-03-31,-16.144,-28.177000000000003,-1.636,-5.2325
2022-04-01,-15.758000000000001,-27.442,-1.614,-5.0075
2022-04-04,-15.11,-26.108999999999998,-1.566,-4.6135
2022-04-05,-16.168,-24.948500000000003,-1.9939999999999998,-4.2455
2022-04-06,-17.490000000000002,-24.292,-2.4899999999999998,-4.0395
2022-04-07,-18.038,-23.5155,-2.596,-3.79
2022-04-08,-19.086,-22.664499999999997,-2.814,-3.496
2022-04-11,-21.887999999999998,-21.8375,-3.5120000000000005,-3.2510000000000003
2022-04-12,-23.996,-21.305500000000002,-4.044,-3.119
2022-04-13,-24.583999999999996,-20.9305,-4.176,-3.0345
2022-04-14,-26.112000000000002,-20.8845,-4.630000000000001,-3.063
2022-04-18,-27.144,-21.0455,-5.034000000000001,-3.1420000000000003
2022-04-19,-26.560000000000002,-20.969,-4.822000000000001,-3.1475
2022-04-20,-26.45,-21.268,-4.556,-3.211
2022-04-21,-27.853999999999996,-21.5985,-4.7780000000000005,-3.283
2022-04-22,-29.392000000000003,-22.421499999999998,-5.276,-3.5345
2022-04-25,-30.534000000000002,-23.1305,-5.680000000000001,-3.7855000000000003
2022-04-26,-33.936,-24.3735,-6.894,-4.1985
2022-04-27,-36.75600000000001,-25.8425,-8.05,-4.661
2022-04-28,-37.616,-26.886000000000003,-8.485999999999999,-4.9825
2022-04-29,-39.092,-28.158499999999997,-9.08,-5.3955
2022-05-02,-40.26,-29.256,-9.604,-5.7829999999999995
2022-05-03,-39.988,-30.593,-9.538,-6.1915
2022-05-04,-38.53,-31.433,-8.99,-6.410000000000001
2022-05-05,-40.126,-32.545,-9.512,-6.7379999999999995
2022-05-06,-40.477999999999994,-33.7685,-9.48,-7.1165
2022-05-09,-42.79,-35.182,-10.168,-7.6215
2022-05-10,-44.803999999999995,-36.322,-10.888,-8.0355
2022-05-11,-48.822,-37.6395,-12.406,-8.500499999999999
2022-05-12,-51.032,-39.157,-13.308000000000002,-9.021
2022-05-13,-51.912,-40.21849999999999,-13.709999999999999,-9.3865
2022-05-16,-51.872,-41.364,-13.622,-9.7685
2022-05-17,-51.432,-42.54,-13.236,-10.139
2022-05-18,-51.63000000000001,-43.9345,-13.262,-10.677
2022-05-19,-51.938,-45.178,-13.388,-11.1735
2022-05-20,-53.275999999999996,-46.1895,-13.901999999999997,-11.543000000000001
2022-05-23,-53.89,-47.203,-14.040000000000001,-11.8585
2022-05-24,-55.79200000000001,-48.004000000000005,-14.64,-12.075500000000002
2022-05-25,-55.848,-48.707499999999996,-14.416,-12.2685
2022-05-26,-54.98599999999999,-49.5205,-13.745999999999999,-12.4885
2022-05-27,-53.112,-49.6945,-12.65,-12.435500000000001
2022-05-31,-51.73599999999999,-50.071999999999996,-11.966,-12.449
2022-06-01,-49.769999999999996,-50.4495,-11.245999999999999,-12.502500000000001
2022-06-02,-47.315999999999995,-50.904,-10.34,-12.606
2022-06-03,-46.484,-51.11,-10.056000000000001,-12.624500000000001
2022-06-06,-46.46,-51.19,-10.154,-12.604
2022-06-07,-46.104,-50.9005,-9.982,-12.4025
2022-06-08,-45.994,-50.747,-9.918000000000001,-12.26
2022-06-09,-47.576,-50.5925,-10.59,-12.152
2022-06-10,-49.312,-50.68,-11.475999999999999,-12.1665
2022-06-13,-52.38399999999999,-51.30800000000001,-13.048000000000002,-12.438500000000001
2022-06-14,-55.662,-51.848,-14.831999999999999,-12.705
2022-06-15,-58.178,-52.4335,-16.194,-12.999500000000001
2022-06-16,-60.818000000000005,-52.8895,-17.676,-13.255500000000001
2022-06-17,-62.156000000000006,-53.234500000000004,-18.614,-13.472999999999999
2022-06-21,-61.732000000000006,-53.422000000000004,-18.532,-13.596
2022-06-22,-61.388,-53.722500000000004,-18.444,-13.806000000000001
2022-06-23,-61.248000000000005,-53.7975,-18.416,-13.9435
2022-06-24,-59.257999999999996,-53.742,-17.356,-13.9905
2022-06-27,-57.745999999999995,-53.9245,-16.4,-14.136499999999998
2022-06-28,-57.6,-54.544000000000004,-16.184,-14.479499999999998
2022-06-29,-57.408,-55.140499999999996,-15.992,-14.8125
2022-06-30,-57.839999999999996,-55.815,-16.096,-15.156
2022-07-01,-58.682,-56.5835,-16.446,-15.517
2022-07-05,-58.912,-57.031499999999994,-16.706,-15.799000000000001
2022-07-06,-58.17,-57.471500000000006,-16.55,-16.0785
2022-07-07,-56.906000000000006,-57.840999999999994,-16.096,-16.341
2022-07-08,-55.312,-58.144499999999994,-15.524000000000001,-16.5575
2022-07-11,-54.76800000000001,-58.381499999999996,-15.395999999999997,-16.7185
2022-07-12,-54.878,-58.423,-15.447999999999999,-16.792
2022-07-13,-55.20399999999999,-58.1765,-15.632,-16.7245
2022-07-14,-55.980000000000004,-57.920500000000004,-16.1,-16.658
2022-07-15,-56.348,-57.687,-16.252000000000002,-16.572
2022-07-18,-56.326,-57.258500000000005,-16.352,-16.3875
2022-07-19,-55.275999999999996,-56.702999999999996,-15.857999999999999,-16.103
2022-07-20,-53.688,-56.165499999999994,-15.184000000000001,-15.8875
2022-07-21,-51.760000000000005,-55.5135,-14.296000000000001,-15.620999999999999
2022-07-22,-50.833999999999996,-55.0835,-13.868,-15.434999999999999
2022-07-25,-49.848,-54.906000000000006,-13.288,-15.370499999999998
2022-07-26,-50.23,-54.824,-13.352,-15.341
2022-07-27,-49.944,-54.2515,-13.086000000000002,-15.113
2022-07-28,-49.788,-53.60850000000001,-12.774,-14.8165
2022-07-29,-48.495999999999995,-52.7475,-12.053999999999998,-14.4245
2022-08-01,-46.842,-51.946000000000005,-11.350000000000001,-14.0965
2022-08-02,-44.672000000000004,-51.263999999999996,-10.53,-13.797
2022-08-03,-42.982,-50.4545,-9.94,-13.460500000000001
2022-08-04,-41.46,-49.747,-9.578,-13.187000000000001
2022-08-05,-40.742000000000004,-49.105000000000004,-9.496,-12.9175
2022-08-08,-40.33,-48.3365,-9.425999999999998,-12.604000000000001
2022-08-09,-40.117999999999995,-47.574,-9.319999999999999,-12.265
2022-08-10,-39.93,-46.636,-9.162,-11.843
2022-08-11,-40.001999999999995,-45.752500000000005,-8.992,-11.41
2022-08-12,-39.379999999999995,-44.863,-8.581999999999999,-11.0
2022-08-15,-38.452,-43.868,-8.104000000000001,-10.542
2022-08-16,-37.3,-43.08,-7.554,-10.189
2022-08-17,-37.096000000000004,-42.488,-7.348000000000001,-9.884
2022-08-18,-36.706,-41.989,-7.104000000000001,-9.611999999999998
2022-08-19,-37.282,-41.475,-7.244,-9.344
2022-08-22,-38.69199999999999,-41.07899999999999,-7.696,-9.144
2022-08-23,-40.071999999999996,-40.540499999999994,-8.198,-8.9005
2022-08-24,-41.09400000000001,-40.2755,-8.578,-8.757
2022-08-25,-41.773999999999994,-39.9855,-8.822,-8.623999999999999
2022-08-26,-42.934,-40.084500000000006,-9.31,-8.658
2022-08-29,-43.688,-40.2905,-9.620000000000001,-8.7115
2022-08-30,-44.652,-40.5355,-10.028,-8.774999999999999
2022-08-31,-45.797999999999995,-40.979499999999994,-10.562,-8.9125
2022-09-01,-47.086,-41.392,-11.175999999999998,-9.0235
2022-09-02,-47.676,-41.818,-11.492,-9.157
2022-09-06,-48.193999999999996,-42.2565,-11.768,-9.297
2022-09-07,-47.996,-42.505,-11.664,-9.361
2022-09-08,-47.518,-42.8765,-11.366,-9.4635
2022-09-09,-46.676,-43.0605,-10.912,-9.503499999999999
2022-09-12,-45.184000000000005,-43.269,-10.162,-9.552
2022-09-13,-45.406,-43.995,-10.129999999999999,-9.803500000000001
2022-09-14,-45.896,-44.654,-10.290000000000001,-10.045
2022-09-15,-47.025999999999996,-45.358999999999995,-10.74,-10.311499999999999
2022-09-16,-48.956,-46.123,-11.57,-10.620000000000001
2022-09-19,-51.047999999999995,-46.710499999999996,-12.453999999999999,-10.8545
2022-09-20,-51.510000000000005,-47.1995,-12.774,-11.073
2022-09-21,-52.688,-47.808,-13.45,-11.358
2022-09-22,-53.705999999999996,-48.512,-14.080000000000002,-11.687000000000001
2022-09-23,-54.943999999999996,-49.415499999999994,-14.851999999999999,-12.127500000000001
2022-09-26,-56.50599999999999,-50.1035,-15.906,-12.503499999999999
2022-09-27,-57.836,-50.7365,-16.812,-12.871
2022-09-28,-58.19199999999999,-51.193,-17.18,-13.146
2022-09-29,-58.94,-51.7975,-17.748,-13.483500000000001
2022-09-30,-59.696000000000005,-52.568000000000005,-18.288,-13.905499999999998
2022-10-03,-59.534000000000006,-53.068,-18.168,-14.172500000000003
2022-10-04,-58.636,-53.347,-17.518,-14.3085
2022-10-05,-58.208000000000006,-53.746,-17.14,-14.515
2022-10-06,-57.284000000000006,-54.239,-16.595999999999997,-14.791000000000002
2022-10-07,-56.922000000000004,-55.12949999999999,-16.264,-15.243500000000001
2022-10-10,-57.60600000000001,-56.173500000000004,-16.554,-15.770500000000002
2022-10-11,-59.327999999999996,-56.8275,-17.436,-16.135
2022-10-12,-61.064,-57.538,-18.338,-16.526999999999997
2022-10-13,-62.104,-58.008500000000005,-18.654,-16.7695
2022-10-14,-62.86,-58.60549999999999,-18.878,-17.070500000000003
2022-10-17,-62.698,-59.08599999999999,-18.582,-17.3025
2022-10-18,-62.048,-59.462,-17.99,-17.439
2022-10-19,-61.48,-59.73599999999999,-17.464,-17.530499999999996
2022-10-20,-61.52,-59.962,-17.482,-17.619999999999997
2022-10-21,-60.33200000000001,-59.9525,-16.747999999999998,-17.544500000000003
2022-10-24,-59.54600000000001,-59.84599999999999,-16.216,-17.380000000000003
2022-10-25,-58.44,-59.613,-15.602,-17.1365
2022-10-26,-57.834,-59.6465,-15.0,-16.9855
2022-10-27,-57.562,-59.61750000000001,-14.356,-16.772
2022-10-28,-57.11,-59.306000000000004,-13.709999999999999,-16.4
2022-10-31,-57.238,-59.272000000000006,-13.38,-16.183
2022-11-01,-57.85,-59.416500000000006,-13.325999999999999,-16.0885
2022-11-02,-58.688,-59.76649999999999,-13.568000000000001,-16.0925
2022-11-03,-59.472,-60.1645,-13.892000000000001,-16.095999999999997
2022-11-04,-60.664,-60.241499999999995,-14.372,-15.927000000000001
2022-11-07,-61.334,-60.20399999999999,-14.581999999999999,-15.690000000000001
2022-11-08,-61.870000000000005,-60.052,-14.696000000000002,-15.4035
2022-11-09,-62.117999999999995,-60.029999999999994,-14.73,-15.1905
2022-11-10,-60.394000000000005,-59.737,-13.697999999999999,-14.857
2022-11-11,-58.489999999999995,-59.149,-12.734,-14.391
2022-11-14,-57.05,-58.791999999999994,-12.064,-14.060500000000001
2022-11-15,-55.407999999999994,-58.391999999999996,-11.342,-13.741499999999998
2022-11-16,-53.614,-58.06350000000001,-10.412,-13.4275
2022-11-17,-53.45,-57.7195,-10.426,-13.093
2022-11-18,-53.788,-57.513,-10.528,-12.836000000000002
2022-11-21,-54.153999999999996,-57.444,-10.552000000000001,-12.6445
2022-11-22,-54.516,-57.411,-10.488000000000001,-12.463
2022-11-23,-54.222,-57.1605,-10.180000000000001,-12.2225
2022-11-25,-54.053999999999995,-56.842499999999994,-9.824,-11.96
2022-11-28,-54.28399999999999,-56.80649999999999,-9.825999999999999,-11.865
2022-11-29,-54.456,-56.7485,-9.798,-11.749
2022-11-30,-53.836,-56.40749999999999,-9.464,-11.4975
2022-12-01,-53.196000000000005,-55.7875,-9.198,-11.129999999999999
2022-12-02,-52.472,-55.09250000000001,-8.956,-10.725999999999999
2022-12-05,-51.822,-54.596000000000004,-8.748000000000001,-10.459
2022-12-06,-51.54600000000001,-54.3015,-8.76,-10.2935
2022-12-07,-52.534000000000006,-54.0735,-9.344,-10.1595
2022-12-08,-53.512,-53.636,-9.834,-9.906000000000002
2022-12-09,-54.55,-53.6315,-10.424000000000001,-9.9075
2022-12-12,-54.79,-53.67100000000001,-10.454,-9.889
2022-12-13,-54.158,-53.5785,-10.102,-9.803
2022-12-14,-53.645999999999994,-53.632999999999996,-9.824000000000002,-9.780000000000001
2022-12-15,-54.35,-53.82000000000001,-10.118,-9.8325
2022-12-16,-55.128,-54.051,-10.492,-9.924
2022-12-19,-56.55800000000001,-54.3635,-11.258,-10.0715
2022-12-20,-58.30799999999999,-54.617,-12.209999999999999,-10.2175
2022-12-21,-59.498000000000005,-54.878499999999995,-12.802000000000001,-10.3585
2022-12-22,-60.39,-55.362,-13.197999999999999,-10.587
2022-12-23,-61.013999999999996,-55.791,-13.294,-10.7915
2022-12-27,-61.624,-56.1985,-13.309999999999999,-10.942499999999999
2022-12-28,-62.49000000000001,-56.6255,-13.478,-11.1375
2022-12-29,-63.205999999999996,-57.221000000000004,-13.602,-11.392999999999999
2022-12-30,-63.30800000000001,-57.89,-13.532,-11.6705
2023-01-03,-63.30200000000001,-58.4985,-13.558000000000002,-11.942
2023-01-04,-62.864,-58.959,-13.398000000000001,-12.105
2023-01-05,-62.492,-59.362,-13.216,-12.2515
2023-01-06,-62.038,-59.597,-12.948000000000002,-12.294
2023-01-09,-61.42,-59.867000000000004,-12.646,-12.3735
2023-01-10,-60.715999999999994,-60.04,-12.218,-12.3905
2023-01-11,-59.714,-60.19,-11.690000000000001,-12.414
2023-01-12,-58.222,-60.378,-10.91,-12.4535
2023-01-13,-57.124,-60.466499999999996,-10.444,-12.449
2023-01-17,-56.141999999999996,-60.315,-9.992,-12.342
2023-01-18,-55.71,-60.185500000000005,-9.952,-12.255500000000001
2023-01-19,-55.96,-60.040499999999994,-10.256,-12.1635
2023-01-20,-55.658,-59.715500000000006,-10.308,-11.978
2023-01-23,-54.931999999999995,-59.325,-10.213999999999999,-11.802
2023-01-24,-54.312,-58.795500000000004,-10.113999999999999,-11.571000000000002
2023-01-25,-53.428,-58.28900000000001,-9.72,-11.362
2023-01-26,-51.718,-57.56400000000001,-9.012,-11.089
2023-01-27,-50.403999999999996,-56.694,-8.57,-10.751
2023-01-30,-50.314,-56.102,-8.568,-10.5435
2023-01-31,-49.727999999999994,-55.4005,-8.291999999999998,-10.261
2023-02-01,-48.20399999999999,-54.5145,-7.794,-9.921
2023-02-02,-46.134,-53.381499999999996,-7.231999999999999,-9.5475
2023-02-03,-44.96,-52.311,-6.914,-9.175500000000001
2023-02-06,-43.444,-51.4535,-6.473999999999999,-8.925
2023-02-07,-41.848,-50.5075,-6.09,-8.622
2023-02-08,-41.598,-49.735,-6.104,-8.3925
2023-02-09,-42.674,-49.1215,-6.5040000000000004,-8.251000000000001
2023-02-10,-43.312,-48.5835,-6.6739999999999995,-8.1165
2023-02-13,-43.286,-47.994,-6.564,-7.955
2023-02-14,-43.564,-47.363,-6.6579999999999995,-7.788500000000001
2023-02-15,-43.138,-46.592,-6.531999999999999,-7.5375
2023-02-16,-43.07600000000001,-45.9005,-6.478,-7.3065
2023-02-17,-43.056000000000004,-45.433,-6.5,-7.164500000000001
2023-02-21,-44.084,-45.282,-6.984,-7.147500000000001
2023-02-22,-45.318,-45.11450000000001,-7.4799999999999995,-7.13
2023-02-23,-46.556,-44.874,-7.956,-7.096500000000001
2023-02-24,-47.664,-44.887,-8.379999999999999,-7.1485
2023-02-27,-48.376,-44.926,-8.716,-7.2010000000000005
2023-02-28,-48.465999999999994,-44.82,-8.828,-7.2125
2023-03-01,-48.574,-44.82600000000001,-8.937999999999999,-7.291500000000001
2023-03-02,-48.686,-44.9945,-9.001999999999999,-7.3985
2023-03-03,-47.772000000000006,-45.2965,-8.663999999999998,-7.5065
2023-03-06,-47.001999999999995,-45.4365,-8.358,-7.561999999999999
2023-03-07,-46.578,-45.603500000000004,-8.256,-7.6579999999999995
2023-03-08,-46.006,-45.865500000000004,-8.112,-7.797
2023-03-09,-46.188,-46.142,-8.396,-7.971499999999999
2023-03-10,-47.336,-46.462,-9.168000000000001,-8.1725
2023-03-13,-48.32599999999999,-46.690000000000005,-9.985999999999999,-8.389999999999999
2023-03-14,-48.26,-46.846999999999994,-10.256,-8.581
2023-03-15,-48.182,-47.019999999999996,-10.658,-8.797
2023-03-16,-46.730000000000004,-47.04,-10.453999999999999,-8.952
2023-03-17,-45.048,-46.955,-10.203999999999999,-9.104000000000001
2023-03-20,-43.446000000000005,-46.7875,-9.768,-9.206999999999999
2023-03-21,-42.022000000000006,-46.3315,-9.384,-9.181000000000001
2023-03-22,-41.304,-46.01649999999999,-9.190000000000001,-9.2245
2023-03-23,-41.016,-45.655,-9.248000000000001,-9.275
2023-03-24,-40.438,-45.1485,-9.069999999999999,-9.2765
2023-03-27,-40.224000000000004,-44.7495,-9.02,-9.283
2023-03-28,-40.694,-44.3885,-9.232000000000001,-9.282
2023-03-29,-39.97,-43.8655,-8.894,-9.2135
2023-03-30,-39.32,-43.3135,-8.49,-9.147
2023-03-31,-38.17,-42.748000000000005,-7.8740000000000006,-9.079
2023-04-03,-36.721999999999994,-42.1795,-7.19,-8.991000000000001
2023-04-04,-35.21,-41.546499999999995,-6.578,-8.8625
2023-04-05,-34.757999999999996,-41.0535,-6.264,-8.7515
2023-04-06,-34.384,-40.3625,-5.988,-8.545
2023-04-10,-34.658,-39.578500000000005,-5.9479999999999995,-8.274
2023-04-11,-35.174,-38.89149999999999,-6.004,-7.9955
2023-04-12,-35.81,-38.434000000000005,-6.029999999999999,-7.806
2023-04-13,-35.49,-37.8805,-5.772,-7.529999999999999
2023-04-14,-35.482,-37.5505,-5.622,-7.337000000000001
2023-04-17,-35.436,-37.1755,-5.428,-7.08
2023-04-18,-35.194,-36.828500000000005,-5.224,-6.8595
2023-04-19,-34.722,-36.609,-4.948,-6.697
2023-04-20,-35.05,-36.317,-5.018000000000001,-6.487
2023-04-21,-35.302,-36.122,-5.037999999999999,-6.2845
2023-04-24,-35.63,-35.9735,-5.098000000000001,-6.087
2023-04-25,-36.638,-35.932,-5.42,-5.9595
2023-04-26,-37.436,-35.7945,-5.8100000000000005,-5.841500000000001
2023-04-27,-37.046,-35.586,-5.786,-5.71
2023-04-28,-36.426,-35.3985,-5.638,-5.5715
2023-05-01,-35.634,-35.3395,-5.504,-5.4944999999999995
2023-05-02,-34.513999999999996,-35.38,-5.316,-5.4910000000000005
2023-05-03,-33.826,-35.4485,-5.176,-5.4910000000000005
2023-05-04,-34.198,-35.446000000000005,-5.47,-5.5115
2023-05-05,-34.074,-35.321,-5.588,-5.471500000000001
2023-05-08,-33.95,-35.1625,-5.708,-5.4345
2023-05-09,-33.74,-35.0215,-5.71,-5.4174999999999995
2023-05-10,-32.862,-34.7115,-5.514,-5.362
2023-05-11,-31.733999999999998,-34.507,-5.218000000000001,-5.372999999999999
2023-05-12,-31.491999999999997,-34.3235,-5.258,-5.3805000000000005
2023-05-15,-31.15,-34.091,-5.244,-5.3885
2023-05-16,-30.498,-33.847500000000004,-5.274,-5.430000000000001
2023-05-17,-29.772000000000002,-33.474000000000004,-5.166,-5.416500000000001
2023-05-18,-28.386000000000003,-32.841,-4.85,-5.331
2023-05-19,-26.964,-32.239000000000004,-4.54,-5.255999999999999
2023-05-22,-25.592000000000002,-31.581500000000005,-4.28,-5.184
2023-05-23,-24.863999999999997,-30.904000000000003,-4.109999999999999,-5.1025
2023-05-24,-24.872,-30.333,-4.3,-5.039
2023-05-25,-24.604,-29.7305,-4.51,-5.012
2023-05-26,-23.054000000000002,-28.896000000000004,-4.446,-4.958
2023-05-30,-21.426,-28.029500000000002,-4.388,-4.905
2023-05-31,-19.55,-27.163,-4.220000000000001,-4.8285
2023-06-01,-16.774,-26.07,-3.716,-4.674
2023-06-02,-14.656,-24.845000000000002,-3.096,-4.4185
2023-06-05,-13.678,-23.797,-2.758,-4.250500000000001
2023-06-06,-12.953999999999999,-22.7805,-2.386,-4.0745
2023-06-07,-12.788,-21.924999999999997,-1.9760000000000002,-3.8950000000000005
2023-06-08,-12.706,-21.031,-1.6440000000000001,-3.7065000000000006
2023-06-09,-12.801999999999998,-20.112000000000002,-1.558,-3.5035000000000003
2023-06-12,-12.038,-18.933500000000002,-1.254,-3.2495
2023-06-13,-10.842,-17.7035,-0.86,-2.9785
2023-06-14,-8.34,-16.3855,-0.388,-2.6735
2023-06-15,-5.738,-15.022499999999999,0.22200000000000003,-2.3594999999999997
2023-06-16,-3.732,-13.948500000000001,0.7260000000000001,-2.1095
2023-06-20,-2.72,-12.872499999999999,0.958,-1.875
2023-06-21,-2.96,-12.0455,0.9520000000000002,-1.6705
2023-06-22,-2.984,-10.9155,1.004,-1.395
2023-06-23,-4.256,-9.868500000000001,0.652,-1.1215
2023-06-26,-5.884,-9.2685,0.292,-0.909
2023-06-27,-6.526000000000001,-8.7405,0.242,-0.7030000000000001
2023-06-28,-6.214,-8.242500000000001,0.30999999999999994,-0.496
2023-06-29,-6.651999999999999,-7.691,0.304,-0.26400000000000007
2023-06-30,-5.668,-7.0920000000000005,0.682,-0.022
2023-07-03,-3.806,-6.556,1.1720000000000002,0.158
2023-07-05,-2.848,-6.0329999999999995,1.4,0.3365
2023-07-06,-2.464,-5.62,1.456,0.46449999999999997
2023-07-07,-2.146,-5.0305,1.468,0.597
2023-07-10,-2.664,-4.5815,1.3,0.7140000000000001
2023-07-11,-3.0460000000000003,-4.117,1.23,0.8550000000000001
2023-07-12,-2.698,-3.6979999999999995,1.3619999999999999,0.9904999999999999
2023-07-13,-0.8919999999999998,-3.1325,1.8199999999999998,1.1345
2023-07-14,1.092,-2.6725000000000003,2.308,1.2710000000000001
2023-07-17,3.6439999999999997,-2.2359999999999998,2.812,1.3615
2023-07-18,6.44,-1.5740000000000003,3.344,1.5095
2023-07-19,8.52,-0.8879999999999999,3.7619999999999996,1.6915
2023-07-20,8.046000000000001,-0.38099999999999995,3.882,1.8669999999999998
2023-07-21,7.4079999999999995,-0.07449999999999997,4.0200000000000005,2.025
2023-07-24,6.268,0.39500000000000013,4.1739999999999995,2.242
2023-07-25,5.024,1.153,4.224,2.4925
2023-07-26,3.564,1.6345000000000003,4.234,2.6895
2023-07-27,3.482,2.043,4.26,2.8545000000000003
2023-07-28,4.694,2.762,4.454,3.0625
2023-07-31,5.87,3.2795,4.595999999999999,3.2205
2023-08-01,6.473999999999999,3.723,4.616,3.3534999999999995
2023-08-02,6.255999999999999,3.9105,4.406000000000001,3.441
2023-08-03,6.112,4.186999999999999,4.27,3.558
2023-08-04,4.65,4.461,3.886,3.6670000000000003
2023-08-07,3.504,4.8214999999999995,3.6100000000000003,3.7979999999999996
2023-08-08,2.158,5.024,3.342,3.8815
2023-08-09,1.394,4.9335,3.2060000000000004,3.9019999999999997
2023-08-10,0.7940000000000002,4.6085,3.1220000000000003,3.8835
2023-08-11,0.13399999999999998,4.221500000000001,3.104,3.8659999999999997
2023-08-14,-0.454,3.7969999999999997,3.024,3.851
2023-08-15,-1.094,3.1405,2.848,3.7574999999999994
2023-08-16,-1.7079999999999997,2.3765,2.666,3.6279999999999992
2023-08-17,-2.806,1.8954999999999997,2.366,3.5044999999999993
2023-08-18,-3.694,1.446,2.09,3.3835
2023-08-21,-4.4319999999999995,1.1219999999999999,1.8239999999999998,3.2634999999999996
2023-08-22,-4.816,0.6805,1.6780000000000002,3.1209999999999996
2023-08-23,-4.172,0.4425,1.7759999999999998,3.0134999999999996
2023-08-24,-3.9799999999999995,0.030000000000000027,1.8039999999999998,2.8905
2023-08-25,-3.4379999999999997,-0.587,1.908,2.747
2023-08-28,-3.194,-1.144,2.0100000000000002,2.617
2023-08-29,-2.064,-1.454,2.3440000000000003,2.553
2023-08-30,-1.302,-1.4469999999999998,2.59,2.5595
2023-08-31,0.46399999999999997,-1.382,3.0,2.573
2023-09-01,1.8719999999999999,-1.2814999999999999,3.336,2.6094999999999997
2023-09-05,3.032,-1.262,3.524,2.5955
2023-09-06,2.906,-1.267,3.4,2.5675
2023-09-07,2.146,-1.259,3.166,2.5495
2023-09-08,1.314,-1.252,2.974,2.5360000000000005
2023-09-11,1.194,-1.0165,2.896,2.5575
2023-09-12,0.3959999999999999,-1.0494999999999999,2.77,2.532
2023-09-13,0.2459999999999999,-0.9319999999999998,2.786,2.5520000000000005
2023-09-14,0.96,-0.592,3.028,2.6399999999999997
