Date,rate_OXY_5D,rate_VOO_20D,Max_Divergence
2022-05-23,75.75,-11.86,662.43
2022-05-24,74.2,-12.08,631.84
2022-05-25,75.33,-12.27,685.43
2022-05-26,77.86,-12.49,818.79
2022-05-27,81.96,-12.44,1037.67
2022-05-31,84.06,-12.45,952.14
2022-06-01,86.44,-12.5,922.36
2022-06-02,87.52,-12.61,1037.64
2022-06-03,87.82,-12.62,930.38
2022-06-06,86.65,-12.6,935.77
2022-06-07,86.7,-12.4,1032.98
2022-06-08,86.03,-12.26,915.24
2022-06-09,84.35,-12.15,716.34
2022-06-10,81.68,-12.17,594.57
2022-06-13,77.62,-12.44,461.2
2022-06-14,74.26,-12.7,487.12
2022-06-15,70.66,-13.0,487.31
2022-06-16,66.98,-13.26,393.24
2022-06-17,63.29,-13.47,382.42
2022-06-21,62.35,-13.6,442.8
2022-06-22,59.29,-13.81,411.13
2022-06-23,57.26,-13.94,431.04
2022-06-24,57.6,-13.99,511.98
2022-06-27,59.16,-14.14,525.88
2022-06-28,61.12,-14.48,523.81
2022-06-29,62.73,-14.81,476.6
2022-06-30,64.08,-15.16,459.62
2022-07-01,65.19,-15.52,501.6
2022-07-05,64.95,-15.8,484.26
2022-07-06,63.26,-16.08,491.29
2022-07-07,64.19,-16.34,566.62
2022-07-08,64.79,-16.56,550.27
2022-07-11,64.33,-16.72,503.26
2022-07-12,63.37,-16.79,448.9
2022-07-13,62.76,-16.72,451.58
2022-07-14,60.46,-16.66,434.55
2022-07-15,59.39,-16.57,493.73
2022-07-18,59.68,-16.39,499.75
2022-07-19,62.65,-16.1,617.44
2022-07-20,65.68,-15.89,652.76
2022-07-21,68.28,-15.62,656.49
2022-07-22,69.56,-15.43,605.03
2022-07-25,71.94,-15.37,677.19
2022-07-26,71.52,-15.34,591.37
2022-07-27,71.1,-15.11,696.19
2022-07-28,71.45,-14.82,751.32
2022-07-29,74.01,-14.42,923.87
2022-08-01,74.05,-14.1,887.96
2022-08-02,75.29,-13.8,851.13
2022-08-03,74.5,-13.46,845.94
2022-08-04,72.37,-13.19,763.51
2022-08-05,69.16,-12.92,787.86
2022-08-08,67.07,-12.6,805.55
2022-08-09,65.93,-12.26,833.68
2022-08-10,66.61,-11.84,957.5
2022-08-11,69.78,-11.41,1021.49
2022-08-12,72.34,-11.0,1158.4
2022-08-15,73.97,-10.54,1163.32
2022-08-16,74.39,-10.19,1158.22
2022-08-17,74.45,-9.88,1082.47
2022-08-18,74.14,-9.61,1157.67
2022-08-19,76.15,-9.34,1191.71
2022-08-22,77.86,-9.14,995.89
2022-08-23,81.57,-8.9,1072.71
2022-08-24,85.87,-8.76,1113.37
2022-08-25,89.32,-8.62,1210.08
2022-08-26,90.11,-8.66,973.17
2022-08-29,92.32,-8.71,969.88
2022-08-30,92.26,-8.77,896.06
2022-08-31,91.61,-8.91,858.21
2022-09-01,90.19,-9.02,849.04
2022-09-02,89.18,-9.16,815.53
2022-09-06,87.21,-9.3,790.63
2022-09-07,85.32,-9.36,846.97
2022-09-08,83.22,-9.46,866.28
2022-09-09,82.51,-9.5,996.28
2022-09-12,82.28,-9.55,1127.46
2022-09-13,81.64,-9.8,773.36
2022-09-14,82.47,-10.04,831.37
2022-09-15,82.61,-10.31,735.31
2022-09-16,81.95,-10.62,691.27
2022-09-19,80.88,-10.85,726.09
2022-09-20,80.33,-11.07,674.14
2022-09-21,78.0,-11.36,590.12
2022-09-22,76.31,-11.69,554.94
2022-09-23,73.3,-12.13,470.25
2022-09-26,69.7,-12.5,441.57
2022-09-27,66.67,-12.87,447.13
2022-09-28,66.04,-13.15,518.32
2022-09-29,66.22,-13.48,490.33
2022-09-30,67.71,-13.91,457.31
2022-10-03,70.67,-14.17,538.91
2022-10-04,74.42,-14.31,648.76
2022-10-05,77.45,-14.52,671.79
2022-10-06,81.59,-14.79,687.23
2022-10-07,85.71,-15.24,603.25
2022-10-10,86.55,-15.77,527.54
2022-10-11,85.39,-16.14,493.26
2022-10-12,83.97,-16.53,503.48
2022-10-13,82.64,-16.77,596.0
2022-10-14,80.96,-17.07,530.62
2022-10-17,81.9,-17.3,591.38
2022-10-18,83.94,-17.44,626.99
2022-10-19,85.77,-17.53,620.17
2022-10-20,86.23,-17.62,606.72
2022-10-21,88.74,-17.54,711.77
2022-10-24,90.63,-17.38,745.52
2022-10-25,92.44,-17.14,817.03
2022-10-26,94.66,-16.99,812.73
2022-10-27,96.31,-16.77,777.98
2022-10-28,96.63,-16.4,883.87
2022-10-31,97.6,-16.18,864.87
2022-11-01,98.58,-16.09,869.77
2022-11-02,97.34,-16.09,714.49
2022-11-03,97.02,-16.1,699.19
2022-11-04,97.31,-15.93,766.55
2022-11-07,98.63,-15.69,854.6
2022-11-08,99.18,-15.4,857.7
2022-11-09,97.48,-15.19,652.23
2022-11-10,96.58,-14.86,943.66
2022-11-11,97.15,-14.39,1116.93
2022-11-14,95.71,-14.06,1023.97
2022-11-15,95.51,-13.74,1121.89
2022-11-16,97.64,-13.43,994.17
2022-11-17,98.16,-13.09,961.95
2022-11-18,96.5,-12.84,988.66
2022-11-21,94.52,-12.64,921.76
2022-11-22,93.63,-12.46,1109.75
2022-11-23,93.19,-12.22,1121.78
2022-11-25,92.56,-11.96,1095.71
2022-11-28,90.93,-11.86,910.19
2022-11-29,90.67,-11.75,920.36
2022-11-30,88.9,-11.5,1210.16
2022-12-01,87.23,-11.13,1189.56
2022-12-02,85.71,-10.73,1151.96
2022-12-05,84.32,-10.46,925.69
2022-12-06,81.27,-10.29,773.51
2022-12-07,77.91,-10.16,758.4
2022-12-08,75.21,-9.91,795.98
2022-12-09,72.24,-9.91,728.32
2022-12-12,71.0,-9.89,848.28
2022-12-13,71.07,-9.8,910.04
2022-12-14,70.93,-9.78,847.16
2022-12-15,70.63,-9.83,695.8
2022-12-16,70.59,-9.92,634.3
2022-12-19,69.73,-10.07,602.83
2022-12-20,68.71,-10.22,591.84
2022-12-21,68.74,-10.36,670.79
2022-12-22,68.01,-10.59,582.8
2022-12-23,68.77,-10.79,643.67
2022-12-27,69.8,-10.94,637.87
2022-12-28,69.64,-11.14,558.1
2022-12-29,68.86,-11.39,614.07
2022-12-30,69.5,-11.67,619.46
2023-01-03,67.65,-11.94,568.92
2023-01-04,65.63,-12.1,592.3
2023-01-05,65.4,-12.25,580.22
2023-01-06,65.88,-12.29,693.02
2023-01-09,66.15,-12.37,697.37
2023-01-10,67.79,-12.39,732.2
2023-01-11,69.37,-12.41,799.6
2023-01-12,71.24,-12.45,868.21
2023-01-13,72.07,-12.45,883.85
2023-01-17,72.41,-12.34,856.71
2023-01-18,72.55,-12.26,750.27
2023-01-19,73.39,-12.16,744.14
2023-01-20,74.02,-11.98,879.32
2023-01-23,74.65,-11.8,960.4
2023-01-24,74.49,-11.57,890.04
2023-01-25,74.55,-11.36,895.34
2023-01-26,75.3,-11.09,1073.82
2023-01-27,75.1,-10.75,1087.56
2023-01-30,73.84,-10.54,890.82
2023-01-31,74.04,-10.26,1044.91
2023-02-01,73.18,-9.92,1133.44
2023-02-02,70.42,-9.55,1332.57
2023-02-03,67.32,-9.18,1090.66
2023-02-06,65.66,-8.93,1026.0
2023-02-07,65.24,-8.62,1324.56
2023-02-08,65.48,-8.39,1140.06
2023-02-09,65.86,-8.25,1019.03
2023-02-10,68.15,-8.12,1133.85
2023-02-13,69.83,-7.96,1244.17
2023-02-14,70.75,-7.79,1305.48
2023-02-15,70.2,-7.54,1204.53
2023-02-16,69.83,-7.31,1028.08
2023-02-17,67.26,-7.16,938.77
2023-02-21,64.67,-7.15,771.51
2023-02-22,60.52,-7.13,722.32
2023-02-23,58.59,-7.1,773.62
2023-02-24,56.74,-7.15,710.44
2023-02-27,55.81,-7.2,727.12
2023-02-28,55.15,-7.21,694.43
2023-03-01,55.57,-7.29,708.12
2023-03-02,55.86,-7.4,765.47
2023-03-03,56.78,-7.51,911.74
2023-03-06,57.94,-7.56,936.89
2023-03-07,58.87,-7.66,783.35
2023-03-08,60.12,-7.8,833.22
2023-03-09,60.27,-7.97,678.97
2023-03-10,59.55,-8.17,601.69
2023-03-13,58.24,-8.39,579.4
2023-03-14,57.9,-8.58,674.1
2023-03-15,55.12,-8.8,561.44
2023-03-16,54.33,-8.95,700.66
2023-03-17,53.62,-9.1,628.54
2023-03-20,53.53,-9.21,687.87
2023-03-21,53.56,-9.18,812.25
2023-03-22,54.53,-9.22,659.41
2023-03-23,54.24,-9.28,666.42
2023-03-24,54.08,-9.28,671.41
2023-03-27,54.43,-9.28,723.72
2023-03-28,55.46,-9.28,785.89
2023-03-29,57.24,-9.21,892.63
2023-03-30,59.25,-9.15,959.21
2023-03-31,61.47,-9.08,1145.79
2023-04-03,64.05,-8.99,1339.57
2023-04-04,65.11,-8.86,1218.75
2023-04-05,66.11,-8.75,1169.05
2023-04-06,66.19,-8.54,1165.71
2023-04-10,66.76,-8.27,1230.09
2023-04-11,66.34,-8.0,1244.35
2023-04-12,66.35,-7.81,1195.81
2023-04-13,66.45,-7.53,1454.69
2023-04-14,67.2,-7.34,1390.77
2023-04-17,66.6,-7.08,1394.06
2023-04-18,65.9,-6.86,1413.28
2023-04-19,64.67,-6.7,1382.19
2023-04-20,63.26,-6.49,1234.14
2023-04-21,61.91,-6.28,1239.25
2023-04-24,61.82,-6.09,1310.04
2023-04-25,60.95,-5.96,1017.26
2023-04-26,59.81,-5.84,929.06
2023-04-27,59.06,-5.71,1188.55
2023-04-28,58.88,-5.57,1404.82
2023-05-01,57.81,-5.49,1370.95
2023-05-02,56.9,-5.49,1091.62
2023-05-03,56.0,-5.49,950.49
2023-05-04,54.8,-5.51,860.36
2023-05-05,54.12,-5.47,1189.13
2023-05-08,52.99,-5.43,1111.35
2023-05-09,52.44,-5.42,1039.64
2023-05-10,51.35,-5.36,1007.45
2023-05-11,50.96,-5.37,1037.86
2023-05-12,49.63,-5.38,1024.49
2023-05-15,49.41,-5.39,1103.17
2023-05-16,48.99,-5.43,977.52
2023-05-17,50.05,-5.42,1231.14
2023-05-18,50.21,-5.33,1466.03
2023-05-19,50.74,-5.26,1471.58
2023-05-22,51.01,-5.18,1487.43
2023-05-23,51.8,-5.1,1215.42
2023-05-24,52.04,-5.04,1058.08
2023-05-25,52.33,-5.01,1191.49
2023-05-26,52.23,-4.96,1583.62
2023-05-30,52.0,-4.9,1570.72
2023-05-31,50.96,-4.83,1320.96
2023-06-01,50.1,-4.67,1722.07
2023-06-02,50.34,-4.42,3380.0
2023-06-05,50.36,-4.25,2990.5
2023-06-06,50.58,-4.07,3360.38
2023-06-07,51.59,-3.9,2894.24
2023-06-08,52.39,-3.71,4049.62
2023-06-09,52.2,-3.5,4504.27
2023-06-12,52.09,-3.25,19062.96
2023-06-13,51.75,-2.98,13092.11
2023-06-14,50.95,-2.67,10871.11
2023-06-15,50.29,-2.36,2762.79
2023-06-16,49.7,-2.11,3496.3
2023-06-20,48.7,-1.88,5091.01
2023-06-21,48.04,-1.67,13277.14
2023-06-22,47.04,-1.4,6152.11
2023-06-23,45.84,-1.12,108200.0
2023-06-26,45.38,-0.91,10377.78
2023-06-27,45.33,-0.7,7079.69
2023-06-28,45.32,-0.5,6681.16
2023-06-29,46.34,-0.26,7177.94
2023-06-30,47.74,-0.02,2614.05
2023-07-03,48.53,0.16,2410.5
2023-07-05,49.22,0.34,2675.28
2023-07-06,49.1,0.46,4660.82
2023-07-07,48.94,0.6,6481.08
2023-07-10,48.68,0.71,4743.56
2023-07-11,49.36,0.86,3148.48
2023-07-12,50.59,0.99,2176.23
2023-07-13,52.52,1.13,1612.88
2023-07-14,52.91,1.27,1492.45
2023-07-17,53.21,1.36,1328.05
2023-07-18,52.97,1.51,1116.01
2023-07-19,52.38,1.69,1061.59
2023-07-20,51.89,1.87,1282.64
2023-07-21,52.58,2.02,1297.42
2023-07-24,54.11,2.24,1250.7
2023-07-25,55.8,2.49,1234.21
2023-07-26,57.16,2.69,1197.38
2023-07-27,57.86,2.85,1325.81
2023-07-28,58.54,3.06,1087.4
2023-07-31,58.95,3.22,1100.2
2023-08-01,58.36,3.35,1142.49
2023-08-02,57.56,3.44,1470.25
2023-08-03,57.58,3.56,1621.75
2023-08-04,58.04,3.67,1946.23
2023-08-07,58.13,3.8,1568.32
2023-08-08,58.6,3.88,1715.96
2023-08-09,59.6,3.9,2019.3
2023-08-10,60.25,3.88,1984.78
2023-08-11,61.1,3.87,2161.84
2023-08-14,61.53,3.85,1841.49
2023-08-15,61.49,3.76,2361.89
2023-08-16,61.08,3.63,2908.76
2023-08-17,60.91,3.5,4174.1
2023-08-18,60.3,3.38,4103.45
2023-08-21,59.83,3.26,3077.37
2023-08-22,59.62,3.12,3350.29
2023-08-23,59.38,3.01,2252.67
2023-08-24,58.77,2.89,3584.97
2023-08-25,58.02,2.75,2803.55
2023-08-28,57.52,2.62,2301.24
2023-08-29,57.35,2.55,1620.12
2023-08-30,57.62,2.56,1499.18
2023-08-31,58.11,2.57,1542.46
2023-09-01,58.79,2.61,1560.0
2023-09-05,59.86,2.6,1788.06
2023-09-06,60.63,2.57,2146.38
2023-09-07,60.87,2.55,2298.8
2023-09-08,61.4,2.54,2244.27
2023-09-11,60.88,2.56,1679.45
2023-09-12,61.09,2.53,2263.24
2023-09-13,61.49,2.55,2153.87
2023-09-14,62.82,2.64,1694.05
2023-09-15,63.26,2.69,2495.92
2023-09-18,64.46,2.75,2400.39
2023-09-19,64.15,2.77,2559.32
2023-09-20,63.14,2.76,4051.41
2023-09-21,60.83,2.63,27505.0
2023-09-22,59.23,2.53,12740.91
2023-09-25,57.68,2.43,187700.0
2023-09-26,56.38,2.23,3900.68
2023-09-27,57.05,1.99,4365.75
2023-09-28,58.68,1.74,5097.62
2023-09-29,59.66,1.49,4161.07
2023-10-02,59.03,1.23,3713.61
2023-10-03,58.48,0.93,2031.77
2023-10-04,55.55,0.69,2400.48
2023-10-05,52.17,0.46,2244.65
2023-10-06,50.26,0.27,5142.57
2023-10-09,51.17,0.09,16127.78
2023-10-10,51.91,-0.04,40764.29
2023-10-11,53.52,-0.15,9841.07
2023-10-12,55.37,-0.34,184600.0
2023-10-13,56.82,-0.49,10674.55
2023-10-16,57.4,-0.59,12795.74
2023-10-17,58.16,-0.68,12608.33
2023-10-18,59.7,-0.8,7556.47
2023-10-19,61.29,-0.87,3866.67
2023-10-20,61.68,-0.99,2180.97
2023-10-23,60.43,-1.15,1876.47
2023-10-24,58.96,-1.19,2392.74
2023-10-25,57.38,-1.3,1599.19
2023-10-26,55.82,-1.48,1239.01
2023-10-27,54.37,-1.67,1102.08
2023-10-30,53.81,-1.81,1338.94
2023-10-31,53.45,-1.85,1545.13
2023-11-01,52.32,-1.87,2100.8
2023-11-02,52.11,-1.8,7874.29
2023-11-03,52.29,-1.74,28210.53
2023-11-06,52.13,-1.7,13257.89
2023-11-07,51.16,-1.67,7132.31
2023-11-08,51.06,-1.66,6654.79
2023-11-09,49.76,-1.66,479400.0
2023-11-10,48.78,-1.56,3117.11
2023-11-13,48.71,-1.51,3450.7
2023-11-14,49.45,-1.37,1418.26
2023-11-15,49.53,-1.15,1291.32
2023-11-16,49.39,-0.88,1173.85
2023-11-17,49.38,-0.54,1165.28
2023-11-20,49.15,-0.16,964.36
2023-11-21,48.68,0.18,1008.49
2023-11-22,48.14,0.6,877.34
2023-11-24,48.07,1.09,862.83
2023-11-27,47.54,1.59,884.86
2023-11-28,47.01,2.04,873.9
2023-11-29,46.81,2.45,902.33
2023-11-30,46.29,2.83,767.77
2023-12-01,45.48,3.15,662.28
2023-12-04,44.35,3.39,692.95
2023-12-05,42.84,3.63,670.08
2023-12-06,40.82,3.83,688.14
2023-12-07,39.34,4.07,585.19
2023-12-08,38.2,4.36,544.19
2023-12-11,37.82,4.59,530.56
2023-12-12,36.98,4.84,429.39
2023-12-13,37.34,5.07,392.17
2023-12-14,38.48,5.31,420.1
2023-12-15,39.49,5.52,423.82
2023-12-18,40.41,5.76,401.28
2023-12-19,42.71,5.99,406.88
2023-12-20,44.14,6.14,514.11
2023-12-21,44.95,6.32,459.45
2023-12-22,46.04,6.51,456.24
2023-12-26,47.24,6.72,450.22
2023-12-27,47.59,6.94,429.89
2023-12-28,47.5,7.15,400.88
2023-12-29,47.14,7.34,407.33
2024-01-02,46.61,7.47,451.35
2024-01-03,46.03,7.59,515.27
2024-01-04,44.94,7.7,491.29
2024-01-05,44.28,7.83,475.0
2024-01-08,43.42,8.0,359.89
2024-01-09,42.17,8.14,349.54
2024-01-10,40.34,8.3,303.04
2024-01-11,39.38,8.43,312.95
2024-01-12,38.95,8.5,335.54
2024-01-16,38.16,8.53,311.77
2024-01-17,37.56,8.55,324.7
2024-01-18,37.4,8.58,294.36
2024-01-19,37.06,8.64,250.48
2024-01-22,36.42,8.79,250.81
2024-01-23,36.47,8.91,241.55
2024-01-24,37.0,9.03,251.88
2024-01-25,37.74,9.15,250.66
2024-01-26,38.7,9.27,260.77
2024-01-29,39.41,9.42,236.48
2024-01-30,40.46,9.57,252.13
2024-01-31,40.58,9.69,273.4
2024-02-01,40.11,9.88,229.23
2024-02-02,39.32,10.14,198.63
2024-02-05,38.59,10.38,205.88
2024-02-06,37.81,10.55,210.36
2024-02-07,37.7,10.77,194.19
2024-02-08,38.05,10.97,200.61
2024-02-09,38.25,11.19,179.25
2024-02-12,38.75,11.41,189.93
2024-02-13,38.77,11.57,215.69
2024-02-14,38.62,11.81,187.2
2024-02-15,39.6,12.04,221.74
2024-02-16,41.06,12.18,241.72
2024-02-20,41.79,12.29,238.49
2024-02-21,43.16,12.39,252.77
2024-02-22,44.71,12.6,203.95
2024-02-23,44.67,12.77,194.8
2024-02-26,44.64,12.93,209.79
2024-02-27,45.14,13.07,207.77
2024-02-28,45.04,13.21,205.53
2024-02-29,45.08,13.44,202.99
2024-03-01,45.55,13.65,194.56
2024-03-04,45.49,13.82,186.73
2024-03-05,45.32,13.94,207.0
2024-03-06,45.56,14.08,203.23
2024-03-07,45.61,14.24,182.27
2024-03-08,45.34,14.36,190.62
2024-03-11,45.74,14.45,203.36
2024-03-12,46.01,14.6,179.09
2024-03-13,46.47,14.81,195.05
2024-03-14,47.2,14.96,206.57
2024-03-15,48.07,15.04,220.67
2024-03-18,48.87,15.18,217.05
2024-03-19,50.26,15.38,219.66
2024-03-20,51.09,15.6,201.27
2024-03-21,51.73,15.74,197.85
2024-03-22,52.28,15.85,203.47
2024-03-25,52.93,15.98,218.09
2024-03-26,52.66,16.07,207.99
2024-03-27,52.88,16.22,204.27
2024-03-28,53.36,16.34,213.55
2024-04-01,54.25,16.41,231.86
2024-04-02,55.17,16.45,256.95
2024-04-03,56.79,16.55,260.93
2024-04-04,58.02,16.56,289.29
2024-04-05,59.63,16.57,285.58
2024-04-08,60.65,16.61,277.76
2024-04-09,61.21,16.66,272.08
2024-04-10,61.75,16.61,303.03
2024-04-11,62.47,16.61,288.38
2024-04-12,62.37,16.54,323.18
2024-04-15,62.2,16.44,354.01
2024-04-16,61.5,16.3,338.24
2024-04-17,60.3,16.1,348.1
2024-04-18,58.98,15.85,357.69
2024-04-19,58.0,15.54,404.28
2024-04-22,57.47,15.29,372.29
2024-04-23,57.71,15.13,330.72
2024-04-24,58.25,14.97,332.29
2024-04-25,59.01,14.76,356.31
2024-04-26,59.5,14.6,319.53
2024-04-29,60.03,14.48,315.0
2024-04-30,59.58,14.3,341.11
2024-05-01,58.33,14.09,327.91
2024-05-02,56.91,13.99,298.28
2024-05-03,55.43,13.91,257.83
2024-05-06,54.0,13.88,239.92
2024-05-07,53.41,13.86,237.22
2024-05-08,53.05,13.89,218.5
2024-05-09,52.86,13.91,213.23
2024-05-10,52.48,14.01,201.96
2024-05-13,51.57,14.18,193.59
2024-05-14,50.72,14.39,186.26
2024-05-15,50.6,14.7,168.63
2024-05-16,50.01,15.01,165.66
2024-05-17,49.95,15.37,169.72
2024-05-20,50.25,15.7,170.06
2024-05-21,50.38,15.97,162.9
2024-05-22,50.05,16.23,159.34
2024-05-23,49.62,16.46,162.88
2024-05-24,48.94,16.69,151.65
2024-05-28,48.31,16.89,153.5
2024-05-29,47.28,17.15,151.19
2024-05-30,46.61,17.39,163.77
2024-05-31,46.86,17.64,165.55
2024-06-03,46.07,17.8,139.38
2024-06-04,44.85,17.92,128.92
2024-06-05,44.11,18.1,112.19
2024-06-06,43.44,18.27,115.27
2024-06-07,41.9,18.41,109.78
2024-06-10,41.86,18.56,117.47
2024-06-11,42.19,18.72,116.04
2024-06-12,42.4,18.9,102.52
2024-06-13,42.27,19.03,94.92
2024-06-14,42.43,19.17,94.48
2024-06-17,42.3,19.34,90.05
2024-06-18,42.61,19.53,98.37
2024-06-20,43.62,19.69,113.76
2024-06-21,44.14,19.85,100.14
2024-06-24,45.74,20.04,128.31
2024-06-25,47.11,20.2,122.4
2024-06-26,47.87,20.37,118.78
2024-06-27,47.98,20.59,115.3
2024-06-28,48.97,20.81,126.55
2024-07-01,48.64,20.98,122.47
2024-07-02,48.13,21.18,110.88
2024-07-03,47.72,21.4,106.42
2024-07-05,47.14,21.58,95.94
2024-07-08,46.01,21.76,86.75
2024-07-09,45.14,21.96,86.64
2024-07-10,44.7,22.18,83.16
2024-07-11,44.31,22.35,90.45
2024-07-12,44.03,22.5,82.95
2024-07-15,44.52,22.65,88.5
2024-07-16,45.04,22.82,86.66
2024-07-17,45.86,22.89,104.38
2024-07-18,46.91,22.92,114.7
2024-07-19,47.82,22.95,112.76
2024-07-22,47.45,23.02,87.32
2024-07-23,46.64,23.1,80.47
