Date,rate_PYPL_5D,rate_VOO_20D,Max_Divergence
2022-07-06,-53.78,-16.08,-231.17
2022-07-07,-53.05,-16.34,-250.44
2022-07-08,-52.31,-16.56,-256.26
2022-07-11,-52.44,-16.72,-246.93
2022-07-12,-52.82,-16.79,-227.13
2022-07-13,-53.06,-16.72,-220.16
2022-07-14,-53.77,-16.66,-222.9
2022-07-15,-53.7,-16.57,-236.68
2022-07-18,-53.23,-16.39,-221.62
2022-07-19,-52.42,-16.1,-255.99
2022-07-20,-51.28,-15.89,-258.06
2022-07-21,-49.58,-15.62,-269.48
2022-07-22,-48.66,-15.43,-256.31
2022-07-25,-47.7,-15.37,-255.59
2022-07-26,-47.79,-15.34,-251.16
2022-07-27,-46.99,-15.11,-264.62
2022-07-28,-46.59,-14.82,-303.73
2022-07-29,-45.89,-14.42,-352.06
2022-08-01,-44.77,-14.1,-327.06
2022-08-02,-42.96,-13.8,-303.84
2022-08-03,-41.56,-13.46,-305.48
2022-08-04,-40.17,-13.19,-307.73
2022-08-05,-39.03,-12.92,-310.74
2022-08-08,-38.28,-12.6,-303.2
2022-08-09,-37.8,-12.26,-300.94
2022-08-10,-37.73,-11.84,-339.5
2022-08-11,-37.54,-11.41,-338.42
2022-08-12,-37.02,-11.0,-390.77
2022-08-15,-36.56,-10.54,-407.88
2022-08-16,-35.88,-10.19,-412.52
2022-08-17,-35.83,-9.88,-397.95
2022-08-18,-35.76,-9.61,-408.58
2022-08-19,-36.15,-9.34,-371.98
2022-08-22,-36.83,-9.14,-320.35
2022-08-23,-37.58,-8.9,-315.78
2022-08-24,-38.07,-8.76,-321.3
2022-08-25,-38.33,-8.62,-349.94
2022-08-26,-38.66,-8.66,-277.12
2022-08-29,-38.74,-8.71,-263.67
2022-08-30,-38.86,-8.77,-246.85
2022-08-31,-38.89,-8.91,-227.72
2022-09-01,-39.04,-9.02,-235.35
2022-09-02,-38.97,-9.16,-224.54
2022-09-06,-38.86,-9.3,-217.83
2022-09-07,-38.31,-9.36,-238.07
2022-09-08,-37.75,-9.46,-248.07
2022-09-09,-37.33,-9.5,-295.29
2022-09-12,-36.6,-9.55,-328.07
2022-09-13,-36.24,-9.8,-207.24
2022-09-14,-35.92,-10.04,-201.11
2022-09-15,-35.89,-10.31,-185.19
2022-09-16,-36.18,-10.62,-182.61
2022-09-19,-36.51,-10.85,-191.54
2022-09-20,-36.95,-11.07,-187.22
2022-09-21,-37.78,-11.36,-161.14
2022-09-22,-38.91,-11.69,-164.01
2022-09-23,-39.82,-12.13,-145.62
2022-09-26,-41.22,-12.5,-144.75
2022-09-27,-41.98,-12.87,-136.38
2022-09-28,-41.97,-13.15,-132.68
2022-09-29,-41.83,-13.48,-119.92
2022-09-30,-41.95,-13.91,-115.07
2022-10-03,-41.35,-14.17,-136.14
2022-10-04,-40.22,-14.31,-149.9
2022-10-05,-39.65,-14.52,-143.05
2022-10-06,-38.69,-14.79,-127.3
2022-10-07,-37.94,-15.24,-114.14
2022-10-10,-38.29,-15.77,-127.22
2022-10-11,-39.57,-16.14,-125.91
2022-10-12,-40.89,-16.53,-120.68
2022-10-13,-42.25,-16.77,-145.82
2022-10-14,-43.54,-17.07,-134.97
2022-10-17,-43.52,-17.3,-146.1
2022-10-18,-43.22,-17.44,-157.83
2022-10-19,-43.14,-17.53,-152.4
2022-10-20,-43.04,-17.62,-141.72
2022-10-21,-42.57,-17.54,-175.37
2022-10-24,-42.75,-17.38,-196.99
2022-10-25,-42.22,-17.14,-197.36
2022-10-26,-41.67,-16.99,-187.27
2022-10-27,-41.32,-16.77,-183.9
2022-10-28,-41.01,-16.4,-234.52
2022-10-31,-40.98,-16.18,-233.44
2022-11-01,-41.59,-16.09,-227.15
2022-11-02,-42.59,-16.09,-197.35
2022-11-03,-43.81,-16.1,-193.3
2022-11-04,-45.06,-15.93,-222.57
2022-11-07,-45.63,-15.69,-228.65
2022-11-08,-45.88,-15.4,-222.55
2022-11-09,-45.98,-15.19,-197.25
2022-11-10,-44.6,-14.86,-269.66
2022-11-11,-42.47,-14.39,-271.84
2022-11-14,-40.88,-14.06,-257.12
2022-11-15,-39.71,-13.74,-280.52
2022-11-16,-38.58,-13.43,-274.51
2022-11-17,-38.74,-13.09,-274.63
2022-11-18,-39.57,-12.84,-293.23
2022-11-21,-40.78,-12.64,-308.98
2022-11-22,-42.13,-12.46,-363.28
2022-11-23,-42.99,-12.22,-385.04
2022-11-25,-43.74,-11.96,-389.45
2022-11-28,-44.42,-11.86,-325.24
2022-11-29,-44.83,-11.75,-333.58
2022-11-30,-45.04,-11.5,-473.27
2022-12-01,-45.13,-11.13,-473.84
2022-12-02,-45.64,-10.73,-497.34
2022-12-05,-46.28,-10.46,-405.6
2022-12-06,-46.79,-10.29,-355.04
2022-12-07,-47.11,-10.16,-334.16
2022-12-08,-47.69,-9.91,-364.35
2022-12-09,-47.83,-9.91,-341.51
2022-12-12,-47.81,-9.89,-396.36
2022-12-13,-47.6,-9.8,-433.15
2022-12-14,-47.85,-9.78,-410.74
2022-12-15,-48.47,-9.83,-332.45
2022-12-16,-49.07,-9.92,-300.24
2022-12-19,-49.75,-10.07,-280.06
2022-12-20,-50.44,-10.22,-273.32
2022-12-21,-50.92,-10.36,-308.51
2022-12-22,-51.08,-10.59,-275.92
2022-12-23,-51.12,-10.79,-286.88
2022-12-27,-51.2,-10.94,-281.07
2022-12-28,-51.37,-11.14,-257.55
2022-12-29,-51.18,-11.39,-281.96
2022-12-30,-50.81,-11.67,-271.83
2023-01-03,-49.82,-11.94,-245.72
2023-01-04,-48.28,-12.1,-244.81
2023-01-05,-46.85,-12.25,-228.72
2023-01-06,-45.8,-12.29,-280.92
2023-01-09,-44.76,-12.37,-275.34
2023-01-10,-44.29,-12.39,-290.79
2023-01-11,-44.16,-12.41,-328.97
2023-01-12,-43.66,-12.45,-334.46
2023-01-13,-43.23,-12.45,-352.39
2023-01-17,-42.79,-12.34,-340.99
2023-01-18,-42.87,-12.26,-301.91
2023-01-19,-43.13,-12.16,-283.88
2023-01-20,-43.23,-11.98,-328.07
2023-01-23,-43.23,-11.8,-376.06
2023-01-24,-43.31,-11.57,-370.13
2023-01-25,-43.06,-11.36,-375.47
2023-01-26,-42.47,-11.09,-416.38
2023-01-27,-42.08,-10.75,-424.23
2023-01-30,-42.06,-10.54,-375.48
2023-01-31,-41.79,-10.26,-436.95
2023-02-01,-41.06,-9.92,-501.23
2023-02-02,-40.01,-9.55,-592.57
2023-02-03,-39.3,-9.18,-501.77
2023-02-06,-38.73,-8.93,-488.56
2023-02-07,-38.3,-8.62,-578.75
2023-02-08,-38.75,-8.39,-529.29
2023-02-09,-39.96,-8.25,-484.83
2023-02-10,-40.63,-8.12,-476.49
2023-02-13,-41.04,-7.96,-574.27
2023-02-14,-41.9,-7.79,-596.46
2023-02-15,-42.16,-7.54,-617.79
2023-02-16,-42.41,-7.31,-525.21
2023-02-17,-43.3,-7.16,-529.57
2023-02-21,-43.91,-7.15,-420.0
2023-02-22,-44.16,-7.13,-412.54
2023-02-23,-44.56,-7.1,-436.57
2023-02-24,-45.02,-7.15,-404.84
2023-02-27,-45.15,-7.2,-417.29
2023-02-28,-45.38,-7.21,-401.2
2023-03-01,-45.42,-7.29,-384.09
2023-03-02,-45.38,-7.4,-414.2
2023-03-03,-44.78,-7.51,-479.89
2023-03-06,-44.15,-7.56,-482.24
2023-03-07,-43.77,-7.66,-408.55
2023-03-08,-43.48,-7.8,-408.33
2023-03-09,-43.23,-7.97,-328.97
2023-03-10,-43.64,-8.17,-299.82
2023-03-13,-44.25,-8.39,-300.18
2023-03-14,-44.49,-8.58,-352.0
2023-03-15,-44.77,-8.8,-324.5
2023-03-16,-45.0,-8.95,-389.85
2023-03-17,-45.06,-9.1,-352.89
2023-03-20,-44.98,-9.21,-389.92
2023-03-21,-44.46,-9.18,-427.48
2023-03-22,-44.4,-9.22,-364.23
2023-03-23,-44.66,-9.28,-388.77
2023-03-24,-44.53,-9.28,-389.81
2023-03-27,-44.51,-9.28,-402.78
2023-03-28,-45.11,-9.28,-398.91
2023-03-29,-45.13,-9.21,-465.44
2023-03-30,-44.86,-9.15,-504.91
2023-03-31,-44.56,-9.08,-613.88
2023-04-03,-44.07,-8.99,-668.35
2023-04-04,-43.5,-8.86,-603.12
2023-04-05,-43.39,-8.75,-597.94
2023-04-06,-43.12,-8.54,-622.18
2023-04-10,-43.14,-8.27,-640.17
2023-04-11,-43.4,-8.0,-653.42
2023-04-12,-43.66,-7.81,-609.5
2023-04-13,-43.38,-7.53,-749.3
2023-04-14,-43.14,-7.34,-703.65
2023-04-17,-42.72,-7.08,-744.06
2023-04-18,-42.29,-6.86,-768.67
2023-04-19,-42.02,-6.7,-784.06
2023-04-20,-42.31,-6.49,-721.08
2023-04-21,-42.67,-6.28,-721.89
2023-04-24,-43.12,-6.09,-739.38
2023-04-25,-43.82,-5.96,-605.6
2023-04-26,-44.32,-5.84,-566.08
2023-04-27,-44.21,-5.71,-729.96
2023-04-28,-43.94,-5.57,-825.0
2023-05-01,-43.63,-5.49,-830.16
2023-05-02,-43.37,-5.49,-702.91
2023-05-03,-43.29,-5.49,-635.69
2023-05-04,-43.48,-5.51,-562.3
2023-05-05,-43.45,-5.47,-716.5
2023-05-08,-43.39,-5.43,-714.87
2023-05-09,-44.37,-5.42,-790.55
2023-05-10,-45.6,-5.36,-898.24
2023-05-11,-46.78,-5.37,-861.76
2023-05-12,-48.81,-5.38,-875.7
2023-05-15,-50.83,-5.39,-927.18
2023-05-16,-51.61,-5.43,-836.11
2023-05-17,-51.91,-5.42,-1048.68
2023-05-18,-52.35,-5.33,-1339.18
2023-05-19,-52.47,-5.26,-1289.21
2023-05-22,-52.35,-5.18,-1268.45
2023-05-23,-52.17,-5.1,-982.71
2023-05-24,-52.12,-5.04,-845.92
2023-05-25,-52.41,-5.01,-1048.72
2023-05-26,-52.52,-4.96,-1432.76
2023-05-30,-52.67,-4.9,-1405.22
2023-05-31,-52.67,-4.83,-1212.63
2023-06-01,-52.27,-4.67,-1575.25
2023-06-02,-51.35,-4.42,-2986.88
2023-06-05,-50.47,-4.25,-2635.2
2023-06-06,-49.8,-4.07,-2954.09
2023-06-07,-49.27,-3.9,-2482.72
2023-06-08,-49.08,-3.71,-3596.99
2023-06-09,-49.16,-3.5,-4152.99
2023-06-12,-49.28,-3.25,-18259.26
2023-06-13,-49.51,-2.98,-13181.58
2023-06-14,-49.58,-2.67,-11140.0
2023-06-15,-49.33,-2.36,-2885.47
2023-06-16,-48.86,-2.11,-3614.81
2023-06-20,-48.05,-1.88,-5214.61
2023-06-21,-47.33,-1.67,-13262.86
2023-06-22,-46.54,-1.4,-6546.48
2023-06-23,-46.37,-1.12,-117525.0
2023-06-26,-46.37,-0.91,-10442.22
2023-06-27,-46.79,-0.7,-7539.06
2023-06-28,-47.13,-0.5,-7023.19
2023-06-29,-47.55,-0.26,-7144.12
2023-06-30,-47.59,-0.02,-2652.43
2023-07-03,-47.14,0.16,-2360.0
2023-07-05,-46.54,0.34,-2606.18
2023-07-06,-46.33,0.46,-4918.56
2023-07-07,-46.0,0.6,-6347.3
2023-07-10,-45.41,0.71,-4483.17
2023-07-11,-45.01,0.86,-2718.79
2023-07-12,-44.74,0.99,-1871.72
2023-07-13,-43.75,1.13,-1382.21
2023-07-14,-42.91,1.27,-1421.7
2023-07-17,-42.24,1.36,-1259.49
2023-07-18,-41.64,1.51,-1033.41
2023-07-19,-41.07,1.69,-990.73
2023-07-20,-40.97,1.87,-1169.95
2023-07-21,-40.83,2.02,-1167.96
2023-07-24,-40.8,2.24,-1048.14
2023-07-25,-41.0,2.49,-1004.82
2023-07-26,-41.12,2.69,-993.89
2023-07-27,-41.24,2.85,-1150.13
2023-07-28,-41.09,3.06,-938.22
2023-07-31,-40.8,3.22,-884.83
2023-08-01,-40.29,3.35,-930.9
2023-08-02,-40.14,3.44,-1237.96
2023-08-03,-40.92,3.56,-1483.99
2023-08-04,-42.14,3.67,-1699.32
2023-08-07,-43.41,3.8,-1357.85
2023-08-08,-44.94,3.88,-1496.69
2023-08-09,-46.32,3.9,-1750.53
2023-08-10,-46.47,3.88,-1712.46
2023-08-11,-46.6,3.87,-1772.08
2023-08-14,-46.73,3.85,-1534.06
2023-08-15,-47.15,3.76,-2086.89
2023-08-16,-47.42,3.63,-2592.78
2023-08-17,-47.89,3.5,-3623.02
2023-08-18,-48.13,3.38,-3444.83
2023-08-21,-48.55,3.26,-2650.0
2023-08-22,-48.38,3.12,-2884.21
2023-08-23,-48.14,3.01,-2040.74
2023-08-24,-47.9,2.89,-3221.57
2023-08-25,-47.69,2.75,-2510.66
2023-08-28,-47.45,2.62,-2058.92
2023-08-29,-47.27,2.55,-1482.84
2023-08-30,-47.08,2.56,-1362.57
2023-08-31,-46.88,2.57,-1405.31
2023-09-01,-46.42,2.61,-1338.9
2023-09-05,-46.01,2.6,-1447.16
2023-09-06,-45.82,2.57,-1759.06
2023-09-07,-45.91,2.55,-1975.5
2023-09-08,-46.02,2.54,-1903.44
2023-09-11,-46.27,2.56,-1525.46
2023-09-12,-46.39,2.53,-1781.25
2023-09-13,-46.37,2.55,-1709.15
2023-09-14,-45.9,2.64,-1298.65
2023-09-15,-45.36,2.69,-1918.37
2023-09-18,-45.19,2.75,-1882.03
2023-09-19,-45.3,2.77,-2060.17
2023-09-20,-45.63,2.76,-3437.32
2023-09-21,-46.62,2.63,-24550.0
2023-09-22,-47.7,2.53,-11247.73
2023-09-25,-48.4,2.43,-163566.67
2023-09-26,-48.95,2.23,-3213.51
2023-09-27,-49.55,1.99,-3352.05
2023-09-28,-49.63,1.74,-3842.86
2023-09-29,-49.53,1.49,-3218.12
2023-10-02,-49.39,1.23,-3192.52
2023-10-03,-49.48,0.93,-1686.64
2023-10-04,-49.08,0.69,-2238.16
2023-10-05,-49.01,0.46,-2194.42
2023-10-06,-48.94,0.27,-4759.41
2023-10-09,-49.04,0.09,-13488.89
2023-10-10,-48.97,-0.04,-35192.86
2023-10-11,-49.06,-0.15,-8817.86
2023-10-12,-49.25,-0.34,-167600.0
2023-10-13,-49.6,-0.49,-9143.64
2023-10-16,-49.77,-0.59,-10685.11
2023-10-17,-49.87,-0.68,-10435.42
2023-10-18,-50.26,-0.8,-5876.47
2023-10-19,-50.53,-0.87,-2975.6
2023-10-20,-50.95,-0.99,-1730.8
2023-10-23,-51.57,-1.15,-1627.45
2023-10-24,-52.08,-1.19,-2129.06
2023-10-25,-52.83,-1.3,-1374.86
2023-10-26,-53.37,-1.48,-1016.02
2023-10-27,-53.9,-1.67,-951.89
2023-10-30,-54.32,-1.81,-1221.15
2023-10-31,-54.74,-1.85,-1412.53
2023-11-01,-54.51,-1.87,-2044.58
2023-11-02,-53.73,-1.8,-7108.57
2023-11-03,-52.54,-1.74,-26189.47
2023-11-06,-51.71,-1.7,-13478.95
2023-11-07,-51.02,-1.67,-7921.54
2023-11-08,-50.43,-1.66,-7009.59
2023-11-09,-50.57,-1.66,-511300.0
2023-11-10,-50.79,-1.56,-3436.18
2023-11-13,-50.84,-1.51,-3695.07
2023-11-14,-50.47,-1.37,-1567.37
2023-11-15,-49.9,-1.15,-1433.61
2023-11-16,-49.45,-0.88,-1417.79
2023-11-17,-49.14,-0.54,-1372.8
2023-11-20,-48.67,-0.16,-1152.48
2023-11-21,-48.9,0.18,-1250.46
2023-11-22,-49.25,0.6,-1125.36
2023-11-24,-49.43,1.09,-1123.2
2023-11-27,-49.46,1.59,-1150.53
2023-11-28,-49.2,2.04,-1089.77
2023-11-29,-48.74,2.45,-1113.77
2023-11-30,-48.51,2.83,-1041.02
2023-12-01,-47.64,3.15,-909.43
2023-12-04,-46.85,3.39,-986.69
2023-12-05,-46.77,3.63,-1025.98
2023-12-06,-46.32,3.83,-1066.1
2023-12-07,-46.0,4.07,-961.85
2023-12-08,-46.12,4.36,-899.48
2023-12-11,-46.27,4.59,-852.29
2023-12-12,-46.1,4.84,-799.7
2023-12-13,-45.7,5.07,-650.63
2023-12-14,-45.09,5.31,-629.6
2023-12-15,-44.67,5.52,-646.28
2023-12-18,-44.23,5.76,-608.58
2023-12-19,-43.52,5.99,-565.61
2023-12-20,-43.53,6.14,-680.96
2023-12-21,-43.51,6.32,-619.02
2023-12-22,-43.41,6.51,-608.28
2023-12-26,-43.25,6.72,-580.98
2023-12-27,-43.3,6.94,-571.54
2023-12-28,-43.09,7.15,-567.62
2023-12-29,-43.19,7.34,-594.81
2024-01-02,-43.09,7.47,-627.57
2024-01-03,-43.58,7.59,-703.32
2024-01-04,-44.11,7.7,-730.57
2024-01-05,-44.41,7.83,-698.91
2024-01-08,-44.15,8.0,-581.36
2024-01-09,-44.19,8.14,-601.51
2024-01-10,-43.76,8.3,-569.85
2024-01-11,-43.24,8.43,-567.46
2024-01-12,-43.08,8.5,-568.91
2024-01-16,-43.68,8.53,-611.55
2024-01-17,-43.9,8.55,-626.13
2024-01-18,-43.69,8.58,-558.46
2024-01-19,-42.86,8.64,-475.63
2024-01-22,-42.36,8.79,-486.26
2024-01-23,-41.19,8.91,-467.41
2024-01-24,-40.61,9.03,-479.65
2024-01-25,-40.87,9.15,-481.01
2024-01-26,-41.61,9.27,-474.32
2024-01-29,-41.61,9.42,-437.81
2024-01-30,-41.82,9.57,-440.37
2024-01-31,-42.13,9.69,-511.2
2024-02-01,-41.73,9.88,-462.91
2024-02-02,-41.47,10.14,-432.23
2024-02-05,-41.73,10.38,-448.22
2024-02-06,-41.57,10.55,-424.05
2024-02-07,-41.07,10.77,-409.56
2024-02-08,-42.15,10.97,-458.11
2024-02-09,-42.8,11.19,-425.95
2024-02-12,-43.07,11.41,-418.9
2024-02-13,-44.08,11.57,-470.34
2024-02-14,-44.88,11.81,-439.18
2024-02-15,-44.23,12.04,-416.88
2024-02-16,-44.18,12.18,-433.21
2024-02-20,-44.46,12.29,-451.37
2024-02-21,-44.6,12.39,-456.98
2024-02-22,-44.7,12.6,-401.14
2024-02-23,-44.8,12.77,-395.06
2024-02-26,-44.77,12.93,-401.71
2024-02-27,-44.48,13.07,-392.37
2024-02-28,-43.96,13.21,-394.95
2024-02-29,-43.59,13.44,-386.58
2024-03-01,-43.18,13.65,-366.86
2024-03-04,-42.91,13.82,-372.32
2024-03-05,-43.11,13.94,-404.12
2024-03-06,-43.36,14.08,-393.4
2024-03-07,-43.55,14.24,-371.49
2024-03-08,-43.83,14.36,-380.09
2024-03-11,-43.81,14.45,-375.26
2024-03-12,-43.48,14.6,-358.55
2024-03-13,-42.67,14.81,-346.91
2024-03-14,-41.82,14.96,-346.9
2024-03-15,-41.1,15.04,-358.4
2024-03-18,-40.31,15.18,-340.76
2024-03-19,-39.75,15.38,-340.35
2024-03-20,-39.26,15.6,-318.18
2024-03-21,-38.67,15.74,-308.48
2024-03-22,-38.3,15.85,-321.08
2024-03-25,-37.97,15.98,-317.32
2024-03-26,-37.27,16.07,-316.81
2024-03-27,-36.98,16.22,-307.57
2024-03-28,-36.82,16.34,-305.41
2024-04-01,-36.64,16.41,-317.5
2024-04-02,-36.77,16.45,-328.48
2024-04-03,-36.89,16.55,-323.37
2024-04-04,-37.14,16.56,-346.57
2024-04-05,-37.36,16.57,-327.06
2024-04-08,-37.12,16.61,-319.62
2024-04-09,-36.69,16.66,-314.5
2024-04-10,-36.57,16.61,-334.9
2024-04-11,-36.32,16.61,-324.22
2024-04-12,-36.38,16.54,-353.11
2024-04-15,-36.84,16.44,-384.84
2024-04-16,-37.42,16.3,-389.67
2024-04-17,-37.85,16.1,-406.11
2024-04-18,-38.48,15.85,-420.39
2024-04-19,-38.87,15.54,-444.19
2024-04-22,-38.92,15.29,-412.04
2024-04-23,-38.74,15.13,-372.19
2024-04-24,-38.44,14.97,-370.93
2024-04-25,-38.08,14.76,-385.56
2024-04-26,-37.41,14.6,-351.39
2024-04-29,-36.7,14.48,-338.22
2024-04-30,-36.04,14.3,-364.37
2024-05-01,-35.68,14.09,-385.52
2024-05-02,-35.03,13.99,-357.92
2024-05-03,-34.96,13.91,-342.03
2024-05-06,-35.1,13.88,-325.38
2024-05-07,-35.36,13.86,-321.26
2024-05-08,-35.8,13.89,-333.64
2024-05-09,-36.27,13.91,-320.9
2024-05-10,-36.8,14.01,-327.54
2024-05-13,-37.12,14.18,-321.78
2024-05-14,-37.37,14.39,-311.26
2024-05-15,-37.36,14.7,-298.94
2024-05-16,-37.42,15.01,-300.32
2024-05-17,-37.13,15.37,-296.48
2024-05-20,-36.97,15.7,-293.85
2024-05-21,-37.06,15.97,-294.01
2024-05-22,-37.39,16.23,-307.43
2024-05-23,-37.89,16.46,-320.81
2024-05-24,-38.44,16.69,-311.19
2024-05-28,-38.94,16.89,-307.32
2024-05-29,-39.53,17.15,-322.91
2024-05-30,-39.47,17.39,-324.75
2024-05-31,-39.2,17.64,-309.8
2024-06-03,-38.72,17.8,-305.86
2024-06-04,-38.37,17.92,-304.99
2024-06-05,-37.76,18.1,-289.54
2024-06-06,-36.76,18.27,-272.42
2024-06-07,-35.79,18.41,-272.36
2024-06-10,-35.09,18.56,-270.12
2024-06-11,-34.81,18.72,-279.13
2024-06-12,-34.84,18.9,-277.02
2024-06-13,-35.91,19.03,-283.88
2024-06-14,-37.22,19.17,-287.18
2024-06-17,-38.58,19.34,-281.5
2024-06-18,-39.69,19.53,-283.35
2024-06-20,-40.4,19.69,-283.06
2024-06-21,-40.58,19.85,-281.67
2024-06-24,-40.81,20.04,-289.41
2024-06-25,-40.97,20.2,-286.54
2024-06-26,-41.13,20.37,-290.25
2024-06-27,-41.42,20.59,-288.45
2024-06-28,-41.92,20.81,-296.58
2024-07-01,-42.12,20.98,-295.45
2024-07-02,-42.05,21.18,-284.88
2024-07-03,-41.63,21.4,-278.43
2024-07-05,-41.22,21.58,-273.49
2024-07-08,-40.87,21.76,-275.66
2024-07-09,-40.64,21.96,-275.29
2024-07-10,-40.65,22.18,-268.88
2024-07-11,-40.58,22.35,-270.32
2024-07-12,-40.48,22.5,-264.95
