Date,rate_FSLR_5D,rate_VOO_20D,Max_Divergence
2022-11-30,74.27,-11.5,1075.91
2022-12-01,73.67,-11.13,1035.57
2022-12-02,72.66,-10.73,1017.87
2022-12-05,72.57,-10.46,855.18
2022-12-06,71.58,-10.29,693.84
2022-12-07,68.32,-10.16,664.46
2022-12-08,65.77,-9.91,686.09
2022-12-09,62.97,-9.91,639.02
2022-12-12,60.26,-9.89,702.39
2022-12-13,60.36,-9.8,816.18
2022-12-14,61.46,-9.78,804.74
2022-12-15,62.75,-9.83,667.89
2022-12-16,63.53,-9.92,590.32
2022-12-19,64.73,-10.07,575.37
2022-12-20,64.64,-10.22,564.36
2022-12-21,65.07,-10.36,654.49
2022-12-22,64.6,-10.59,568.52
2022-12-23,64.91,-10.79,584.23
2022-12-27,63.62,-10.94,524.85
2022-12-28,61.57,-11.14,467.17
2022-12-29,58.96,-11.39,528.36
2022-12-30,57.56,-11.67,528.4
2023-01-03,55.19,-11.94,490.39
2023-01-04,54.27,-12.1,515.41
2023-01-05,53.88,-12.25,477.22
2023-01-06,55.3,-12.29,637.82
2023-01-09,57.01,-12.37,655.85
2023-01-10,62.18,-12.39,796.33
2023-01-11,67.47,-12.41,886.71
2023-01-12,74.37,-12.45,981.85
2023-01-13,79.22,-12.45,1028.37
2023-01-17,83.03,-12.34,987.63
2023-01-18,84.39,-12.26,870.95
2023-01-19,82.86,-12.16,717.59
2023-01-20,80.59,-11.98,845.25
2023-01-23,79.76,-11.8,1031.1
2023-01-24,78.64,-11.57,974.78
2023-01-25,76.96,-11.36,946.06
2023-01-26,79.14,-11.09,1124.19
2023-01-27,81.42,-10.75,1202.69
2023-01-30,80.46,-10.54,978.5
2023-01-31,81.65,-10.26,1209.66
2023-02-01,83.5,-9.92,1410.89
2023-02-02,81.92,-9.55,1522.48
2023-02-03,79.57,-9.18,1295.33
2023-02-06,78.59,-8.93,1193.02
2023-02-07,75.99,-8.62,1354.36
2023-02-08,73.23,-8.39,1187.86
2023-02-09,72.31,-8.25,1066.62
2023-02-10,71.37,-8.12,1084.7
2023-02-13,71.33,-7.96,1286.89
2023-02-14,71.15,-7.79,1245.09
2023-02-15,72.51,-7.54,1417.11
2023-02-16,72.71,-7.31,1118.34
2023-02-17,72.88,-7.16,1081.03
2023-02-21,71.61,-7.15,879.3
2023-02-22,71.32,-7.13,901.61
2023-02-23,69.95,-7.1,959.11
2023-02-24,69.37,-7.15,849.45
2023-02-27,69.74,-7.2,915.71
2023-02-28,71.4,-7.21,921.94
2023-03-01,77.49,-7.29,1183.66
2023-03-02,83.7,-7.4,1285.57
2023-03-03,92.97,-7.51,1645.88
2023-03-06,101.88,-7.56,1694.81
2023-03-07,110.56,-7.66,1472.6
2023-03-08,114.29,-7.8,1494.01
2023-03-09,116.89,-7.97,1247.62
2023-03-10,116.42,-8.17,1095.21
2023-03-13,114.67,-8.39,1046.54
2023-03-14,113.28,-8.58,1217.8
2023-03-15,111.05,-8.8,1122.13
2023-03-16,110.12,-8.95,1325.61
2023-03-17,108.48,-9.1,1137.52
2023-03-20,108.71,-9.21,1282.23
2023-03-21,108.97,-9.18,1499.5
2023-03-22,109.32,-9.22,1244.46
2023-03-23,109.89,-9.28,1318.18
2023-03-24,112.04,-9.28,1356.08
2023-03-27,112.98,-9.28,1367.82
2023-03-28,113.11,-9.28,1344.31
2023-03-29,114.98,-9.21,1609.02
2023-03-30,115.57,-9.15,1694.13
2023-03-31,116.79,-9.08,2096.36
2023-04-03,116.0,-8.99,2075.9
2023-04-04,115.15,-8.86,1901.32
2023-04-05,112.05,-8.75,1738.57
2023-04-06,109.88,-8.54,1881.85
2023-04-10,108.38,-8.27,2036.24
2023-04-11,108.67,-8.0,2005.82
2023-04-12,108.6,-7.81,1858.45
2023-04-13,110.46,-7.53,2345.71
2023-04-14,111.2,-7.34,2209.62
2023-04-17,112.54,-7.08,2559.22
2023-04-18,114.4,-6.86,2602.07
2023-04-19,116.43,-6.7,2570.6
2023-04-20,117.27,-6.49,2277.43
2023-04-21,118.94,-6.28,2327.36
2023-04-24,117.17,-6.09,2246.14
2023-04-25,115.41,-5.96,1838.72
2023-04-26,111.72,-5.84,1587.76
2023-04-27,108.81,-5.71,2050.0
2023-04-28,102.02,-5.57,1943.64
2023-05-01,95.9,-5.49,1887.14
2023-05-02,88.79,-5.49,1488.34
2023-05-03,83.45,-5.49,1320.07
2023-05-04,77.31,-5.51,1165.42
2023-05-05,76.18,-5.47,1622.14
2023-05-08,75.51,-5.43,1612.13
2023-05-09,75.83,-5.42,1514.55
2023-05-10,77.09,-5.36,1678.63
2023-05-11,79.38,-5.37,1685.85
2023-05-12,89.9,-5.38,2548.04
2023-05-15,98.64,-5.39,2500.0
2023-05-16,105.52,-5.43,2086.55
2023-05-17,111.27,-5.42,2495.18
2023-05-18,115.83,-5.33,2997.53
2023-05-19,110.24,-5.26,2811.32
2023-05-22,106.29,-5.18,2805.88
2023-05-23,103.92,-5.1,2191.88
2023-05-24,101.7,-5.04,1880.22
2023-05-25,100.64,-5.01,2237.45
2023-05-26,100.29,-4.96,3010.34
2023-05-30,100.43,-4.9,3053.91
2023-05-31,100.84,-4.83,2687.63
2023-06-01,102.41,-4.67,3643.48
2023-06-02,103.12,-4.42,6600.0
2023-06-05,103.06,-4.25,5741.9
2023-06-06,101.53,-4.07,6027.67
2023-06-07,98.89,-3.9,4774.35
2023-06-08,95.67,-3.71,6854.89
2023-06-09,92.77,-3.5,7750.43
2023-06-12,91.31,-3.25,34796.3
2023-06-13,91.15,-2.98,24486.84
2023-06-14,91.4,-2.67,20015.56
2023-06-15,91.5,-2.36,5154.65
2023-06-16,90.91,-2.11,6311.11
2023-06-20,88.92,-1.88,9305.62
2023-06-21,86.68,-1.67,23391.43
2023-06-22,85.51,-1.4,11825.35
2023-06-23,83.86,-1.12,205500.0
2023-06-26,81.81,-0.91,17053.33
2023-06-27,81.15,-0.7,12462.5
2023-06-28,81.08,-0.5,11763.77
2023-06-29,80.47,-0.26,11908.82
2023-06-30,81.57,-0.02,4636.76
2023-07-03,83.73,0.16,4255.0
2023-07-05,84.21,0.34,4551.69
2023-07-06,83.66,0.46,8055.67
2023-07-07,84.31,0.6,11375.68
2023-07-10,84.1,0.71,8469.31
2023-07-11,83.75,0.86,5074.55
2023-07-12,85.31,0.99,3611.89
2023-07-13,87.98,1.13,2737.42
2023-07-14,88.4,1.27,2636.16
2023-07-17,91.49,1.36,2788.95
2023-07-18,93.81,1.51,2149.88
2023-07-19,94.5,1.69,1976.38
2023-07-20,94.8,1.87,2334.72
2023-07-21,96.08,2.02,2313.7
2023-07-24,94.32,2.24,2066.51
2023-07-25,94.01,2.49,1993.2
2023-07-26,93.78,2.69,1928.82
2023-07-27,93.84,2.85,2262.66
2023-07-28,95.88,3.06,2040.91
2023-07-31,97.78,3.22,1948.9
2023-08-01,98.05,3.35,1976.61
2023-08-02,97.45,3.44,2448.16
2023-08-03,96.91,3.56,2665.56
2023-08-04,94.19,3.67,2983.56
2023-08-07,91.87,3.8,2407.71
2023-08-08,90.79,3.88,2652.11
2023-08-09,92.1,3.9,3287.37
2023-08-10,93.3,3.88,3274.05
2023-08-11,94.77,3.87,3342.05
2023-08-14,96.95,3.85,3055.73
2023-08-15,97.56,3.76,3769.26
2023-08-16,96.1,3.63,4501.03
2023-08-17,93.36,3.5,5926.62
2023-08-18,90.43,3.38,5608.97
2023-08-21,86.57,3.26,4250.0
2023-08-22,83.53,3.12,4531.58
2023-08-23,82.06,3.01,3270.37
2023-08-24,80.87,2.89,4986.27
2023-08-25,80.28,2.75,3952.28
2023-08-28,79.62,2.62,3193.36
2023-08-29,80.31,2.55,2344.67
2023-08-30,80.91,2.56,2219.13
2023-08-31,82.88,2.57,2349.16
2023-09-01,83.74,2.61,2205.48
2023-09-05,84.71,2.6,2414.03
2023-09-06,84.31,2.57,2820.65
2023-09-07,83.17,2.55,3079.52
2023-09-08,81.98,2.54,3019.85
2023-09-11,80.77,2.56,2295.71
2023-09-12,79.85,2.53,2827.21
2023-09-13,77.63,2.55,2347.18
2023-09-14,76.95,2.64,1948.65
2023-09-15,75.19,2.69,2877.14
2023-09-18,72.94,2.75,2510.16
2023-09-19,70.66,2.77,2791.1
2023-09-20,70.42,2.76,4709.15
2023-09-21,68.33,2.63,32775.0
2023-09-22,66.07,2.53,14109.09
2023-09-25,65.4,2.43,211733.33
2023-09-26,63.87,2.23,4193.92
2023-09-27,61.78,1.99,4062.33
2023-09-28,60.85,1.74,4916.67
2023-09-29,60.68,1.49,4179.19
2023-10-02,58.89,1.23,3810.2
2023-10-03,56.69,0.93,1889.89
2023-10-04,55.14,0.69,2521.74
2023-10-05,51.77,0.46,2138.14
2023-10-06,49.0,0.27,4748.51
2023-10-09,46.56,0.09,11852.78
2023-10-10,46.63,-0.04,35557.14
2023-10-11,46.57,-0.15,8803.57
2023-10-12,47.37,-0.34,159400.0
2023-10-13,47.25,-0.49,8527.27
2023-10-16,48.71,-0.59,10463.83
2023-10-17,49.99,-0.68,11631.25
2023-10-18,50.31,-0.8,6154.12
2023-10-19,50.82,-0.87,3095.24
2023-10-20,51.38,-0.99,1800.35
2023-10-23,51.38,-1.15,1723.53
2023-10-24,50.96,-1.19,2416.24
2023-10-25,50.61,-1.3,1443.78
2023-10-26,50.45,-1.48,1116.63
2023-10-27,48.97,-1.67,890.53
2023-10-30,46.01,-1.81,938.7
2023-10-31,43.36,-1.85,1240.39
2023-11-01,41.52,-1.87,1728.11
2023-11-02,40.65,-1.8,6548.57
2023-11-03,42.17,-1.74,25868.42
2023-11-06,44.1,-1.7,11621.05
2023-11-07,44.3,-1.67,6355.38
2023-11-08,43.32,-1.66,4780.82
2023-11-09,40.39,-1.66,304700.0
2023-11-10,36.88,-1.56,1993.42
2023-11-13,34.32,-1.51,2135.21
2023-11-14,35.27,-1.37,1297.9
2023-11-15,38.12,-1.15,1297.48
2023-11-16,42.42,-0.88,1300.0
2023-11-17,46.54,-0.54,1258.29
2023-11-20,51.51,-0.16,1122.68
2023-11-21,53.36,0.18,1182.8
2023-11-22,54.79,0.6,1085.65
2023-11-24,54.76,1.09,963.66
2023-11-27,54.69,1.59,1010.02
2023-11-28,53.85,2.04,994.36
2023-11-29,53.23,2.45,1019.28
2023-11-30,52.85,2.83,976.76
2023-12-01,53.79,3.15,905.69
2023-12-04,54.54,3.39,991.98
2023-12-05,54.41,3.63,919.29
2023-12-06,52.25,3.83,789.83
2023-12-07,49.4,4.07,657.78
2023-12-08,46.52,4.36,629.29
2023-12-11,43.91,4.59,599.18
2023-12-12,40.91,4.84,456.97
2023-12-13,41.16,5.07,445.83
2023-12-14,43.89,5.31,564.8
2023-12-15,48.41,5.52,702.73
2023-12-18,52.26,5.76,619.84
2023-12-19,58.63,5.99,648.8
2023-12-20,62.13,6.14,708.79
2023-12-21,64.42,6.32,689.95
2023-12-22,64.76,6.51,674.56
2023-12-26,65.93,6.72,659.4
2023-12-27,65.88,6.94,651.32
2023-12-28,67.56,7.15,658.84
2023-12-29,68.0,7.34,669.11
2024-01-02,68.09,7.47,719.36
2024-01-03,66.98,7.59,727.49
2024-01-04,65.55,7.7,747.03
2024-01-05,64.08,7.83,739.4
2024-01-08,62.65,8.0,590.06
2024-01-09,61.64,8.14,617.17
2024-01-10,60.66,8.3,522.56
2024-01-11,59.5,8.43,503.16
2024-01-12,58.26,8.5,502.17
2024-01-16,54.97,8.53,400.34
2024-01-17,51.18,8.55,408.91
2024-01-18,48.31,8.58,366.81
2024-01-19,45.53,8.64,301.93
2024-01-22,43.5,8.79,330.43
2024-01-23,43.95,8.91,333.15
2024-01-24,44.27,9.03,307.06
2024-01-25,44.61,9.15,291.51
2024-01-26,44.98,9.27,281.71
2024-01-29,44.86,9.42,271.64
2024-01-30,44.39,9.57,271.64
2024-01-31,43.89,9.69,301.15
2024-02-01,43.48,9.88,272.43
2024-02-02,42.18,10.14,197.42
2024-02-05,40.21,10.38,189.89
2024-02-06,38.55,10.55,193.52
2024-02-07,38.25,10.77,209.18
2024-02-08,37.36,10.97,191.09
2024-02-09,39.21,11.19,238.64
2024-02-12,42.55,11.41,279.93
2024-02-13,44.7,11.57,286.11
2024-02-14,47.14,11.81,301.3
2024-02-15,50.33,12.04,292.25
2024-02-16,51.38,12.18,287.35
2024-02-20,50.61,12.29,275.96
2024-02-21,50.17,12.39,248.95
2024-02-22,47.58,12.6,165.6
2024-02-23,44.33,12.77,152.97
2024-02-26,41.95,12.93,170.64
2024-02-27,40.37,13.07,169.62
2024-02-28,40.22,13.21,200.55
2024-02-29,41.98,13.44,222.26
2024-03-01,44.72,13.65,226.25
2024-03-04,46.87,13.82,220.79
2024-03-05,49.39,13.94,260.67
2024-03-06,50.97,14.08,242.84
2024-03-07,52.03,14.24,231.1
2024-03-08,52.66,14.36,251.51
2024-03-11,53.7,14.45,258.53
2024-03-12,53.76,14.6,220.24
2024-03-13,53.68,14.81,215.41
2024-03-14,51.59,14.96,168.34
2024-03-15,48.93,15.04,167.64
2024-03-18,46.51,15.18,170.07
2024-03-19,44.24,15.38,150.24
2024-03-20,42.9,15.6,158.17
2024-03-21,43.53,15.74,162.63
2024-03-22,44.66,15.85,172.5
2024-03-25,45.67,15.98,184.56
2024-03-26,46.75,16.07,179.62
2024-03-27,49.9,16.22,244.85
2024-03-28,52.98,16.34,252.39
2024-04-01,56.31,16.41,271.65
2024-04-02,58.47,16.45,259.81
2024-04-03,60.85,16.55,255.31
2024-04-04,61.4,16.56,313.52
2024-04-05,62.28,16.57,304.83
2024-04-08,63.66,16.61,330.47
2024-04-09,66.98,16.66,358.19
2024-04-10,70.49,16.61,392.77
2024-04-11,72.94,16.61,364.54
2024-04-12,74.43,16.54,398.11
2024-04-15,73.81,16.44,401.86
2024-04-16,71.61,16.3,388.84
2024-04-17,70.23,16.1,451.59
2024-04-18,68.31,15.85,433.74
2024-04-19,66.9,15.54,482.36
2024-04-22,66.97,15.29,448.14
2024-04-23,68.3,15.13,419.1
2024-04-24,68.2,14.97,403.94
2024-04-25,68.33,14.76,403.85
2024-04-26,69.03,14.6,389.4
2024-04-29,69.9,14.48,389.95
2024-04-30,69.3,14.3,429.44
2024-05-01,69.18,14.09,453.16
2024-05-02,69.99,13.99,428.4
2024-05-03,71.84,13.91,438.71
2024-05-06,73.66,13.88,411.71
2024-05-07,76.36,13.86,411.22
2024-05-08,78.4,13.89,389.6
2024-05-09,80.48,13.91,385.51
2024-05-10,80.36,14.01,368.07
2024-05-13,79.62,14.18,360.3
2024-05-14,78.27,14.39,332.47
2024-05-15,78.49,14.7,323.76
2024-05-16,78.71,15.01,342.09
2024-05-17,79.89,15.37,352.08
2024-05-20,81.12,15.7,343.46
2024-05-21,85.7,15.97,411.46
2024-05-22,96.66,16.23,614.01
2024-05-23,106.78,16.46,638.68
2024-05-24,121.31,16.69,739.23
2024-05-28,136.69,16.89,751.43
2024-05-29,148.81,17.15,780.59
2024-05-30,153.4,17.39,812.93
2024-05-31,157.43,17.64,737.19
2024-06-03,156.18,17.8,736.23
2024-06-04,153.1,17.92,696.76
2024-06-05,151.64,18.1,672.96
2024-06-06,150.52,18.27,675.59
2024-06-07,149.19,18.41,652.65
2024-06-10,150.49,18.56,696.06
2024-06-11,155.3,18.72,742.63
2024-06-12,159.8,18.9,726.31
2024-06-13,162.81,19.03,684.21
2024-06-14,164.13,19.17,615.01
2024-06-17,161.25,19.34,541.98
2024-06-18,156.25,19.53,536.84
2024-06-20,149.89,19.69,537.47
2024-06-21,144.75,19.85,540.61
2024-06-24,142.83,20.04,559.53
2024-06-25,142.01,20.2,528.73
2024-06-26,139.44,20.37,490.12
2024-06-27,137.63,20.59,493.8
2024-06-28,131.66,20.81,414.04
2024-07-01,124.43,20.98,397.26
2024-07-02,116.93,21.18,359.19
2024-07-03,113.59,21.4,407.88
2024-07-05,108.28,21.58,360.15
2024-07-08,108.23,21.76,377.76
2024-07-09,108.68,21.96,368.35
2024-07-10,110.82,22.18,362.78
2024-07-11,111.26,22.35,398.38
2024-07-12,113.28,22.5,385.16
2024-07-15,110.77,22.65,304.89
2024-07-16,110.06,22.82,327.7
2024-07-17,106.32,22.89,294.28
2024-07-18,102.68,22.92,324.33
2024-07-19,99.61,22.95,344.23
2024-07-22,100.87,23.02,346.13
2024-07-23,101.2,23.1,359.96
2024-07-24,103.62,23.06,399.72
