Date,rate_VTI,rate_VOO
2022-10-26,-14.58,-13.9
2022-10-27,-14.98,-14.35
2022-10-28,-13.02,-12.4
2022-10-31,-13.58,-12.98
2022-11-01,-13.5,-13.0
2022-11-02,-15.7,-15.11
2022-11-03,-16.47,-15.97
2022-11-04,-15.44,-14.8
2022-11-07,-14.7,-14.03
2022-11-08,-14.26,-13.57
2022-11-09,-16.06,-15.28
2022-11-10,-11.43,-10.81
2022-11-11,-10.55,-9.98
2022-11-14,-11.34,-10.68
2022-11-15,-10.45,-9.96
2022-11-16,-11.35,-10.63
2022-11-17,-11.71,-10.88
2022-11-18,-11.31,-10.49
2022-11-21,-11.68,-10.8
2022-11-22,-10.53,-9.64
2022-11-23,-9.99,-9.09
2022-11-25,-9.92,-9.1
2022-11-28,-11.37,-10.5
2022-11-29,-11.51,-10.66
2022-11-30,-8.8,-7.97
2022-12-01,-8.54,-7.76
2022-12-02,-8.62,-7.89
2022-12-05,-10.36,-9.46
2022-12-06,-11.68,-10.72
2022-12-07,-11.82,-10.89
2022-12-08,-11.07,-10.21
2022-12-09,-11.8,-10.84
2022-12-12,-10.56,-9.61
2022-12-13,-9.9,-8.96
2022-12-14,-10.39,-9.5
2022-12-15,-12.59,-11.68
2022-12-16,-13.58,-12.71
2022-12-19,-14.44,-13.44
2022-12-20,-14.26,-13.72
2022-12-21,-12.97,-12.46
2022-12-22,-14.61,-13.66
2022-12-23,-14.14,-13.19
2022-12-27,-14.5,-13.52
2022-12-28,-15.56,-14.56
2022-12-29,-14.02,-13.08
2022-12-30,-14.24,-13.31
2023-01-03,-14.25,-13.32
2023-01-04,-13.5,-12.72
2023-01-05,-14.5,-13.65
2023-01-06,-12.63,-11.74
2023-01-09,-12.59,-11.8
2023-01-10,-11.91,-11.18
2023-01-11,-10.76,-10.08
2023-01-12,-10.33,-9.75
2023-01-13,-9.95,-9.41
2023-01-17,-10.07,-9.54
2023-01-18,-11.48,-10.98
2023-01-19,-12.19,-11.6
2023-01-20,-10.52,-10.01
2023-01-23,-9.4,-8.94
2023-01-24,-9.54,-9.04
2023-01-25,-9.5,-9.01
2023-01-26,-8.57,-8.06
2023-01-27,-8.21,-7.8
2023-01-30,-9.43,-8.93
2023-01-31,-7.99,-7.66
2023-02-01,-6.72,-6.52
2023-02-02,-5.37,-5.25
2023-02-03,-6.32,-6.21
2023-02-06,-7.0,-6.73
2023-02-07,-6.02,-5.74
2023-02-08,-6.86,-6.59
2023-02-09,-7.62,-7.25
2023-02-10,-7.48,-7.06
2023-02-13,-6.56,-6.18
2023-02-14,-6.52,-6.21
2023-02-15,-6.14,-5.96
2023-02-16,-7.29,-6.98
2023-02-17,-7.53,-7.17
2023-02-21,-9.29,-8.6
2023-02-22,-9.36,-8.69
2023-02-23,-8.91,-8.34
2023-02-24,-9.84,-9.1
2023-02-27,-9.55,-8.85
2023-02-28,-9.84,-9.16
2023-03-01,-9.42,-9.24
2023-03-02,-9.29,-8.66
2023-03-03,-7.92,-7.41
2023-03-06,-8.03,-7.32
2023-03-07,-9.35,-8.65
2023-03-08,-9.23,-8.52
2023-03-09,-10.96,-10.08
2023-03-10,-12.39,-11.27
2023-03-13,-12.74,-11.41
2023-03-14,-11.22,-10.0
2023-03-15,-11.89,-10.53
2023-03-16,-10.4,-9.06
2023-03-17,-11.53,-10.02
2023-03-20,-10.78,-9.23
2023-03-21,-9.52,-8.08
2023-03-22,-11.12,-9.56
2023-03-23,-11.31,-9.35
2023-03-24,-10.76,-9.13
2023-03-27,-10.54,-8.98
2023-03-28,-10.66,-9.14
2023-03-29,-9.39,-7.87
2023-03-30,-8.9,-7.33
2023-03-31,-7.54,-6.05
2023-04-03,-7.14,-5.56
2023-04-04,-7.75,-6.08
2023-04-05,-8.08,-6.3
2023-04-06,-7.78,-5.95
2023-04-10,-7.58,-5.85
2023-04-11,-7.48,-5.84
2023-04-12,-7.87,-6.21
2023-04-13,-6.68,-5.01
2023-04-14,-6.94,-5.2
2023-04-17,-6.57,-4.88
2023-04-18,-6.53,-4.82
2023-04-19,-6.48,-4.83
2023-04-20,-7.06,-5.36
2023-04-21,-6.98,-5.3
2023-04-24,-6.94,-5.18
2023-04-25,-8.48,-6.43
2023-04-26,-8.89,-6.78
2023-04-27,-7.19,-5.24
2023-04-28,-6.39,-4.56
2023-05-01,-6.3,-4.51
2023-05-02,-7.43,-5.49
2023-05-03,-7.96,-6.08
2023-05-04,-8.63,-6.71
2023-05-05,-6.98,-5.15
2023-05-08,-6.88,-5.11
2023-05-09,-7.25,-5.5
2023-05-10,-6.85,-5.1
2023-05-11,-6.97,-5.23
2023-05-12,-7.19,-5.35
2023-05-15,-6.8,-5.04
2023-05-16,-7.51,-5.65
2023-05-17,-6.32,-4.56
2023-05-18,-5.4,-3.65
2023-05-19,-5.63,-3.8
2023-05-22,-5.47,-3.74
2023-05-23,-6.45,-4.8
2023-05-24,-7.17,-5.51
2023-05-25,-6.54,-4.7
2023-05-26,-5.33,-3.48
2023-05-30,-5.29,-3.45
2023-05-31,-5.86,-3.96
2023-06-01,-4.82,-2.99
2023-06-02,-3.28,-1.6
2023-06-05,-3.53,-1.79
2023-06-06,-3.1,-1.59
2023-06-07,-3.29,-1.91
2023-06-08,-2.83,-1.33
2023-06-09,-2.73,-1.17
2023-06-12,-1.87,-0.27
2023-06-13,-1.15,0.38
2023-06-14,-1.15,0.45
2023-06-15,0.05,1.72
2023-06-16,-0.33,1.35
2023-06-20,-0.81,0.89
2023-06-21,-1.36,0.35
2023-06-22,-1.09,0.71
2023-06-23,-2.28,-0.04
2023-06-26,-2.61,-0.45
2023-06-27,-1.44,0.64
2023-06-28,-1.36,0.69
2023-06-29,-0.89,0.68
2023-06-30,0.13,1.85
2023-07-03,0.42,2.0
2023-07-05,0.12,1.78
2023-07-06,-0.75,0.97
2023-07-07,-0.88,0.74
2023-07-10,-0.45,1.01
2023-07-11,0.21,1.65
2023-07-12,0.85,2.44
2023-07-13,1.57,3.26
2023-07-14,1.44,3.18
2023-07-17,1.77,3.53
2023-07-18,2.51,4.31
2023-07-19,2.76,4.53
2023-07-20,2.08,3.86
2023-07-21,2.07,3.87
2023-07-24,2.4,4.3
2023-07-25,2.61,4.56
2023-07-26,2.68,4.58
2023-07-27,2.03,3.99
2023-07-28,2.9,4.84
2023-07-31,3.15,5.01
2023-08-01,2.87,4.66
2023-08-02,1.75,3.53
2023-08-03,1.52,3.31
2023-08-04,1.19,2.92
2023-08-07,1.79,3.63
2023-08-08,1.46,3.32
2023-08-09,0.97,2.85
2023-08-10,0.98,2.89
2023-08-11,0.91,2.83
2023-08-14,1.26,3.23
2023-08-15,0.49,2.44
2023-08-16,-0.07,1.94
2023-08-17,-0.61,1.39
2023-08-18,-0.54,1.45
2023-08-21,-0.16,1.9
2023-08-22,-0.33,1.71
2023-08-23,0.39,2.43
2023-08-24,-0.5,1.53
2023-08-25,-0.06,1.97
2023-08-28,0.37,2.41
2023-08-29,1.34,3.38
2023-08-30,1.63,3.66
2023-08-31,1.56,3.58
2023-09-01,1.75,3.65
2023-09-05,1.35,3.35
2023-09-06,0.83,2.76
2023-09-07,0.52,2.49
2023-09-08,0.62,2.62
2023-09-11,1.22,3.26
2023-09-12,0.75,2.72
2023-09-13,0.76,2.84
2023-09-14,1.6,3.7
2023-09-15,0.44,2.45
2023-09-18,0.45,2.56
2023-09-19,0.2,2.36
2023-09-20,-0.68,1.42
2023-09-21,-2.66,-0.2
2023-09-22,-2.86,-0.44
2023-09-25,-2.48,-0.03
2023-09-26,-3.87,-1.48
2023-09-27,-3.77,-1.46
2023-09-28,-3.14,-1.26
2023-09-29,-3.42,-1.49
2023-10-02,-3.48,-1.47
2023-10-03,-4.85,-2.77
2023-10-04,-4.18,-2.07
2023-10-05,-4.23,-2.15
2023-10-06,-3.11,-1.01
2023-10-09,-2.51,-0.36
2023-10-10,-1.91,0.14
2023-10-11,-1.53,0.56
2023-10-12,-2.31,-0.03
2023-10-13,-2.86,-0.55
2023-10-16,-1.74,0.47
2023-10-17,-1.62,0.48
2023-10-18,-3.06,-0.85
2023-10-19,-3.97,-1.68
2023-10-20,-5.14,-2.89
2023-10-23,-5.4,-3.06
2023-10-24,-4.69,-2.34
2023-10-25,-6.09,-3.7
2023-10-26,-7.06,-4.87
2023-10-27,-7.55,-5.28
2023-10-30,-6.5,-4.16
2023-10-31,-5.9,-3.59
2023-11-01,-4.87,-2.49
2023-11-02,-3.04,-0.7
2023-11-03,-1.98,0.19
2023-11-06,-1.94,0.38
2023-11-07,-1.65,0.65
2023-11-08,-1.66,0.73
2023-11-09,-2.49,-0.01
2023-11-10,-1.06,1.52
2023-11-13,-1.12,1.42
2023-11-14,1.05,3.34
2023-11-15,1.3,3.57
2023-11-16,1.23,3.71
2023-11-17,1.48,3.86
2023-11-20,2.23,4.63
2023-11-21,1.96,4.36
2023-11-22,2.39,4.81
2023-11-24,2.5,4.87
2023-11-27,2.37,4.69
2023-11-28,2.43,4.79
2023-11-29,2.48,4.72
2023-11-30,2.9,5.12
2023-12-01,3.69,5.62
2023-12-04,3.33,5.11
2023-12-05,3.16,5.08
2023-12-06,2.8,4.72
2023-12-07,3.48,5.4
2023-12-08,3.9,5.77
2023-12-11,4.26,6.12
2023-12-12,4.62,6.6
2023-12-13,6.11,7.92
2023-12-14,6.69,8.21
2023-12-15,6.56,8.06
2023-12-18,6.98,8.62
2023-12-19,7.62,9.16
2023-12-20,6.3,7.51
2023-12-21,6.89,8.36
2023-12-22,7.09,8.57
2023-12-26,7.53,8.94
2023-12-27,7.69,9.1
2023-12-28,7.65,9.11
2023-12-29,7.31,8.87
2024-01-02,6.6,8.16
2024-01-03,5.8,7.53
2024-01-04,5.56,7.23
2024-01-05,5.71,7.36
2024-01-08,7.17,8.85
2024-01-09,7.01,8.62
2024-01-10,7.47,9.22
2024-01-11,7.41,9.19
2024-01-12,7.42,9.23
2024-01-16,7.01,8.92
2024-01-17,6.47,8.42
2024-01-18,7.25,9.22
2024-01-19,8.34,10.34
2024-01-22,8.74,10.55
2024-01-23,8.92,10.83
2024-01-24,8.9,10.91
2024-01-25,9.46,11.43
2024-01-26,9.37,11.37
2024-01-29,10.29,12.06
2024-01-30,10.14,11.99
2024-01-31,8.44,10.45
2024-02-01,9.61,11.46
2024-02-02,10.45,12.41
2024-02-05,9.98,12.07
2024-02-06,10.28,12.35
2024-02-07,10.99,13.07
2024-02-08,11.21,13.13
2024-02-09,11.76,13.64
2024-02-12,11.85,13.6
2024-02-13,10.39,12.17
2024-02-14,11.38,13.12
2024-02-15,12.08,13.8
2024-02-16,11.6,13.28
2024-02-20,11.03,12.73
2024-02-21,11.05,12.83
2024-02-22,12.84,14.94
2024-02-23,12.9,14.99
2024-02-26,12.62,14.61
2024-02-27,12.9,14.81
2024-02-28,12.73,14.65
2024-02-29,13.16,15.05
2024-03-01,13.86,15.81
2024-03-04,13.76,15.68
2024-03-05,12.62,14.57
2024-03-06,13.25,15.15
2024-03-07,14.29,16.24
2024-03-08,13.66,15.57
2024-03-11,13.49,15.48
2024-03-12,14.42,16.5
2024-03-13,14.3,16.35
2024-03-14,13.94,16.14
2024-03-15,13.38,15.48
2024-03-18,13.85,16.07
2024-03-19,14.45,16.58
2024-03-20,15.51,17.38
2024-03-21,15.94,17.69
2024-03-22,15.28,17.27
2024-03-25,15.04,17.03
2024-03-26,14.87,16.78
2024-03-27,15.7,17.57
2024-03-28,15.76,17.56
2024-04-01,15.42,17.14
2024-04-02,14.46,16.47
2024-04-03,14.62,16.56
2024-04-04,13.38,15.31
2024-04-05,14.41,16.37
2024-04-08,14.53,16.41
2024-04-09,14.69,16.55
2024-04-10,13.47,15.5
2024-04-11,14.2,16.27
2024-04-12,12.64,14.8
2024-04-15,11.34,13.46
2024-04-16,11.01,13.26
2024-04-17,10.38,12.6
2024-04-18,10.16,12.36
2024-04-19,9.32,11.45
2024-04-22,10.36,12.38
2024-04-23,11.66,13.77
2024-04-24,11.68,13.69
2024-04-25,11.16,13.23
2024-04-26,12.18,14.34
2024-04-29,12.61,14.73
2024-04-30,10.78,12.94
2024-05-01,10.33,12.36
2024-05-02,11.44,13.38
2024-05-03,12.73,14.75
2024-05-06,13.91,15.88
2024-05-07,14.01,16.04
2024-05-08,13.93,16.05
2024-05-09,14.59,16.7
2024-05-10,14.7,16.85
2024-05-13,14.76,16.85
2024-05-14,15.31,17.4
2024-05-15,16.72,18.81
2024-05-16,16.4,18.58
2024-05-17,16.57,18.76
2024-05-20,16.69,18.87
2024-05-21,16.92,19.19
2024-05-22,16.53,18.84
2024-05-23,15.55,17.97
2024-05-24,16.38,18.76
2024-05-28,16.38,18.86
2024-05-29,15.43,18.03
2024-05-30,14.87,17.25
2024-05-31,15.75,18.26
2024-06-03,15.52,18.08
2024-06-04,15.51,18.22
2024-06-05,16.9,19.6
2024-06-06,16.8,19.58
2024-06-07,16.58,19.43
2024-06-10,16.97,19.81
2024-06-11,17.16,20.08
2024-06-12,18.25,21.06
2024-06-13,18.31,21.28
2024-06-14,18.22,21.38
2024-06-17,19.11,22.32
2024-06-18,19.4,22.64
2024-06-20,19.11,22.31
2024-06-21,18.93,22.04
2024-06-24,18.73,21.72
2024-06-25,19.06,22.14
2024-06-26,19.05,22.26
2024-06-27,19.3,22.42
2024-06-28,18.6,21.66
2024-07-01,18.49,21.54
2024-07-02,19.03,22.15
2024-07-03,19.42,22.58
2024-07-05,19.91,23.16
2024-07-08,20.04,23.25
2024-07-09,20.02,23.35
2024-07-10,20.94,24.29
2024-07-11,20.51,23.45
2024-07-12,21.14,24.05
