Date,rate_BHP_5D,rate_VOO_20D,Max_Divergence
2022-08-10,-3.79,-11.84,66.27
2022-08-11,-3.22,-11.41,72.39
2022-08-12,-2.89,-11.0,75.21
2022-08-15,-2.8,-10.54,56.45
2022-08-16,-1.83,-10.19,111.5
2022-08-17,-1.45,-9.88,87.67
2022-08-18,-1.03,-9.61,97.05
2022-08-19,-0.8,-9.34,91.71
2022-08-22,-0.2,-9.14,100.0
2022-08-23,-0.01,-8.9,118.44
2022-08-24,0.37,-8.76,110.76
2022-08-25,1.02,-8.62,136.73
2022-08-26,1.52,-8.66,117.69
2022-08-29,1.65,-8.71,106.02
2022-08-30,0.87,-8.77,80.74
2022-08-31,0.11,-8.91,76.5
2022-09-01,-2.18,-9.02,26.49
2022-09-02,-4.15,-9.16,33.14
2022-09-06,-5.96,-9.3,30.9
2022-09-07,-7.45,-9.36,11.28
2022-09-08,-8.37,-9.46,29.09
2022-09-09,-7.18,-9.5,73.06
2022-09-12,-5.67,-9.55,94.41
2022-09-13,-4.91,-9.8,61.87
2022-09-14,-3.94,-10.04,58.55
2022-09-15,-3.56,-10.31,56.85
2022-09-16,-4.41,-10.62,49.4
2022-09-19,-5.34,-10.85,59.84
2022-09-20,-5.59,-11.07,56.87
2022-09-21,-6.31,-11.36,44.03
2022-09-22,-6.48,-11.69,60.14
2022-09-23,-7.23,-12.13,38.91
2022-09-26,-8.81,-12.5,27.62
2022-09-27,-9.86,-12.87,38.75
2022-09-28,-9.8,-13.15,51.77
2022-09-29,-10.07,-13.48,58.97
2022-09-30,-9.64,-13.91,58.06
2022-10-03,-8.1,-14.17,69.63
2022-10-04,-6.36,-14.31,83.61
2022-10-05,-5.45,-14.52,76.11
2022-10-06,-5.01,-14.79,65.91
2022-10-07,-4.57,-15.24,66.34
2022-10-10,-4.72,-15.77,67.77
2022-10-11,-5.84,-16.14,58.45
2022-10-12,-7.09,-16.53,49.74
2022-10-13,-7.57,-16.77,55.21
2022-10-14,-8.61,-17.07,41.35
2022-10-17,-9.12,-17.3,50.26
2022-10-18,-9.42,-17.44,41.55
2022-10-19,-9.63,-17.53,35.78
2022-10-20,-10.36,-17.62,34.83
2022-10-21,-9.65,-17.54,50.22
2022-10-24,-9.94,-17.38,31.24
2022-10-25,-9.8,-17.14,33.23
2022-10-26,-8.89,-16.99,54.53
2022-10-27,-8.29,-16.77,41.18
2022-10-28,-9.29,-16.4,-2.9
2022-10-31,-9.72,-16.18,5.78
2022-11-01,-9.7,-16.09,32.62
2022-11-02,-10.74,-16.09,23.96
2022-11-03,-11.25,-16.1,30.93
2022-11-04,-9.23,-15.93,82.3
2022-11-07,-7.39,-15.69,78.12
2022-11-08,-6.05,-15.4,84.82
2022-11-09,-4.62,-15.19,71.73
2022-11-10,-2.43,-14.86,99.26
2022-11-11,-0.62,-14.39,164.63
2022-11-14,1.41,-14.06,166.1
2022-11-15,3.71,-13.74,194.68
2022-11-16,6.09,-13.43,171.4
2022-11-17,7.6,-13.09,168.47
2022-11-18,7.85,-12.84,173.4
2022-11-21,7.43,-12.64,146.02
2022-11-22,7.01,-12.46,175.93
2022-11-23,7.35,-12.22,202.53
2022-11-25,7.61,-11.96,196.26
2022-11-28,7.61,-11.86,173.05
2022-11-29,8.77,-11.75,200.94
2022-11-30,10.13,-11.5,277.16
2022-12-01,11.09,-11.13,282.35
2022-12-02,12.31,-10.73,287.96
2022-12-05,13.42,-10.46,240.17
2022-12-06,14.01,-10.29,227.89
2022-12-07,13.83,-10.16,221.3
2022-12-08,14.0,-9.91,246.62
2022-12-09,14.2,-9.91,246.22
2022-12-12,14.41,-9.89,248.91
2022-12-13,14.61,-9.8,264.29
2022-12-14,14.63,-9.78,239.89
2022-12-15,14.07,-9.83,204.2
2022-12-16,13.18,-9.92,189.93
2022-12-19,12.5,-10.07,181.03
2022-12-20,11.97,-10.22,188.12
2022-12-21,12.11,-10.36,211.96
2022-12-22,12.05,-10.59,186.9
2022-12-23,12.35,-10.79,198.03
2022-12-27,12.98,-10.94,204.14
2022-12-28,13.05,-11.14,185.3
2022-12-29,12.91,-11.39,201.3
2022-12-30,13.12,-11.67,197.15
2023-01-03,12.85,-11.94,186.94
2023-01-04,12.82,-12.1,209.51
2023-01-05,13.32,-12.25,209.3
2023-01-06,14.63,-12.29,268.4
2023-01-09,15.84,-12.37,261.19
2023-01-10,17.75,-12.39,288.82
2023-01-11,19.37,-12.41,318.75
2023-01-12,21.41,-12.45,357.44
2023-01-13,22.58,-12.45,372.26
2023-01-17,23.35,-12.34,339.83
2023-01-18,23.81,-12.26,313.3
2023-01-19,24.38,-12.16,314.66
2023-01-20,24.55,-11.98,359.24
2023-01-23,24.59,-11.8,388.59
2023-01-24,25.31,-11.57,393.03
2023-01-25,26.29,-11.36,414.1
2023-01-26,27.14,-11.09,461.91
2023-01-27,27.29,-10.75,442.44
2023-01-30,27.4,-10.54,394.85
2023-01-31,27.52,-10.26,453.39
2023-02-01,27.13,-9.92,504.6
2023-02-02,25.81,-9.55,529.33
2023-02-03,24.83,-9.18,451.69
2023-02-06,23.61,-8.93,400.74
2023-02-07,22.51,-8.62,475.44
2023-02-08,21.46,-8.39,420.49
2023-02-09,21.22,-8.25,394.34
2023-02-10,20.89,-8.12,385.84
2023-02-13,21.13,-7.96,446.93
2023-02-14,21.25,-7.79,457.0
2023-02-15,21.33,-7.54,461.41
2023-02-16,21.49,-7.31,416.91
2023-02-17,21.64,-7.16,391.77
2023-02-21,21.47,-7.15,339.77
2023-02-22,20.44,-7.13,295.51
2023-02-23,19.06,-7.1,275.54
2023-02-24,16.73,-7.15,215.05
2023-02-27,14.64,-7.2,218.64
2023-02-28,12.81,-7.21,224.78
2023-03-01,12.41,-7.29,262.23
2023-03-02,13.12,-7.4,310.39
2023-03-03,14.96,-7.51,365.59
2023-03-06,16.17,-7.56,325.82
2023-03-07,16.54,-7.66,253.41
2023-03-08,16.57,-7.8,277.7
2023-03-09,15.05,-7.97,205.46
2023-03-10,13.02,-8.17,184.56
2023-03-13,11.84,-8.39,192.99
2023-03-14,11.41,-8.58,211.2
2023-03-15,9.59,-8.8,157.36
2023-03-16,8.45,-8.95,154.86
2023-03-17,7.55,-9.1,149.9
2023-03-20,6.84,-9.21,176.81
2023-03-21,5.83,-9.18,175.12
2023-03-22,5.6,-9.22,150.84
2023-03-23,5.61,-9.28,153.58
2023-03-24,5.8,-9.28,165.5
2023-03-27,5.66,-9.28,171.27
2023-03-28,6.19,-9.28,195.08
2023-03-29,7.37,-9.21,236.98
2023-03-30,9.29,-9.15,299.05
2023-03-31,11.2,-9.08,356.69
2023-04-03,12.74,-8.99,354.14
2023-04-04,13.14,-8.86,275.33
2023-04-05,13.03,-8.75,262.38
2023-04-06,11.91,-8.54,251.43
2023-04-10,10.74,-8.27,265.13
2023-04-11,10.71,-8.0,339.21
2023-04-12,11.25,-7.81,315.62
2023-04-13,12.0,-7.53,378.44
2023-04-14,12.58,-7.34,329.42
2023-04-17,13.24,-7.08,365.16
2023-04-18,13.47,-6.86,413.9
2023-04-19,13.6,-6.7,390.48
2023-04-20,12.88,-6.49,293.1
2023-04-21,11.85,-6.28,228.49
2023-04-24,10.76,-6.09,244.21
2023-04-25,8.49,-5.96,159.25
2023-04-26,6.91,-5.84,189.97
2023-04-27,6.31,-5.71,240.65
2023-04-28,6.42,-5.57,260.75
2023-05-01,6.22,-5.49,243.68
2023-05-02,6.43,-5.49,188.34
2023-05-03,6.34,-5.49,193.26
2023-05-04,5.99,-5.51,184.05
2023-05-05,6.59,-5.47,300.39
2023-05-08,7.39,-5.43,304.7
2023-05-09,8.37,-5.42,277.45
2023-05-10,8.89,-5.36,262.16
2023-05-11,8.7,-5.37,189.87
2023-05-12,7.81,-5.38,209.35
2023-05-15,7.31,-5.39,257.94
2023-05-16,6.46,-5.43,197.7
2023-05-17,6.27,-5.42,260.96
2023-05-18,6.57,-5.33,269.04
2023-05-19,6.65,-5.26,264.21
2023-05-22,6.33,-5.18,271.12
2023-05-23,6.19,-5.1,200.21
2023-05-24,4.84,-5.04,110.71
2023-05-25,3.59,-5.01,97.87
2023-05-26,2.91,-4.96,182.47
2023-05-30,1.9,-4.9,138.55
2023-05-31,0.87,-4.83,91.67
2023-06-01,1.22,-4.67,177.59
2023-06-02,2.54,-4.42,505.62
2023-06-05,2.95,-4.25,377.09
2023-06-06,4.01,-4.07,514.47
2023-06-07,5.38,-3.9,441.36
2023-06-08,6.68,-3.71,763.91
2023-06-09,7.02,-3.5,800.85
2023-06-12,7.62,-3.25,3040.74
2023-06-13,8.57,-2.98,2894.74
2023-06-14,10.02,-2.67,2957.78
2023-06-15,11.46,-2.36,831.4
2023-06-16,12.73,-2.11,977.78
2023-06-20,13.76,-1.88,1370.79
2023-06-21,13.95,-1.67,3422.86
2023-06-22,13.29,-1.4,1370.42
2023-06-23,11.59,-1.12,19000.0
2023-06-26,10.28,-0.91,1877.78
2023-06-27,9.59,-0.7,1404.69
2023-06-28,8.66,-0.5,1014.49
2023-06-29,8.26,-0.26,1135.29
2023-06-30,8.39,-0.02,344.32
2023-07-03,8.79,0.16,401.5
2023-07-05,8.38,0.34,325.84
2023-07-06,7.78,0.46,382.47
2023-07-07,7.12,0.6,587.84
2023-07-10,6.29,0.71,304.95
2023-07-11,5.57,0.86,288.48
2023-07-12,6.04,0.99,306.15
2023-07-13,7.67,1.13,293.87
2023-07-14,9.14,1.27,290.88
2023-07-17,10.45,1.36,201.7
2023-07-18,11.36,1.51,154.52
2023-07-19,11.32,1.69,114.79
2023-07-20,10.8,1.87,164.51
2023-07-21,10.31,2.02,157.88
2023-07-24,10.44,2.24,163.49
2023-07-25,11.49,2.49,255.48
2023-07-26,12.4,2.69,211.57
2023-07-27,12.82,2.85,208.77
2023-07-28,13.03,3.06,128.1
2023-07-31,13.45,3.22,168.06
2023-08-01,12.24,3.35,117.81
2023-08-02,10.97,3.44,123.8
2023-08-03,10.14,3.56,146.83
2023-08-04,9.58,3.67,183.22
2023-08-07,8.57,3.8,130.3
2023-08-08,8.08,3.88,131.33
2023-08-09,8.05,3.9,172.63
2023-08-10,7.92,3.88,160.55
2023-08-11,7.68,3.87,148.76
2023-08-14,7.11,3.85,71.52
2023-08-15,6.39,3.76,66.8
2023-08-16,5.39,3.63,42.78
2023-08-17,4.59,3.5,153.96
2023-08-18,3.78,3.38,106.21
2023-08-21,3.38,3.26,86.32
2023-08-22,3.06,3.12,43.86
2023-08-23,3.39,3.01,83.13
2023-08-24,3.18,2.89,61.44
2023-08-25,3.04,2.75,15.23
2023-08-28,3.0,2.62,38.17
2023-08-29,3.47,2.55,42.9
2023-08-30,3.66,2.56,47.27
2023-08-31,4.18,2.57,41.62
2023-09-01,4.9,2.61,61.64
2023-09-05,5.48,2.6,84.78
2023-09-06,5.75,2.57,124.28
2023-09-07,4.88,2.55,-58.23
2023-09-08,3.93,2.54,-87.79
2023-09-11,3.34,2.56,-8.9
2023-09-12,2.69,2.53,8.09
2023-09-13,1.92,2.55,-17.25
2023-09-14,2.98,2.64,71.08
2023-09-15,4.2,2.69,162.04
2023-09-18,4.82,2.75,137.11
2023-09-19,5.3,2.77,125.85
2023-09-20,5.76,2.76,228.17
2023-09-21,4.78,2.63,810.0
2023-09-22,4.17,2.53,865.91
2023-09-25,3.4,2.43,7533.33
2023-09-26,2.38,2.23,114.19
2023-09-27,1.74,1.99,200.68
2023-09-28,2.29,1.74,432.54
2023-09-29,2.34,1.49,342.28
2023-10-02,2.26,1.23,223.81
2023-10-03,2.22,0.93,100.72
2023-10-04,1.98,0.69,112.08
2023-10-05,1.3,0.46,136.28
2023-10-06,1.31,0.27,465.35
2023-10-09,1.43,0.09,769.44
2023-10-10,2.22,-0.04,2735.71
2023-10-11,3.08,-0.15,714.29
2023-10-12,3.53,-0.34,10233.33
2023-10-13,3.41,-0.49,656.36
2023-10-16,3.98,-0.59,1017.02
2023-10-17,4.44,-0.68,1212.5
2023-10-18,4.34,-0.8,576.47
2023-10-19,4.32,-0.87,275.6
2023-10-20,3.69,-0.99,95.85
2023-10-23,2.61,-1.15,96.08
2023-10-24,1.83,-1.19,201.28
2023-10-25,1.65,-1.3,186.22
2023-10-26,1.72,-1.48,167.35
2023-10-27,2.57,-1.67,178.22
2023-10-30,3.55,-1.81,214.9
2023-10-31,3.85,-1.85,208.36
2023-11-01,4.29,-1.87,315.66
2023-11-02,5.1,-1.8,1147.14
2023-11-03,5.77,-1.74,3842.11
2023-11-06,6.28,-1.7,1823.68
2023-11-07,6.43,-1.67,612.31
2023-11-08,6.11,-1.66,419.18
2023-11-09,5.49,-1.66,42300.0
2023-11-10,5.11,-1.56,268.42
2023-11-13,4.88,-1.51,335.21
2023-11-14,6.01,-1.37,207.49
2023-11-15,7.29,-1.15,185.15
2023-11-16,8.4,-0.88,163.61
2023-11-17,9.43,-0.54,178.24
2023-11-20,10.59,-0.16,159.18
2023-11-21,11.27,0.18,213.07
2023-11-22,11.86,0.6,172.56
2023-11-24,12.45,1.09,161.4
2023-11-27,12.59,1.59,144.35
2023-11-28,12.58,2.04,149.9
2023-11-29,11.99,2.45,126.06
2023-11-30,11.55,2.83,113.28
2023-12-01,11.75,3.15,143.95
2023-12-04,11.72,3.39,121.53
2023-12-05,11.48,3.63,111.81
2023-12-06,11.64,3.83,143.01
2023-12-07,12.16,4.07,150.56
2023-12-08,12.05,4.36,127.9
2023-12-11,12.28,4.59,104.25
2023-12-12,12.66,4.84,91.52
2023-12-13,13.55,5.07,101.26
2023-12-14,14.55,5.31,125.46
2023-12-15,15.71,5.52,135.24
2023-12-18,17.11,5.76,125.99
2023-12-19,18.87,5.99,134.28
2023-12-20,19.56,6.14,157.92
2023-12-21,20.35,6.32,169.02
2023-12-22,21.07,6.51,163.01
2023-12-26,21.82,6.72,160.07
2023-12-27,22.42,6.94,168.57
2023-12-28,23.34,7.15,163.01
2023-12-29,23.52,7.34,163.92
2024-01-02,23.47,7.47,173.16
2024-01-03,23.06,7.59,181.41
2024-01-04,22.24,7.7,181.47
2024-01-05,21.33,7.83,163.86
2024-01-08,20.53,8.0,119.44
2024-01-09,19.46,8.14,96.4
2024-01-10,18.28,8.3,65.84
2024-01-11,17.21,8.43,62.89
2024-01-12,16.24,8.5,57.85
2024-01-16,14.65,8.53,29.04
2024-01-17,13.18,8.55,13.66
2024-01-18,12.06,8.58,4.99
2024-01-19,11.02,8.64,-5.61
2024-01-22,9.91,8.79,-14.31
2024-01-23,9.84,8.91,2.95
2024-01-24,10.47,9.03,16.41
2024-01-25,10.9,9.15,3.76
2024-01-26,11.42,9.27,8.44
2024-01-29,12.07,9.42,2.24
2024-01-30,12.24,9.57,0.0
2024-01-31,11.9,9.69,5.26
2024-02-01,11.95,9.88,5.67
2024-02-02,11.6,10.14,-14.83
2024-02-05,10.68,10.38,-35.79
2024-02-06,10.14,10.55,-25.1
2024-02-07,9.85,10.77,-26.63
2024-02-08,9.18,10.97,-33.51
2024-02-09,8.86,11.19,-34.16
2024-02-12,9.2,11.41,-30.44
2024-02-13,8.7,11.57,-44.7
2024-02-14,8.46,11.81,-36.13
2024-02-15,8.3,12.04,-42.39
2024-02-16,8.36,12.18,-30.2
2024-02-20,7.51,12.29,-58.84
2024-02-21,7.09,12.39,-63.91
2024-02-22,6.56,12.6,-61.78
2024-02-23,6.09,12.77,-62.51
2024-02-26,4.96,12.93,-75.22
2024-02-27,4.83,13.07,-69.01
2024-02-28,4.59,13.21,-76.66
2024-02-29,4.22,13.44,-74.29
2024-03-01,4.22,13.65,-64.71
2024-03-04,4.51,13.82,-67.6
2024-03-05,4.4,13.94,-72.13
2024-03-06,4.91,14.08,-60.59
2024-03-07,5.07,14.24,-71.37
2024-03-08,4.7,14.36,-76.11
2024-03-11,4.01,14.45,-89.47
2024-03-12,3.47,14.6,-91.58
2024-03-13,2.87,14.81,-81.9
2024-03-14,2.23,14.96,-90.89
2024-03-15,1.65,15.04,-94.83
2024-03-18,1.56,15.18,-92.66
2024-03-19,1.79,15.38,-84.62
2024-03-20,2.12,15.6,-73.53
2024-03-21,2.79,15.74,-72.87
2024-03-22,3.28,15.85,-81.07
2024-03-25,3.67,15.98,-81.68
2024-03-26,3.63,16.07,-85.82
2024-03-27,3.54,16.22,-76.38
2024-03-28,3.47,16.34,-74.72
2024-04-01,3.93,16.41,-67.68
2024-04-02,4.7,16.45,-57.5
2024-04-03,5.51,16.55,-61.29
2024-04-04,5.57,16.56,-71.0
2024-04-05,5.54,16.57,-73.73
2024-04-08,6.02,16.61,-51.68
2024-04-09,6.49,16.66,-43.38
2024-04-10,6.79,16.61,-48.9
2024-04-11,7.42,16.61,-53.47
2024-04-12,7.74,16.54,-60.14
2024-04-15,7.51,16.44,-49.48
2024-04-16,6.24,16.3,-77.22
2024-04-17,5.78,16.1,-55.32
2024-04-18,5.24,15.85,-60.6
2024-04-19,5.09,15.54,-55.37
2024-04-22,4.89,15.29,-53.07
2024-04-23,5.51,15.13,-55.34
2024-04-24,5.81,14.97,-47.92
2024-04-25,5.53,14.76,-73.85
2024-04-26,4.92,14.6,-85.7
2024-04-29,4.31,14.48,-81.4
2024-04-30,3.03,14.3,-101.85
2024-05-01,1.5,14.09,-104.21
2024-05-02,0.91,13.99,-96.19
2024-05-03,0.84,13.91,-88.34
2024-05-06,0.85,13.88,-82.49
2024-05-07,1.67,13.86,-75.81
2024-05-08,2.21,13.89,-86.67
2024-05-09,2.75,13.91,-80.54
2024-05-10,3.08,14.01,-80.0
2024-05-13,3.2,14.18,-80.06
2024-05-14,3.67,14.39,-64.08
2024-05-15,4.67,14.7,-62.2
2024-05-16,5.71,15.01,-54.47
2024-05-17,7.25,15.37,-41.04
2024-05-20,8.83,15.7,-40.33
2024-05-21,9.85,15.97,-40.85
2024-05-22,9.65,16.23,-67.46
2024-05-23,9.19,16.46,-65.72
2024-05-24,8.53,16.69,-58.69
2024-05-28,7.82,16.89,-59.23
2024-05-29,7.03,17.15,-58.85
2024-05-30,7.0,17.39,-65.22
2024-05-31,7.29,17.64,-58.54
2024-06-03,7.17,17.8,-60.29
2024-06-04,6.6,17.92,-73.44
2024-06-05,6.28,18.1,-70.31
2024-06-06,6.63,18.27,-60.42
2024-06-07,6.13,18.41,-74.01
2024-06-10,5.78,18.56,-72.54
2024-06-11,5.32,18.72,-87.3
2024-06-12,4.88,18.9,-82.86
2024-06-13,4.04,19.03,-83.36
2024-06-14,3.55,19.17,-87.79
2024-06-17,2.78,19.34,-92.97
2024-06-18,2.73,19.53,-89.8
2024-06-20,2.66,19.69,-85.25
2024-06-21,2.39,19.85,-90.2
2024-06-24,2.34,20.04,-89.13
2024-06-25,2.6,20.2,-87.08
2024-06-26,2.84,20.37,-84.23
2024-06-27,2.67,20.59,-89.07
2024-06-28,2.85,20.81,-85.78
2024-07-01,3.21,20.98,-80.83
2024-07-02,3.47,21.18,-81.04
2024-07-03,4.25,21.4,-67.23
2024-07-05,5.22,21.58,-68.44
2024-07-08,5.66,21.76,-77.33
2024-07-09,5.89,21.96,-77.34
2024-07-10,6.18,22.18,-76.82
2024-07-11,5.71,22.35,-78.42
2024-07-12,5.63,22.5,-71.23
2024-07-15,5.62,22.65,-78.64
2024-07-16,5.2,22.82,-87.06
2024-07-17,4.64,22.89,-88.14
2024-07-18,3.88,22.92,-94.58
2024-07-19,2.58,22.95,-98.2
2024-07-22,1.66,23.02,-97.49
2024-07-23,0.89,23.1,-102.7
2024-07-24,-0.03,23.06,-108.45
