Date,rate_SPY,rate_SPY_5D,rate_SPY_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-06-02,-8.97,-10.258,-12.519,-9.06,-10.34,-12.606
2022-06-03,-10.43,-9.982,-12.537,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-10.16,-10.072,-12.5155,-10.26,-10.154,-12.604
2022-06-07,-9.32,-9.896,-12.315,-9.4,-9.982,-12.4025
2022-06-08,-10.29,-9.834,-12.173,-10.37,-9.918000000000001,-12.26
2022-06-09,-12.37,-10.514,-12.068,-12.42,-10.59,-12.152
2022-06-10,-14.85,-11.398,-12.0825,-14.93,-11.475999999999999,-12.1665
2022-06-13,-18.0,-12.966,-12.354,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-18.24,-14.75,-12.620000000000001,-18.32,-14.831999999999999,-12.705
2022-06-15,-17.11,-16.113999999999997,-12.9165,-17.18,-16.194,-12.999500000000001
2022-06-16,-19.78,-17.595999999999997,-13.1725,-19.83,-17.676,-13.255500000000001
2022-06-17,-19.95,-18.616,-13.4115,-19.62,-18.614,-13.472999999999999
2022-06-21,-17.99,-18.613999999999997,-13.554499999999999,-17.71,-18.532,-13.596
2022-06-22,-18.13,-18.592000000000002,-13.7815,-17.88,-18.444,-13.806000000000001
2022-06-23,-17.35,-18.64,-13.9375,-17.04,-18.416,-13.9435
2022-06-24,-14.79,-17.642000000000003,-14.002500000000001,-14.53,-17.356,-13.9905
2022-06-27,-15.11,-16.674,-14.167499999999999,-14.84,-16.4,-14.136499999999998
2022-06-28,-16.8,-16.436,-14.522,-16.63,-16.184,-14.479499999999998
2022-06-29,-16.86,-16.182000000000002,-14.855,-16.92,-15.992,-14.8125
2022-06-30,-17.52,-16.216,-15.200999999999999,-17.56,-16.096,-15.156
2022-07-01,-16.22,-16.502,-15.5635,-16.28,-16.446,-15.517
2022-07-05,-16.07,-16.694,-15.845500000000001,-16.14,-16.706,-15.799000000000001
2022-07-06,-15.8,-16.494,-16.1275,-15.85,-16.55,-16.0785
2022-07-07,-14.57,-16.035999999999998,-16.39,-14.65,-16.096,-16.341
2022-07-08,-14.64,-15.459999999999999,-16.607499999999998,-14.7,-15.524000000000001,-16.5575
2022-07-11,-15.59,-15.334,-16.7685,-15.64,-15.395999999999997,-16.7185
2022-07-12,-16.32,-15.384,-16.842000000000002,-16.4,-15.447999999999999,-16.792
2022-07-13,-16.75,-15.574000000000002,-16.779500000000002,-16.77,-15.632,-16.7245
2022-07-14,-16.95,-16.05,-16.715,-16.99,-16.1,-16.658
2022-07-15,-15.4,-16.201999999999998,-16.6295,-15.46,-16.252000000000002,-16.572
2022-07-18,-16.08,-16.3,-16.444499999999998,-16.14,-16.352,-16.3875
2022-07-19,-13.87,-15.809999999999999,-16.140499999999996,-13.93,-15.857999999999999,-16.103
2022-07-20,-13.33,-15.126,-15.907500000000002,-13.4,-15.184000000000001,-15.8875
2022-07-21,-12.47,-14.229999999999999,-15.624500000000001,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-13.26,-13.801999999999998,-15.419999999999998,-13.32,-13.868,-15.434999999999999
2022-07-25,-13.16,-13.218,-15.3385,-13.24,-13.288,-15.370499999999998
2022-07-26,-14.16,-13.276,-15.291000000000002,-14.25,-13.352,-15.341
2022-07-27,-11.99,-13.008000000000001,-15.0505,-12.07,-13.086000000000002,-15.113
2022-07-28,-10.91,-12.696,-14.753,-10.99,-12.774,-14.8165
2022-07-29,-9.64,-11.972,-14.359,-9.72,-12.053999999999998,-14.4245
2022-08-01,-9.64,-11.268,-14.029999999999998,-9.72,-11.350000000000001,-14.0965
2022-08-02,-10.07,-10.45,-13.73,-10.15,-10.53,-13.797
2022-08-03,-9.06,-9.864,-13.393,-9.12,-9.94,-13.460500000000001
2022-08-04,-9.1,-9.502,-13.119499999999999,-9.18,-9.578,-13.187000000000001
2022-08-05,-9.21,-9.416,-12.847999999999999,-9.31,-9.496,-12.9175
2022-08-08,-9.29,-9.346,-12.533,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-9.53,-9.238,-12.1935,-9.62,-9.319999999999999,-12.265
2022-08-10,-8.25,-9.075999999999999,-11.7685,-8.33,-9.162,-11.843
2022-08-11,-8.25,-8.906,-11.333499999999999,-8.33,-8.992,-11.41
2022-08-12,-7.2,-8.504,-10.9235,-7.26,-8.581999999999999,-11.0
2022-08-15,-6.94,-8.034,-10.4665,-6.98,-8.104000000000001,-10.542
2022-08-16,-6.82,-7.492,-10.114,-6.87,-7.554,-10.189
2022-08-17,-7.26,-7.294,-9.810500000000001,-7.3,-7.348000000000001,-9.884
2022-08-18,-7.08,-7.06,-9.541,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-7.9,-7.2,-9.273,-7.96,-7.244,-9.344
2022-08-22,-9.15,-7.642,-9.0725,-9.24,-7.696,-9.144
2022-08-23,-9.29,-8.136,-8.829,-9.38,-8.198,-8.9005
2022-08-24,-9.1,-8.504000000000001,-8.6845,-9.2,-8.578,-8.757
2022-08-25,-8.27,-8.741999999999999,-8.552499999999998,-8.33,-8.822,-8.623999999999999
2022-08-26,-10.3,-9.222,-8.5855,-10.4,-9.31,-8.658
2022-08-29,-10.68,-9.528,-8.6375,-10.79,-9.620000000000001,-8.7115
2022-08-30,-11.32,-9.934000000000001,-8.7,-11.42,-10.028,-8.774999999999999
2022-08-31,-11.75,-10.464,-8.8345,-11.87,-10.562,-8.9125
2022-09-01,-11.28,-11.065999999999999,-8.9435,-11.4,-11.175999999999998,-9.0235
2022-09-02,-11.86,-11.378,-9.075999999999999,-11.98,-11.492,-9.157
2022-09-06,-12.07,-11.656,-9.215,-12.17,-11.768,-9.297
2022-09-07,-10.81,-11.553999999999998,-9.279,-10.9,-11.664,-9.361
2022-09-08,-10.29,-11.261999999999999,-9.381,-10.38,-11.366,-9.4635
2022-09-09,-9.04,-10.814,-9.4205,-9.13,-10.912,-9.503499999999999
2022-09-12,-8.17,-10.075999999999999,-9.469,-8.23,-10.162,-9.552
2022-09-13,-11.92,-10.046000000000001,-9.718,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-11.6,-10.203999999999999,-9.956999999999999,-11.7,-10.290000000000001,-10.045
2022-09-15,-12.54,-10.654,-10.221,-12.63,-10.74,-10.311499999999999
2022-09-16,-13.5,-11.546000000000001,-10.541999999999998,-13.28,-11.57,-10.620000000000001
2022-09-19,-12.87,-12.486,-10.790499999999998,-12.65,-12.453999999999999,-10.8545
2022-09-20,-13.84,-12.87,-11.025,-13.61,-12.774,-11.073
2022-09-21,-15.29,-13.608,-11.325,-15.08,-13.45,-11.358
2022-09-22,-15.97,-14.294,-11.6685,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-17.33,-15.059999999999999,-12.121500000000001,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-18.12,-16.11,-12.5125,-17.92,-15.906,-12.503499999999999
2022-09-27,-18.32,-17.006,-12.894499999999999,-18.14,-16.812,-12.871
2022-09-28,-16.75,-17.298000000000002,-13.166,-16.92,-17.18,-13.146
2022-09-29,-18.45,-17.794,-13.501,-18.62,-17.748,-13.483500000000001
2022-09-30,-19.68,-18.264000000000003,-13.921000000000001,-19.84,-18.288,-13.905499999999998
2022-10-03,-17.17,-18.074,-14.1865,-17.32,-18.168,-14.172500000000003
2022-10-04,-14.7,-17.35,-14.318000000000001,-14.89,-17.518,-14.3085
2022-10-05,-14.89,-16.978,-14.522,-15.03,-17.14,-14.515
2022-10-06,-15.74,-16.436,-14.7945,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-18.0,-16.1,-15.242499999999998,-18.18,-16.264,-15.243500000000001
2022-10-10,-18.6,-16.386000000000003,-15.764000000000001,-18.77,-16.554,-15.770500000000002
2022-10-11,-19.11,-17.268,-16.1235,-19.3,-17.436,-16.135
2022-10-12,-19.37,-18.163999999999998,-16.511999999999997,-19.54,-18.338,-16.526999999999997
2022-10-13,-17.29,-18.474,-16.7495,-17.48,-18.654,-16.7695
2022-10-14,-19.13,-18.7,-17.031,-19.3,-18.878,-17.070500000000003
2022-10-17,-17.1,-18.4,-17.2425,-17.29,-18.582,-17.3025
2022-10-18,-16.15,-17.808,-17.357999999999997,-16.34,-17.99,-17.439
2022-10-19,-16.73,-17.28,-17.43,-16.91,-17.464,-17.530499999999996
2022-10-20,-17.42,-17.306,-17.5025,-17.57,-17.482,-17.619999999999997
2022-10-21,-15.46,-16.572,-17.409,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-14.44,-16.04,-17.225,-14.63,-16.216,-17.380000000000003
2022-10-25,-13.11,-15.431999999999999,-16.9645,-13.27,-15.602,-17.1365
2022-10-26,-13.75,-14.835999999999999,-16.814500000000002,-13.9,-15.0,-16.9855
2022-10-27,-14.2,-14.191999999999998,-16.602,-14.35,-14.356,-16.772
2022-10-28,-12.2,-13.540000000000001,-16.228,-12.4,-13.709999999999999,-16.4
2022-10-31,-12.82,-13.216,-16.0105,-12.98,-13.38,-16.183
2022-11-01,-12.88,-13.169999999999998,-15.9195,-13.0,-13.325999999999999,-16.0885
2022-11-02,-14.95,-13.41,-15.922500000000003,-15.11,-13.568000000000001,-16.0925
2022-11-03,-15.78,-13.725999999999999,-15.9245,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-14.64,-14.213999999999999,-15.756499999999999,-14.8,-14.372,-15.927000000000001
2022-11-07,-13.86,-14.422,-15.519499999999999,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-13.41,-14.528,-15.2345,-13.57,-14.696000000000002,-15.4035
2022-11-09,-15.13,-14.563999999999998,-15.022500000000003,-15.28,-14.73,-15.1905
2022-11-10,-10.64,-13.536000000000001,-14.690000000000001,-10.81,-13.697999999999999,-14.857
2022-11-11,-9.8,-12.568000000000001,-14.223500000000001,-9.98,-12.734,-14.391
2022-11-14,-10.55,-11.906,-13.895999999999997,-10.68,-12.064,-14.060500000000001
2022-11-15,-9.8,-11.184000000000001,-13.5785,-9.96,-11.342,-13.741499999999998
2022-11-16,-10.47,-10.252,-13.2655,-10.63,-10.412,-13.4275
2022-11-17,-10.74,-10.272,-12.9315,-10.88,-10.426,-13.093
2022-11-18,-10.34,-10.38,-12.6755,-10.49,-10.528,-12.836000000000002
2022-11-21,-10.66,-10.402000000000001,-12.4865,-10.8,-10.552000000000001,-12.6445
2022-11-22,-9.49,-10.34,-12.3055,-9.64,-10.488000000000001,-12.463
2022-11-23,-8.93,-10.032,-12.0645,-9.09,-10.180000000000001,-12.2225
2022-11-25,-8.95,-9.674000000000001,-11.802,-9.1,-9.824,-11.96
2022-11-28,-10.37,-9.68,-11.7105,-10.5,-9.825999999999999,-11.865
2022-11-29,-10.52,-9.651999999999997,-11.595500000000001,-10.66,-9.798,-11.749
2022-11-30,-7.76,-9.306000000000001,-11.3395,-7.97,-9.464,-11.4975
2022-12-01,-7.64,-9.048,-10.974,-7.76,-9.198,-11.129999999999999
2022-12-02,-7.74,-8.806,-10.572,-7.89,-8.956,-10.725999999999999
2022-12-05,-9.33,-8.597999999999999,-10.306500000000002,-9.46,-8.748000000000001,-10.459
2022-12-06,-10.59,-8.612,-10.143,-10.72,-8.76,-10.2935
2022-12-07,-10.74,-9.208,-10.0095,-10.89,-9.344,-10.1595
2022-12-08,-10.06,-9.691999999999998,-9.756,-10.21,-9.834,-9.906000000000002
2022-12-09,-10.71,-10.286000000000001,-9.7595,-10.84,-10.424000000000001,-9.9075
2022-12-12,-9.47,-10.314000000000002,-9.743,-9.61,-10.454,-9.889
2022-12-13,-8.8,-9.956,-9.6555,-8.96,-10.102,-9.803
2022-12-14,-9.37,-9.681999999999999,-9.633999999999999,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-11.54,-9.978,-9.6875,-11.68,-10.118,-9.8325
2022-12-16,-12.96,-10.428,-9.7985,-12.71,-10.492,-9.924
2022-12-19,-13.68,-11.27,-9.9655,-13.44,-11.258,-10.0715
2022-12-20,-13.57,-12.224,-10.111,-13.72,-12.209999999999999,-10.2175
2022-12-21,-12.3,-12.809999999999999,-10.2515,-12.46,-12.802000000000001,-10.3585
2022-12-22,-13.53,-13.208000000000002,-10.4815,-13.66,-13.197999999999999,-10.587
2022-12-23,-13.04,-13.223999999999998,-10.686,-13.19,-13.294,-10.7915
2022-12-27,-13.37,-13.162,-10.836,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-14.43,-13.333999999999998,-11.0315,-14.56,-13.478,-11.1375
2022-12-29,-12.92,-13.457999999999998,-11.2895,-13.08,-13.602,-11.392999999999999
2022-12-30,-13.14,-13.379999999999999,-11.5645,-13.31,-13.532,-11.6705
2023-01-03,-13.19,-13.41,-11.837,-13.32,-13.558000000000002,-11.942
2023-01-04,-12.54,-13.244,-11.997499999999999,-12.72,-13.398000000000001,-12.105
2023-01-05,-13.52,-13.062000000000001,-12.144000000000002,-13.65,-13.216,-12.2515
2023-01-06,-11.58,-12.794,-12.186,-11.74,-12.948000000000002,-12.294
2023-01-09,-11.62,-12.489999999999998,-12.264,-11.8,-12.646,-12.3735
2023-01-10,-11.02,-12.056000000000001,-12.2795,-11.18,-12.218,-12.3905
2023-01-11,-9.91,-11.53,-12.3015,-10.08,-11.690000000000001,-12.414
2023-01-12,-9.59,-10.744,-12.341,-9.75,-10.91,-12.4535
2023-01-13,-9.25,-10.278,-12.335,-9.41,-10.444,-12.449
2023-01-17,-9.41,-9.836,-12.2285,-9.54,-9.992,-12.342
2023-01-18,-10.81,-9.794,-12.121,-10.98,-9.952,-12.255500000000001
2023-01-19,-11.45,-10.102,-12.0095,-11.6,-10.256,-12.1635
2023-01-20,-9.83,-10.15,-11.822500000000002,-10.01,-10.308,-11.978
2023-01-23,-8.77,-10.054,-11.645999999999999,-8.94,-10.213999999999999,-11.802
2023-01-24,-8.87,-9.946,-11.413,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-8.83,-9.55,-11.2025,-9.01,-9.72,-11.362
2023-01-26,-7.85,-8.83,-10.9265,-8.06,-9.012,-11.089
2023-01-27,-7.64,-8.392,-10.587,-7.8,-8.57,-10.751
2023-01-30,-8.78,-8.394,-10.379999999999999,-8.93,-8.568,-10.5435
2023-01-31,-7.46,-8.112,-10.096,-7.66,-8.291999999999998,-10.261
2023-02-01,-6.35,-7.616,-9.754,-6.52,-7.794,-9.921
2023-02-02,-5.05,-7.056,-9.3795,-5.25,-7.231999999999999,-9.5475
2023-02-03,-6.01,-6.7299999999999995,-9.004,-6.21,-6.914,-9.175500000000001
2023-02-06,-6.56,-6.286,-8.753,-6.73,-6.473999999999999,-8.925
2023-02-07,-5.55,-5.903999999999999,-8.4495,-5.74,-6.09,-8.622
2023-02-08,-6.41,-5.9159999999999995,-8.219,-6.59,-6.104,-8.3925
2023-02-09,-7.08,-6.322,-8.077499999999999,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-6.9,-6.5,-7.943,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-6.0,-6.388,-7.780499999999999,-6.18,-6.564,-7.955
2023-02-14,-6.04,-6.486,-7.611999999999999,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-5.76,-6.356,-7.3595,-5.96,-6.531999999999999,-7.5375
2023-02-16,-6.94,-6.328,-7.134,-6.98,-6.478,-7.3065
2023-02-17,-7.15,-6.378,-7.0,-7.17,-6.5,-7.164500000000001
2023-02-21,-8.83,-6.944,-7.003,-8.6,-6.984,-7.147500000000001
2023-02-22,-8.94,-7.523999999999999,-7.0065,-8.69,-7.4799999999999995,-7.13
2023-02-23,-8.51,-8.074000000000002,-6.9905,-8.34,-7.956,-7.096500000000001
2023-02-24,-9.39,-8.564000000000002,-7.0675,-9.1,-8.379999999999999,-7.1485
2023-02-27,-9.11,-8.956,-7.141,-8.85,-8.716,-7.2010000000000005
2023-02-28,-9.43,-9.075999999999999,-7.1735,-9.16,-8.828,-7.2125
2023-03-01,-9.54,-9.196000000000002,-7.277500000000001,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-8.89,-9.272,-7.4045000000000005,-8.66,-9.001999999999999,-7.3985
2023-03-03,-7.55,-8.904,-7.5295000000000005,-7.41,-8.663999999999998,-7.5065
2023-03-06,-7.49,-8.58,-7.6034999999999995,-7.32,-8.358,-7.561999999999999
2023-03-07,-8.85,-8.463999999999999,-7.718000000000001,-8.65,-8.256,-7.6579999999999995
2023-03-08,-8.7,-8.296000000000001,-7.8755,-8.52,-8.112,-7.797
2023-03-09,-10.32,-8.582,-8.071,-10.08,-8.396,-7.971499999999999
2023-03-10,-11.55,-9.382,-8.294500000000001,-11.27,-9.168000000000001,-8.1725
2023-03-13,-11.67,-10.218,-8.533,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-10.26,-10.5,-8.746,-10.0,-10.256,-8.581
2023-03-15,-10.8,-10.92,-8.984,-10.53,-10.658,-8.797
2023-03-16,-9.29,-10.714,-9.160499999999999,-9.06,-10.453999999999999,-8.952
2023-03-17,-10.65,-10.533999999999999,-9.346,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-9.81,-10.162,-9.479,-9.23,-9.768,-9.206999999999999
2023-03-21,-8.65,-9.84,-9.47,-8.08,-9.384,-9.181000000000001
2023-03-22,-10.18,-9.716,-9.532,-9.56,-9.190000000000001,-9.2245
2023-03-23,-9.94,-9.846,-9.6035,-9.35,-9.248000000000001,-9.275
2023-03-24,-9.36,-9.588,-9.602,-9.13,-9.069999999999999,-9.2765
2023-03-27,-9.2,-9.466,-9.6065,-8.98,-9.02,-9.283
2023-03-28,-9.4,-9.616,-9.605,-9.14,-9.232000000000001,-9.282
2023-03-29,-8.11,-9.202,-9.5335,-7.87,-8.894,-9.2135
2023-03-30,-7.58,-8.729999999999999,-9.468,-7.33,-8.49,-9.147
2023-03-31,-6.3,-8.117999999999999,-9.4055,-6.05,-7.8740000000000006,-9.079
2023-04-03,-5.82,-7.442,-9.322,-5.56,-7.19,-8.991000000000001
2023-04-04,-6.33,-6.828,-9.196,-6.08,-6.578,-8.8625
2023-04-05,-6.57,-6.5200000000000005,-9.0895,-6.3,-6.264,-8.7515
2023-04-06,-6.21,-6.246,-8.884,-5.95,-5.988,-8.545
2023-04-10,-6.12,-6.21,-8.6125,-5.85,-5.9479999999999995,-8.274
2023-04-11,-6.09,-6.264,-8.3335,-5.84,-6.004,-7.9955
2023-04-12,-6.47,-6.292,-8.144000000000002,-6.21,-6.029999999999999,-7.806
2023-04-13,-5.25,-6.0280000000000005,-7.8665,-5.01,-5.772,-7.529999999999999
2023-04-14,-5.48,-5.882,-7.676,-5.2,-5.622,-7.337000000000001
2023-04-17,-5.14,-5.686,-7.400499999999999,-4.88,-5.428,-7.08
2023-04-18,-5.08,-5.484,-7.164,-4.82,-5.224,-6.8595
2023-04-19,-5.1,-5.21,-6.9864999999999995,-4.83,-4.948,-6.697
2023-04-20,-5.61,-5.282,-6.758,-5.36,-5.018000000000001,-6.487
2023-04-21,-5.53,-5.292,-6.5375,-5.3,-5.037999999999999,-6.2845
