Date,rate_BAC,rate_VOO,Sector,rate_BLK,rate_C,rate_COIN,rate_JPM,rate_MA,rate_MS,rate_PYPL,rate_V
2022-05-12,-23.37,-14.64,Financial Services,-28.01,-25.0,-71.96,-23.9,-11.44,-20.69,-54.4,-10.01
2022-05-13,-23.15,-12.68,Financial Services,-26.29,-23.28,-67.65,-23.24,-8.34,-18.75,-51.67,-7.63
2022-05-16,-23.93,-12.99,Financial Services,-28.21,-23.57,-70.49,-23.76,-9.16,-19.39,-52.38,-8.27
2022-05-17,-21.37,-11.29,Financial Services,-26.7,-17.84,-66.61,-21.26,-6.69,-16.36,-51.11,-5.44
2022-05-18,-23.78,-14.71,Financial Services,-28.99,-20.6,-69.87,-22.59,-7.49,-18.6,-52.67,-7.27
2022-05-19,-24.71,-15.27,Financial Services,-28.85,-19.87,-67.81,-23.73,-8.49,-19.33,-50.18,-8.47
2022-05-20,-25.99,-15.25,Financial Services,-28.0,-19.91,-68.41,-24.35,-7.42,-19.91,-50.63,-7.71
2022-05-23,-21.63,-13.68,Financial Services,-26.73,-15.09,-68.43,-19.71,-4.09,-16.98,-50.24,-3.82
2022-05-24,-22.11,-14.29,Financial Services,-25.94,-15.23,-70.67,-18.59,-6.19,-17.33,-51.79,-6.07
2022-05-25,-21.69,-13.59,Financial Services,-24.99,-15.2,-67.93,-18.03,-5.09,-17.06,-50.89,-5.52
2022-05-26,-19.89,-11.92,Financial Services,-22.01,-12.98,-66.65,-16.62,-3.7,-14.28,-50.71,-3.36
2022-05-27,-19.12,-9.77,Financial Services,-20.39,-13.73,-64.08,-15.45,-1.56,-12.83,-47.79,-1.39
2022-05-31,-18.73,-10.26,Financial Services,-20.1,-14.07,-62.77,-14.84,-1.53,-13.14,-47.79,-1.71
2022-06-01,-19.33,-10.69,Financial Services,-20.5,-15.26,-65.37,-15.87,-1.71,-13.88,-48.08,-2.66
2022-06-02,-19.27,-9.06,Financial Services,-17.5,-15.2,-62.88,-14.55,-0.1,-13.68,-44.52,-0.35
2022-06-03,-20.38,-10.5,Financial Services,-19.2,-16.96,-66.38,-15.72,-1.52,-14.76,-45.62,-1.44
2022-06-06,-20.47,-10.26,Financial Services,-18.79,-16.85,-64.41,-16.0,-0.89,-14.01,-45.45,-1.31
2022-06-07,-20.03,-9.4,Financial Services,-18.29,-15.72,-64.96,-15.78,0.16,-13.55,-44.33,-0.59
2022-06-08,-21.04,-10.37,Financial Services,-20.28,-16.83,-65.14,-17.11,-0.3,-15.69,-45.01,-1.05
2022-06-09,-24.06,-12.42,Financial Services,-20.58,-19.15,-67.85,-18.84,-3.91,-17.75,-47.13,-4.44
2022-06-10,-27.0,-14.93,Financial Services,-25.45,-22.79,-70.37,-22.54,-7.77,-21.54,-50.14,-7.46
2022-06-13,-29.52,-18.12,Financial Services,-27.64,-26.04,-73.71,-24.83,-11.83,-23.77,-53.62,-10.79
2022-06-14,-30.75,-18.32,Financial Services,-28.51,-25.61,-73.92,-26.07,-11.18,-24.0,-54.41,-10.21
2022-06-15,-29.45,-17.18,Financial Services,-27.5,-22.99,-72.21,-25.2,-10.3,-22.93,-52.31,-9.0
2022-06-16,-29.89,-19.83,Financial Services,-29.14,-24.1,-74.19,-26.48,-14.8,-25.01,-55.18,-12.26
2022-06-17,-29.74,-19.62,Financial Services,-29.54,-24.7,-74.1,-26.73,-14.29,-26.07,-54.14,-11.82
2022-06-21,-27.7,-17.71,Financial Services,-25.81,-22.38,-70.98,-24.93,-12.47,-24.33,-54.47,-9.81
2022-06-22,-28.25,-17.88,Financial Services,-26.42,-23.6,-73.76,-25.35,-12.81,-24.56,-54.09,-10.07
2022-06-23,-29.39,-17.04,Financial Services,-24.64,-24.98,-70.29,-26.16,-12.64,-24.99,-53.57,-8.78
2022-06-24,-28.88,-14.53,Financial Services,-21.97,-22.54,-68.38,-23.98,-8.92,-21.11,-51.15,-4.71
2022-06-27,-28.79,-14.84,Financial Services,-23.23,-22.59,-71.74,-24.58,-9.37,-21.5,-52.24,-5.61
2022-06-28,-28.99,-16.63,Financial Services,-24.13,-23.59,-74.12,-24.94,-12.23,-20.77,-54.81,-8.1
2022-06-29,-29.87,-16.92,Financial Services,-25.42,-23.77,-74.84,-25.27,-11.06,-20.74,-55.03,-7.47
2022-06-30,-31.47,-17.56,Financial Services,-26.45,-25.56,-76.2,-27.0,-12.99,-22.89,-56.05,-8.67
2022-07-01,-29.7,-16.28,Financial Services,-24.87,-23.48,-73.16,-25.37,-11.91,-21.59,-53.59,-7.41
2022-07-05,-30.39,-16.14,Financial Services,-24.42,-23.89,-70.07,-26.27,-11.64,-22.22,-51.76,-6.8
2022-07-06,-30.95,-15.85,Financial Services,-25.11,-24.63,-71.95,-26.73,-11.4,-22.88,-52.49,-6.54
2022-07-07,-29.02,-14.65,Financial Services,-24.07,-23.37,-68.94,-24.9,-10.34,-21.33,-51.34,-5.77
2022-07-08,-29.17,-14.7,Financial Services,-24.55,-23.55,-67.44,-25.14,-10.62,-21.59,-52.37,-5.42
2022-07-11,-29.9,-15.64,Financial Services,-26.24,-24.57,-70.84,-26.11,-10.31,-22.51,-54.26,-4.73
2022-07-12,-30.12,-16.4,Financial Services,-26.44,-24.67,-70.65,-26.04,-10.67,-22.39,-53.65,-4.84
2022-07-13,-31.28,-16.77,Financial Services,-27.24,-25.69,-71.26,-26.73,-10.53,-23.36,-53.69,-5.15
2022-07-14,-32.85,-16.99,Financial Services,-28.14,-27.9,-71.09,-29.27,-10.08,-23.66,-54.86,-4.34
2022-07-15,-28.15,-15.46,Financial Services,-26.78,-18.42,-70.89,-26.05,-8.04,-20.25,-52.05,-2.44
2022-07-18,-28.13,-16.14,Financial Services,-27.11,-18.27,-68.28,-26.81,-8.47,-19.42,-51.91,-3.74
2022-07-19,-25.7,-13.93,Financial Services,-23.54,-14.92,-64.46,-25.01,-5.93,-16.59,-49.59,-0.77
2022-07-20,-25.68,-13.4,Financial Services,-22.79,-14.4,-59.42,-25.02,-5.69,-16.43,-47.98,-0.91
2022-07-21,-25.03,-12.55,Financial Services,-22.26,-14.17,-60.11,-24.51,-4.16,-15.2,-46.37,0.39
2022-07-22,-25.52,-13.32,Financial Services,-22.92,-15.28,-61.8,-24.88,-4.98,-15.8,-47.46,-0.76
2022-07-25,-24.86,-13.24,Financial Services,-22.63,-14.87,-63.8,-24.58,-4.89,-15.68,-47.08,-0.49
2022-07-26,-26.37,-14.25,Financial Services,-24.16,-16.11,-71.35,-25.75,-5.69,-17.46,-50.04,-1.19
2022-07-27,-25.17,-12.07,Financial Services,-21.8,-14.56,-68.2,-24.57,-5.15,-15.72,-44.01,-1.98
2022-07-28,-25.77,-10.99,Financial Services,-19.87,-14.76,-66.37,-24.85,-2.67,-15.27,-44.37,-1.64
2022-07-29,-24.68,-9.72,Financial Services,-18.8,-15.29,-65.99,-24.49,-2.3,-13.9,-43.94,-1.34
2022-08-01,-24.24,-9.72,Financial Services,-18.06,-14.86,-64.39,-24.57,-3.1,-13.74,-41.51,-1.59
2022-08-02,-25.36,-10.15,Financial Services,-18.51,-16.28,-62.52,-25.44,-3.41,-14.17,-40.99,-3.26
2022-08-03,-24.36,-9.12,Financial Services,-16.39,-15.24,-56.9,-24.86,-2.37,-13.01,-36.98,-2.54
2022-08-04,-24.76,-9.18,Financial Services,-15.91,-15.66,-53.55,-25.47,-1.97,-12.78,-37.43,-0.9
2022-08-05,-23.83,-9.31,Financial Services,-15.92,-15.18,-51.83,-23.82,-1.68,-12.2,-38.24,-0.11
2022-08-08,-24.61,-9.37,Financial Services,-15.89,-15.41,-49.77,-24.5,-2.77,-12.27,-37.78,-0.95
2022-08-09,-23.95,-9.62,Financial Services,-15.87,-14.71,-53.47,-24.04,-3.82,-12.04,-38.57,-1.9
2022-08-10,-22.18,-8.33,Financial Services,-13.53,-13.47,-51.16,-22.69,-2.54,-10.28,-36.61,-1.33
2022-08-11,-20.88,-8.33,Financial Services,-13.25,-12.56,-54.78,-21.9,-3.06,-9.36,-36.52,-1.65
2022-08-12,-20.28,-7.26,Financial Services,-11.37,-12.14,-52.46,-21.01,-2.37,-8.35,-35.63,-1.57
2022-08-15,-20.36,-6.98,Financial Services,-11.05,-12.49,-51.93,-20.86,-1.31,-8.1,-35.45,0.01
2022-08-16,-19.78,-6.87,Financial Services,-10.95,-12.37,-52.49,-20.36,-1.44,-8.23,-35.21,0.23
2022-08-17,-20.12,-7.3,Financial Services,-12.03,-12.82,-54.22,-20.81,-2.15,-8.55,-36.35,-0.57
2022-08-18,-20.32,-7.11,Financial Services,-11.88,-13.05,-54.91,-21.22,-1.78,-8.29,-36.16,-0.34
2022-08-19,-21.5,-7.96,Financial Services,-14.33,-14.07,-58.2,-22.52,-2.35,-9.45,-37.57,-1.09
2022-08-22,-22.63,-9.24,Financial Services,-15.8,-15.56,-59.11,-23.37,-3.95,-10.49,-38.84,-2.38
2022-08-23,-23.09,-9.38,Financial Services,-15.66,-15.88,-59.21,-23.87,-4.79,-10.6,-39.0,-2.94
2022-08-24,-22.92,-9.2,Financial Services,-15.39,-15.82,-59.1,-23.75,-5.01,-10.4,-38.76,-2.98
2022-08-25,-22.0,-8.33,Financial Services,-14.61,-14.67,-59.14,-22.55,-4.1,-9.52,-37.48,-2.0
2022-08-26,-23.65,-10.4,Financial Services,-17.23,-17.16,-60.87,-24.24,-6.44,-11.6,-39.22,-4.15
2022-08-29,-23.84,-10.79,Financial Services,-17.27,-17.61,-61.02,-24.36,-6.91,-12.58,-39.24,-4.32
2022-08-30,-23.56,-11.42,Financial Services,-17.53,-17.93,-60.75,-24.35,-7.2,-13.21,-39.61,-4.62
2022-08-31,-24.28,-11.87,Financial Services,-18.03,-18.23,-60.84,-24.65,-7.83,-12.67,-38.9,-5.46
2022-09-01,-23.86,-11.4,Financial Services,-17.69,-17.83,-59.76,-23.69,-7.47,-11.72,-38.23,-4.88
2022-09-02,-23.91,-11.98,Financial Services,-18.21,-17.73,-59.86,-24.03,-7.96,-11.57,-38.88,-5.61
2022-09-06,-24.45,-12.17,Financial Services,-17.93,-18.4,-60.79,-24.02,-7.68,-12.41,-38.68,-5.34
2022-09-07,-23.5,-10.9,Financial Services,-16.71,-17.83,-58.06,-22.84,-6.64,-10.95,-36.85,-4.65
2022-09-08,-21.27,-10.38,Financial Services,-14.81,-15.89,-55.38,-21.2,-6.27,-9.47,-36.13,-4.52
2022-09-09,-20.67,-9.13,Financial Services,-14.43,-14.7,-51.06,-20.86,-4.79,-8.52,-36.09,-2.59
2022-09-12,-19.98,-8.23,Financial Services,-14.28,-14.4,-50.13,-20.0,-4.13,-7.87,-35.23,-1.97
2022-09-13,-22.73,-12.01,Financial Services,-20.2,-17.4,-54.35,-22.65,-7.63,-10.9,-36.9,-5.11
2022-09-14,-23.01,-11.7,Financial Services,-20.35,-18.32,-52.35,-22.82,-7.52,-10.78,-35.23,-5.23
2022-09-15,-21.63,-12.63,Financial Services,-21.64,-18.3,-53.2,-21.72,-9.91,-9.72,-36.02,-7.05
2022-09-16,-22.47,-13.28,Financial Services,-22.27,-18.83,-55.07,-22.22,-10.41,-10.53,-37.53,-7.98
2022-09-19,-21.24,-12.65,Financial Services,-21.36,-18.62,-57.43,-21.53,-10.7,-9.27,-36.88,-8.06
2022-09-20,-22.39,-13.61,Financial Services,-22.82,-20.25,-58.6,-23.04,-10.91,-10.8,-39.09,-8.55
2022-09-21,-24.65,-15.08,Financial Services,-24.49,-21.77,-58.78,-25.19,-13.34,-11.62,-39.38,-10.88
2022-09-22,-26.09,-15.78,Financial Services,-25.38,-23.0,-61.56,-26.02,-15.03,-13.21,-41.66,-11.45
2022-09-23,-27.8,-17.14,Financial Services,-26.45,-25.18,-62.19,-27.36,-16.35,-16.46,-42.1,-12.29
2022-09-26,-29.35,-17.92,Financial Services,-27.24,-27.27,-61.95,-28.87,-17.31,-18.21,-43.86,-13.84
2022-09-27,-30.38,-18.14,Financial Services,-27.97,-27.94,-61.49,-29.49,-18.32,-18.49,-42.88,-15.12
2022-09-28,-29.26,-16.92,Financial Services,-27.15,-26.59,-58.94,-28.09,-17.29,-16.48,-39.37,-14.5
2022-09-29,-30.18,-18.62,Financial Services,-29.74,-28.27,-62.16,-29.29,-18.24,-18.11,-40.95,-14.09
2022-09-30,-31.21,-19.84,Financial Services,-31.39,-29.47,-60.63,-30.37,-18.92,-18.97,-42.67,-15.22
2022-10-03,-28.48,-17.32,Financial Services,-27.97,-27.29,-58.26,-27.55,-16.78,-17.14,-40.9,-13.02
2022-10-04,-25.59,-14.89,Financial Services,-25.72,-24.21,-53.08,-24.25,-13.77,-13.53,-37.21,-11.15
2022-10-05,-26.62,-15.03,Financial Services,-26.7,-25.16,-54.01,-25.81,-12.95,-14.4,-36.53,-10.21
2022-10-06,-27.65,-15.9,Financial Services,-28.1,-26.45,-53.44,-27.28,-14.33,-16.21,-36.14,-11.18
2022-10-07,-29.25,-18.18,Financial Services,-30.67,-27.9,-57.63,-28.7,-15.52,-18.6,-38.93,-12.0
2022-10-10,-29.45,-18.77,Financial Services,-31.25,-28.88,-57.6,-29.35,-16.41,-19.12,-42.65,-12.77
2022-10-11,-31.47,-19.3,Financial Services,-33.0,-30.82,-55.67,-31.35,-18.03,-20.56,-43.6,-14.19
2022-10-12,-31.27,-19.54,Financial Services,-33.0,-30.16,-55.8,-30.26,-18.78,-20.96,-43.12,-14.62
2022-10-13,-27.11,-17.48,Financial Services,-28.77,-26.61,-56.23,-26.45,-15.8,-18.19,-42.97,-11.6
2022-10-14,-27.09,-19.3,Financial Services,-30.6,-26.14,-59.74,-25.24,-17.28,-22.29,-45.35,-12.56
2022-10-17,-22.73,-17.29,Financial Services,-28.39,-25.53,-56.28,-22.15,-15.49,-20.41,-42.55,-11.33
2022-10-18,-19.85,-16.34,Financial Services,-26.96,-24.59,-58.13,-20.17,-13.99,-18.06,-42.13,-10.42
2022-10-19,-22.04,-16.91,Financial Services,-27.34,-25.96,-60.01,-21.72,-14.72,-19.9,-42.68,-10.78
2022-10-20,-22.54,-17.57,Financial Services,-28.01,-26.67,-59.76,-21.97,-15.14,-20.97,-42.47,-10.4
2022-10-21,-19.69,-15.63,Financial Services,-25.0,-24.4,-58.02,-17.91,-13.42,-18.28,-43.04,-8.91
2022-10-24,-19.42,-14.63,Financial Services,-23.28,-24.15,-58.01,-17.81,-12.51,-18.07,-43.45,-8.75
2022-10-25,-18.68,-13.27,Financial Services,-20.32,-22.6,-52.59,-17.6,-10.87,-16.96,-39.46,-7.01
2022-10-26,-17.97,-13.9,Financial Services,-20.09,-22.45,-53.37,-16.66,-8.59,-16.55,-39.93,-2.79
2022-10-27,-17.58,-14.35,Financial Services,-18.74,-22.39,-54.21,-16.34,-8.63,-16.77,-40.74,-2.33
2022-10-28,-16.87,-12.4,Financial Services,-16.95,-21.22,-54.46,-15.35,-5.78,-15.2,-41.48,0.05
2022-10-31,-17.19,-12.98,Financial Services,-19.11,-21.68,-58.1,-15.49,-6.14,-15.25,-43.28,-0.98
2022-11-01,-16.42,-13.0,Financial Services,-17.93,-20.55,-58.5,-13.64,-4.61,-13.33,-42.53,-1.06
2022-11-02,-16.66,-15.11,Financial Services,-19.48,-21.67,-60.08,-14.4,-8.29,-12.67,-44.93,-3.82
2022-11-03,-17.11,-15.97,Financial Services,-20.07,-23.28,-63.1,-14.25,-11.22,-13.43,-46.84,-6.67
2022-11-04,-15.1,-14.8,Financial Services,-17.44,-22.36,-61.24,-11.99,-8.69,-12.19,-47.74,-5.64
2022-11-07,-14.6,-14.03,Financial Services,-15.06,-21.37,-62.38,-11.55,-6.83,-11.47,-46.11,-4.21
2022-11-08,-14.41,-13.57,Financial Services,-14.04,-20.71,-66.28,-11.5,-6.66,-11.77,-43.77,-3.42
2022-11-09,-15.55,-15.28,Financial Services,-15.74,-21.99,-69.37,-12.46,-9.47,-13.63,-45.42,-7.09
2022-11-10,-12.44,-10.81,Financial Services,-6.57,-16.82,-66.23,-9.46,-3.45,-8.18,-39.96,-1.65
2022-11-11,-11.9,-9.98,Financial Services,-5.05,-13.83,-62.07,-9.34,-2.89,-6.16,-37.11,-1.92
2022-11-14,-13.15,-10.68,Financial Services,-8.47,-15.81,-64.76,-10.12,-2.86,-7.15,-38.14,-1.05
2022-11-15,-13.28,-9.96,Financial Services,-8.55,-15.79,-63.27,-10.63,-1.7,-6.45,-37.9,0.42
2022-11-16,-14.0,-10.63,Financial Services,-9.83,-16.91,-67.61,-10.54,-1.91,-7.14,-39.81,0.49
2022-11-17,-14.4,-10.88,Financial Services,-10.38,-17.12,-67.64,-10.84,-2.33,-8.03,-40.76,0.89
