Date,rate_QQQ_5D,rate_VOO_20D,Max_Divergence
2022-05-12,-19.56,-9.02,-45.83
2022-05-13,-19.93,-9.39,-46.14
2022-05-16,-19.87,-9.77,-49.65
2022-05-17,-19.58,-10.14,-54.03
2022-05-18,-19.62,-10.68,-45.34
2022-05-19,-19.71,-11.17,-42.76
2022-05-20,-20.41,-11.54,-44.52
2022-05-23,-20.67,-11.86,-51.75
2022-05-24,-21.68,-12.08,-56.89
2022-05-25,-21.67,-12.27,-57.1
2022-05-26,-21.16,-12.49,-61.16
2022-05-27,-20.07,-12.44,-70.01
2022-05-31,-19.28,-12.45,-64.04
2022-06-01,-18.19,-12.5,-58.56
2022-06-02,-16.87,-12.61,-62.91
2022-06-03,-16.42,-12.62,-61.24
2022-06-06,-16.43,-12.6,-62.38
2022-06-07,-16.25,-12.4,-69.68
2022-06-08,-16.17,-12.26,-59.59
2022-06-09,-16.96,-12.15,-50.81
2022-06-10,-17.89,-12.17,-44.27
2022-06-13,-19.57,-12.44,-38.52
2022-06-14,-21.38,-12.7,-36.3
2022-06-15,-22.7,-13.0,-34.69
2022-06-16,-24.18,-13.26,-31.97
2022-06-17,-24.93,-13.47,-28.9
2022-06-21,-24.63,-13.6,-33.26
2022-06-22,-24.38,-13.81,-32.61
2022-06-23,-24.27,-13.94,-32.63
2022-06-24,-23.04,-13.99,-37.72
2022-06-27,-22.1,-14.14,-38.68
2022-06-28,-21.97,-14.48,-37.94
2022-06-29,-21.8,-14.81,-35.17
2022-06-30,-22.04,-15.16,-35.59
2022-07-01,-22.58,-15.52,-39.37
2022-07-05,-22.75,-15.8,-32.84
2022-07-06,-22.35,-16.08,-32.18
2022-07-07,-21.64,-16.34,-31.67
2022-07-08,-20.71,-16.56,-30.54
2022-07-11,-20.35,-16.72,-33.57
2022-07-12,-20.39,-16.79,-31.95
2022-07-13,-20.56,-16.72,-29.99
2022-07-14,-21.01,-16.66,-26.66
2022-07-15,-21.2,-16.57,-30.21
2022-07-18,-21.18,-16.39,-28.81
2022-07-19,-20.53,-16.1,-32.09
2022-07-20,-19.59,-15.89,-27.84
2022-07-21,-18.48,-15.62,-27.17
2022-07-22,-17.94,-15.43,-30.71
2022-07-25,-17.35,-15.37,-34.97
2022-07-26,-17.56,-15.34,-36.49
2022-07-27,-17.36,-15.11,-33.47
2022-07-28,-17.23,-14.82,-39.22
2022-07-29,-16.5,-14.42,-41.87
2022-08-01,-15.62,-14.1,-38.58
2022-08-02,-14.47,-13.8,-34.58
2022-08-03,-13.63,-13.46,-31.03
2022-08-04,-12.9,-13.19,-26.91
2022-08-05,-12.58,-12.92,-30.83
2022-08-08,-12.37,-12.6,-32.23
2022-08-09,-12.25,-12.26,-35.76
2022-08-10,-12.14,-11.84,-37.09
2022-08-11,-12.16,-11.41,-41.3
2022-08-12,-11.85,-11.0,-46.01
2022-08-15,-11.39,-10.54,-44.7
2022-08-16,-10.83,-10.19,-49.05
2022-08-17,-10.73,-9.88,-49.59
2022-08-18,-10.53,-9.61,-51.62
2022-08-19,-10.79,-9.34,-49.75
2022-08-22,-11.46,-9.14,-45.35
2022-08-23,-12.11,-8.9,-43.71
2022-08-24,-12.58,-8.76,-44.67
2022-08-25,-12.89,-8.62,-47.66
2022-08-26,-13.44,-8.66,-41.25
2022-08-29,-13.8,-8.71,-41.24
2022-08-30,-14.28,-8.77,-38.88
2022-08-31,-14.85,-8.91,-36.31
2022-09-01,-15.54,-9.02,-38.07
2022-09-02,-15.9,-9.16,-37.73
2022-09-06,-16.23,-9.3,-38.62
2022-09-07,-16.16,-9.36,-42.39
2022-09-08,-15.95,-9.46,-45.76
2022-09-09,-15.49,-9.5,-47.32
2022-09-12,-14.7,-9.55,-52.13
2022-09-13,-14.73,-9.8,-41.88
2022-09-14,-14.91,-10.04,-40.34
2022-09-15,-15.43,-10.31,-40.38
2022-09-16,-16.38,-10.62,-37.05
2022-09-19,-17.43,-10.85,-40.24
2022-09-20,-17.69,-11.07,-34.97
2022-09-21,-18.36,-11.36,-31.1
2022-09-22,-18.96,-11.69,-31.31
2022-09-23,-19.71,-12.13,-28.12
2022-09-26,-20.62,-12.5,-24.27
2022-09-27,-21.39,-12.87,-22.6
2022-09-28,-21.59,-13.15,-22.58
2022-09-29,-22.03,-13.48,-23.31
2022-09-30,-22.49,-13.91,-22.13
2022-10-03,-22.42,-14.17,-26.67
2022-10-04,-21.89,-14.31,-31.5
2022-10-05,-21.67,-14.52,-30.54
2022-10-06,-21.12,-14.79,-27.23
2022-10-07,-20.91,-15.24,-27.39
2022-10-10,-21.3,-15.77,-27.33
2022-10-11,-22.36,-16.14,-29.07
2022-10-12,-23.43,-16.53,-27.64
2022-10-13,-24.03,-16.77,-32.89
2022-10-14,-24.49,-17.07,-31.97
2022-10-17,-24.33,-17.3,-33.49
2022-10-18,-23.84,-17.44,-37.58
2022-10-19,-23.4,-17.53,-34.59
2022-10-20,-23.39,-17.62,-31.76
2022-10-21,-22.57,-17.54,-36.72
2022-10-24,-22.06,-17.38,-40.26
2022-10-25,-21.34,-17.14,-42.43
2022-10-26,-20.92,-16.99,-48.71
2022-10-27,-20.71,-16.77,-53.94
2022-10-28,-20.38,-16.4,-59.19
2022-10-31,-20.41,-16.18,-59.17
2022-11-01,-20.82,-16.09,-61.08
2022-11-02,-21.39,-16.09,-55.66
2022-11-03,-21.96,-16.1,-56.23
2022-11-04,-22.77,-15.93,-60.81
2022-11-07,-23.24,-15.69,-63.93
2022-11-08,-23.54,-15.4,-65.44
2022-11-09,-23.68,-15.19,-58.38
2022-11-10,-22.44,-14.86,-73.36
2022-11-11,-21.13,-14.39,-73.15
2022-11-14,-20.13,-14.06,-68.45
2022-11-15,-19.02,-13.74,-69.38
2022-11-16,-17.77,-13.43,-69.24
2022-11-17,-17.66,-13.09,-67.0
2022-11-18,-17.84,-12.84,-73.12
2022-11-21,-18.04,-12.64,-75.93
2022-11-22,-18.23,-12.46,-85.06
2022-11-23,-18.04,-12.22,-87.35
2022-11-25,-17.92,-11.96,-93.08
2022-11-28,-18.04,-11.86,-78.67
2022-11-29,-18.11,-11.75,-81.71
2022-11-30,-17.69,-11.5,-97.49
2022-12-01,-17.34,-11.13,-96.78
2022-12-02,-16.95,-10.73,-97.59
2022-12-05,-16.58,-10.46,-79.18
2022-12-06,-16.43,-10.29,-73.69
2022-12-07,-17.07,-10.16,-73.92
2022-12-08,-17.62,-9.91,-76.4
2022-12-09,-18.21,-9.91,-70.85
2022-12-12,-18.32,-9.89,-82.41
2022-12-13,-17.93,-9.8,-85.94
2022-12-14,-17.6,-9.78,-81.68
2022-12-15,-17.99,-9.83,-71.15
2022-12-16,-18.44,-9.92,-63.18
2022-12-19,-19.33,-10.07,-63.76
2022-12-20,-20.41,-10.22,-60.86
2022-12-21,-21.15,-10.36,-68.22
2022-12-22,-21.73,-10.59,-67.35
2022-12-23,-22.12,-10.79,-72.02
2022-12-27,-22.47,-10.94,-75.74
2022-12-28,-23.0,-11.14,-69.92
2022-12-29,-23.4,-11.39,-75.46
2022-12-30,-23.43,-11.67,-72.73
2023-01-03,-23.48,-11.94,-72.37
2023-01-04,-23.25,-12.1,-77.67
2023-01-05,-23.06,-12.25,-74.29
2023-01-06,-22.81,-12.29,-85.09
2023-01-09,-22.46,-12.37,-79.92
2023-01-10,-21.99,-12.39,-84.08
2023-01-11,-21.31,-12.41,-90.77
2023-01-12,-20.31,-12.45,-92.82
2023-01-13,-19.62,-12.45,-93.94
2023-01-17,-18.99,-12.34,-89.62
2023-01-18,-18.7,-12.26,-74.23
2023-01-19,-18.84,-12.16,-71.64
2023-01-20,-18.63,-11.98,-77.42
2023-01-23,-18.17,-11.8,-78.64
2023-01-24,-17.78,-11.57,-78.54
2023-01-25,-17.22,-11.36,-81.13
2023-01-26,-16.18,-11.09,-82.51
2023-01-27,-15.4,-10.75,-77.95
2023-01-30,-15.33,-10.54,-74.58
2023-01-31,-14.97,-10.26,-87.34
2023-02-01,-14.16,-9.92,-88.04
2023-02-02,-13.07,-9.55,-76.19
2023-02-03,-12.45,-9.18,-73.75
2023-02-06,-11.63,-8.93,-71.17
2023-02-07,-10.76,-8.62,-74.04
2023-02-08,-10.58,-8.39,-71.93
2023-02-09,-11.12,-8.25,-65.24
2023-02-10,-11.46,-8.12,-76.49
2023-02-13,-11.41,-7.96,-82.85
2023-02-14,-11.57,-7.79,-73.59
2023-02-15,-11.35,-7.54,-71.81
2023-02-16,-11.27,-7.31,-65.76
2023-02-17,-11.19,-7.16,-68.2
2023-02-21,-11.67,-7.15,-59.3
2023-02-22,-12.24,-7.13,-56.96
2023-02-23,-12.81,-7.1,-56.59
2023-02-24,-13.33,-7.15,-55.93
2023-02-27,-13.66,-7.2,-55.03
2023-02-28,-13.68,-7.21,-50.76
2023-03-01,-13.78,-7.29,-52.6
2023-03-02,-13.86,-7.4,-55.77
2023-03-03,-13.42,-7.51,-61.4
2023-03-06,-13.05,-7.56,-62.16
2023-03-07,-12.86,-7.66,-48.9
2023-03-08,-12.53,-7.8,-46.36
2023-03-09,-12.61,-7.97,-37.7
2023-03-10,-13.22,-8.17,-33.19
2023-03-13,-13.73,-8.39,-26.38
2023-03-14,-13.66,-8.58,-25.4
2023-03-15,-13.59,-8.8,-14.91
2023-03-16,-12.79,-8.95,-9.05
2023-03-17,-11.85,-9.1,-2.69
2023-03-20,-10.99,-9.21,-9.64
2023-03-21,-10.25,-9.18,-9.65
2023-03-22,-9.84,-9.22,-5.33
2023-03-23,-9.67,-9.28,3.42
2023-03-24,-9.36,-9.28,4.71
2023-03-27,-9.19,-9.28,-3.67
2023-03-28,-9.38,-9.28,-7.11
2023-03-29,-9.0,-9.21,-3.68
2023-03-30,-8.65,-9.15,0.27
2023-03-31,-8.07,-9.08,4.46
2023-04-03,-7.38,-8.99,-5.76
2023-04-04,-6.66,-8.86,-1.81
2023-04-05,-6.45,-8.75,-12.54
2023-04-06,-6.28,-8.54,-8.91
2023-04-10,-6.43,-8.27,-11.62
2023-04-11,-6.66,-8.0,-20.38
2023-04-12,-6.97,-7.81,-24.32
2023-04-13,-6.79,-7.53,-23.95
2023-04-14,-6.77,-7.34,-22.31
2023-04-17,-6.72,-7.08,-28.89
2023-04-18,-6.57,-6.86,-30.5
2023-04-19,-6.29,-6.7,-30.85
2023-04-20,-6.43,-6.49,-28.54
2023-04-21,-6.52,-6.28,-28.49
2023-04-24,-6.65,-6.09,-34.36
2023-04-25,-7.1,-5.96,-32.66
2023-04-26,-7.44,-5.84,-18.44
2023-04-27,-7.23,-5.71,-10.88
2023-04-28,-6.91,-5.57,-14.69
2023-05-01,-6.56,-5.49,-15.52
2023-05-02,-6.05,-5.49,-8.93
2023-05-03,-5.76,-5.49,-7.73
2023-05-04,-5.97,-5.51,-2.24
2023-05-05,-5.92,-5.47,2.52
2023-05-08,-5.84,-5.43,6.07
2023-05-09,-5.72,-5.42,2.18
2023-05-10,-5.29,-5.36,13.92
2023-05-11,-4.74,-5.37,21.8
2023-05-12,-4.62,-5.38,17.38
2023-05-15,-4.44,-5.39,22.22
2023-05-16,-4.13,-5.43,32.39
2023-05-17,-3.79,-5.42,41.23
2023-05-18,-3.15,-5.33,75.07
2023-05-19,-2.49,-5.26,70.26
2023-05-22,-1.87,-5.18,78.34
2023-05-23,-1.52,-5.1,57.29
2023-05-24,-1.49,-5.04,53.9
2023-05-25,-1.35,-5.01,95.74
2023-05-26,-0.66,-4.96,166.67
2023-05-30,0.06,-4.9,180.58
2023-05-31,0.91,-4.83,155.56
2023-06-01,2.08,-4.67,210.37
2023-06-02,2.91,-4.42,346.25
2023-06-05,3.25,-4.25,324.02
2023-06-06,3.49,-4.07,350.94
2023-06-07,3.51,-3.9,221.47
2023-06-08,3.56,-3.71,364.66
2023-06-09,3.55,-3.5,433.33
2023-06-12,3.86,-3.25,2159.26
2023-06-13,4.33,-2.98,1568.42
2023-06-14,5.28,-2.67,1475.56
2023-06-15,6.24,-2.36,383.72
2023-06-16,7.0,-2.11,468.15
2023-06-20,7.36,-1.88,728.09
2023-06-21,7.28,-1.67,1602.86
2023-06-22,7.3,-1.4,909.86
2023-06-23,6.86,-1.12,15450.0
2023-06-26,6.28,-0.91,1160.0
2023-06-27,6.11,-0.7,918.75
2023-06-28,6.26,-0.5,873.91
2023-06-29,6.13,-0.26,858.82
2023-06-30,6.53,-0.02,338.92
2023-07-03,7.22,0.16,310.0
2023-07-05,7.55,0.34,360.11
2023-07-06,7.68,0.46,661.86
2023-07-07,7.79,0.6,851.35
2023-07-10,7.58,0.71,600.99
2023-07-11,7.44,0.86,355.76
2023-07-12,7.54,0.99,254.92
2023-07-13,8.1,1.13,213.19
2023-07-14,8.73,1.27,220.44
2023-07-17,9.53,1.36,213.03
2023-07-18,10.4,1.51,175.64
2023-07-19,11.04,1.69,161.81
2023-07-20,10.9,1.87,146.11
2023-07-21,10.7,2.02,137.73
2023-07-24,10.36,2.24,117.67
2023-07-25,10.0,2.49,120.61
2023-07-26,9.57,2.69,112.01
2023-07-27,9.56,2.85,137.09
2023-07-28,9.99,3.06,134.71
2023-07-31,10.4,3.22,127.94
2023-08-01,10.58,3.35,134.76
2023-08-02,10.36,3.44,144.19
2023-08-03,10.16,3.56,155.59
2023-08-04,9.48,3.67,172.95
2023-08-07,8.97,3.8,143.53
2023-08-08,8.41,3.88,145.78
2023-08-09,8.14,3.9,155.79
2023-08-10,7.94,3.88,157.09
2023-08-11,7.73,3.87,144.88
2023-08-14,7.52,3.85,141.8
2023-08-15,7.3,3.76,188.11
2023-08-16,7.09,3.63,222.68
2023-08-17,6.7,3.5,294.24
2023-08-18,6.39,3.38,271.72
2023-08-21,6.14,3.26,243.68
2023-08-22,6.02,3.12,276.02
2023-08-23,6.28,3.01,210.7
2023-08-24,6.38,2.89,292.81
2023-08-25,6.62,2.75,232.99
2023-08-28,6.73,2.62,194.19
2023-08-29,7.17,2.55,155.62
2023-08-30,7.47,2.56,147.27
2023-08-31,8.12,2.57,158.94
2023-09-01,8.61,2.61,146.85
2023-09-05,9.01,2.6,171.64
2023-09-06,8.95,2.57,201.09
2023-09-07,8.66,2.55,205.62
2023-09-08,8.36,2.54,195.8
2023-09-11,8.34,2.56,174.54
2023-09-12,8.08,2.53,186.4
2023-09-13,8.06,2.55,188.03
2023-09-14,8.34,2.64,144.32
2023-09-15,8.24,2.69,195.1
2023-09-18,7.89,2.75,180.86
2023-09-19,7.72,2.77,195.34
2023-09-20,7.18,2.76,285.21
2023-09-21,6.09,2.63,1890.0
2023-09-22,5.36,2.53,918.18
2023-09-25,4.74,2.43,13700.0
2023-09-26,3.85,2.23,271.62
2023-09-27,3.32,1.99,290.41
2023-09-28,3.32,1.74,387.3
2023-09-29,3.34,1.49,348.32
2023-10-02,3.42,1.23,403.4
2023-10-03,3.44,0.93,196.03
2023-10-04,3.69,0.69,294.69
2023-10-05,3.72,0.46,273.49
2023-10-06,4.06,0.27,638.61
2023-10-09,4.36,0.09,1755.56
2023-10-10,5.14,-0.04,4571.43
2023-10-11,5.79,-0.15,1203.57
2023-10-12,6.43,-0.34,23200.0
2023-10-13,6.47,-0.49,1118.18
2023-10-16,6.63,-0.59,1342.55
2023-10-17,6.61,-0.68,1239.58
2023-10-18,6.16,-0.8,694.12
2023-10-19,5.59,-0.87,342.86
2023-10-20,4.98,-0.99,187.89
2023-10-23,4.19,-1.15,193.14
2023-10-24,3.67,-1.19,264.1
2023-10-25,2.93,-1.3,135.68
2023-10-26,1.99,-1.48,87.89
2023-10-27,1.46,-1.67,97.73
2023-10-30,1.09,-1.81,123.8
2023-10-31,0.61,-1.85,140.95
2023-11-01,0.98,-1.87,226.51
2023-11-02,2.09,-1.8,810.0
2023-11-03,3.35,-1.74,3147.37
2023-11-06,4.47,-1.7,1636.84
2023-11-07,5.69,-1.67,1066.15
2023-11-08,6.59,-1.66,947.95
2023-11-09,6.97,-1.66,68500.0
2023-11-10,7.57,-1.56,505.26
2023-11-13,8.03,-1.51,523.94
2023-11-14,8.75,-1.37,234.73
2023-11-15,9.47,-1.15,215.69
2023-11-16,10.37,-0.88,206.2
2023-11-17,10.81,-0.54,195.08
2023-11-20,11.59,-0.16,174.95
2023-11-21,11.77,0.18,177.06
2023-11-22,12.02,0.6,160.5
2023-11-24,12.22,1.09,154.21
2023-11-27,12.4,1.59,161.83
2023-11-28,12.36,2.04,161.59
2023-11-29,12.43,2.45,163.56
2023-11-30,12.37,2.83,138.28
2023-12-01,12.34,3.15,117.79
2023-12-04,12.16,3.39,122.5
2023-12-05,11.97,3.63,128.15
2023-12-06,11.7,3.83,134.75
2023-12-07,11.72,4.07,127.96
2023-12-08,11.81,4.36,120.1
2023-12-11,12.23,4.59,120.1
2023-12-12,12.77,4.84,116.36
2023-12-13,13.67,5.07,96.72
2023-12-14,14.3,5.31,88.67
2023-12-15,14.96,5.52,98.39
2023-12-18,15.56,5.76,90.72
2023-12-19,16.09,5.99,85.26
2023-12-20,16.06,6.14,105.19
2023-12-21,16.28,6.32,98.68
2023-12-22,16.44,6.51,95.68
2023-12-26,16.63,6.72,94.74
2023-12-27,16.75,6.94,93.08
2023-12-28,17.18,7.15,92.32
2023-12-29,17.27,7.34,92.33
2024-01-02,16.91,7.47,83.82
2024-01-03,16.2,7.59,84.06
2024-01-04,15.35,7.7,83.82
2024-01-05,14.53,7.83,82.47
2024-01-08,14.27,8.0,77.97
2024-01-09,14.46,8.14,85.27
2024-01-10,15.04,8.3,81.67
2024-01-11,15.78,8.43,84.87
2024-01-12,16.5,8.5,84.72
2024-01-16,16.76,8.53,91.03
2024-01-17,16.84,8.55,94.66
2024-01-18,17.1,8.58,95.44
2024-01-19,17.77,8.64,96.71
2024-01-22,18.46,8.79,94.22
2024-01-23,19.25,8.91,93.81
2024-01-24,20.3,9.03,98.44
2024-01-25,21.05,9.15,90.73
2024-01-26,21.2,9.27,85.4
2024-01-29,21.57,9.42,84.99
2024-01-30,21.67,9.57,79.32
2024-01-31,21.17,9.69,83.25
2024-02-01,20.84,9.88,76.0
2024-02-02,21.06,10.14,78.49
2024-02-05,20.99,10.38,82.19
2024-02-06,21.04,10.55,76.11
2024-02-07,21.81,10.77,75.9
2024-02-08,22.42,10.97,76.77
2024-02-09,22.87,11.19,78.89
2024-02-12,23.26,11.41,75.96
2024-02-13,23.31,11.57,80.94
2024-02-14,23.38,11.81,77.82
2024-02-15,23.47,12.04,71.67
2024-02-16,23.11,12.18,70.11
2024-02-20,22.66,12.29,70.31
2024-02-21,22.5,12.39,65.24
2024-02-22,22.77,12.6,65.26
2024-02-23,22.9,12.77,62.31
2024-02-26,23.23,12.93,66.05
2024-02-27,23.81,13.07,65.83
2024-02-28,24.35,13.21,63.21
2024-02-29,24.4,13.44,65.78
2024-03-01,24.8,13.65,66.54
2024-03-04,25.13,13.82,65.11
2024-03-05,24.95,13.94,62.53
2024-03-06,25.06,14.08,61.32
2024-03-07,25.33,14.24,61.88
2024-03-08,24.96,14.36,57.42
2024-03-11,24.59,14.45,55.36
2024-03-12,25.02,14.6,56.42
2024-03-13,25.1,14.81,51.99
2024-03-14,24.75,14.96,52.04
2024-03-15,24.47,15.04,49.1
2024-03-18,24.47,15.18,49.84
2024-03-19,24.19,15.38,47.04
2024-03-20,24.38,15.6,48.68
2024-03-21,24.76,15.74,49.41
2024-03-22,25.46,15.85,53.85
2024-03-25,25.87,15.98,53.38
2024-03-26,26.13,16.07,53.22
2024-03-27,26.19,16.22,48.78
2024-03-28,26.09,16.34,47.55
2024-04-01,25.92,16.41,50.06
2024-04-02,25.63,16.45,49.67
2024-04-03,25.47,16.55,50.54
2024-04-04,24.85,16.56,50.56
2024-04-05,24.57,16.57,49.54
2024-04-08,24.32,16.61,49.36
2024-04-09,24.39,16.66,50.88
2024-04-10,24.18,16.61,54.13
2024-04-11,24.74,16.61,58.88
2024-04-12,24.62,16.54,61.22
2024-04-15,24.08,16.44,62.33
2024-04-16,23.46,16.3,64.86
2024-04-17,22.76,16.1,61.83
2024-04-18,21.53,15.85,59.47
2024-04-19,20.21,15.54,50.74
2024-04-22,19.53,15.29,48.87
2024-04-23,19.19,15.13,46.48
2024-04-24,19.23,14.97,50.26
2024-04-25,19.29,14.76,51.17
2024-04-26,20.2,14.6,52.23
2024-04-29,20.98,14.48,51.53
2024-04-30,20.95,14.3,54.87
2024-05-01,20.61,14.09,52.59
2024-05-02,20.68,13.99,51.94
2024-05-03,20.85,13.91,53.83
2024-05-06,21.18,13.88,51.13
2024-05-07,21.98,13.86,49.75
2024-05-08,23.0,13.89,49.22
2024-05-09,23.77,13.91,44.97
2024-05-10,24.14,14.01,45.4
2024-05-13,24.29,14.18,47.06
2024-05-14,24.6,14.39,47.01
2024-05-15,25.32,14.7,46.36
2024-05-16,25.93,15.01,46.77
2024-05-17,26.47,15.37,45.04
2024-05-20,27.14,15.7,48.86
2024-05-21,27.69,15.97,47.68
2024-05-22,27.84,16.23,50.27
2024-05-23,27.94,16.46,54.37
2024-05-24,28.28,16.69,54.26
2024-05-28,28.55,16.89,55.99
2024-05-29,28.58,17.15,58.13
2024-05-30,28.35,17.39,57.39
2024-05-31,28.19,17.64,47.37
2024-06-03,27.82,17.8,50.06
2024-06-04,27.43,17.92,50.77
2024-06-05,27.73,18.1,53.11
2024-06-06,28.3,18.27,53.01
2024-06-07,28.88,18.41,53.63
2024-06-10,29.53,18.56,53.31
2024-06-11,30.29,18.72,55.63
2024-06-12,30.88,18.9,56.46
2024-06-13,31.62,19.03,58.18
2024-06-14,32.51,19.17,60.62
2024-06-17,33.63,19.34,61.11
2024-06-18,34.58,19.53,59.05
2024-06-20,34.99,19.69,56.75
2024-06-21,35.18,19.85,57.03
2024-06-24,34.89,20.04,51.43
2024-06-25,34.53,20.2,54.38
2024-06-26,34.21,20.37,54.58
2024-06-27,34.16,20.59,54.82
2024-06-28,34.06,20.81,57.48
2024-07-01,34.32,20.98,58.82
2024-07-02,34.55,21.18,59.5
2024-07-03,34.92,21.4,60.41
2024-07-05,35.44,21.58,61.27
2024-07-08,36.14,21.76,61.76
2024-07-09,36.84,21.96,61.5
2024-07-10,37.55,22.18,59.94
2024-07-11,37.59,22.35,55.31
2024-07-12,37.53,22.5,54.1
