Date,rate_ALB_5D,rate_VOO_20D,Max_Divergence
2022-03-24,-9.18,-6.36,-82.69
2022-03-25,-7.49,-6.18,-56.17
2022-03-28,-6.12,-5.97,-201.18
2022-03-29,-4.65,-5.63,-218.75
2022-03-30,-3.34,-5.41,-13.76
2022-03-31,-2.73,-5.23,17.9
2022-04-01,-2.08,-5.01,79.91
2022-04-04,-1.06,-4.61,101.38
2022-04-05,-1.51,-4.25,-43.13
2022-04-06,-2.51,-4.04,-75.63
2022-04-07,-3.31,-3.79,-97.1
2022-04-08,-4.52,-3.5,-94.29
2022-04-11,-6.25,-3.25,-74.7
2022-04-12,-7.31,-3.12,-71.59
2022-04-13,-7.21,-3.03,-37.12
2022-04-14,-7.29,-3.06,-21.04
2022-04-18,-7.4,-3.14,-31.4
2022-04-19,-6.35,-3.15,13.92
2022-04-20,-5.29,-3.21,4.81
2022-04-21,-5.74,-3.28,-51.5
2022-04-22,-6.64,-3.53,-39.57
2022-04-25,-7.62,-3.79,-61.74
2022-04-26,-10.27,-4.2,-67.14
2022-04-27,-12.45,-4.66,-50.67
2022-04-28,-13.5,-4.98,-77.26
2022-04-29,-14.19,-5.4,-32.96
2022-05-02,-14.72,-5.78,-46.05
2022-05-03,-13.82,-6.19,-25.88
2022-05-04,-11.71,-6.41,40.77
2022-05-05,-8.05,-6.74,149.36
2022-05-06,-3.65,-7.12,170.95
2022-05-09,-1.03,-7.62,89.2
2022-05-10,1.09,-8.04,88.28
2022-05-11,0.87,-8.5,64.13
2022-05-12,-1.14,-9.02,65.57
2022-05-13,-2.32,-9.39,113.33
2022-05-16,-1.91,-9.77,104.62
2022-05-17,-0.34,-10.14,155.45
2022-05-18,1.67,-10.68,132.83
2022-05-19,3.91,-11.17,140.54
2022-05-20,4.58,-11.54,132.98
2022-05-23,6.04,-11.86,157.6
2022-05-24,6.38,-12.08,155.77
2022-05-25,6.51,-12.27,140.47
2022-05-26,7.91,-12.49,210.65
2022-05-27,10.94,-12.44,306.14
2022-05-31,12.47,-12.45,251.46
2022-06-01,12.17,-12.5,160.43
2022-06-02,13.33,-12.61,224.72
2022-06-03,12.9,-12.62,205.43
2022-06-06,11.7,-12.6,237.82
2022-06-07,11.43,-12.4,250.85
2022-06-08,12.6,-12.26,218.8
2022-06-09,11.77,-12.15,157.57
2022-06-10,10.56,-12.17,133.49
2022-06-13,7.45,-12.44,92.27
2022-06-14,4.43,-12.7,94.98
2022-06-15,1.06,-13.0,73.69
2022-06-16,-2.4,-13.26,48.76
2022-06-17,-4.57,-13.47,70.18
2022-06-21,-5.08,-13.6,77.58
2022-06-22,-5.7,-13.81,77.57
2022-06-23,-5.83,-13.94,69.72
2022-06-24,-3.85,-13.99,98.07
2022-06-27,-2.58,-14.14,103.5
2022-06-28,-1.98,-14.48,94.11
2022-06-29,-2.36,-14.81,65.07
2022-06-30,-2.77,-15.16,59.05
2022-07-01,-4.44,-15.52,47.05
2022-07-05,-6.67,-15.8,34.14
2022-07-06,-8.78,-16.08,27.13
2022-07-07,-9.5,-16.34,35.15
2022-07-08,-9.7,-16.56,44.15
2022-07-11,-10.16,-16.72,30.31
2022-07-12,-10.56,-16.79,22.87
2022-07-13,-10.77,-16.72,25.04
2022-07-14,-11.32,-16.66,27.72
2022-07-15,-11.78,-16.57,32.02
2022-07-18,-11.42,-16.39,43.56
2022-07-19,-10.05,-16.1,58.65
2022-07-20,-7.98,-15.89,83.21
2022-07-21,-5.44,-15.62,103.43
2022-07-22,-3.62,-15.43,89.56
2022-07-25,-1.54,-15.37,109.74
2022-07-26,-0.34,-15.34,101.47
2022-07-27,0.96,-15.11,135.13
2022-07-28,1.9,-14.82,146.68
2022-07-29,3.9,-14.42,188.89
2022-08-01,4.96,-14.1,167.49
2022-08-02,6.48,-13.8,177.24
2022-08-03,6.92,-13.46,170.39
2022-08-04,6.87,-13.19,153.38
2022-08-05,6.33,-12.92,163.48
2022-08-08,6.64,-12.6,186.98
2022-08-09,6.7,-12.26,184.2
2022-08-10,7.91,-11.84,249.94
2022-08-11,9.81,-11.41,272.99
2022-08-12,12.47,-11.0,364.19
2022-08-15,14.82,-10.54,385.53
2022-08-16,17.09,-10.19,382.82
2022-08-17,18.38,-9.88,359.45
2022-08-18,19.34,-9.61,370.46
2022-08-19,19.06,-9.34,323.24
2022-08-22,18.8,-9.14,301.73
2022-08-23,18.91,-8.9,313.01
2022-08-24,19.46,-8.76,335.87
2022-08-25,20.35,-8.62,384.03
2022-08-26,21.15,-8.66,309.33
2022-08-29,21.62,-8.71,294.35
2022-08-30,21.15,-8.77,254.47
2022-08-31,20.07,-8.91,237.57
2022-09-01,17.94,-9.02,213.95
2022-09-02,16.34,-9.16,214.94
2022-09-06,15.26,-9.3,228.02
2022-09-07,15.72,-9.36,282.94
2022-09-08,17.4,-9.46,337.96
2022-09-09,20.43,-9.5,408.65
2022-09-12,23.05,-9.55,426.37
2022-09-13,25.39,-9.8,326.89
2022-09-14,27.47,-10.04,359.57
2022-09-15,27.19,-10.31,284.4
2022-09-16,26.25,-10.62,276.88
2022-09-19,26.25,-10.85,312.25
2022-09-20,25.45,-11.07,270.9
2022-09-21,23.83,-11.36,247.55
2022-09-22,22.63,-11.69,209.51
2022-09-23,21.18,-12.13,194.75
2022-09-26,18.71,-12.5,181.14
2022-09-27,17.35,-12.87,190.52
2022-09-28,16.85,-13.15,216.9
2022-09-29,16.34,-13.48,178.95
2022-09-30,15.95,-13.91,172.08
2022-10-03,16.56,-14.17,201.73
2022-10-04,17.63,-14.31,246.07
2022-10-05,17.45,-14.52,225.62
2022-10-06,18.63,-14.79,229.5
2022-10-07,19.19,-15.24,194.17
2022-10-10,19.55,-15.77,203.46
2022-10-11,18.66,-16.14,189.53
2022-10-12,16.54,-16.53,142.32
2022-10-13,14.45,-16.77,158.18
2022-10-14,11.51,-17.07,112.54
2022-10-17,9.0,-17.3,139.56
2022-10-18,7.21,-17.44,151.22
2022-10-19,7.64,-17.53,161.56
2022-10-20,7.6,-17.62,156.57
2022-10-21,10.33,-17.54,203.01
2022-10-24,12.23,-17.38,211.69
2022-10-25,14.75,-17.14,257.87
2022-10-26,16.92,-16.99,252.95
2022-10-27,19.18,-16.77,248.22
2022-10-28,20.05,-16.4,264.6
2022-10-31,20.84,-16.18,256.32
2022-11-01,20.53,-16.09,249.46
2022-11-02,19.13,-16.09,194.37
2022-11-03,18.4,-16.1,210.14
2022-11-04,18.7,-15.93,248.11
2022-11-07,19.15,-15.69,260.66
2022-11-08,21.41,-15.4,326.6
2022-11-09,24.22,-15.19,285.08
2022-11-10,28.09,-14.86,441.91
2022-11-11,31.49,-14.39,489.78
2022-11-14,34.0,-14.06,428.65
2022-11-15,33.13,-13.74,365.26
2022-11-16,31.99,-13.43,312.23
2022-11-17,28.32,-13.09,271.05
2022-11-18,24.22,-12.84,275.5
2022-11-21,21.38,-12.64,293.61
2022-11-22,20.3,-12.46,317.84
2022-11-23,20.06,-12.22,334.87
2022-11-25,19.66,-11.96,282.97
2022-11-28,18.74,-11.86,231.43
2022-11-29,17.65,-11.75,245.03
2022-11-30,17.22,-11.5,336.39
2022-12-01,16.4,-11.13,322.55
2022-12-02,17.27,-10.73,366.03
2022-12-05,17.13,-10.46,238.58
2022-12-06,16.06,-10.29,193.94
2022-12-07,14.27,-10.16,191.0
2022-12-08,12.67,-9.91,190.6
2022-12-09,10.08,-9.91,174.54
2022-12-12,9.59,-9.89,210.82
2022-12-13,9.92,-9.8,230.8
2022-12-14,9.1,-9.78,160.84
2022-12-15,7.78,-9.83,122.86
2022-12-16,6.9,-9.92,128.8
2022-12-19,4.69,-10.07,97.32
2022-12-20,2.29,-10.22,97.81
2022-12-21,1.0,-10.36,94.7
2022-12-22,-0.23,-10.59,74.52
2022-12-23,-1.57,-10.79,76.8
2022-12-27,-3.2,-10.94,37.28
2022-12-28,-4.84,-11.14,41.41
2022-12-29,-6.13,-11.39,45.87
2022-12-30,-6.9,-11.67,44.85
2023-01-03,-7.91,-11.94,38.89
2023-01-04,-7.09,-12.1,65.88
2023-01-05,-6.67,-12.25,52.89
2023-01-06,-6.28,-12.29,56.13
2023-01-09,-5.64,-12.37,64.75
2023-01-10,-4.86,-12.39,62.43
2023-01-11,-3.76,-12.41,111.41
2023-01-12,-1.68,-12.45,140.62
2023-01-13,0.06,-12.45,137.62
2023-01-17,1.67,-12.34,140.88
2023-01-18,3.35,-12.26,138.34
2023-01-19,3.57,-12.16,119.14
2023-01-20,4.01,-11.98,161.84
2023-01-23,5.57,-11.8,226.62
2023-01-24,7.38,-11.57,243.36
2023-01-25,9.68,-11.36,274.14
2023-01-26,13.08,-11.09,338.96
2023-01-27,15.89,-10.75,359.23
2023-01-30,16.85,-10.54,280.4
2023-01-31,18.28,-10.26,362.53
2023-02-01,19.44,-9.92,429.6
2023-02-02,20.23,-9.55,542.67
2023-02-03,20.6,-9.18,454.91
2023-02-06,20.92,-8.93,363.6
2023-02-07,20.66,-8.61,437.34
2023-02-08,19.18,-8.38,314.76
2023-02-09,17.29,-8.25,287.87
2023-02-10,15.72,-8.11,299.02
2023-02-13,15.14,-7.95,343.84
2023-02-14,14.42,-7.78,348.04
2023-02-15,14.81,-7.52,376.42
2023-02-16,16.35,-7.29,402.82
2023-02-17,15.48,-7.16,234.11
2023-02-21,13.12,-7.17,133.52
2023-02-22,11.07,-7.18,153.57
2023-02-23,9.48,-7.17,191.81
2023-02-24,6.43,-7.25,164.1
2023-02-27,6.35,-7.33,199.68
2023-02-28,7.39,-7.38,184.65
2023-03-01,7.88,-7.49,174.97
2023-03-02,7.56,-7.62,169.99
2023-03-03,8.34,-7.75,229.39
2023-03-06,8.29,-7.83,218.06
2023-03-07,7.8,-7.95,163.64
2023-03-08,7.84,-8.12,184.78
2023-03-09,6.7,-8.32,106.89
2023-03-10,3.84,-8.55,65.12
2023-03-13,1.0,-8.79,58.1
2023-03-14,-0.96,-9.01,61.93
2023-03-15,-4.22,-9.26,22.16
2023-03-16,-6.07,-9.45,11.03
2023-03-17,-7.47,-9.63,-5.2
2023-03-20,-8.3,-9.75,6.64
2023-03-21,-8.5,-9.73,41.42
2023-03-22,-8.36,-9.77,21.74
2023-03-23,-8.27,-9.83,18.06
2023-03-24,-7.49,-9.82,25.52
2023-03-27,-7.01,-9.83,29.25
2023-03-28,-7.41,-9.82,27.14
2023-03-29,-6.71,-9.75,47.74
2023-03-30,-6.13,-9.68,33.38
2023-03-31,-5.86,-9.62,11.65
2023-04-03,-5.87,-9.54,-11.13
2023-04-04,-6.55,-9.41,-58.22
2023-04-05,-8.85,-9.31,-131.53
2023-04-06,-11.14,-9.1,-156.92
2023-04-10,-12.88,-8.83,-127.5
2023-04-11,-14.27,-8.55,-115.34
2023-04-12,-14.93,-8.36,-103.7
2023-04-13,-14.4,-8.08,-137.34
2023-04-14,-13.62,-7.89,-122.22
2023-04-17,-13.11,-7.63,-120.59
2023-04-18,-12.81,-7.41,-128.07
2023-04-19,-12.64,-7.25,-139.78
2023-04-20,-13.48,-7.04,-195.09
2023-04-21,-16.04,-6.84,-337.03
2023-04-24,-17.9,-6.64,-271.55
2023-04-25,-20.32,-6.52,-238.47
2023-04-26,-22.23,-6.42,-195.01
2023-04-27,-22.83,-6.29,-252.07
2023-04-28,-21.84,-6.14,-312.18
2023-05-01,-22.3,-6.06,-375.81
2023-05-02,-22.47,-6.06,-320.67
2023-05-03,-23.07,-6.06,-283.28
2023-05-04,-23.85,-6.08,-232.28
2023-05-05,-24.23,-6.04,-299.65
2023-05-08,-23.51,-6.0,-256.61
2023-05-09,-21.66,-5.98,-167.0
2023-05-10,-19.83,-5.92,-191.59
2023-05-11,-17.89,-5.93,-155.07
2023-05-12,-16.53,-5.93,-169.23
2023-05-15,-15.01,-5.94,-123.69
2023-05-16,-14.11,-5.97,-88.11
2023-05-17,-12.97,-5.96,-109.72
2023-05-18,-11.98,-5.87,-134.22
2023-05-19,-11.27,-5.79,-185.71
2023-05-22,-11.03,-5.71,-165.4
2023-05-23,-10.15,-5.62,-35.04
2023-05-24,-9.79,-5.54,-46.49
2023-05-25,-10.23,-5.5,-129.21
2023-05-26,-10.24,-5.45,-210.63
2023-05-30,-10.64,-5.4,-235.97
2023-05-31,-12.55,-5.32,-276.35
2023-06-01,-13.91,-5.16,-348.84
2023-06-02,-13.56,-4.9,-388.89
2023-06-05,-13.32,-4.73,-388.94
2023-06-06,-12.3,-4.55,-292.72
2023-06-07,-10.09,-4.37,-137.39
2023-06-08,-8.04,-4.18,-195.0
2023-06-09,-7.01,-3.98,-200.61
2023-06-12,-5.95,-3.72,-679.73
2023-06-13,-4.61,-3.45,-1422.22
2023-06-14,-3.92,-3.15,-11100.0
2023-06-15,-2.96,-2.83,-139.2
2023-06-16,-2.31,-2.58,-288.64
2023-06-20,-1.14,-2.35,-83.33
2023-06-21,-1.01,-2.14,-491.67
2023-06-22,-1.07,-1.87,-1175.0
2023-06-23,-1.99,-1.59,-894.12
2023-06-26,-2.24,-1.38,-217.39
2023-06-27,-2.68,-1.17,-1352.94
2023-06-28,-3.83,-0.97,-3022.73
2023-06-29,-4.43,-0.73,-2757.14
2023-06-30,-4.18,-0.49,-377.54
2023-07-03,-3.83,-0.31,-175.97
2023-07-05,-3.66,-0.13,-196.21
2023-07-06,-2.75,-0.0,-468.63
2023-07-07,-1.16,0.13,732.14
2023-07-10,0.27,0.25,514.81
2023-07-11,1.1,0.39,156.41
2023-07-12,2.32,0.52,148.72
2023-07-13,3.52,0.66,48.01
2023-07-14,3.33,0.8,-49.07
2023-07-17,3.14,0.89,-21.38
2023-07-18,2.97,1.04,-44.36
2023-07-19,2.04,1.22,-95.04
2023-07-20,0.45,1.39,-213.69
2023-07-21,-1.19,1.55,-303.26
2023-07-24,-3.48,1.76,-338.68
2023-07-25,-5.58,2.01,-303.41
2023-07-26,-7.5,2.21,-327.6
2023-07-27,-8.96,2.37,-424.49
2023-07-28,-9.64,2.58,-331.67
2023-07-31,-9.51,2.74,-282.47
2023-08-01,-9.85,2.88,-338.39
2023-08-02,-10.41,2.95,-530.74
2023-08-03,-10.92,3.06,-636.08
2023-08-04,-11.54,3.14,-748.54
2023-08-07,-12.81,3.26,-600.0
2023-08-08,-13.82,3.34,-676.72
2023-08-09,-14.49,3.35,-834.43
2023-08-10,-15.03,3.32,-854.84
2023-08-11,-15.91,3.29,-943.81
2023-08-14,-16.63,3.26,-828.17
2023-08-15,-17.36,3.16,-1193.02
2023-08-16,-18.16,3.01,-1715.7
2023-08-17,-18.72,2.88,-3009.09
2023-08-18,-18.98,2.75,-2737.5
2023-08-21,-18.83,2.62,-1604.27
2023-08-22,-18.58,2.46,-1892.86
2023-08-23,-17.97,2.34,-1071.18
2023-08-24,-17.5,2.21,-2176.54
2023-08-25,-17.12,2.05,-1468.8
2023-08-28,-17.03,1.9,-1114.2
2023-08-29,-16.47,1.82,-660.23
2023-08-30,-16.08,1.83,-596.59
2023-08-31,-15.62,1.84,-611.27
2023-09-01,-14.96,1.89,-570.65
2023-09-05,-14.26,1.87,-618.63
2023-09-06,-14.81,1.84,-955.12
2023-09-07,-15.58,1.82,-1134.83
2023-09-08,-16.62,1.81,-1132.46
2023-09-11,-17.65,1.83,-845.28
2023-09-12,-18.87,1.81,-1083.58
2023-09-13,-19.3,1.83,-1023.47
2023-09-14,-19.52,1.92,-754.7
2023-09-15,-19.57,1.97,-1248.85
2023-09-18,-19.97,2.03,-1231.35
2023-09-19,-20.34,2.05,-1410.3
2023-09-20,-21.21,2.04,-3387.67
2023-09-21,-22.58,1.91,-2929.89
2023-09-22,-23.92,1.82,-2324.55
2023-09-25,-25.18,1.72,-3791.43
2023-09-26,-26.58,1.53,-1244.6
2023-09-27,-27.6,1.29,-1278.2
2023-09-28,-27.3,1.05,-1194.79
2023-09-29,-27.14,0.8,-1103.72
2023-10-02,-27.41,0.55,-1255.92
2023-10-03,-27.89,0.24,-815.63
2023-10-04,-28.15,0.01,-1023.7
2023-10-05,-29.53,-0.22,-1043.53
2023-10-06,-30.3,-0.4,-1701.21
2023-10-09,-30.87,-0.58,-2986.27
2023-10-10,-30.41,-0.7,-5426.92
2023-10-11,-29.86,-0.82,-27460.0
2023-10-12,-28.49,-1.0,-3517.39
2023-10-13,-28.18,-1.15,-2228.1
2023-10-16,-27.14,-1.25,-13736.84
2023-10-17,-26.5,-1.34,-13336.84
2023-10-18,-27.54,-1.45,-2083.33
2023-10-19,-29.82,-1.52,-1468.1
2023-10-20,-31.98,-1.64,-1009.4
2023-10-23,-34.72,-1.79,-986.41
2023-10-24,-37.35,-1.84,-1203.03
2023-10-25,-38.88,-1.95,-837.35
2023-10-26,-39.69,-2.12,-640.84
2023-10-27,-40.06,-2.31,-594.89
2023-10-30,-40.84,-2.44,-821.22
2023-10-31,-41.92,-2.48,-952.98
2023-11-01,-42.83,-2.5,-1354.05
2023-11-02,-43.58,-2.43,-3301.54
2023-11-03,-43.98,-2.36,-10083.33
2023-11-06,-44.5,-2.33,-20091.3
2023-11-07,-44.73,-2.3,-90660.0
2023-11-08,-45.07,-2.29,-35969.23
2023-11-09,-45.94,-2.28,-7860.66
2023-11-10,-46.89,-2.18,-5321.98
2023-11-13,-47.35,-2.13,-6117.28
2023-11-14,-47.05,-1.98,-1716.97
2023-11-15,-46.28,-1.76,-1559.39
2023-11-16,-45.57,-1.49,-1566.45
2023-11-17,-44.65,-1.15,-1432.61
2023-11-20,-43.22,-0.77,-1144.97
2023-11-21,-43.15,-0.44,-1268.55
2023-11-22,-43.25,-0.01,-1140.14
2023-11-24,-42.7,0.47,-1103.56
2023-11-27,-43.29,0.97,-1237.72
2023-11-28,-43.86,1.41,-1176.51
2023-11-29,-44.1,1.82,-1198.03
2023-11-30,-44.58,2.2,-1123.09
2023-12-01,-44.66,2.51,-958.15
2023-12-04,-44.56,2.76,-1116.82
2023-12-05,-45.33,2.99,-1191.42
2023-12-06,-45.62,3.19,-1249.63
2023-12-07,-45.08,3.42,-995.0
2023-12-08,-44.91,3.72,-898.85
2023-12-11,-44.32,3.95,-853.64
2023-12-12,-43.01,4.22,-779.67
2023-12-13,-41.07,4.46,-580.45
2023-12-14,-39.23,4.71,-528.3
2023-12-15,-37.52,4.94,-530.44
2023-12-18,-35.78,5.2,-505.53
2023-12-19,-33.89,5.45,-460.98
2023-12-20,-33.67,5.61,-604.58
2023-12-21,-33.71,5.8,-523.85
2023-12-22,-33.44,6.0,-485.71
2023-12-26,-32.86,6.24,-454.25
2023-12-27,-32.82,6.48,-461.91
2023-12-28,-32.2,6.72,-460.54
2023-12-29,-32.29,6.93,-498.49
2024-01-02,-32.46,7.07,-519.23
2024-01-03,-33.43,7.2,-608.69
2024-01-04,-34.52,7.31,-662.48
2024-01-05,-35.62,7.45,-652.49
2024-01-08,-36.21,7.63,-548.26
2024-01-09,-37.4,7.77,-579.06
2024-01-10,-38.06,7.93,-544.58
2024-01-11,-38.72,8.06,-568.42
2024-01-12,-39.61,8.12,-579.18
2024-01-16,-40.58,8.14,-600.83
2024-01-17,-41.75,8.15,-668.97
2024-01-18,-43.11,8.17,-622.01
2024-01-19,-44.34,8.23,-566.6
2024-01-22,-44.82,8.39,-531.07
2024-01-23,-45.13,8.53,-509.85
2024-01-24,-45.04,8.65,-510.23
2024-01-25,-45.0,8.78,-501.23
2024-01-26,-44.57,8.9,-497.7
2024-01-29,-44.34,9.06,-458.76
2024-01-30,-44.55,9.23,-472.13
2024-01-31,-45.19,9.35,-562.52
2024-02-01,-45.17,9.57,-497.81
2024-02-02,-45.51,9.87,-471.71
2024-02-05,-46.66,10.13,-504.28
2024-02-06,-47.14,10.34,-477.28
2024-02-07,-46.93,10.61,-445.0
2024-02-08,-47.14,10.84,-445.4
2024-02-09,-46.99,11.11,-425.3
2024-02-12,-45.95,11.38,-412.38
2024-02-13,-46.03,11.58,-481.01
2024-02-14,-46.1,11.86,-444.05
2024-02-15,-45.81,12.14,-415.75
2024-02-16,-45.18,12.32,-411.96
2024-02-20,-45.67,12.46,-453.82
2024-02-21,-45.08,12.59,-437.85
2024-02-22,-44.73,12.83,-388.1
2024-02-23,-44.44,13.04,-379.94
2024-02-26,-44.54,13.23,-385.05
2024-02-27,-43.27,13.4,-359.91
2024-02-28,-42.03,13.56,-352.4
2024-02-29,-40.21,13.83,-328.53
2024-03-01,-38.04,14.08,-299.88
2024-03-04,-36.83,14.27,-328.22
2024-03-05,-38.47,14.42,-417.81
2024-03-06,-39.48,14.58,-375.89
2024-03-07,-40.75,14.75,-349.17
2024-03-08,-43.0,14.89,-372.31
2024-03-11,-43.78,14.99,-355.44
2024-03-12,-42.44,15.15,-339.63
2024-03-13,-41.86,15.38,-336.93
2024-03-14,-42.12,15.55,-356.72
2024-03-15,-41.77,15.64,-362.96
2024-03-18,-41.79,15.8,-344.97
2024-03-19,-42.11,16.01,-346.82
2024-03-20,-42.23,16.28,-323.4
2024-03-21,-41.77,16.44,-317.77
2024-03-22,-41.89,16.58,-334.28
2024-03-25,-42.47,16.72,-344.67
2024-03-26,-42.62,16.83,-347.34
2024-03-27,-42.21,17.01,-309.51
2024-03-28,-41.56,17.16,-302.41
2024-04-01,-40.65,17.25,-310.48
2024-04-02,-39.75,17.31,-326.86
2024-04-03,-38.7,17.43,-319.12
2024-04-04,-39.28,17.45,-360.74
2024-04-05,-39.92,17.47,-336.29
2024-04-08,-39.68,17.53,-313.68
2024-04-09,-39.44,17.61,-318.63
2024-04-10,-39.55,17.56,-338.0
2024-04-11,-38.7,17.57,-319.3
2024-04-12,-38.79,17.51,-364.65
2024-04-15,-39.84,17.41,-398.52
2024-04-16,-41.26,17.27,-424.39
2024-04-17,-42.51,17.07,-439.88
2024-04-18,-44.26,16.8,-456.04
2024-04-19,-45.25,16.46,-482.21
2024-04-22,-46.03,16.2,-453.47
2024-04-23,-46.01,16.03,-412.81
2024-04-24,-45.93,15.87,-411.3
2024-04-25,-45.63,15.63,-422.55
2024-04-26,-45.18,15.45,-392.58
2024-04-29,-43.9,15.31,-357.91
2024-04-30,-43.32,15.12,-410.59
2024-05-01,-42.82,14.9,-424.06
2024-05-02,-41.7,14.8,-379.53
2024-05-03,-40.5,14.7,-346.19
2024-05-06,-39.9,14.67,-321.81
2024-05-07,-38.7,14.63,-317.5
2024-05-08,-37.63,14.65,-320.46
2024-05-09,-36.85,14.66,-303.72
2024-05-10,-36.71,14.76,-312.72
2024-05-13,-36.64,14.93,-307.49
2024-05-14,-36.27,15.13,-290.86
2024-05-15,-36.55,15.45,-296.32
2024-05-16,-36.96,15.76,-294.58
2024-05-17,-36.82,16.13,-288.17
2024-05-20,-36.95,16.46,-289.36
2024-05-21,-37.79,16.73,-294.74
2024-05-22,-37.9,16.99,-298.62
2024-05-23,-38.5,17.23,-316.85
2024-05-24,-38.83,17.45,-296.67
2024-05-28,-39.06,17.66,-295.26
2024-05-29,-39.37,17.91,-314.89
2024-05-30,-39.62,18.16,-323.42
2024-05-31,-39.66,18.41,-314.56
2024-06-03,-40.16,18.57,-317.36
2024-06-04,-40.93,18.69,-322.23
2024-06-05,-41.25,18.87,-306.18
2024-06-06,-41.65,19.05,-307.62
2024-06-07,-42.24,19.18,-316.83
2024-06-10,-42.89,19.33,-314.87
2024-06-11,-43.31,19.49,-312.28
2024-06-12,-43.89,19.68,-305.59
2024-06-13,-44.84,19.8,-313.24
2024-06-14,-45.95,19.94,-322.56
2024-06-17,-47.25,20.12,-319.43
2024-06-18,-48.64,20.31,-318.69
2024-06-20,-50.47,20.46,-333.94
2024-06-21,-51.78,20.62,-334.82
2024-06-24,-52.47,20.81,-334.43
2024-06-25,-53.24,20.99,-336.98
2024-06-26,-53.17,21.16,-319.78
2024-06-27,-52.92,21.39,-326.35
2024-06-28,-52.84,21.61,-337.08
2024-07-01,-52.57,21.78,-330.17
2024-07-02,-51.98,21.99,-323.14
2024-07-03,-51.83,22.22,-311.74
2024-07-05,-51.46,22.42,-308.85
2024-07-08,-50.93,22.63,-306.24
2024-07-09,-51.61,22.86,-322.43
2024-07-10,-51.63,23.12,-300.08
2024-07-11,-51.84,23.31,-306.54
2024-07-12,-51.89,23.5,-300.55
2024-07-15,-52.25,23.69,-302.2
2024-07-16,-51.54,23.91,-292.71
2024-07-17,-51.72,24.0,-311.38
2024-07-18,-52.12,24.03,-322.22
2024-07-19,-52.69,24.03,-333.64
2024-07-22,-52.88,24.11,-318.61
2024-07-23,-53.5,24.19,-324.77
2024-07-24,-53.91,24.11,-355.61
2024-07-25,-54.19,23.99,-362.7
2024-07-26,-54.12,23.93,-342.88
