Date,rate_LIN,rate_VOO,Sector,rate_META
2022-07-27,-10.34,-12.07,none,-40.38
2022-07-28,-8.38,-10.99,none,-43.45
2022-07-29,-6.85,-9.72,none,-44.02
2022-08-01,-7.24,-9.72,none,-42.58
2022-08-02,-7.79,-10.15,none,-42.51
2022-08-03,-7.24,-9.12,none,-40.26
2022-08-04,-6.75,-9.18,none,-39.8
2022-08-05,-6.81,-9.31,none,-40.7
2022-08-08,-7.03,-9.37,none,-39.88
2022-08-09,-7.1,-9.62,none,-40.29
2022-08-10,-5.27,-8.33,none,-37.94
2022-08-11,-6.01,-8.33,none,-38.14
2022-08-12,-4.83,-7.26,none,-37.42
2022-08-15,-4.69,-6.98,none,-37.33
2022-08-16,-4.67,-6.87,none,-37.66
2022-08-17,-5.25,-7.3,none,-38.73
2022-08-18,-5.1,-7.11,none,-38.78
2022-08-19,-6.41,-7.96,none,-40.34
2022-08-22,-8.03,-9.24,none,-41.48
2022-08-23,-8.36,-9.38,none,-41.94
2022-08-24,-8.57,-9.2,none,-41.43
2022-08-25,-7.76,-8.33,none,-40.13
2022-08-26,-9.98,-10.4,none,-41.78
2022-08-29,-9.72,-10.79,none,-42.4
2022-08-30,-10.31,-11.42,none,-42.88
2022-08-31,-10.68,-11.87,none,-41.51
2022-09-01,-11.14,-11.4,none,-39.88
2022-09-02,-11.43,-11.98,none,-41.05
2022-09-06,-11.58,-12.17,none,-41.46
2022-09-07,-9.31,-10.9,none,-40.91
2022-09-08,-9.85,-10.38,none,-40.35
2022-09-09,-8.96,-9.13,none,-38.0
2022-09-12,-6.82,-8.23,none,-38.06
2022-09-13,-9.5,-12.01,none,-43.58
2022-09-14,-9.2,-11.7,none,-44.16
2022-09-15,-10.3,-12.63,none,-44.83
2022-09-16,-10.16,-13.28,none,-45.96
2022-09-19,-9.63,-12.65,none,-45.36
2022-09-20,-10.73,-13.61,none,-46.05
2022-09-21,-12.26,-15.08,none,-47.47
2022-09-22,-13.02,-15.78,none,-47.22
2022-09-23,-14.52,-17.14,none,-48.09
2022-09-26,-16.03,-17.92,none,-49.53
2022-09-27,-15.73,-18.14,none,-50.25
2022-09-28,-13.8,-16.92,none,-47.64
2022-09-29,-14.37,-18.62,none,-49.52
2022-09-30,-14.37,-19.84,none,-49.78
2022-10-03,-12.13,-17.32,none,-47.51
2022-10-04,-8.85,-14.89,none,-46.9
2022-10-05,-9.67,-15.03,none,-47.37
2022-10-06,-11.21,-15.9,none,-47.34
2022-10-07,-12.94,-18.18,none,-49.39
2022-10-10,-13.36,-18.77,none,-49.27
2022-10-11,-13.62,-19.3,none,-51.22
2022-10-12,-13.44,-19.54,none,-51.61
2022-10-13,-10.05,-17.48,none,-50.57
2022-10-14,-12.27,-19.3,none,-51.89
2022-10-17,-10.53,-17.29,none,-49.18
2022-10-18,-9.35,-16.34,none,-49.64
2022-10-19,-9.59,-16.91,none,-49.48
2022-10-20,-10.12,-17.57,none,-50.12
2022-10-21,-8.2,-15.63,none,-50.69
2022-10-24,-11.41,-14.63,none,-50.8
2022-10-25,-8.24,-13.27,none,-47.87
2022-10-26,-6.15,-13.9,none,-50.76
2022-10-27,-6.65,-14.35,none,-62.73
2022-10-28,-3.96,-12.4,none,-62.26
2022-10-31,-5.36,-12.98,none,-64.52
2022-11-01,-4.97,-13.0,none,-62.2
2022-11-02,-6.15,-15.11,none,-63.91
2022-11-03,-5.15,-15.97,none,-64.51
2022-11-04,-1.67,-14.8,none,-63.82
2022-11-07,-0.27,-14.03,none,-61.65
2022-11-08,0.11,-13.57,none,-61.74
2022-11-09,0.03,-15.28,none,-59.85
2022-11-10,4.35,-10.81,none,-55.9
2022-11-11,4.92,-9.98,none,-55.47
2022-11-14,5.5,-10.68,none,-55.01
2022-11-15,5.65,-9.96,none,-53.91
2022-11-16,6.02,-10.63,none,-55.4
2022-11-17,4.95,-10.88,none,-56.08
2022-11-18,6.39,-10.49,none,-55.85
2022-11-21,6.22,-10.8,none,-56.69
2022-11-22,7.66,-9.64,none,-56.08
2022-11-23,8.48,-9.09,none,-55.77
2022-11-25,8.9,-9.1,none,-56.09
2022-11-28,7.11,-10.5,none,-57.11
2022-11-29,5.45,-10.66,none,-56.85
2022-11-30,6.75,-7.97,none,-53.49
2022-12-01,6.81,-7.76,none,-51.33
2022-12-02,6.84,-7.89,none,-50.18
2022-12-05,5.97,-9.46,none,-50.58
2022-12-06,5.26,-10.72,none,-53.81
2022-12-07,5.23,-10.89,none,-53.88
2022-12-08,6.06,-10.21,none,-53.34
2022-12-09,5.44,-10.84,none,-53.11
2022-12-12,6.43,-9.61,none,-53.58
2022-12-13,8.01,-8.96,none,-51.43
2022-12-14,7.9,-9.5,none,-50.86
2022-12-15,5.13,-11.68,none,-53.01
2022-12-16,4.84,-12.71,none,-51.71
2022-12-19,4.2,-13.44,none,-53.67
2022-12-20,4.73,-13.72,none,-52.63
2022-12-21,4.65,-12.46,none,-51.57
2022-12-22,4.37,-13.66,none,-52.62
2022-12-23,4.84,-13.19,none,-52.25
2022-12-27,4.73,-13.52,none,-52.71
2022-12-28,3.88,-14.56,none,-53.21
2022-12-29,4.96,-13.08,none,-51.37
2022-12-30,3.95,-13.31,none,-51.34
2023-01-03,1.71,-13.32,none,-48.43
2023-01-04,1.24,-12.72,none,-47.38
2023-01-05,-2.21,-13.65,none,-47.55
2023-01-06,1.12,-11.74,none,-46.29
2023-01-09,2.93,-11.8,none,-46.52
2023-01-10,2.96,-11.18,none,-45.08
2023-01-11,5.35,-10.08,none,-45.12
2023-01-12,5.13,-9.75,none,-43.55
2023-01-13,6.76,-9.41,none,-43.44
2023-01-17,5.47,-9.54,none,-44.1
2023-01-18,3.69,-10.98,none,-45.06
2023-01-19,3.75,-11.6,none,-43.78
2023-01-20,5.03,-10.01,none,-42.46
2023-01-23,4.36,-8.94,none,-40.86
2023-01-24,5.04,-9.04,none,-40.92
2023-01-25,4.32,-9.01,none,-41.59
2023-01-26,5.31,-8.06,none,-39.21
2023-01-27,3.8,-7.8,none,-37.39
2023-01-30,3.91,-8.93,none,-39.31
2023-01-31,5.76,-7.66,none,-38.65
2023-02-01,5.68,-6.52,none,-36.36
2023-02-02,5.97,-5.25,none,-24.26
2023-02-03,3.38,-6.21,none,-25.02
2023-02-06,3.15,-6.73,none,-25.18
2023-02-07,7.62,-5.74,none,-23.42
2023-02-08,6.72,-6.59,none,-26.02
2023-02-09,6.19,-7.25,none,-27.76
2023-02-10,6.02,-7.06,none,-28.96
2023-02-13,6.66,-6.18,none,-27.29
2023-02-14,6.64,-6.21,none,-27.27
2023-02-15,6.17,-5.96,none,-27.99
2023-02-16,3.32,-6.98,none,-29.46
2023-02-17,2.69,-7.17,none,-29.32
2023-02-21,3.65,-8.6,none,-29.57
2023-02-22,5.38,-8.69,none,-29.87
2023-02-23,5.97,-8.34,none,-29.58
2023-02-24,10.96,-9.1,none,-30.09
2023-02-27,9.95,-8.85,none,-30.36
2023-02-28,11.18,-9.16,none,-28.43
2023-03-01,11.45,-9.24,none,-28.33
2023-03-02,11.98,-8.66,none,-27.94
2023-03-03,15.26,-7.41,none,-24.18
2023-03-06,13.92,-7.32,none,-24.31
2023-03-07,12.7,-8.65,none,-24.43
2023-03-08,12.94,-8.52,none,-24.28
2023-03-09,10.14,-10.08,none,-25.35
2023-03-10,8.77,-11.27,none,-26.06
2023-03-13,6.68,-11.41,none,-25.61
2023-03-14,9.08,-10.0,none,-20.8
2023-03-15,5.45,-10.53,none,-19.44
2023-03-16,7.77,-9.06,none,-16.81
2023-03-17,5.31,-10.02,none,-20.22
2023-03-20,7.93,-9.23,none,-19.41
2023-03-21,8.72,-8.08,none,-17.73
2023-03-22,8.04,-9.56,none,-18.64
2023-03-23,8.73,-9.35,none,-16.91
2023-03-24,9.8,-9.13,none,-16.24
2023-03-27,10.54,-8.98,none,-17.47
2023-03-28,10.63,-9.14,none,-18.32
2023-03-29,11.37,-7.87,none,-16.48
2023-03-30,11.94,-7.33,none,-15.49
2023-03-31,13.17,-6.05,none,-13.87
2023-04-03,13.7,-5.56,none,-13.13
2023-04-04,13.61,-6.08,none,-12.48
2023-04-05,12.93,-6.3,none,-13.76
2023-04-06,13.23,-5.95,none,-11.94
2023-04-10,13.85,-5.85,none,-12.47
2023-04-11,13.75,-5.84,none,-12.83
2023-04-12,14.09,-6.21,none,-12.77
2023-04-13,14.91,-5.01,none,-10.23
2023-04-14,14.19,-5.2,none,-9.77
2023-04-17,15.03,-4.88,none,-10.82
2023-04-18,15.83,-4.82,none,-11.16
2023-04-19,15.96,-4.83,none,-11.91
2023-04-20,16.6,-5.36,none,-12.81
2023-04-21,16.25,-5.3,none,-12.87
2023-04-24,16.81,-5.18,none,-12.9
2023-04-25,16.51,-6.43,none,-14.86
2023-04-26,15.87,-6.78,none,-14.17
2023-04-27,16.07,-5.24,none,-3.27
2023-04-28,17.26,-4.56,none,-2.61
2023-05-01,17.77,-4.51,none,-1.51
2023-05-02,17.28,-5.49,none,-3.03
2023-05-03,15.88,-6.08,none,-3.88
2023-05-04,15.3,-6.71,none,-5.23
2023-05-05,16.5,-5.15,none,-5.52
2023-05-08,16.35,-5.11,none,-5.33
2023-05-09,16.09,-5.5,none,-5.29
2023-05-10,17.2,-5.1,none,-5.39
2023-05-11,16.71,-5.23,none,-4.48
2023-05-12,17.58,-5.35,none,-5.15
2023-05-15,17.17,-5.04,none,-3.45
2023-05-16,16.33,-5.65,none,-3.46
2023-05-17,16.08,-4.56,none,-2.11
2023-05-18,17.0,-3.65,none,-0.5
2023-05-19,17.95,-3.8,none,-0.95
2023-05-22,16.48,-3.74,none,0.04
2023-05-23,12.7,-4.8,none,-0.57
2023-05-24,12.98,-5.51,none,0.39
2023-05-25,13.5,-4.7,none,1.73
2023-05-26,13.39,-3.48,none,5.34
2023-05-30,12.99,-3.45,none,5.52
2023-05-31,12.61,-3.96,none,6.37
2023-06-01,12.89,-2.99,none,9.22
2023-06-02,14.41,-1.6,none,9.22
2023-06-05,15.14,-1.79,none,8.74
2023-06-06,14.18,-1.59,none,8.63
2023-06-07,14.98,-1.91,none,5.65
2023-06-08,14.95,-1.33,none,6.04
2023-06-09,14.5,-1.17,none,6.18
2023-06-12,14.89,-0.27,none,8.6
2023-06-13,18.42,0.38,none,8.7
2023-06-14,18.74,0.45,none,9.38
2023-06-15,19.41,1.72,none,12.24
2023-06-16,19.05,1.35,none,11.96
2023-06-20,16.98,0.89,none,13.08
2023-06-21,17.6,0.35,none,12.18
2023-06-22,18.22,0.71,none,13.27
2023-06-23,17.58,-0.04,none,14.57
2023-06-26,17.62,-0.45,none,11.11
2023-06-27,19.2,0.64,none,13.83
2023-06-28,18.95,0.69,none,13.27
2023-06-29,20.27,0.68,none,12.08
2023-06-30,20.87,1.85,none,13.81
2023-07-03,19.54,2.0,none,13.23
2023-07-05,16.16,1.78,none,15.78
2023-07-06,15.32,0.97,none,15.05
2023-07-07,15.32,0.74,none,14.6
2023-07-10,16.26,1.01,none,15.69
2023-07-11,16.04,1.65,none,16.96
2023-07-12,18.46,2.44,none,20.28
2023-07-13,19.25,3.26,none,21.51
2023-07-14,19.7,3.18,none,20.14
2023-07-17,20.81,3.53,none,20.67
2023-07-18,21.48,4.31,none,21.1
2023-07-19,18.49,4.53,none,22.28
2023-07-20,20.65,3.86,none,18.25
2023-07-21,21.56,3.87,none,15.79
2023-07-24,21.61,4.3,none,15.0
2023-07-25,23.59,4.56,none,15.99
2023-07-26,22.71,4.58,none,17.41
2023-07-27,21.59,3.99,none,21.95
2023-07-28,22.87,4.84,none,26.72
2023-07-31,23.48,5.01,none,24.34
2023-08-01,22.48,4.66,none,25.33
2023-08-02,21.21,3.53,none,22.31
2023-08-03,20.42,3.31,none,21.9
2023-08-04,19.66,2.92,none,21.02
2023-08-07,21.52,3.63,none,23.12
2023-08-08,20.81,3.32,none,22.0
2023-08-09,20.32,2.85,none,19.89
2023-08-10,20.93,2.89,none,20.04
2023-08-11,20.82,2.83,none,18.88
2023-08-14,20.9,3.23,none,20.17
2023-08-15,20.31,2.44,none,19.04
2023-08-16,19.97,1.94,none,17.0
2023-08-17,19.67,1.39,none,14.54
2023-08-18,19.4,1.45,none,14.05
2023-08-21,19.91,1.9,none,15.83
2023-08-22,19.93,1.71,none,15.21
2023-08-23,20.09,2.43,none,16.98
2023-08-24,20.0,1.53,none,14.99
2023-08-25,20.77,1.97,none,14.66
2023-08-28,20.87,2.41,none,15.92
2023-08-29,21.87,3.38,none,17.97
2023-08-30,21.92,3.66,none,17.21
2023-08-31,21.91,3.58,none,17.42
2023-09-01,21.86,3.65,none,17.2
2023-09-05,20.36,3.35,none,18.18
2023-09-06,20.8,2.76,none,17.86
2023-09-07,21.76,2.49,none,17.68
2023-09-08,21.81,2.62,none,17.39
2023-09-11,22.57,3.26,none,21.02
2023-09-12,22.13,2.72,none,18.76
2023-09-13,21.28,2.84,none,20.06
2023-09-14,22.71,3.7,none,22.61
2023-09-15,22.16,2.45,none,18.24
2023-09-18,22.01,2.56,none,19.1
2023-09-19,22.71,2.36,none,20.08
2023-09-20,19.32,1.42,none,17.99
2023-09-21,17.34,-0.2,none,16.46
2023-09-22,17.5,-0.44,none,17.76
2023-09-25,18.62,-0.03,none,18.43
2023-09-26,16.95,-1.48,none,17.7
2023-09-27,17.2,-1.46,none,17.23
2023-09-28,17.66,-1.26,none,19.66
2023-09-29,17.31,-1.49,none,18.19
2023-10-02,16.32,-1.47,none,20.37
2023-10-03,17.13,-2.77,none,18.11
2023-10-04,18.91,-2.07,none,19.9
2023-10-05,16.21,-2.15,none,19.59
2023-10-06,17.35,-1.01,none,23.69
2023-10-09,17.4,-0.36,none,24.82
2023-10-10,19.03,0.14,none,26.17
2023-10-11,18.94,0.56,none,28.49
2023-10-12,18.64,-0.03,none,27.07
2023-10-13,18.7,-0.55,none,23.4
2023-10-16,19.12,0.47,none,25.9
2023-10-17,19.69,0.48,none,27.01
2023-10-18,16.68,-0.85,none,24.28
2023-10-19,16.29,-1.68,none,22.67
2023-10-20,15.11,-2.89,none,21.05
2023-10-23,14.82,-3.06,none,23.13
2023-10-24,15.39,-2.34,none,22.57
2023-10-25,14.5,-3.7,none,17.52
2023-10-26,16.34,-4.87,none,13.18
2023-10-27,16.41,-5.28,none,16.43
2023-10-30,19.0,-4.16,none,18.73
2023-10-31,20.03,-3.59,none,18.19
2023-11-01,21.16,-2.49,none,21.88
2023-11-02,21.94,-0.7,none,21.5
2023-11-03,22.81,0.19,none,22.92
2023-11-06,22.96,0.38,none,23.38
2023-11-07,21.83,0.65,none,24.54
2023-11-08,22.73,0.73,none,24.91
2023-11-09,22.34,-0.01,none,25.21
2023-11-10,25.04,1.52,none,28.38
2023-11-13,25.02,1.42,none,28.54
2023-11-14,26.25,3.34,none,31.3
2023-11-15,25.94,3.57,none,29.91
2023-11-16,27.67,3.71,none,30.48
2023-11-17,27.52,3.86,none,30.81
2023-11-20,27.64,4.63,none,32.72
2023-11-21,28.76,4.36,none,31.56
2023-11-22,28.67,4.81,none,33.31
2023-11-24,29.48,4.87,none,32.05
2023-11-27,29.04,4.69,none,30.68
2023-11-28,28.49,4.79,none,32.34
2023-11-29,28.67,4.72,none,29.71
2023-11-30,29.3,5.12,none,27.75
2023-12-01,28.22,5.62,none,26.35
2023-12-04,26.91,5.11,none,24.52
2023-12-05,26.15,5.08,none,23.86
2023-12-06,25.1,4.72,none,23.54
2023-12-07,24.63,5.4,none,27.04
2023-12-08,25.38,5.77,none,29.4
2023-12-11,27.37,6.12,none,26.54
2023-12-12,32.86,6.6,none,29.98
2023-12-13,27.51,7.92,none,30.18
2023-12-14,27.8,8.21,none,29.58
2023-12-15,27.11,8.06,none,30.25
2023-12-18,27.62,8.62,none,33.99
2023-12-19,28.53,9.16,none,36.21
2023-12-20,26.79,7.51,none,35.79
2023-12-21,27.63,8.36,none,37.64
2023-12-22,28.12,8.57,none,37.37
2023-12-26,27.87,8.94,none,37.93
2023-12-27,28.26,9.1,none,39.09
2023-12-28,27.82,9.11,none,39.27
2023-12-29,28.11,8.87,none,37.59
2024-01-02,27.26,8.16,none,34.01
2024-01-03,27.0,7.53,none,33.31
2024-01-04,26.96,7.23,none,34.33
2024-01-05,27.12,7.36,none,36.18
2024-01-08,26.87,8.85,none,38.75
2024-01-09,26.38,8.62,none,38.42
2024-01-10,26.13,9.22,none,41.92
2024-01-11,26.16,9.19,none,41.71
2024-01-12,27.06,9.23,none,43.0
2024-01-16,26.37,8.92,none,41.11
2024-01-17,26.4,8.42,none,41.36
2024-01-18,26.73,9.22,none,43.44
2024-01-19,26.59,10.34,none,45.4
2024-01-22,26.31,10.55,none,44.95
2024-01-23,26.75,10.83,none,46.06
2024-01-24,24.72,10.91,none,47.83
2024-01-25,25.39,11.43,none,48.63
2024-01-26,25.57,11.37,none,48.94
2024-01-29,26.05,12.06,none,51.16
2024-01-30,26.73,11.99,none,50.85
2024-01-31,25.81,10.45,none,47.65
2024-02-01,26.5,11.46,none,48.27
2024-02-02,26.03,12.41,none,73.69
2024-02-05,24.09,12.07,none,68.75
2024-02-06,28.61,12.35,none,67.04
2024-02-07,28.99,13.07,none,72.48
2024-02-08,28.14,13.13,none,72.63
2024-02-09,29.78,13.64,none,71.93
2024-02-12,29.84,13.6,none,72.22
2024-02-13,28.81,12.17,none,69.01
2024-02-14,29.47,13.12,none,73.83
2024-02-15,32.61,13.8,none,77.76
2024-02-16,33.5,13.28,none,73.84
2024-02-20,34.83,12.73,none,73.27
2024-02-21,35.89,12.83,none,71.91
2024-02-22,38.21,14.94,none,78.53
2024-02-23,38.37,14.99,none,77.76
2024-02-26,37.57,14.61,none,76.92
2024-02-27,37.52,14.81,none,78.86
2024-02-28,39.48,14.65,none,77.75
2024-02-29,38.75,15.05,none,79.99
2024-03-01,38.19,15.81,none,82.96
2024-03-04,40.1,15.68,none,81.48
2024-03-05,41.23,14.57,none,78.6
2024-03-06,41.79,15.15,none,80.72
2024-03-07,42.14,16.24,none,86.54
2024-03-08,41.56,15.57,none,84.29
2024-03-11,43.02,15.48,none,76.2
2024-03-12,43.31,16.5,none,82.05
2024-03-13,43.81,16.35,none,80.53
2024-03-14,43.67,16.14,none,79.18
2024-03-15,42.83,15.48,none,76.39
2024-03-18,42.52,16.07,none,81.04
2024-03-19,42.65,16.58,none,80.78
2024-03-20,42.66,17.38,none,84.13
2024-03-21,42.56,17.69,none,84.94
2024-03-22,42.96,17.27,none,85.6
2024-03-25,42.68,17.03,none,83.23
2024-03-26,42.83,16.78,none,80.65
2024-03-27,42.53,17.57,none,79.92
2024-03-28,42.11,17.56,none,76.92
2024-04-01,41.18,17.14,none,77.65
2024-04-02,40.65,16.47,none,79.8
2024-04-03,40.94,16.56,none,83.15
2024-04-04,39.58,15.31,none,84.64
2024-04-05,41.52,16.37,none,90.52
2024-04-08,40.73,16.41,none,87.62
2024-04-09,39.68,16.55,none,86.78
2024-04-10,37.59,15.5,none,87.83
2024-04-11,38.3,16.27,none,89.02
2024-04-12,36.73,14.8,none,84.99
2024-04-15,35.98,13.46,none,80.82
2024-04-16,36.28,13.26,none,80.65
2024-04-17,36.57,12.6,none,78.65
2024-04-18,36.47,12.36,none,81.38
2024-04-19,36.43,11.45,none,73.97
2024-04-22,36.63,12.38,none,74.21
2024-04-23,36.06,13.77,none,79.34
2024-04-24,35.83,13.69,none,78.41
2024-04-25,35.69,13.23,none,59.78
2024-04-26,35.49,14.34,none,60.46
2024-04-29,36.06,14.73,none,56.64
2024-04-30,34.82,12.94,none,55.77
2024-05-01,34.72,12.36,none,57.99
2024-05-02,27.91,13.38,none,58.87
2024-05-03,29.09,14.75,none,62.48
2024-05-06,29.99,15.88,none,67.3
2024-05-07,30.99,16.04,none,68.21
2024-05-08,30.31,16.05,none,69.75
2024-05-09,30.95,16.7,none,70.75
2024-05-10,32.3,16.85,none,71.03
2024-05-13,32.42,16.85,none,68.13
2024-05-14,31.62,17.4,none,69.5
2024-05-15,31.23,18.81,none,72.95
2024-05-16,30.89,18.58,none,69.99
2024-05-17,31.74,18.76,none,69.52
2024-05-20,31.77,18.87,none,68.42
2024-05-21,32.5,19.19,none,66.93
2024-05-22,32.42,18.84,none,68.05
2024-05-23,31.67,17.97,none,67.34
2024-05-24,32.66,18.76,none,71.76
2024-05-28,30.96,18.86,none,72.37
2024-05-29,29.84,18.03,none,70.39
2024-05-30,31.02,17.25,none,67.79
2024-05-31,32.64,18.26,none,67.71
2024-06-03,31.75,18.08,none,70.31
2024-06-04,30.8,18.22,none,70.14
2024-06-05,31.97,19.6,none,76.5
2024-06-06,31.6,19.58,none,76.04
2024-06-07,31.56,19.43,none,75.76
2024-06-10,31.05,19.81,none,79.16
2024-06-11,32.1,20.08,none,80.87
2024-06-12,31.7,21.06,none,81.35
2024-06-13,33.39,21.28,none,79.68
2024-06-14,32.54,21.38,none,79.71
2024-06-17,33.64,22.32,none,80.58
2024-06-18,33.46,22.64,none,78.43
2024-06-20,34.24,22.31,none,79.09
