Date,rate_AMZN,rate_AMZN_5D,rate_AMZN_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-05-13,-27.36,-30.162,-17.3535,-12.68,-13.709999999999999,-9.3865
2022-05-16,-28.77,-29.906,-18.606,-12.99,-13.622,-9.7685
2022-05-17,-25.89,-29.083999999999996,-19.8735,-11.29,-13.236,-10.139
2022-05-18,-31.11,-28.868000000000002,-21.279,-14.71,-13.262,-10.677
2022-05-19,-30.98,-28.821999999999996,-22.508000000000003,-15.27,-13.388,-11.1735
2022-05-20,-30.81,-29.512,-23.610500000000002,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-30.83,-29.924,-24.7655,-13.68,-14.040000000000001,-11.8585
2022-05-24,-33.03,-31.351999999999997,-25.826,-14.29,-14.64,-12.075500000000002
2022-05-25,-31.33,-31.395999999999997,-26.764,-13.59,-14.416,-12.2685
2022-05-26,-28.59,-30.918,-27.7615,-11.92,-13.745999999999999,-12.4885
2022-05-27,-26.01,-29.958,-28.008,-9.77,-12.65,-12.435500000000001
2022-05-31,-22.79,-28.35,-28.129999999999995,-10.26,-11.966,-12.449
2022-06-01,-21.24,-25.992,-28.166999999999994,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-18.82,-23.490000000000002,-28.135,-9.06,-10.34,-12.606
2022-06-03,-20.83,-21.938,-27.9095,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-19.27,-20.59,-27.555500000000002,-10.26,-10.154,-12.604
2022-06-07,-20.42,-20.116,-27.074,-9.4,-9.982,-12.4025
2022-06-08,-21.58,-20.184,-26.653,-10.37,-9.918000000000001,-12.26
2022-06-09,-24.8,-21.38,-26.283499999999997,-12.42,-10.59,-12.152
2022-06-10,-28.96,-23.006,-26.171,-14.93,-11.475999999999999,-12.1665
2022-06-13,-32.78,-25.708000000000006,-26.442,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-33.66,-28.356,-26.686500000000002,-18.32,-14.831999999999999,-12.705
2022-06-15,-30.21,-30.082,-26.902500000000003,-17.18,-16.194,-12.999500000000001
2022-06-16,-32.79,-31.68,-26.9865,-19.83,-17.676,-13.255500000000001
2022-06-17,-31.14,-32.116,-26.9945,-19.62,-18.614,-13.472999999999999
2022-06-21,-29.56,-31.471999999999998,-26.932,-17.71,-18.532,-13.596
2022-06-22,-29.39,-30.618000000000002,-26.860000000000003,-17.88,-18.444,-13.806000000000001
2022-06-23,-27.14,-30.003999999999998,-26.565500000000004,-17.04,-18.416,-13.9435
2022-06-24,-24.55,-28.356,-26.226499999999998,-14.53,-17.356,-13.9905
2022-06-27,-26.64,-27.456,-26.129,-14.84,-16.4,-14.136499999999998
2022-06-28,-30.38,-27.619999999999997,-26.347500000000004,-16.63,-16.184,-14.479499999999998
2022-06-29,-29.41,-27.624000000000002,-26.678500000000003,-16.92,-15.992,-14.8125
2022-06-30,-31.15,-28.426,-27.174,-17.56,-16.096,-15.156
2022-07-01,-28.21,-29.157999999999998,-27.6435,-16.28,-16.446,-15.517
2022-07-05,-25.74,-28.977999999999998,-27.889,-16.14,-16.706,-15.799000000000001
2022-07-06,-25.21,-27.944,-28.186,-15.85,-16.55,-16.0785
2022-07-07,-23.93,-26.848000000000003,-28.361499999999996,-14.65,-16.096,-16.341
2022-07-08,-24.44,-25.506,-28.5045,-14.7,-15.524000000000001,-16.5575
2022-07-11,-26.89,-25.241999999999997,-28.608999999999998,-15.64,-15.395999999999997,-16.7185
2022-07-12,-28.54,-25.802,-28.588,-16.4,-15.447999999999999,-16.792
2022-07-13,-27.77,-26.314,-28.3375,-16.77,-15.632,-16.7245
2022-07-14,-27.62,-27.052,-28.035500000000003,-16.99,-16.1,-16.658
2022-07-15,-25.72,-27.308,-27.810999999999996,-15.46,-16.252000000000002,-16.572
2022-07-18,-25.58,-27.046,-27.450499999999998,-16.14,-16.352,-16.3875
2022-07-19,-22.69,-25.875999999999998,-27.028,-13.93,-15.857999999999999,-16.103
2022-07-20,-19.72,-24.266,-26.536,-13.4,-15.184000000000001,-15.8875
2022-07-21,-18.51,-22.444,-25.992,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-19.95,-21.29,-25.6325,-13.32,-13.868,-15.434999999999999
2022-07-25,-20.78,-20.330000000000002,-25.444,-13.24,-13.288,-15.370499999999998
2022-07-26,-24.9,-20.772,-25.357000000000003,-14.25,-13.352,-15.341
2022-07-27,-20.89,-21.006,-24.8825,-12.07,-13.086000000000002,-15.113
2022-07-28,-20.04,-21.312,-24.414,-10.99,-12.774,-14.8165
2022-07-29,-11.79,-19.68,-23.445999999999998,-9.72,-12.053999999999998,-14.4245
2022-08-01,-11.2,-17.764,-22.595499999999998,-9.72,-11.350000000000001,-14.0965
2022-08-02,-11.8,-15.144,-21.8985,-10.15,-10.53,-13.797
2022-08-03,-9.2,-12.806000000000001,-21.098,-9.12,-9.94,-13.460500000000001
2022-08-04,-7.73,-10.344,-20.288,-9.18,-9.578,-13.187000000000001
2022-08-05,-8.58,-9.702,-19.494999999999997,-9.31,-9.496,-12.9175
2022-08-08,-9.26,-9.314,-18.6135,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-9.96,-8.946,-17.6845,-9.62,-9.319999999999999,-12.265
2022-08-10,-7.8,-8.666,-16.686,-8.33,-9.162,-11.843
2022-08-11,-8.71,-8.862,-15.7405,-8.33,-8.992,-11.41
2022-08-12,-7.42,-8.629999999999999,-14.8255,-7.26,-8.581999999999999,-11.0
2022-08-15,-7.58,-8.294,-13.9255,-6.98,-8.104000000000001,-10.542
2022-08-16,-6.89,-7.68,-13.135499999999999,-6.87,-7.554,-10.189
2022-08-17,-8.05,-7.730000000000001,-12.552,-7.3,-7.348000000000001,-9.884
2022-08-18,-7.96,-7.58,-12.0245,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-9.71,-8.038,-11.5125,-7.96,-7.244,-9.344
2022-08-22,-11.87,-8.896,-11.067,-9.24,-7.696,-9.144
2022-08-23,-11.7,-9.858,-10.407,-9.38,-8.198,-8.9005
2022-08-24,-11.62,-10.572,-9.9435,-9.2,-8.578,-8.757
2022-08-25,-10.1,-11.0,-9.4465,-8.33,-8.822,-8.623999999999999
2022-08-26,-12.95,-11.648,-9.5045,-10.4,-9.31,-8.658
2022-08-29,-13.37,-11.947999999999999,-9.613,-10.79,-9.620000000000001,-8.7115
2022-08-30,-13.84,-12.376,-9.715,-11.42,-10.028,-8.774999999999999
2022-08-31,-14.71,-12.994,-9.9905,-11.87,-10.562,-8.9125
2022-09-01,-13.88,-13.75,-10.298,-11.4,-11.175999999999998,-9.0235
2022-09-02,-14.01,-13.962,-10.5695,-11.98,-11.492,-9.157
2022-09-06,-14.61,-14.209999999999999,-10.837,-12.17,-11.768,-9.297
2022-09-07,-12.75,-13.991999999999999,-10.9765,-10.9,-11.664,-9.361
2022-09-08,-12.54,-13.558000000000002,-11.2135,-10.38,-11.366,-9.4635
2022-09-09,-10.42,-12.866,-11.299,-9.13,-10.912,-9.503499999999999
2022-09-12,-8.47,-11.758,-11.351499999999998,-8.23,-10.162,-9.552
2022-09-13,-14.64,-11.764,-11.7045,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-13.53,-11.919999999999998,-12.0365,-11.7,-10.290000000000001,-10.045
2022-09-15,-14.98,-12.408000000000001,-12.383,-12.63,-10.74,-10.311499999999999
2022-09-16,-16.74,-13.672,-12.822,-13.28,-11.57,-10.620000000000001
2022-09-19,-16.02,-15.181999999999999,-13.1375,-12.65,-12.453999999999999,-10.8545
2022-09-20,-17.64,-15.782,-13.425999999999998,-13.61,-12.774,-11.073
2022-09-21,-20.04,-17.084,-13.843,-15.08,-13.45,-11.358
2022-09-22,-20.84,-18.256,-14.303999999999998,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-23.16,-19.54,-14.957000000000003,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-22.26,-20.788,-15.4225,-17.92,-15.906,-12.503499999999999
2022-09-27,-22.75,-21.810000000000002,-15.891499999999999,-18.14,-16.812,-12.871
2022-09-28,-20.37,-21.875999999999998,-16.218,-16.92,-17.18,-13.146
2022-09-29,-22.5,-22.208,-16.6075,-18.62,-17.748,-13.483500000000001
2022-09-30,-23.69,-22.314,-17.098000000000003,-19.84,-18.288,-13.905499999999998
2022-10-03,-21.23,-22.108,-17.459,-17.32,-18.168,-14.172500000000003
2022-10-04,-17.78,-21.113999999999997,-17.6175,-14.89,-17.518,-14.3085
2022-10-05,-17.87,-20.614,-17.8735,-15.03,-17.14,-14.515
2022-10-06,-18.3,-19.774,-18.1615,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-22.11,-19.458000000000002,-18.746000000000002,-18.18,-16.264,-15.243500000000001
2022-10-10,-22.7,-19.752000000000002,-19.457500000000003,-18.77,-16.554,-15.770500000000002
2022-10-11,-23.68,-20.932,-19.9095,-19.3,-17.436,-16.135
2022-10-12,-23.21,-22.0,-20.3935,-19.54,-18.338,-16.526999999999997
2022-10-13,-23.46,-23.032,-20.8175,-17.48,-18.654,-16.7695
2022-10-14,-27.23,-24.056,-21.342000000000002,-19.3,-18.878,-17.070500000000003
2022-10-17,-22.62,-24.04,-21.672,-17.29,-18.582,-17.3025
2022-10-18,-20.89,-23.482000000000003,-21.8345,-16.34,-17.99,-17.439
2022-10-19,-21.76,-23.192,-21.920499999999997,-16.91,-17.464,-17.530499999999996
2022-10-20,-21.64,-22.828,-21.960500000000003,-17.57,-17.482,-17.619999999999997
2022-10-21,-18.9,-21.162,-21.7475,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-18.56,-20.35,-21.5625,-14.63,-16.216,-17.380000000000003
2022-10-25,-18.04,-19.78,-21.327,-13.27,-15.602,-17.1365
2022-10-26,-21.37,-19.701999999999998,-21.377000000000002,-13.9,-15.0,-16.9855
2022-10-27,-24.55,-20.284,-21.479499999999998,-14.35,-14.356,-16.772
2022-10-28,-29.65,-22.434,-21.7775,-12.4,-13.709999999999999,-16.4
2022-10-31,-30.31,-24.784,-22.2315,-12.98,-13.38,-16.183
2022-11-01,-33.3,-27.836000000000002,-23.0075,-13.0,-13.325999999999999,-16.0885
2022-11-02,-36.38,-30.838,-23.933,-15.11,-13.568000000000001,-16.0925
2022-11-03,-38.24,-33.576,-24.93,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-37.13,-35.072,-25.681,-14.8,-14.372,-15.927000000000001
2022-11-07,-37.42,-36.49400000000001,-26.417,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-37.8,-37.394,-27.123,-13.57,-14.696000000000002,-15.4035
2022-11-09,-40.39,-38.196000000000005,-27.982,-15.28,-14.73,-15.1905
2022-11-10,-33.31,-37.21,-28.4745,-10.81,-13.697999999999999,-14.857
2022-11-11,-30.5,-35.884,-28.637999999999998,-9.98,-12.734,-14.391
2022-11-14,-32.05,-34.809999999999995,-29.109500000000004,-10.68,-12.064,-14.060500000000001
2022-11-15,-31.74,-33.598,-29.651999999999997,-9.96,-11.342,-13.741499999999998
2022-11-16,-32.98,-32.116,-30.213,-10.63,-10.412,-13.4275
2022-11-17,-34.53,-32.36,-30.857500000000005,-10.88,-10.426,-13.093
2022-11-18,-35.01,-33.26199999999999,-31.663,-10.49,-10.528,-12.836000000000002
2022-11-21,-36.16,-34.083999999999996,-32.543,-10.8,-10.552000000000001,-12.6445
2022-11-22,-35.65,-34.866,-33.423500000000004,-9.64,-10.488000000000001,-12.463
2022-11-23,-35.02,-35.274,-34.106,-9.09,-10.180000000000001,-12.2225
2022-11-25,-35.51,-35.47,-34.653999999999996,-9.1,-9.824,-11.96
2022-11-28,-35.14,-35.496,-34.9285,-10.5,-9.825999999999999,-11.865
2022-11-29,-36.19,-35.501999999999995,-35.222500000000004,-10.66,-9.798,-11.749
2022-11-30,-33.37,-35.046,-35.226,-7.97,-9.464,-11.4975
2022-12-01,-33.27,-34.696,-35.070499999999996,-7.76,-9.198,-11.129999999999999
2022-12-02,-34.18,-34.43,-34.86749999999999,-7.89,-8.956,-10.725999999999999
2022-12-05,-36.27,-34.65599999999999,-34.8245,-9.46,-8.748000000000001,-10.459
2022-12-06,-38.16,-35.05,-34.8615,-10.72,-8.76,-10.2935
2022-12-07,-38.01,-35.978,-34.872,-10.89,-9.344,-10.1595
2022-12-08,-36.72,-36.668,-34.6885,-10.21,-9.834,-9.906000000000002
2022-12-09,-37.58,-37.348,-34.902,-10.84,-10.424000000000001,-9.9075
2022-12-12,-36.58,-37.41,-35.206,-9.61,-10.454,-9.889
2022-12-13,-35.24,-36.826,-35.3655,-8.96,-10.102,-9.803
2022-12-14,-35.87,-36.397999999999996,-35.572,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-38.03,-36.66,-35.8245,-11.68,-10.118,-9.8325
2022-12-16,-38.44,-36.832,-36.02,-12.71,-10.492,-9.924
2022-12-19,-40.47,-37.61,-36.29299999999999,-13.44,-11.258,-10.0715
2022-12-20,-40.28,-38.618,-36.499,-13.72,-12.209999999999999,-10.2175
2022-12-21,-39.19,-39.282,-36.676,-12.46,-12.802000000000001,-10.3585
2022-12-22,-41.25,-39.926,-36.9875,-13.66,-13.197999999999999,-10.587
2022-12-23,-40.24,-40.286,-37.224000000000004,-13.19,-13.294,-10.7915
2022-12-27,-41.77,-40.54600000000001,-37.5555,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-42.62,-41.013999999999996,-37.876999999999995,-14.56,-13.478,-11.1375
2022-12-29,-40.98,-41.372,-38.2575,-13.08,-13.602,-11.392999999999999
2022-12-30,-41.11,-41.344,-38.6495,-13.31,-13.532,-11.6705
2023-01-03,-38.92,-41.08,-38.8865,-13.32,-13.558000000000002,-11.942
2023-01-04,-39.39,-40.604,-39.0425,-12.72,-13.398000000000001,-12.105
2023-01-05,-40.81,-40.242,-39.175,-13.65,-13.216,-12.2515
2023-01-06,-38.72,-39.79,-39.2105,-11.74,-12.948000000000002,-12.294
2023-01-09,-37.81,-39.13,-39.265,-11.8,-12.646,-12.3735
2023-01-10,-36.04,-38.553999999999995,-39.188,-11.18,-12.218,-12.3905
2023-01-11,-32.35,-37.146,-38.9765,-10.08,-11.690000000000001,-12.414
2023-01-12,-32.22,-35.428000000000004,-38.8255,-9.75,-10.91,-12.4535
2023-01-13,-30.2,-33.724000000000004,-38.542,-9.41,-10.444,-12.449
2023-01-17,-31.67,-32.496,-38.224000000000004,-9.54,-9.992,-12.342
2023-01-18,-32.09,-31.706,-37.9065,-10.98,-9.952,-12.255500000000001
2023-01-19,-33.34,-31.904000000000003,-37.55,-11.6,-10.256,-12.1635
2023-01-20,-30.82,-31.624000000000002,-37.077,-10.01,-10.308,-11.978
2023-01-23,-30.63,-31.71,-36.649,-8.94,-10.213999999999999,-11.802
2023-01-24,-31.48,-31.672000000000004,-36.1605,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-30.87,-31.428000000000004,-35.692,-9.01,-9.72,-11.362
2023-01-26,-29.43,-30.645999999999997,-35.075,-8.06,-9.012,-11.089
2023-01-27,-27.29,-29.940000000000005,-34.3085,-7.8,-8.57,-10.751
2023-01-30,-28.48,-29.51,-33.683499999999995,-8.93,-8.568,-10.5435
2023-01-31,-26.66,-28.546000000000003,-32.961,-7.66,-8.291999999999998,-10.261
2023-02-01,-24.66,-27.304000000000002,-32.248000000000005,-6.52,-7.794,-9.921
2023-02-02,-19.29,-25.276,-31.243000000000002,-5.25,-7.231999999999999,-9.5475
2023-02-03,-25.87,-24.992,-30.496,-6.21,-6.914,-9.175500000000001
2023-02-06,-26.71,-24.637999999999998,-29.8955,-6.73,-6.473999999999999,-8.925
2023-02-07,-26.76,-24.658,-29.343,-5.74,-6.09,-8.622
2023-02-08,-28.21,-25.368000000000002,-28.951500000000003,-6.59,-6.104,-8.3925
2023-02-09,-29.48,-27.406,-28.808000000000003,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-29.92,-28.216,-28.693,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-28.57,-28.588,-28.611499999999996,-6.18,-6.564,-7.955
2023-02-14,-28.45,-28.926,-28.450499999999998,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-27.42,-28.768,-28.216999999999995,-5.96,-6.531999999999999,-7.5375
2023-02-16,-29.55,-28.782,-28.027500000000003,-6.98,-6.478,-7.3065
2023-02-17,-30.23,-28.844,-27.998,-7.17,-6.5,-7.164500000000001
2023-02-21,-32.08,-29.546,-28.0705,-8.6,-6.984,-7.147500000000001
2023-02-22,-31.23,-30.102000000000004,-28.058,-8.69,-7.4799999999999995,-7.13
2023-02-23,-31.2,-30.857999999999997,-28.0745,-8.34,-7.956,-7.096500000000001
2023-02-24,-32.85,-31.518,-28.245500000000003,-9.1,-8.379999999999999,-7.1485
2023-02-27,-32.66,-32.004000000000005,-28.514,-8.85,-8.716,-7.2010000000000005
2023-02-28,-32.33,-32.053999999999995,-28.7065,-9.16,-8.828,-7.2125
2023-03-01,-33.05,-32.418,-29.026,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-33.07,-32.791999999999994,-29.446499999999997,-8.66,-9.001999999999999,-7.3985
2023-03-03,-31.15,-32.452,-30.039500000000004,-7.41,-8.663999999999998,-7.5065
2023-03-06,-31.95,-32.309999999999995,-30.3435,-7.32,-8.358,-7.561999999999999
2023-03-07,-32.09,-32.262,-30.6125,-8.65,-8.256,-7.6579999999999995
2023-03-08,-31.83,-32.017999999999994,-30.865999999999996,-8.52,-8.112,-7.797
2023-03-09,-33.01,-32.006,-31.106,-10.08,-8.396,-7.971499999999999
2023-03-10,-34.09,-32.594,-31.336499999999994,-11.27,-9.168000000000001,-8.1725
2023-03-13,-32.88,-32.78,-31.484499999999997,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-31.13,-32.588,-31.6125,-10.0,-10.256,-8.581
2023-03-15,-30.18,-32.258,-31.699,-10.53,-10.658,-8.797
2023-03-16,-27.43,-31.142000000000003,-31.6995,-9.06,-10.453999999999999,-8.952
2023-03-17,-28.21,-29.965999999999998,-31.6325,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-29.1,-29.21,-31.576,-9.23,-9.768,-9.206999999999999
2023-03-21,-27.02,-28.387999999999998,-31.323,-8.08,-9.384,-9.181000000000001
2023-03-22,-28.39,-28.03,-31.181,-9.56,-9.190000000000001,-9.2245
2023-03-23,-28.38,-28.22,-31.04,-9.35,-9.248000000000001,-9.275
2023-03-24,-28.8,-28.338,-30.8375,-9.13,-9.069999999999999,-9.2765
2023-03-27,-28.86,-28.29,-30.647499999999997,-8.98,-9.02,-9.283
2023-03-28,-29.44,-28.774,-30.503000000000004,-9.14,-9.232000000000001,-9.282
2023-03-29,-27.27,-28.55,-30.214,-7.87,-8.894,-9.2135
2023-03-30,-26.0,-28.074,-29.860500000000002,-7.33,-8.49,-9.147
2023-03-31,-25.07,-27.327999999999996,-29.5565,-6.05,-7.8740000000000006,-9.079
2023-04-03,-25.15,-26.586000000000002,-29.216500000000003,-5.56,-7.19,-8.991000000000001
2023-04-04,-24.04,-25.506,-28.814,-6.08,-6.578,-8.8625
2023-04-05,-26.09,-25.27,-28.527000000000005,-6.3,-6.264,-8.7515
2023-04-06,-25.4,-25.15,-28.146499999999996,-5.95,-5.988,-8.545
2023-04-10,-25.32,-25.2,-27.708000000000006,-5.85,-5.9479999999999995,-8.274
2023-04-11,-26.95,-25.559999999999995,-27.4115,-5.84,-6.004,-7.9955
2023-04-12,-28.46,-26.444,-27.278000000000002,-6.21,-6.029999999999999,-7.806
2023-04-13,-25.16,-26.258,-27.026999999999997,-5.01,-5.772,-7.529999999999999
2023-04-14,-25.08,-26.194,-26.9095,-5.2,-5.622,-7.337000000000001
2023-04-17,-24.91,-26.112000000000002,-26.7445,-4.88,-5.428,-7.08
2023-04-18,-25.23,-25.768,-26.551,-4.82,-5.224,-6.8595
2023-04-19,-23.78,-24.832,-26.389,-4.83,-4.948,-6.697
2023-04-20,-24.13,-24.625999999999998,-26.176,-5.36,-5.018000000000001,-6.487
2023-04-21,-21.84,-23.978,-25.849,-5.3,-5.037999999999999,-6.2845
