Date,rate_LRCX,rate_LRCX_5D,rate_LRCX_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-05-06,-25.61,-24.452,-26.6755,-10.67,-9.48,-7.1165
2022-05-09,-30.23,-25.407999999999998,-26.965999999999998,-13.43,-10.168,-7.6215
2022-05-10,-28.41,-26.18,-27.05,-13.22,-10.888,-8.0355
2022-05-11,-30.22,-27.924,-27.159000000000002,-14.58,-12.406,-8.500499999999999
2022-05-12,-28.21,-28.536,-27.2095,-14.64,-13.308000000000002,-9.021
2022-05-13,-23.41,-28.095999999999997,-26.8975,-12.68,-13.709999999999999,-9.3865
2022-05-16,-24.85,-27.020000000000003,-26.764499999999998,-12.99,-13.622,-9.7685
2022-05-17,-20.31,-25.4,-26.469,-11.29,-13.236,-10.139
2022-05-18,-25.61,-24.478,-26.4555,-14.71,-13.262,-10.677
2022-05-19,-26.43,-24.122,-26.394,-15.27,-13.388,-11.1735
2022-05-20,-26.12,-24.663999999999998,-26.2695,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-24.72,-24.637999999999998,-26.174,-13.68,-14.040000000000001,-11.8585
2022-05-24,-26.6,-25.895999999999997,-26.029500000000002,-14.29,-14.64,-12.075500000000002
2022-05-25,-24.07,-25.588,-25.755000000000003,-13.59,-14.416,-12.2685
2022-05-26,-20.78,-24.458000000000002,-25.5225,-11.92,-13.745999999999999,-12.4885
2022-05-27,-17.46,-22.726,-24.9845,-9.77,-12.65,-12.435500000000001
2022-05-31,-19.13,-21.608,-24.6685,-10.26,-11.966,-12.449
2022-06-01,-20.71,-20.43,-24.4765,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-18.05,-19.226,-24.304000000000002,-9.06,-10.34,-12.606
2022-06-03,-19.47,-18.964,-24.02,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-19.12,-19.296,-23.695500000000003,-10.26,-10.154,-12.604
2022-06-07,-18.03,-19.076,-23.0855,-9.4,-9.982,-12.4025
2022-06-08,-19.75,-18.884,-22.652499999999996,-10.37,-9.918000000000001,-12.26
2022-06-09,-22.58,-19.79,-22.270500000000002,-12.42,-10.59,-12.152
2022-06-10,-25.47,-20.99,-22.1335,-14.93,-11.475999999999999,-12.1665
2022-06-13,-29.61,-23.088,-22.4435,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-29.2,-25.322,-22.660999999999998,-18.32,-14.831999999999999,-12.705
2022-06-15,-28.62,-27.095999999999997,-23.0765,-17.18,-16.194,-12.999500000000001
2022-06-16,-33.98,-29.375999999999998,-23.495,-19.83,-17.676,-13.255500000000001
2022-06-17,-33.8,-31.041999999999994,-23.8635,-19.62,-18.614,-13.472999999999999
2022-06-21,-31.74,-31.468,-24.1445,-17.71,-18.532,-13.596
2022-06-22,-32.87,-32.202,-24.552,-17.88,-18.444,-13.806000000000001
2022-06-23,-33.1,-33.098,-24.877000000000002,-17.04,-18.416,-13.9435
2022-06-24,-29.14,-32.129999999999995,-25.1305,-14.53,-17.356,-13.9905
2022-06-27,-29.2,-31.21,-25.551499999999997,-14.84,-16.4,-14.136499999999998
2022-06-28,-30.95,-31.052,-26.226,-16.63,-16.184,-14.479499999999998
2022-06-29,-32.65,-31.008,-26.901999999999997,-16.92,-15.992,-14.8125
2022-06-30,-32.79,-30.946000000000005,-27.506,-17.56,-16.096,-15.156
2022-07-01,-36.52,-32.422,-28.4295,-16.28,-16.446,-15.517
2022-07-05,-37.42,-34.066,-29.326999999999998,-16.14,-16.706,-15.799000000000001
2022-07-06,-36.98,-35.272,-30.22,-15.85,-16.55,-16.0785
2022-07-07,-33.39,-35.42,-30.988,-14.65,-16.096,-16.341
2022-07-08,-33.35,-35.532,-31.668,-14.7,-15.524000000000001,-16.5575
2022-07-11,-35.32,-35.292,-32.305,-15.64,-15.395999999999997,-16.7185
2022-07-12,-34.78,-34.763999999999996,-32.7705,-16.4,-15.447999999999999,-16.792
2022-07-13,-33.83,-34.134,-32.981500000000004,-16.77,-15.632,-16.7245
2022-07-14,-32.7,-33.996,-33.1565,-16.99,-16.1,-16.658
2022-07-15,-31.5,-33.626,-33.3005,-15.46,-16.252000000000002,-16.572
2022-07-18,-32.11,-32.984,-33.207,-16.14,-16.352,-16.3875
2022-07-19,-28.43,-31.714,-32.9385,-13.93,-15.857999999999999,-16.103
2022-07-20,-25.63,-30.074,-32.632999999999996,-13.4,-15.184000000000001,-15.8875
2022-07-21,-23.92,-28.318,-32.185500000000005,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-25.8,-27.177999999999997,-31.8205,-13.32,-13.868,-15.434999999999999
2022-07-25,-26.81,-26.118000000000002,-31.704,-13.24,-13.288,-15.370499999999998
2022-07-26,-28.39,-26.109999999999996,-31.6635,-14.25,-13.352,-15.341
2022-07-27,-25.23,-26.03,-31.377500000000005,-12.07,-13.086000000000002,-15.113
2022-07-28,-22.56,-25.758,-30.873,-10.99,-12.774,-14.8165
2022-07-29,-20.15,-24.628,-30.240999999999996,-9.72,-12.053999999999998,-14.4245
2022-08-01,-19.28,-23.122,-29.379,-9.72,-11.350000000000001,-14.0965
2022-08-02,-19.29,-21.302,-28.472500000000004,-10.15,-10.53,-13.797
2022-08-03,-16.73,-19.602,-27.46,-9.12,-9.94,-13.460500000000001
2022-08-04,-15.9,-18.270000000000003,-26.585500000000003,-9.18,-9.578,-13.187000000000001
2022-08-05,-17.28,-17.695999999999998,-25.782,-9.31,-9.496,-12.9175
2022-08-08,-18.49,-17.538,-24.9405,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-22.75,-18.23,-24.339,-9.62,-9.319999999999999,-12.265
2022-08-10,-20.04,-18.892,-23.6495,-8.33,-9.162,-11.843
2022-08-11,-19.77,-19.665999999999997,-23.003,-8.33,-8.992,-11.41
2022-08-12,-17.53,-19.715999999999998,-22.3045,-7.26,-8.581999999999999,-11.0
2022-08-15,-17.67,-19.552,-21.5825,-6.98,-8.104000000000001,-10.542
2022-08-16,-18.39,-18.68,-21.0805,-6.87,-7.554,-10.189
2022-08-17,-19.73,-18.618000000000002,-20.7855,-7.3,-7.348000000000001,-9.884
2022-08-18,-19.15,-18.494,-20.547,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-21.9,-19.368,-20.351999999999997,-7.96,-7.244,-9.344
2022-08-22,-23.9,-20.613999999999997,-20.2065,-9.24,-7.696,-9.144
2022-08-23,-23.22,-21.580000000000002,-19.948,-9.38,-8.198,-8.9005
2022-08-24,-23.32,-22.298,-19.8525,-9.2,-8.578,-8.757
2022-08-25,-21.7,-22.808,-19.8095,-8.33,-8.822,-8.623999999999999
2022-08-26,-24.36,-23.3,-20.02,-10.4,-9.31,-8.658
2022-08-29,-25.3,-23.58,-20.321,-10.79,-9.620000000000001,-8.7115
2022-08-30,-25.5,-24.035999999999998,-20.6315,-11.42,-10.028,-8.774999999999999
2022-08-31,-26.01,-24.574,-21.095499999999998,-11.87,-10.562,-8.9125
2022-09-01,-25.96,-25.426,-21.598499999999998,-11.4,-11.175999999999998,-9.0235
2022-09-02,-26.16,-25.786,-22.0425,-11.98,-11.492,-9.157
2022-09-06,-26.52,-26.03,-22.444,-12.17,-11.768,-9.297
2022-09-07,-25.79,-26.088,-22.596,-10.9,-11.664,-9.361
2022-09-08,-24.71,-25.827999999999996,-22.8295,-10.38,-11.366,-9.4635
2022-09-09,-22.94,-25.223999999999997,-22.988,-9.13,-10.912,-9.503499999999999
2022-09-12,-23.47,-24.686,-23.285,-8.23,-10.162,-9.552
2022-09-13,-27.73,-24.928,-23.788,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-27.52,-25.273999999999997,-24.2445,-11.7,-10.290000000000001,-10.045
2022-09-15,-28.84,-26.1,-24.7,-12.63,-10.74,-10.311499999999999
2022-09-16,-29.51,-27.413999999999998,-25.217999999999996,-13.28,-11.57,-10.620000000000001
2022-09-19,-29.51,-28.622000000000003,-25.5985,-12.65,-12.453999999999999,-10.8545
2022-09-20,-30.48,-29.172000000000004,-25.927500000000002,-13.61,-12.774,-11.073
2022-09-21,-31.26,-29.920000000000005,-26.329500000000003,-15.08,-13.45,-11.358
2022-09-22,-33.22,-30.796000000000003,-26.8245,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-34.25,-31.744,-27.451999999999998,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-35.76,-32.994,-28.022000000000002,-17.92,-15.906,-12.503499999999999
2022-09-27,-34.87,-33.872,-28.5005,-18.14,-16.812,-12.871
2022-09-28,-34.04,-34.428,-28.9275,-16.92,-17.18,-13.146
2022-09-29,-35.91,-34.965999999999994,-29.422500000000003,-18.62,-17.748,-13.483500000000001
2022-09-30,-36.68,-35.452,-29.958499999999997,-19.84,-18.288,-13.905499999999998
2022-10-03,-31.87,-34.674,-30.244,-17.32,-18.168,-14.172500000000003
2022-10-04,-30.03,-33.706,-30.4195,-14.89,-17.518,-14.3085
2022-10-05,-30.15,-32.928000000000004,-30.6375,-15.03,-17.14,-14.515
2022-10-06,-30.54,-31.854000000000003,-30.929000000000002,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-34.36,-31.389999999999997,-31.5,-18.18,-16.264,-15.243500000000001
2022-10-10,-38.4,-32.696,-32.246500000000005,-18.77,-16.554,-15.770500000000002
2022-10-11,-42.45,-35.18,-32.9825,-19.3,-17.436,-16.135
2022-10-12,-42.98,-37.745999999999995,-33.7555,-19.54,-18.338,-16.526999999999997
2022-10-13,-40.13,-39.664,-34.32,-17.48,-18.654,-16.7695
2022-10-14,-44.52,-41.696,-35.0705,-19.3,-18.878,-17.070500000000003
2022-10-17,-44.44,-42.904,-35.817,-17.29,-18.582,-17.3025
2022-10-18,-43.31,-43.076,-36.4585,-16.34,-17.99,-17.439
2022-10-19,-41.93,-42.866,-36.992000000000004,-16.91,-17.464,-17.530499999999996
2022-10-20,-37.52,-42.34400000000001,-37.207,-17.57,-17.482,-17.619999999999997
2022-10-21,-35.23,-40.486000000000004,-37.256,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-34.43,-38.484,-37.189499999999995,-14.63,-16.216,-17.380000000000003
2022-10-25,-33.42,-36.506,-37.117000000000004,-13.27,-15.602,-17.1365
2022-10-26,-32.44,-34.608,-37.037,-13.9,-15.0,-16.9855
2022-10-27,-31.84,-33.471999999999994,-36.8335,-14.35,-14.356,-16.772
