Date,rate_CRM_5D,rate_VOO_20D,Max_Divergence
2022-03-10,-15.94,-6.57,-90.61
2022-03-11,-16.34,-6.86,-77.42
2022-03-14,-16.6,-7.09,-85.98
2022-03-15,-16.26,-7.21,-115.28
2022-03-16,-16.05,-7.3,-122.13
2022-03-17,-15.2,-7.34,-132.29
2022-03-18,-13.47,-7.24,-103.71
2022-03-21,-11.76,-7.1,-159.42
2022-03-22,-9.93,-6.86,-195.15
2022-03-23,-9.48,-6.6,-178.72
2022-03-24,-9.18,-6.36,-241.7
2022-03-25,-9.83,-6.18,-363.83
2022-03-28,-9.7,-5.97,-440.24
2022-03-29,-9.44,-5.63,-1279.17
2022-03-30,-9.12,-5.41,-750.46
2022-03-31,-9.26,-5.23,-303.5
2022-04-01,-9.1,-5.01,-350.45
2022-04-04,-8.75,-4.61,-411.03
2022-04-05,-9.63,-4.25,-320.23
2022-04-06,-10.75,-4.04,-316.25
2022-04-07,-11.7,-3.79,-388.06
2022-04-08,-12.96,-3.5,-391.59
2022-04-11,-14.89,-3.25,-245.75
2022-04-12,-16.16,-3.12,-228.41
2022-04-13,-16.58,-3.03,-301.18
2022-04-14,-17.47,-3.06,-264.8
2022-04-18,-18.32,-3.14,-285.05
2022-04-19,-18.65,-3.15,-383.25
2022-04-20,-19.37,-3.21,-429.62
2022-04-21,-20.91,-3.28,-362.73
2022-04-22,-22.43,-3.53,-245.42
2022-04-25,-23.47,-3.79,-250.47
2022-04-26,-25.27,-4.2,-178.59
2022-04-27,-26.24,-4.66,-164.95
2022-04-28,-25.52,-4.98,-180.98
2022-04-29,-25.14,-5.4,-133.15
2022-05-02,-24.75,-5.78,-138.84
2022-05-03,-23.91,-6.19,-144.59
2022-05-04,-22.87,-6.41,-194.28
2022-05-05,-23.85,-6.74,-157.26
2022-05-06,-24.23,-7.12,-154.36
2022-05-09,-25.4,-7.62,-121.0
2022-05-10,-26.33,-8.04,-113.24
2022-05-11,-28.34,-8.5,-110.22
2022-05-12,-29.33,-9.02,-111.82
2022-05-13,-29.56,-9.39,-123.11
2022-05-16,-29.52,-9.77,-126.79
2022-05-17,-29.81,-10.14,-162.36
2022-05-18,-30.14,-10.68,-119.78
2022-05-19,-30.55,-11.17,-116.5
2022-05-20,-31.16,-11.54,-105.57
2022-05-23,-31.49,-11.86,-127.12
2022-05-24,-32.06,-12.08,-127.43
2022-05-25,-31.87,-12.27,-130.68
2022-05-26,-31.29,-12.49,-153.02
2022-05-27,-30.82,-12.44,-197.24
2022-05-31,-30.83,-12.45,-203.12
2022-06-01,-29.07,-12.5,-121.89
2022-06-02,-26.51,-12.61,-104.75
2022-06-03,-24.49,-12.62,-90.76
2022-06-06,-22.86,-12.6,-103.7
2022-06-07,-20.45,-12.4,-102.87
2022-06-08,-19.35,-12.26,-75.6
2022-06-09,-19.46,-12.15,-53.7
2022-06-10,-20.01,-12.17,-52.58
2022-06-13,-21.44,-12.44,-54.91
2022-06-14,-23.38,-12.7,-56.93
2022-06-15,-25.14,-13.0,-57.16
2022-06-16,-27.46,-13.26,-54.87
2022-06-17,-28.76,-13.47,-49.08
2022-06-21,-28.69,-13.6,-56.58
2022-06-22,-28.43,-13.81,-53.64
2022-06-23,-28.05,-13.94,-47.18
2022-06-24,-25.83,-13.99,-34.89
2022-06-27,-24.29,-14.14,-45.28
2022-06-28,-23.89,-14.48,-54.9
2022-06-29,-23.62,-14.81,-54.37
2022-06-30,-24.31,-15.16,-62.3
2022-07-01,-25.67,-15.52,-62.29
2022-07-05,-26.31,-15.8,-53.41
2022-07-06,-26.07,-16.08,-54.76
2022-07-07,-25.41,-16.34,-56.04
2022-07-08,-24.38,-16.56,-58.84
2022-07-11,-23.87,-16.72,-52.43
2022-07-12,-24.38,-16.79,-66.52
2022-07-13,-25.18,-16.72,-70.18
2022-07-14,-26.53,-16.66,-74.22
2022-07-15,-27.23,-16.57,-73.74
2022-07-18,-27.79,-16.39,-65.06
2022-07-19,-27.14,-16.1,-72.86
2022-07-20,-25.5,-15.89,-51.79
2022-07-21,-23.4,-15.62,-52.11
2022-07-22,-22.1,-15.43,-52.7
2022-07-25,-21.28,-15.37,-70.47
2022-07-26,-21.57,-15.34,-79.16
2022-07-27,-21.76,-15.11,-76.22
2022-07-28,-22.11,-14.82,-89.72
2022-07-29,-21.98,-14.42,-102.37
2022-08-01,-21.38,-14.1,-101.54
2022-08-02,-20.14,-13.8,-90.34
2022-08-03,-19.37,-13.46,-91.12
2022-08-04,-18.58,-13.19,-84.2
2022-08-05,-18.1,-12.92,-85.39
2022-08-08,-17.66,-12.6,-85.7
2022-08-09,-17.72,-12.26,-103.85
2022-08-10,-17.78,-11.84,-112.85
2022-08-11,-18.06,-11.41,-119.57
2022-08-12,-18.08,-11.0,-139.12
2022-08-15,-18.0,-10.54,-143.7
2022-08-16,-17.56,-10.19,-153.71
2022-08-17,-17.6,-9.88,-145.21
2022-08-18,-17.52,-9.61,-151.9
2022-08-19,-17.87,-9.34,-140.08
2022-08-22,-18.68,-9.14,-127.92
2022-08-23,-19.47,-8.9,-127.61
2022-08-24,-19.92,-8.76,-119.24
2022-08-25,-20.73,-8.62,-163.75
2022-08-26,-21.81,-8.66,-135.77
2022-08-29,-22.8,-8.71,-140.96
2022-08-30,-23.76,-8.77,-129.07
2022-08-31,-25.18,-8.91,-129.4
2022-09-01,-26.24,-9.02,-139.39
2022-09-02,-26.79,-9.16,-127.46
2022-09-06,-27.15,-9.3,-128.68
2022-09-07,-27.37,-9.36,-149.82
2022-09-08,-27.06,-9.46,-147.4
2022-09-09,-26.25,-9.5,-154.65
2022-09-12,-25.19,-9.55,-166.83
2022-09-13,-24.69,-9.8,-110.82
2022-09-14,-24.11,-10.04,-108.12
2022-09-15,-24.34,-10.31,-112.19
2022-09-16,-25.34,-10.62,-112.88
2022-09-19,-26.48,-10.85,-118.81
2022-09-20,-27.23,-11.07,-113.52
2022-09-21,-28.37,-11.36,-99.27
2022-09-22,-28.79,-11.69,-83.14
2022-09-23,-29.2,-12.13,-76.95
2022-09-26,-29.8,-12.5,-71.04
2022-09-27,-29.88,-12.87,-62.4
2022-09-28,-29.64,-13.15,-70.57
2022-09-29,-29.94,-13.48,-63.37
2022-09-30,-30.24,-13.91,-60.28
2022-10-03,-29.94,-14.17,-68.42
2022-10-04,-29.16,-14.31,-71.46
2022-10-05,-28.44,-14.52,-68.33
2022-10-06,-27.49,-14.79,-61.32
2022-10-07,-26.74,-15.24,-54.35
2022-10-10,-26.95,-15.77,-61.0
2022-10-11,-28.18,-16.14,-64.09
2022-10-12,-29.48,-16.53,-62.74
2022-10-13,-30.41,-16.77,-73.4
2022-10-14,-31.17,-17.07,-64.92
2022-10-17,-31.02,-17.3,-70.56
2022-10-18,-29.98,-17.44,-62.06
2022-10-19,-28.9,-17.53,-56.18
2022-10-20,-27.76,-17.62,-40.01
2022-10-21,-26.06,-17.54,-49.26
2022-10-24,-24.78,-17.38,-57.89
2022-10-25,-23.67,-17.14,-57.57
2022-10-26,-23.08,-16.99,-68.71
2022-10-27,-22.86,-16.77,-63.97
2022-10-28,-22.59,-16.4,-77.26
2022-10-31,-22.41,-16.18,-70.88
2022-11-01,-22.81,-16.09,-76.31
2022-11-02,-23.61,-16.09,-81.73
2022-11-03,-24.74,-16.1,-82.65
2022-11-04,-26.79,-15.93,-117.64
2022-11-07,-28.35,-15.69,-113.61
2022-11-08,-29.52,-15.4,-112.16
2022-11-09,-30.26,-15.19,-103.99
2022-11-10,-29.32,-14.86,-126.09
2022-11-11,-27.63,-14.39,-138.08
2022-11-14,-26.3,-14.06,-118.35
2022-11-15,-24.88,-13.74,-117.87
2022-11-16,-23.65,-13.43,-135.28
2022-11-17,-24.28,-13.09,-153.58
2022-11-18,-25.2,-12.84,-170.54
2022-11-21,-26.51,-12.64,-176.76
2022-11-22,-27.73,-12.46,-188.28
2022-11-23,-28.0,-12.22,-189.99
2022-11-25,-27.65,-11.96,-183.74
2022-11-28,-27.1,-11.86,-144.38
2022-11-29,-26.45,-11.75,-149.72
2022-11-30,-25.4,-11.5,-182.56
2022-12-01,-25.76,-11.13,-263.14
2022-12-02,-26.46,-10.73,-271.61
2022-12-05,-28.19,-10.46,-262.47
2022-12-06,-29.78,-10.29,-222.76
2022-12-07,-32.46,-10.16,-229.94
2022-12-08,-34.05,-9.91,-253.57
2022-12-09,-35.31,-9.91,-228.69
2022-12-12,-35.39,-9.89,-260.87
2022-12-13,-35.16,-9.8,-273.55
2022-12-14,-34.75,-9.78,-256.74
2022-12-15,-34.73,-9.83,-207.96
2022-12-16,-35.01,-9.92,-191.27
2022-12-19,-35.4,-10.07,-172.77
2022-12-20,-36.09,-10.22,-169.17
2022-12-21,-36.52,-10.36,-189.17
2022-12-22,-36.64,-10.59,-167.72
2022-12-23,-36.53,-10.79,-176.35
2022-12-27,-36.37,-10.94,-165.24
2022-12-28,-36.37,-11.14,-153.57
2022-12-29,-36.15,-11.39,-167.13
2022-12-30,-35.82,-11.67,-162.36
2023-01-03,-35.14,-11.94,-148.27
2023-01-04,-34.12,-12.1,-141.67
2023-01-05,-33.2,-12.25,-136.85
2023-01-06,-32.27,-12.29,-157.92
2023-01-09,-30.69,-12.37,-129.07
2023-01-10,-29.45,-12.39,-140.25
2023-01-11,-28.92,-12.41,-178.87
2023-01-12,-27.62,-12.45,-164.62
2023-01-13,-26.73,-12.45,-174.6
2023-01-17,-26.59,-12.34,-176.21
2023-01-18,-26.79,-12.26,-153.55
2023-01-19,-26.64,-12.16,-135.95
2023-01-20,-26.48,-11.98,-149.55
2023-01-23,-25.85,-11.8,-154.03
2023-01-24,-25.22,-11.57,-156.64
2023-01-25,-24.16,-11.36,-150.39
2023-01-26,-22.32,-11.09,-125.31
2023-01-27,-21.01,-10.75,-136.41
2023-01-30,-20.14,-10.54,-105.26
2023-01-31,-18.85,-10.26,-118.54
2023-02-01,-17.24,-9.92,-122.55
2023-02-02,-16.23,-9.55,-150.48
2023-02-03,-15.52,-9.18,-139.61
2023-02-06,-15.02,-8.93,-135.36
2023-02-07,-14.66,-8.62,-159.76
2023-02-08,-14.88,-8.39,-136.72
2023-02-09,-15.03,-8.25,-92.0
2023-02-10,-15.39,-8.12,-136.26
2023-02-13,-15.22,-7.96,-142.56
2023-02-14,-15.32,-7.79,-148.47
2023-02-15,-15.2,-7.54,-151.51
2023-02-16,-15.65,-7.31,-131.52
2023-02-17,-15.78,-7.16,-141.42
2023-02-21,-16.52,-7.15,-117.56
2023-02-22,-17.04,-7.13,-107.36
2023-02-23,-17.58,-7.1,-112.47
2023-02-24,-18.05,-7.15,-103.08
2023-02-27,-18.21,-7.2,-104.63
2023-02-28,-18.05,-7.21,-95.41
2023-03-01,-17.62,-7.29,-71.75
2023-03-02,-15.57,-7.4,13.51
2023-03-03,-13.39,-7.51,-2.02
2023-03-06,-11.51,-7.56,-18.99
2023-03-07,-9.71,-7.66,-3.24
2023-03-08,-8.36,-7.8,-6.81
2023-03-09,-9.07,-7.97,-9.82
2023-03-10,-10.29,-8.17,-21.03
2023-03-13,-11.06,-8.39,-10.08
2023-03-14,-11.08,-8.58,9.8
2023-03-15,-11.06,-8.8,14.43
2023-03-16,-10.23,-8.95,23.73
2023-03-17,-9.12,-9.1,19.36
2023-03-20,-8.18,-9.21,14.52
2023-03-21,-7.62,-9.18,23.02
2023-03-22,-7.28,-9.22,23.85
2023-03-23,-7.26,-9.28,26.95
2023-03-24,-6.75,-9.28,39.21
2023-03-27,-6.17,-9.28,44.77
2023-03-28,-5.81,-9.28,51.31
2023-03-29,-4.82,-9.21,70.52
2023-03-30,-3.92,-9.15,68.08
2023-03-31,-2.97,-9.08,87.11
2023-04-03,-2.45,-8.99,57.73
2023-04-04,-1.96,-8.86,67.11
2023-04-05,-2.08,-8.75,53.65
2023-04-06,-2.46,-8.54,28.24
2023-04-10,-3.27,-8.27,18.12
2023-04-11,-4.01,-8.0,-3.77
2023-04-12,-4.68,-7.81,13.69
2023-04-13,-4.8,-7.53,29.34
2023-04-14,-4.6,-7.34,37.88
2023-04-17,-4.05,-7.08,58.2
2023-04-18,-3.12,-6.86,70.12
2023-04-19,-2.3,-6.7,73.71
2023-04-20,-1.97,-6.49,65.3
2023-04-21,-1.57,-6.28,76.98
2023-04-24,-1.75,-6.09,43.05
2023-04-25,-2.44,-5.96,23.95
2023-04-26,-3.08,-5.84,33.63
2023-04-27,-3.21,-5.71,52.67
2023-04-28,-3.24,-5.57,69.96
2023-05-01,-2.97,-5.49,64.52
2023-05-02,-2.68,-5.49,36.79
2023-05-03,-2.59,-5.49,33.39
2023-05-04,-2.93,-5.51,38.0
2023-05-05,-3.0,-5.47,66.99
2023-05-08,-2.99,-5.43,69.67
2023-05-09,-2.29,-5.42,100.55
2023-05-10,-1.11,-5.36,135.49
2023-05-11,-0.05,-5.37,121.8
2023-05-12,0.35,-5.38,106.36
2023-05-15,0.88,-5.39,121.23
2023-05-16,1.21,-5.43,129.56
2023-05-17,1.65,-5.42,188.38
2023-05-18,2.61,-5.33,263.01
2023-05-19,3.45,-5.26,218.68
2023-05-22,4.12,-5.18,219.25
2023-05-23,4.33,-5.1,155.83
2023-05-24,4.29,-5.04,170.24
2023-05-25,3.96,-5.01,191.28
2023-05-26,4.46,-4.96,301.15
2023-05-30,5.31,-4.9,351.88
2023-05-31,6.95,-4.83,375.25
2023-06-01,7.3,-4.67,288.63
2023-06-02,7.59,-4.42,456.25
2023-06-05,7.02,-4.25,331.84
2023-06-06,6.4,-4.07,453.46
2023-06-07,4.65,-3.9,210.99
2023-06-08,4.32,-3.71,400.0
2023-06-09,4.54,-3.5,683.76
2023-06-12,4.92,-3.25,2333.33
2023-06-13,4.54,-2.98,876.32
2023-06-14,4.9,-2.67,771.11
2023-06-15,5.13,-2.36,200.0
2023-06-16,4.78,-2.11,276.3
2023-06-20,5.1,-1.88,759.55
2023-06-21,5.16,-1.67,1045.71
2023-06-22,5.55,-1.4,722.54
2023-06-23,5.37,-1.12,10750.0
2023-06-26,4.94,-0.91,748.89
2023-06-27,4.13,-0.7,468.75
2023-06-28,4.39,-0.5,665.22
2023-06-29,4.11,-0.26,551.47
2023-06-30,4.22,-0.02,161.62
2023-07-03,4.62,0.16,146.5
2023-07-05,5.09,0.34,235.96
2023-07-06,4.87,0.46,331.96
2023-07-07,4.77,0.6,429.73
2023-07-10,4.9,0.71,443.56
2023-07-11,5.83,0.86,481.21
2023-07-12,7.15,0.99,415.57
2023-07-13,9.13,1.13,332.21
2023-07-14,11.07,1.27,327.04
2023-07-17,12.55,1.36,266.29
2023-07-18,13.19,1.51,195.82
2023-07-19,13.88,1.69,254.75
2023-07-20,13.67,1.87,237.05
2023-07-21,13.54,2.02,234.88
2023-07-24,13.31,2.24,173.95
2023-07-25,13.16,2.49,162.28
2023-07-26,12.29,2.69,156.33
2023-07-27,11.99,2.85,188.97
2023-07-28,11.75,3.06,142.77
2023-07-31,11.69,3.22,128.74
2023-08-01,11.47,3.35,133.26
2023-08-02,10.93,3.44,156.37
2023-08-03,9.96,3.56,101.51
2023-08-04,8.85,3.67,112.33
2023-08-07,7.94,3.8,90.36
2023-08-08,6.82,3.88,58.73
2023-08-09,5.65,3.9,11.58
2023-08-10,5.12,3.88,40.14
2023-08-11,4.73,3.87,49.12
2023-08-14,4.43,3.85,68.73
2023-08-15,4.25,3.76,77.46
2023-08-16,4.36,3.63,92.27
2023-08-17,4.08,3.5,91.37
2023-08-18,3.83,3.38,106.21
2023-08-21,3.63,3.26,132.63
2023-08-22,3.49,3.12,114.04
2023-08-23,3.64,3.01,83.13
2023-08-24,3.75,2.89,112.42
2023-08-25,4.07,2.75,131.98
2023-08-28,4.25,2.62,120.75
2023-08-29,4.6,2.55,59.47
2023-08-30,4.99,2.56,75.14
2023-08-31,6.04,2.57,138.27
2023-09-01,6.81,2.61,129.86
2023-09-05,7.24,2.6,122.99
2023-09-06,7.89,2.57,213.77
2023-09-07,8.42,2.55,263.86
2023-09-08,8.74,2.54,285.5
2023-09-11,9.13,2.56,217.79
2023-09-12,9.36,2.53,216.91
2023-09-13,9.08,2.55,155.63
2023-09-14,8.72,2.64,95.95
2023-09-15,7.75,2.69,114.69
2023-09-18,6.77,2.75,112.5
2023-09-19,6.2,2.77,144.92
2023-09-20,5.64,2.76,216.2
2023-09-21,4.67,2.63,1280.0
2023-09-22,3.88,2.53,397.73
2023-09-25,3.04,2.43,4333.33
2023-09-26,1.77,2.23,59.46
2023-09-27,0.77,1.99,67.12
2023-09-28,0.25,1.74,80.16
2023-09-29,-0.1,1.49,69.13
2023-10-02,-0.36,1.23,100.0
2023-10-03,-0.61,0.93,32.13
2023-10-04,-0.7,0.69,57.0
2023-10-05,-0.81,0.46,61.4
2023-10-06,-0.37,0.27,274.26
2023-10-09,-0.03,0.09,569.44
2023-10-10,0.65,-0.04,985.71
2023-10-11,1.13,-0.15,169.64
2023-10-12,1.48,-0.34,3233.33
2023-10-13,1.21,-0.49,174.55
2023-10-16,1.34,-0.59,395.74
2023-10-17,1.63,-0.68,516.67
2023-10-18,1.43,-0.8,161.18
2023-10-19,1.69,-0.87,232.14
2023-10-20,1.6,-0.99,99.31
2023-10-23,0.96,-1.15,71.9
2023-10-24,0.42,-1.19,109.4
2023-10-25,-0.34,-1.3,11.62
2023-10-26,-1.52,-1.48,24.85
2023-10-27,-2.22,-1.67,33.52
2023-10-30,-2.48,-1.81,47.36
2023-10-31,-2.81,-1.85,60.17
2023-11-01,-2.14,-1.87,102.81
2023-11-02,-1.0,-1.8,397.14
2023-11-03,0.06,-1.74,831.58
2023-11-06,0.85,-1.7,360.53
2023-11-07,1.91,-1.67,498.46
2023-11-08,2.64,-1.66,408.22
2023-11-09,2.82,-1.66,30100.0
2023-11-10,3.42,-1.56,212.5
2023-11-13,4.18,-1.51,290.85
2023-11-14,5.09,-1.37,152.1
2023-11-15,5.86,-1.15,111.76
2023-11-16,6.97,-0.88,130.46
2023-11-17,7.7,-0.54,118.65
2023-11-20,8.66,-0.16,123.33
2023-11-21,8.97,0.18,127.98
2023-11-22,9.4,0.6,101.87
2023-11-24,9.68,1.09,104.72
2023-11-27,10.03,1.59,116.84
2023-11-28,10.0,2.04,113.57
2023-11-29,10.51,2.45,164.19
2023-11-30,12.85,2.83,317.77
2023-12-01,15.71,3.15,332.03
2023-12-04,17.77,3.39,300.98
2023-12-05,19.85,3.63,305.91
2023-12-06,21.34,3.83,321.82
2023-12-07,21.02,4.07,266.67
2023-12-08,20.27,4.36,255.98
2023-12-11,20.38,4.59,243.79
2023-12-12,20.79,4.84,243.33
2023-12-13,21.4,5.07,190.15
2023-12-14,22.03,5.31,179.42
2023-12-15,22.84,5.52,204.84
2023-12-18,23.69,5.76,193.62
2023-12-19,24.28,5.99,179.37
2023-12-20,24.5,6.14,220.51
2023-12-21,25.24,6.32,219.14
2023-12-22,25.6,6.51,207.35
2023-12-26,25.79,6.72,194.07
2023-12-27,25.97,6.94,190.99
2023-12-28,26.37,7.15,185.95
2023-12-29,26.06,7.34,183.54
2024-01-02,25.22,7.47,171.2
2024-01-03,24.03,7.59,169.99
2024-01-04,22.74,7.7,177.46
2024-01-05,21.53,7.83,171.74
2024-01-08,21.42,8.0,177.74
2024-01-09,21.95,8.14,187.35
2024-01-10,23.06,8.3,180.8
2024-01-11,24.81,8.43,213.38
2024-01-12,26.61,8.5,214.41
2024-01-16,27.28,8.53,213.0
2024-01-17,28.09,8.55,242.4
2024-01-18,28.92,8.58,225.81
2024-01-19,29.69,8.64,215.47
2024-01-22,30.36,8.79,207.01
2024-01-23,30.95,8.91,184.86
2024-01-24,31.36,9.03,183.23
2024-01-25,31.72,9.15,178.57
2024-01-26,31.64,9.27,183.47
2024-01-29,32.3,9.42,195.85
2024-01-30,33.25,9.57,197.08
2024-01-31,33.62,9.69,213.21
2024-02-01,33.91,9.88,190.66
2024-02-02,34.29,10.14,174.78
2024-02-05,34.18,10.38,191.22
2024-02-06,33.89,10.55,176.68
2024-02-07,34.44,10.77,171.31
2024-02-08,35.13,10.97,180.2
2024-02-09,35.62,11.19,167.67
2024-02-12,35.55,11.41,155.96
2024-02-13,35.2,11.57,166.64
2024-02-14,35.21,11.81,170.66
2024-02-15,35.17,12.04,165.07
2024-02-16,35.02,12.18,169.05
2024-02-20,34.94,12.29,170.62
2024-02-21,35.13,12.39,160.09
2024-02-22,35.47,12.6,149.2
2024-02-23,35.54,12.77,146.23
2024-02-26,36.35,12.93,172.48
2024-02-27,37.36,13.07,166.51
2024-02-28,38.6,13.21,170.1
2024-02-29,39.76,13.44,185.98
2024-03-01,41.44,13.65,186.59
2024-03-04,42.37,13.82,183.61
2024-03-05,42.05,13.94,159.71
2024-03-06,42.12,14.08,163.63
2024-03-07,41.39,14.24,142.43
2024-03-08,40.44,14.36,160.57
2024-03-11,39.72,14.45,164.02
2024-03-12,40.38,14.6,149.33
2024-03-13,40.45,14.81,146.42
2024-03-14,40.51,14.96,145.91
2024-03-15,39.55,15.04,131.01
2024-03-18,39.07,15.18,139.33
2024-03-19,38.62,15.38,134.56
2024-03-20,38.75,15.6,135.73
2024-03-21,39.22,15.74,137.42
2024-03-22,40.41,15.85,141.57
2024-03-25,40.91,15.98,140.52
2024-03-26,41.3,16.07,143.44
2024-03-27,40.87,16.22,121.0
2024-03-28,40.22,16.34,120.62
2024-04-01,39.59,16.41,124.97
2024-04-02,39.26,16.45,138.86
2024-04-03,39.03,16.55,139.55
2024-04-04,38.24,16.56,127.96
2024-04-05,38.17,16.57,134.58
2024-04-08,38.13,16.61,133.52
2024-04-09,37.98,16.66,133.29
2024-04-10,37.52,16.61,141.03
2024-04-11,37.97,16.61,128.33
2024-04-12,37.28,16.54,136.28
2024-04-15,34.67,16.44,87.82
2024-04-16,32.42,16.3,106.11
2024-04-17,30.31,16.1,112.94
2024-04-18,27.85,15.85,100.89
2024-04-19,25.68,15.54,110.74
2024-04-22,25.76,15.29,107.51
2024-04-23,25.69,15.13,96.01
2024-04-24,25.68,14.97,95.54
2024-04-25,25.79,14.76,91.84
2024-04-26,26.15,14.6,80.68
2024-04-29,26.32,14.48,80.38
2024-04-30,25.62,14.3,81.45
2024-05-01,24.86,14.09,85.84
2024-05-02,24.69,13.99,83.11
2024-05-03,24.54,13.91,70.78
2024-05-06,24.44,13.88,64.17
2024-05-07,25.1,13.86,66.9
2024-05-08,26.02,13.89,71.78
2024-05-09,26.29,13.91,54.85
2024-05-10,26.56,14.01,57.51
2024-05-13,26.73,14.18,59.76
2024-05-14,26.7,14.39,52.82
2024-05-15,27.47,14.7,67.25
2024-05-16,28.34,15.01,62.38
2024-05-17,29.15,15.37,63.06
2024-05-20,30.01,15.7,65.61
2024-05-21,30.64,15.97,55.03
2024-05-22,30.31,16.23,58.07
2024-05-23,29.75,16.46,52.48
2024-05-24,28.55,16.69,30.86
2024-05-28,26.98,16.89,24.23
2024-05-29,25.88,17.15,34.44
2024-05-30,19.91,17.39,-100.41
2024-05-31,15.91,17.64,-59.58
2024-06-03,12.64,17.8,-54.48
2024-06-04,9.44,17.92,-59.17
2024-06-05,6.23,18.1,-58.21
2024-06-06,8.45,18.27,-43.82
2024-06-07,9.09,18.41,-45.5
2024-06-10,9.56,18.56,-46.59
2024-06-11,10.11,18.72,-49.2
2024-06-12,10.04,18.9,-62.73
2024-06-13,8.8,19.03,-77.49
2024-06-14,7.9,19.17,-71.47
2024-06-17,6.88,19.34,-75.63
2024-06-18,6.05,19.53,-73.28
2024-06-20,6.59,19.69,-52.53
2024-06-21,8.05,19.85,-45.24
2024-06-24,8.78,20.04,-55.16
2024-06-25,9.8,20.2,-52.26
2024-06-26,10.83,20.37,-49.69
2024-06-27,11.84,20.59,-30.37
2024-06-28,12.93,20.81,-19.02
2024-07-01,14.36,20.98,-21.73
2024-07-02,15.61,21.18,-23.93
2024-07-03,17.17,21.4,-15.85
2024-07-05,18.05,21.58,-13.6
2024-07-08,18.02,21.76,-25.25
2024-07-09,17.68,21.96,-35.16
2024-07-10,17.35,22.18,-37.38
2024-07-11,16.46,22.35,-37.95
2024-07-12,15.62,22.5,-34.14
