Date,rate_SPY_5D,rate_VOO_20D,Max_Divergence
2022-07-06,-16.49,-16.08,0.32
2022-07-07,-16.04,-16.34,0.55
2022-07-08,-15.46,-16.56,0.41
2022-07-11,-15.33,-16.72,0.32
2022-07-12,-15.38,-16.79,0.49
2022-07-13,-15.57,-16.72,0.12
2022-07-14,-16.05,-16.66,0.24
2022-07-15,-16.2,-16.57,0.39
2022-07-18,-16.3,-16.39,0.37
2022-07-19,-15.81,-16.1,0.43
2022-07-20,-15.13,-15.89,0.52
2022-07-21,-14.23,-15.62,0.64
2022-07-22,-13.8,-15.43,0.45
2022-07-25,-13.22,-15.37,0.6
2022-07-26,-13.28,-15.34,0.63
2022-07-27,-13.01,-15.11,0.66
2022-07-28,-12.7,-14.82,0.73
2022-07-29,-11.97,-14.42,0.82
2022-08-01,-11.27,-14.1,0.82
2022-08-02,-10.45,-13.8,0.79
2022-08-03,-9.86,-13.46,0.66
2022-08-04,-9.5,-13.19,0.87
2022-08-05,-9.42,-12.92,1.07
2022-08-08,-9.35,-12.6,0.85
2022-08-09,-9.24,-12.26,0.94
2022-08-10,-9.08,-11.84,0.96
2022-08-11,-8.91,-11.41,0.96
2022-08-12,-8.5,-11.0,0.83
2022-08-15,-8.03,-10.54,0.57
2022-08-16,-7.49,-10.19,0.73
2022-08-17,-7.29,-9.88,0.55
2022-08-18,-7.06,-9.61,0.42
2022-08-19,-7.2,-9.34,0.75
2022-08-22,-7.64,-9.14,0.97
2022-08-23,-8.14,-8.9,0.96
2022-08-24,-8.5,-8.76,1.09
2022-08-25,-8.74,-8.62,0.72
2022-08-26,-9.22,-8.66,0.96
2022-08-29,-9.53,-8.71,1.02
2022-08-30,-9.93,-8.77,0.88
2022-08-31,-10.46,-8.91,1.01
2022-09-01,-11.07,-9.02,1.05
2022-09-02,-11.38,-9.16,1.0
2022-09-06,-11.66,-9.3,0.82
2022-09-07,-11.55,-9.36,0.83
2022-09-08,-11.26,-9.46,0.87
2022-09-09,-10.81,-9.5,0.99
2022-09-12,-10.08,-9.55,0.73
2022-09-13,-10.05,-9.8,0.75
2022-09-14,-10.2,-10.04,0.85
2022-09-15,-10.65,-10.31,0.71
2022-09-16,-11.55,-10.62,-1.66
2022-09-19,-12.49,-10.85,-1.74
2022-09-20,-12.87,-11.07,-1.69
2022-09-21,-13.61,-11.36,-1.39
2022-09-22,-14.29,-11.69,-1.2
2022-09-23,-15.06,-12.13,-1.11
2022-09-26,-16.11,-12.5,-1.12
2022-09-27,-17.01,-12.87,-0.99
2022-09-28,-17.3,-13.15,1.0
2022-09-29,-17.79,-13.48,0.91
2022-09-30,-18.26,-13.91,0.81
2022-10-03,-18.07,-14.17,0.87
2022-10-04,-17.35,-14.31,1.28
2022-10-05,-16.98,-14.52,0.93
2022-10-06,-16.44,-14.79,1.01
2022-10-07,-16.1,-15.24,0.99
2022-10-10,-16.39,-15.77,0.91
2022-10-11,-17.27,-16.14,0.98
2022-10-12,-18.16,-16.53,0.87
2022-10-13,-18.47,-16.77,1.09
2022-10-14,-18.7,-17.07,0.88
2022-10-17,-18.4,-17.3,1.1
2022-10-18,-17.81,-17.44,1.16
2022-10-19,-17.28,-17.53,1.06
2022-10-20,-17.31,-17.62,0.85
2022-10-21,-16.57,-17.54,1.09
2022-10-24,-16.04,-17.38,1.3
2022-10-25,-15.43,-17.14,1.21
2022-10-26,-14.84,-16.99,1.08
2022-10-27,-14.19,-16.77,1.05
2022-10-28,-13.54,-16.4,1.61
2022-10-31,-13.22,-16.18,1.23
2022-11-01,-13.17,-16.09,0.92
2022-11-02,-13.41,-16.09,1.06
2022-11-03,-13.73,-16.1,1.19
2022-11-04,-14.21,-15.93,1.08
2022-11-07,-14.42,-15.69,1.21
2022-11-08,-14.53,-15.4,1.18
2022-11-09,-14.56,-15.19,0.98
2022-11-10,-13.54,-14.86,1.57
2022-11-11,-12.57,-14.39,1.8
2022-11-14,-11.91,-14.06,1.22
2022-11-15,-11.18,-13.74,1.61
2022-11-16,-10.25,-13.43,1.51
2022-11-17,-10.27,-13.09,1.29
2022-11-18,-10.38,-12.84,1.43
2022-11-21,-10.4,-12.64,1.3
2022-11-22,-10.34,-12.46,1.56
2022-11-23,-10.03,-12.22,1.76
2022-11-25,-9.67,-11.96,1.65
2022-11-28,-9.68,-11.86,1.24
2022-11-29,-9.65,-11.75,1.31
2022-11-30,-9.31,-11.5,2.63
2022-12-01,-9.05,-11.13,1.55
2022-12-02,-8.81,-10.73,1.9
2022-12-05,-8.6,-10.46,1.37
2022-12-06,-8.61,-10.29,1.21
2022-12-07,-9.21,-10.16,1.38
2022-12-08,-9.69,-9.91,1.47
2022-12-09,-10.29,-9.91,1.2
2022-12-12,-10.31,-9.89,1.46
2022-12-13,-9.96,-9.8,1.79
2022-12-14,-9.68,-9.78,1.37
2022-12-15,-9.98,-9.83,1.2
2022-12-16,-10.43,-9.92,-1.97
2022-12-19,-11.27,-10.07,-1.79
2022-12-20,-12.22,-10.22,1.09
2022-12-21,-12.81,-10.36,1.28
2022-12-22,-13.21,-10.59,0.95
2022-12-23,-13.22,-10.79,1.14
2022-12-27,-13.16,-10.94,1.11
2022-12-28,-13.33,-11.14,0.89
2022-12-29,-13.46,-11.39,1.22
2022-12-30,-13.38,-11.67,1.28
2023-01-03,-13.41,-11.94,0.98
2023-01-04,-13.24,-12.1,1.42
2023-01-05,-13.06,-12.25,0.95
2023-01-06,-12.79,-12.29,1.36
2023-01-09,-12.49,-12.37,1.53
2023-01-10,-12.06,-12.39,1.43
2023-01-11,-11.53,-12.41,1.69
2023-01-12,-10.74,-12.45,1.64
2023-01-13,-10.28,-12.45,1.7
2023-01-17,-9.84,-12.34,1.36
2023-01-18,-9.79,-12.26,1.55
2023-01-19,-10.1,-12.16,1.29
2023-01-20,-10.15,-11.98,1.8
2023-01-23,-10.05,-11.8,1.9
2023-01-24,-9.95,-11.57,1.88
2023-01-25,-9.55,-11.36,2.0
2023-01-26,-8.83,-11.09,2.61
2023-01-27,-8.39,-10.75,2.05
2023-01-30,-8.39,-10.54,1.68
2023-01-31,-8.11,-10.26,2.61
2023-02-01,-7.62,-9.92,2.61
2023-02-02,-7.06,-9.55,3.81
2023-02-03,-6.73,-9.18,3.22
2023-02-06,-6.29,-8.93,2.53
2023-02-07,-5.9,-8.62,3.31
2023-02-08,-5.92,-8.39,2.73
2023-02-09,-6.32,-8.25,2.34
2023-02-10,-6.5,-8.12,2.27
2023-02-13,-6.39,-7.96,2.91
2023-02-14,-6.49,-7.79,2.74
2023-02-15,-6.36,-7.54,3.36
2023-02-16,-6.33,-7.31,0.57
2023-02-17,-6.38,-7.16,0.28
2023-02-21,-6.94,-7.15,-2.67
2023-02-22,-7.52,-7.13,-2.88
2023-02-23,-8.07,-7.1,-2.04
2023-02-24,-8.56,-7.15,-3.19
2023-02-27,-8.96,-7.2,-2.94
2023-02-28,-9.08,-7.21,-2.95
2023-03-01,-9.2,-7.29,-3.25
2023-03-02,-9.27,-7.4,-2.66
2023-03-03,-8.9,-7.51,-1.89
2023-03-06,-8.58,-7.56,-2.32
2023-03-07,-8.46,-7.66,-2.31
2023-03-08,-8.3,-7.8,-2.11
2023-03-09,-8.58,-7.97,-2.38
2023-03-10,-9.38,-8.17,-2.48
2023-03-13,-10.22,-8.39,-2.28
2023-03-14,-10.5,-8.58,-2.6
2023-03-15,-10.92,-8.8,-2.56
2023-03-16,-10.71,-8.95,-2.54
2023-03-17,-10.53,-9.1,-6.29
2023-03-20,-10.16,-9.21,-6.28
2023-03-21,-9.84,-9.18,-7.05
2023-03-22,-9.72,-9.22,-6.49
2023-03-23,-9.85,-9.28,-6.31
2023-03-24,-9.59,-9.28,-2.52
2023-03-27,-9.47,-9.28,-2.45
2023-03-28,-9.62,-9.28,-2.84
2023-03-29,-9.2,-9.21,-3.05
2023-03-30,-8.73,-9.15,-3.41
2023-03-31,-8.12,-9.08,-4.13
2023-04-03,-7.44,-8.99,-4.68
2023-04-04,-6.83,-8.86,-4.11
2023-04-05,-6.52,-8.75,-4.29
2023-04-06,-6.25,-8.54,-4.37
2023-04-10,-6.21,-8.27,-4.62
2023-04-11,-6.26,-8.0,-4.28
2023-04-12,-6.29,-7.81,-4.19
2023-04-13,-6.03,-7.53,-4.79
2023-04-14,-5.88,-7.34,-5.38
2023-04-17,-5.69,-7.08,-5.33
2023-04-18,-5.48,-6.86,-5.39
2023-04-19,-5.21,-6.7,-5.59
2023-04-20,-5.28,-6.49,-4.66
2023-04-21,-5.29,-6.28,-4.34
2023-04-24,-5.35,-6.09,-5.02
2023-04-25,-5.67,-5.96,-4.04
2023-04-26,-6.06,-5.84,-3.54
2023-04-27,-6.03,-5.71,-4.58
2023-04-28,-5.89,-5.57,-5.48
2023-05-01,-5.76,-5.49,-5.99
2023-05-02,-5.57,-5.49,-4.74
2023-05-03,-5.43,-5.49,-4.11
2023-05-04,-5.72,-5.51,-3.28
2023-05-05,-5.83,-5.47,-4.47
2023-05-08,-5.95,-5.43,-4.7
2023-05-09,-5.95,-5.42,-4.55
2023-05-10,-5.75,-5.36,-4.51
2023-05-11,-5.46,-5.37,-4.97
2023-05-12,-5.51,-5.38,-4.86
2023-05-15,-5.5,-5.39,-5.16
2023-05-16,-5.53,-5.43,-4.6
2023-05-17,-5.42,-5.42,-5.26
2023-05-18,-5.11,-5.33,-7.12
2023-05-19,-4.79,-5.26,-6.32
2023-05-22,-4.53,-5.18,-6.95
2023-05-23,-4.36,-5.1,-5.63
2023-05-24,-4.55,-5.04,-4.36
2023-05-25,-4.76,-5.01,-5.11
2023-05-26,-4.7,-4.96,-7.18
2023-05-30,-4.64,-4.9,-6.96
2023-05-31,-4.47,-4.83,-6.57
2023-06-01,-3.97,-4.67,-8.7
2023-06-02,-3.35,-4.42,-17.5
2023-06-05,-3.02,-4.25,-15.64
2023-06-06,-2.66,-4.07,-16.98
2023-06-07,-2.25,-3.9,-14.66
2023-06-08,-1.92,-3.71,-21.05
2023-06-09,-1.83,-3.5,-23.08
2023-06-12,-1.53,-3.25,-107.41
2023-06-13,-1.14,-2.98,-78.95
2023-06-14,-0.67,-2.67,-55.56
2023-06-15,-0.06,-2.36,-18.02
2023-06-16,0.37,-2.11,-47.41
2023-06-20,0.52,-1.88,-77.53
2023-06-21,0.44,-1.67,-188.57
2023-06-22,0.41,-1.4,-92.96
2023-06-23,-0.01,-1.12,-1625.0
2023-06-26,-0.37,-0.91,-142.22
2023-06-27,-0.41,-0.7,-104.69
2023-06-28,-0.35,-0.5,-97.1
2023-06-29,-0.28,-0.26,-41.18
2023-06-30,0.17,-0.02,-15.68
2023-07-03,0.72,0.16,-18.0
2023-07-05,1.02,0.34,-15.73
2023-07-06,1.17,0.46,-24.74
2023-07-07,1.18,0.6,-35.14
2023-07-10,1.02,0.71,-27.72
2023-07-11,0.96,0.86,-17.58
2023-07-12,1.09,0.99,-11.48
2023-07-13,1.54,1.13,-9.51
2023-07-14,2.02,1.27,-9.12
2023-07-17,2.52,1.36,-8.22
2023-07-18,3.05,1.51,-7.19
2023-07-19,3.46,1.69,-6.84
2023-07-20,3.58,1.87,-8.29
2023-07-21,3.71,2.02,-8.53
2023-07-24,3.86,2.24,-6.98
2023-07-25,3.91,2.49,-7.02
2023-07-26,3.91,2.69,-7.21
2023-07-27,3.94,2.85,-8.02
2023-07-28,4.14,3.06,-6.61
2023-07-31,4.27,3.22,-6.39
2023-08-01,4.3,3.35,-6.44
2023-08-02,4.1,3.44,-7.93
2023-08-03,3.97,3.56,-8.76
2023-08-04,3.6,3.67,-8.9
2023-08-07,3.33,3.8,-7.71
2023-08-08,3.06,3.88,-8.43
2023-08-09,2.93,3.9,-10.18
2023-08-10,2.84,3.88,-10.38
2023-08-11,2.82,3.87,-9.89
2023-08-14,2.74,3.85,-8.98
2023-08-15,2.56,3.76,-12.3
2023-08-16,2.37,3.63,-14.95
2023-08-17,2.08,3.5,-17.99
2023-08-18,1.81,3.38,-19.31
2023-08-21,1.54,3.26,-15.79
2023-08-22,1.4,3.12,-16.96
2023-08-23,1.5,3.01,-11.11
2023-08-24,1.52,2.89,-19.61
2023-08-25,1.62,2.75,-13.71
2023-08-28,1.73,2.62,-12.03
2023-08-29,2.06,2.55,-8.58
2023-08-30,2.3,2.56,-7.92
2023-08-31,2.71,2.57,-8.66
2023-09-01,3.04,2.61,-8.77
2023-09-05,3.22,2.6,-9.25
2023-09-06,3.1,2.57,-10.14
2023-09-07,2.86,2.55,-12.05
2023-09-08,2.68,2.54,-10.69
2023-09-11,2.61,2.56,-8.59
2023-09-12,2.48,2.53,-10.66
2023-09-13,2.5,2.55,-10.56
2023-09-14,2.74,2.64,-8.11
2023-09-15,2.64,2.69,-24.49
2023-09-18,2.42,2.75,-25.78
2023-09-19,2.28,2.77,-27.97
2023-09-20,1.93,2.76,-45.07
2023-09-21,1.08,2.63,-320.0
2023-09-22,0.5,2.53,-140.91
2023-09-25,-0.02,2.43,-2100.0
2023-09-26,-0.78,2.23,-41.89
2023-09-27,-1.34,1.99,-41.1
2023-09-28,-1.48,1.74,-19.05
2023-09-29,-1.61,1.49,-16.11
2023-10-02,-1.83,1.23,-18.37
2023-10-03,-2.01,0.93,-9.39
2023-10-04,-2.07,0.69,-13.04
2023-10-05,-2.24,0.46,-10.23
2023-10-06,-2.14,0.27,-22.77
2023-10-09,-1.92,0.09,-72.22
2023-10-10,-1.34,-0.04,-178.57
2023-10-11,-0.81,-0.15,-48.21
2023-10-12,-0.4,-0.34,-933.33
2023-10-13,-0.31,-0.49,-43.64
2023-10-16,-0.14,-0.59,-51.06
2023-10-17,-0.07,-0.68,-54.17
2023-10-18,-0.35,-0.8,-28.24
2023-10-19,-0.67,-0.87,-15.48
2023-10-20,-1.14,-0.99,-7.96
2023-10-23,-1.84,-1.15,-7.19
2023-10-24,-2.4,-1.19,-9.83
2023-10-25,-2.97,-1.3,-6.49
2023-10-26,-3.59,-1.48,-3.9
2023-10-27,-4.07,-1.67,-3.79
2023-10-30,-4.29,-1.81,-5.29
2023-10-31,-4.53,-1.85,-5.57
2023-11-01,-4.29,-1.87,-9.64
2023-11-02,-3.46,-1.8,-34.29
2023-11-03,-2.38,-1.74,-136.84
2023-11-06,-1.48,-1.7,-60.53
2023-11-07,-0.63,-1.67,-35.38
2023-11-08,0.01,-1.66,-32.88
2023-11-09,0.14,-1.66,-2600.0
2023-11-10,0.41,-1.56,-17.76
2023-11-13,0.61,-1.51,-19.01
2023-11-14,1.14,-1.37,-7.78
2023-11-15,1.7,-1.15,-7.56
2023-11-16,2.44,-0.88,-7.82
2023-11-17,2.9,-0.54,-8.03
2023-11-20,3.54,-0.16,-6.48
2023-11-21,3.74,0.18,-5.73
2023-11-22,3.98,0.6,-6.44
2023-11-24,4.21,1.09,-6.16
2023-11-27,4.38,1.59,-6.61
2023-11-28,4.41,2.04,-6.47
2023-11-29,4.47,2.45,-6.57
2023-11-30,4.53,2.83,-6.05
2023-12-01,4.68,3.15,-5.34
2023-12-04,4.76,3.39,-6.26
2023-12-05,4.82,3.63,-6.1
2023-12-06,4.82,3.83,-6.36
2023-12-07,4.88,4.07,-5.93
2023-12-08,4.9,4.36,-5.37
2023-12-11,5.11,4.59,-5.23
2023-12-12,5.4,4.84,-5.45
2023-12-13,6.03,5.07,-4.42
2023-12-14,6.59,5.31,-3.9
2023-12-15,6.97,5.52,-9.06
2023-12-18,7.38,5.76,-8.58
2023-12-19,7.82,5.99,-8.08
2023-12-20,7.74,6.14,-4.26
2023-12-21,7.77,6.32,-4.07
2023-12-22,7.94,6.51,-4.43
2023-12-26,8.08,6.72,-4.14
2023-12-27,8.14,6.94,-4.07
2023-12-28,8.45,7.15,-3.84
2023-12-29,8.55,7.34,-4.17
2024-01-02,8.48,7.47,-3.68
2024-01-03,8.21,7.59,-4.65
2024-01-04,7.83,7.7,-4.98
2024-01-05,7.48,7.83,-4.76
2024-01-08,7.48,8.0,-4.18
2024-01-09,7.58,8.14,-3.25
2024-01-10,7.91,8.3,-4.01
2024-01-11,8.3,8.43,-4.13
2024-01-12,8.67,8.5,-3.9
2024-01-16,8.68,8.53,-4.26
2024-01-17,8.62,8.55,-4.51
2024-01-18,8.62,8.58,-4.12
2024-01-19,8.85,8.64,-3.58
2024-01-22,9.11,8.79,-3.7
2024-01-23,9.49,8.91,-3.69
2024-01-24,9.99,9.03,-3.48
2024-01-25,10.42,9.15,-3.5
2024-01-26,10.61,9.27,-4.05
2024-01-29,10.91,9.42,-3.48
2024-01-30,11.14,9.57,-3.5
2024-01-31,11.04,9.69,-3.83
2024-02-01,11.04,9.88,-3.58
2024-02-02,11.26,10.14,-3.22
2024-02-05,11.27,10.38,-3.31
2024-02-06,11.34,10.55,-3.4
2024-02-07,11.86,10.77,-3.14
2024-02-08,12.19,10.97,-3.27
2024-02-09,12.43,11.19,-3.23
2024-02-12,12.73,11.41,-3.16
2024-02-13,12.7,11.57,-3.2
2024-02-14,12.71,11.81,-3.35
2024-02-15,12.84,12.04,-3.12
2024-02-16,12.77,12.18,-3.09
2024-02-20,12.6,12.29,-3.22
2024-02-21,12.73,12.39,-3.27
2024-02-22,13.09,12.6,-3.15
2024-02-23,13.32,12.77,-3.0
2024-02-26,13.58,12.93,-3.01
2024-02-27,13.99,13.07,-2.97
2024-02-28,14.36,13.21,-2.87
2024-02-29,14.38,13.44,-2.92
2024-03-01,14.55,13.65,-2.91
2024-03-04,14.76,13.82,-2.87
2024-03-05,14.71,13.94,-3.02
2024-03-06,14.8,14.08,-3.1
2024-03-07,15.03,14.24,-2.89
2024-03-08,14.98,14.36,-2.95
2024-03-11,14.94,14.45,-3.04
2024-03-12,15.32,14.6,-2.79
2024-03-13,15.56,14.81,-2.81
2024-03-14,15.55,14.96,-2.73
2024-03-15,15.48,15.04,-4.78
2024-03-18,15.54,15.18,-4.73
2024-03-19,15.51,15.38,-4.16
2024-03-20,15.7,15.6,-2.93
2024-03-21,16.01,15.74,-2.66
2024-03-22,16.46,15.85,-1.45
2024-03-25,16.75,15.98,-1.76
2024-03-26,16.88,16.07,-1.37
2024-03-27,16.97,16.22,-1.25
2024-03-28,17.0,16.34,-1.31
2024-04-01,16.97,16.41,-1.58
2024-04-02,16.86,16.45,-1.64
2024-04-03,16.81,16.55,-1.45
2024-04-04,16.35,16.56,-1.7
2024-04-05,16.11,16.57,-1.53
2024-04-08,15.97,16.61,-1.4
2024-04-09,16.0,16.66,-1.45
2024-04-10,15.77,16.61,-1.87
2024-04-11,15.97,16.61,-1.48
2024-04-12,15.65,16.54,-1.89
2024-04-15,15.05,16.44,-2.15
2024-04-16,14.38,16.3,-2.19
2024-04-17,13.8,16.1,-2.14
2024-04-18,13.02,15.85,-2.1
2024-04-19,12.35,15.54,-2.53
2024-04-22,12.14,15.29,-1.86
2024-04-23,12.24,15.13,-2.32
2024-04-24,12.45,14.97,-2.12
2024-04-25,12.63,14.76,-1.97
2024-04-26,13.2,14.6,-2.23
2024-04-29,13.65,14.48,-2.1
2024-04-30,13.49,14.3,-2.47
2024-05-01,13.22,14.09,-2.43
2024-05-02,13.24,13.99,-2.24
2024-05-03,13.32,13.91,-2.1
2024-05-06,13.56,13.88,-1.83
2024-05-07,14.18,13.86,-2.0
2024-05-08,14.91,13.89,-1.99
2024-05-09,15.57,13.91,-1.92
2024-05-10,15.99,14.01,-1.9
2024-05-13,16.18,14.18,-1.78
2024-05-14,16.45,14.39,-1.9
2024-05-15,17.01,14.7,-1.65
2024-05-16,17.38,15.01,-1.72
2024-05-17,17.76,15.37,-1.76
2024-05-20,18.16,15.7,-1.64
2024-05-21,18.52,15.97,-1.77
2024-05-22,18.52,16.23,-1.75
2024-05-23,18.4,16.46,-1.73
2024-05-24,18.4,16.69,-1.76
2024-05-28,18.39,16.89,-1.86
2024-05-29,18.16,17.15,-1.89
2024-05-30,17.84,17.39,-1.91
2024-05-31,17.9,17.64,-1.59
2024-06-03,17.77,17.8,-1.77
2024-06-04,17.65,17.92,-1.81
2024-06-05,17.96,18.1,-1.68
2024-06-06,18.43,18.27,-1.63
2024-06-07,18.66,18.41,-1.6
2024-06-10,19.0,18.56,-1.67
2024-06-11,19.38,18.72,-1.54
2024-06-12,19.67,18.9,-1.57
2024-06-13,20.01,19.03,-1.46
2024-06-14,20.4,19.17,-1.59
2024-06-17,20.9,19.34,-1.48
2024-06-18,21.4,19.53,-1.55
2024-06-20,21.65,19.69,-1.57
2024-06-21,21.74,19.85,-2.81
2024-06-24,21.74,20.04,-3.18
2024-06-25,21.62,20.2,-3.25
2024-06-26,21.48,20.37,-3.19
2024-06-27,21.43,20.59,-3.17
2024-06-28,21.4,20.81,-1.62
2024-07-01,21.43,20.98,-1.72
2024-07-02,21.51,21.18,-1.53
2024-07-03,21.65,21.4,-1.55
2024-07-05,21.86,21.58,-1.6
2024-07-08,22.18,21.76,-1.51
2024-07-09,22.54,21.96,-1.54
2024-07-10,22.97,22.18,-1.4
2024-07-11,23.15,22.35,-1.45
2024-07-12,23.33,22.5,-1.37
