Date,rate_COIN,rate_COIN_5D,rate_COIN_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-02-14,-13.6,-10.157999999999998,-13.440000000000001,-5.53,-3.8340000000000005,-4.247
2022-02-15,-7.76,-10.108,-13.5255,-4.08,-4.0200000000000005,-4.316
2022-02-16,-8.18,-10.620000000000001,-13.5935,-3.98,-4.454,-4.3425
2022-02-17,-15.02,-11.691999999999998,-14.036000000000001,-5.93,-4.952,-4.427
2022-02-18,-16.2,-12.152,-14.0835,-6.5,-5.204,-4.4704999999999995
2022-02-22,-21.49,-13.729999999999999,-14.388,-7.48,-5.593999999999999,-4.5775
2022-02-23,-23.2,-16.818,-14.669,-9.06,-6.590000000000001,-4.714
2022-02-24,-20.29,-19.240000000000002,-14.674000000000001,-7.73,-7.340000000000001,-4.775
2022-02-25,-21.46,-20.528,-14.579999999999998,-5.81,-7.316,-4.720000000000001
2022-02-28,-15.51,-20.39,-14.3265,-6.04,-7.224000000000001,-4.774
2022-03-01,-12.76,-18.644,-14.169999999999998,-7.18,-7.164,-4.96
2022-03-02,-13.47,-16.698,-14.222999999999999,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-20.41,-16.722,-14.419,-6.03,-6.128,-5.3025
2022-03-04,-25.59,-17.548,-14.754499999999998,-6.74,-6.314,-5.439500000000001
2022-03-07,-27.53,-19.951999999999998,-15.4455,-9.33,-6.9719999999999995,-5.726
2022-03-08,-27.16,-22.832,-16.341,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-19.8,-24.098000000000003,-16.930500000000002,-7.69,-7.954000000000001,-6.258
2022-03-10,-22.4,-24.496000000000002,-17.7695,-8.09,-8.366,-6.572
2022-03-11,-27.99,-24.976,-18.686,-9.21,-8.86,-6.8605
2022-03-14,-30.98,-25.666000000000004,-19.54,-9.84,-8.962,-7.0905000000000005
2022-03-15,-29.74,-26.182,-20.346999999999998,-7.92,-8.55,-7.210000000000001
2022-03-16,-22.44,-26.709999999999997,-21.081,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-20.37,-26.304000000000002,-21.690499999999997,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-16.53,-24.012,-21.766,-3.77,-6.45,-7.235000000000001
2022-03-21,-20.55,-21.926000000000002,-21.9835,-3.77,-5.236,-7.0985
2022-03-22,-16.43,-19.264000000000003,-21.7305,-2.68,-4.188,-6.858499999999999
2022-03-23,-17.75,-18.326,-21.458000000000002,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-14.6,-17.172,-21.173499999999997,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-16.15,-17.096,-20.908,-2.35,-3.106,-6.182499999999999
2022-03-28,-9.6,-14.905999999999997,-20.6125,-1.69,-2.69,-5.965000000000001
2022-03-29,-8.21,-13.262,-20.385,-0.48,-2.25,-5.63
2022-03-30,-11.7,-12.052,-20.2965,-1.09,-1.688,-5.4055
2022-03-31,-14.74,-12.08,-20.012999999999998,-2.57,-1.636,-5.2325
2022-04-01,-15.56,-11.962,-19.5115,-2.24,-1.614,-5.0075
2022-04-04,-13.54,-12.75,-18.812,-1.45,-1.566,-4.6135
2022-04-05,-19.9,-15.088,-18.449,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-24.45,-17.637999999999998,-18.6815,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-24.73,-19.636,-18.798000000000002,-3.1,-2.596,-3.79
2022-04-08,-27.04,-21.932,-18.7505,-3.33,-2.814,-3.496
2022-04-11,-30.15,-25.253999999999998,-18.708999999999996,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-31.93,-27.660000000000004,-18.818499999999997,-5.28,-4.044,-3.119
2022-04-13,-29.74,-28.718,-19.1835,-4.23,-4.176,-3.0345
2022-04-14,-33.07,-30.386000000000003,-19.818499999999997,-5.37,-4.630000000000001,-3.063
2022-04-18,-34.01,-31.78,-20.6925,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-31.28,-32.006,-21.229,-3.88,-4.822000000000001,-3.1475
2022-04-20,-33.13,-32.245999999999995,-22.064,-3.95,-4.556,-3.211
2022-04-21,-37.52,-33.80200000000001,-23.0525,-5.34,-4.7780000000000005,-3.283
2022-04-22,-40.11,-35.209999999999994,-24.328,-7.86,-5.276,-3.5345
2022-04-25,-38.5,-36.108,-25.4455,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-42.1,-38.272000000000006,-27.0705,-9.95,-6.894,-4.1985
2022-04-27,-44.18,-40.482,-28.869,-9.73,-8.05,-4.661
2022-04-28,-44.11,-41.8,-30.489500000000003,-7.52,-8.485999999999999,-4.9825
2022-04-29,-48.62,-43.501999999999995,-32.1835,-10.83,-9.08,-5.3955
2022-05-02,-43.44,-44.489999999999995,-33.5775,-9.99,-9.604,-5.7829999999999995
2022-05-03,-42.45,-44.559999999999995,-35.023,-9.62,-9.538,-6.1915
2022-05-04,-39.48,-43.62,-36.002,-6.99,-8.99,-6.410000000000001
2022-05-05,-46.63,-44.124,-37.111000000000004,-10.13,-9.512,-6.7379999999999995
2022-05-06,-51.35,-44.67,-38.44199999999999,-10.67,-9.48,-7.1165
2022-05-09,-60.45,-48.072,-40.1125,-13.43,-10.168,-7.6215
2022-05-10,-65.29,-52.64000000000001,-41.8695,-13.22,-10.888,-8.0355
2022-05-11,-74.17,-59.57800000000001,-43.9815,-14.58,-12.406,-8.500499999999999
2022-05-12,-71.96,-64.644,-46.092499999999994,-14.64,-13.308000000000002,-9.021
2022-05-13,-67.65,-67.904,-47.8215,-12.68,-13.709999999999999,-9.3865
2022-05-16,-70.49,-69.912,-49.645500000000006,-12.99,-13.622,-9.7685
2022-05-17,-66.61,-70.176,-51.412,-11.29,-13.236,-10.139
2022-05-18,-69.87,-69.316,-53.249,-14.71,-13.262,-10.677
2022-05-19,-67.81,-68.486,-54.7635,-15.27,-13.388,-11.1735
2022-05-20,-68.41,-68.63799999999999,-56.17850000000001,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-68.43,-68.226,-57.675,-13.68,-14.040000000000001,-11.8585
2022-05-24,-70.67,-69.038,-59.1035,-14.29,-14.64,-12.075500000000002
2022-05-25,-67.93,-68.65,-60.29100000000001,-13.59,-14.416,-12.2685
2022-05-26,-66.65,-68.418,-61.41799999999999,-11.92,-13.745999999999999,-12.4885
2022-05-27,-64.08,-67.552,-62.19100000000001,-9.77,-12.65,-12.435500000000001
2022-05-31,-62.77,-66.42,-63.157500000000006,-10.26,-11.966,-12.449
2022-06-01,-65.37,-65.36000000000001,-64.3035,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-62.88,-64.35000000000001,-65.4735,-9.06,-10.34,-12.606
2022-06-03,-66.38,-64.296,-66.461,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-64.41,-64.362,-67.114,-10.26,-10.154,-12.604
2022-06-07,-64.96,-64.8,-67.3395,-9.4,-9.982,-12.4025
2022-06-08,-65.14,-64.75399999999999,-67.332,-10.37,-9.918000000000001,-12.26
2022-06-09,-67.85,-65.74799999999999,-67.016,-12.42,-10.59,-12.152
2022-06-10,-70.37,-66.546,-66.9365,-14.93,-11.475999999999999,-12.1665
2022-06-13,-73.71,-68.40599999999999,-67.23949999999999,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-73.92,-70.19800000000001,-67.411,-18.32,-14.831999999999999,-12.705
2022-06-15,-72.21,-71.612,-67.691,-17.18,-16.194,-12.999500000000001
2022-06-16,-74.19,-72.88,-67.907,-19.83,-17.676,-13.255500000000001
2022-06-17,-74.1,-73.626,-68.2215,-19.62,-18.614,-13.472999999999999
2022-06-21,-70.98,-73.08,-68.35,-17.71,-18.532,-13.596
2022-06-22,-73.76,-73.048,-68.6165,-17.88,-18.444,-13.806000000000001
2022-06-23,-70.29,-72.66400000000002,-68.5975,-17.04,-18.416,-13.9435
2022-06-24,-68.38,-71.502,-68.61999999999999,-14.53,-17.356,-13.9905
2022-06-27,-71.74,-71.03,-68.8745,-14.84,-16.4,-14.136499999999998
2022-06-28,-74.12,-71.65799999999999,-69.3765,-16.63,-16.184,-14.479499999999998
2022-06-29,-74.84,-71.874,-69.97999999999999,-16.92,-15.992,-14.8125
2022-06-30,-76.2,-73.05600000000001,-70.5215,-17.56,-16.096,-15.156
2022-07-01,-73.16,-74.01199999999999,-71.0355,-16.28,-16.446,-15.517
2022-07-05,-70.07,-73.678,-71.22,-16.14,-16.706,-15.799000000000001
2022-07-06,-71.95,-73.244,-71.59700000000001,-15.85,-16.55,-16.0785
2022-07-07,-68.94,-72.064,-71.79599999999999,-14.65,-16.096,-16.341
2022-07-08,-67.44,-70.312,-71.911,-14.7,-15.524000000000001,-16.5575
2022-07-11,-70.84,-69.84799999999998,-72.0605,-15.64,-15.395999999999997,-16.7185
2022-07-12,-70.65,-69.964,-72.0745,-16.4,-15.447999999999999,-16.792
2022-07-13,-71.26,-69.826,-71.952,-16.77,-15.632,-16.7245
2022-07-14,-71.09,-70.256,-71.8105,-16.99,-16.1,-16.658
2022-07-15,-70.89,-70.946,-71.74449999999999,-15.46,-16.252000000000002,-16.572
2022-07-18,-68.28,-70.434,-71.449,-16.14,-16.352,-16.3875
2022-07-19,-64.46,-69.196,-70.967,-13.93,-15.857999999999999,-16.103
2022-07-20,-59.42,-66.828,-70.389,-13.4,-15.184000000000001,-15.8875
2022-07-21,-60.11,-64.63199999999999,-69.70649999999999,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-61.8,-62.814,-69.282,-13.32,-13.868,-15.434999999999999
2022-07-25,-63.8,-61.918000000000006,-69.05300000000001,-13.24,-13.288,-15.370499999999998
2022-07-26,-71.35,-63.29600000000001,-69.0335,-14.25,-13.352,-15.341
2022-07-27,-68.2,-65.05199999999999,-68.7375,-12.07,-13.086000000000002,-15.113
2022-07-28,-66.37,-66.304,-68.314,-10.99,-12.774,-14.8165
2022-07-29,-65.99,-67.14200000000001,-67.8035,-9.72,-12.053999999999998,-14.4245
2022-08-01,-64.39,-67.26,-67.365,-9.72,-11.350000000000001,-14.0965
2022-08-02,-62.52,-65.494,-66.9875,-10.15,-10.53,-13.797
2022-08-03,-56.9,-63.233999999999995,-66.23499999999999,-9.12,-9.94,-13.460500000000001
2022-08-04,-53.55,-60.669999999999995,-65.4655,-9.18,-9.578,-13.187000000000001
2022-08-05,-51.83,-57.838,-64.685,-9.31,-9.496,-12.9175
2022-08-08,-49.77,-54.914,-63.631499999999996,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-53.47,-53.104,-62.7725,-9.62,-9.319999999999999,-12.265
2022-08-10,-51.16,-51.955999999999996,-61.767500000000005,-8.33,-9.162,-11.843
2022-08-11,-54.78,-52.202,-60.952,-8.33,-8.992,-11.41
2022-08-12,-52.46,-52.327999999999996,-60.0305,-7.26,-8.581999999999999,-11.0
2022-08-15,-51.93,-52.760000000000005,-59.213,-6.98,-8.104000000000001,-10.542
2022-08-16,-52.49,-52.564,-58.6145,-6.87,-7.554,-10.189
2022-08-17,-54.22,-53.176,-58.354499999999994,-7.3,-7.348000000000001,-9.884
2022-08-18,-54.91,-53.202,-58.094500000000004,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-58.2,-54.35,-57.91450000000001,-7.96,-7.244,-9.344
2022-08-22,-59.11,-55.786,-57.67999999999999,-9.24,-7.696,-9.144
2022-08-23,-59.21,-57.129999999999995,-57.073,-9.38,-8.198,-8.9005
2022-08-24,-59.1,-58.105999999999995,-56.617999999999995,-9.2,-8.578,-8.757
2022-08-25,-59.14,-58.952,-56.2565,-8.33,-8.822,-8.623999999999999
2022-08-26,-60.87,-59.486000000000004,-56.0005,-10.4,-9.31,-8.658
2022-08-29,-61.02,-59.86800000000001,-55.831999999999994,-10.79,-9.620000000000001,-8.7115
2022-08-30,-60.75,-60.176,-55.7435,-11.42,-10.028,-8.774999999999999
2022-08-31,-60.84,-60.524,-55.9405,-11.87,-10.562,-8.9125
2022-09-01,-59.76,-60.648,-56.251,-11.4,-11.175999999999998,-9.0235
2022-09-02,-59.86,-60.446000000000005,-56.652499999999996,-11.98,-11.492,-9.157
2022-09-06,-60.79,-60.4,-57.2035,-12.17,-11.768,-9.297
2022-09-07,-58.06,-59.862,-57.43300000000001,-10.9,-11.664,-9.361
2022-09-08,-55.38,-58.77,-57.64399999999999,-10.38,-11.366,-9.4635
2022-09-09,-51.06,-57.03000000000001,-57.45799999999999,-9.13,-10.912,-9.503499999999999
2022-09-12,-50.13,-55.084,-57.341499999999996,-8.23,-10.162,-9.552
2022-09-13,-54.35,-53.79600000000001,-57.4625,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-52.35,-52.653999999999996,-57.45550000000001,-11.7,-10.290000000000001,-10.045
2022-09-15,-53.2,-52.218,-57.404500000000006,-12.63,-10.74,-10.311499999999999
2022-09-16,-55.07,-53.02,-57.4125,-13.28,-11.57,-10.620000000000001
2022-09-19,-57.43,-54.480000000000004,-57.374,-12.65,-12.453999999999999,-10.8545
2022-09-20,-58.6,-55.33,-57.3485,-13.61,-12.774,-11.073
2022-09-21,-58.78,-56.616,-57.327,-15.08,-13.45,-11.358
2022-09-22,-61.56,-58.288,-57.45,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-62.19,-59.712,-57.6025,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-61.95,-60.616,-57.65650000000001,-17.92,-15.906,-12.503499999999999
2022-09-27,-61.49,-61.194,-57.68000000000001,-18.14,-16.812,-12.871
2022-09-28,-58.94,-61.226,-57.58950000000001,-16.92,-17.18,-13.146
2022-09-29,-62.16,-61.346000000000004,-57.655499999999996,-18.62,-17.748,-13.483500000000001
2022-09-30,-60.63,-61.034000000000006,-57.699,-19.84,-18.288,-13.905499999999998
2022-10-03,-58.26,-60.29600000000001,-57.61900000000001,-17.32,-18.168,-14.172500000000003
2022-10-04,-53.08,-58.614,-57.23350000000001,-14.89,-17.518,-14.3085
2022-10-05,-54.01,-57.628,-57.03099999999999,-15.03,-17.14,-14.515
2022-10-06,-53.44,-55.884,-56.934000000000005,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-57.63,-55.284000000000006,-57.2625,-18.18,-16.264,-15.243500000000001
2022-10-10,-57.6,-55.152,-57.636,-18.77,-16.554,-15.770500000000002
2022-10-11,-55.67,-55.67,-57.70200000000001,-19.3,-17.436,-16.135
2022-10-12,-55.8,-56.028,-57.8745,-19.54,-18.338,-16.526999999999997
2022-10-13,-56.23,-56.586,-58.025999999999996,-17.48,-18.654,-16.7695
2022-10-14,-59.74,-57.008,-58.2595,-19.3,-18.878,-17.070500000000003
2022-10-17,-56.28,-56.74399999999999,-58.202,-17.29,-18.582,-17.3025
2022-10-18,-58.13,-57.236000000000004,-58.1785,-16.34,-17.99,-17.439
2022-10-19,-60.01,-58.077999999999996,-58.239999999999995,-16.91,-17.464,-17.530499999999996
2022-10-20,-59.76,-58.784000000000006,-58.15,-17.57,-17.482,-17.619999999999997
2022-10-21,-58.02,-58.44,-57.9415,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-58.01,-58.786,-57.744499999999995,-14.63,-16.216,-17.380000000000003
2022-10-25,-52.59,-57.678,-57.2995,-13.27,-15.602,-17.1365
2022-10-26,-53.37,-56.35,-57.020999999999994,-13.9,-15.0,-16.9855
2022-10-27,-54.21,-55.24000000000001,-56.6235,-14.35,-14.356,-16.772
2022-10-28,-54.46,-54.528,-56.315,-12.4,-13.709999999999999,-16.4
2022-10-31,-58.1,-54.54600000000001,-56.306999999999995,-12.98,-13.38,-16.183
2022-11-01,-58.5,-55.727999999999994,-56.577999999999996,-13.0,-13.325999999999999,-16.0885
2022-11-02,-60.08,-57.07000000000001,-56.8815,-15.11,-13.568000000000001,-16.0925
2022-11-03,-63.1,-58.848,-57.3645,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-61.24,-60.20399999999999,-57.545,-14.8,-14.372,-15.927000000000001
2022-11-07,-62.38,-61.06,-57.784000000000006,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-66.28,-62.61600000000001,-58.314499999999995,-13.57,-14.696000000000002,-15.4035
2022-11-09,-69.37,-64.474,-58.992999999999995,-15.28,-14.73,-15.1905
2022-11-10,-66.23,-65.1,-59.492999999999995,-10.81,-13.697999999999999,-14.857
2022-11-11,-62.07,-65.26599999999999,-59.60949999999999,-9.98,-12.734,-14.391
2022-11-14,-64.76,-65.742,-60.033500000000004,-10.68,-12.064,-14.060500000000001
2022-11-15,-63.27,-65.14000000000001,-60.29050000000001,-9.96,-11.342,-13.741499999999998
2022-11-16,-67.61,-64.78800000000001,-60.670500000000004,-10.63,-10.412,-13.4275
2022-11-17,-67.64,-65.07000000000001,-61.06450000000001,-10.88,-10.426,-13.093
2022-11-18,-69.93,-66.64200000000001,-61.660000000000004,-10.49,-10.528,-12.836000000000002
2022-11-21,-72.54,-68.19800000000001,-62.3865,-10.8,-10.552000000000001,-12.6445
2022-11-22,-71.13,-69.77000000000001,-63.3135,-9.64,-10.488000000000001,-12.463
2022-11-23,-69.7,-70.188,-64.13000000000001,-9.09,-10.180000000000001,-12.2225
2022-11-25,-70.54,-70.768,-64.9465,-9.1,-9.824,-11.96
2022-11-28,-71.7,-71.122,-65.80850000000001,-10.5,-9.825999999999999,-11.865
2022-11-29,-71.31,-70.876,-66.46900000000001,-10.66,-9.798,-11.749
2022-11-30,-69.58,-70.566,-67.023,-7.97,-9.464,-11.4975
2022-12-01,-68.22,-70.27000000000001,-67.42999999999999,-7.76,-9.198,-11.129999999999999
2022-12-02,-66.68,-69.498,-67.60900000000001,-7.89,-8.956,-10.725999999999999
2022-12-05,-67.75,-68.708,-67.9345,-9.46,-8.748000000000001,-10.459
2022-12-06,-70.16,-68.478,-68.3235,-10.72,-8.76,-10.2935
2022-12-07,-70.93,-68.748,-68.556,-10.89,-9.344,-10.1595
2022-12-08,-69.89,-69.082,-68.58200000000001,-10.21,-9.834,-9.906000000000002
2022-12-09,-71.62,-70.07000000000001,-68.8515,-10.84,-10.424000000000001,-9.9075
2022-12-12,-70.03,-70.52600000000001,-69.24950000000001,-9.61,-10.454,-9.889
2022-12-13,-72.71,-71.036,-69.64699999999999,-8.96,-10.102,-9.803
2022-12-14,-71.69,-71.188,-70.068,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-73.2,-71.85,-70.3475,-11.68,-10.118,-9.8325
2022-12-16,-74.15,-72.35600000000001,-70.673,-12.71,-10.492,-9.924
2022-12-19,-75.13,-73.376,-70.933,-13.44,-11.258,-10.0715
2022-12-20,-75.27,-73.888,-71.06949999999999,-13.72,-12.209999999999999,-10.2175
2022-12-21,-75.14,-74.578,-71.27000000000001,-12.46,-12.802000000000001,-10.3585
2022-12-22,-75.53,-75.04400000000001,-71.5615,-13.66,-13.197999999999999,-10.587
2022-12-23,-74.91,-75.196,-71.78,-13.19,-13.294,-10.7915
2022-12-27,-76.88,-75.54599999999999,-72.039,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-76.96,-75.88399999999999,-72.3215,-14.56,-13.478,-11.1375
2022-12-29,-75.4,-75.936,-72.6125,-13.08,-13.602,-11.392999999999999
2022-12-30,-74.98,-75.826,-72.9505,-13.31,-13.532,-11.6705
2023-01-03,-74.45,-75.73400000000001,-73.339,-13.32,-13.558000000000002,-11.942
2023-01-04,-71.5,-74.658,-73.5265,-12.72,-13.398000000000001,-12.105
2023-01-05,-74.57,-74.18,-73.74699999999999,-13.65,-13.216,-12.2515
2023-01-06,-74.77,-74.054,-73.939,-11.74,-12.948000000000002,-12.294
2023-01-09,-71.01,-73.25999999999999,-73.995,-11.8,-12.646,-12.3735
2023-01-10,-67.27,-71.824,-73.7775,-11.18,-12.218,-12.3905
2023-01-11,-66.84,-70.892,-73.618,-10.08,-11.690000000000001,-12.414
2023-01-12,-64.01,-68.78,-73.183,-9.75,-10.91,-12.4535
2023-01-13,-62.17,-66.26,-72.70700000000001,-9.41,-10.444,-12.449
2023-01-17,-59.04,-63.866,-71.999,-9.54,-9.992,-12.342
2023-01-18,-62.0,-62.812,-71.3915,-10.98,-9.952,-12.255500000000001
2023-01-19,-62.6,-61.96400000000001,-70.765,-11.6,-10.256,-12.1635
2023-01-20,-58.27,-60.815999999999995,-69.91499999999999,-10.01,-10.308,-11.978
2023-01-23,-57.66,-59.914,-69.041,-8.94,-10.213999999999999,-11.802
2023-01-24,-59.47,-60.0,-68.238,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-60.08,-59.616,-67.4965,-9.01,-9.72,-11.362
2023-01-26,-59.88,-59.072,-66.6465,-8.06,-9.012,-11.089
2023-01-27,-53.58,-58.13399999999999,-65.47749999999999,-7.8,-8.57,-10.751
2023-01-30,-57.51,-58.104,-64.583,-8.93,-8.568,-10.5435
2023-01-31,-55.76,-57.362,-63.622,-7.66,-8.291999999999998,-10.261
2023-02-01,-49.17,-55.17999999999999,-62.358000000000004,-6.52,-7.794,-9.921
2023-02-02,-37.55,-50.714,-60.6605,-5.25,-7.231999999999999,-9.5475
2023-02-03,-42.59,-48.516,-59.0615,-6.21,-6.914,-9.175500000000001
2023-02-06,-42.62,-45.538,-57.45400000000001,-6.73,-6.473999999999999,-8.925
2023-02-07,-44.64,-43.31400000000001,-56.1355,-5.74,-6.09,-8.622
2023-02-08,-45.91,-42.662,-55.067499999999995,-6.59,-6.104,-8.3925
2023-02-09,-52.19,-45.589999999999996,-54.335,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-53.82,-47.836,-53.8255,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-54.26,-50.164,-53.43000000000001,-6.18,-6.564,-7.955
2023-02-14,-52.36,-51.70799999999999,-53.09599999999999,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-44.91,-51.507999999999996,-52.241499999999995,-5.96,-6.531999999999999,-7.5375
2023-02-16,-47.62,-50.593999999999994,-51.49250000000001,-6.98,-6.478,-7.3065
2023-02-17,-47.9,-49.41,-50.974,-7.17,-6.5,-7.164500000000001
2023-02-21,-50.16,-48.589999999999996,-50.599000000000004,-8.6,-6.984,-7.147500000000001
2023-02-22,-50.81,-48.279999999999994,-50.166,-8.69,-7.4799999999999995,-7.13
2023-02-23,-49.95,-49.288,-49.6595,-8.34,-7.956,-7.096500000000001
2023-02-24,-52.79,-50.321999999999996,-49.305,-9.1,-8.379999999999999,-7.1485
2023-02-27,-52.41,-51.224000000000004,-49.2465,-8.85,-8.716,-7.2010000000000005
2023-02-28,-47.92,-50.775999999999996,-48.767,-9.16,-8.828,-7.2125
2023-03-01,-46.98,-50.010000000000005,-48.327999999999996,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-47.7,-49.559999999999995,-48.25449999999999,-8.66,-9.001999999999999,-7.3985
2023-03-03,-47.1,-48.422000000000004,-48.732,-7.41,-8.663999999999998,-7.5065
2023-03-06,-48.4,-47.62,-49.022499999999994,-7.32,-8.358,-7.561999999999999
2023-03-07,-49.09,-47.854,-49.346,-8.65,-8.256,-7.6579999999999995
2023-03-08,-48.21,-48.1,-49.5245,-8.52,-8.112,-7.797
2023-03-09,-52.06,-48.972,-49.832,-10.08,-8.396,-7.971499999999999
2023-03-10,-55.69,-50.69,-50.007000000000005,-11.27,-9.168000000000001,-8.1725
2023-03-13,-51.21,-51.251999999999995,-49.8765,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-48.42,-51.118,-49.584500000000006,-10.0,-10.256,-8.581
2023-03-15,-46.96,-50.868,-49.314499999999995,-10.53,-10.658,-8.797
2023-03-16,-44.31,-49.318,-49.2845,-9.06,-10.453999999999999,-8.952
2023-03-17,-38.53,-45.886,-48.83,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-38.4,-43.324,-48.355000000000004,-9.23,-9.768,-9.206999999999999
2023-03-21,-31.23,-39.886,-47.4085,-8.08,-9.384,-9.181000000000001
2023-03-22,-36.78,-37.85,-46.707,-9.56,-9.190000000000001,-9.2245
2023-03-23,-45.57,-38.102,-46.488,-9.35,-9.248000000000001,-9.275
2023-03-24,-44.33,-39.262,-46.065,-9.13,-9.069999999999999,-9.2765
2023-03-27,-48.62,-41.306,-45.8755,-8.98,-9.02,-9.283
2023-03-28,-48.21,-44.702,-45.89,-9.14,-9.232000000000001,-9.282
2023-03-29,-46.37,-46.62,-45.859500000000004,-7.87,-8.894,-9.2135
2023-03-30,-47.3,-46.965999999999994,-45.8395,-7.33,-8.49,-9.147
2023-03-31,-44.53,-47.00599999999999,-45.711,-6.05,-7.8740000000000006,-9.079
2023-04-03,-46.71,-46.623999999999995,-45.6265,-5.56,-7.19,-8.991000000000001
2023-04-04,-47.58,-46.498000000000005,-45.551,-6.08,-6.578,-8.8625
2023-04-05,-49.02,-47.028,-45.591499999999996,-6.3,-6.264,-8.7515
2023-04-06,-48.48,-47.263999999999996,-45.4125,-5.95,-5.988,-8.545
2023-04-10,-44.65,-47.288,-44.860499999999995,-5.85,-5.9479999999999995,-8.274
2023-04-11,-41.31,-46.208000000000006,-44.365500000000004,-5.84,-6.004,-7.9955
2023-04-12,-43.24,-45.339999999999996,-44.1065,-6.21,-6.029999999999999,-7.806
2023-04-13,-42.33,-44.002,-43.875,-5.01,-5.772,-7.529999999999999
2023-04-14,-41.54,-42.614,-43.7365,-5.2,-5.622,-7.337000000000001
2023-04-17,-43.34,-42.352000000000004,-43.977,-4.88,-5.428,-7.08
2023-04-18,-43.73,-42.836,-44.2435,-4.82,-5.224,-6.8595
