Date,rate_BMY_5D,rate_VOO_20D,Max_Divergence
2023-05-17,3.41,-5.42,133.55
2023-05-18,2.39,-5.33,107.4
2023-05-19,1.71,-5.26,112.63
2023-05-22,1.0,-5.18,111.5
2023-05-23,0.85,-5.1,131.88
2023-05-24,0.53,-5.04,98.55
2023-05-25,0.18,-5.01,68.72
2023-05-26,-0.44,-4.96,25.57
2023-05-30,-1.07,-4.9,20.0
2023-05-31,-1.71,-4.83,58.33
2023-06-01,-1.95,-4.67,57.86
2023-06-02,-1.61,-4.42,113.75
2023-06-05,-0.95,-4.25,139.11
2023-06-06,-0.41,-4.07,96.23
2023-06-07,-0.19,-3.9,71.73
2023-06-08,0.0,-3.71,75.94
2023-06-09,-0.26,-3.5,6.84
2023-06-12,-0.63,-3.25,-325.93
2023-06-13,-0.85,-2.98,-402.63
2023-06-14,-1.15,-2.67,-557.78
2023-06-15,-1.35,-2.36,-175.0
2023-06-16,-0.93,-2.11,-27.41
2023-06-20,-0.55,-1.88,-12.36
2023-06-21,-0.32,-1.67,-105.71
2023-06-22,0.02,-1.4,-146.48
2023-06-23,0.14,-1.12,-1700.0
2023-06-26,-0.28,-0.91,-146.67
2023-06-27,-0.67,-0.7,-282.81
2023-06-28,-1.1,-0.5,-414.49
2023-06-29,-1.5,-0.26,-439.71
2023-06-30,-1.83,-0.02,-228.65
2023-07-03,-1.93,0.16,-181.0
2023-07-05,-1.93,0.34,-165.73
2023-07-06,-2.12,0.46,-420.62
2023-07-07,-2.52,0.6,-681.08
2023-07-10,-2.95,0.71,-551.49
2023-07-11,-3.45,0.86,-347.88
2023-07-12,-4.18,0.99,-299.18
2023-07-13,-4.53,1.13,-249.08
2023-07-14,-4.75,1.27,-269.18
2023-07-17,-4.94,1.36,-256.09
2023-07-18,-5.18,1.51,-222.51
2023-07-19,-5.24,1.69,-214.57
2023-07-20,-4.79,1.87,-167.1
2023-07-21,-3.96,2.02,-131.27
2023-07-24,-3.08,2.24,-126.28
2023-07-25,-2.54,2.49,-157.02
2023-07-26,-2.13,2.69,-168.56
2023-07-27,-3.06,2.85,-281.2
2023-07-28,-4.06,3.06,-227.89
2023-07-31,-4.83,3.22,-199.8
2023-08-01,-5.49,3.35,-226.39
2023-08-02,-5.97,3.44,-257.51
2023-08-03,-5.79,3.56,-291.24
2023-08-04,-6.04,3.67,-354.79
2023-08-07,-6.54,3.8,-305.79
2023-08-08,-6.92,3.88,-335.54
2023-08-09,-7.27,3.9,-356.14
2023-08-10,-7.31,3.88,-326.3
2023-08-11,-7.15,3.87,-333.57
2023-08-14,-6.89,3.85,-290.71
2023-08-15,-6.53,3.76,-347.13
2023-08-16,-6.44,3.63,-454.64
2023-08-17,-6.26,3.5,-503.6
2023-08-18,-6.08,3.38,-493.1
2023-08-21,-6.02,3.26,-408.42
2023-08-22,-5.99,3.12,-445.61
2023-08-23,-5.86,3.01,-355.97
2023-08-24,-6.04,2.89,-524.84
2023-08-25,-6.04,2.75,-388.83
2023-08-28,-6.09,2.62,-354.36
2023-08-29,-5.89,2.55,-245.27
2023-08-30,-5.72,2.56,-246.99
2023-08-31,-5.65,2.57,-270.95
2023-09-01,-5.64,2.61,-254.52
2023-09-05,-5.81,2.6,-309.25
2023-09-06,-6.48,2.57,-398.19
2023-09-07,-6.96,2.55,-414.06
2023-09-08,-7.05,2.54,-350.76
2023-09-11,-7.24,2.56,-301.84
2023-09-12,-7.33,2.53,-373.53
2023-09-13,-7.35,2.55,-392.96
2023-09-14,-7.49,2.64,-331.35
2023-09-15,-8.03,2.69,-477.55
2023-09-18,-8.7,2.75,-487.89
2023-09-19,-9.18,2.77,-517.37
2023-09-20,-9.44,2.76,-777.46
2023-09-21,-9.56,2.63,-4485.0
2023-09-22,-9.6,2.53,-2045.45
2023-09-25,-9.43,2.43,-30066.67
2023-09-26,-9.45,2.23,-575.0
2023-09-27,-9.73,1.99,-652.05
2023-09-28,-10.01,1.74,-741.27
2023-09-29,-10.28,1.49,-622.15
2023-10-02,-10.63,1.23,-636.73
2023-10-03,-10.99,0.93,-325.63
2023-10-04,-11.3,0.69,-505.31
2023-10-05,-11.78,0.46,-504.65
2023-10-06,-12.16,0.27,-1151.49
2023-10-09,-12.54,0.09,-3433.33
2023-10-10,-12.79,-0.04,-9421.43
2023-10-11,-12.81,-0.15,-2358.93
2023-10-12,-12.86,-0.34,-44066.67
2023-10-13,-12.92,-0.49,-2250.91
2023-10-16,-12.75,-0.59,-2623.4
2023-10-17,-12.45,-0.68,-2506.25
2023-10-18,-12.39,-0.8,-1352.94
2023-10-19,-12.32,-0.87,-669.05
2023-10-20,-12.33,-0.99,-348.1
2023-10-23,-12.68,-1.15,-346.08
2023-10-24,-13.07,-1.19,-475.64
2023-10-25,-13.14,-1.3,-243.78
2023-10-26,-14.22,-1.48,-275.98
2023-10-27,-15.89,-1.67,-303.41
2023-10-30,-17.35,-1.81,-403.61
2023-10-31,-18.76,-1.85,-471.59
2023-11-01,-20.32,-1.87,-723.69
2023-11-02,-20.8,-1.8,-2862.86
2023-11-03,-20.18,-1.74,-9668.42
2023-11-06,-19.64,-1.7,-4897.37
2023-11-07,-19.33,-1.67,-3021.54
2023-11-08,-18.99,-1.66,-2675.34
2023-11-09,-19.21,-1.66,-218600.0
2023-11-10,-19.89,-1.56,-1518.42
2023-11-13,-20.7,-1.51,-1668.31
2023-11-14,-21.24,-1.37,-749.7
2023-11-15,-21.5,-1.15,-662.46
2023-11-16,-21.36,-0.88,-671.43
2023-11-17,-21.29,-0.54,-649.22
2023-11-20,-21.67,-0.16,-622.46
2023-11-21,-22.3,0.18,-669.72
2023-11-22,-22.96,0.6,-586.28
2023-11-24,-23.3,1.09,-569.4
2023-11-27,-23.86,1.59,-611.94
2023-11-28,-23.85,2.04,-604.38
2023-11-29,-23.78,2.45,-618.43
2023-11-30,-23.79,2.83,-558.01
2023-12-01,-23.6,3.15,-490.04
2023-12-04,-23.22,3.39,-532.49
2023-12-05,-22.73,3.63,-527.56
2023-12-06,-22.29,3.83,-571.61
2023-12-07,-21.97,4.07,-504.26
2023-12-08,-21.9,4.36,-474.35
2023-12-11,-21.56,4.59,-433.33
2023-12-12,-21.48,4.84,-422.58
2023-12-13,-20.87,5.07,-342.55
2023-12-14,-20.46,5.31,-341.29
2023-12-15,-20.28,5.52,-356.95
2023-12-18,-20.21,5.76,-332.13
2023-12-19,-19.71,5.99,-305.46
2023-12-20,-19.99,6.14,-374.3
2023-12-21,-20.06,6.32,-340.91
2023-12-22,-19.62,6.51,-316.34
2023-12-26,-19.59,6.72,-321.92
2023-12-27,-19.87,6.94,-322.09
2023-12-28,-19.79,7.15,-321.73
2023-12-29,-19.77,7.34,-326.16
2024-01-02,-19.56,7.47,-314.22
2024-01-03,-19.23,7.59,-341.57
2024-01-04,-18.91,7.7,-357.26
2024-01-05,-18.53,7.83,-348.64
2024-01-08,-18.31,8.0,-314.58
2024-01-09,-18.77,8.14,-329.47
2024-01-10,-19.28,8.3,-325.05
2024-01-11,-19.85,8.43,-333.3
2024-01-12,-20.45,8.5,-330.77
2024-01-16,-21.01,8.53,-344.17
2024-01-17,-21.42,8.55,-359.03
2024-01-18,-21.59,8.58,-334.71
2024-01-19,-21.63,8.64,-308.99
2024-01-22,-21.86,8.79,-312.8
2024-01-23,-21.82,8.91,-299.35
2024-01-24,-21.74,9.03,-296.24
2024-01-25,-21.89,9.15,-295.89
2024-01-26,-22.02,9.27,-295.69
2024-01-29,-21.92,9.42,-282.26
2024-01-30,-22.15,9.57,-289.57
2024-01-31,-22.58,9.69,-325.36
2024-02-01,-22.79,9.88,-304.45
2024-02-02,-23.01,10.14,-288.32
2024-02-05,-23.51,10.38,-302.9
2024-02-06,-23.47,10.55,-282.19
2024-02-07,-23.45,10.77,-279.5
2024-02-08,-23.44,10.97,-277.91
2024-02-09,-23.09,11.19,-258.72
2024-02-12,-22.54,11.41,-259.85
2024-02-13,-22.72,11.57,-292.03
2024-02-14,-22.64,11.81,-275.99
2024-02-15,-22.42,12.04,-261.09
2024-02-16,-22.4,12.18,-262.42
2024-02-20,-22.37,12.29,-269.44
2024-02-21,-21.68,12.39,-255.34
2024-02-22,-20.92,12.6,-229.05
2024-02-23,-20.22,12.77,-225.15
2024-02-26,-20.02,12.93,-240.59
2024-02-27,-19.81,13.07,-238.83
2024-02-28,-19.81,13.21,-235.9
2024-02-29,-19.99,13.44,-234.09
2024-03-01,-20.16,13.65,-224.04
2024-03-04,-19.97,13.82,-224.81
2024-03-05,-19.49,13.94,-224.64
2024-03-06,-18.65,14.08,-203.83
2024-03-07,-17.79,14.24,-197.84
2024-03-08,-16.89,14.36,-196.92
2024-03-11,-15.81,14.45,-191.73
2024-03-12,-15.01,14.6,-185.7
2024-03-13,-15.24,14.81,-203.24
2024-03-14,-15.49,14.96,-206.2
2024-03-15,-15.95,15.04,-212.21
2024-03-18,-16.82,15.18,-215.43
2024-03-19,-17.63,15.38,-209.89
2024-03-20,-17.87,15.6,-204.09
2024-03-21,-18.16,15.74,-204.86
2024-03-22,-18.28,15.85,-204.28
2024-03-25,-18.08,15.98,-202.82
2024-03-26,-17.84,16.07,-201.55
2024-03-27,-17.41,16.22,-190.67
2024-03-28,-16.58,16.34,-181.95
2024-04-01,-16.19,16.41,-193.7
2024-04-02,-15.97,16.45,-199.88
2024-04-03,-16.03,16.55,-204.65
2024-04-04,-16.56,16.56,-221.16
2024-04-05,-17.41,16.57,-214.11
2024-04-08,-18.01,16.61,-215.9
2024-04-09,-18.36,16.66,-210.15
2024-04-10,-18.96,16.61,-230.97
2024-04-11,-19.67,16.61,-236.08
2024-04-12,-20.63,16.54,-258.51
2024-04-15,-21.45,16.44,-271.62
2024-04-16,-22.5,16.3,-277.15
2024-04-17,-23.27,16.1,-291.75
2024-04-18,-23.53,15.85,-289.56
2024-04-19,-23.32,15.54,-295.9
2024-04-22,-23.12,15.29,-278.51
2024-04-23,-22.89,15.13,-262.24
2024-04-24,-22.57,14.97,-264.72
2024-04-25,-23.71,14.76,-320.11
2024-04-26,-25.0,14.6,-301.46
2024-04-29,-26.42,14.48,-298.37
2024-04-30,-28.02,14.3,-334.39
2024-05-01,-29.39,14.09,-337.78
2024-05-02,-29.6,13.99,-325.64
2024-05-03,-29.77,13.91,-301.56
2024-05-06,-29.9,13.88,-288.1
2024-05-07,-29.77,13.86,-284.85
2024-05-08,-29.94,13.89,-288.41
2024-05-09,-29.61,13.91,-270.96
2024-05-10,-29.31,14.01,-267.54
2024-05-13,-28.94,14.18,-266.47
2024-05-14,-28.73,14.39,-264.37
2024-05-15,-28.46,14.7,-253.38
2024-05-16,-28.66,15.01,-259.04
2024-05-17,-28.95,15.37,-258.21
2024-05-20,-29.48,15.7,-262.9
2024-05-21,-30.26,15.97,-269.2
2024-05-22,-30.96,16.23,-271.76
2024-05-23,-31.78,16.46,-287.15
2024-05-24,-32.66,16.69,-281.82
2024-05-28,-33.57,16.89,-287.17
2024-05-29,-34.22,17.15,-297.89
2024-05-30,-34.88,17.39,-306.84
2024-05-31,-35.02,17.64,-288.12
2024-06-03,-34.74,17.8,-280.92
2024-06-04,-34.23,17.92,-279.69
2024-06-05,-33.81,18.1,-271.17
2024-06-06,-33.5,18.27,-274.31
2024-06-07,-33.26,18.41,-270.72
2024-06-10,-33.01,18.56,-258.71
2024-06-11,-32.6,18.72,-252.99
2024-06-12,-32.23,18.9,-250.52
2024-06-13,-32.04,19.03,-255.92
2024-06-14,-32.13,19.17,-257.3
2024-06-17,-32.65,19.34,-252.33
2024-06-18,-33.35,19.53,-251.33
2024-06-20,-33.79,19.69,-251.9
2024-06-21,-33.65,19.85,-247.28
2024-06-24,-33.32,20.04,-247.24
2024-06-25,-32.93,20.2,-244.72
2024-06-26,-32.38,20.37,-241.69
2024-06-27,-32.23,20.59,-247.81
2024-06-28,-32.36,20.81,-252.82
2024-07-01,-32.55,20.98,-252.83
2024-07-02,-33.0,21.18,-254.76
2024-07-03,-33.67,21.4,-254.61
2024-07-05,-34.15,21.58,-253.5
2024-07-08,-34.54,21.76,-250.62
2024-07-09,-34.68,21.96,-243.98
2024-07-10,-34.46,22.18,-236.68
2024-07-11,-34.24,22.35,-244.14
2024-07-12,-33.98,22.5,-242.45
