Date,rate_MAR_5D,rate_VOO_20D,Max_Divergence
2022-03-29,6.03,-5.63,2135.42
2022-03-30,7.11,-5.41,890.83
2022-03-31,7.57,-5.23,419.07
2022-04-01,7.79,-5.01,400.45
2022-04-04,8.12,-4.61,603.45
2022-04-05,7.55,-4.25,363.74
2022-04-06,6.27,-4.04,161.9
2022-04-07,4.89,-3.79,142.26
2022-04-08,3.71,-3.5,124.92
2022-04-11,2.25,-3.25,99.6
2022-04-12,0.96,-3.12,108.71
2022-04-13,2.09,-3.03,286.52
2022-04-14,4.01,-3.06,302.79
2022-04-18,6.34,-3.14,333.27
2022-04-19,9.53,-3.15,510.05
2022-04-20,12.8,-3.21,526.08
2022-04-21,13.84,-3.28,345.32
2022-04-22,13.72,-3.53,230.53
2022-04-25,13.64,-3.79,263.91
2022-04-26,12.23,-4.2,189.45
2022-04-27,11.01,-4.66,209.87
2022-04-28,11.05,-4.98,277.39
2022-04-29,10.81,-5.4,183.66
2022-05-02,10.23,-5.78,191.79
2022-05-03,9.68,-6.19,163.62
2022-05-04,9.74,-6.41,257.65
2022-05-05,8.85,-6.74,187.66
2022-05-06,8.2,-7.12,154.45
2022-05-09,6.49,-7.62,104.62
2022-05-10,5.9,-8.04,124.13
2022-05-11,4.2,-8.5,117.22
2022-05-12,2.49,-9.02,102.19
2022-05-13,1.76,-9.39,117.11
2022-05-16,1.58,-9.77,97.69
2022-05-17,1.19,-10.14,110.98
2022-05-18,-0.39,-10.68,63.56
2022-05-19,-1.17,-11.17,76.56
2022-05-20,-2.52,-11.54,69.7
2022-05-23,-3.06,-11.86,78.36
2022-05-24,-4.54,-12.08,56.61
2022-05-25,-3.87,-12.27,85.36
2022-05-26,-2.26,-12.49,137.58
2022-05-27,-0.15,-12.44,160.8
2022-05-31,1.51,-12.45,152.05
2022-06-01,3.67,-12.5,143.03
2022-06-02,5.45,-12.61,176.16
2022-06-03,5.96,-12.62,167.05
2022-06-06,6.54,-12.6,186.06
2022-06-07,7.19,-12.4,191.17
2022-06-08,7.5,-12.26,159.31
2022-06-09,6.68,-12.15,122.46
2022-06-10,4.88,-12.17,87.07
2022-06-13,1.79,-12.44,63.36
2022-06-14,-1.24,-12.7,64.14
2022-06-15,-3.47,-13.0,70.9
2022-06-16,-6.2,-13.26,45.28
2022-06-17,-7.97,-13.47,44.9
2022-06-21,-9.25,-13.6,26.48
2022-06-22,-11.16,-13.81,9.79
2022-06-23,-13.8,-13.94,-6.75
2022-06-24,-14.5,-13.99,1.24
2022-06-27,-15.11,-14.14,6.54
2022-06-28,-15.46,-14.48,11.12
2022-06-29,-15.31,-14.81,9.16
2022-06-30,-14.96,-15.16,6.49
2022-07-01,-14.91,-15.52,13.45
2022-07-05,-15.01,-15.8,10.9
2022-07-06,-15.3,-16.08,-2.33
2022-07-07,-15.1,-16.34,1.84
2022-07-08,-14.8,-16.56,-1.5
2022-07-11,-14.97,-16.72,4.48
2022-07-12,-14.91,-16.79,13.96
2022-07-13,-14.29,-16.72,22.0
2022-07-14,-14.03,-16.66,22.9
2022-07-15,-13.35,-16.57,25.49
2022-07-18,-12.52,-16.39,33.27
2022-07-19,-11.07,-16.1,50.47
2022-07-20,-9.63,-15.89,56.19
2022-07-21,-8.38,-15.62,45.42
2022-07-22,-7.46,-15.43,48.2
2022-07-25,-6.43,-15.37,57.48
2022-07-26,-6.41,-15.34,52.14
2022-07-27,-5.8,-15.11,76.72
2022-07-28,-4.93,-14.82,77.16
2022-07-29,-3.97,-14.42,78.7
2022-08-01,-3.16,-14.1,83.85
2022-08-02,-2.23,-13.8,78.62
2022-08-03,-2.0,-13.46,81.69
2022-08-04,-1.86,-13.19,80.07
2022-08-05,-1.99,-12.92,70.68
2022-08-08,-2.11,-12.6,76.95
2022-08-09,-2.07,-12.26,79.83
2022-08-10,-1.91,-11.84,89.2
2022-08-11,-1.74,-11.41,88.6
2022-08-12,-1.13,-11.0,103.99
2022-08-15,-0.72,-10.54,98.85
2022-08-16,-0.09,-10.19,117.03
2022-08-17,0.1,-9.88,101.1
2022-08-18,0.43,-9.61,109.56
2022-08-19,0.21,-9.34,89.7
2022-08-22,-0.23,-9.14,75.76
2022-08-23,-0.85,-8.9,79.32
2022-08-24,-1.15,-8.76,84.67
2022-08-25,-1.34,-8.62,96.52
2022-08-26,-1.72,-8.66,73.65
2022-08-29,-1.9,-8.71,70.9
2022-08-30,-2.34,-8.77,63.92
2022-08-31,-2.85,-8.91,66.72
2022-09-01,-3.54,-9.02,66.93
2022-09-02,-3.73,-9.16,69.53
2022-09-06,-3.98,-9.3,63.85
2022-09-07,-3.5,-9.36,84.31
2022-09-08,-2.85,-9.46,93.26
2022-09-09,-1.9,-9.5,110.73
2022-09-12,-0.81,-9.55,121.75
2022-09-13,-0.27,-9.8,85.76
2022-09-14,0.28,-10.04,108.97
2022-09-15,0.63,-10.31,108.16
2022-09-16,-0.26,-10.62,73.87
2022-09-19,-1.02,-10.85,84.03
2022-09-20,-1.13,-11.07,83.61
2022-09-21,-2.86,-11.36,49.6
2022-09-22,-5.56,-11.69,20.91
2022-09-23,-7.68,-12.13,17.85
2022-09-26,-10.25,-12.5,17.19
2022-09-27,-12.47,-12.87,26.52
2022-09-28,-12.98,-13.15,39.83
2022-09-29,-12.93,-13.48,34.43
2022-09-30,-12.6,-13.91,37.3
2022-10-03,-11.98,-14.17,32.27
2022-10-04,-10.83,-14.31,48.96
2022-10-05,-10.36,-14.52,47.84
2022-10-06,-9.87,-14.79,38.74
2022-10-07,-9.64,-15.24,37.79
2022-10-10,-9.68,-15.77,36.49
2022-10-11,-10.76,-16.14,32.8
2022-10-12,-11.4,-16.53,43.35
2022-10-13,-11.5,-16.77,41.42
2022-10-14,-11.25,-17.07,47.93
2022-10-17,-10.34,-17.3,57.32
2022-10-18,-8.96,-17.44,62.97
2022-10-19,-7.95,-17.53,64.22
2022-10-20,-7.42,-17.62,56.86
2022-10-21,-6.19,-17.54,75.18
2022-10-24,-5.3,-17.38,79.84
2022-10-25,-4.63,-17.14,79.8
2022-10-26,-4.0,-16.99,78.99
2022-10-27,-2.92,-16.77,84.88
2022-10-28,-2.16,-16.4,99.52
2022-10-31,-1.52,-16.18,101.77
2022-11-01,-0.94,-16.09,101.54
2022-11-02,-1.18,-16.09,72.93
2022-11-03,-2.35,-16.1,49.72
2022-11-04,-3.64,-15.93,55.88
2022-11-07,-5.07,-15.69,50.82
2022-11-08,-6.22,-15.4,58.95
2022-11-09,-6.64,-15.19,59.75
2022-11-10,-5.23,-14.86,90.93
2022-11-11,-3.4,-14.39,125.95
2022-11-14,-2.03,-14.06,99.81
2022-11-15,-0.64,-13.74,113.65
2022-11-16,0.84,-13.43,111.85
2022-11-17,1.09,-13.09,102.3
2022-11-18,0.84,-12.84,112.68
2022-11-21,0.96,-12.64,105.56
2022-11-22,1.11,-12.46,121.68
2022-11-23,1.09,-12.22,113.09
2022-11-25,1.41,-11.96,120.22
2022-11-28,1.06,-11.86,96.0
2022-11-29,1.15,-11.75,109.85
2022-11-30,1.45,-11.5,145.04
2022-12-01,1.89,-11.13,143.94
2022-12-02,2.26,-10.73,146.51
2022-12-05,2.64,-10.46,115.86
2022-12-06,2.54,-10.29,104.94
2022-12-07,1.54,-10.16,86.87
2022-12-08,0.98,-9.91,106.37
2022-12-09,0.44,-9.91,108.86
2022-12-12,0.58,-9.89,122.79
2022-12-13,0.91,-9.8,124.11
2022-12-14,1.16,-9.78,98.11
2022-12-15,0.5,-9.83,77.65
2022-12-16,-0.41,-9.92,71.6
2022-12-19,-1.87,-10.07,61.98
2022-12-20,-3.44,-10.22,58.38
2022-12-21,-4.76,-10.36,45.91
2022-12-22,-5.77,-10.59,43.7
2022-12-23,-6.42,-10.79,48.14
2022-12-27,-6.79,-10.94,48.3
2022-12-28,-7.39,-11.14,40.25
2022-12-29,-7.49,-11.39,44.8
2022-12-30,-7.28,-11.67,50.04
2023-01-03,-7.35,-11.94,46.02
2023-01-04,-7.13,-12.1,53.69
2023-01-05,-6.69,-12.25,52.38
2023-01-06,-5.98,-12.29,68.57
2023-01-09,-5.5,-12.37,64.24
2023-01-10,-4.83,-12.39,65.74
2023-01-11,-3.75,-12.41,94.84
2023-01-12,-2.37,-12.45,104.31
2023-01-13,-1.32,-12.45,116.37
2023-01-17,-0.27,-12.34,110.9
2023-01-18,0.56,-12.26,102.73
2023-01-19,0.87,-12.16,109.22
2023-01-20,1.74,-11.98,147.25
2023-01-23,2.64,-11.8,167.56
2023-01-24,3.71,-11.57,171.02
2023-01-25,5.27,-11.36,189.9
2023-01-26,6.96,-11.09,217.99
2023-01-27,7.88,-10.75,219.87
2023-01-30,8.16,-10.54,182.87
2023-01-31,8.67,-10.26,217.23
2023-02-01,8.93,-9.92,244.02
2023-02-02,8.98,-9.55,286.67
2023-02-03,8.89,-9.18,243.32
2023-02-06,8.98,-8.93,216.05
2023-02-07,9.05,-8.62,262.72
2023-02-08,8.9,-8.39,231.11
2023-02-09,8.75,-8.25,225.24
2023-02-10,8.44,-8.12,203.97
2023-02-13,8.64,-7.96,242.72
2023-02-14,9.21,-7.79,295.81
2023-02-15,9.85,-7.54,298.49
2023-02-16,9.93,-7.31,236.25
2023-02-17,10.05,-7.16,210.6
2023-02-21,9.69,-7.15,181.86
2023-02-22,8.66,-7.13,180.44
2023-02-23,7.82,-7.1,191.73
2023-02-24,7.3,-7.15,175.49
2023-02-27,7.01,-7.2,173.67
2023-02-28,6.87,-7.21,169.0
2023-03-01,6.73,-7.29,167.97
2023-03-02,6.61,-7.4,181.64
2023-03-03,6.89,-7.51,211.34
2023-03-06,7.46,-7.56,227.87
2023-03-07,7.88,-7.66,197.8
2023-03-08,8.3,-7.8,198.36
2023-03-09,7.9,-7.97,150.2
2023-03-10,6.89,-8.17,128.31
2023-03-13,5.19,-8.39,107.71
2023-03-14,3.93,-8.58,121.6
2023-03-15,2.17,-8.8,95.63
2023-03-16,1.4,-8.95,113.47
2023-03-17,0.72,-9.1,98.0
2023-03-20,1.02,-9.21,125.79
2023-03-21,1.64,-9.18,165.35
2023-03-22,2.23,-9.22,125.94
2023-03-23,2.09,-9.28,105.35
2023-03-24,1.81,-9.28,82.48
2023-03-27,1.01,-9.28,82.29
2023-03-28,-0.06,-9.28,98.91
2023-03-29,-0.19,-9.21,123.51
2023-03-30,0.15,-9.15,129.74
2023-03-31,1.32,-9.08,170.58
2023-04-03,2.28,-8.99,157.91
2023-04-04,2.94,-8.86,152.14
2023-04-05,2.98,-8.75,132.54
2023-04-06,3.01,-8.54,139.5
2023-04-10,2.6,-8.27,137.44
2023-04-11,2.53,-8.0,149.14
2023-04-12,2.17,-7.81,122.22
2023-04-13,2.53,-7.53,177.45
2023-04-14,3.16,-7.34,205.58
2023-04-17,4.03,-7.08,233.4
2023-04-18,5.24,-6.86,285.68
2023-04-19,6.76,-6.7,285.92
2023-04-20,7.79,-6.49,268.28
2023-04-21,8.58,-6.28,277.74
2023-04-24,9.15,-6.09,280.89
2023-04-25,9.05,-5.96,231.42
2023-04-26,7.98,-5.84,153.54
2023-04-27,6.93,-5.71,172.52
2023-04-28,6.3,-5.57,237.28
2023-05-01,5.75,-5.49,246.56
2023-05-02,6.43,-5.49,315.48
2023-05-03,8.05,-5.49,292.93
2023-05-04,9.39,-5.51,256.78
2023-05-05,10.25,-5.47,305.24
2023-05-08,11.21,-5.43,323.48
2023-05-09,11.26,-5.42,319.45
2023-05-10,10.91,-5.36,295.88
2023-05-11,10.67,-5.37,277.44
2023-05-12,10.36,-5.38,268.97
2023-05-15,10.06,-5.39,296.63
2023-05-16,9.51,-5.43,265.13
2023-05-17,9.69,-5.42,339.25
2023-05-18,10.51,-5.33,465.75
2023-05-19,11.05,-5.26,408.68
2023-05-22,10.94,-5.18,351.34
2023-05-23,10.32,-5.1,229.38
2023-05-24,9.22,-5.04,198.0
2023-05-25,8.05,-5.01,260.0
2023-05-26,7.22,-4.96,317.82
2023-05-30,6.53,-4.9,271.88
2023-05-31,6.31,-4.83,229.29
2023-06-01,6.64,-4.67,335.79
2023-06-02,7.3,-4.42,775.0
2023-06-05,7.94,-4.25,703.35
2023-06-06,9.37,-4.07,923.27
2023-06-07,10.51,-3.9,666.49
2023-06-08,11.42,-3.71,970.68
2023-06-09,11.64,-3.5,1117.95
2023-06-12,12.1,-3.25,4955.56
2023-06-13,12.16,-2.98,3426.32
2023-06-14,12.69,-2.67,2884.44
2023-06-15,12.46,-2.36,508.14
2023-06-16,12.13,-2.11,660.0
2023-06-20,11.24,-1.88,873.03
2023-06-21,10.58,-1.67,2788.57
2023-06-22,9.87,-1.4,1287.32
2023-06-23,9.22,-1.12,18125.0
2023-06-26,8.62,-0.91,1711.11
2023-06-27,9.05,-0.7,1595.31
2023-06-28,9.25,-0.5,1504.35
2023-06-29,9.94,-0.26,1858.82
2023-06-30,11.46,-0.02,701.08
2023-07-03,12.98,0.16,642.5
2023-07-05,13.52,0.34,661.24
2023-07-06,14.01,0.46,1291.75
2023-07-07,14.49,0.6,2025.68
2023-07-10,15.32,0.71,1778.22
2023-07-11,16.18,0.86,1061.82
2023-07-12,17.15,0.99,654.1
2023-07-13,18.31,1.13,492.02
2023-07-14,18.77,1.27,466.67
2023-07-17,18.82,1.36,443.63
2023-07-18,19.07,1.51,374.01
2023-07-19,19.11,1.69,311.04
2023-07-20,19.11,1.87,399.74
2023-07-21,19.72,2.02,444.7
2023-07-24,20.03,2.24,382.56
2023-07-25,20.16,2.49,362.06
2023-07-26,20.53,2.69,346.29
2023-07-27,20.99,2.85,441.35
2023-07-28,21.53,3.06,391.94
2023-07-31,22.4,3.22,400.6
2023-08-01,23.43,3.35,462.66
2023-08-02,24.45,3.44,623.23
2023-08-03,24.94,3.56,626.28
2023-08-04,25.22,3.67,764.04
2023-08-07,25.44,3.8,621.76
2023-08-08,25.6,3.88,712.95
2023-08-09,25.86,3.9,841.4
2023-08-10,26.62,3.88,863.67
2023-08-11,27.15,3.87,885.87
2023-08-14,27.35,3.85,740.87
2023-08-15,27.31,3.76,998.36
2023-08-16,27.34,3.63,1292.27
2023-08-17,26.83,3.5,1717.99
2023-08-18,26.28,3.38,1635.86
2023-08-21,25.69,3.26,1174.21
2023-08-22,25.52,3.12,1416.37
2023-08-23,25.24,3.01,955.14
2023-08-24,24.95,2.89,1454.9
2023-08-25,24.75,2.75,1128.43
2023-08-28,24.98,2.62,951.45
2023-08-29,25.16,2.55,694.08
2023-08-30,25.33,2.56,624.04
2023-08-31,25.73,2.57,619.27
2023-09-01,26.12,2.61,617.26
2023-09-05,25.9,2.6,623.58
2023-09-06,25.52,2.57,803.62
2023-09-07,24.92,2.55,844.18
2023-09-08,25.13,2.54,922.52
2023-09-11,25.1,2.56,698.47
2023-09-12,25.42,2.53,849.26
2023-09-13,25.16,2.55,733.45
2023-09-14,25.67,2.64,604.32
2023-09-15,25.4,2.69,937.96
2023-09-18,24.98,2.75,835.16
2023-09-19,24.35,2.77,859.32
2023-09-20,24.3,2.76,1550.7
2023-09-21,23.21,2.63,10395.0
2023-09-22,22.14,2.53,4668.18
2023-09-25,21.2,2.43,64200.0
2023-09-26,20.37,2.23,1350.68
2023-09-27,19.65,1.99,1456.85
2023-09-28,20.18,1.74,1946.83
2023-09-29,20.45,1.49,1538.93
2023-10-02,20.48,1.23,1416.33
2023-10-03,20.24,0.93,724.91
2023-10-04,20.27,0.69,1066.18
2023-10-05,19.61,0.46,1028.84
2023-10-06,19.47,0.27,2149.5
2023-10-09,19.55,0.09,5588.89
2023-10-10,20.53,-0.04,15771.43
2023-10-11,20.95,-0.15,3846.43
2023-10-12,21.32,-0.34,72800.0
2023-10-13,20.95,-0.49,3527.27
2023-10-16,21.27,-0.59,4442.55
2023-10-17,21.15,-0.68,4408.33
2023-10-18,20.68,-0.8,2421.18
2023-10-19,20.01,-0.87,1198.81
2023-10-20,19.4,-0.99,646.71
2023-10-23,18.37,-1.15,629.74
2023-10-24,17.47,-1.19,832.05
2023-10-25,16.74,-1.3,534.59
2023-10-26,16.02,-1.48,405.34
2023-10-27,15.69,-1.67,367.99
2023-10-30,15.62,-1.81,481.49
2023-10-31,15.43,-1.85,550.14
2023-11-01,15.41,-1.87,742.57
2023-11-02,15.26,-1.8,2120.0
2023-11-03,15.93,-1.74,9110.53
2023-11-06,16.24,-1.7,4484.21
2023-11-07,16.9,-1.67,2890.77
2023-11-08,17.36,-1.66,2404.11
2023-11-09,18.4,-1.66,193800.0
2023-11-10,19.17,-1.56,1302.63
2023-11-13,19.96,-1.51,1405.63
2023-11-14,20.91,-1.37,624.85
2023-11-15,21.95,-1.15,557.7
2023-11-16,23.08,-0.88,574.12
2023-11-17,24.07,-0.54,580.83
2023-11-20,25.2,-0.16,483.15
2023-11-21,25.78,0.18,522.48
2023-11-22,26.85,0.6,499.38
2023-11-24,27.49,1.09,479.26
2023-11-27,27.7,1.59,482.94
2023-11-28,27.48,2.04,439.87
2023-11-29,26.99,2.45,423.73
2023-11-30,26.19,2.83,385.16
2023-12-01,26.1,3.15,393.59
2023-12-04,26.21,3.39,445.99
2023-12-05,25.95,3.63,383.66
2023-12-06,26.12,3.83,441.74
2023-12-07,26.58,4.07,402.59
2023-12-08,26.6,4.36,381.8
2023-12-11,27.26,4.59,410.13
2023-12-12,28.63,4.84,375.91
2023-12-13,29.91,5.07,303.91
2023-12-14,31.08,5.31,301.46
2023-12-15,32.21,5.52,315.26
2023-12-18,32.75,5.76,293.74
2023-12-19,33.19,5.99,266.7
2023-12-20,33.06,6.14,317.31
2023-12-21,33.23,6.32,304.43
2023-12-22,33.37,6.51,298.83
2023-12-26,33.5,6.72,286.91
2023-12-27,33.8,6.94,285.27
2023-12-28,34.51,7.15,282.99
2023-12-29,34.86,7.34,301.13
2024-01-02,34.66,7.47,306.74
2024-01-03,34.12,7.59,323.51
2024-01-04,33.59,7.7,348.41
2024-01-05,33.37,7.83,358.83
2024-01-08,33.59,8.0,314.24
2024-01-09,34.16,8.14,318.33
2024-01-10,35.01,8.3,292.19
2024-01-11,35.78,8.43,294.23
2024-01-12,36.16,8.5,286.89
2024-01-16,36.03,8.53,303.7
2024-01-17,36.12,8.55,333.25
2024-01-18,36.53,8.58,314.43
2024-01-19,36.99,8.64,272.92
2024-01-22,37.82,8.79,277.73
2024-01-23,38.57,8.91,267.04
2024-01-24,39.28,9.03,266.82
2024-01-25,39.96,9.15,264.3
2024-01-26,40.52,9.27,263.41
2024-01-29,40.85,9.42,244.2
2024-01-30,41.3,9.57,250.29
2024-01-31,41.37,9.69,286.51
2024-02-01,41.34,9.88,261.87
2024-02-02,41.5,10.14,239.48
2024-02-05,41.54,10.38,245.65
2024-02-06,41.54,10.55,240.08
2024-02-07,42.19,10.77,233.89
2024-02-08,42.79,10.97,238.77
2024-02-09,43.0,11.19,216.42
2024-02-12,43.48,11.41,224.26
2024-02-13,42.6,11.57,208.96
2024-02-14,41.43,11.81,188.19
2024-02-15,40.57,12.04,191.23
2024-02-16,40.09,12.18,206.7
2024-02-20,39.53,12.29,224.74
2024-02-21,40.32,12.39,223.69
2024-02-22,41.62,12.6,196.65
2024-02-23,42.65,12.77,202.47
2024-02-26,43.36,12.93,203.08
2024-02-27,43.93,13.07,198.31
2024-02-28,44.46,13.21,201.43
2024-02-29,44.52,13.44,196.48
2024-03-01,44.23,13.65,177.67
2024-03-04,43.89,13.82,171.56
2024-03-05,43.62,13.94,193.96
2024-03-06,43.27,14.08,179.93
2024-03-07,42.8,14.24,160.47
2024-03-08,42.85,14.36,183.49
2024-03-11,42.97,14.45,178.75
2024-03-12,43.28,14.6,169.03
2024-03-13,43.75,14.81,173.94
2024-03-14,43.87,14.96,165.74
2024-03-15,43.18,15.04,162.92
2024-03-18,43.19,15.18,168.7
2024-03-19,43.1,15.38,164.9
2024-03-20,43.4,15.6,166.4
2024-03-21,44.22,15.74,165.63
2024-03-22,45.46,15.85,171.74
2024-03-25,45.87,15.98,165.47
2024-03-26,46.14,16.07,169.67
2024-03-27,46.08,16.22,161.98
2024-03-28,45.75,16.34,158.09
2024-04-01,45.16,16.41,156.65
2024-04-02,44.51,16.45,154.83
2024-04-03,44.18,16.55,163.16
2024-04-04,43.5,16.56,178.38
2024-04-05,43.52,16.57,177.7
2024-04-08,43.9,16.61,179.59
2024-04-09,44.71,16.66,178.13
2024-04-10,45.14,16.61,194.84
2024-04-11,46.23,16.61,195.45
2024-04-12,45.9,16.54,196.15
2024-04-15,45.19,16.44,214.49
2024-04-16,44.14,16.3,207.32
2024-04-17,42.33,16.1,191.03
2024-04-18,39.81,15.85,186.81
2024-04-19,38.1,15.54,208.12
2024-04-22,36.85,15.29,191.44
2024-04-23,36.17,15.13,171.46
2024-04-24,36.81,14.97,191.23
2024-04-25,37.45,14.76,192.21
2024-04-26,38.01,14.6,165.27
2024-04-29,38.36,14.48,156.89
2024-04-30,37.95,14.3,173.18
2024-05-01,36.67,14.09,170.79
2024-05-02,35.83,13.99,157.32
2024-05-03,34.99,13.91,129.69
2024-05-06,34.45,13.88,121.28
2024-05-07,34.32,13.86,116.15
2024-05-08,34.48,13.89,113.71
2024-05-09,34.71,13.91,112.81
2024-05-10,35.37,14.01,120.71
2024-05-13,35.44,14.18,110.8
2024-05-14,35.43,14.39,98.79
2024-05-15,35.5,14.7,84.32
2024-05-16,35.66,15.01,95.64
2024-05-17,35.36,15.37,90.03
2024-05-20,35.68,15.7,96.77
2024-05-21,35.95,15.97,87.39
2024-05-22,35.97,16.23,84.5
2024-05-23,35.19,16.46,80.47
2024-05-24,35.06,16.69,86.57
2024-05-28,34.35,16.89,78.21
2024-05-29,33.24,17.15,68.55
2024-05-30,32.42,17.39,77.8
2024-05-31,32.32,17.64,74.86
2024-06-03,31.29,17.8,65.04
2024-06-04,30.77,17.92,70.31
2024-06-05,31.16,18.1,64.85
2024-06-06,31.4,18.27,62.87
2024-06-07,31.29,18.41,61.45
2024-06-10,31.78,18.56,63.05
2024-06-11,32.02,18.72,60.51
2024-06-12,32.45,18.9,63.58
2024-06-13,33.4,19.03,72.23
2024-06-14,34.34,19.17,68.76
2024-06-17,35.69,19.34,74.91
2024-06-18,36.87,19.53,68.33
2024-06-20,37.7,19.69,73.2
2024-06-21,38.05,19.85,74.14
2024-06-24,38.75,20.04,82.27
2024-06-25,38.77,20.2,76.69
2024-06-26,38.59,20.37,67.3
2024-06-27,38.4,20.59,67.98
2024-06-28,38.2,20.81,72.62
2024-07-01,37.39,20.98,64.9
2024-07-02,36.72,21.18,61.53
2024-07-03,36.45,21.4,58.95
2024-07-05,36.18,21.58,56.91
2024-07-08,35.85,21.76,53.63
2024-07-09,35.63,21.96,47.32
2024-07-10,35.91,22.18,53.19
2024-07-11,35.87,22.35,52.11
2024-07-12,36.07,22.5,55.34
