Date,rate_UNH_5D,rate_VOO_20D,Max_Divergence
2023-06-07,1.24,-4.37,85.29
2023-06-08,1.17,-4.18,153.33
2023-06-09,0.98,-3.98,191.46
2023-06-12,0.8,-3.72,281.08
2023-06-13,0.91,-3.45,1322.22
2023-06-14,0.05,-3.15,-23050.0
2023-06-15,-0.84,-2.83,-382.4
2023-06-16,-2.12,-2.58,-654.55
2023-06-20,-2.97,-2.35,-790.48
2023-06-21,-3.5,-2.14,-1191.67
2023-06-22,-2.8,-1.87,-570.83
2023-06-23,-2.39,-1.59,-196.08
2023-06-26,-1.64,-1.38,-22.83
2023-06-27,-1.16,-1.17,-370.59
2023-06-28,-1.25,-0.97,-1018.18
2023-06-29,-1.35,-0.73,-880.95
2023-06-30,-1.22,-0.49,-160.14
2023-07-03,-1.26,-0.31,-186.36
2023-07-05,-1.69,-0.13,-300.76
2023-07-06,-1.89,-0.0,-690.2
2023-07-07,-2.47,0.13,-1725.0
2023-07-10,-3.16,0.25,-888.89
2023-07-11,-3.75,0.39,-466.67
2023-07-12,-4.53,0.52,-434.87
2023-07-13,-5.39,0.66,-363.9
2023-07-14,-4.64,0.8,-130.86
2023-07-17,-3.8,0.89,-101.64
2023-07-18,-2.31,1.04,-16.8
2023-07-19,-0.22,1.22,-2.73
2023-07-20,2.05,1.39,19.94
2023-07-21,3.11,1.55,33.23
2023-07-24,4.11,1.76,29.74
2023-07-25,4.55,2.01,31.22
2023-07-26,4.72,2.21,15.98
2023-07-27,4.76,2.37,23.32
2023-07-28,4.62,2.58,-14.93
2023-07-31,4.52,2.74,-3.46
2023-08-01,4.26,2.88,-4.03
2023-08-02,4.11,2.95,43.46
2023-08-03,4.08,3.06,59.61
2023-08-04,4.06,3.14,77.18
2023-08-07,4.21,3.26,77.63
2023-08-08,4.3,3.34,71.76
2023-08-09,4.28,3.35,85.38
2023-08-10,4.29,3.32,90.78
2023-08-11,4.53,3.29,130.0
2023-08-14,4.53,3.26,109.13
2023-08-15,4.57,3.16,171.51
2023-08-16,4.63,3.01,249.59
2023-08-17,4.38,2.88,336.36
2023-08-18,4.11,2.75,387.5
2023-08-21,3.74,2.62,190.6
2023-08-22,3.34,2.46,172.45
2023-08-23,2.95,2.34,33.53
2023-08-24,2.79,2.21,156.79
2023-08-25,2.53,2.05,77.6
2023-08-28,2.35,1.9,49.11
2023-08-29,2.36,1.82,3.41
2023-08-30,2.42,1.83,-12.63
2023-08-31,2.11,1.84,-82.04
2023-09-01,1.76,1.89,-84.3
2023-09-05,1.47,1.87,-59.32
2023-09-06,1.0,1.84,-80.0
2023-09-07,0.87,1.82,7.3
2023-09-08,0.99,1.81,-41.88
2023-09-11,1.07,1.83,-66.93
2023-09-12,1.04,1.81,-53.23
2023-09-13,1.15,1.83,-56.34
2023-09-14,1.1,1.92,-43.29
2023-09-15,1.34,1.97,33.33
2023-09-18,1.61,2.03,18.38
2023-09-19,1.64,2.05,-34.55
2023-09-20,2.14,2.04,371.23
2023-09-21,2.86,1.91,708.05
2023-09-22,3.66,1.82,672.73
2023-09-25,4.65,1.72,1122.86
2023-09-26,5.67,1.53,389.67
2023-09-27,6.15,1.29,375.83
2023-09-28,6.51,1.05,470.83
2023-09-29,6.44,0.8,374.88
2023-10-02,6.58,0.55,473.93
2023-10-03,6.72,0.24,302.06
2023-10-04,6.97,0.01,362.22
2023-10-05,7.19,-0.22,396.04
2023-10-06,8.0,-0.4,704.24
2023-10-09,8.49,-0.58,1111.76
2023-10-10,9.09,-0.7,1994.23
2023-10-11,9.64,-0.82,9930.0
2023-10-12,10.02,-1.0,1566.67
2023-10-13,10.62,-1.15,1172.73
2023-10-16,11.1,-1.25,6784.21
2023-10-17,11.61,-1.34,6631.58
2023-10-18,12.1,-1.45,919.33
2023-10-19,12.35,-1.52,590.52
2023-10-20,11.84,-1.64,397.15
2023-10-23,11.16,-1.79,352.72
2023-10-24,10.68,-1.84,437.04
2023-10-25,10.44,-1.95,357.08
2023-10-26,10.3,-2.12,295.97
2023-10-27,10.21,-2.31,269.34
2023-10-30,10.55,-2.44,331.93
2023-10-31,10.99,-2.48,390.93
2023-11-01,11.01,-2.5,461.17
2023-11-02,11.28,-2.43,1028.46
2023-11-03,11.49,-2.36,2721.43
2023-11-06,11.59,-2.33,5113.04
2023-11-07,11.64,-2.3,24760.0
2023-11-08,11.85,-2.29,9284.62
2023-11-09,11.97,-2.28,2177.05
2023-11-10,12.39,-2.18,1341.76
2023-11-13,12.76,-2.13,1554.32
2023-11-14,12.87,-1.98,378.6
2023-11-15,12.94,-1.76,328.33
2023-11-16,12.98,-1.49,318.24
2023-11-17,12.77,-1.15,276.09
2023-11-20,12.47,-0.77,198.24
2023-11-21,12.43,-0.44,243.82
2023-11-22,12.65,-0.01,227.88
2023-11-24,12.95,0.47,240.38
2023-11-27,13.25,0.97,237.72
2023-11-28,13.47,1.41,214.29
2023-11-29,13.28,1.82,190.91
2023-11-30,13.66,2.2,248.21
2023-12-01,13.61,2.51,183.1
2023-12-04,13.74,2.76,220.63
2023-12-05,14.09,2.99,231.83
2023-12-06,14.63,3.19,262.84
2023-12-07,14.38,3.42,197.92
2023-12-08,14.49,3.72,179.16
2023-12-11,14.3,3.95,137.3
2023-12-12,14.12,4.22,124.07
2023-12-13,14.1,4.46,91.02
2023-12-14,13.52,4.71,44.92
2023-12-15,12.76,4.94,39.64
2023-12-18,12.06,5.2,18.27
2023-12-19,11.16,5.45,3.9
2023-12-20,9.8,5.61,9.44
2023-12-21,9.21,5.8,5.62
2023-12-22,8.76,6.0,3.51
2023-12-26,8.49,6.24,-2.41
2023-12-27,8.44,6.48,1.8
2023-12-28,8.81,6.72,6.5
2023-12-29,9.08,6.93,13.79
2024-01-02,9.82,7.07,56.92
2024-01-03,10.68,7.2,82.19
2024-01-04,11.57,7.31,101.64
2024-01-05,12.09,7.45,77.27
2024-01-08,12.51,7.63,43.1
2024-01-09,12.52,7.77,52.29
2024-01-10,12.39,7.93,38.54
2024-01-11,12.2,8.06,43.59
2024-01-12,11.57,8.12,1.93
2024-01-16,10.89,8.14,0.83
2024-01-17,10.36,8.15,23.12
2024-01-18,9.52,8.17,-9.46
2024-01-19,8.09,8.23,-46.38
2024-01-22,7.75,8.39,-29.53
2024-01-23,7.61,8.53,-26.92
2024-01-24,7.15,8.65,-31.81
2024-01-25,6.23,8.78,-70.77
2024-01-26,6.2,8.9,-53.1
2024-01-29,5.86,9.06,-53.97
2024-01-30,5.38,9.23,-55.24
2024-01-31,5.32,9.35,-31.12
2024-02-01,5.86,9.57,-47.64
2024-02-02,6.12,9.87,-47.33
2024-02-05,6.03,10.13,-57.61
2024-02-06,6.3,10.34,-46.24
2024-02-07,6.59,10.61,-36.64
2024-02-08,7.12,10.84,-35.98
2024-02-09,7.45,11.11,-41.53
2024-02-12,8.05,11.38,-42.11
2024-02-13,8.3,11.58,-36.14
2024-02-14,8.2,11.86,-40.95
2024-02-15,8.23,12.14,-38.42
2024-02-16,8.37,12.32,-34.79
2024-02-20,8.51,12.46,-32.52
2024-02-21,8.72,12.59,-31.64
2024-02-22,9.11,12.83,-35.95
2024-02-23,9.38,13.04,-35.19
2024-02-26,9.53,13.23,-36.03
2024-02-27,9.22,13.4,-52.76
2024-02-28,8.24,13.56,-72.65
2024-02-29,6.89,13.83,-79.59
2024-03-01,5.33,14.08,-85.94
2024-03-04,3.54,14.27,-95.28
2024-03-05,1.88,14.42,-106.66
2024-03-06,0.83,14.58,-107.17
2024-03-07,0.22,14.75,-99.17
2024-03-08,-0.31,14.89,-101.98
2024-03-11,-0.01,14.99,-86.02
2024-03-12,0.65,15.15,-86.71
2024-03-13,1.28,15.38,-88.21
2024-03-14,1.69,15.55,-86.86
2024-03-15,2.28,15.64,-83.84
2024-03-18,2.19,15.8,-89.17
2024-03-19,2.36,16.01,-82.12
2024-03-20,2.61,16.28,-82.12
2024-03-21,2.72,16.44,-85.25
2024-03-22,2.69,16.58,-86.68
2024-03-25,2.64,16.72,-91.23
2024-03-26,2.6,16.83,-83.56
2024-03-27,2.56,17.01,-83.59
2024-03-28,2.68,17.16,-81.81
2024-04-01,2.66,17.25,-87.21
2024-04-02,1.51,17.31,-123.77
2024-04-03,0.17,17.43,-121.74
2024-04-04,-1.39,17.45,-129.23
2024-04-05,-3.0,17.47,-126.73
2024-04-08,-4.38,17.53,-126.38
2024-04-09,-4.32,17.61,-121.82
2024-04-10,-4.72,17.56,-135.38
2024-04-11,-5.28,17.57,-143.59
2024-04-12,-5.96,17.51,-151.31
2024-04-15,-6.38,17.41,-147.26
2024-04-16,-6.01,17.27,-113.84
2024-04-17,-4.82,17.07,-99.03
2024-04-18,-2.71,16.8,-76.76
2024-04-19,-0.16,16.46,-61.53
2024-04-22,1.71,16.2,-79.86
2024-04-23,2.42,16.03,-88.98
2024-04-24,2.76,15.87,-87.32
2024-04-25,2.78,15.63,-77.24
2024-04-26,2.55,15.45,-76.87
2024-04-29,2.46,15.31,-85.86
2024-04-30,2.36,15.12,-91.96
2024-05-01,2.22,14.9,-91.14
2024-05-02,2.18,14.8,-79.11
2024-05-03,2.05,14.7,-81.68
2024-05-06,2.26,14.67,-80.59
2024-05-07,2.95,14.63,-72.8
2024-05-08,3.72,14.65,-70.08
2024-05-09,4.3,14.66,-66.74
2024-05-10,5.13,14.76,-60.31
2024-05-13,5.83,14.93,-61.58
2024-05-14,6.36,15.13,-60.32
2024-05-15,6.95,15.45,-59.3
2024-05-16,7.54,15.76,-54.86
2024-05-17,8.02,16.13,-51.72
2024-05-20,8.25,16.46,-59.8
2024-05-21,8.65,16.73,-53.88
2024-05-22,8.81,16.99,-55.4
2024-05-23,8.62,17.23,-58.29
2024-05-24,7.94,17.45,-69.09
2024-05-28,7.39,17.66,-73.98
2024-05-29,5.78,17.91,-93.62
2024-05-30,4.15,18.16,-96.84
2024-05-31,3.26,18.41,-82.13
2024-06-03,2.81,18.57,-80.04
2024-06-04,2.87,18.69,-71.5
2024-06-05,3.61,18.87,-75.86
2024-06-06,4.43,19.05,-77.0
2024-06-07,4.23,19.18,-88.22
2024-06-10,4.13,19.33,-84.16
2024-06-11,3.75,19.49,-83.17
2024-06-12,3.34,19.68,-86.86
2024-06-13,3.15,19.8,-83.09
2024-06-14,3.41,19.94,-83.3
2024-06-17,3.18,20.12,-91.0
2024-06-18,2.56,20.31,-98.29
2024-06-20,2.2,20.46,-95.19
2024-06-21,1.6,20.62,-96.85
2024-06-24,1.31,20.81,-90.09
2024-06-25,1.11,20.99,-95.18
2024-06-26,1.24,21.16,-95.59
2024-06-27,1.32,21.39,-93.53
2024-06-28,2.41,21.61,-72.46
2024-07-01,2.59,21.78,-85.94
2024-07-02,3.14,21.99,-83.26
2024-07-03,3.37,22.22,-90.83
2024-07-05,3.43,22.42,-92.7
2024-07-08,2.6,22.63,-91.6
2024-07-09,2.5,22.86,-89.33
2024-07-10,2.62,23.12,-82.81
2024-07-11,3.21,23.31,-79.21
2024-07-12,4.18,23.5,-74.07
2024-07-15,5.25,23.69,-71.39
2024-07-16,7.59,23.91,-46.22
2024-07-17,10.56,24.0,-22.28
2024-07-18,13.03,24.03,-26.94
2024-07-19,15.25,24.03,-23.52
2024-07-22,17.02,24.11,-33.21
2024-07-23,17.26,24.19,-35.9
2024-07-24,16.7,24.11,-22.59
2024-07-25,16.51,23.99,-20.45
2024-07-26,16.7,23.93,-15.78
