Date,rate_LRCX_5D,rate_VOO_20D,Max_Divergence
2022-11-04,-28.52,-15.93,-75.54
2022-11-07,-27.37,-15.69,-66.86
2022-11-08,-26.29,-15.4,-60.13
2022-11-09,-25.05,-15.19,-55.69
2022-11-10,-21.95,-14.86,-37.19
2022-11-11,-19.19,-14.39,-22.34
2022-11-14,-17.64,-14.06,-46.35
2022-11-15,-16.08,-13.74,-39.86
2022-11-16,-15.31,-13.43,-87.58
2022-11-17,-16.13,-13.09,-74.26
2022-11-18,-17.63,-12.84,-87.89
2022-11-21,-18.67,-12.64,-92.87
2022-11-22,-19.87,-12.46,-106.43
2022-11-23,-19.66,-12.22,-108.14
2022-11-25,-19.93,-11.96,-123.08
2022-11-28,-20.39,-11.86,-109.52
2022-11-29,-20.67,-11.75,-108.35
2022-11-30,-20.1,-11.5,-113.93
2022-12-01,-19.95,-11.13,-134.28
2022-12-02,-19.7,-10.73,-141.83
2022-12-05,-19.29,-10.46,-110.68
2022-12-06,-19.15,-10.29,-100.84
2022-12-07,-20.01,-10.16,-95.87
2022-12-08,-20.28,-9.91,-91.19
2022-12-09,-20.53,-9.91,-87.55
2022-12-12,-20.13,-9.89,-86.78
2022-12-13,-19.01,-9.8,-77.9
2022-12-14,-18.2,-9.78,-81.79
2022-12-15,-18.52,-9.83,-80.57
2022-12-16,-18.74,-9.92,-68.84
2022-12-19,-19.62,-10.07,-66.37
2022-12-20,-20.95,-10.22,-64.65
2022-12-21,-21.66,-10.36,-66.77
2022-12-22,-22.93,-10.59,-100.95
2022-12-23,-24.02,-10.79,-104.17
2022-12-27,-25.17,-10.94,-107.69
2022-12-28,-26.36,-11.14,-96.02
2022-12-29,-27.29,-11.39,-94.72
2022-12-30,-26.91,-11.67,-91.74
2023-01-03,-26.71,-11.94,-94.74
2023-01-04,-26.0,-12.1,-92.92
2023-01-05,-25.39,-12.25,-86.67
2023-01-06,-24.41,-12.29,-75.21
2023-01-09,-23.17,-12.37,-63.73
2023-01-10,-21.63,-12.39,-63.15
2023-01-11,-20.17,-12.41,-71.13
2023-01-12,-18.33,-12.45,-66.67
2023-01-13,-17.34,-12.45,-65.99
2023-01-17,-16.69,-12.34,-68.66
2023-01-18,-16.4,-12.26,-53.01
2023-01-19,-16.77,-12.16,-64.4
2023-01-20,-16.68,-11.98,-58.04
2023-01-23,-16.08,-11.8,-41.39
2023-01-24,-15.51,-11.57,-46.13
2023-01-25,-14.76,-11.36,-44.84
2023-01-26,-13.23,-11.09,-41.69
2023-01-27,-12.87,-10.75,-79.74
2023-01-30,-13.29,-10.54,-65.29
2023-01-31,-12.85,-10.26,-43.86
2023-02-01,-11.37,-9.92,13.65
2023-02-02,-9.84,-9.55,27.81
2023-02-03,-8.2,-9.18,6.6
2023-02-06,-6.69,-8.93,-7.28
2023-02-07,-5.57,-8.62,5.57
2023-02-08,-5.98,-8.39,-16.24
2023-02-09,-6.82,-8.25,-10.48
2023-02-10,-7.57,-8.12,-35.13
2023-02-13,-7.88,-7.96,-41.91
2023-02-14,-8.36,-7.79,-25.93
2023-02-15,-8.26,-7.54,-20.13
2023-02-16,-8.7,-7.31,-46.28
2023-02-17,-9.02,-7.16,-55.09
2023-02-21,-10.04,-7.15,-61.74
2023-02-22,-11.3,-7.13,-62.03
2023-02-23,-12.42,-7.1,-53.12
2023-02-24,-13.15,-7.15,-52.31
2023-02-27,-13.56,-7.2,-49.15
2023-02-28,-13.31,-7.21,-37.99
2023-03-01,-12.8,-7.29,-24.89
2023-03-02,-12.59,-7.4,-35.1
2023-03-03,-12.1,-7.51,-54.12
2023-03-06,-11.96,-7.56,-70.63
2023-03-07,-12.12,-7.66,-55.38
2023-03-08,-12.03,-7.8,-30.16
2023-03-09,-12.01,-7.97,-15.28
2023-03-10,-12.44,-8.17,-20.5
2023-03-13,-12.73,-8.39,-21.82
2023-03-14,-12.23,-8.58,-9.4
2023-03-15,-12.44,-8.8,-15.38
2023-03-16,-11.56,-8.95,20.09
2023-03-17,-10.53,-9.1,15.87
2023-03-20,-9.27,-9.21,17.98
2023-03-21,-8.8,-9.18,-6.44
2023-03-22,-8.13,-9.22,8.05
2023-03-23,-7.83,-9.28,38.18
2023-03-24,-8.05,-9.28,-4.38
2023-03-27,-8.67,-9.28,-18.37
2023-03-28,-9.45,-9.28,-36.98
2023-03-29,-9.11,-9.21,10.04
2023-03-30,-8.82,-9.15,41.06
2023-03-31,-7.82,-9.08,24.96
2023-04-03,-6.88,-8.99,-6.65
2023-04-04,-6.17,-8.86,-47.53
2023-04-05,-6.93,-8.75,-72.54
2023-04-06,-8.23,-8.54,-81.85
2023-04-10,-9.0,-8.27,-43.76
2023-04-11,-9.49,-8.0,-43.84
2023-04-12,-9.75,-7.81,-64.9
2023-04-13,-9.58,-7.53,-99.8
2023-04-14,-9.33,-7.34,-84.04
2023-04-17,-9.85,-7.08,-125.61
2023-04-18,-10.27,-6.86,-118.67
2023-04-19,-10.49,-6.7,-133.95
2023-04-20,-9.49,-6.49,5.78
2023-04-21,-8.92,-6.28,-26.23
2023-04-24,-8.15,-6.09,-38.8
2023-04-25,-8.0,-5.96,-51.94
2023-04-26,-7.78,-5.84,-50.15
2023-04-27,-8.04,-5.71,-21.95
2023-04-28,-7.8,-5.57,-20.18
2023-05-01,-7.45,-5.49,-19.96
2023-05-02,-6.64,-5.49,-4.74
2023-05-03,-6.01,-5.49,-15.63
2023-05-04,-6.22,-5.51,-10.88
2023-05-05,-6.0,-5.47,15.15
2023-05-08,-5.9,-5.43,4.31
2023-05-09,-6.11,-5.42,-24.0
2023-05-10,-5.66,-5.36,5.88
2023-05-11,-5.13,-5.37,8.8
2023-05-12,-5.22,-5.38,9.72
2023-05-15,-4.33,-5.39,91.67
2023-05-16,-2.82,-5.43,113.1
2023-05-17,-1.18,-5.42,174.56
2023-05-18,1.32,-5.33,311.51
2023-05-19,3.49,-5.26,257.63
2023-05-22,4.63,-5.18,242.25
2023-05-23,5.14,-5.1,167.92
2023-05-24,4.84,-5.04,134.66
2023-05-25,4.97,-5.01,277.66
2023-05-26,6.37,-4.96,473.85
2023-05-30,7.97,-4.9,485.8
2023-05-31,9.51,-4.83,376.52
2023-06-01,11.38,-4.67,476.92
2023-06-02,11.78,-4.42,746.87
2023-06-05,11.02,-4.25,615.64
2023-06-06,10.39,-4.07,737.74
2023-06-07,10.19,-3.9,620.42
2023-06-08,10.02,-3.71,886.47
2023-06-09,9.83,-3.5,900.0
2023-06-12,10.43,-3.25,4640.74
2023-06-13,10.8,-2.98,3052.63
2023-06-14,11.33,-2.67,2700.0
2023-06-15,11.51,-2.36,560.47
2023-06-16,11.68,-2.11,656.3
2023-06-20,11.32,-1.88,1073.03
2023-06-21,10.78,-1.67,2548.57
2023-06-22,10.5,-1.4,1478.87
2023-06-23,10.16,-1.12,24300.0
2023-06-26,10.37,-0.91,2604.44
2023-06-27,11.44,-0.7,2365.62
2023-06-28,12.53,-0.5,2028.99
2023-06-29,13.16,-0.26,2017.65
2023-06-30,14.19,-0.02,699.46
2023-07-03,15.08,0.16,687.0
2023-07-05,14.34,0.34,577.53
2023-07-06,13.56,0.46,1015.46
2023-07-07,12.74,0.6,1293.24
2023-07-10,12.17,0.71,1079.21
2023-07-11,11.12,0.86,537.58
2023-07-12,10.92,0.99,353.28
2023-07-13,11.5,1.13,320.55
2023-07-14,12.19,1.27,332.7
2023-07-17,13.29,1.36,392.92
2023-07-18,14.52,1.51,287.24
2023-07-19,15.11,1.69,208.39
2023-07-20,14.31,1.87,152.33
2023-07-21,13.79,2.02,187.86
2023-07-24,13.06,2.24,220.47
2023-07-25,12.87,2.49,245.18
2023-07-26,12.95,2.69,213.54
2023-07-27,15.96,2.85,520.55
2023-07-28,19.35,3.06,480.99
2023-07-31,22.12,3.22,451.7
2023-08-01,24.3,3.35,471.67
2023-08-02,25.72,3.44,507.08
2023-08-03,25.31,3.56,586.71
2023-08-04,24.13,3.67,660.96
2023-08-07,23.57,3.8,583.47
2023-08-08,22.95,3.88,610.24
2023-08-09,23.12,3.9,681.75
2023-08-10,23.04,3.88,672.66
2023-08-11,22.16,3.87,529.68
2023-08-14,21.16,3.85,513.31
2023-08-15,20.14,3.76,656.15
2023-08-16,19.14,3.63,791.75
2023-08-17,18.19,3.5,1164.03
2023-08-18,18.25,3.38,1148.28
2023-08-21,18.3,3.26,955.79
2023-08-22,18.56,3.12,1056.14
2023-08-23,19.32,3.01,767.9
2023-08-24,19.5,2.89,1109.15
2023-08-25,19.69,2.75,864.97
2023-08-28,19.62,2.62,717.84
2023-08-29,20.04,2.55,547.63
2023-08-30,20.24,2.56,504.1
2023-08-31,21.34,2.57,570.11
2023-09-01,22.23,2.61,543.01
2023-09-05,22.96,2.6,596.42
2023-09-06,23.11,2.57,721.38
2023-09-07,22.6,2.55,685.54
2023-09-08,21.46,2.54,596.56
2023-09-11,20.24,2.56,433.13
2023-09-12,18.68,2.53,470.59
2023-09-13,17.45,2.55,482.04
2023-09-14,16.77,2.64,336.49
2023-09-15,15.22,2.69,328.57
2023-09-18,14.27,2.75,393.36
2023-09-19,13.33,2.77,358.47
2023-09-20,11.97,2.76,585.92
2023-09-21,10.39,2.63,4240.0
2023-09-22,10.25,2.53,2322.73
2023-09-25,9.73,2.43,33566.67
2023-09-26,9.07,2.23,606.08
2023-09-27,8.89,1.99,707.53
2023-09-28,9.49,1.74,992.86
2023-09-29,9.75,1.49,846.31
2023-10-02,10.07,1.23,889.8
2023-10-03,10.45,0.93,438.99
2023-10-04,11.05,0.69,673.43
2023-10-05,10.94,0.46,599.07
2023-10-06,10.95,0.27,1201.98
2023-10-09,10.83,0.09,3169.44
2023-10-10,11.4,-0.04,8628.57
2023-10-11,11.72,-0.15,2308.93
2023-10-12,12.74,-0.34,52733.33
2023-10-13,13.33,-0.49,2660.0
2023-10-16,14.13,-0.59,3102.13
2023-10-17,14.67,-0.68,3008.33
2023-10-18,14.68,-0.8,1697.65
2023-10-19,12.84,-0.87,491.67
2023-10-20,11.29,-0.99,317.99
2023-10-23,9.51,-1.15,301.31
2023-10-24,7.91,-1.19,396.58
2023-10-25,5.86,-1.3,190.27
2023-10-26,5.28,-1.48,174.95
2023-10-27,4.71,-1.67,165.53
2023-10-30,4.15,-1.81,181.01
2023-10-31,3.6,-1.85,216.71
2023-11-01,4.39,-1.87,391.57
2023-11-02,5.67,-1.8,1541.43
2023-11-03,7.37,-1.74,6178.95
2023-11-06,9.25,-1.7,3263.16
2023-11-07,11.04,-1.67,1924.62
2023-11-08,12.44,-1.66,1853.42
2023-11-09,13.37,-1.66,147300.0
2023-11-10,15.15,-1.56,1269.08
2023-11-13,16.34,-1.51,1219.01
2023-11-14,18.19,-1.37,572.16
2023-11-15,19.93,-1.15,543.14
2023-11-16,21.67,-0.88,530.73
2023-11-17,22.19,-0.54,505.96
2023-11-20,23.77,-0.16,475.38
2023-11-21,24.2,0.18,464.22
2023-11-22,24.88,0.6,447.82
2023-11-24,25.47,1.09,441.27
2023-11-27,26.23,1.59,480.17
2023-11-28,25.99,2.04,430.9
2023-11-29,26.26,2.45,450.0
2023-11-30,26.24,2.83,412.7
2023-12-01,26.3,3.15,374.38
2023-12-04,25.84,3.39,387.48
2023-12-05,25.38,3.63,355.31
2023-12-06,24.75,3.83,383.26
2023-12-07,24.43,4.07,356.11
2023-12-08,23.89,4.36,315.25
2023-12-11,24.59,4.59,364.54
2023-12-12,25.57,4.84,324.39
2023-12-13,26.67,5.07,257.83
2023-12-14,28.04,5.31,283.43
2023-12-15,29.67,5.52,298.14
2023-12-18,30.33,5.76,268.21
2023-12-19,31.37,5.99,262.55
2023-12-20,31.65,6.14,296.14
2023-12-21,31.89,6.32,290.79
2023-12-22,32.09,6.51,286.0
2023-12-26,32.77,6.72,293.29
2023-12-27,33.14,6.94,285.27
2023-12-28,34.07,7.15,277.17
2023-12-29,34.23,7.34,277.79
2024-01-02,33.31,7.47,249.02
2024-01-03,31.61,7.59,253.65
2024-01-04,29.74,7.7,255.6
2024-01-05,28.05,7.83,252.17
2024-01-08,27.35,8.0,239.21
2024-01-09,27.49,8.14,238.28
2024-01-10,27.92,8.3,212.04
2024-01-11,28.88,8.43,232.21
2024-01-12,29.79,8.5,229.9
2024-01-16,29.92,8.53,244.06
2024-01-17,29.95,8.55,248.1
2024-01-18,31.16,8.58,277.55
2024-01-19,33.38,8.64,302.71
2024-01-22,35.86,8.79,306.26
2024-01-23,38.19,8.91,290.86
2024-01-24,41.39,9.03,315.31
2024-01-25,44.08,9.15,322.05
2024-01-26,44.5,9.27,285.05
2024-01-29,44.92,9.42,272.47
2024-01-30,45.15,9.57,262.64
2024-01-31,44.47,9.69,301.44
2024-02-01,43.27,9.88,268.24
2024-02-02,43.13,10.14,247.38
2024-02-05,43.13,10.38,271.91
2024-02-06,42.96,10.55,245.43
2024-02-07,43.48,10.77,240.63
2024-02-08,44.36,10.97,255.22
2024-02-09,46.33,11.19,288.12
2024-02-12,47.84,11.41,285.74
2024-02-13,49.34,11.57,312.16
2024-02-14,51.16,11.81,308.69
2024-02-15,52.5,12.04,286.45
2024-02-16,52.95,12.18,315.44
2024-02-20,52.72,12.29,303.22
2024-02-21,53.0,12.39,301.87
2024-02-22,53.86,12.6,287.62
2024-02-23,54.3,12.77,270.51
2024-02-26,54.68,12.93,290.62
2024-02-27,55.58,13.07,276.84
2024-02-28,56.18,13.21,272.35
2024-02-29,55.99,13.44,278.67
2024-03-01,57.42,13.65,296.33
2024-03-04,58.41,13.82,295.66
2024-03-05,59.2,13.94,310.09
2024-03-06,60.83,14.08,314.06
2024-03-07,62.38,14.24,298.65
2024-03-08,61.6,14.36,277.2
2024-03-11,60.13,14.45,253.36
2024-03-12,59.75,14.6,250.61
2024-03-13,58.0,14.81,230.09
2024-03-14,55.81,14.96,233.4
2024-03-15,54.33,15.04,231.4
2024-03-18,54.13,15.18,234.41
2024-03-19,53.5,15.38,229.79
2024-03-20,54.23,15.6,231.59
2024-03-21,56.09,15.74,256.64
2024-03-22,58.29,15.85,260.91
2024-03-25,59.8,15.98,259.84
2024-03-26,60.98,16.07,261.08
2024-03-27,61.52,16.22,243.37
2024-03-28,61.17,16.34,249.09
2024-04-01,61.08,16.41,261.03
2024-04-02,60.73,16.45,261.45
2024-04-03,60.87,16.55,270.29
2024-04-04,60.2,16.56,272.11
2024-04-05,59.89,16.57,264.87
2024-04-08,59.41,16.61,262.64
2024-04-09,59.61,16.66,265.56
2024-04-10,59.06,16.61,278.06
2024-04-11,60.1,16.61,281.99
2024-04-12,59.72,16.54,290.88
2024-04-15,59.04,16.44,316.72
2024-04-16,58.71,16.3,343.89
2024-04-17,57.1,16.1,301.35
2024-04-18,54.03,15.85,278.48
2024-04-19,51.21,15.54,282.01
2024-04-22,48.67,15.29,250.48
2024-04-23,46.2,15.13,237.91
2024-04-24,45.31,14.97,236.89
2024-04-25,45.72,14.76,269.01
2024-04-26,47.51,14.6,267.5
2024-04-29,49.49,14.48,261.58
2024-04-30,49.71,14.3,268.39
2024-05-01,49.02,14.09,245.15
2024-05-02,48.29,13.99,237.44
2024-05-03,47.57,13.91,233.02
2024-05-06,47.26,13.88,225.44
2024-05-07,47.75,13.86,212.59
2024-05-08,49.19,13.89,210.78
2024-05-09,49.96,13.91,193.17
2024-05-10,50.18,14.01,198.04
2024-05-13,49.51,14.18,187.0
2024-05-14,49.44,14.39,185.98
2024-05-15,50.54,14.7,194.47
2024-05-16,51.67,15.01,193.92
2024-05-17,51.56,15.37,164.87
2024-05-20,52.79,15.7,188.71
2024-05-21,54.43,15.97,202.19
2024-05-22,55.01,16.23,209.29
2024-05-23,55.5,16.46,217.47
2024-05-24,57.37,16.69,214.71
2024-05-28,58.3,16.89,213.63
2024-05-29,57.96,17.15,212.09
2024-05-30,57.47,17.39,223.83
2024-05-31,56.65,17.64,189.92
2024-06-03,55.36,17.8,190.71
2024-06-04,53.63,17.92,177.17
2024-06-05,54.03,18.1,197.5
2024-06-06,54.22,18.27,190.04
2024-06-07,55.01,18.41,192.74
2024-06-10,57.16,18.56,219.54
2024-06-11,59.61,18.72,212.65
2024-06-12,61.71,18.9,226.73
2024-06-13,64.14,19.03,224.01
2024-06-14,66.48,19.17,220.63
2024-06-17,68.67,19.34,232.62
2024-06-18,71.53,19.53,240.5
2024-06-20,72.28,19.69,225.32
2024-06-21,72.66,19.85,221.42
2024-06-24,72.29,20.04,207.14
2024-06-25,71.69,20.2,221.77
2024-06-26,70.61,20.37,222.1
2024-06-27,70.44,20.59,219.85
2024-06-28,70.9,20.81,237.72
2024-07-01,71.82,20.98,230.97
2024-07-02,72.16,21.18,229.3
2024-07-03,72.67,21.4,228.96
2024-07-05,73.32,21.58,223.66
2024-07-08,74.06,21.76,230.45
2024-07-09,75.46,21.96,235.37
2024-07-10,76.94,22.18,230.63
2024-07-11,76.32,22.35,203.58
2024-07-12,75.83,22.5,201.58
