Date,rate_HD,rate_HD_5D,rate_HD_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-02-18,-10.79,-10.032,-7.9915,-6.5,-5.204,-4.4704999999999995
2022-02-22,-18.4,-11.786,-8.5645,-7.48,-5.593999999999999,-4.5775
2022-02-23,-20.31,-14.006,-9.180499999999999,-9.06,-6.590000000000001,-4.714
2022-02-24,-19.13,-15.831999999999999,-9.719,-7.73,-7.340000000000001,-4.775
2022-02-25,-18.28,-17.381999999999998,-10.2055,-5.81,-7.316,-4.720000000000001
2022-02-28,-18.49,-18.921999999999997,-10.812999999999999,-6.04,-7.224000000000001,-4.774
2022-03-01,-16.85,-18.612000000000002,-11.343,-7.18,-7.164,-4.96
2022-03-02,-15.11,-17.572,-11.8155,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-15.84,-16.913999999999998,-12.381499999999999,-6.03,-6.128,-5.3025
2022-03-04,-15.87,-16.432,-12.8475,-6.74,-6.314,-5.439500000000001
2022-03-07,-16.23,-15.98,-13.273000000000001,-9.33,-6.9719999999999995,-5.726
2022-03-08,-17.73,-16.156,-13.747499999999999,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-17.61,-16.656,-14.265,-7.69,-7.954000000000001,-6.258
2022-03-10,-17.43,-16.973999999999997,-14.8085,-8.09,-8.366,-6.572
2022-03-11,-17.71,-17.342000000000002,-15.254499999999998,-9.21,-8.86,-6.8605
2022-03-14,-17.33,-17.562,-15.623999999999999,-9.84,-8.962,-7.0905000000000005
2022-03-15,-14.76,-16.967999999999996,-15.880500000000001,-7.92,-8.55,-7.210000000000001
2022-03-16,-14.16,-16.278,-16.128,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-12.79,-15.35,-16.267500000000002,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-11.68,-14.144,-16.325,-3.77,-6.45,-7.235000000000001
2022-03-21,-14.55,-13.588,-16.512999999999998,-3.77,-5.236,-7.0985
2022-03-22,-14.46,-13.528,-16.316,-2.68,-4.188,-6.858499999999999
2022-03-23,-17.66,-14.228,-16.1835,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-17.98,-15.266,-16.125999999999998,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-19.26,-16.782,-16.175,-2.35,-3.106,-6.182499999999999
2022-03-28,-18.35,-17.542,-16.168,-1.69,-2.69,-5.965000000000001
2022-03-29,-17.49,-18.148000000000003,-16.2,-0.48,-2.25,-5.63
2022-03-30,-19.82,-18.580000000000002,-16.4355,-1.09,-1.688,-5.4055
2022-03-31,-22.12,-19.408,-16.7495,-2.57,-1.636,-5.2325
2022-04-01,-20.85,-19.726,-16.9985,-2.24,-1.614,-5.0075
2022-04-04,-19.94,-20.044000000000004,-17.184,-1.45,-1.566,-4.6135
2022-04-05,-20.12,-20.57,-17.3035,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-21.72,-20.95,-17.509,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-20.66,-20.658,-17.670499999999997,-3.1,-2.596,-3.79
2022-04-08,-18.55,-20.198,-17.7125,-3.33,-2.814,-3.496
2022-04-11,-19.66,-20.142,-17.829,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-19.77,-20.072000000000003,-18.0795,-5.28,-4.044,-3.119
2022-04-13,-18.71,-19.470000000000002,-18.307,-4.23,-4.176,-3.0345
2022-04-14,-20.22,-19.381999999999998,-18.6785,-5.37,-4.630000000000001,-3.063
2022-04-18,-21.32,-19.936,-19.1605,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-19.38,-19.880000000000003,-19.402,-3.88,-4.822000000000001,-3.1475
2022-04-20,-17.5,-19.426,-19.554,-3.95,-4.556,-3.211
2022-04-21,-18.72,-19.428,-19.607000000000003,-5.34,-4.7780000000000005,-3.283
2022-04-22,-21.35,-19.654,-19.7755,-7.86,-5.276,-3.5345
2022-04-25,-20.11,-19.412,-19.818,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-21.39,-19.814,-19.97,-9.95,-6.894,-4.1985
2022-04-27,-20.97,-20.508,-20.144,-9.73,-8.05,-4.661
2022-04-28,-18.36,-20.436,-20.071,-7.52,-8.485999999999999,-4.9825
2022-04-29,-21.27,-20.419999999999998,-20.0285,-10.83,-9.08,-5.3955
2022-05-02,-19.03,-20.204,-19.9375,-9.99,-9.604,-5.7829999999999995
2022-05-03,-19.55,-19.836000000000002,-19.918,-9.62,-9.538,-6.1915
2022-05-04,-16.89,-19.020000000000003,-19.7565,-6.99,-8.99,-6.410000000000001
2022-05-05,-21.05,-19.558,-19.723,-10.13,-9.512,-6.7379999999999995
2022-05-06,-22.28,-19.76,-19.804000000000002,-10.67,-9.48,-7.1165
2022-05-09,-21.58,-20.270000000000003,-19.9555,-13.43,-10.168,-7.6215
2022-05-10,-23.11,-20.982,-20.128,-13.22,-10.888,-8.0355
2022-05-11,-25.24,-22.651999999999997,-20.401500000000002,-14.58,-12.406,-8.500499999999999
2022-05-12,-23.49,-23.139999999999997,-20.6405,-14.64,-13.308000000000002,-9.021
2022-05-13,-21.84,-23.052,-20.7215,-12.68,-13.709999999999999,-9.3865
2022-05-16,-21.85,-23.106,-20.747999999999998,-12.99,-13.622,-9.7685
2022-05-17,-20.56,-22.595999999999997,-20.807,-11.29,-13.236,-10.139
2022-05-18,-24.66,-22.48,-21.165,-14.71,-13.262,-10.677
2022-05-19,-23.99,-22.58,-21.4285,-15.27,-13.388,-11.1735
2022-05-20,-24.14,-23.04,-21.568,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-24.44,-23.558,-21.7845,-13.68,-14.040000000000001,-11.8585
2022-05-24,-23.95,-24.235999999999997,-21.9125,-14.29,-14.64,-12.075500000000002
2022-05-25,-22.48,-23.8,-21.988,-13.59,-14.416,-12.2685
2022-05-26,-20.08,-23.018,-22.073999999999998,-11.92,-13.745999999999999,-12.4885
2022-05-27,-18.61,-21.912,-21.941,-9.77,-12.65,-12.435500000000001
2022-05-31,-20.09,-21.042,-21.994,-10.26,-11.966,-12.449
2022-06-01,-20.94,-20.44,-22.063499999999998,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-18.71,-19.686,-22.154500000000002,-9.06,-10.34,-12.606
2022-06-03,-18.92,-19.454,-22.048000000000002,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-19.23,-19.578,-21.8955,-10.26,-10.154,-12.604
2022-06-07,-19.78,-19.516000000000002,-21.805500000000002,-9.4,-9.982,-12.4025
2022-06-08,-20.88,-19.503999999999998,-21.694,-10.37,-9.918000000000001,-12.26
2022-06-09,-20.28,-19.818,-21.445999999999998,-12.42,-10.59,-12.152
2022-06-10,-23.04,-20.642000000000003,-21.4235,-14.93,-11.475999999999999,-12.1665
2022-06-13,-24.62,-21.72,-21.5625,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-25.79,-22.922,-21.759500000000003,-18.32,-14.831999999999999,-12.705
2022-06-15,-25.51,-23.848000000000003,-22.007,-17.18,-16.194,-12.999500000000001
2022-06-16,-27.14,-25.220000000000002,-22.131,-19.83,-17.676,-13.255500000000001
2022-06-17,-27.85,-26.182,-22.324,-19.62,-18.614,-13.472999999999999
2022-06-21,-28.25,-26.907999999999998,-22.529500000000002,-17.71,-18.532,-13.596
2022-06-22,-28.31,-27.412,-22.723000000000003,-17.88,-18.444,-13.806000000000001
2022-06-23,-26.63,-27.636000000000003,-22.857000000000003,-17.04,-18.416,-13.9435
2022-06-24,-24.66,-27.139999999999997,-22.966,-14.53,-17.356,-13.9905
2022-06-27,-24.74,-26.518,-23.199,-14.84,-16.4,-14.136499999999998
2022-06-28,-28.0,-26.468,-23.6685,-16.63,-16.184,-14.479499999999998
2022-06-29,-27.03,-26.212,-24.0155,-16.92,-15.992,-14.8125
2022-06-30,-26.93,-26.272000000000002,-24.315,-17.56,-16.096,-15.156
2022-07-01,-24.99,-26.338,-24.628999999999998,-16.28,-16.446,-15.517
2022-07-05,-23.81,-26.151999999999997,-24.8735,-16.14,-16.706,-15.799000000000001
2022-07-06,-23.85,-25.322,-25.1045,-15.85,-16.55,-16.0785
2022-07-07,-23.03,-24.522,-25.267,-14.65,-16.096,-16.341
2022-07-08,-23.09,-23.754,-25.3775,-14.7,-15.524000000000001,-16.5575
2022-07-11,-23.11,-23.377999999999997,-25.519,-15.64,-15.395999999999997,-16.7185
2022-07-12,-23.44,-23.304000000000002,-25.538999999999998,-16.4,-15.447999999999999,-16.792
2022-07-13,-22.9,-23.113999999999997,-25.453,-16.77,-15.632,-16.7245
2022-07-14,-22.29,-22.966,-25.278,-16.99,-16.1,-16.658
2022-07-15,-21.52,-22.652,-25.0785,-15.46,-16.252000000000002,-16.572
2022-07-18,-21.35,-22.3,-24.788999999999998,-16.14,-16.352,-16.3875
2022-07-19,-19.57,-21.526,-24.375,-13.93,-15.857999999999999,-16.103
2022-07-20,-18.91,-20.728,-23.907999999999998,-13.4,-15.184000000000001,-15.8875
2022-07-21,-18.2,-19.91,-23.4025,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-17.78,-19.162,-22.96,-13.32,-13.868,-15.434999999999999
2022-07-25,-17.9,-18.472,-22.622,-13.24,-13.288,-15.370499999999998
2022-07-26,-20.0,-18.558,-22.384999999999998,-14.25,-13.352,-15.341
2022-07-27,-19.81,-18.738,-21.9755,-12.07,-13.086000000000002,-15.113
2022-07-28,-19.62,-19.022,-21.605,-10.99,-12.774,-14.8165
2022-07-29,-19.27,-19.32,-21.222,-9.72,-12.053999999999998,-14.4245
2022-08-01,-17.51,-19.241999999999997,-20.848000000000003,-9.72,-11.350000000000001,-14.0965
2022-08-02,-18.52,-18.946,-20.5835,-10.15,-10.53,-13.797
2022-08-03,-17.41,-18.466,-20.261499999999998,-9.12,-9.94,-13.460500000000001
2022-08-04,-17.25,-17.992,-19.9725,-9.18,-9.578,-13.187000000000001
2022-08-05,-16.75,-17.488,-19.655499999999996,-9.31,-9.496,-12.9175
2022-08-08,-16.3,-17.246000000000002,-19.315,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-17.52,-17.046,-19.019,-9.62,-9.319999999999999,-12.265
2022-08-10,-16.37,-16.838,-18.6925,-8.33,-9.162,-11.843
2022-08-11,-16.54,-16.695999999999998,-18.405,-8.33,-8.992,-11.41
2022-08-12,-15.78,-16.502,-18.118000000000002,-7.26,-8.581999999999999,-11.0
2022-08-15,-15.83,-16.407999999999998,-17.842000000000002,-6.98,-8.104000000000001,-10.542
2022-08-16,-13.58,-15.62,-17.542499999999997,-6.87,-7.554,-10.189
2022-08-17,-13.87,-15.12,-17.2905,-7.3,-7.348000000000001,-9.884
2022-08-18,-13.96,-14.604000000000003,-17.0785,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-14.65,-14.378,-16.922,-7.96,-7.244,-9.344
2022-08-22,-16.25,-14.462,-16.8395,-9.24,-7.696,-9.144
2022-08-23,-17.19,-15.184000000000001,-16.699,-9.38,-8.198,-8.9005
2022-08-24,-16.97,-15.803999999999998,-16.557,-9.2,-8.578,-8.757
2022-08-25,-16.68,-16.348000000000003,-16.41,-8.33,-8.822,-8.623999999999999
2022-08-26,-18.74,-17.166,-16.3835,-10.4,-9.31,-8.658
2022-08-29,-19.06,-17.728,-16.461,-10.79,-9.620000000000001,-8.7115
2022-08-30,-19.64,-18.218,-16.517,-11.42,-10.028,-8.774999999999999
2022-08-31,-20.49,-18.922,-16.671,-11.87,-10.562,-8.9125
2022-09-01,-19.09,-19.404,-16.762999999999998,-11.4,-11.175999999999998,-9.0235
2022-09-02,-19.35,-19.526,-16.893,-11.98,-11.492,-9.157
2022-09-06,-19.76,-19.666,-17.066,-12.17,-11.768,-9.297
2022-09-07,-17.97,-19.332,-17.0885,-10.9,-11.664,-9.361
2022-09-08,-17.37,-18.708000000000002,-17.1385,-10.38,-11.366,-9.4635
2022-09-09,-17.4,-18.369999999999997,-17.1815,-9.13,-10.912,-9.503499999999999
2022-09-12,-17.95,-18.09,-17.29,-8.23,-10.162,-9.552
2022-09-13,-23.04,-18.746,-17.6505,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-23.45,-19.842,-18.144,-11.7,-10.290000000000001,-10.045
2022-09-15,-24.7,-21.308,-18.685499999999998,-12.63,-10.74,-10.311499999999999
2022-09-16,-23.55,-22.538,-19.165,-13.28,-11.57,-10.620000000000001
2022-09-19,-22.4,-23.428,-19.5525,-12.65,-12.453999999999999,-10.8545
2022-09-20,-24.06,-23.631999999999998,-19.942999999999998,-13.61,-12.774,-11.073
2022-09-21,-24.75,-23.892000000000003,-20.320999999999998,-15.08,-13.45,-11.358
2022-09-22,-25.4,-24.032,-20.7425,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-24.92,-24.306,-21.154500000000002,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-26.08,-25.041999999999998,-21.5215,-17.92,-15.906,-12.503499999999999
2022-09-27,-25.51,-25.332,-21.844,-18.14,-16.812,-12.871
2022-09-28,-21.87,-24.756,-21.9555,-16.92,-17.18,-13.146
2022-09-29,-22.91,-24.258000000000003,-22.0765,-18.62,-17.748,-13.483500000000001
2022-09-30,-23.56,-23.986,-22.3,-19.84,-18.288,-13.905499999999998
2022-10-03,-20.93,-22.956,-22.378999999999998,-17.32,-18.168,-14.172500000000003
2022-10-04,-19.35,-21.724,-22.3585,-14.89,-17.518,-14.3085
2022-10-05,-19.27,-21.204,-22.423499999999997,-15.03,-17.14,-14.515
2022-10-06,-19.13,-20.448,-22.511499999999998,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-20.76,-19.888,-22.679499999999997,-18.18,-16.264,-15.243500000000001
2022-10-10,-21.26,-19.954,-22.845000000000002,-18.77,-16.554,-15.770500000000002
2022-10-11,-21.15,-20.314,-22.7505,-19.3,-17.436,-16.135
2022-10-12,-21.79,-20.818,-22.6675,-19.54,-18.338,-16.526999999999997
2022-10-13,-21.16,-21.224,-22.4905,-17.48,-18.654,-16.7695
2022-10-14,-22.91,-21.654,-22.4585,-19.3,-18.878,-17.070500000000003
2022-10-17,-21.59,-21.72,-22.418,-17.29,-18.582,-17.3025
2022-10-18,-20.56,-21.601999999999997,-22.243000000000002,-16.34,-17.99,-17.439
2022-10-19,-23.16,-21.876,-22.163500000000003,-16.91,-17.464,-17.530499999999996
2022-10-20,-24.81,-22.606,-22.134,-17.57,-17.482,-17.619999999999997
2022-10-21,-23.15,-22.654,-22.045499999999997,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-21.05,-22.546,-21.794,-14.63,-16.216,-17.380000000000003
2022-10-25,-19.14,-22.261999999999997,-21.4755,-13.27,-15.602,-17.1365
2022-10-26,-19.17,-21.464,-21.3405,-13.9,-15.0,-16.9855
2022-10-27,-18.92,-20.285999999999998,-21.141000000000002,-14.35,-14.356,-16.772
2022-10-28,-16.85,-19.026000000000003,-20.805500000000002,-12.4,-13.709999999999999,-16.4
2022-10-31,-17.54,-18.324,-20.636000000000003,-12.98,-13.38,-16.183
2022-11-01,-17.13,-17.922000000000004,-20.525,-13.0,-13.325999999999999,-16.0885
2022-11-02,-19.08,-17.904000000000003,-20.5155,-15.11,-13.568000000000001,-16.0925
2022-11-03,-21.0,-18.32,-20.609,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-20.33,-19.016,-20.5875,-14.8,-14.372,-15.927000000000001
2022-11-07,-18.67,-19.242,-20.458,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-18.43,-19.502000000000002,-20.322,-13.57,-14.696000000000002,-15.4035
2022-11-09,-19.63,-19.612000000000002,-20.214,-15.28,-14.73,-15.1905
2022-11-10,-12.84,-17.98,-19.798000000000002,-10.81,-13.697999999999999,-14.857
2022-11-11,-11.95,-16.304,-19.25,-9.98,-12.734,-14.391
2022-11-14,-14.14,-15.398,-18.8775,-10.68,-12.064,-14.060500000000001
2022-11-15,-12.76,-14.264,-18.4875,-9.96,-11.342,-13.741499999999998
2022-11-16,-11.94,-12.726,-17.926499999999997,-10.63,-10.412,-13.4275
2022-11-17,-12.89,-12.736,-17.330499999999997,-10.88,-10.426,-13.093
2022-11-18,-12.41,-12.828,-16.7935,-10.49,-10.528,-12.836000000000002
2022-11-21,-11.42,-12.284,-16.312,-10.8,-10.552000000000001,-12.6445
2022-11-22,-9.19,-11.569999999999999,-15.8145,-9.64,-10.488000000000001,-12.463
2022-11-23,-10.12,-11.206,-15.362,-9.09,-10.180000000000001,-12.2225
2022-11-25,-8.78,-10.384,-14.854999999999999,-9.1,-9.824,-11.96
2022-11-28,-10.83,-10.068000000000001,-14.553999999999998,-10.5,-9.825999999999999,-11.865
2022-11-29,-11.52,-10.088,-14.253,-10.66,-9.798,-11.749
2022-11-30,-9.65,-10.180000000000001,-13.879,-7.97,-9.464,-11.4975
2022-12-01,-8.71,-9.898,-13.360499999999998,-7.76,-9.198,-11.129999999999999
2022-12-02,-8.5,-9.841999999999999,-12.7355,-7.89,-8.956,-10.725999999999999
2022-12-05,-10.31,-9.738,-12.2345,-9.46,-8.748000000000001,-10.459
2022-12-06,-10.98,-9.63,-11.85,-10.72,-8.76,-10.2935
2022-12-07,-10.29,-9.758,-11.443,-10.89,-9.344,-10.1595
2022-12-08,-9.29,-9.873999999999999,-10.926,-10.21,-9.834,-9.906000000000002
2022-12-09,-10.21,-10.216000000000001,-10.7945,-10.84,-10.424000000000001,-9.9075
2022-12-12,-8.31,-9.815999999999999,-10.6125,-9.61,-10.454,-9.889
2022-12-13,-7.2,-9.059999999999999,-10.2655,-8.96,-10.102,-9.803
2022-12-14,-7.07,-8.416,-9.981,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-8.4,-8.238,-9.804,-11.68,-10.118,-9.8325
2022-12-16,-9.36,-8.068000000000001,-9.6275,-12.71,-10.492,-9.924
2022-12-19,-10.72,-8.55,-9.543,-13.44,-11.258,-10.0715
2022-12-20,-11.35,-9.38,-9.5395,-13.72,-12.209999999999999,-10.2175
2022-12-21,-10.21,-10.008000000000001,-9.5905,-12.46,-12.802000000000001,-10.3585
2022-12-22,-11.03,-10.533999999999999,-9.636,-13.66,-13.197999999999999,-10.587
2022-12-23,-10.37,-10.736,-9.7155,-13.19,-13.294,-10.7915
2022-12-27,-10.17,-10.626,-9.682500000000001,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-11.13,-10.582,-9.663,-14.56,-13.478,-11.1375
2022-12-29,-9.95,-10.530000000000001,-9.678,-13.08,-13.602,-11.392999999999999
2022-12-30,-11.09,-10.542,-9.797,-13.31,-13.532,-11.6705
2023-01-03,-10.82,-10.632000000000001,-9.913,-13.32,-13.558000000000002,-11.942
2023-01-04,-9.82,-10.562000000000001,-9.888499999999999,-12.72,-13.398000000000001,-12.105
2023-01-05,-10.98,-10.532,-9.8885,-13.65,-13.216,-12.2515
2023-01-06,-10.41,-10.623999999999999,-9.8945,-11.74,-12.948000000000002,-12.294
2023-01-09,-10.33,-10.472,-9.9465,-11.8,-12.646,-12.3735
2023-01-10,-9.55,-10.218,-9.9135,-11.18,-12.218,-12.3905
2023-01-11,-7.21,-9.696000000000002,-9.858500000000001,-10.08,-11.690000000000001,-12.414
2023-01-12,-6.97,-8.894,-9.847,-9.75,-10.91,-12.4535
2023-01-13,-6.59,-8.129999999999999,-9.823,-9.41,-10.444,-12.449
2023-01-17,-7.62,-7.588000000000001,-9.784,-9.54,-9.992,-12.342
2023-01-18,-8.69,-7.4159999999999995,-9.7505,-10.98,-9.952,-12.255500000000001
2023-01-19,-12.26,-8.426,-9.8275,-11.6,-10.256,-12.1635
2023-01-20,-11.12,-9.256,-9.815999999999999,-10.01,-10.308,-11.978
2023-01-23,-10.98,-10.134,-9.8545,-8.94,-10.213999999999999,-11.802
2023-01-24,-10.37,-10.684000000000001,-9.8215,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-10.49,-11.044,-9.8275,-9.01,-9.72,-11.362
2023-01-26,-11.45,-10.882,-9.891499999999999,-8.06,-9.012,-11.089
2023-01-27,-10.64,-10.786,-9.867,-7.8,-8.57,-10.751
2023-01-30,-11.33,-10.856,-9.936,-8.93,-8.568,-10.5435
2023-01-31,-8.56,-10.494,-9.8095,-7.66,-8.291999999999998,-10.261
2023-02-01,-7.3,-9.856,-9.633500000000002,-6.52,-7.794,-9.921
2023-02-02,-4.11,-8.388,-9.348,-5.25,-7.231999999999999,-9.5475
2023-02-03,-6.37,-7.534000000000001,-9.1175,-6.21,-6.914,-9.175500000000001
2023-02-06,-6.97,-6.662000000000001,-8.9455,-6.73,-6.473999999999999,-8.925
2023-02-07,-8.09,-6.5680000000000005,-8.833499999999999,-5.74,-6.09,-8.622
2023-02-08,-9.31,-6.970000000000001,-8.8215,-6.59,-6.104,-8.3925
2023-02-09,-10.75,-8.298,-8.9985,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-10.48,-9.120000000000001,-9.174,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-8.56,-9.437999999999999,-9.272499999999999,-6.18,-6.564,-7.955
2023-02-14,-9.98,-9.815999999999999,-9.3905,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-9.35,-9.824,-9.4235,-5.96,-6.531999999999999,-7.5375
2023-02-16,-9.19,-9.512,-9.27,-6.98,-6.478,-7.3065
2023-02-17,-10.11,-9.437999999999999,-9.2195,-7.17,-6.5,-7.164500000000001
2023-02-21,-16.36,-10.998,-9.4885,-8.6,-6.984,-7.147500000000001
2023-02-22,-16.14,-12.229999999999999,-9.777,-8.69,-7.4799999999999995,-7.13
2023-02-23,-15.3,-13.419999999999998,-10.0175,-8.34,-7.956,-7.096500000000001
2023-02-24,-16.04,-14.790000000000001,-10.247,-9.1,-8.379999999999999,-7.1485
2023-02-27,-16.22,-16.012,-10.526,-8.85,-8.716,-7.2010000000000005
2023-02-28,-16.07,-15.954000000000002,-10.763,-9.16,-8.828,-7.2125
2023-03-01,-17.28,-16.182,-11.199000000000002,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-16.67,-16.456,-11.6675,-8.66,-9.001999999999999,-7.3985
2023-03-03,-15.19,-16.286,-12.2215,-7.41,-8.663999999999998,-7.5065
2023-03-06,-15.26,-16.094,-12.666,-7.32,-8.358,-7.561999999999999
2023-03-07,-17.35,-16.35,-13.184999999999999,-8.65,-8.256,-7.6579999999999995
2023-03-08,-17.13,-16.32,-13.637,-8.52,-8.112,-7.797
2023-03-09,-18.1,-16.606,-14.0765,-10.08,-8.396,-7.971499999999999
2023-03-10,-18.57,-17.282,-14.467500000000001,-11.27,-9.168000000000001,-8.1725
2023-03-13,-18.51,-17.932000000000002,-14.869,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-18.78,-18.218,-15.379999999999999,-10.0,-10.256,-8.581
2023-03-15,-18.1,-18.412,-15.786000000000001,-10.53,-10.658,-8.797
2023-03-16,-18.45,-18.482000000000003,-16.241,-9.06,-10.453999999999999,-8.952
2023-03-17,-17.98,-18.364,-16.680500000000002,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-17.74,-18.21,-17.062,-9.23,-9.768,-9.206999999999999
2023-03-21,-17.69,-17.991999999999997,-17.128500000000003,-8.08,-9.384,-9.181000000000001
2023-03-22,-19.61,-18.294,-17.302,-9.56,-9.190000000000001,-9.2245
2023-03-23,-19.24,-18.451999999999998,-17.499000000000002,-9.35,-9.248000000000001,-9.275
2023-03-24,-19.49,-18.753999999999998,-17.6715,-9.13,-9.069999999999999,-9.2765
2023-03-27,-19.98,-19.201999999999998,-17.8595,-8.98,-9.02,-9.283
2023-03-28,-20.11,-19.686,-18.061500000000002,-9.14,-9.232000000000001,-9.282
2023-03-29,-19.4,-19.644,-18.1675,-7.87,-8.894,-9.2135
2023-03-30,-18.84,-19.564,-18.276,-7.33,-8.49,-9.147
2023-03-31,-16.09,-18.883999999999997,-18.321,-6.05,-7.8740000000000006,-9.079
2023-04-03,-15.03,-17.894,-18.3095,-5.56,-7.19,-8.991000000000001
2023-04-04,-15.8,-17.032,-18.232,-6.08,-6.578,-8.8625
2023-04-05,-17.54,-16.66,-18.2525,-6.3,-6.264,-8.7515
2023-04-06,-17.56,-16.404,-18.225500000000004,-5.95,-5.988,-8.545
2023-04-10,-16.85,-16.556,-18.139499999999998,-5.85,-5.9479999999999995,-8.274
2023-04-11,-16.12,-16.774,-18.02,-5.84,-6.004,-7.9955
2023-04-12,-17.05,-17.023999999999997,-17.933500000000002,-6.21,-6.029999999999999,-7.806
2023-04-13,-16.57,-16.830000000000002,-17.857,-5.01,-5.772,-7.529999999999999
2023-04-14,-16.56,-16.630000000000003,-17.7625,-5.2,-5.622,-7.337000000000001
2023-04-17,-15.66,-16.392000000000003,-17.6465,-4.88,-5.428,-7.08
2023-04-18,-14.67,-16.102,-17.493,-4.82,-5.224,-6.8595
2023-04-19,-15.24,-15.74,-17.3705,-4.83,-4.948,-6.697
2023-04-20,-14.77,-15.379999999999999,-17.1285,-5.36,-5.018000000000001,-6.487
2023-04-21,-14.36,-14.940000000000001,-16.8845,-5.3,-5.037999999999999,-6.2845
2023-04-24,-13.91,-14.59,-16.6055,-5.18,-5.098000000000001,-6.087
