Date,rate_PYPL_5D,rate_PYPL_20D,rate_VOO_5D,rate_VOO_20D
2022-03-31,-31.404000000000003,-36.3825,-1.636,-5.2325
2022-04-01,-30.880000000000003,-35.844,-1.614,-5.0075
2022-04-04,-30.054000000000002,-34.989999999999995,-1.566,-4.6135
2022-04-05,-30.294,-34.294,-1.9939999999999998,-4.2455
2022-04-06,-30.818,-33.897,-2.4899999999999998,-4.0395
2022-04-07,-30.948,-33.437,-2.596,-3.79
2022-04-08,-31.595999999999997,-32.974000000000004,-2.814,-3.496
2022-04-11,-32.986,-32.5595,-3.5120000000000005,-3.2510000000000003
2022-04-12,-34.074,-32.294,-4.044,-3.119
2022-04-13,-34.926,-32.333,-4.176,-3.0345
2022-04-14,-36.176,-32.5775,-4.630000000000001,-3.063
2022-04-18,-37.416,-33.063,-5.034000000000001,-3.1420000000000003
2022-04-19,-38.134,-33.3395,-4.822000000000001,-3.1475
2022-04-20,-39.7,-33.967,-4.556,-3.211
2022-04-21,-41.554,-34.6635,-4.7780000000000005,-3.283
2022-04-22,-43.470000000000006,-35.4995,-5.276,-3.5345
2022-04-25,-44.978,-36.217499999999994,-5.680000000000001,-3.7855000000000003
2022-04-26,-47.327999999999996,-37.1255,-6.894,-4.1985
2022-04-27,-48.775999999999996,-38.211,-8.05,-4.661
2022-04-28,-48.458000000000006,-38.939,-8.485999999999999,-4.9825
2022-04-29,-48.234,-39.707,-9.08,-5.3955
2022-05-02,-47.532,-40.3805,-9.604,-5.7829999999999995
2022-05-03,-46.448,-41.224000000000004,-9.538,-6.1915
2022-05-04,-44.996,-41.8865,-8.99,-6.410000000000001
2022-05-05,-45.524,-42.615500000000004,-9.512,-6.7379999999999995
2022-05-06,-46.004,-43.471000000000004,-9.48,-7.1165
2022-05-09,-47.422000000000004,-44.337,-10.168,-7.6215
2022-05-10,-48.836,-45.1865,-10.888,-8.0355
2022-05-11,-50.918,-46.0975,-12.406,-8.500499999999999
2022-05-12,-52.24400000000001,-46.945,-13.308000000000002,-9.021
2022-05-13,-52.581999999999994,-47.572500000000005,-13.709999999999999,-9.3865
2022-05-16,-52.80799999999999,-48.185,-13.622,-9.7685
2022-05-17,-52.686,-48.8245,-13.236,-10.139
2022-05-18,-52.446000000000005,-49.284,-13.262,-10.677
2022-05-19,-51.602,-49.45700000000001,-13.388,-11.1735
2022-05-20,-51.39399999999999,-49.5535,-13.901999999999997,-11.543000000000001
2022-05-23,-50.965999999999994,-49.682,-14.040000000000001,-11.8585
2022-05-24,-51.102000000000004,-49.768,-14.64,-12.075500000000002
2022-05-25,-50.745999999999995,-49.7765,-14.416,-12.2685
2022-05-26,-50.852000000000004,-50.0555,-13.745999999999999,-12.4885
2022-05-27,-50.284,-50.066,-12.65,-12.435500000000001
2022-05-31,-49.794000000000004,-50.247499999999995,-11.966,-12.449
2022-06-01,-49.052,-50.419,-11.245999999999999,-12.502500000000001
2022-06-02,-47.778000000000006,-50.472,-10.34,-12.606
2022-06-03,-46.760000000000005,-50.3645,-10.056000000000001,-12.624500000000001
2022-06-06,-46.292,-50.138,-10.154,-12.604
2022-06-07,-45.6,-49.791999999999994,-9.982,-12.4025
2022-06-08,-44.986000000000004,-49.4565,-9.918000000000001,-12.26
2022-06-09,-45.507999999999996,-49.1195,-10.59,-12.152
2022-06-10,-46.412,-48.90650000000001,-11.475999999999999,-12.1665
2022-06-13,-48.046,-49.004,-13.048000000000002,-12.438500000000001
2022-06-14,-50.062,-49.1055,-14.831999999999999,-12.705
2022-06-15,-51.522000000000006,-49.165499999999994,-16.194,-12.999500000000001
2022-06-16,-53.13199999999999,-49.291000000000004,-17.676,-13.255500000000001
2022-06-17,-53.932,-49.489000000000004,-18.614,-13.472999999999999
2022-06-21,-54.102,-49.681,-18.532,-13.596
2022-06-22,-54.038,-49.87349999999999,-18.444,-13.806000000000001
2022-06-23,-54.29,-49.9625,-18.416,-13.9435
2022-06-24,-53.484,-49.9755,-17.356,-13.9905
2022-06-27,-53.104000000000006,-50.052,-16.4,-14.136499999999998
2022-06-28,-53.172000000000004,-50.403,-16.184,-14.479499999999998
2022-06-29,-53.36,-50.765,-15.992,-14.8125
2022-06-30,-53.855999999999995,-51.1635,-16.096,-15.156
2022-07-01,-54.34400000000001,-51.617,-16.446,-15.517
2022-07-05,-54.248000000000005,-51.924,-16.706,-15.799000000000001
2022-07-06,-53.784000000000006,-52.275999999999996,-16.55,-16.0785
2022-07-07,-53.04600000000001,-52.6265,-16.096,-16.341
2022-07-08,-52.31,-52.9945,-15.524000000000001,-16.5575
2022-07-11,-52.443999999999996,-53.351,-15.395999999999997,-16.7185
2022-07-12,-52.822,-53.5265,-15.447999999999999,-16.792
2022-07-13,-53.062,-53.53000000000001,-15.632,-16.7245
2022-07-14,-53.766,-53.552499999999995,-16.1,-16.658
2022-07-15,-53.702,-53.5395,-16.252000000000002,-16.572
2022-07-18,-53.23199999999999,-53.376,-16.352,-16.3875
2022-07-19,-52.42,-53.1485,-15.857999999999999,-16.103
2022-07-20,-51.278,-52.824,-15.184000000000001,-15.8875
2022-07-21,-49.58,-52.438,-14.296000000000001,-15.620999999999999
2022-07-22,-48.66199999999999,-52.13249999999999,-13.868,-15.434999999999999
2022-07-25,-47.696,-51.928999999999995,-13.288,-15.370499999999998
2022-07-26,-47.785999999999994,-51.818999999999996,-13.352,-15.341
2022-07-27,-46.992,-51.278999999999996,-13.086000000000002,-15.113
2022-07-28,-46.592,-50.745999999999995,-12.774,-14.8165
2022-07-29,-45.888,-50.140499999999996,-12.053999999999998,-14.4245
2022-08-01,-44.773999999999994,-49.5365,-11.350000000000001,-14.0965
2022-08-02,-42.964,-48.998,-10.53,-13.797
2022-08-03,-41.558,-48.2225,-9.94,-13.460500000000001
2022-08-04,-40.17,-47.527,-9.578,-13.187000000000001
2022-08-05,-39.03,-46.8205,-9.496,-12.9175
2022-08-08,-38.284000000000006,-45.9965,-9.425999999999998,-12.604000000000001
2022-08-09,-37.8,-45.24249999999999,-9.319999999999999,-12.265
2022-08-10,-37.726,-44.3885,-9.162,-11.843
2022-08-11,-37.544,-43.4715,-8.992,-11.41
2022-08-12,-37.022000000000006,-42.6505,-8.581999999999999,-11.0
2022-08-15,-36.556,-41.8275,-8.104000000000001,-10.542
2022-08-16,-35.884,-41.10850000000001,-7.554,-10.189
2022-08-17,-35.832,-40.527,-7.348000000000001,-9.884
2022-08-18,-35.760000000000005,-40.0165,-7.104000000000001,-9.611999999999998
2022-08-19,-36.148,-39.522,-7.244,-9.344
2022-08-22,-36.826,-39.11,-7.696,-9.144
2022-08-23,-37.583999999999996,-38.558,-8.198,-8.9005
2022-08-24,-38.065999999999995,-38.2955,-8.578,-8.757
2022-08-25,-38.33,-37.951,-8.822,-8.623999999999999
2022-08-26,-38.660000000000004,-37.715,-9.31,-8.658
2022-08-29,-38.739999999999995,-37.6015,-9.620000000000001,-8.7115
2022-08-30,-38.862,-37.532500000000006,-10.028,-8.774999999999999
2022-08-31,-38.89,-37.6285,-10.562,-8.9125
2022-09-01,-39.04,-37.6685,-11.175999999999998,-9.0235
2022-09-02,-38.971999999999994,-37.7005,-11.492,-9.157
2022-09-06,-38.86,-37.7455,-11.768,-9.297
2022-09-07,-38.308,-37.6595,-11.664,-9.361
2022-09-08,-37.754,-37.6355,-11.366,-9.4635
2022-09-09,-37.326,-37.614000000000004,-10.912,-9.503499999999999
2022-09-12,-36.596000000000004,-37.59400000000001,-10.162,-9.552
2022-09-13,-36.239999999999995,-37.6665,-10.129999999999999,-9.803500000000001
2022-09-14,-35.916000000000004,-37.667500000000004,-10.290000000000001,-10.045
2022-09-15,-35.89399999999999,-37.650999999999996,-10.74,-10.311499999999999
2022-09-16,-36.182,-37.7195,-11.57,-10.620000000000001
2022-09-19,-36.512,-37.685,-12.453999999999999,-10.8545
2022-09-20,-36.95,-37.697500000000005,-12.774,-11.073
2022-09-21,-37.78,-37.7165,-13.45,-11.358
2022-09-22,-38.908,-37.8615,-14.080000000000002,-11.687000000000001
2022-09-23,-39.821999999999996,-38.0925,-14.851999999999999,-12.127500000000001
2022-09-26,-41.218,-38.3245,-15.906,-12.503499999999999
2022-09-27,-41.976,-38.5065,-16.812,-12.871
2022-09-28,-41.974000000000004,-38.4945,-17.18,-13.146
2022-09-29,-41.832,-38.596999999999994,-17.748,-13.483500000000001
2022-09-30,-41.946000000000005,-38.819,-18.288,-13.905499999999998
2022-10-03,-41.354,-38.92,-18.168,-14.172500000000003
2022-10-04,-40.22,-38.846500000000006,-17.518,-14.3085
2022-10-05,-39.652,-38.8305,-17.14,-14.515
2022-10-06,-38.690000000000005,-38.831,-16.595999999999997,-14.791000000000002
2022-10-07,-37.94199999999999,-38.973,-16.264,-15.243500000000001
2022-10-10,-38.292,-39.344,-16.554,-15.770500000000002
2022-10-11,-39.57000000000001,-39.678999999999995,-17.436,-16.135
2022-10-12,-40.888,-40.073499999999996,-18.338,-16.526999999999997
2022-10-13,-42.254,-40.421,-18.654,-16.7695
2022-10-14,-43.538,-40.812,-18.878,-17.070500000000003
2022-10-17,-43.518,-41.0955,-18.582,-17.3025
2022-10-18,-43.224000000000004,-41.247499999999995,-17.99,-17.439
2022-10-19,-43.136,-41.4125,-17.464,-17.530499999999996
2022-10-20,-43.036,-41.453,-17.482,-17.619999999999997
2022-10-21,-42.574,-41.5,-16.747999999999998,-17.544500000000003
2022-10-24,-42.754000000000005,-41.4795,-16.216,-17.380000000000003
2022-10-25,-42.220000000000006,-41.308499999999995,-15.602,-17.1365
2022-10-26,-41.67,-41.3365,-15.0,-16.9855
2022-10-27,-41.324,-41.32600000000001,-14.356,-16.772
2022-10-28,-41.012,-41.26649999999999,-13.709999999999999,-16.4
2022-10-31,-40.977999999999994,-41.3855,-13.38,-16.183
2022-11-01,-41.592,-41.6515,-13.325999999999999,-16.0885
2022-11-02,-42.592,-42.0715,-13.568000000000001,-16.0925
2022-11-03,-43.812,-42.6065,-13.892000000000001,-16.095999999999997
2022-11-04,-45.06400000000001,-43.047000000000004,-14.372,-15.927000000000001
2022-11-07,-45.63,-43.22,-14.581999999999999,-15.690000000000001
2022-11-08,-45.878,-43.2285,-14.696000000000002,-15.4035
2022-11-09,-45.976,-43.343500000000006,-14.73,-15.1905
2022-11-10,-44.6,-43.193,-13.697999999999999,-14.857
2022-11-11,-42.474000000000004,-42.781,-12.734,-14.391
2022-11-14,-40.88,-42.560500000000005,-12.064,-14.060500000000001
2022-11-15,-39.706,-42.349000000000004,-11.342,-13.741499999999998
2022-11-16,-38.584,-42.2055,-10.412,-13.4275
2022-11-17,-38.744,-42.12,-10.426,-13.093
2022-11-18,-39.571999999999996,-42.0305,-10.528,-12.836000000000002
2022-11-21,-40.778000000000006,-42.0665,-10.552000000000001,-12.6445
2022-11-22,-42.13,-42.3265,-10.488000000000001,-12.463
2022-11-23,-42.986000000000004,-42.534499999999994,-10.180000000000001,-12.2225
2022-11-25,-43.742000000000004,-42.7245,-9.824,-11.96
2022-11-28,-44.422000000000004,-42.883,-9.825999999999999,-11.865
2022-11-29,-44.832,-43.03,-9.798,-11.749
2022-11-30,-45.038,-43.188,-9.464,-11.4975
2022-12-01,-45.126,-43.168,-9.198,-11.129999999999999
2022-12-02,-45.644,-43.1825,-8.956,-10.725999999999999
2022-12-05,-46.279999999999994,-43.187,-8.748000000000001,-10.459
2022-12-06,-46.791999999999994,-43.320499999999996,-8.76,-10.2935
2022-12-07,-47.11,-43.496,-9.344,-10.1595
2022-12-08,-47.686,-43.5955,-9.834,-9.906000000000002
2022-12-09,-47.832,-43.990500000000004,-10.424000000000001,-9.9075
2022-12-12,-47.806,-44.519999999999996,-10.454,-9.889
2022-12-13,-47.604,-45.0015,-10.102,-9.803
2022-12-14,-47.852000000000004,-45.532500000000006,-9.824000000000002,-9.780000000000001
2022-12-15,-48.472,-46.0675,-10.118,-9.8325
2022-12-16,-49.074,-46.573,-10.492,-9.924
2022-12-19,-49.75,-47.064499999999995,-11.258,-10.0715
2022-12-20,-50.44,-47.417,-12.209999999999999,-10.2175
2022-12-21,-50.916,-47.729,-12.802000000000001,-10.3585
2022-12-22,-51.084,-48.092,-13.197999999999999,-10.587
2022-12-23,-51.116,-48.4165,-13.294,-10.7915
2022-12-27,-51.20400000000001,-48.76,-13.309999999999999,-10.942499999999999
2022-12-28,-51.372,-49.052,-13.478,-11.1375
2022-12-29,-51.184000000000005,-49.2655,-13.602,-11.392999999999999
2022-12-30,-50.812,-49.51350000000001,-13.532,-11.6705
2023-01-03,-49.816,-49.459500000000006,-13.558000000000002,-11.942
2023-01-04,-48.284000000000006,-49.261,-13.398000000000001,-12.105
2023-01-05,-46.846000000000004,-49.0655,-13.216,-12.2515
2023-01-06,-45.798,-48.9375,-12.948000000000002,-12.294
2023-01-09,-44.757999999999996,-48.7815,-12.646,-12.3735
2023-01-10,-44.286,-48.57299999999999,-12.218,-12.3905
2023-01-11,-44.162,-48.35,-11.690000000000001,-12.414
2023-01-12,-43.66,-48.0795,-10.91,-12.4535
2023-01-13,-43.23,-47.782,-10.444,-12.449
2023-01-17,-42.786,-47.36,-9.992,-12.342
2023-01-18,-42.874,-47.022999999999996,-9.952,-12.255500000000001
2023-01-19,-43.132,-46.6955,-10.256,-12.1635
2023-01-20,-43.230000000000004,-46.277,-10.308,-11.978
2023-01-23,-43.228,-45.86,-10.213999999999999,-11.802
2023-01-24,-43.314,-45.417500000000004,-10.113999999999999,-11.571000000000002
2023-01-25,-43.056,-45.008,-9.72,-11.362
2023-01-26,-42.474000000000004,-44.513000000000005,-9.012,-11.089
2023-01-27,-42.082,-43.9545,-8.57,-10.751
2023-01-30,-42.062,-43.579499999999996,-8.568,-10.5435
2023-01-31,-41.788,-43.1615,-8.291999999999998,-10.261
2023-02-01,-41.06,-42.819,-7.794,-9.921
2023-02-02,-40.007999999999996,-42.444,-7.231999999999999,-9.5475
2023-02-03,-39.304,-42.069,-6.914,-9.175500000000001
2023-02-06,-38.734,-41.813500000000005,-6.473999999999999,-8.925
2023-02-07,-38.3,-41.547,-6.09,-8.622
2023-02-08,-38.754,-41.436,-6.104,-8.3925
2023-02-09,-39.962,-41.394,-6.5040000000000004,-8.251000000000001
2023-02-10,-40.628,-41.311,-6.6739999999999995,-8.1165
2023-02-13,-41.04,-41.266,-6.564,-7.955
2023-02-14,-41.898,-41.325,-6.6579999999999995,-7.788500000000001
2023-02-15,-42.160000000000004,-41.25750000000001,-6.531999999999999,-7.5375
2023-02-16,-42.408,-41.213,-6.478,-7.3065
2023-02-17,-43.29600000000001,-41.3275,-6.5,-7.164500000000001
2023-02-21,-43.906,-41.435500000000005,-6.984,-7.147500000000001
2023-02-22,-44.164,-41.5375,-7.4799999999999995,-7.13
2023-02-23,-44.558,-41.632999999999996,-7.956,-7.096500000000001
2023-02-24,-45.017999999999994,-41.849,-8.379999999999999,-7.1485
2023-02-27,-45.146,-42.0935,-8.716,-7.2010000000000005
2023-02-28,-45.384,-42.266000000000005,-8.828,-7.2125
2023-03-01,-45.422000000000004,-42.446000000000005,-8.937999999999999,-7.291500000000001
2023-03-02,-45.378,-42.7125,-9.001999999999999,-7.3985
2023-03-03,-44.784000000000006,-43.043,-8.663999999999998,-7.5065
2023-03-06,-44.152,-43.3055,-8.358,-7.561999999999999
2023-03-07,-43.768,-43.5245,-8.256,-7.6579999999999995
2023-03-08,-43.484,-43.742000000000004,-8.112,-7.797
2023-03-09,-43.226,-43.8305,-8.396,-7.971499999999999
2023-03-10,-43.644000000000005,-43.9635,-9.168000000000001,-8.1725
2023-03-13,-44.252,-44.2115,-9.985999999999999,-8.389999999999999
2023-03-14,-44.494,-44.388,-10.256,-8.581
2023-03-15,-44.772000000000006,-44.4605,-10.658,-8.797
2023-03-16,-45.0,-44.540499999999994,-10.453999999999999,-8.952
2023-03-17,-45.064,-44.6275,-10.203999999999999,-9.104000000000001
2023-03-20,-44.976,-44.6315,-9.768,-9.206999999999999
2023-03-21,-44.46,-44.5265,-9.384,-9.181000000000001
2023-03-22,-44.396,-44.5185,-9.190000000000001,-9.2245
2023-03-23,-44.660000000000004,-44.566,-9.248000000000001,-9.275
2023-03-24,-44.528000000000006,-44.505,-9.069999999999999,-9.2765
2023-03-27,-44.513999999999996,-44.4735,-9.02,-9.283
2023-03-28,-45.11,-44.458,-9.232000000000001,-9.282
2023-03-29,-45.134,-44.4465,-8.894,-9.2135
2023-03-30,-44.862,-44.437,-8.49,-9.147
2023-03-31,-44.556,-44.448,-7.8740000000000006,-9.079
2023-04-03,-44.07,-44.452999999999996,-7.19,-8.991000000000001
2023-04-04,-43.5,-44.391,-6.578,-8.8625
2023-04-05,-43.394,-44.424,-6.264,-8.7515
2023-04-06,-43.12,-44.4105,-5.988,-8.545
2023-04-10,-43.141999999999996,-44.3225,-5.9479999999999995,-8.274
2023-04-11,-43.397999999999996,-44.2395,-6.004,-7.9955
2023-04-12,-43.66,-44.182500000000005,-6.029999999999999,-7.806
2023-04-13,-43.376,-44.075,-5.772,-7.529999999999999
2023-04-14,-43.14,-43.945499999999996,-5.622,-7.337000000000001
2023-04-17,-42.718,-43.736000000000004,-5.428,-7.08
2023-04-18,-42.292,-43.5685,-5.224,-6.8595
2023-04-19,-42.019999999999996,-43.5725,-4.948,-6.697
2023-04-20,-42.312,-43.553999999999995,-5.018000000000001,-6.487
2023-04-21,-42.666,-43.446999999999996,-5.037999999999999,-6.2845
2023-04-24,-43.124,-43.385000000000005,-5.098000000000001,-6.087
2023-04-25,-43.824,-43.396,-5.42,-5.9595
2023-04-26,-44.315999999999995,-43.374,-5.8100000000000005,-5.841500000000001
2023-04-27,-44.212,-43.3235,-5.786,-5.71
2023-04-28,-43.936,-43.2155,-5.638,-5.5715
2023-05-01,-43.629999999999995,-43.153499999999994,-5.504,-5.4944999999999995
2023-05-02,-43.372,-43.221500000000006,-5.316,-5.4910000000000005
2023-05-03,-43.285999999999994,-43.320499999999996,-5.176,-5.4910000000000005
2023-05-04,-43.476,-43.344,-5.47,-5.5115
2023-05-05,-43.45,-43.297999999999995,-5.588,-5.471500000000001
2023-05-08,-43.388,-43.214999999999996,-5.708,-5.4345
2023-05-09,-44.367999999999995,-43.464,-5.71,-5.4174999999999995
2023-05-10,-45.604,-43.80649999999999,-5.514,-5.362
2023-05-11,-46.775999999999996,-44.194,-5.218000000000001,-5.372999999999999
2023-05-12,-48.806,-44.7145,-5.258,-5.3805000000000005
2023-05-15,-50.832,-45.2435,-5.244,-5.3885
2023-05-16,-51.614,-45.7945,-5.274,-5.430000000000001
2023-05-17,-51.907999999999994,-46.2785,-5.166,-5.416500000000001
2023-05-18,-52.354,-46.704499999999996,-4.85,-5.331
2023-05-19,-52.472,-47.166,-4.54,-5.255999999999999
2023-05-22,-52.354,-47.551,-4.28,-5.184
2023-05-23,-52.17,-47.881,-4.109999999999999,-5.1025
2023-05-24,-52.117999999999995,-48.229,-4.3,-5.039
2023-05-25,-52.410000000000004,-48.754,-4.51,-5.012
2023-05-26,-52.52,-49.312,-4.446,-4.958
2023-05-30,-52.67,-49.811,-4.388,-4.905
2023-05-31,-52.672000000000004,-50.205999999999996,-4.220000000000001,-4.8285
2023-06-01,-52.266,-50.474000000000004,-3.716,-4.674
2023-06-02,-51.346000000000004,-50.7215,-3.096,-4.4185
2023-06-05,-50.470000000000006,-51.067,-2.758,-4.250500000000001
2023-06-06,-49.79600000000001,-51.413,-2.386,-4.0745
2023-06-07,-49.266,-51.43050000000001,-1.9760000000000002,-3.8950000000000005
2023-06-08,-49.08200000000001,-51.34349999999999,-1.6440000000000001,-3.7065000000000006
2023-06-09,-49.156,-51.3165,-1.558,-3.5035000000000003
2023-06-12,-49.278,-51.184999999999995,-1.254,-3.2495
2023-06-13,-49.507999999999996,-51.082,-0.86,-2.9785
2023-06-14,-49.578,-50.921499999999995,-0.388,-2.6735
2023-06-15,-49.326,-50.698,0.22200000000000003,-2.3594999999999997
2023-06-16,-48.864,-50.444,0.7260000000000001,-2.1095
2023-06-20,-48.054,-50.0805,0.958,-1.875
2023-06-21,-47.326,-49.825,0.9520000000000002,-1.6705
2023-06-22,-46.544,-49.515,1.004,-1.395
2023-06-23,-46.372,-49.2615,0.652,-1.1215
2023-06-26,-46.370000000000005,-48.934,0.292,-0.909
2023-06-27,-46.788,-48.6475,0.242,-0.7030000000000001
2023-06-28,-47.128,-48.439499999999995,0.30999999999999994,-0.496
2023-06-29,-47.553999999999995,-48.235499999999995,0.304,-0.26400000000000007
2023-06-30,-47.588,-48.092,0.682,-0.022
2023-07-03,-47.14,-47.88250000000001,1.1720000000000002,0.158
2023-07-05,-46.54,-47.665,1.4,0.3365
2023-07-06,-46.333999999999996,-47.574,1.456,0.46449999999999997
2023-07-07,-46.0,-47.419,1.468,0.597
2023-07-10,-45.410000000000004,-47.17399999999999,1.3,0.7140000000000001
2023-07-11,-45.012,-46.8465,1.23,0.8550000000000001
2023-07-12,-44.736,-46.5295,1.3619999999999999,0.9904999999999999
2023-07-13,-43.748000000000005,-46.134,1.8199999999999998,1.1345
2023-07-14,-42.908,-45.75150000000001,2.308,1.2710000000000001
2023-07-17,-42.239999999999995,-45.402499999999996,2.812,1.3615
2023-07-18,-41.644,-45.0415,3.344,1.5095
2023-07-19,-41.068,-44.783,3.7619999999999996,1.6915
2023-07-20,-40.967999999999996,-44.5445,3.882,1.8669999999999998
2023-07-21,-40.827999999999996,-44.322500000000005,4.0200000000000005,2.025
2023-07-24,-40.796,-44.008500000000005,4.1739999999999995,2.242
2023-07-25,-41.001999999999995,-43.6995,4.224,2.4925
2023-07-26,-41.12,-43.366,4.234,2.6895
2023-07-27,-41.24,-43.072500000000005,4.26,2.8545000000000003
2023-07-28,-41.088,-42.706,4.454,3.0625
2023-07-31,-40.797999999999995,-42.311,4.595999999999999,3.2205
2023-08-01,-40.29,-41.986999999999995,4.616,3.3534999999999995
2023-08-02,-40.136,-41.765,4.406000000000001,3.441
2023-08-03,-40.918,-41.7185,4.27,3.558
2023-08-04,-42.144,-41.742000000000004,3.886,3.6670000000000003
2023-08-07,-43.412,-41.8115,3.6100000000000003,3.7979999999999996
2023-08-08,-44.942,-41.9695,3.342,3.8815
2023-08-09,-46.315999999999995,-42.16,3.2060000000000004,3.9019999999999997
2023-08-10,-46.474000000000004,-42.4,3.1220000000000003,3.8835
2023-08-11,-46.598,-42.6645,3.104,3.8659999999999997
2023-08-14,-46.730000000000004,-42.934,3.024,3.851
2023-08-15,-47.152,-43.3465,2.848,3.7574999999999994
2023-08-16,-47.416000000000004,-43.747,2.666,3.6279999999999992
2023-08-17,-47.89,-44.1305,2.366,3.5044999999999993
2023-08-18,-48.126,-44.489,2.09,3.3835
2023-08-21,-48.552,-44.873,1.8239999999999998,3.2634999999999996
2023-08-22,-48.378,-45.1905,1.6780000000000002,3.1209999999999996
2023-08-23,-48.138,-45.50150000000001,1.7759999999999998,3.0134999999999996
2023-08-24,-47.896,-45.7945,1.8039999999999998,2.8905
2023-08-25,-47.694,-46.1405,1.908,2.747
2023-08-28,-47.446000000000005,-46.535,2.0100000000000002,2.617
2023-08-29,-47.272,-46.936,2.3440000000000003,2.553
2023-08-30,-47.082,-47.238,2.59,2.5595
2023-08-31,-46.876,-47.284000000000006,3.0,2.573
2023-09-01,-46.422,-47.209999999999994,3.336,2.6094999999999997
2023-09-05,-46.00599999999999,-47.1835,3.524,2.5955
2023-09-06,-45.816,-47.1545,3.4,2.5675
2023-09-07,-45.914,-47.1375,3.166,2.5495
2023-09-08,-46.018,-47.17,2.974,2.5360000000000005
2023-09-11,-46.268,-47.1275,2.896,2.5575
2023-09-12,-46.388,-47.098,2.77,2.532
2023-09-13,-46.37,-46.959,2.786,2.5520000000000005
2023-09-14,-45.9,-46.7585,3.028,2.6399999999999997
2023-09-15,-45.36,-46.5375,2.9939999999999998,2.693
2023-09-18,-45.19,-46.3935,2.854,2.7485
2023-09-19,-45.296,-46.284000000000006,2.782,2.7715000000000005
2023-09-20,-45.634,-46.273,2.498,2.757
2023-09-21,-46.624,-46.379999999999995,1.718,2.6255
2023-09-22,-47.7,-46.4885,1.1400000000000001,2.527
