Date,rate_CMCSA_5D,rate_CMCSA_20D,rate_VOO_5D,rate_VOO_20D
2022-09-21,-27.792,-25.6515,-13.45,-11.358
2022-09-22,-28.432,-26.022,-14.080000000000002,-11.687000000000001
2022-09-23,-29.544,-26.491000000000003,-14.851999999999999,-12.127500000000001
2022-09-26,-31.026,-27.003999999999998,-15.906,-12.503499999999999
2022-09-27,-32.516,-27.549,-16.812,-12.871
2022-09-28,-33.153999999999996,-27.959999999999997,-17.18,-13.146
2022-09-29,-34.004000000000005,-28.48,-17.748,-13.483500000000001
2022-09-30,-35.056,-29.1955,-18.288,-13.905499999999998
2022-10-03,-34.99400000000001,-29.653999999999996,-18.168,-14.172500000000003
2022-10-04,-34.514,-30.006,-17.518,-14.3085
2022-10-05,-34.516000000000005,-30.405,-17.14,-14.515
2022-10-06,-34.504000000000005,-30.818,-16.595999999999997,-14.791000000000002
2022-10-07,-34.356,-31.4155,-16.264,-15.243500000000001
2022-10-10,-34.988,-32.053000000000004,-16.554,-15.770500000000002
2022-10-11,-35.964,-32.5125,-17.436,-16.135
2022-10-12,-36.83,-33.07299999999999,-18.338,-16.526999999999997
2022-10-13,-36.748,-33.422000000000004,-18.654,-16.7695
2022-10-14,-36.414,-33.8425,-18.878,-17.070500000000003
2022-10-17,-35.69199999999999,-34.175,-18.582,-17.3025
2022-10-18,-34.808,-34.4505,-17.99,-17.439
2022-10-19,-34.083999999999996,-34.646,-17.464,-17.530499999999996
2022-10-20,-33.986000000000004,-34.810500000000005,-17.482,-17.619999999999997
2022-10-21,-33.804,-34.9075,-16.747999999999998,-17.544500000000003
2022-10-24,-33.692,-34.8415,-16.216,-17.380000000000003
2022-10-25,-33.342,-34.657000000000004,-15.602,-17.1365
2022-10-26,-32.864,-34.5735,-15.0,-16.9855
2022-10-27,-32.214,-34.363,-14.356,-16.772
2022-10-28,-31.579999999999995,-34.0385,-13.709999999999999,-16.4
2022-10-31,-31.296,-33.917,-13.38,-16.183
2022-11-01,-31.142000000000003,-33.814,-13.325999999999999,-16.0885
2022-11-02,-31.236,-33.7535,-13.568000000000001,-16.0925
2022-11-03,-31.755999999999993,-33.676,-13.892000000000001,-16.095999999999997
2022-11-04,-32.006,-33.451,-14.372,-15.927000000000001
2022-11-07,-31.912,-33.147999999999996,-14.581999999999999,-15.690000000000001
2022-11-08,-31.766000000000002,-32.7645,-14.696000000000002,-15.4035
2022-11-09,-31.565999999999995,-32.4375,-14.73,-15.1905
2022-11-10,-30.55,-32.1265,-13.697999999999999,-14.857
2022-11-11,-29.258000000000003,-31.662,-12.734,-14.391
2022-11-14,-28.172000000000004,-31.268,-12.064,-14.060500000000001
2022-11-15,-27.15,-30.85,-11.342,-13.741499999999998
2022-11-16,-26.038,-30.426,-10.412,-13.4275
2022-11-17,-25.398,-29.9795,-10.426,-13.093
2022-11-18,-25.192,-29.509000000000004,-10.528,-12.836000000000002
2022-11-21,-25.096,-29.119,-10.552000000000001,-12.6445
2022-11-22,-24.740000000000002,-28.6995,-10.488000000000001,-12.463
2022-11-23,-24.066,-28.226499999999998,-10.180000000000001,-12.2225
2022-11-25,-23.46,-27.790999999999997,-9.824,-11.96
2022-11-28,-22.984,-27.360000000000003,-9.825999999999999,-11.865
2022-11-29,-22.491999999999997,-26.918,-9.798,-11.749
2022-11-30,-21.822,-26.3695,-9.464,-11.4975
2022-12-01,-21.398,-25.767000000000003,-9.198,-11.129999999999999
2022-12-02,-21.203999999999997,-25.153,-8.956,-10.725999999999999
2022-12-05,-21.286,-24.68,-8.748000000000001,-10.459
2022-12-06,-21.484,-24.311,-8.76,-10.2935
2022-12-07,-22.252,-23.991,-9.344,-10.1595
2022-12-08,-22.810000000000002,-23.577999999999996,-9.834,-9.906000000000002
2022-12-09,-23.038000000000004,-23.275,-10.424000000000001,-9.9075
2022-12-12,-22.446,-22.977,-10.454,-9.889
2022-12-13,-21.618000000000002,-22.6725,-10.102,-9.803
2022-12-14,-21.23,-22.511,-9.824000000000002,-9.780000000000001
2022-12-15,-21.268,-22.3855,-10.118,-9.8325
2022-12-16,-21.502,-22.301,-10.492,-9.924
2022-12-19,-22.444,-22.29,-11.258,-10.0715
2022-12-20,-23.282,-22.219,-12.209999999999999,-10.2175
2022-12-21,-23.342000000000002,-22.1615,-12.802000000000001,-10.3585
2022-12-22,-23.234,-22.177500000000002,-13.197999999999999,-10.587
2022-12-23,-22.95,-22.1735,-13.294,-10.7915
2022-12-27,-22.534,-22.177500000000002,-13.309999999999999,-10.942499999999999
2022-12-28,-22.448,-22.208,-13.478,-11.1375
2022-12-29,-22.46,-22.320999999999998,-13.602,-11.392999999999999
2022-12-30,-22.398000000000003,-22.4275,-13.532,-11.6705
2023-01-03,-22.125999999999998,-22.404,-13.558000000000002,-11.942
2023-01-04,-21.366000000000003,-22.197499999999998,-13.398000000000001,-12.105
2023-01-05,-20.282000000000004,-21.907500000000002,-13.216,-12.2515
2023-01-06,-18.972,-21.500999999999998,-12.948000000000002,-12.294
2023-01-09,-17.78,-21.17,-12.646,-12.3735
2023-01-10,-16.784,-20.8405,-12.218,-12.3905
2023-01-11,-16.188,-20.633,-11.690000000000001,-12.414
2023-01-12,-15.434000000000001,-20.3615,-10.91,-12.4535
2023-01-13,-14.972,-19.936500000000002,-10.444,-12.449
2023-01-17,-14.356,-19.442,-9.992,-12.342
2023-01-18,-14.178,-19.0095,-9.952,-12.255500000000001
2023-01-19,-14.094,-18.5455,-10.256,-12.1635
2023-01-20,-13.792000000000002,-17.989,-10.308,-11.978
2023-01-23,-13.203999999999999,-17.401999999999997,-10.213999999999999,-11.802
2023-01-24,-12.812000000000001,-16.836499999999997,-10.113999999999999,-11.571000000000002
2023-01-25,-11.996,-16.271,-9.72,-11.362
2023-01-26,-10.998000000000001,-15.6615,-9.012,-11.089
2023-01-27,-10.852,-15.09,-8.57,-10.751
2023-01-30,-11.235999999999999,-14.596,-8.568,-10.5435
2023-01-31,-11.39,-14.0845,-8.291999999999998,-10.261
2023-02-01,-11.404,-13.5905,-7.794,-9.921
2023-02-02,-11.142,-13.105500000000001,-7.231999999999999,-9.5475
2023-02-03,-10.968,-12.761500000000002,-6.914,-9.175500000000001
2023-02-06,-10.818000000000001,-12.5575,-6.473999999999999,-8.925
2023-02-07,-10.642,-12.3,-6.09,-8.622
2023-02-08,-11.1,-12.169500000000001,-6.104,-8.3925
2023-02-09,-12.294,-12.132000000000001,-6.5040000000000004,-8.251000000000001
2023-02-10,-12.912,-12.131,-6.6739999999999995,-8.1165
2023-02-13,-13.080000000000002,-12.0845,-6.564,-7.955
2023-02-14,-13.324000000000002,-12.041999999999998,-6.6579999999999995,-7.788500000000001
2023-02-15,-13.053999999999998,-11.888499999999999,-6.531999999999999,-7.5375
2023-02-16,-12.315999999999999,-11.6875,-6.478,-7.3065
2023-02-17,-12.012,-11.686000000000002,-6.5,-7.164500000000001
2023-02-21,-12.540000000000001,-11.918499999999998,-6.984,-7.147500000000001
2023-02-22,-12.984,-12.085,-7.4799999999999995,-7.13
2023-02-23,-13.713999999999999,-12.318000000000001,-7.956,-7.096500000000001
2023-02-24,-14.862,-12.6535,-8.379999999999999,-7.1485
2023-02-27,-15.61,-12.875499999999999,-8.716,-7.2010000000000005
2023-02-28,-15.894,-13.083000000000002,-8.828,-7.2125
2023-03-01,-16.407999999999998,-13.339499999999997,-8.937999999999999,-7.291500000000001
2023-03-02,-16.652,-13.63,-9.001999999999999,-7.3985
2023-03-03,-16.484,-13.989,-8.663999999999998,-7.5065
2023-03-06,-16.528,-14.2655,-8.358,-7.561999999999999
2023-03-07,-16.884,-14.5995,-8.256,-7.6579999999999995
2023-03-08,-17.21,-14.9815,-8.112,-7.797
2023-03-09,-17.86,-15.320000000000002,-8.396,-7.971499999999999
2023-03-10,-18.7,-15.5905,-9.168000000000001,-8.1725
2023-03-13,-19.387999999999998,-15.8845,-9.985999999999999,-8.389999999999999
2023-03-14,-19.788,-16.2765,-10.256,-8.581
2023-03-15,-19.79,-16.598000000000003,-10.658,-8.797
2023-03-16,-19.448,-16.9185,-10.453999999999999,-8.952
2023-03-17,-19.128,-17.2935,-10.203999999999999,-9.104000000000001
2023-03-20,-18.720000000000002,-17.5615,-9.768,-9.206999999999999
