Date,rate_AMAT_5D,rate_VOO_20D,Max_Divergence
2022-04-26,-23.05,-4.2,-165.43
2022-04-27,-24.26,-4.66,-172.25
2022-04-28,-24.4,-4.98,-200.4
2022-04-29,-24.73,-5.4,-135.09
2022-05-02,-24.8,-5.78,-130.53
2022-05-03,-24.01,-6.19,-133.58
2022-05-04,-22.54,-6.41,-173.82
2022-05-05,-22.56,-6.74,-123.99
2022-05-06,-22.13,-7.12,-118.74
2022-05-09,-23.09,-7.62,-107.22
2022-05-10,-23.97,-8.04,-103.18
2022-05-11,-25.96,-8.5,-99.31
2022-05-12,-26.85,-9.02,-85.45
2022-05-13,-26.92,-9.39,-87.07
2022-05-16,-26.29,-9.77,-89.76
2022-05-17,-24.99,-10.14,-80.25
2022-05-18,-23.99,-10.68,-63.63
2022-05-19,-23.45,-11.17,-60.25
2022-05-20,-24.18,-11.54,-79.41
2022-05-23,-24.25,-11.86,-82.89
2022-05-24,-25.64,-12.08,-90.9
2022-05-25,-26.02,-12.27,-91.02
2022-05-26,-25.43,-12.49,-80.7
2022-05-27,-23.67,-12.44,-89.97
2022-05-31,-22.68,-12.45,-95.32
2022-06-01,-21.49,-12.5,-99.72
2022-06-02,-20.18,-12.61,-114.35
2022-06-03,-20.08,-12.62,-100.29
2022-06-06,-20.57,-12.6,-104.68
2022-06-07,-20.67,-12.4,-118.51
2022-06-08,-20.94,-12.26,-119.19
2022-06-09,-22.32,-12.15,-111.76
2022-06-10,-24.1,-12.17,-100.6
2022-06-13,-26.65,-12.44,-86.26
2022-06-14,-29.25,-12.7,-83.08
2022-06-15,-31.31,-13.0,-92.08
2022-06-16,-33.72,-13.26,-93.34
2022-06-17,-35.36,-13.47,-94.6
2022-06-21,-35.52,-13.6,-94.97
2022-06-22,-35.88,-13.81,-97.82
2022-06-23,-36.45,-13.94,-110.21
2022-06-24,-35.39,-13.99,-127.39
2022-06-27,-34.33,-14.14,-121.5
2022-06-28,-34.35,-14.48,-108.3
2022-06-29,-34.62,-14.81,-117.14
2022-06-30,-34.94,-15.16,-112.93
2022-07-01,-36.23,-15.52,-142.69
2022-07-05,-37.59,-15.8,-145.91
2022-07-06,-38.53,-16.08,-148.01
2022-07-07,-38.46,-16.34,-148.6
2022-07-08,-38.21,-16.56,-145.71
2022-07-11,-37.89,-16.72,-142.33
2022-07-12,-37.51,-16.79,-130.61
2022-07-13,-37.17,-16.72,-124.09
2022-07-14,-37.04,-16.66,-110.59
2022-07-15,-36.58,-16.57,-118.82
2022-07-18,-35.95,-16.39,-115.3
2022-07-19,-34.63,-16.1,-124.05
2022-07-20,-32.8,-15.89,-112.16
2022-07-21,-31.11,-15.62,-117.61
2022-07-22,-30.1,-15.43,-116.37
2022-07-25,-29.01,-15.37,-121.15
2022-07-26,-28.92,-15.34,-115.72
2022-07-27,-28.74,-15.11,-128.42
2022-07-28,-28.56,-14.82,-140.13
2022-07-29,-27.96,-14.42,-165.64
2022-08-01,-27.08,-14.1,-155.76
2022-08-02,-26.05,-13.8,-152.12
2022-08-03,-25.23,-13.46,-157.68
2022-08-04,-24.44,-13.19,-144.34
2022-08-05,-23.91,-12.92,-148.98
2022-08-08,-23.76,-12.6,-157.31
2022-08-09,-24.25,-12.26,-191.37
2022-08-10,-24.64,-11.84,-205.4
2022-08-11,-25.19,-11.41,-202.64
2022-08-12,-25.14,-11.0,-215.29
2022-08-15,-24.95,-10.54,-232.09
2022-08-16,-24.1,-10.19,-246.14
2022-08-17,-24.0,-9.88,-241.78
2022-08-18,-23.74,-9.61,-236.01
2022-08-19,-24.28,-9.34,-221.48
2022-08-22,-25.12,-9.14,-196.32
2022-08-23,-25.73,-8.9,-186.25
2022-08-24,-26.15,-8.76,-194.13
2022-08-25,-26.45,-8.62,-204.68
2022-08-26,-27.0,-8.66,-172.5
2022-08-29,-27.41,-8.71,-172.66
2022-08-30,-28.12,-8.77,-166.11
2022-08-31,-28.83,-8.91,-157.88
2022-09-01,-29.93,-9.02,-170.96
2022-09-02,-30.49,-9.16,-160.02
2022-09-06,-30.93,-9.3,-159.65
2022-09-07,-30.97,-9.36,-180.64
2022-09-08,-30.71,-9.46,-182.56
2022-09-09,-30.03,-9.5,-200.88
2022-09-12,-29.32,-9.55,-235.48
2022-09-13,-29.37,-9.8,-165.11
2022-09-14,-29.58,-10.04,-170.6
2022-09-15,-30.3,-10.31,-160.49
2022-09-16,-31.39,-10.62,-147.97
2022-09-19,-32.33,-10.85,-155.49
2022-09-20,-32.66,-11.07,-146.07
2022-09-21,-33.18,-11.36,-127.12
2022-09-22,-33.75,-11.69,-126.55
2022-09-23,-34.42,-12.13,-111.79
2022-09-26,-35.42,-12.5,-108.09
2022-09-27,-36.0,-12.87,-100.61
2022-09-28,-36.15,-13.15,-106.97
2022-09-29,-36.24,-13.48,-94.36
2022-09-30,-36.59,-13.91,-91.73
2022-10-03,-35.92,-14.17,-96.07
2022-10-04,-34.96,-14.31,-112.29
2022-10-05,-34.31,-14.52,-111.24
2022-10-06,-33.59,-14.79,-104.84
2022-10-07,-33.31,-15.24,-101.71
2022-10-10,-34.36,-15.77,-108.9
2022-10-11,-36.32,-16.14,-114.46
2022-10-12,-38.29,-16.53,-112.9
2022-10-13,-39.58,-16.77,-123.34
2022-10-14,-40.75,-17.07,-120.21
2022-10-17,-41.47,-17.3,-147.6
2022-10-18,-41.63,-17.44,-158.2
2022-10-19,-41.44,-17.53,-140.33
2022-10-20,-41.54,-17.62,-125.27
2022-10-21,-40.39,-17.54,-134.93
2022-10-24,-38.79,-17.38,-137.94
2022-10-25,-36.92,-17.14,-147.4
2022-10-26,-35.26,-16.99,-132.88
2022-10-27,-34.06,-16.77,-134.08
2022-10-28,-32.95,-16.4,-151.29
2022-10-31,-32.44,-16.18,-148.46
2022-11-01,-31.94,-16.09,-133.46
2022-11-02,-31.84,-16.09,-110.85
2022-11-03,-31.71,-16.1,-106.32
2022-11-04,-31.27,-15.93,-95.47
2022-11-07,-30.11,-15.69,-88.45
2022-11-08,-28.96,-15.4,-81.36
2022-11-09,-27.97,-15.19,-76.31
2022-11-10,-25.2,-14.86,-76.32
2022-11-11,-22.35,-14.39,-47.49
2022-11-14,-20.45,-14.06,-58.52
2022-11-15,-18.48,-13.74,-48.09
2022-11-16,-17.0,-13.43,-83.63
2022-11-17,-17.05,-13.09,-77.76
2022-11-18,-17.94,-12.84,-82.55
2022-11-21,-18.31,-12.64,-74.17
2022-11-22,-18.88,-12.46,-82.26
2022-11-23,-18.41,-12.22,-88.78
2022-11-25,-18.21,-11.96,-101.87
2022-11-28,-18.36,-11.86,-89.52
2022-11-29,-18.61,-11.75,-88.18
2022-11-30,-18.21,-11.5,-94.98
2022-12-01,-18.17,-11.13,-118.69
2022-12-02,-17.93,-10.73,-117.74
2022-12-05,-17.42,-10.46,-83.62
2022-12-06,-17.14,-10.29,-73.79
2022-12-07,-17.55,-10.16,-61.71
2022-12-08,-17.31,-9.91,-54.46
2022-12-09,-17.22,-9.91,-54.06
2022-12-12,-16.78,-9.89,-58.27
2022-12-13,-15.78,-9.8,-51.79
2022-12-14,-15.26,-9.78,-58.21
2022-12-15,-15.77,-9.83,-56.76
2022-12-16,-16.07,-9.92,-43.19
2022-12-19,-16.76,-10.07,-38.99
2022-12-20,-17.85,-10.22,-38.7
2022-12-21,-18.31,-10.36,-39.0
2022-12-22,-19.29,-10.59,-70.06
2022-12-23,-20.35,-10.79,-78.17
2022-12-27,-21.58,-10.94,-83.73
2022-12-28,-22.9,-11.14,-76.03
2022-12-29,-24.15,-11.39,-80.12
2022-12-30,-24.18,-11.67,-75.73
2023-01-03,-24.14,-11.94,-74.92
2023-01-04,-23.45,-12.1,-68.08
2023-01-05,-22.81,-12.25,-64.4
2023-01-06,-21.6,-12.29,-49.06
2023-01-09,-20.08,-12.37,-33.56
2023-01-10,-18.32,-12.39,-30.05
2023-01-11,-16.64,-12.41,-28.47
2023-01-12,-14.72,-12.45,-31.69
2023-01-13,-13.82,-12.45,-38.36
2023-01-17,-13.36,-12.34,-41.09
2023-01-18,-13.1,-12.26,-20.58
2023-01-19,-13.72,-12.16,-38.1
2023-01-20,-13.8,-11.98,-32.57
2023-01-23,-13.14,-11.8,-8.84
2023-01-24,-12.58,-11.57,-17.81
2023-01-25,-11.91,-11.36,-9.77
2023-01-26,-10.43,-11.09,-6.82
2023-01-27,-9.98,-10.75,-41.41
2023-01-30,-10.92,-10.54,-61.48
2023-01-31,-11.16,-10.26,-54.44
2023-02-01,-10.33,-9.92,11.35
2023-02-02,-8.96,-9.55,66.86
2023-02-03,-7.76,-9.18,19.0
2023-02-06,-6.23,-8.93,-0.89
2023-02-07,-4.79,-8.62,20.03
2023-02-08,-5.26,-8.39,-23.52
2023-02-09,-6.52,-8.25,-10.9
2023-02-10,-7.32,-8.12,-28.33
2023-02-13,-7.5,-7.96,-24.43
2023-02-14,-7.83,-7.79,0.16
2023-02-15,-7.28,-7.54,9.4
2023-02-16,-7.39,-7.31,-23.07
2023-02-17,-7.29,-7.16,-19.25
2023-02-21,-8.11,-7.15,-37.33
2023-02-22,-9.37,-7.13,-43.73
2023-02-23,-10.39,-7.1,-26.26
2023-02-24,-11.03,-7.15,-29.45
2023-02-27,-11.56,-7.2,-26.44
2023-02-28,-10.79,-7.21,12.88
2023-03-01,-9.69,-7.29,24.78
2023-03-02,-8.79,-7.4,30.37
2023-03-03,-7.56,-7.51,23.89
2023-03-06,-6.51,-7.56,18.58
2023-03-07,-6.45,-7.66,11.45
2023-03-08,-6.23,-7.8,30.99
2023-03-09,-6.45,-7.97,29.27
2023-03-10,-7.17,-8.17,18.37
2023-03-13,-7.59,-8.39,29.27
2023-03-14,-6.96,-8.58,54.7
2023-03-15,-6.98,-8.8,43.11
2023-03-16,-6.07,-8.95,71.63
2023-03-17,-4.78,-9.1,72.55
2023-03-20,-3.49,-9.21,82.45
2023-03-21,-3.48,-9.18,44.43
2023-03-22,-3.43,-9.22,40.27
2023-03-23,-3.44,-9.28,71.98
2023-03-24,-3.92,-9.28,43.26
2023-03-27,-4.74,-9.28,36.53
2023-03-28,-5.37,-9.28,16.3
2023-03-29,-5.22,-9.21,37.36
2023-03-30,-5.32,-9.15,57.16
2023-03-31,-4.8,-9.08,57.36
2023-04-03,-4.24,-8.99,47.66
2023-04-04,-3.64,-8.86,23.85
2023-04-05,-4.02,-8.75,-8.25
2023-04-06,-5.2,-8.54,-52.27
2023-04-10,-6.18,-8.27,-27.52
2023-04-11,-7.1,-8.0,-29.28
2023-04-12,-8.19,-7.81,-62.32
2023-04-13,-8.8,-7.53,-96.41
2023-04-14,-9.04,-7.34,-97.88
2023-04-17,-9.78,-7.08,-128.69
2023-04-18,-10.59,-6.86,-140.04
2023-04-19,-11.03,-6.7,-154.87
2023-04-20,-10.89,-6.49,-69.96
2023-04-21,-10.8,-6.28,-85.66
2023-04-24,-10.51,-6.09,-87.84
2023-04-25,-10.62,-5.96,-88.02
2023-04-26,-10.62,-5.84,-81.86
2023-04-27,-11.05,-5.71,-114.69
2023-04-28,-11.12,-5.57,-123.25
2023-05-01,-11.18,-5.49,-122.39
2023-05-02,-10.89,-5.49,-93.99
2023-05-03,-10.37,-5.49,-60.53
2023-05-04,-10.21,-5.51,-55.29
2023-05-05,-9.69,-5.47,-47.38
2023-05-08,-9.25,-5.43,-53.23
2023-05-09,-8.99,-5.42,-69.82
2023-05-10,-8.66,-5.36,-58.82
2023-05-11,-8.18,-5.37,-54.11
2023-05-12,-8.18,-5.38,-41.5
2023-05-15,-7.34,-5.39,28.37
2023-05-16,-6.22,-5.43,33.45
2023-05-17,-4.59,-5.42,100.66
2023-05-18,-2.31,-5.33,192.33
2023-05-19,-0.59,-5.26,126.84
2023-05-22,0.27,-5.18,118.72
2023-05-23,0.84,-5.1,80.62
2023-05-24,0.21,-5.04,43.56
2023-05-25,0.3,-5.01,181.06
2023-05-26,1.74,-4.96,336.49
2023-05-30,3.33,-4.9,350.43
2023-05-31,4.72,-4.83,252.78
2023-06-01,6.77,-4.67,337.79
2023-06-02,7.4,-4.42,534.38
2023-06-05,7.0,-4.25,448.6
2023-06-06,6.55,-4.07,503.14
2023-06-07,6.79,-3.9,479.58
2023-06-08,7.01,-3.71,716.54
2023-06-09,7.25,-3.5,794.87
2023-06-12,8.24,-3.25,4251.85
2023-06-13,9.48,-2.98,3221.05
2023-06-14,10.46,-2.67,2595.56
2023-06-15,11.08,-2.36,556.4
2023-06-16,11.52,-2.11,667.41
2023-06-20,11.29,-1.88,1026.97
2023-06-21,10.48,-1.67,2348.57
2023-06-22,10.12,-1.4,1357.75
2023-06-23,9.48,-1.12,20325.0
2023-06-26,9.62,-0.91,2553.33
2023-06-27,10.73,-0.7,2335.94
2023-06-28,11.79,-0.5,1913.04
2023-06-29,12.53,-0.26,1963.24
2023-06-30,13.76,-0.02,669.73
2023-07-03,14.46,0.16,628.0
2023-07-05,13.79,0.34,587.64
2023-07-06,13.19,0.46,1021.65
2023-07-07,12.44,0.6,1290.54
2023-07-10,11.8,0.71,990.1
2023-07-11,10.63,0.86,429.7
2023-07-12,10.13,0.99,299.59
2023-07-13,10.48,1.13,286.2
2023-07-14,10.95,1.27,297.8
2023-07-17,11.69,1.36,317.56
2023-07-18,12.74,1.51,224.13
2023-07-19,13.16,1.69,162.03
2023-07-20,11.83,1.87,52.85
2023-07-21,10.84,2.02,99.48
2023-07-24,9.74,2.24,114.65
2023-07-25,9.06,2.49,131.58
2023-07-26,8.63,2.69,112.88
2023-07-27,10.51,2.85,283.21
2023-07-28,12.93,3.06,309.09
2023-07-31,14.99,3.22,290.02
2023-08-01,16.86,3.35,327.9
2023-08-02,18.09,3.44,349.86
2023-08-03,18.28,3.56,390.94
2023-08-04,17.24,3.67,400.34
2023-08-07,16.98,3.8,401.93
2023-08-08,16.36,3.88,407.23
2023-08-09,16.22,3.9,432.63
2023-08-10,15.94,3.88,414.19
2023-08-11,15.32,3.87,306.01
2023-08-14,14.33,3.85,310.84
2023-08-15,13.42,3.76,403.69
2023-08-16,12.64,3.63,481.96
2023-08-17,11.85,3.5,686.33
2023-08-18,12.29,3.38,844.14
2023-08-21,13.04,3.26,795.26
2023-08-22,13.89,3.12,866.67
2023-08-23,14.95,3.01,583.54
2023-08-24,15.51,2.89,796.73
2023-08-25,15.71,2.75,645.69
2023-08-28,15.36,2.62,532.78
2023-08-29,15.58,2.55,421.89
2023-08-30,15.89,2.56,396.17
2023-08-31,16.97,2.57,433.8
2023-09-01,17.91,2.61,430.68
2023-09-05,18.69,2.6,472.24
2023-09-06,18.94,2.57,584.42
2023-09-07,18.38,2.55,517.67
2023-09-08,17.53,2.54,467.18
2023-09-11,16.51,2.56,337.12
2023-09-12,15.11,2.53,347.43
2023-09-13,13.86,2.55,344.72
2023-09-14,13.31,2.64,241.35
2023-09-15,11.9,2.69,219.18
2023-09-18,10.92,2.75,265.62
2023-09-19,9.97,2.77,213.14
2023-09-20,8.8,2.76,380.28
2023-09-21,7.37,2.63,2830.0
2023-09-22,7.05,2.53,1511.36
2023-09-25,6.48,2.43,21866.67
2023-09-26,5.92,2.23,410.14
2023-09-27,5.63,1.99,466.44
2023-09-28,6.09,1.74,718.25
2023-09-29,6.45,1.49,634.9
2023-10-02,6.86,1.23,686.39
2023-10-03,7.24,0.93,333.94
2023-10-04,7.86,0.69,508.7
2023-10-05,7.99,0.46,492.56
2023-10-06,8.24,0.27,1012.87
2023-10-09,8.34,0.09,2630.56
2023-10-10,9.06,-0.04,7100.0
2023-10-11,9.51,-0.15,1807.14
2023-10-12,10.39,-0.34,42966.67
2023-10-13,10.52,-0.49,1896.36
2023-10-16,10.65,-0.59,1978.72
2023-10-17,10.86,-0.68,2212.5
2023-10-18,10.75,-0.8,1290.59
2023-10-19,9.11,-0.87,377.98
2023-10-20,8.02,-0.99,253.29
2023-10-23,6.97,-1.15,247.71
2023-10-24,5.76,-1.19,315.38
2023-10-25,4.0,-1.3,135.68
2023-10-26,3.44,-1.48,138.81
2023-10-27,3.0,-1.67,142.42
2023-10-30,2.5,-1.81,148.8
2023-10-31,2.11,-1.85,185.24
2023-11-01,2.89,-1.87,310.44
2023-11-02,4.05,-1.8,1198.57
2023-11-03,5.33,-1.74,4442.11
2023-11-06,6.74,-1.7,2294.74
2023-11-07,8.16,-1.67,1463.08
2023-11-08,9.53,-1.66,1553.42
2023-11-09,10.24,-1.66,112700.0
2023-11-10,11.92,-1.56,1020.39
2023-11-13,13.36,-1.51,1047.89
2023-11-14,15.26,-1.37,488.32
2023-11-15,16.98,-1.15,478.15
2023-11-16,18.77,-0.88,444.74
2023-11-17,18.44,-0.54,299.48
2023-11-20,18.88,-0.16,299.35
2023-11-21,18.21,0.18,273.85
2023-11-22,17.37,0.6,242.0
2023-11-24,16.74,1.09,249.49
2023-11-27,17.12,1.59,269.51
2023-11-28,16.49,2.04,220.67
2023-11-29,16.49,2.45,245.13
2023-11-30,16.52,2.83,224.02
2023-12-01,16.63,3.15,212.46
2023-12-04,16.2,3.39,197.85
2023-12-05,15.86,3.63,168.9
2023-12-06,15.12,3.83,166.53
2023-12-07,14.87,4.07,183.52
2023-12-08,14.32,4.36,156.85
2023-12-11,15.33,4.59,231.7
2023-12-12,16.98,4.84,231.36
2023-12-13,18.8,5.07,173.99
2023-12-14,20.8,5.31,208.04
2023-12-15,22.92,5.52,215.76
2023-12-18,23.71,5.76,181.32
2023-12-19,24.49,5.99,181.11
2023-12-20,24.47,6.14,187.88
2023-12-21,24.42,6.32,199.4
2023-12-22,24.44,6.51,198.02
2023-12-26,25.04,6.72,204.7
2023-12-27,25.32,6.94,198.68
2023-12-28,26.27,7.15,189.24
2023-12-29,26.37,7.34,188.05
2024-01-02,25.13,7.47,136.76
2024-01-03,23.1,7.59,126.96
2024-01-04,20.75,7.7,113.83
2024-01-05,18.53,7.83,106.79
2024-01-08,16.86,8.0,94.24
2024-01-09,16.35,8.14,94.66
2024-01-10,16.1,8.3,71.8
2024-01-11,16.5,8.43,90.32
2024-01-12,16.85,8.5,83.64
2024-01-16,17.19,8.53,111.77
2024-01-17,17.55,8.55,120.67
2024-01-18,19.17,8.58,159.87
2024-01-19,21.64,8.64,188.3
2024-01-22,24.27,8.79,185.21
2024-01-23,26.31,8.91,168.98
2024-01-24,29.52,9.03,217.05
2024-01-25,31.41,9.15,192.48
2024-01-26,31.25,9.27,155.15
2024-01-29,31.28,9.42,150.66
2024-01-30,31.15,9.57,137.7
2024-01-31,29.64,9.69,158.47
2024-02-01,28.66,9.88,149.13
2024-02-02,28.75,10.14,137.39
2024-02-05,29.04,10.38,162.3
2024-02-06,29.36,10.55,143.81
2024-02-07,30.26,10.77,141.32
2024-02-08,31.25,10.97,154.99
2024-02-09,33.6,11.19,202.2
2024-02-12,35.48,11.41,201.69
2024-02-13,36.92,11.57,206.9
2024-02-14,38.91,11.81,216.23
2024-02-15,40.72,12.04,208.12
2024-02-16,42.66,12.18,283.28
2024-02-20,43.16,12.29,242.18
2024-02-21,44.57,12.39,246.06
2024-02-22,46.48,12.6,241.5
2024-02-23,47.82,12.77,228.29
2024-02-26,48.38,12.93,267.62
2024-02-27,50.31,13.07,259.35
2024-02-28,51.33,13.21,237.75
2024-02-29,51.59,13.44,247.84
2024-03-01,53.23,13.65,263.06
2024-03-04,53.86,13.82,262.69
2024-03-05,54.29,13.94,279.96
2024-03-06,56.16,14.08,288.12
2024-03-07,57.51,14.24,263.98
2024-03-08,56.84,14.36,247.14
2024-03-11,55.67,14.45,229.65
2024-03-12,55.33,14.6,225.15
2024-03-13,53.66,14.81,208.5
2024-03-14,51.95,14.96,213.38
2024-03-15,50.95,15.04,216.8
2024-03-18,50.85,15.18,214.62
2024-03-19,50.33,15.38,207.72
2024-03-20,50.99,15.6,209.38
2024-03-21,52.48,15.74,227.93
2024-03-22,54.19,15.85,233.53
2024-03-25,55.34,15.98,230.48
2024-03-26,56.12,16.07,227.47
2024-03-27,56.56,16.22,218.38
2024-03-28,55.88,16.34,211.05
2024-04-01,55.45,16.41,223.69
2024-04-02,54.91,16.45,225.26
2024-04-03,54.82,16.55,229.17
2024-04-04,53.95,16.56,236.84
2024-04-05,54.0,16.57,235.13
2024-04-08,54.05,16.61,239.67
2024-04-09,54.69,16.66,242.9
2024-04-10,54.96,16.61,260.58
2024-04-11,56.38,16.61,260.48
2024-04-12,56.38,16.54,270.68
2024-04-15,55.88,16.44,295.62
2024-04-16,55.74,16.3,322.85
2024-04-17,54.36,16.1,288.49
2024-04-18,51.59,15.85,262.62
2024-04-19,48.91,15.54,261.92
2024-04-22,46.5,15.29,232.88
2024-04-23,44.09,15.13,219.61
2024-04-24,43.52,14.97,236.82
2024-04-25,43.99,14.76,256.61
2024-04-26,46.01,14.6,259.41
2024-04-29,48.36,14.48,259.4
2024-04-30,49.16,14.3,271.17
2024-05-01,48.7,14.09,254.53
2024-05-02,48.6,13.99,248.88
2024-05-03,48.53,13.91,247.05
2024-05-06,48.88,13.88,244.27
2024-05-07,49.98,13.86,233.79
2024-05-08,51.93,13.89,233.77
2024-05-09,53.16,13.91,216.23
2024-05-10,53.98,14.01,228.25
2024-05-13,53.65,14.18,214.72
2024-05-14,54.02,14.39,218.28
2024-05-15,55.51,14.7,224.46
2024-05-16,56.65,15.01,214.75
2024-05-17,56.99,15.37,204.05
2024-05-20,58.95,15.7,233.02
2024-05-21,60.42,15.97,226.89
2024-05-22,60.52,16.23,226.49
2024-05-23,61.1,16.46,241.51
2024-05-24,62.4,16.69,238.65
2024-05-28,62.6,16.89,238.55
2024-05-29,62.49,17.15,244.87
2024-05-30,62.25,17.39,249.74
2024-05-31,61.83,17.64,224.48
2024-06-03,60.65,17.8,218.81
2024-06-04,59.12,17.92,208.4
2024-06-05,59.54,18.1,228.11
2024-06-06,60.1,18.27,222.42
2024-06-07,60.88,18.41,224.81
2024-06-10,62.91,18.56,242.25
2024-06-11,65.49,18.72,244.22
2024-06-12,67.57,18.9,254.75
2024-06-13,69.88,19.03,250.75
2024-06-14,72.11,19.17,247.33
2024-06-17,74.25,19.34,251.7
2024-06-18,76.85,19.53,262.77
2024-06-20,77.19,19.69,242.49
2024-06-21,76.88,19.85,231.58
2024-06-24,75.83,20.04,217.77
2024-06-25,74.58,20.2,226.38
2024-06-26,72.3,20.37,217.7
2024-06-27,71.21,20.59,216.64
2024-06-28,71.3,20.81,239.38
2024-07-01,72.16,20.98,240.44
2024-07-02,72.8,21.18,240.63
2024-07-03,74.05,21.4,240.83
2024-07-05,75.15,21.58,230.4
2024-07-08,76.21,21.76,238.92
2024-07-09,78.0,21.96,252.33
2024-07-10,79.83,22.18,248.33
2024-07-11,79.53,22.35,221.66
2024-07-12,79.6,22.5,219.63
