Date,rate_DHI_5D,rate_VOO_20D,Max_Divergence
2022-07-25,-19.68,-15.37,-47.28
2022-07-26,-19.48,-15.34,-37.82
2022-07-27,-18.47,-15.11,-39.6
2022-07-28,-17.94,-14.82,-48.86
2022-07-29,-17.8,-14.42,-71.4
2022-08-01,-17.11,-14.1,-64.81
2022-08-02,-17.03,-13.8,-89.66
2022-08-03,-17.5,-13.46,-110.64
2022-08-04,-17.67,-13.19,-87.69
2022-08-05,-17.84,-12.92,-88.08
2022-08-08,-18.0,-12.6,-79.19
2022-08-09,-17.85,-12.26,-92.41
2022-08-10,-17.19,-11.84,-91.24
2022-08-11,-16.89,-11.41,-88.84
2022-08-12,-16.39,-11.0,-106.34
2022-08-15,-16.16,-10.54,-124.07
2022-08-16,-15.61,-10.19,-129.84
2022-08-17,-15.89,-9.88,-136.99
2022-08-18,-16.16,-9.61,-140.08
2022-08-19,-16.94,-9.34,-137.44
2022-08-22,-17.82,-9.14,-116.77
2022-08-23,-18.64,-8.9,-112.26
2022-08-24,-18.9,-8.76,-102.07
2022-08-25,-18.92,-8.62,-106.24
2022-08-26,-19.13,-8.66,-91.83
2022-08-29,-19.21,-8.71,-89.16
2022-08-30,-19.34,-8.77,-80.3
2022-08-31,-19.86,-8.91,-78.26
2022-09-01,-20.52,-9.02,-79.74
2022-09-02,-20.62,-9.16,-70.7
2022-09-06,-20.83,-9.3,-76.17
2022-09-07,-20.8,-9.36,-87.52
2022-09-08,-20.45,-9.46,-87.28
2022-09-09,-19.99,-9.5,-98.9
2022-09-12,-19.38,-9.55,-111.66
2022-09-13,-19.61,-9.8,-87.93
2022-09-14,-20.08,-10.04,-94.96
2022-09-15,-20.62,-10.31,-75.38
2022-09-16,-21.1,-10.62,-54.74
2022-09-19,-21.31,-10.85,-45.85
2022-09-20,-20.74,-11.07,-44.89
2022-09-21,-20.25,-11.36,-35.01
2022-09-22,-19.97,-11.69,-31.69
2022-09-23,-19.92,-12.13,-18.26
2022-09-26,-20.97,-12.5,-32.42
2022-09-27,-21.93,-12.87,-35.17
2022-09-28,-21.93,-13.15,-20.15
2022-09-29,-22.49,-13.48,-26.75
2022-09-30,-23.38,-13.91,-24.55
2022-10-03,-22.72,-14.17,-18.07
2022-10-04,-21.24,-14.31,-14.91
2022-10-05,-20.81,-14.52,-20.96
2022-10-06,-19.51,-14.79,-7.55
2022-10-07,-18.4,-15.24,-5.45
2022-10-10,-18.08,-15.77,-0.37
2022-10-11,-18.32,-16.14,5.18
2022-10-12,-18.66,-16.53,-1.89
2022-10-13,-19.36,-16.77,-17.68
2022-10-14,-20.08,-17.07,-18.08
2022-10-17,-20.58,-17.3,-23.37
2022-10-18,-20.65,-17.44,-14.2
2022-10-19,-21.42,-17.53,-40.51
2022-10-20,-22.21,-17.62,-39.39
2022-10-21,-21.96,-17.54,-38.0
2022-10-24,-21.69,-17.38,-36.64
2022-10-25,-21.01,-17.14,-14.85
2022-10-26,-19.33,-16.99,-10.43
2022-10-27,-17.4,-16.77,-3.34
2022-10-28,-15.56,-16.4,0.24
2022-10-31,-14.28,-16.18,-4.78
2022-11-01,-13.78,-16.09,2.08
2022-11-02,-13.73,-16.09,-0.13
2022-11-03,-14.13,-16.1,-5.26
2022-11-04,-14.68,-15.93,-2.16
2022-11-07,-14.99,-15.69,-8.2
2022-11-08,-15.9,-15.4,-27.12
2022-11-09,-15.84,-15.19,2.95
2022-11-10,-13.56,-14.86,49.68
2022-11-11,-11.41,-14.39,56.61
2022-11-14,-10.0,-14.06,23.88
2022-11-15,-7.57,-13.74,48.39
2022-11-16,-5.87,-13.43,40.64
2022-11-17,-6.39,-13.09,26.29
2022-11-18,-7.17,-12.84,21.45
2022-11-21,-7.36,-12.64,15.83
2022-11-22,-7.7,-12.46,29.25
2022-11-23,-7.38,-12.22,47.74
2022-11-25,-6.87,-11.96,40.22
2022-11-28,-6.44,-11.86,42.0
2022-11-29,-5.63,-11.75,52.44
2022-11-30,-4.88,-11.5,61.61
2022-12-01,-4.38,-11.13,71.39
2022-12-02,-3.81,-10.73,66.67
2022-12-05,-3.48,-10.46,53.49
2022-12-06,-3.52,-10.29,50.56
2022-12-07,-3.44,-10.16,75.48
2022-12-08,-3.61,-9.91,70.13
2022-12-09,-3.83,-9.91,65.77
2022-12-12,-3.5,-9.89,71.38
2022-12-13,-2.74,-9.8,82.92
2022-12-14,-2.49,-9.78,85.16
2022-12-15,-1.48,-9.83,117.12
2022-12-16,-0.58,-9.92,106.37
2022-12-19,-0.15,-10.07,95.24
2022-12-20,-0.07,-10.22,91.76
2022-12-21,0.45,-10.36,109.87
2022-12-22,0.43,-10.59,113.91
2022-12-23,0.39,-10.79,104.47
2022-12-27,0.66,-10.94,105.1
2022-12-28,0.68,-11.14,93.2
2022-12-29,0.6,-11.39,106.35
2022-12-30,0.33,-11.67,104.06
2023-01-03,0.66,-11.94,116.67
2023-01-04,1.18,-12.1,125.79
2023-01-05,2.18,-12.25,129.52
2023-01-06,3.1,-12.29,146.42
2023-01-09,3.9,-12.37,138.47
2023-01-10,4.55,-12.39,148.75
2023-01-11,5.44,-12.41,176.79
2023-01-12,6.18,-12.45,179.08
2023-01-13,6.49,-12.45,174.39
2023-01-17,7.07,-12.34,178.09
2023-01-18,7.32,-12.26,161.2
2023-01-19,6.52,-12.16,131.9
2023-01-20,6.27,-11.98,164.54
2023-01-23,6.43,-11.8,187.36
2023-01-24,6.8,-11.57,202.77
2023-01-25,6.97,-11.36,184.24
2023-01-26,8.05,-11.09,212.66
2023-01-27,8.51,-10.75,212.31
2023-01-30,8.32,-10.54,176.82
2023-01-31,8.7,-10.26,246.08
2023-02-01,9.63,-9.92,288.19
2023-02-02,10.94,-9.55,397.14
2023-02-03,11.54,-9.18,289.86
2023-02-06,12.25,-8.93,254.23
2023-02-07,12.37,-8.61,311.67
2023-02-08,11.82,-8.38,244.9
2023-02-09,10.67,-8.25,234.33
2023-02-10,10.48,-8.11,252.11
2023-02-13,10.99,-7.95,312.97
2023-02-14,10.93,-7.78,287.42
2023-02-15,11.34,-7.52,298.8
2023-02-16,11.21,-7.29,230.04
2023-02-17,10.27,-7.16,183.63
2023-02-21,7.98,-7.17,116.76
2023-02-22,6.19,-7.18,127.16
2023-02-23,4.63,-7.17,142.78
2023-02-24,3.29,-7.25,126.05
2023-02-27,2.65,-7.33,130.72
2023-02-28,3.14,-7.38,141.04
2023-03-01,3.08,-7.49,122.09
2023-03-02,2.74,-7.62,122.43
2023-03-03,3.08,-7.75,154.07
2023-03-06,3.06,-7.83,136.26
2023-03-07,2.76,-7.95,127.27
2023-03-08,3.4,-8.12,159.89
2023-03-09,4.32,-8.32,162.83
2023-03-10,4.62,-8.55,148.4
2023-03-13,5.53,-8.79,161.6
2023-03-14,6.94,-9.01,190.25
2023-03-15,7.49,-9.26,173.42
2023-03-16,8.19,-9.45,205.62
2023-03-17,8.93,-9.63,189.22
2023-03-20,9.16,-9.75,187.23
2023-03-21,9.01,-9.73,201.74
2023-03-22,8.88,-9.77,174.21
2023-03-23,8.48,-9.83,182.24
2023-03-24,8.37,-9.82,191.63
2023-03-27,8.07,-9.83,173.79
2023-03-28,7.81,-9.82,177.4
2023-03-29,7.83,-9.75,189.9
2023-03-30,7.59,-9.68,188.58
2023-03-31,7.76,-9.62,247.2
2023-04-03,8.35,-9.54,263.5
2023-04-04,8.69,-9.41,238.76
2023-04-05,9.02,-9.31,234.01
2023-04-06,9.07,-9.1,211.54
2023-04-10,8.7,-8.83,223.28
2023-04-11,9.07,-8.55,285.13
2023-04-12,9.39,-8.36,260.06
2023-04-13,9.53,-8.08,276.66
2023-04-14,10.1,-7.89,276.04
2023-04-17,10.83,-7.63,311.58
2023-04-18,11.37,-7.41,369.89
2023-04-19,12.03,-7.25,363.2
2023-04-20,14.18,-7.04,447.88
2023-04-21,16.04,-6.84,431.57
2023-04-24,18.05,-6.64,476.61
2023-04-25,19.39,-6.52,395.0
2023-04-26,20.33,-6.42,347.83
2023-04-27,20.5,-6.29,468.79
2023-04-28,21.22,-6.14,559.88
2023-05-01,21.11,-6.06,523.79
2023-05-02,21.1,-6.06,453.33
2023-05-03,21.8,-6.06,436.6
2023-05-04,21.46,-6.08,369.49
2023-05-05,20.99,-6.04,466.19
2023-05-08,21.01,-6.0,476.96
2023-05-09,21.1,-5.98,460.83
2023-05-10,20.91,-5.92,483.01
2023-05-11,21.34,-5.93,481.64
2023-05-12,21.44,-5.93,462.56
2023-05-15,21.73,-5.94,507.78
2023-05-16,22.35,-5.97,503.42
2023-05-17,23.13,-5.96,602.18
2023-05-18,23.87,-5.87,719.42
2023-05-19,24.23,-5.79,638.17
2023-05-22,23.84,-5.71,589.1
2023-05-23,22.53,-5.62,444.7
2023-05-24,21.23,-5.54,414.55
2023-05-25,19.97,-5.5,471.57
2023-05-26,19.19,-5.45,583.8
2023-05-30,19.04,-5.4,606.89
2023-05-31,19.25,-5.32,533.78
2023-06-01,19.62,-5.16,696.53
2023-06-02,20.68,-4.9,1285.51
2023-06-05,21.66,-4.73,1161.06
2023-06-06,23.16,-4.55,1429.13
2023-06-07,24.55,-4.37,1201.26
2023-06-08,25.54,-4.18,1522.78
2023-06-09,25.89,-3.98,1701.22
2023-06-12,26.71,-3.72,3894.59
2023-06-13,26.8,-3.45,31022.22
2023-06-14,26.74,-3.15,129600.0
2023-06-15,27.11,-2.83,2100.0
2023-06-16,27.54,-2.58,3125.0
2023-06-20,27.94,-2.35,7059.52
2023-06-21,28.5,-2.14,25633.33
2023-06-22,29.56,-1.87,12912.5
2023-06-23,30.45,-1.59,6356.86
2023-06-26,31.06,-1.38,3519.57
2023-06-27,31.96,-1.17,20241.18
2023-06-28,32.58,-0.97,15236.36
2023-06-29,32.72,-0.73,15090.48
2023-06-30,32.98,-0.49,2308.7
2023-07-03,32.91,-0.31,1918.83
2023-07-05,32.03,-0.13,2186.36
2023-07-06,30.41,-0.0,4925.49
2023-07-07,29.26,0.13,9250.0
2023-07-10,28.63,0.25,5470.37
2023-07-11,28.48,0.39,2490.6
2023-07-12,29.41,0.52,1688.21
2023-07-13,31.84,0.66,1263.9
2023-07-14,34.98,0.8,1456.13
2023-07-17,36.86,0.89,1198.36
2023-07-18,38.65,1.04,930.97
2023-07-19,39.53,1.22,873.95
2023-07-20,39.3,1.39,990.77
2023-07-21,38.72,1.55,1056.08
2023-07-24,39.14,1.76,993.95
2023-07-25,39.81,2.01,940.0
2023-07-26,39.98,2.21,870.7
2023-07-27,40.33,2.37,1018.66
2023-07-28,40.32,2.58,780.32
2023-07-31,39.67,2.74,729.87
2023-08-01,38.85,2.88,813.03
2023-08-02,38.07,2.95,1179.51
2023-08-03,37.09,3.06,1212.16
2023-08-04,36.54,3.14,1656.31
2023-08-07,36.49,3.26,1190.51
2023-08-08,36.4,3.34,1354.2
2023-08-09,36.55,3.35,1641.51
2023-08-10,36.82,3.32,1504.15
2023-08-11,36.47,3.29,1540.95
2023-08-14,35.79,3.26,1276.19
2023-08-15,35.64,3.16,2070.35
2023-08-16,35.1,3.01,2728.93
2023-08-17,34.06,2.88,4386.36
2023-08-18,33.21,2.75,4097.22
2023-08-21,32.12,2.62,2395.73
2023-08-22,30.67,2.46,2969.39
2023-08-23,29.95,2.34,1701.18
2023-08-24,29.98,2.21,3574.07
2023-08-25,29.62,2.05,2176.0
2023-08-28,29.57,1.9,1613.61
2023-08-29,29.59,1.82,1042.42
2023-08-30,29.76,1.83,974.06
2023-08-31,30.11,1.84,1008.8
2023-09-01,30.76,1.89,982.25
2023-09-05,30.45,1.87,942.59
2023-09-06,30.15,1.84,1298.05
2023-09-07,29.89,1.82,1594.38
2023-09-08,29.66,1.81,1490.05
2023-09-11,29.52,1.83,1119.69
2023-09-12,29.53,1.81,1266.17
2023-09-13,29.12,1.83,1149.3
2023-09-14,28.7,1.92,841.95
2023-09-15,27.62,1.97,1336.78
2023-09-18,26.61,2.03,1299.46
2023-09-19,26.38,2.05,1495.15
2023-09-20,26.24,2.04,3447.95
2023-09-21,24.89,1.91,2552.87
2023-09-22,24.21,1.82,2064.55
2023-09-25,23.11,1.72,3010.0
2023-09-26,21.76,1.53,1019.72
2023-09-27,20.4,1.29,1004.74
2023-09-28,20.37,1.05,1204.17
2023-09-29,19.97,0.8,1011.63
2023-10-02,19.46,0.55,945.02
2023-10-03,18.38,0.24,518.29
2023-10-04,17.73,0.01,687.04
2023-10-05,16.53,-0.22,647.12
2023-10-06,15.77,-0.4,1055.76
2023-10-09,15.75,-0.58,1840.2
2023-10-10,16.71,-0.7,3744.23
2023-10-11,17.65,-0.82,20670.0
2023-10-12,17.33,-1.0,2072.46
2023-10-13,17.19,-1.15,1343.8
2023-10-16,16.84,-1.25,8521.05
2023-10-17,16.34,-1.34,8757.89
2023-10-18,14.96,-1.45,1013.33
2023-10-19,14.72,-1.52,633.62
2023-10-20,14.05,-1.64,434.47
2023-10-23,13.52,-1.79,462.77
2023-10-24,12.82,-1.84,536.03
2023-10-25,12.43,-1.95,372.16
2023-10-26,12.52,-2.12,334.98
2023-10-27,12.75,-2.31,319.42
2023-10-30,12.75,-2.44,380.67
2023-10-31,13.33,-2.48,478.76
2023-11-01,15.17,-2.5,776.38
2023-11-02,17.81,-2.43,2102.31
2023-11-03,21.49,-2.36,7547.62
2023-11-06,24.82,-2.33,13160.87
2023-11-07,28.41,-2.3,67520.0
2023-11-08,31.13,-2.29,26446.15
2023-11-09,32.58,-2.28,5555.74
2023-11-10,33.42,-2.18,3798.9
2023-11-13,34.43,-2.13,4229.63
2023-11-14,36.13,-1.98,1460.89
2023-11-15,37.47,-1.76,1306.14
2023-11-16,38.99,-1.49,1232.25
2023-11-17,40.17,-1.15,1184.78
2023-11-20,41.5,-0.77,948.99
2023-11-21,41.03,-0.44,973.39
2023-11-22,40.84,-0.01,867.07
2023-11-24,40.8,0.47,867.46
2023-11-27,40.41,0.97,877.67
2023-11-28,39.87,1.41,845.76
2023-11-29,39.98,1.82,894.84
2023-11-30,40.12,2.2,817.94
2023-12-01,40.7,2.51,777.87
2023-12-04,41.47,2.76,869.28
2023-12-05,42.36,2.99,881.72
2023-12-06,43.58,3.19,1062.59
2023-12-07,45.31,3.42,933.13
2023-12-08,46.97,3.72,892.35
2023-12-11,48.8,3.95,830.37
2023-12-12,50.77,4.22,767.64
2023-12-13,53.07,4.46,667.64
2023-12-14,56.72,4.71,761.04
2023-12-15,59.25,4.94,736.4
2023-12-18,61.36,5.2,656.37
2023-12-19,63.64,5.45,621.52
2023-12-20,64.77,5.61,812.59
2023-12-21,64.16,5.8,709.11
2023-12-22,64.13,6.0,679.54
2023-12-26,64.59,6.24,649.77
2023-12-27,64.92,6.48,645.62
2023-12-28,65.48,6.72,646.75
2023-12-29,65.84,6.93,671.84
2024-01-02,65.59,7.07,709.62
2024-01-03,64.76,7.2,769.94
2024-01-04,63.65,7.31,808.67
2024-01-05,62.69,7.45,806.3
2024-01-08,62.52,7.63,689.56
2024-01-09,62.93,7.77,708.05
2024-01-10,64.36,7.93,677.65
2024-01-11,65.94,8.06,686.04
2024-01-12,67.09,8.12,668.49
2024-01-16,67.24,8.14,690.26
2024-01-17,67.28,8.15,735.5
2024-01-18,66.85,8.17,653.02
2024-01-19,66.92,8.23,584.24
2024-01-22,67.74,8.39,593.61
2024-01-23,65.6,8.53,423.92
2024-01-24,62.84,8.65,380.0
2024-01-25,60.46,8.78,376.76
2024-01-26,57.25,8.9,369.03
2024-01-29,53.46,9.06,335.29
2024-01-30,53.48,9.23,365.81
2024-01-31,54.29,9.35,444.13
2024-02-01,55.32,9.57,418.53
2024-02-02,56.49,9.87,369.0
2024-02-05,57.37,10.13,369.88
2024-02-06,57.12,10.34,337.84
2024-02-07,57.29,10.61,321.34
2024-02-08,56.71,10.84,318.32
2024-02-09,56.28,11.11,302.13
2024-02-12,56.94,11.38,329.3
2024-02-13,56.79,11.58,332.61
2024-02-14,56.97,11.86,323.95
2024-02-15,57.14,12.14,300.49
2024-02-16,56.35,12.32,285.19
2024-02-20,55.31,12.46,321.22
2024-02-21,55.66,12.59,321.95
2024-02-22,55.59,12.83,266.37
2024-02-23,55.74,13.04,271.86
2024-02-26,56.73,13.23,280.43
2024-02-27,57.15,13.4,272.32
2024-02-28,57.58,13.56,280.54
2024-02-29,58.51,13.83,294.18
2024-03-01,59.76,14.08,291.17
2024-03-04,60.96,14.27,291.04
2024-03-05,61.96,14.42,310.95
2024-03-06,63.01,14.58,300.51
2024-03-07,64.04,14.75,295.5
2024-03-08,64.17,14.89,301.3
2024-03-11,64.22,14.99,297.76
2024-03-12,64.97,15.15,281.51
2024-03-13,65.68,15.38,288.91
2024-03-14,64.62,15.55,263.82
2024-03-15,64.21,15.64,290.99
2024-03-18,63.96,15.8,273.11
2024-03-19,64.27,16.01,287.56
2024-03-20,65.0,16.28,280.77
2024-03-21,67.37,16.44,288.91
2024-03-22,69.54,16.58,302.62
2024-03-25,71.31,16.72,297.23
2024-03-26,71.99,16.83,301.3
2024-03-27,72.74,17.01,295.56
2024-03-28,73.41,17.16,310.33
2024-04-01,73.17,17.25,298.24
2024-04-02,72.05,17.31,277.84
2024-04-03,71.5,17.43,288.5
2024-04-04,69.99,17.45,311.64
2024-04-05,68.45,17.47,297.47
2024-04-08,67.37,17.53,285.75
2024-04-09,67.94,17.61,292.31
2024-04-10,65.91,17.56,253.96
2024-04-11,64.76,17.57,251.94
2024-04-12,63.32,17.51,294.32
2024-04-15,61.69,17.41,314.84
2024-04-16,59.08,17.27,297.93
2024-04-17,58.55,17.07,315.74
2024-04-18,57.53,16.8,325.15
2024-04-19,55.51,16.46,325.78
2024-04-22,54.23,16.2,301.37
2024-04-23,54.66,16.03,298.76
2024-04-24,54.74,15.87,287.18
2024-04-25,54.38,15.63,285.25
2024-04-26,55.05,15.45,264.68
2024-04-29,55.67,15.31,259.65
2024-04-30,54.49,15.12,279.84
2024-05-01,53.53,14.9,290.45
2024-05-02,53.62,14.8,284.07
2024-05-03,54.09,14.7,270.26
2024-05-06,55.01,14.67,262.38
2024-05-07,56.69,14.63,259.76
2024-05-08,57.79,14.65,236.64
2024-05-09,58.63,14.66,234.52
2024-05-10,58.94,14.76,234.7
2024-05-13,58.02,14.93,215.95
2024-05-14,57.3,15.13,212.99
2024-05-15,59.38,15.45,242.03
2024-05-16,59.69,15.76,209.92
2024-05-17,60.01,16.13,210.09
2024-05-20,60.63,16.46,199.03
2024-05-21,60.92,16.73,192.04
2024-05-22,58.18,16.99,171.46
2024-05-23,56.46,17.23,174.08
2024-05-24,55.0,17.45,172.72
2024-05-28,53.54,17.66,161.81
2024-05-29,51.85,17.91,165.12
2024-05-30,52.04,18.16,200.83
2024-05-31,53.09,18.41,197.69
2024-06-03,53.39,18.57,190.87
2024-06-04,53.43,18.69,171.87
2024-06-05,54.24,18.87,164.62
2024-06-06,53.68,19.05,152.73
2024-06-07,51.91,19.18,136.58
2024-06-10,50.93,19.33,142.37
2024-06-11,50.02,19.49,125.85
2024-06-12,49.53,19.68,135.62
2024-06-13,49.48,19.8,132.0
2024-06-14,50.01,19.94,127.71
2024-06-17,50.23,20.12,120.55
2024-06-18,50.2,20.31,100.21
2024-06-20,49.65,20.46,111.04
2024-06-21,49.43,20.62,119.23
2024-06-24,49.7,20.81,130.12
2024-06-25,49.1,20.99,108.65
2024-06-26,49.3,21.16,106.83
2024-06-27,49.31,21.39,109.08
2024-06-28,49.0,21.61,116.22
2024-07-01,47.38,21.78,95.57
2024-07-02,46.14,21.99,80.8
2024-07-03,45.09,22.22,80.23
2024-07-05,43.77,22.42,72.83
2024-07-08,42.63,22.63,74.59
2024-07-09,42.41,22.86,72.9
2024-07-10,43.33,23.12,79.52
2024-07-11,46.19,23.31,129.96
2024-07-12,49.98,23.5,139.48
2024-07-15,53.32,23.69,129.69
2024-07-16,58.8,23.91,163.28
2024-07-17,62.55,24.0,161.72
2024-07-18,67.5,24.03,241.4
2024-07-19,71.71,24.03,255.25
2024-07-22,76.94,24.11,251.13
2024-07-23,79.93,24.19,251.57
2024-07-24,82.76,24.11,270.77
2024-07-25,82.61,23.99,289.65
2024-07-26,83.26,23.93,286.3
