Date,rate_NKE,rate_NKE_5D,rate_NKE_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-02-11,-9.74,-7.438,-6.6530000000000005,-5.24,-3.504,-4.0409999999999995
2022-02-14,-8.89,-7.867999999999999,-6.83,-5.53,-3.8340000000000005,-4.247
2022-02-15,-6.41,-7.606,-6.854499999999999,-4.08,-4.0200000000000005,-4.316
2022-02-16,-5.84,-7.562,-6.807499999999999,-3.98,-4.454,-4.3425
2022-02-17,-8.14,-7.804,-6.82,-5.93,-4.952,-4.427
2022-02-18,-8.04,-7.464,-6.833,-6.5,-5.204,-4.4704999999999995
2022-02-22,-11.0,-7.886,-7.065,-7.48,-5.593999999999999,-4.5775
2022-02-23,-11.85,-8.974,-7.325,-9.06,-6.590000000000001,-4.714
2022-02-24,-11.64,-10.134,-7.533500000000001,-7.73,-7.340000000000001,-4.775
2022-02-25,-10.62,-10.629999999999999,-7.7090000000000005,-5.81,-7.316,-4.720000000000001
2022-02-28,-12.02,-11.425999999999998,-7.9895,-6.04,-7.224000000000001,-4.774
2022-03-01,-14.3,-12.086,-8.443000000000001,-7.18,-7.164,-4.96
2022-03-02,-12.19,-12.154,-8.8035,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-13.23,-12.472,-9.23,-6.03,-6.128,-5.3025
2022-03-04,-14.94,-13.335999999999999,-9.645,-6.74,-6.314,-5.439500000000001
2022-03-07,-19.05,-14.742,-10.2675,-9.33,-6.9719999999999995,-5.726
2022-03-08,-21.09,-16.1,-10.985000000000001,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-17.47,-17.156,-11.4725,-7.69,-7.954000000000001,-6.258
2022-03-10,-18.05,-18.119999999999997,-12.072,-8.09,-8.366,-6.572
2022-03-11,-20.19,-19.169999999999998,-12.735000000000001,-9.21,-8.86,-6.8605
2022-03-14,-23.38,-20.036,-13.416999999999998,-9.84,-8.962,-7.0905000000000005
2022-03-15,-22.22,-20.262,-14.0835,-7.92,-8.55,-7.210000000000001
2022-03-16,-18.52,-20.472,-14.688999999999998,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-17.1,-20.282,-15.252,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-14.66,-19.176,-15.578,-3.77,-6.45,-7.235000000000001
2022-03-21,-15.33,-17.566000000000003,-15.9425,-3.77,-5.236,-7.0985
2022-03-22,-13.47,-15.816000000000003,-16.066,-2.68,-4.188,-6.858499999999999
2022-03-23,-13.52,-14.815999999999999,-16.1495,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-14.12,-14.220000000000002,-16.2735,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-13.08,-13.904,-16.3965,-2.35,-3.106,-6.182499999999999
2022-03-28,-12.36,-13.309999999999999,-16.4135,-1.69,-2.69,-5.965000000000001
2022-03-29,-9.57,-12.530000000000001,-16.177,-0.48,-2.25,-5.63
2022-03-30,-9.95,-11.815999999999999,-16.065,-1.09,-1.688,-5.4055
2022-03-31,-12.52,-11.496,-16.0295,-2.57,-1.636,-5.2325
2022-04-01,-12.81,-11.442,-15.922999999999998,-2.24,-1.614,-5.0075
2022-04-04,-12.29,-11.427999999999999,-15.584999999999999,-1.45,-1.566,-4.6135
2022-04-05,-13.6,-12.233999999999998,-15.2105,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-16.11,-13.466,-15.142500000000002,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-15.46,-14.054000000000002,-15.013,-3.1,-2.596,-3.79
2022-04-08,-16.25,-14.742,-14.815999999999999,-3.33,-2.814,-3.496
2022-04-11,-18.27,-15.937999999999999,-14.560500000000001,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-18.23,-16.864,-14.360999999999999,-5.28,-4.044,-3.119
2022-04-13,-16.65,-16.972,-14.267500000000002,-4.23,-4.176,-3.0345
2022-04-14,-12.79,-16.438,-14.051999999999998,-5.37,-4.630000000000001,-3.063
2022-04-18,-13.97,-15.982,-14.017500000000002,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-10.47,-14.422,-13.774499999999998,-3.88,-4.822000000000001,-3.1475
2022-04-20,-11.23,-13.022,-13.6625,-3.95,-4.556,-3.211
2022-04-21,-11.5,-11.992,-13.5615,-5.34,-4.7780000000000005,-3.283
2022-04-22,-15.63,-12.56,-13.637,-7.86,-5.276,-3.5345
2022-04-25,-16.36,-13.038,-13.800999999999998,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-21.15,-15.174000000000001,-14.2405,-9.95,-6.894,-4.1985
2022-04-27,-20.69,-17.066,-14.796499999999998,-9.73,-8.05,-4.661
2022-04-28,-16.93,-18.152,-15.145499999999998,-7.52,-8.485999999999999,-4.9825
2022-04-29,-18.45,-18.716,-15.442000000000002,-10.83,-9.08,-5.3955
2022-05-02,-17.06,-18.855999999999998,-15.654499999999999,-9.99,-9.604,-5.7829999999999995
2022-05-03,-19.13,-18.451999999999998,-15.996499999999997,-9.62,-9.538,-6.1915
2022-05-04,-17.07,-17.728,-16.17,-6.99,-8.99,-6.410000000000001
2022-05-05,-21.84,-18.71,-16.4565,-10.13,-9.512,-6.7379999999999995
2022-05-06,-24.51,-19.921999999999997,-16.909,-10.67,-9.48,-7.1165
2022-05-09,-26.61,-21.832,-17.427,-13.43,-10.168,-7.6215
2022-05-10,-27.73,-23.552,-17.9,-13.22,-10.888,-8.0355
2022-05-11,-28.75,-25.887999999999998,-18.426000000000002,-14.58,-12.406,-8.500499999999999
2022-05-12,-28.76,-27.272000000000002,-19.0315,-14.64,-13.308000000000002,-9.021
2022-05-13,-25.44,-27.458000000000006,-19.664,-12.68,-13.709999999999999,-9.3865
2022-05-16,-25.71,-27.278,-20.250999999999998,-12.99,-13.622,-9.7685
2022-05-17,-23.55,-26.442,-20.905,-11.29,-13.236,-10.139
2022-05-18,-27.82,-26.256,-21.7345,-14.71,-13.262,-10.677
2022-05-19,-29.74,-26.451999999999998,-22.6465,-15.27,-13.388,-11.1735
2022-05-20,-28.72,-27.107999999999997,-23.301000000000002,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-28.3,-27.625999999999998,-23.898,-13.68,-14.040000000000001,-11.8585
2022-05-24,-29.18,-28.752,-24.299500000000002,-14.29,-14.64,-12.075500000000002
2022-05-25,-28.59,-28.906,-24.6945,-13.59,-14.416,-12.2685
2022-05-26,-25.49,-28.056,-25.122500000000002,-11.92,-13.745999999999999,-12.4885
2022-05-27,-23.49,-27.009999999999998,-25.374499999999998,-9.77,-12.65,-12.435500000000001
2022-05-31,-21.62,-25.674,-25.602500000000003,-10.26,-11.966,-12.449
2022-06-01,-21.13,-24.064,-25.702500000000004,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-18.06,-21.958,-25.752,-9.06,-10.34,-12.606
2022-06-03,-19.66,-20.791999999999998,-25.643,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-20.14,-20.122,-25.424500000000002,-10.26,-10.154,-12.604
2022-06-07,-19.19,-19.636000000000003,-25.0535,-9.4,-9.982,-12.4025
2022-06-08,-18.71,-19.151999999999997,-24.6025,-10.37,-9.918000000000001,-12.26
2022-06-09,-21.21,-19.782,-24.2255,-12.42,-10.59,-12.152
2022-06-10,-23.75,-20.6,-23.975,-14.93,-11.475999999999999,-12.1665
2022-06-13,-26.57,-21.886000000000003,-24.0315,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-26.39,-23.326,-24.0655,-18.32,-14.831999999999999,-12.705
2022-06-15,-24.59,-24.502,-24.1175,-17.18,-16.194,-12.999500000000001
2022-06-16,-28.77,-26.014,-24.165,-19.83,-17.676,-13.255500000000001
2022-06-17,-28.62,-26.988,-24.109,-19.62,-18.614,-13.472999999999999
2022-06-21,-27.73,-27.220000000000006,-24.0595,-17.71,-18.532,-13.596
2022-06-22,-30.22,-27.986,-24.1555,-17.88,-18.444,-13.806000000000001
2022-06-23,-28.18,-28.704,-24.1055,-17.04,-18.416,-13.9435
2022-06-24,-24.94,-27.938,-23.923,-14.53,-17.356,-13.9905
2022-06-27,-26.53,-27.52,-23.975,-14.84,-16.4,-14.136499999999998
2022-06-28,-31.63,-28.3,-24.382,-16.63,-16.184,-14.479499999999998
2022-06-29,-31.32,-28.52,-24.867,-16.92,-15.992,-14.8125
2022-06-30,-32.02,-29.288,-25.4115,-17.56,-16.096,-15.156
2022-07-01,-31.81,-30.662,-26.099,-16.28,-16.446,-15.517
2022-07-05,-29.79,-31.314,-26.6055,-16.14,-16.706,-15.799000000000001
2022-07-06,-29.85,-30.958,-27.091,-15.85,-16.55,-16.0785
2022-07-07,-27.26,-30.146000000000004,-27.4945,-14.65,-16.096,-16.341
2022-07-08,-27.39,-29.22,-27.928500000000003,-14.7,-15.524000000000001,-16.5575
2022-07-11,-29.27,-28.712,-28.3315,-15.64,-15.395999999999997,-16.7185
2022-07-12,-30.18,-28.790000000000003,-28.653,-16.4,-15.447999999999999,-16.792
2022-07-13,-29.27,-28.674,-28.788000000000004,-16.77,-15.632,-16.7245
2022-07-14,-30.54,-29.330000000000002,-28.9955,-16.99,-16.1,-16.658
2022-07-15,-29.55,-29.762,-29.2435,-15.46,-16.252000000000002,-16.572
2022-07-18,-30.06,-29.919999999999998,-29.308,-16.14,-16.352,-16.3875
2022-07-19,-26.55,-29.194,-29.204500000000003,-13.93,-15.857999999999999,-16.103
2022-07-20,-25.27,-28.394,-29.0815,-13.4,-15.184000000000001,-15.8875
2022-07-21,-24.93,-27.272000000000002,-28.817,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-26.6,-26.682,-28.738000000000007,-13.32,-13.868,-15.434999999999999
2022-07-25,-26.49,-25.968,-28.815500000000004,-13.24,-13.288,-15.370499999999998
2022-07-26,-29.21,-26.5,-28.9495,-14.25,-13.352,-15.341
2022-07-27,-27.44,-26.933999999999997,-28.740000000000002,-12.07,-13.086000000000002,-15.113
2022-07-28,-24.52,-26.851999999999997,-28.4,-10.99,-12.774,-14.8165
2022-07-29,-22.73,-26.078000000000003,-27.9355,-9.72,-12.053999999999998,-14.4245
2022-08-01,-22.53,-25.286,-27.4715,-9.72,-11.350000000000001,-14.0965
2022-08-02,-23.79,-24.202,-27.171499999999998,-10.15,-10.53,-13.797
2022-08-03,-22.54,-23.221999999999998,-26.806,-9.12,-9.94,-13.460500000000001
2022-08-04,-22.44,-22.806,-26.564999999999998,-9.18,-9.578,-13.187000000000001
2022-08-05,-22.74,-22.808,-26.3325,-9.31,-9.496,-12.9175
2022-08-08,-22.68,-22.838,-26.002999999999997,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-24.48,-22.976,-25.718,-9.62,-9.319999999999999,-12.265
2022-08-10,-23.08,-23.084,-25.4085,-8.33,-9.162,-11.843
2022-08-11,-22.63,-23.121999999999996,-25.012999999999998,-8.33,-8.992,-11.41
2022-08-12,-21.72,-22.918,-24.621499999999997,-7.26,-8.581999999999999,-11.0
2022-08-15,-21.61,-22.703999999999997,-24.198999999999998,-6.98,-8.104000000000001,-10.542
2022-08-16,-20.83,-21.974,-23.913,-6.87,-7.554,-10.189
2022-08-17,-21.28,-21.613999999999997,-23.7135,-7.3,-7.348000000000001,-9.884
2022-08-18,-21.75,-21.438,-23.554499999999997,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-23.03,-21.7,-23.375999999999998,-7.96,-7.244,-9.344
2022-08-22,-24.3,-22.238,-23.2665,-9.24,-7.696,-9.144
2022-08-23,-24.14,-22.900000000000002,-23.013,-9.38,-8.198,-8.9005
2022-08-24,-23.81,-23.406,-22.8315,-9.2,-8.578,-8.757
2022-08-25,-22.99,-23.654,-22.755,-8.33,-8.822,-8.623999999999999
2022-08-26,-25.23,-24.094,-22.880000000000003,-10.4,-9.31,-8.658
2022-08-29,-25.42,-24.318,-23.0245,-10.79,-9.620000000000001,-8.7115
2022-08-30,-25.43,-24.576,-23.1065,-11.42,-10.028,-8.774999999999999
2022-08-31,-26.07,-25.028,-23.283,-11.87,-10.562,-8.9125
2022-09-01,-25.38,-25.506,-23.43,-11.4,-11.175999999999998,-9.0235
2022-09-02,-25.72,-25.604000000000003,-23.579,-11.98,-11.492,-9.157
2022-09-06,-25.98,-25.715999999999998,-23.744,-12.17,-11.768,-9.297
2022-09-07,-24.08,-25.445999999999998,-23.723999999999997,-10.9,-11.664,-9.361
2022-09-08,-23.92,-25.016000000000002,-23.766,-10.38,-11.366,-9.4635
2022-09-09,-22.5,-24.439999999999998,-23.7595,-9.13,-10.912,-9.503499999999999
2022-09-12,-21.6,-23.616,-23.753500000000003,-8.23,-10.162,-9.552
2022-09-13,-26.03,-23.625999999999998,-23.9745,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-25.18,-23.846000000000004,-24.192,-11.7,-10.290000000000001,-10.045
2022-09-15,-26.17,-24.296,-24.436500000000002,-12.63,-10.74,-10.311499999999999
2022-09-16,-27.09,-25.214,-24.7035,-13.28,-11.57,-10.620000000000001
2022-09-19,-25.04,-25.901999999999997,-24.804,-12.65,-12.453999999999999,-10.8545
2022-09-20,-28.3,-26.356,-25.004,-13.61,-12.774,-11.073
2022-09-21,-30.09,-27.338,-25.301499999999997,-15.08,-13.45,-11.358
2022-09-22,-30.94,-28.292,-25.658000000000005,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-31.98,-29.27,-26.107499999999998,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-32.63,-30.788,-26.4775,-17.92,-15.906,-12.503499999999999
2022-09-27,-32.47,-31.622000000000003,-26.830000000000002,-18.14,-16.812,-12.871
2022-09-28,-30.81,-31.766,-27.099,-16.92,-17.18,-13.146
2022-09-29,-33.14,-32.206,-27.452500000000004,-18.62,-17.748,-13.483500000000001
2022-09-30,-41.58,-34.126,-28.2625,-19.84,-18.288,-13.905499999999998
2022-10-03,-39.0,-35.4,-28.926499999999997,-17.32,-18.168,-14.172500000000003
2022-10-04,-36.75,-36.25599999999999,-29.464999999999996,-14.89,-17.518,-14.3085
2022-10-05,-35.05,-37.104,-30.0135,-15.03,-17.14,-14.515
2022-10-06,-35.69,-37.614,-30.601999999999997,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-37.78,-36.854,-31.366000000000003,-18.18,-16.264,-15.243500000000001
2022-10-10,-38.11,-36.676,-32.1915,-18.77,-16.554,-15.770500000000002
2022-10-11,-37.19,-36.763999999999996,-32.7495,-19.3,-17.436,-16.135
2022-10-12,-36.83,-37.12,-33.332,-19.54,-18.338,-16.526999999999997
2022-10-13,-36.09,-37.2,-33.827999999999996,-17.48,-18.654,-16.7695
2022-10-14,-37.5,-37.144,-34.348499999999994,-19.3,-18.878,-17.070500000000003
2022-10-17,-35.8,-36.682,-34.8865,-17.29,-18.582,-17.3025
2022-10-18,-36.01,-36.446000000000005,-35.272000000000006,-16.34,-17.99,-17.439
2022-10-19,-36.79,-36.438,-35.607,-16.91,-17.464,-17.530499999999996
2022-10-20,-38.02,-36.824,-35.961,-17.57,-17.482,-17.619999999999997
2022-10-21,-36.84,-36.692,-36.204,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-37.18,-36.968,-36.43150000000001,-14.63,-16.216,-17.380000000000003
2022-10-25,-34.55,-36.676,-36.5355,-13.27,-15.602,-17.1365
2022-10-26,-34.08,-36.134,-36.699,-13.9,-15.0,-16.9855
2022-10-27,-35.39,-35.608,-36.8115,-14.35,-14.356,-16.772
2022-10-28,-33.05,-34.85,-36.385000000000005,-12.4,-13.709999999999999,-16.4
2022-10-31,-33.87,-34.187999999999995,-36.1285,-12.98,-13.38,-16.183
2022-11-01,-32.29,-33.736000000000004,-35.905499999999996,-13.0,-13.325999999999999,-16.0885
2022-11-02,-34.69,-33.858000000000004,-35.8875,-15.11,-13.568000000000001,-16.0925
2022-11-03,-34.62,-33.70399999999999,-35.834,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-30.89,-33.272,-35.4895,-14.8,-14.372,-15.927000000000001
2022-11-07,-32.52,-33.001999999999995,-35.21,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-32.3,-33.004,-34.9655,-13.57,-14.696000000000002,-15.4035
2022-11-09,-33.46,-32.757999999999996,-34.797,-15.28,-14.73,-15.1905
2022-11-10,-28.25,-31.484,-34.405,-10.81,-13.697999999999999,-14.857
2022-11-11,-23.6,-30.026,-33.71,-9.98,-12.734,-14.391
2022-11-14,-24.8,-28.482,-33.16,-10.68,-12.064,-14.060500000000001
2022-11-15,-23.15,-26.651999999999997,-32.516999999999996,-9.96,-11.342,-13.741499999999998
2022-11-16,-24.2,-24.8,-31.8875,-10.63,-10.412,-13.4275
2022-11-17,-24.11,-23.971999999999998,-31.192,-10.88,-10.426,-13.093
2022-11-18,-24.06,-24.064,-30.552999999999997,-10.49,-10.528,-12.836000000000002
2022-11-21,-25.2,-24.144,-29.953999999999997,-10.8,-10.552000000000001,-12.6445
2022-11-22,-23.67,-24.247999999999998,-29.409999999999997,-9.64,-10.488000000000001,-12.463
2022-11-23,-23.18,-24.044,-28.865,-9.09,-10.180000000000001,-12.2225
2022-11-25,-23.67,-23.956,-28.278999999999996,-9.1,-9.824,-11.96
2022-11-28,-24.39,-24.022000000000002,-27.845999999999997,-10.5,-9.825999999999999,-11.865
2022-11-29,-23.6,-23.702,-27.3325,-10.66,-9.798,-11.749
2022-11-30,-21.51,-23.270000000000003,-26.7935,-7.97,-9.464,-11.4975
2022-12-01,-20.16,-22.666000000000004,-26.066999999999997,-7.76,-9.198,-11.129999999999999
2022-12-02,-19.51,-21.834,-25.311500000000002,-7.89,-8.956,-10.725999999999999
2022-12-05,-21.04,-21.163999999999998,-24.819,-9.46,-8.748000000000001,-10.459
2022-12-06,-22.15,-20.874000000000002,-24.3005,-10.72,-8.76,-10.2935
2022-12-07,-21.89,-20.95,-23.779999999999998,-10.89,-9.344,-10.1595
2022-12-08,-19.9,-20.898,-23.102,-10.21,-9.834,-9.906000000000002
2022-12-09,-21.17,-21.229999999999997,-22.748,-10.84,-10.424000000000001,-9.9075
2022-12-12,-19.44,-20.910000000000004,-22.54,-9.61,-10.454,-9.889
2022-12-13,-18.98,-20.276,-22.249,-8.96,-10.102,-9.803
2022-12-14,-19.8,-19.857999999999997,-22.0815,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-21.53,-20.184000000000005,-21.948,-11.68,-10.118,-9.8325
2022-12-16,-23.04,-20.558,-21.8945,-12.71,-10.492,-9.924
2022-12-19,-24.75,-21.619999999999997,-21.929,-13.44,-11.258,-10.0715
2022-12-20,-24.64,-22.752000000000002,-21.901,-13.72,-12.209999999999999,-10.2175
2022-12-21,-16.38,-22.068,-21.5365,-12.46,-12.802000000000001,-10.3585
2022-12-22,-15.77,-20.916000000000004,-21.166,-13.66,-13.197999999999999,-10.587
2022-12-23,-16.08,-19.524,-20.7865,-13.19,-13.294,-10.7915
2022-12-27,-15.22,-17.618000000000002,-20.328,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-16.91,-16.072,-19.9935,-14.56,-13.478,-11.1375
2022-12-29,-15.35,-15.866,-19.6855,-13.08,-13.602,-11.392999999999999
2022-12-30,-15.58,-15.828,-19.4565,-13.31,-13.532,-11.6705
2023-01-03,-14.1,-15.431999999999999,-19.186,-13.32,-13.558000000000002,-11.942
2023-01-04,-12.42,-14.872,-18.755,-12.72,-13.398000000000001,-12.105
2023-01-05,-12.84,-14.057999999999998,-18.2895,-13.65,-13.216,-12.2515
2023-01-06,-10.07,-13.001999999999999,-17.698500000000003,-11.74,-12.948000000000002,-12.294
2023-01-09,-9.84,-11.854,-17.1955,-11.8,-12.646,-12.3735
2023-01-10,-9.13,-10.86,-16.5935,-11.18,-12.218,-12.3905
2023-01-11,-7.62,-9.9,-16.002499999999998,-10.08,-11.690000000000001,-12.414
2023-01-12,-7.66,-8.864,-15.4365,-9.75,-10.91,-12.4535
2023-01-13,-6.97,-8.244,-14.795000000000002,-9.41,-10.444,-12.449
2023-01-17,-7.48,-7.772,-14.092499999999998,-9.54,-9.992,-12.342
2023-01-18,-8.7,-7.686,-13.375499999999999,-10.98,-9.952,-12.255500000000001
2023-01-19,-10.07,-8.176,-12.6415,-11.6,-10.256,-12.1635
2023-01-20,-8.57,-8.358,-11.838,-10.01,-10.308,-11.978
2023-01-23,-7.37,-8.437999999999999,-11.3875,-8.94,-10.213999999999999,-11.802
2023-01-24,-8.26,-8.594,-11.012,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-8.27,-8.508,-10.621500000000001,-9.01,-9.72,-11.362
2023-01-26,-7.83,-8.059999999999999,-10.252,-8.06,-9.012,-11.089
2023-01-27,-7.83,-7.912000000000001,-9.797999999999998,-7.8,-8.57,-10.751
2023-01-30,-8.54,-8.146,-9.4575,-8.93,-8.568,-10.5435
2023-01-31,-7.99,-8.091999999999999,-9.078,-7.66,-8.291999999999998,-10.261
2023-02-01,-6.6,-7.758,-8.703,-6.52,-7.794,-9.921
2023-02-02,-6.84,-7.56,-8.424,-5.25,-7.231999999999999,-9.5475
2023-02-03,-7.66,-7.525999999999999,-8.165,-6.21,-6.914,-9.175500000000001
2023-02-06,-8.71,-7.56,-8.097,-6.73,-6.473999999999999,-8.925
2023-02-07,-8.96,-7.754,-8.053,-5.74,-6.09,-8.622
2023-02-08,-10.52,-8.538,-8.122499999999999,-6.59,-6.104,-8.3925
2023-02-09,-10.99,-9.368,-8.291,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-10.96,-10.028000000000002,-8.456,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-9.08,-10.102,-8.5615,-6.18,-6.564,-7.955
2023-02-14,-8.36,-9.982,-8.605500000000001,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-7.49,-9.376000000000001,-8.545,-5.96,-6.531999999999999,-7.5375
2023-02-16,-9.61,-9.1,-8.522,-6.98,-6.478,-7.3065
2023-02-17,-9.29,-8.766,-8.558,-7.17,-6.5,-7.164500000000001
2023-02-21,-11.85,-9.319999999999999,-8.782,-8.6,-6.984,-7.147500000000001
2023-02-22,-12.67,-10.181999999999999,-9.0025,-8.69,-7.4799999999999995,-7.13
2023-02-23,-12.63,-11.209999999999999,-9.2205,-8.34,-7.956,-7.096500000000001
2023-02-24,-13.94,-12.075999999999999,-9.526,-9.1,-8.379999999999999,-7.1485
2023-02-27,-13.61,-12.940000000000001,-9.815000000000001,-8.85,-8.716,-7.2010000000000005
2023-02-28,-13.42,-13.254000000000001,-10.059,-9.16,-8.828,-7.2125
2023-03-01,-13.27,-13.374,-10.323,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-12.58,-13.363999999999999,-10.622,-8.66,-9.001999999999999,-7.3985
2023-03-03,-11.64,-12.904,-10.862,-7.41,-8.663999999999998,-7.5065
2023-03-06,-12.17,-12.616,-11.0875,-7.32,-8.358,-7.561999999999999
2023-03-07,-12.59,-12.45,-11.2815,-8.65,-8.256,-7.6579999999999995
2023-03-08,-12.39,-12.274000000000001,-11.453,-8.52,-8.112,-7.797
2023-03-09,-13.81,-12.52,-11.617500000000001,-10.08,-8.396,-7.971499999999999
2023-03-10,-14.08,-13.008,-11.772,-11.27,-9.168000000000001,-8.1725
2023-03-13,-14.52,-13.478,-11.95,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-12.99,-13.558000000000002,-12.145500000000002,-10.0,-10.256,-8.581
2023-03-15,-13.58,-13.796000000000001,-12.4065,-10.53,-10.658,-8.797
2023-03-16,-11.8,-13.394,-12.622,-9.06,-10.453999999999999,-8.952
2023-03-17,-11.99,-12.975999999999999,-12.741,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-11.41,-12.354000000000001,-12.847,-9.23,-9.768,-9.206999999999999
2023-03-21,-8.22,-11.4,-12.6655,-8.08,-9.384,-9.181000000000001
2023-03-22,-12.64,-11.212,-12.664,-9.56,-9.190000000000001,-9.2245
2023-03-23,-11.57,-11.166,-12.611,-9.35,-9.248000000000001,-9.275
2023-03-24,-11.76,-11.120000000000001,-12.502,-9.13,-9.069999999999999,-9.2765
2023-03-27,-13.86,-11.610000000000001,-12.5145,-8.98,-9.02,-9.283
2023-03-28,-13.82,-12.73,-12.5345,-9.14,-9.232000000000001,-9.282
2023-03-29,-11.91,-12.584,-12.4665,-7.87,-8.894,-9.2135
2023-03-30,-12.2,-12.709999999999999,-12.447500000000002,-7.33,-8.49,-9.147
2023-03-31,-10.35,-12.428,-12.383,-6.05,-7.8740000000000006,-9.079
2023-04-03,-10.82,-11.819999999999999,-12.3155,-5.56,-7.19,-8.991000000000001
2023-04-04,-9.36,-10.928,-12.154,-6.08,-6.578,-8.8625
2023-04-05,-11.37,-10.82,-12.103,-6.3,-6.264,-8.7515
2023-04-06,-11.86,-10.751999999999999,-12.0055,-5.95,-5.988,-8.545
2023-04-10,-10.64,-10.809999999999999,-11.8335,-5.85,-5.9479999999999995,-8.274
2023-04-11,-9.64,-10.574000000000002,-11.5895,-5.84,-6.004,-7.9955
2023-04-12,-9.37,-10.576,-11.4085,-6.21,-6.029999999999999,-7.806
2023-04-13,-7.37,-9.776,-11.098,-5.01,-5.772,-7.529999999999999
2023-04-14,-7.71,-8.946,-10.8935,-5.2,-5.622,-7.337000000000001
2023-04-17,-7.54,-8.325999999999999,-10.671000000000001,-4.88,-5.428,-7.08
2023-04-18,-7.53,-7.903999999999999,-10.477,-4.82,-5.224,-6.8595
2023-04-19,-7.92,-7.614,-10.462,-4.83,-4.948,-6.697
2023-04-20,-8.81,-7.901999999999999,-10.2705,-5.36,-5.018000000000001,-6.487
