Date,rate_VGT_5D,rate_VOO_20D,Max_Divergence
2022-04-29,-14.5,-5.4,-44.51
2022-05-02,-14.66,-5.78,-38.84
2022-05-03,-14.16,-6.19,-43.66
2022-05-04,-13.27,-6.41,-56.37
2022-05-05,-13.92,-6.74,-51.33
2022-05-06,-14.03,-7.12,-52.01
2022-05-09,-15.2,-7.62,-46.69
2022-05-10,-16.15,-8.04,-40.39
2022-05-11,-18.22,-8.5,-46.02
2022-05-12,-19.53,-9.02,-49.32
2022-05-13,-20.07,-9.39,-49.53
2022-05-16,-20.12,-9.77,-53.27
2022-05-17,-19.94,-10.14,-56.69
2022-05-18,-19.97,-10.68,-45.55
2022-05-19,-19.98,-11.17,-43.68
2022-05-20,-20.55,-11.54,-43.08
2022-05-23,-20.61,-11.86,-47.66
2022-05-24,-21.42,-12.08,-51.92
2022-05-25,-21.26,-12.27,-51.66
2022-05-26,-20.6,-12.49,-56.38
2022-05-27,-19.4,-12.44,-62.33
2022-05-31,-18.67,-12.45,-61.11
2022-06-01,-17.6,-12.5,-53.23
2022-06-02,-16.32,-12.61,-56.4
2022-06-03,-15.85,-12.62,-55.24
2022-06-06,-15.93,-12.6,-58.48
2022-06-07,-15.66,-12.4,-61.38
2022-06-08,-15.59,-12.26,-54.87
2022-06-09,-16.43,-12.15,-47.91
2022-06-10,-17.47,-12.17,-44.07
2022-06-13,-19.25,-12.44,-38.63
2022-06-14,-21.15,-12.7,-34.88
2022-06-15,-22.56,-13.0,-34.34
2022-06-16,-24.16,-13.26,-32.98
2022-06-17,-24.95,-13.47,-29.92
2022-06-21,-24.66,-13.6,-33.6
2022-06-22,-24.5,-13.81,-33.72
2022-06-23,-24.44,-13.94,-33.63
2022-06-24,-23.16,-13.99,-37.51
2022-06-27,-22.17,-14.14,-38.48
2022-06-28,-22.03,-14.48,-38.0
2022-06-29,-21.83,-14.81,-35.28
2022-06-30,-22.07,-15.16,-36.45
2022-07-01,-22.69,-15.52,-41.89
2022-07-05,-22.98,-15.8,-36.25
2022-07-06,-22.68,-16.08,-35.46
2022-07-07,-22.06,-16.34,-34.95
2022-07-08,-21.21,-16.56,-34.08
2022-07-11,-20.78,-16.72,-34.02
2022-07-12,-20.79,-16.79,-34.27
2022-07-13,-20.93,-16.72,-32.32
2022-07-14,-21.31,-16.66,-27.6
2022-07-15,-21.43,-16.57,-31.24
2022-07-18,-21.43,-16.39,-30.05
2022-07-19,-20.76,-16.1,-34.03
2022-07-20,-19.76,-15.89,-28.28
2022-07-21,-18.63,-15.62,-27.57
2022-07-22,-18.03,-15.43,-29.8
2022-07-25,-17.39,-15.37,-34.52
2022-07-26,-17.52,-15.34,-35.58
2022-07-27,-17.27,-15.11,-31.9
2022-07-28,-17.02,-14.82,-34.21
2022-07-29,-16.24,-14.42,-37.76
2022-08-01,-15.31,-14.1,-35.7
2022-08-02,-14.15,-13.8,-33.2
2022-08-03,-13.31,-13.46,-28.07
2022-08-04,-12.65,-13.19,-24.95
2022-08-05,-12.29,-12.92,-24.27
2022-08-08,-12.05,-12.6,-28.39
2022-08-09,-11.9,-12.26,-32.64
2022-08-10,-11.76,-11.84,-31.57
2022-08-11,-11.73,-11.41,-35.77
2022-08-12,-11.42,-11.0,-38.57
2022-08-15,-10.96,-10.54,-38.83
2022-08-16,-10.38,-10.19,-44.1
2022-08-17,-10.27,-9.88,-42.6
2022-08-18,-10.03,-9.61,-42.05
2022-08-19,-10.27,-9.34,-41.33
2022-08-22,-10.9,-9.14,-39.18
2022-08-23,-11.52,-8.9,-38.59
2022-08-24,-12.02,-8.76,-40.33
2022-08-25,-12.38,-8.62,-42.38
2022-08-26,-13.0,-8.66,-37.98
2022-08-29,-13.44,-8.71,-39.67
2022-08-30,-13.96,-8.77,-36.87
2022-08-31,-14.62,-8.91,-36.23
2022-09-01,-15.49,-9.02,-42.37
2022-09-02,-15.99,-9.16,-40.65
2022-09-06,-16.42,-9.3,-41.58
2022-09-07,-16.53,-9.36,-48.26
2022-09-08,-16.44,-9.46,-51.35
2022-09-09,-16.0,-9.5,-54.0
2022-09-12,-15.2,-9.55,-55.89
2022-09-13,-15.18,-9.8,-42.88
2022-09-14,-15.32,-10.04,-43.76
2022-09-15,-15.89,-10.31,-47.03
2022-09-16,-16.9,-10.62,-44.13
2022-09-19,-18.05,-10.85,-46.64
2022-09-20,-18.42,-11.07,-39.9
2022-09-21,-19.11,-11.36,-34.15
2022-09-22,-19.64,-11.69,-34.66
2022-09-23,-20.28,-12.13,-30.28
2022-09-26,-21.13,-12.5,-27.34
2022-09-27,-21.84,-12.87,-24.31
2022-09-28,-22.16,-13.15,-29.14
2022-09-29,-22.67,-13.48,-27.93
2022-09-30,-23.24,-13.91,-26.92
2022-10-03,-23.16,-14.17,-29.21
2022-10-04,-22.6,-14.31,-32.64
2022-10-05,-22.13,-14.52,-29.81
2022-10-06,-21.38,-14.79,-26.42
2022-10-07,-21.01,-15.24,-28.22
2022-10-10,-21.46,-15.77,-31.27
2022-10-11,-22.68,-16.14,-33.89
2022-10-12,-24.0,-16.53,-33.57
2022-10-13,-24.79,-16.77,-37.53
2022-10-14,-25.35,-17.07,-35.49
2022-10-17,-25.2,-17.3,-38.06
2022-10-18,-24.65,-17.44,-41.37
2022-10-19,-24.13,-17.53,-38.79
2022-10-20,-24.0,-17.62,-33.35
2022-10-21,-23.07,-17.54,-37.3
2022-10-24,-22.4,-17.38,-40.46
2022-10-25,-21.55,-17.14,-42.05
2022-10-26,-20.95,-16.99,-47.12
2022-10-27,-20.51,-16.77,-48.08
2022-10-28,-19.85,-16.4,-46.37
2022-10-31,-19.56,-16.18,-47.23
2022-11-01,-19.64,-16.09,-48.0
2022-11-02,-19.96,-16.09,-46.06
2022-11-03,-20.55,-16.1,-51.35
2022-11-04,-21.57,-15.93,-57.03
2022-11-07,-22.18,-15.69,-58.02
2022-11-08,-22.62,-15.4,-58.14
2022-11-09,-22.91,-15.19,-53.8
2022-11-10,-21.51,-14.86,-59.11
2022-11-11,-19.98,-14.39,-55.81
2022-11-14,-18.81,-14.06,-53.0
2022-11-15,-17.55,-13.74,-52.21
2022-11-16,-16.16,-13.43,-55.88
2022-11-17,-16.05,-13.09,-52.67
2022-11-18,-16.24,-12.84,-57.48
2022-11-21,-16.47,-12.64,-61.94
2022-11-22,-16.65,-12.46,-66.49
2022-11-23,-16.37,-12.22,-67.0
2022-11-25,-16.19,-11.96,-72.53
2022-11-28,-16.37,-11.86,-66.0
2022-11-29,-16.51,-11.75,-70.54
2022-11-30,-16.15,-11.5,-79.17
2022-12-01,-15.85,-11.13,-76.03
2022-12-02,-15.53,-10.73,-78.83
2022-12-05,-15.18,-10.46,-65.64
2022-12-06,-15.03,-10.29,-62.78
2022-12-07,-15.74,-10.16,-63.54
2022-12-08,-16.29,-9.91,-60.82
2022-12-09,-16.85,-9.91,-56.0
2022-12-12,-16.75,-9.89,-57.54
2022-12-13,-16.09,-9.8,-57.92
2022-12-14,-15.48,-9.78,-55.58
2022-12-15,-15.83,-9.83,-55.48
2022-12-16,-16.29,-9.92,-51.22
2022-12-19,-17.33,-10.07,-51.49
2022-12-20,-18.54,-10.22,-47.16
2022-12-21,-19.37,-10.36,-52.01
2022-12-22,-19.93,-10.59,-53.15
2022-12-23,-20.26,-10.79,-58.38
2022-12-27,-20.52,-10.94,-60.13
2022-12-28,-21.05,-11.14,-57.07
2022-12-29,-21.43,-11.39,-59.02
2022-12-30,-21.41,-11.67,-56.57
2023-01-03,-21.45,-11.94,-58.26
2023-01-04,-21.27,-12.1,-63.13
2023-01-05,-21.17,-12.25,-63.81
2023-01-06,-21.04,-12.29,-71.98
2023-01-09,-20.72,-12.37,-62.8
2023-01-10,-20.24,-12.39,-67.17
2023-01-11,-19.56,-12.41,-72.12
2023-01-12,-18.43,-12.45,-71.49
2023-01-13,-17.67,-12.45,-73.96
2023-01-17,-17.02,-12.34,-67.3
2023-01-18,-16.68,-12.26,-54.83
2023-01-19,-16.81,-12.16,-55.17
2023-01-20,-16.62,-11.98,-57.34
2023-01-23,-16.1,-11.8,-54.25
2023-01-24,-15.69,-11.57,-54.09
2023-01-25,-15.12,-11.36,-56.6
2023-01-26,-14.07,-11.09,-58.44
2023-01-27,-13.4,-10.75,-58.72
2023-01-30,-13.45,-10.54,-57.45
2023-01-31,-13.22,-10.26,-66.84
2023-02-01,-12.48,-9.92,-59.97
2023-02-02,-11.51,-9.55,-50.1
2023-02-03,-10.79,-9.18,-42.03
2023-02-06,-9.97,-8.93,-47.99
2023-02-07,-9.05,-8.62,-42.51
2023-02-08,-8.8,-8.39,-38.85
2023-02-09,-9.11,-8.25,-30.48
2023-02-10,-9.34,-8.12,-40.79
2023-02-13,-9.08,-7.96,-40.29
2023-02-14,-9.1,-7.79,-33.66
2023-02-15,-8.83,-7.54,-30.7
2023-02-16,-8.76,-7.31,-30.52
2023-02-17,-8.77,-7.16,-39.05
2023-02-21,-9.37,-7.15,-35.7
2023-02-22,-10.04,-7.13,-34.41
2023-02-23,-10.61,-7.1,-27.46
2023-02-24,-11.16,-7.15,-30.11
2023-02-27,-11.47,-7.2,-30.28
2023-02-28,-11.46,-7.21,-26.75
2023-03-01,-11.51,-7.29,-29.22
2023-03-02,-11.59,-7.4,-27.6
2023-03-03,-11.12,-7.51,-27.53
2023-03-06,-10.64,-7.56,-25.14
2023-03-07,-10.36,-7.66,-17.92
2023-03-08,-9.88,-7.8,-11.97
2023-03-09,-9.84,-7.97,-7.84
2023-03-10,-10.45,-8.17,-10.91
2023-03-13,-11.05,-8.39,-6.31
2023-03-14,-11.05,-8.58,-2.2
2023-03-15,-11.19,-8.8,2.66
2023-03-16,-10.6,-8.95,12.91
2023-03-17,-9.72,-9.1,18.86
2023-03-20,-8.87,-9.21,14.84
2023-03-21,-8.2,-9.18,15.22
2023-03-22,-7.74,-9.22,16.84
2023-03-23,-7.5,-9.28,28.45
2023-03-24,-7.21,-9.28,26.51
2023-03-27,-7.1,-9.28,18.93
2023-03-28,-7.26,-9.28,16.08
2023-03-29,-6.83,-9.21,26.18
2023-03-30,-6.47,-9.15,33.56
2023-03-31,-5.8,-9.08,44.63
2023-04-03,-5.02,-8.99,38.85
2023-04-04,-4.29,-8.86,34.21
2023-04-05,-4.15,-8.75,18.57
2023-04-06,-4.1,-8.54,22.02
2023-04-10,-4.37,-8.27,19.66
2023-04-11,-4.75,-8.0,9.42
2023-04-12,-5.11,-7.81,7.09
2023-04-13,-4.93,-7.53,15.37
2023-04-14,-4.91,-7.34,12.5
2023-04-17,-4.82,-7.08,12.7
2023-04-18,-4.57,-6.86,16.18
2023-04-19,-4.26,-6.7,13.04
2023-04-20,-4.36,-6.49,11.38
2023-04-21,-4.44,-6.28,6.23
2023-04-24,-4.65,-6.09,-2.12
2023-04-25,-5.27,-5.96,-10.73
2023-04-26,-5.63,-5.84,11.21
2023-04-27,-5.57,-5.71,15.46
2023-04-28,-5.28,-5.57,22.37
2023-05-01,-4.9,-5.49,25.06
2023-05-02,-4.35,-5.49,20.22
2023-05-03,-4.15,-5.49,17.6
2023-05-04,-4.34,-5.51,19.97
2023-05-05,-4.24,-5.47,40.78
2023-05-08,-4.15,-5.43,42.27
2023-05-09,-4.0,-5.42,34.0
2023-05-10,-3.52,-5.36,48.63
2023-05-11,-3.05,-5.37,42.26
2023-05-12,-3.08,-5.38,40.19
2023-05-15,-2.98,-5.39,51.98
2023-05-16,-2.75,-5.43,56.11
2023-05-17,-2.44,-5.42,76.1
2023-05-18,-1.68,-5.33,121.92
2023-05-19,-0.91,-5.26,116.32
2023-05-22,-0.26,-5.18,123.26
2023-05-23,0.11,-5.1,86.67
2023-05-24,0.08,-5.04,77.31
2023-05-25,0.36,-5.01,147.23
2023-05-26,1.22,-4.96,240.52
2023-05-30,2.13,-4.9,257.39
2023-05-31,3.15,-4.83,213.13
2023-06-01,4.49,-4.67,281.61
2023-06-02,5.25,-4.42,476.88
2023-06-05,5.38,-4.25,408.38
2023-06-06,5.43,-4.07,457.23
2023-06-07,5.37,-3.9,319.37
2023-06-08,5.32,-3.71,490.23
2023-06-09,5.24,-3.5,578.63
2023-06-12,5.67,-3.25,2948.15
2023-06-13,6.22,-2.98,2121.05
2023-06-14,7.25,-2.67,1968.89
2023-06-15,8.35,-2.36,521.51
2023-06-16,9.18,-2.11,623.7
2023-06-20,9.47,-1.88,926.97
2023-06-21,9.29,-1.67,2048.57
2023-06-22,9.1,-1.4,1080.28
2023-06-23,8.39,-1.12,18000.0
2023-06-26,7.7,-0.91,1502.22
2023-06-27,7.56,-0.7,1215.62
2023-06-28,7.79,-0.5,1160.87
2023-06-29,7.87,-0.26,1188.24
2023-06-30,8.53,-0.02,464.32
2023-07-03,9.27,0.16,402.5
2023-07-05,9.47,0.34,426.97
2023-07-06,9.52,0.46,824.74
2023-07-07,9.49,0.6,1063.51
2023-07-10,9.21,0.71,794.06
2023-07-11,9.09,0.86,472.12
2023-07-12,9.32,0.99,332.79
2023-07-13,9.97,1.13,273.93
2023-07-14,10.6,1.27,270.75
2023-07-17,11.45,1.36,275.64
2023-07-18,12.46,1.51,236.89
2023-07-19,13.2,1.69,213.91
2023-07-20,13.13,1.87,206.74
2023-07-21,13.1,2.02,201.03
2023-07-24,12.8,2.24,173.95
2023-07-25,12.5,2.49,185.75
2023-07-26,12.01,2.69,156.55
2023-07-27,11.89,2.85,181.7
2023-07-28,12.12,3.06,164.46
2023-07-31,12.43,3.22,166.47
2023-08-01,12.45,3.35,181.76
2023-08-02,12.23,3.44,201.7
2023-08-03,12.04,3.56,210.88
2023-08-04,11.31,3.67,211.99
2023-08-07,10.49,3.8,155.1
2023-08-08,9.57,3.88,157.53
2023-08-09,8.94,3.9,162.81
2023-08-10,8.39,3.88,161.59
2023-08-11,7.99,3.87,149.82
2023-08-14,7.77,3.85,152.94
2023-08-15,7.55,3.76,205.33
2023-08-16,7.4,3.63,248.97
2023-08-17,7.09,3.5,331.65
2023-08-18,6.9,3.38,322.76
2023-08-21,6.74,3.26,286.32
2023-08-22,6.72,3.12,330.99
2023-08-23,7.1,3.01,256.38
2023-08-24,7.3,2.89,356.21
2023-08-25,7.61,2.75,290.36
2023-08-28,7.79,2.62,241.91
2023-08-29,8.25,2.55,186.69
2023-08-30,8.58,2.56,181.15
2023-08-31,9.31,2.57,197.77
2023-09-01,9.92,2.61,194.25
2023-09-05,10.45,2.6,224.48
2023-09-06,10.48,2.57,255.8
2023-09-07,10.08,2.55,234.54
2023-09-08,9.65,2.54,223.28
2023-09-11,9.29,2.56,174.54
2023-09-12,8.54,2.53,161.4
2023-09-13,8.02,2.55,155.28
2023-09-14,7.95,2.64,115.41
2023-09-15,7.47,2.69,148.16
2023-09-18,6.98,2.75,153.52
2023-09-19,6.82,2.77,167.37
2023-09-20,6.33,2.76,236.62
2023-09-21,5.35,2.63,1645.0
2023-09-22,4.81,2.53,865.91
2023-09-25,4.26,2.43,12666.67
2023-09-26,3.39,2.23,231.08
2023-09-27,2.88,1.99,254.11
2023-09-28,2.84,1.74,329.37
2023-09-29,2.83,1.49,320.81
2023-10-02,2.9,1.23,382.31
2023-10-03,2.96,0.93,179.78
2023-10-04,3.18,0.69,262.32
2023-10-05,3.29,0.46,260.47
2023-10-06,3.73,0.27,642.57
2023-10-09,4.09,0.09,1752.78
2023-10-10,4.91,-0.04,4400.0
2023-10-11,5.66,-0.15,1173.21
2023-10-12,6.35,-0.34,23033.33
2023-10-13,6.29,-0.49,1043.64
2023-10-16,6.38,-0.59,1257.45
2023-10-17,6.3,-0.68,1135.42
2023-10-18,5.78,-0.8,629.41
2023-10-19,5.15,-0.87,324.4
2023-10-20,4.51,-0.99,167.82
2023-10-23,3.63,-1.15,164.71
2023-10-24,3.02,-1.19,222.65
2023-10-25,2.35,-1.3,132.16
2023-10-26,1.49,-1.48,88.3
2023-10-27,1.06,-1.67,96.78
2023-10-30,0.8,-1.81,116.83
2023-10-31,0.52,-1.85,140.39
2023-11-01,0.89,-1.87,221.69
2023-11-02,1.96,-1.8,787.14
2023-11-03,3.25,-1.74,3194.74
2023-11-06,4.45,-1.7,1668.42
2023-11-07,5.76,-1.67,1129.23
2023-11-08,6.84,-1.66,1054.79
2023-11-09,7.44,-1.66,78000.0
2023-11-10,8.3,-1.56,596.05
2023-11-13,8.97,-1.51,607.04
2023-11-14,9.9,-1.37,278.74
2023-11-15,10.77,-1.15,258.26
2023-11-16,11.82,-0.88,251.48
2023-11-17,12.32,-0.54,239.12
2023-11-20,13.24,-0.16,216.41
2023-11-21,13.46,0.18,214.68
2023-11-22,13.73,0.6,193.76
2023-11-24,13.92,1.09,187.68
2023-11-27,14.09,1.59,197.44
2023-11-28,13.99,2.04,194.78
2023-11-29,14.14,2.45,206.99
2023-11-30,14.21,2.83,182.62
2023-12-01,14.35,3.15,162.1
2023-12-04,14.32,3.39,169.47
2023-12-05,14.34,3.63,180.51
2023-12-06,14.14,3.83,185.59
2023-12-07,14.13,4.07,167.22
2023-12-08,14.23,4.36,163.95
2023-12-11,14.65,4.59,158.99
2023-12-12,15.08,4.84,148.33
2023-12-13,15.87,5.07,120.33
2023-12-14,16.51,5.31,114.74
2023-12-15,17.08,5.52,124.19
2023-12-18,17.56,5.76,112.06
2023-12-19,18.01,5.99,103.17
2023-12-20,17.94,6.14,127.83
2023-12-21,18.06,6.32,118.3
2023-12-22,18.12,6.51,114.0
2023-12-26,18.22,6.72,110.29
2023-12-27,18.28,6.94,107.58
2023-12-28,18.65,7.15,108.01
2023-12-29,18.68,7.34,107.55
2024-01-02,18.14,7.47,92.03
2024-01-03,17.25,7.59,90.04
2024-01-04,16.2,7.7,89.07
2024-01-05,15.15,7.83,86.14
2024-01-08,14.77,8.0,86.55
2024-01-09,14.98,8.14,93.85
2024-01-10,15.66,8.3,91.87
2024-01-11,16.54,8.43,96.84
2024-01-12,17.47,8.5,98.81
2024-01-16,17.87,8.53,107.62
2024-01-17,18.11,8.55,112.35
2024-01-18,18.59,8.58,118.33
2024-01-19,19.52,8.64,119.54
2024-01-22,20.54,8.79,122.56
2024-01-23,21.64,8.91,121.51
2024-01-24,22.97,9.03,125.21
2024-01-25,23.92,9.15,117.5
2024-01-26,24.1,9.27,107.48
2024-01-29,24.4,9.42,107.38
2024-01-30,24.44,9.57,101.67
2024-01-31,24.01,9.69,114.45
2024-02-01,23.65,9.88,101.31
2024-02-02,23.71,10.14,92.43
2024-02-05,23.49,10.38,98.18
2024-02-06,23.41,10.55,92.47
2024-02-07,23.91,10.77,90.74
2024-02-08,24.38,10.97,93.37
2024-02-09,24.96,11.19,96.41
2024-02-12,25.42,11.41,92.72
2024-02-13,25.48,11.57,97.95
2024-02-14,25.6,11.81,94.44
2024-02-15,25.6,12.04,84.2
2024-02-16,25.1,12.18,82.91
2024-02-20,24.47,12.29,80.91
2024-02-21,24.08,12.39,72.49
2024-02-22,24.08,12.6,70.82
2024-02-23,24.03,12.77,67.85
2024-02-26,24.26,12.93,74.13
2024-02-27,24.77,13.07,72.92
2024-02-28,25.36,13.21,71.13
2024-02-29,25.49,13.44,73.95
2024-03-01,26.03,13.65,76.09
2024-03-04,26.55,13.82,78.95
2024-03-05,26.48,13.94,73.3
2024-03-06,26.77,14.08,75.05
2024-03-07,27.22,14.24,75.18
2024-03-08,26.96,14.36,70.46
2024-03-11,26.56,14.45,68.22
2024-03-12,27.21,14.6,72.85
2024-03-13,27.35,14.81,66.48
2024-03-14,27.02,14.96,65.86
2024-03-15,26.75,15.04,62.73
2024-03-18,26.69,15.18,60.24
2024-03-19,26.24,15.38,58.38
2024-03-20,26.38,15.6,60.64
2024-03-21,26.68,15.74,59.81
2024-03-22,27.27,15.85,63.12
2024-03-25,27.66,15.98,62.48
2024-03-26,27.83,16.07,61.62
2024-03-27,27.73,16.22,56.0
2024-03-28,27.52,16.34,55.13
2024-04-01,27.29,16.41,57.64
2024-04-02,26.88,16.45,55.56
2024-04-03,26.63,16.55,56.28
2024-04-04,25.93,16.56,56.11
2024-04-05,25.56,16.57,54.92
2024-04-08,25.19,16.61,53.5
2024-04-09,25.16,16.66,53.84
2024-04-10,24.85,16.61,57.03
2024-04-11,25.41,16.61,64.11
2024-04-12,25.23,16.54,65.41
2024-04-15,24.63,16.44,64.64
2024-04-16,23.98,16.3,67.65
2024-04-17,23.2,16.1,62.3
2024-04-18,21.73,15.85,56.39
2024-04-19,20.08,15.54,41.66
2024-04-22,19.2,15.29,43.62
2024-04-23,18.69,15.13,42.92
2024-04-24,18.57,14.97,45.07
2024-04-25,18.69,14.76,50.49
2024-04-26,19.83,14.6,52.93
2024-04-29,20.76,14.48,52.14
2024-04-30,20.77,14.3,52.55
2024-05-01,20.43,14.09,46.93
2024-05-02,20.39,13.99,47.38
2024-05-03,20.58,13.91,54.92
2024-05-06,21.01,13.88,54.72
2024-05-07,21.87,13.86,50.0
2024-05-08,23.09,13.89,51.03
2024-05-09,23.97,13.91,44.43
2024-05-10,24.29,14.01,45.04
2024-05-13,24.38,14.18,48.55
2024-05-14,24.83,14.39,51.15
2024-05-15,25.81,14.7,55.02
2024-05-16,26.71,15.01,54.04
2024-05-17,27.48,15.37,50.91
2024-05-20,28.46,15.7,58.56
2024-05-21,29.21,15.97,56.54
2024-05-22,29.39,16.23,59.61
2024-05-23,29.68,16.46,67.39
2024-05-24,30.29,16.69,67.0
2024-05-28,30.79,16.89,72.0
2024-05-29,31.18,17.15,77.43
2024-05-30,30.95,17.39,67.59
2024-05-31,30.69,17.64,57.72
2024-06-03,30.22,17.8,60.29
2024-06-04,29.55,17.92,59.5
2024-06-05,29.61,18.1,64.74
2024-06-06,30.21,18.27,63.02
2024-06-07,30.83,18.41,64.23
2024-06-10,31.51,18.56,63.35
2024-06-11,32.53,18.72,70.27
2024-06-12,33.48,18.9,75.83
2024-06-13,34.77,19.03,80.31
2024-06-14,36.17,19.17,81.95
2024-06-17,37.81,19.34,81.72
2024-06-18,39.2,19.53,81.63
2024-06-20,39.63,19.69,75.75
2024-06-21,39.66,19.85,74.68
2024-06-24,39.08,20.04,65.75
2024-06-25,38.55,20.2,71.27
2024-06-26,37.96,20.37,71.56
2024-06-27,37.81,20.59,71.54
2024-06-28,37.76,20.81,76.5
2024-07-01,38.34,20.98,80.69
2024-07-02,38.7,21.18,79.19
2024-07-03,39.27,21.4,81.71
2024-07-05,39.9,21.58,79.79
2024-07-08,40.74,21.76,82.49
2024-07-09,41.39,21.96,80.64
2024-07-10,42.22,22.18,80.36
2024-07-11,42.31,22.35,76.93
2024-07-12,42.5,22.5,77.09
