Date,rate_JPM_5D,rate_VOO_20D,Max_Divergence
2022-08-05,-24.83,-12.92,-155.85
2022-08-08,-24.82,-12.6,-161.47
2022-08-09,-24.54,-12.26,-149.9
2022-08-10,-24.1,-11.84,-172.39
2022-08-11,-23.39,-11.41,-162.91
2022-08-12,-22.83,-11.0,-189.39
2022-08-15,-22.1,-10.54,-198.85
2022-08-16,-21.36,-10.19,-196.36
2022-08-17,-20.99,-9.88,-185.07
2022-08-18,-20.85,-9.61,-198.45
2022-08-19,-21.15,-9.34,-182.91
2022-08-22,-21.66,-9.14,-152.92
2022-08-23,-22.36,-8.9,-154.48
2022-08-24,-22.95,-8.76,-158.15
2022-08-25,-23.21,-8.62,-170.71
2022-08-26,-23.56,-8.66,-133.08
2022-08-29,-23.75,-8.71,-125.76
2022-08-30,-23.85,-8.77,-113.22
2022-08-31,-24.03,-8.91,-107.67
2022-09-01,-24.26,-9.02,-107.81
2022-09-02,-24.22,-9.16,-100.58
2022-09-06,-24.15,-9.3,-97.37
2022-09-07,-23.85,-9.36,-109.54
2022-09-08,-23.16,-9.46,-104.24
2022-09-09,-22.59,-9.5,-128.48
2022-09-12,-21.78,-9.55,-143.01
2022-09-13,-21.51,-9.8,-88.59
2022-09-14,-21.51,-10.04,-95.04
2022-09-15,-21.61,-10.31,-71.97
2022-09-16,-21.88,-10.62,-67.32
2022-09-19,-22.19,-10.85,-70.2
2022-09-20,-22.27,-11.07,-69.29
2022-09-21,-22.74,-11.36,-67.04
2022-09-22,-23.6,-11.69,-64.89
2022-09-23,-24.63,-12.13,-59.63
2022-09-26,-26.1,-12.5,-61.1
2022-09-27,-27.39,-12.87,-62.57
2022-09-28,-27.97,-13.15,-66.02
2022-09-29,-28.62,-13.48,-57.3
2022-09-30,-29.22,-13.91,-53.07
2022-10-03,-28.96,-14.17,-59.06
2022-10-04,-27.91,-14.31,-62.86
2022-10-05,-27.45,-14.52,-71.72
2022-10-06,-27.05,-14.79,-71.57
2022-10-07,-26.72,-15.24,-57.87
2022-10-10,-27.08,-15.77,-56.37
2022-10-11,-28.5,-16.14,-62.44
2022-10-12,-29.39,-16.53,-54.86
2022-10-13,-29.22,-16.77,-51.32
2022-10-14,-28.53,-17.07,-30.78
2022-10-17,-27.09,-17.3,-28.11
2022-10-18,-24.85,-17.44,-23.44
2022-10-19,-23.15,-17.53,-28.44
2022-10-20,-22.25,-17.62,-25.04
2022-10-21,-20.78,-17.54,-14.59
2022-10-24,-19.92,-17.38,-21.74
2022-10-25,-19.4,-17.14,-32.63
2022-10-26,-18.39,-16.99,-19.86
2022-10-27,-17.26,-16.77,-13.87
2022-10-28,-16.75,-16.4,-23.79
2022-10-31,-16.29,-16.18,-19.34
2022-11-01,-15.5,-16.09,-4.92
2022-11-02,-15.04,-16.09,4.7
2022-11-03,-14.63,-16.1,10.77
2022-11-04,-13.95,-15.93,18.99
2022-11-07,-13.17,-15.69,17.68
2022-11-08,-12.74,-15.4,15.25
2022-11-09,-12.35,-15.19,18.46
2022-11-10,-11.39,-14.86,12.49
2022-11-11,-10.86,-14.39,6.41
2022-11-14,-10.58,-14.06,5.24
2022-11-15,-10.4,-13.74,-6.73
2022-11-16,-10.02,-13.43,0.85
2022-11-17,-10.29,-13.09,0.37
2022-11-18,-10.46,-12.84,3.15
2022-11-21,-10.55,-12.64,2.13
2022-11-22,-10.33,-12.46,1.04
2022-11-23,-9.98,-12.22,3.3
2022-11-25,-9.54,-11.96,4.84
2022-11-28,-9.49,-11.86,5.71
2022-11-29,-9.1,-11.75,19.42
2022-11-30,-8.71,-11.5,4.27
2022-12-01,-8.67,-11.13,-10.44
2022-12-02,-8.78,-10.73,-16.48
2022-12-05,-9.07,-10.46,-20.4
2022-12-06,-9.61,-10.29,-4.94
2022-12-07,-10.34,-10.16,-3.86
2022-12-08,-10.72,-9.91,-2.25
2022-12-09,-11.06,-9.91,-0.46
2022-12-12,-10.7,-9.89,0.0
2022-12-13,-10.39,-9.8,-8.26
2022-12-14,-10.15,-9.78,-6.63
2022-12-15,-10.52,-9.83,-5.05
2022-12-16,-10.9,-9.92,-0.63
2022-12-19,-11.44,-10.07,8.48
2022-12-20,-11.87,-10.22,13.41
2022-12-21,-12.03,-10.36,12.44
2022-12-22,-11.96,-10.59,12.88
2022-12-23,-11.7,-10.79,12.89
2022-12-27,-11.47,-10.94,17.23
2022-12-28,-11.24,-11.14,26.44
2022-12-29,-11.1,-11.39,21.94
2022-12-30,-10.65,-11.67,27.65
2023-01-03,-10.1,-11.94,34.31
2023-01-04,-9.44,-12.1,37.74
2023-01-05,-9.02,-12.25,36.92
2023-01-06,-8.36,-12.29,41.4
2023-01-09,-7.88,-12.37,38.47
2023-01-10,-7.42,-12.39,42.49
2023-01-11,-6.98,-12.41,43.06
2023-01-12,-6.43,-12.45,40.1
2023-01-13,-5.75,-12.45,63.12
2023-01-17,-5.29,-12.34,48.01
2023-01-18,-5.56,-12.26,28.96
2023-01-19,-6.22,-12.16,22.24
2023-01-20,-6.81,-11.98,12.09
2023-01-23,-7.58,-11.8,18.01
2023-01-24,-7.9,-11.57,27.77
2023-01-25,-7.55,-11.36,32.52
2023-01-26,-6.85,-11.09,31.64
2023-01-27,-6.15,-10.75,32.31
2023-01-30,-5.9,-10.54,31.91
2023-01-31,-5.69,-10.26,27.94
2023-02-01,-5.61,-9.92,13.5
2023-02-02,-5.72,-9.55,-15.43
2023-02-03,-5.59,-9.18,25.12
2023-02-06,-5.2,-8.93,38.93
2023-02-07,-4.68,-8.62,48.43
2023-02-08,-4.28,-8.39,44.92
2023-02-09,-4.09,-8.25,29.52
2023-02-10,-4.1,-8.12,33.43
2023-02-13,-4.02,-7.96,40.45
2023-02-14,-4.08,-7.79,47.5
2023-02-15,-3.92,-7.54,52.01
2023-02-16,-3.74,-7.31,40.11
2023-02-17,-3.58,-7.16,45.61
2023-02-21,-3.97,-7.15,34.42
2023-02-22,-4.59,-7.13,26.81
2023-02-23,-5.14,-7.1,32.73
2023-02-24,-5.26,-7.15,47.58
2023-02-27,-5.27,-7.2,55.37
2023-02-28,-4.77,-7.21,65.61
2023-03-01,-4.22,-7.29,60.93
2023-03-02,-4.01,-7.4,47.11
2023-03-03,-3.63,-7.51,61.13
2023-03-06,-3.53,-7.56,53.14
2023-03-07,-4.14,-7.66,28.09
2023-03-08,-4.78,-7.8,20.54
2023-03-09,-6.2,-7.97,-16.27
2023-03-10,-7.53,-8.17,15.53
2023-03-13,-9.07,-8.39,2.54
2023-03-14,-9.6,-8.58,11.4
2023-03-15,-10.87,-8.8,-24.6
2023-03-16,-10.81,-8.95,-26.38
2023-03-17,-11.86,-9.1,-47.31
2023-03-20,-12.41,-9.21,-50.27
2023-03-21,-12.96,-9.18,-43.32
2023-03-22,-13.1,-9.22,-44.77
2023-03-23,-13.62,-9.28,-50.48
2023-03-24,-13.75,-9.28,-68.35
2023-03-27,-13.56,-9.28,-44.32
2023-03-28,-13.79,-9.28,-38.95
2023-03-29,-13.53,-9.21,-59.21
2023-03-30,-13.27,-9.15,-74.49
2023-03-31,-12.54,-9.08,-94.05
2023-04-03,-12.27,-8.99,-108.27
2023-04-04,-12.28,-8.86,-109.54
2023-04-05,-12.43,-8.75,-110.79
2023-04-06,-12.54,-8.54,-124.87
2023-04-10,-12.82,-8.27,-123.93
2023-04-11,-13.03,-8.0,-116.95
2023-04-12,-13.02,-7.81,-104.35
2023-04-13,-12.84,-7.53,-146.71
2023-04-14,-11.33,-7.34,-11.73
2023-04-17,-9.72,-7.08,-3.89
2023-04-18,-7.99,-6.86,16.8
2023-04-19,-6.28,-6.7,14.49
2023-04-20,-4.68,-6.49,17.91
2023-04-21,-4.44,-6.28,13.4
2023-04-24,-4.32,-6.09,13.9
2023-04-25,-4.82,-5.96,-1.4
2023-04-26,-5.63,-5.84,-20.5
2023-04-27,-6.14,-5.71,-32.44
2023-04-28,-6.45,-5.57,-34.65
2023-05-01,-6.36,-5.49,10.2
2023-05-02,-6.13,-5.49,2.55
2023-05-03,-5.9,-5.49,-15.63
2023-05-04,-6.13,-5.51,-20.57
2023-05-05,-6.22,-5.47,-28.16
2023-05-08,-6.7,-5.43,-25.44
2023-05-09,-6.99,-5.42,-24.0
2023-05-10,-6.94,-5.36,-32.94
2023-05-11,-6.73,-5.37,-34.8
2023-05-12,-7.07,-5.38,-54.58
2023-05-15,-7.3,-5.39,-50.0
2023-05-16,-7.56,-5.43,-44.42
2023-05-17,-7.3,-5.42,-19.74
2023-05-18,-6.84,-5.33,-30.68
2023-05-19,-6.19,-5.26,-31.05
2023-05-22,-5.82,-5.18,-53.21
2023-05-23,-5.53,-5.1,-39.38
2023-05-24,-5.94,-5.04,-36.66
2023-05-25,-6.45,-5.01,-55.53
2023-05-26,-6.74,-4.96,-85.63
2023-05-30,-6.82,-4.9,-77.1
2023-05-31,-6.94,-4.83,-83.84
2023-06-01,-6.61,-4.67,-97.66
2023-06-02,-5.95,-4.42,-148.75
2023-06-05,-5.64,-4.25,-174.3
2023-06-06,-5.36,-4.07,-198.11
2023-06-07,-4.67,-3.9,-100.52
2023-06-08,-4.25,-3.71,-185.71
2023-06-09,-4.18,-3.5,-208.55
2023-06-12,-3.92,-3.25,-1240.74
2023-06-13,-3.56,-2.98,-868.42
2023-06-14,-3.45,-2.67,-828.89
2023-06-15,-3.12,-2.36,-227.33
2023-06-16,-2.82,-2.11,-254.07
2023-06-20,-2.61,-1.88,-388.76
2023-06-21,-2.57,-1.67,-877.14
2023-06-22,-2.83,-1.4,-745.07
2023-06-23,-3.41,-1.12,-12600.0
2023-06-26,-3.96,-0.91,-977.78
2023-06-27,-4.41,-0.7,-856.25
2023-06-28,-4.92,-0.5,-862.32
2023-06-29,-4.4,-0.26,-388.24
2023-06-30,-3.5,-0.02,-131.89
2023-07-03,-2.49,0.16,-90.0
2023-07-05,-1.75,0.34,-163.48
2023-07-06,-1.12,0.46,-316.49
2023-07-07,-0.99,0.6,-279.73
2023-07-10,-1.03,0.71,-178.22
2023-07-11,-0.92,0.86,-54.55
2023-07-12,-0.44,0.99,-48.77
2023-07-13,0.32,1.13,-46.93
2023-07-14,1.06,1.27,-26.42
2023-07-17,2.17,1.36,35.69
2023-07-18,3.02,1.51,15.55
2023-07-19,3.84,1.69,18.76
2023-07-20,4.83,1.87,72.8
2023-07-21,5.53,2.02,51.16
2023-07-24,6.16,2.24,84.42
2023-07-25,6.59,2.49,56.36
2023-07-26,7.07,2.69,69.65
2023-07-27,7.05,2.85,64.91
2023-07-28,7.32,3.06,48.55
2023-07-31,7.31,3.22,57.68
2023-08-01,7.35,3.35,56.65
2023-08-02,7.05,3.44,78.19
2023-08-03,7.1,3.56,106.34
2023-08-04,6.99,3.67,127.4
2023-08-07,6.82,3.8,94.49
2023-08-08,6.69,3.88,100.0
2023-08-09,6.56,3.9,97.54
2023-08-10,6.3,3.88,91.0
2023-08-11,6.16,3.87,110.25
2023-08-14,5.97,3.85,88.85
2023-08-15,5.5,3.76,75.41
2023-08-16,5.17,3.63,105.67
2023-08-17,4.72,3.5,135.25
2023-08-18,4.21,3.38,136.55
2023-08-21,3.73,3.26,92.63
2023-08-22,3.32,3.12,30.99
2023-08-23,3.06,3.01,10.7
2023-08-24,2.93,2.89,71.9
2023-08-25,2.75,2.75,28.93
2023-08-28,2.58,2.62,15.35
2023-08-29,2.79,2.55,-1.48
2023-08-30,2.87,2.56,-16.39
2023-08-31,2.78,2.57,-38.27
2023-09-01,2.75,2.61,-34.52
2023-09-05,2.53,2.6,-50.45
2023-09-06,2.17,2.57,-44.93
2023-09-07,1.7,2.55,-70.68
2023-09-08,1.42,2.54,-69.47
2023-09-11,1.19,2.56,-62.58
2023-09-12,1.36,2.53,-7.72
2023-09-13,1.56,2.55,-10.21
2023-09-14,2.31,2.64,21.35
2023-09-15,2.99,2.69,71.02
2023-09-18,3.63,2.75,71.88
2023-09-19,3.98,2.77,80.93
2023-09-20,4.24,2.76,169.72
2023-09-21,3.95,2.63,1620.0
2023-09-22,3.52,2.53,568.18
2023-09-25,3.15,2.43,8633.33
2023-09-26,2.6,2.23,201.35
2023-09-27,2.25,1.99,243.15
2023-09-28,2.31,1.74,365.87
2023-09-29,2.21,1.49,205.37
2023-10-02,1.84,1.23,146.94
2023-10-03,1.53,0.93,98.56
2023-10-04,1.19,0.69,119.32
2023-10-05,0.54,0.46,104.19
2023-10-06,0.55,0.27,258.42
2023-10-09,0.68,0.09,480.56
2023-10-10,1.09,-0.04,1314.29
2023-10-11,1.47,-0.15,316.07
2023-10-12,1.88,-0.34,7100.0
2023-10-13,2.28,-0.49,756.36
2023-10-16,2.71,-0.59,646.81
2023-10-17,2.97,-0.68,585.42
2023-10-18,2.93,-0.8,354.12
2023-10-19,2.86,-0.87,202.98
2023-10-20,2.16,-0.99,103.46
2023-10-23,1.2,-1.15,58.82
2023-10-24,0.32,-1.19,51.28
2023-10-25,-0.45,-1.3,54.59
2023-10-26,-1.08,-1.48,70.84
2023-10-27,-2.09,-1.67,6.25
2023-10-30,-2.59,-1.81,9.86
2023-10-31,-2.88,-1.85,27.3
2023-11-01,-3.07,-1.87,-6.02
2023-11-02,-2.98,-1.8,-35.71
2023-11-03,-1.96,-1.74,-31.58
2023-11-06,-1.04,-1.7,128.95
2023-11-07,-0.35,-1.67,26.15
2023-11-08,0.44,-1.66,79.45
2023-11-09,0.83,-1.66,10200.0
2023-11-10,1.3,-1.56,63.82
2023-11-13,1.53,-1.51,43.66
2023-11-14,2.15,-1.37,16.47
2023-11-15,2.84,-1.15,34.17
2023-11-16,3.84,-0.88,60.92
2023-11-17,4.72,-0.54,79.27
2023-11-20,5.76,-0.16,56.37
2023-11-21,6.39,0.18,61.01
2023-11-22,6.88,0.6,51.14
2023-11-24,7.17,1.09,52.36
2023-11-27,7.23,1.59,53.09
2023-11-28,7.26,2.04,54.91
2023-11-29,7.45,2.45,68.64
2023-11-30,7.83,2.83,79.3
2023-12-01,8.25,3.15,69.57
2023-12-04,8.88,3.39,101.96
2023-12-05,9.46,3.63,102.76
2023-12-06,9.7,3.83,94.07
2023-12-07,9.76,4.07,75.74
2023-12-08,9.99,4.36,85.1
2023-12-11,10.14,4.59,81.05
2023-12-12,10.47,4.84,80.61
2023-12-13,11.08,5.07,54.55
2023-12-14,11.98,5.31,70.04
2023-12-15,12.78,5.52,82.26
2023-12-18,13.62,5.76,77.26
2023-12-19,14.57,5.99,82.31
2023-12-20,15.22,6.14,106.13
2023-12-21,15.65,6.32,92.46
2023-12-22,15.92,6.51,87.05
2023-12-26,16.19,6.72,86.35
2023-12-27,16.31,6.94,90.11
2023-12-28,16.79,7.15,96.27
2023-12-29,17.12,7.34,100.11
2024-01-02,17.65,7.47,128.8
2024-01-03,17.96,7.59,141.7
2024-01-04,18.15,7.7,152.42
2024-01-05,18.34,7.83,155.84
2024-01-08,18.53,8.0,111.41
2024-01-09,18.4,8.14,109.05
2024-01-10,18.4,8.3,97.51
2024-01-11,18.32,8.43,94.12
2024-01-12,18.0,8.5,86.35
2024-01-16,17.59,8.53,86.77
2024-01-17,17.22,8.55,92.4
2024-01-18,16.85,8.58,77.55
2024-01-19,16.85,8.64,72.53
2024-01-22,16.96,8.79,68.15
2024-01-23,17.06,8.91,58.36
2024-01-24,17.41,9.03,64.53
2024-01-25,17.98,9.15,68.24
2024-01-26,18.19,9.27,66.05
2024-01-29,18.47,9.42,58.54
2024-01-30,19.29,9.57,77.31
2024-01-31,19.72,9.69,92.34
2024-02-01,19.75,9.88,69.02
2024-02-02,19.96,10.14,60.84
2024-02-05,20.1,10.38,64.29
2024-02-06,19.89,10.55,63.64
2024-02-07,19.96,10.77,56.24
2024-02-08,20.09,10.97,52.48
2024-02-09,20.13,11.19,47.73
2024-02-12,20.29,11.41,51.84
2024-02-13,20.18,11.57,61.38
2024-02-14,20.25,11.81,58.61
2024-02-15,20.92,12.04,69.2
2024-02-16,21.45,12.18,71.61
2024-02-20,21.97,12.29,82.72
2024-02-21,22.85,12.39,87.3
2024-02-22,23.78,12.6,70.41
2024-02-23,24.32,12.77,73.92
2024-02-26,24.9,12.93,75.63
2024-02-27,25.39,13.07,73.67
2024-02-28,25.85,13.21,79.8
2024-02-29,26.25,13.44,82.52
2024-03-01,26.33,13.65,67.49
2024-03-04,26.68,13.82,74.74
2024-03-05,27.27,13.94,96.57
2024-03-06,27.85,14.08,93.27
2024-03-07,28.0,14.24,73.58
2024-03-08,28.39,14.36,82.53
2024-03-11,28.6,14.45,83.85
2024-03-12,28.74,14.6,77.88
2024-03-13,28.93,14.81,84.89
2024-03-14,28.95,14.96,75.22
2024-03-15,29.19,15.04,91.28
2024-03-18,29.69,15.18,92.66
2024-03-19,30.1,15.38,89.51
2024-03-20,30.54,15.6,86.59
2024-03-21,31.59,15.74,89.54
2024-03-22,32.18,15.85,88.48
2024-03-25,32.35,15.98,86.91
2024-03-26,32.52,16.07,92.25
2024-03-27,32.85,16.22,93.91
2024-03-28,33.03,16.34,96.13
2024-04-01,33.16,16.41,93.76
2024-04-02,33.43,16.45,101.34
2024-04-03,33.55,16.55,98.37
2024-04-04,33.0,16.56,104.7
2024-04-05,32.58,16.57,97.68
2024-04-08,32.53,16.61,100.79
2024-04-09,32.35,16.66,94.8
2024-04-10,32.05,16.61,102.26
2024-04-11,32.05,16.61,92.56
2024-04-12,30.5,16.54,66.28
2024-04-15,28.84,16.44,83.28
2024-04-16,27.07,16.3,76.47
2024-04-17,25.39,16.1,82.22
2024-04-18,23.86,15.85,91.5
2024-04-19,24.23,15.54,130.83
2024-04-22,25.01,15.29,131.1
2024-04-23,26.41,15.13,120.48
2024-04-24,28.01,14.97,126.15
2024-04-25,29.5,14.76,135.45
2024-04-26,30.46,14.6,117.78
2024-04-29,30.96,14.48,111.07
2024-04-30,30.9,14.3,132.46
2024-05-01,30.64,14.09,139.89
2024-05-02,30.31,13.99,120.63
2024-05-03,29.82,13.91,95.05
2024-05-06,29.55,13.88,87.28
2024-05-07,29.45,13.86,84.35
2024-05-08,29.95,13.89,100.31
2024-05-09,30.72,13.91,99.82
2024-05-10,31.81,14.01,103.03
2024-05-13,32.7,14.18,102.91
2024-05-14,33.99,14.39,107.13
2024-05-15,34.85,14.7,93.73
2024-05-16,35.51,15.01,97.42
2024-05-17,36.32,15.37,103.78
2024-05-20,35.89,15.7,70.01
2024-05-21,35.63,15.97,80.93
2024-05-22,35.12,16.23,79.99
2024-05-23,34.38,16.46,83.53
2024-05-24,33.84,16.69,89.34
2024-05-28,34.37,16.89,84.04
2024-05-29,34.18,17.15,87.35
2024-05-30,34.32,17.39,100.52
2024-05-31,35.08,17.64,101.59
2024-06-03,35.11,17.8,97.23
2024-06-04,34.95,17.92,86.0
2024-06-05,34.71,18.1,66.43
2024-06-06,34.27,18.27,65.42
2024-06-07,33.79,18.41,77.1
2024-06-10,33.5,18.56,72.59
2024-06-11,32.86,18.72,52.79
2024-06-12,32.09,18.9,36.75
2024-06-13,31.66,19.03,42.01
2024-06-14,30.84,19.17,41.72
2024-06-17,30.22,19.34,39.34
2024-06-18,30.57,19.53,43.33
2024-06-20,31.53,19.69,50.47
2024-06-21,31.88,19.85,45.1
2024-06-24,32.56,20.04,55.2
2024-06-25,32.98,20.2,49.82
2024-06-26,33.03,20.37,47.08
2024-06-27,33.1,20.59,51.2
2024-06-28,33.9,20.81,66.07
2024-07-01,34.65,20.98,74.0
2024-07-02,35.96,21.18,79.28
2024-07-03,37.34,21.4,75.47
2024-07-05,37.97,21.58,59.97
2024-07-08,38.23,21.76,60.43
2024-07-09,38.52,21.96,66.72
2024-07-10,38.39,22.18,60.72
2024-07-11,38.23,22.35,65.5
2024-07-12,38.25,22.5,54.47
