Date,rate_CSIQ_5D,rate_VOO_20D,Max_Divergence
2022-09-27,21.83,-12.87,237.87
2022-09-28,22.33,-13.15,259.4
2022-09-29,22.26,-13.48,213.0
2022-09-30,22.53,-13.91,206.25
2022-10-03,23.33,-14.17,230.08
2022-10-04,23.4,-14.31,270.45
2022-10-05,22.1,-14.52,236.33
2022-10-06,21.19,-14.79,203.58
2022-10-07,19.03,-15.24,156.44
2022-10-10,16.08,-15.77,141.45
2022-10-11,11.64,-16.14,116.68
2022-10-12,7.37,-16.53,95.45
2022-10-13,4.16,-16.77,102.4
2022-10-14,1.75,-17.07,90.73
2022-10-17,-0.03,-17.3,93.52
2022-10-18,-0.42,-17.44,107.96
2022-10-19,-0.35,-17.53,96.63
2022-10-20,-1.06,-17.62,82.3
2022-10-21,-0.99,-17.54,90.79
2022-10-24,-2.03,-17.38,56.73
2022-10-25,-2.95,-17.14,75.21
2022-10-26,-2.7,-16.99,104.96
2022-10-27,-1.53,-16.77,118.82
2022-10-28,-0.48,-16.4,130.89
2022-10-31,2.83,-16.18,178.58
2022-11-01,5.19,-16.09,165.62
2022-11-02,6.37,-16.09,143.48
2022-11-03,7.94,-16.1,166.25
2022-11-04,9.03,-15.93,162.77
2022-11-07,8.06,-15.69,137.99
2022-11-08,8.82,-15.4,191.01
2022-11-09,10.21,-15.19,188.35
2022-11-10,12.1,-14.86,285.11
2022-11-11,13.7,-14.39,273.45
2022-11-14,15.81,-14.06,248.6
2022-11-15,17.17,-13.74,292.37
2022-11-16,18.14,-13.43,272.62
2022-11-17,17.95,-13.09,275.18
2022-11-18,17.97,-12.84,266.06
2022-11-21,18.54,-12.64,273.24
2022-11-22,18.09,-12.46,275.31
2022-11-23,18.42,-12.22,320.02
2022-11-25,17.79,-11.96,275.05
2022-11-28,16.36,-11.86,197.81
2022-11-29,14.56,-11.75,190.9
2022-11-30,14.43,-11.5,304.02
2022-12-01,12.85,-11.13,255.67
2022-12-02,13.28,-10.73,329.53
2022-12-05,14.65,-10.46,280.76
2022-12-06,14.67,-10.29,191.32
2022-12-07,13.12,-10.16,178.24
2022-12-08,12.16,-9.91,171.2
2022-12-09,10.1,-9.91,172.05
2022-12-12,8.32,-9.89,185.64
2022-12-13,8.38,-9.8,212.61
2022-12-14,9.44,-9.78,245.47
2022-12-15,10.51,-9.83,207.88
2022-12-16,11.01,-9.92,181.2
2022-12-19,10.84,-10.07,154.76
2022-12-20,9.75,-10.22,133.75
2022-12-21,8.76,-10.36,171.27
2022-12-22,6.92,-10.59,124.89
2022-12-23,4.93,-10.79,102.81
2022-12-27,2.9,-10.94,79.44
2022-12-28,1.01,-11.14,66.76
2022-12-29,-1.07,-11.39,88.38
2022-12-30,-1.76,-11.67,99.92
2023-01-03,-2.21,-11.94,85.74
2023-01-04,-0.83,-12.1,132.47
2023-01-05,0.7,-12.25,120.37
2023-01-06,4.38,-12.29,243.87
2023-01-09,9.32,-12.37,309.32
2023-01-10,16.89,-12.39,421.47
2023-01-11,23.78,-12.41,482.84
2023-01-12,31.14,-12.45,506.05
2023-01-13,35.57,-12.45,514.56
2023-01-17,37.59,-12.34,464.88
2023-01-18,37.13,-12.26,406.38
2023-01-19,35.86,-12.16,378.1
2023-01-20,35.03,-11.98,453.85
2023-01-23,34.82,-11.8,524.72
2023-01-24,35.41,-11.57,517.59
2023-01-25,35.82,-11.36,496.12
2023-01-26,36.04,-11.09,513.9
2023-01-27,35.54,-10.75,522.44
2023-01-30,34.02,-10.54,440.09
2023-01-31,33.85,-10.26,581.2
2023-02-01,33.89,-9.92,650.61
2023-02-02,34.32,-9.55,776.57
2023-02-03,34.09,-9.18,611.92
2023-02-06,34.33,-8.93,568.95
2023-02-07,32.99,-8.62,626.13
2023-02-08,31.59,-8.39,538.54
2023-02-09,30.52,-8.25,516.14
2023-02-10,30.34,-8.12,536.97
2023-02-13,30.26,-7.96,604.69
2023-02-14,29.86,-7.79,554.27
2023-02-15,31.07,-7.54,685.91
2023-02-16,30.87,-7.31,518.19
2023-02-17,30.0,-7.16,469.18
2023-02-21,27.82,-7.15,335.93
2023-02-22,26.56,-7.13,352.13
2023-02-23,24.38,-7.1,388.13
2023-02-24,22.95,-7.15,342.53
2023-02-27,23.16,-7.2,410.85
2023-02-28,24.91,-7.21,417.14
2023-03-01,27.48,-7.29,475.97
2023-03-02,29.07,-7.4,469.28
2023-03-03,31.59,-7.51,568.02
2023-03-06,33.63,-7.56,614.75
2023-03-07,35.26,-7.66,530.17
2023-03-08,35.78,-7.8,538.15
2023-03-09,36.09,-7.97,432.84
2023-03-10,34.49,-8.17,336.82
2023-03-13,32.26,-8.39,332.52
2023-03-14,30.36,-8.58,377.2
2023-03-15,27.51,-8.8,318.8
2023-03-16,24.51,-8.95,305.19
2023-03-17,21.81,-9.1,231.64
2023-03-20,19.68,-9.21,271.61
2023-03-21,20.77,-9.18,510.52
2023-03-22,20.54,-9.22,328.97
2023-03-23,21.65,-9.28,358.5
2023-03-24,23.96,-9.28,370.76
2023-03-27,25.8,-9.28,378.84
2023-03-28,23.62,-9.28,343.98
2023-03-29,24.5,-9.21,433.67
2023-03-30,25.08,-9.15,469.71
2023-03-31,25.85,-9.08,571.9
2023-04-03,26.5,-8.99,608.45
2023-04-04,27.39,-8.86,540.46
2023-04-05,26.78,-8.75,467.94
2023-04-06,25.73,-8.54,467.23
2023-04-10,24.94,-8.27,520.68
2023-04-11,24.26,-8.0,525.86
2023-04-12,23.26,-7.81,450.56
2023-04-13,23.7,-7.53,607.19
2023-04-14,24.01,-7.34,550.0
2023-04-17,25.28,-7.08,734.02
2023-04-18,26.61,-6.86,753.94
2023-04-19,27.88,-6.7,682.82
2023-04-20,28.7,-6.49,650.37
2023-04-21,29.62,-6.28,628.11
2023-04-24,29.15,-6.09,652.12
2023-04-25,27.98,-5.96,499.38
2023-04-26,26.52,-5.84,406.93
2023-04-27,24.81,-5.71,500.19
2023-04-28,23.26,-5.57,544.3
2023-05-01,21.2,-5.49,505.76
2023-05-02,19.18,-5.49,383.61
2023-05-03,18.2,-5.49,361.35
2023-05-04,16.98,-5.51,322.06
2023-05-05,16.77,-5.47,473.01
2023-05-08,16.86,-5.43,466.73
2023-05-09,16.85,-5.42,382.18
2023-05-10,17.1,-5.36,436.27
2023-05-11,17.7,-5.37,441.87
2023-05-12,16.93,-5.38,387.1
2023-05-15,15.84,-5.39,363.69
2023-05-16,15.89,-5.43,378.76
2023-05-17,17.26,-5.42,626.75
2023-05-18,19.42,-5.33,886.03
2023-05-19,22.11,-5.26,857.37
2023-05-22,26.55,-5.18,1049.73
2023-05-23,31.13,-5.1,904.58
2023-05-24,34.03,-5.04,799.27
2023-05-25,35.7,-5.01,888.51
2023-05-26,37.84,-4.96,1234.77
2023-05-30,38.53,-4.9,1229.57
2023-05-31,37.58,-4.83,955.05
2023-06-01,35.68,-4.67,1070.57
2023-06-02,33.49,-4.42,1730.62
2023-06-05,31.12,-4.25,1645.81
2023-06-06,28.75,-4.07,1806.29
2023-06-07,27.05,-3.9,1425.65
2023-06-08,25.63,-3.71,1748.12
2023-06-09,24.43,-3.5,1818.8
2023-06-12,22.84,-3.25,7403.7
2023-06-13,21.09,-2.98,4731.58
2023-06-14,19.85,-2.67,4155.56
2023-06-15,20.69,-2.36,1416.86
2023-06-16,23.01,-2.11,2249.63
2023-06-20,23.77,-1.88,2541.57
2023-06-21,24.36,-1.67,6000.0
2023-06-22,25.3,-1.4,3256.34
2023-06-23,23.64,-1.12,44550.0
2023-06-26,20.45,-0.91,3606.67
2023-06-27,18.94,-0.7,2395.31
2023-06-28,18.48,-0.5,2662.32
2023-06-29,17.25,-0.26,2497.06
2023-06-30,18.37,-0.02,1162.7
2023-07-03,19.56,0.16,986.5
2023-07-05,20.24,0.34,989.89
2023-07-06,20.05,0.46,1767.01
2023-07-07,19.93,0.6,2206.76
2023-07-10,19.67,0.71,2082.18
2023-07-11,19.06,0.86,1030.91
2023-07-12,19.62,0.99,809.84
2023-07-13,20.29,1.13,558.59
2023-07-14,20.35,1.27,446.23
2023-07-17,20.13,1.36,494.05
2023-07-18,20.18,1.51,338.05
2023-07-19,19.56,1.69,321.63
2023-07-20,19.16,1.87,404.66
2023-07-21,19.56,2.02,400.78
2023-07-24,19.33,2.24,360.47
2023-07-25,19.31,2.49,311.84
2023-07-26,18.88,2.69,270.52
2023-07-27,18.03,2.85,280.95
2023-07-28,17.41,3.06,236.36
2023-07-31,16.42,3.22,197.01
2023-08-01,15.46,3.35,200.21
2023-08-02,14.32,3.44,218.98
2023-08-03,13.2,3.56,189.43
2023-08-04,11.89,3.67,233.22
2023-08-07,10.63,3.8,136.36
2023-08-08,9.42,3.88,140.06
2023-08-09,9.04,3.9,227.72
2023-08-10,8.79,3.88,187.89
2023-08-11,7.89,3.87,85.51
2023-08-14,7.39,3.85,87.62
2023-08-15,6.55,3.76,54.1
2023-08-16,5.26,3.63,49.48
2023-08-17,3.9,3.5,11.51
2023-08-18,3.01,3.38,-46.21
2023-08-21,1.96,3.26,-57.89
2023-08-22,-0.37,3.12,-559.65
2023-08-23,-2.47,3.01,-414.4
2023-08-24,-4.69,2.89,-723.53
2023-08-25,-6.72,2.75,-575.63
2023-08-28,-8.64,2.62,-464.32
2023-08-29,-8.24,2.55,-273.67
2023-08-30,-7.59,2.56,-220.49
2023-08-31,-6.7,2.57,-241.06
2023-09-01,-5.69,2.61,-218.63
2023-09-05,-4.92,2.6,-247.76
2023-09-06,-5.19,2.57,-360.87
2023-09-07,-6.55,2.55,-550.2
2023-09-08,-7.56,2.54,-486.64
2023-09-11,-8.66,2.56,-400.92
2023-09-12,-8.88,2.53,-322.79
2023-09-13,-8.88,2.55,-353.52
2023-09-14,-7.59,2.64,-228.65
2023-09-15,-6.87,2.69,-365.31
2023-09-18,-6.64,2.75,-439.84
2023-09-19,-7.06,2.77,-445.76
2023-09-20,-7.48,2.76,-753.52
2023-09-21,-8.61,2.63,-5115.0
2023-09-22,-9.64,2.53,-2545.45
2023-09-25,-10.64,2.43,-45600.0
2023-09-26,-11.79,2.23,-839.86
2023-09-27,-12.85,1.99,-897.26
2023-09-28,-13.78,1.74,-1098.41
2023-09-29,-14.6,1.49,-954.36
2023-10-02,-15.85,1.23,-1257.14
2023-10-03,-17.59,0.93,-717.69
2023-10-04,-19.6,0.69,-1087.92
2023-10-05,-21.73,0.46,-1097.21
2023-10-06,-23.5,0.27,-2330.69
2023-10-09,-24.2,0.09,-6419.44
2023-10-10,-23.48,-0.04,-13692.86
2023-10-11,-22.33,-0.15,-3467.86
2023-10-12,-21.57,-0.34,-73000.0
2023-10-13,-21.28,-0.49,-4098.18
2023-10-16,-20.98,-0.59,-4774.47
2023-10-17,-21.44,-0.68,-4547.92
2023-10-18,-22.38,-0.8,-2669.41
2023-10-19,-22.99,-0.87,-1386.9
2023-10-20,-24.11,-0.99,-893.77
2023-10-23,-25.36,-1.15,-821.9
2023-10-24,-26.64,-1.19,-1085.04
2023-10-25,-27.86,-1.3,-701.35
2023-10-26,-28.93,-1.48,-523.0
2023-10-27,-29.94,-1.67,-539.77
2023-10-30,-30.89,-1.81,-692.07
2023-10-31,-31.57,-1.85,-767.13
2023-11-01,-32.11,-1.87,-1199.6
2023-11-02,-31.42,-1.8,-3737.14
2023-11-03,-29.65,-1.74,-13221.05
2023-11-06,-28.1,-1.7,-6731.58
2023-11-07,-26.81,-1.67,-3903.08
2023-11-08,-25.9,-1.66,-3904.11
2023-11-09,-25.91,-1.66,-269000.0
2023-11-10,-26.3,-1.56,-1868.42
2023-11-13,-26.7,-1.51,-2016.9
2023-11-14,-26.78,-1.37,-852.1
2023-11-15,-26.96,-1.15,-903.08
2023-11-16,-27.34,-0.88,-876.55
2023-11-17,-27.77,-0.54,-851.55
2023-11-20,-27.88,-0.16,-699.78
2023-11-21,-28.54,0.18,-752.06
2023-11-22,-28.24,0.6,-665.07
2023-11-24,-27.98,1.09,-665.3
2023-11-27,-28.11,1.59,-731.98
2023-11-28,-28.2,2.04,-689.14
2023-11-29,-28.0,2.45,-680.93
2023-11-30,-27.96,2.83,-627.54
2023-12-01,-27.18,3.15,-520.28
2023-12-04,-25.46,3.39,-511.74
2023-12-05,-24.51,3.63,-562.2
2023-12-06,-23.82,3.83,-607.63
2023-12-07,-23.03,4.07,-526.48
2023-12-08,-22.89,4.36,-497.4
2023-12-11,-23.13,4.59,-463.4
2023-12-12,-23.45,4.84,-480.0
2023-12-13,-22.63,5.07,-351.14
2023-12-14,-21.44,5.31,-307.55
2023-12-15,-19.98,5.52,-294.29
2023-12-18,-18.47,5.76,-270.42
2023-12-19,-15.82,5.99,-228.93
2023-12-20,-14.94,6.14,-306.66
2023-12-21,-13.99,6.32,-246.65
2023-12-22,-13.16,6.51,-234.54
2023-12-26,-12.22,6.72,-211.86
2023-12-27,-11.87,6.94,-210.22
2023-12-28,-10.34,7.15,-186.5
2023-12-29,-9.6,7.34,-196.73
2024-01-02,-9.32,7.47,-223.65
2024-01-03,-9.65,7.59,-255.11
2024-01-04,-10.5,7.7,-297.1
2024-01-05,-12.17,7.83,-320.65
2024-01-08,-13.42,8.0,-267.91
2024-01-09,-14.28,8.14,-266.82
2024-01-10,-15.37,8.3,-285.68
2024-01-11,-16.26,8.43,-303.37
2024-01-12,-17.28,8.5,-331.42
2024-01-16,-19.06,8.53,-366.03
2024-01-17,-21.61,8.55,-422.68
2024-01-18,-24.12,8.58,-421.8
2024-01-19,-26.4,8.64,-390.72
2024-01-22,-27.3,8.79,-345.02
2024-01-23,-25.63,8.91,-242.11
2024-01-24,-23.66,9.03,-258.66
2024-01-25,-21.3,9.15,-256.69
2024-01-26,-19.12,9.27,-268.25
2024-01-29,-17.86,9.42,-262.11
2024-01-30,-18.96,9.57,-274.48
2024-01-31,-19.94,9.69,-312.25
2024-02-01,-20.15,9.88,-265.45
2024-02-02,-20.76,10.14,-278.89
2024-02-05,-22.11,10.38,-317.9
2024-02-06,-22.85,10.55,-299.11
2024-02-07,-22.78,10.77,-267.02
2024-02-08,-23.35,10.97,-266.26
2024-02-09,-22.69,11.19,-238.49
2024-02-12,-20.72,11.41,-221.18
2024-02-13,-20.3,11.57,-284.8
2024-02-14,-19.51,11.81,-236.05
2024-02-15,-18.29,12.04,-214.06
2024-02-16,-18.27,12.18,-241.57
2024-02-20,-18.81,12.29,-250.43
2024-02-21,-18.5,12.39,-263.29
2024-02-22,-19.79,12.6,-262.78
2024-02-23,-21.65,12.77,-266.91
2024-02-26,-22.92,12.93,-272.21
2024-02-27,-23.79,13.07,-258.74
2024-02-28,-24.85,13.21,-278.98
2024-02-29,-25.04,13.44,-268.11
2024-03-01,-25.09,13.65,-259.9
2024-03-04,-25.59,13.82,-276.21
2024-03-05,-26.86,13.94,-304.87
2024-03-06,-27.1,14.08,-280.99
2024-03-07,-27.23,14.24,-259.98
2024-03-08,-27.46,14.36,-269.81
2024-03-11,-27.25,14.45,-271.71
2024-03-12,-26.86,14.6,-269.03
2024-03-13,-27.42,14.81,-284.83
2024-03-14,-28.4,14.96,-291.2
2024-03-15,-29.24,15.04,-298.0
2024-03-18,-30.27,15.18,-297.32
2024-03-19,-31.34,15.38,-300.48
2024-03-20,-31.56,15.6,-280.21
2024-03-21,-31.95,15.74,-285.7
2024-03-22,-32.85,15.85,-303.36
2024-03-25,-33.4,15.98,-302.47
2024-03-26,-33.92,16.07,-313.59
2024-03-27,-33.81,16.22,-275.18
2024-03-28,-33.14,16.34,-268.0
2024-04-01,-31.95,16.41,-270.13
2024-04-02,-31.31,16.45,-289.98
2024-04-03,-30.18,16.55,-282.13
2024-04-04,-30.68,16.56,-317.57
2024-04-05,-32.43,16.57,-333.6
2024-04-08,-34.09,16.61,-328.28
2024-04-09,-34.35,16.66,-296.8
2024-04-10,-35.82,16.61,-341.94
2024-04-11,-37.21,16.61,-347.57
2024-04-12,-38.21,16.54,-392.23
2024-04-15,-39.41,16.44,-422.88
2024-04-16,-41.89,16.3,-439.14
2024-04-17,-43.49,16.1,-461.19
2024-04-18,-44.96,15.85,-485.28
2024-04-19,-45.92,15.54,-519.65
2024-04-22,-46.44,15.29,-471.97
2024-04-23,-46.73,15.13,-437.04
2024-04-24,-46.84,14.97,-436.6
2024-04-25,-46.86,14.76,-460.77
2024-04-26,-46.33,14.6,-416.6
2024-04-29,-45.28,14.48,-376.71
2024-04-30,-44.31,14.3,-421.41
2024-05-01,-43.17,14.09,-426.78
2024-05-02,-41.56,13.99,-396.34
2024-05-03,-40.25,13.91,-363.32
2024-05-06,-39.46,13.88,-331.86
2024-05-07,-38.36,13.86,-325.06
2024-05-08,-37.47,13.89,-324.05
2024-05-09,-36.97,13.91,-322.22
2024-05-10,-37.75,14.01,-353.83
2024-05-13,-38.68,14.18,-346.17
2024-05-14,-38.89,14.39,-313.28
2024-05-15,-39.51,14.7,-307.87
2024-05-16,-40.39,15.01,-323.25
2024-05-17,-40.35,15.37,-326.92
2024-05-20,-40.6,15.7,-326.55
2024-05-21,-41.64,15.97,-320.48
2024-05-22,-40.57,16.23,-279.14
2024-05-23,-39.41,16.46,-298.55
2024-05-24,-37.64,16.69,-279.74
2024-05-28,-35.2,16.89,-262.04
2024-05-29,-32.52,17.15,-260.23
2024-05-30,-31.46,17.39,-264.99
2024-05-31,-30.02,17.64,-256.02
2024-06-03,-28.72,17.8,-250.44
2024-06-04,-28.88,17.92,-272.12
2024-06-05,-29.2,18.1,-255.56
2024-06-06,-30.06,18.27,-267.36
2024-06-07,-31.6,18.41,-286.1
2024-06-10,-33.22,18.56,-278.34
2024-06-11,-33.76,18.72,-269.62
2024-06-12,-34.18,18.9,-254.8
2024-06-13,-34.37,19.03,-258.32
2024-06-14,-34.62,19.17,-275.12
2024-06-17,-35.48,19.34,-277.37
2024-06-18,-36.78,19.53,-279.24
2024-06-20,-38.49,19.69,-284.49
2024-06-21,-40.17,19.85,-290.93
2024-06-24,-40.97,20.04,-290.84
2024-06-25,-41.85,20.2,-298.64
2024-06-26,-42.44,20.37,-295.46
2024-06-27,-42.82,20.59,-292.11
2024-06-28,-43.56,20.81,-311.5
2024-07-01,-44.82,20.98,-321.59
2024-07-02,-45.18,21.18,-306.73
2024-07-03,-44.77,21.4,-283.61
2024-07-05,-44.72,21.58,-284.89
2024-07-08,-43.99,21.76,-281.33
2024-07-09,-42.8,21.96,-278.8
2024-07-10,-41.63,22.18,-264.43
2024-07-11,-40.38,22.35,-250.15
2024-07-12,-38.95,22.5,-248.4
2024-07-15,-39.08,22.65,-275.92
2024-07-16,-38.24,22.82,-251.88
2024-07-17,-37.97,22.89,-262.22
2024-07-18,-38.49,22.92,-262.6
2024-07-19,-39.59,22.95,-280.58
2024-07-22,-39.11,23.02,-271.96
2024-07-23,-39.55,23.1,-270.36
