Date,rate_GILD_5D,rate_VOO_20D,Max_Divergence
2022-09-15,-6.54,-10.31,40.3
2022-09-16,-6.48,-10.62,49.4
2022-09-19,-7.07,-10.85,49.25
2022-09-20,-7.22,-11.07,40.19
2022-09-21,-7.69,-11.36,36.07
2022-09-22,-8.04,-11.69,41.25
2022-09-23,-8.8,-12.13,38.56
2022-09-26,-9.77,-12.5,37.22
2022-09-27,-10.31,-12.87,40.24
2022-09-28,-10.18,-13.15,46.69
2022-09-29,-10.37,-13.48,45.06
2022-09-30,-10.7,-13.91,38.71
2022-10-03,-10.65,-14.17,36.49
2022-10-04,-9.85,-14.31,54.2
2022-10-05,-9.37,-14.52,55.95
2022-10-06,-8.78,-14.79,53.96
2022-10-07,-8.0,-15.24,54.68
2022-10-10,-7.4,-15.77,57.33
2022-10-11,-7.3,-16.14,67.36
2022-10-12,-7.31,-16.53,65.76
2022-10-13,-6.88,-16.77,70.37
2022-10-14,-6.35,-17.07,71.04
2022-10-17,-5.81,-17.3,69.35
2022-10-18,-5.47,-17.44,71.85
2022-10-19,-5.25,-17.53,67.06
2022-10-20,-5.33,-17.62,68.07
2022-10-21,-4.88,-17.54,78.89
2022-10-24,-4.13,-17.38,89.2
2022-10-25,-3.36,-17.14,94.5
2022-10-26,-2.04,-16.99,107.27
2022-10-27,-0.9,-16.77,100.84
2022-10-28,2.37,-16.4,204.92
2022-10-31,5.05,-16.18,191.37
2022-11-01,7.76,-16.09,198.46
2022-11-02,9.71,-16.09,171.28
2022-11-03,12.28,-16.1,181.15
2022-11-04,12.52,-15.93,195.88
2022-11-07,13.29,-15.69,212.19
2022-11-08,14.1,-15.4,223.95
2022-11-09,15.33,-15.19,210.93
2022-11-10,16.21,-14.86,260.41
2022-11-11,16.62,-14.39,262.83
2022-11-14,17.01,-14.06,265.64
2022-11-15,17.21,-13.74,279.12
2022-11-16,17.37,-13.43,266.7
2022-11-17,17.59,-13.09,269.58
2022-11-18,18.03,-12.84,275.88
2022-11-21,18.32,-12.64,277.41
2022-11-22,18.76,-12.46,307.78
2022-11-23,19.26,-12.22,322.33
2022-11-25,19.78,-11.96,331.21
2022-11-28,20.09,-11.86,290.57
2022-11-29,20.37,-11.75,293.06
2022-11-30,20.92,-11.5,385.45
2022-12-01,21.33,-11.13,387.11
2022-12-02,21.81,-10.73,396.96
2022-12-05,22.28,-10.46,336.36
2022-12-06,22.63,-10.29,308.3
2022-12-07,22.51,-10.16,303.21
2022-12-08,22.88,-9.91,336.53
2022-12-09,22.66,-9.91,306.18
2022-12-12,22.8,-9.89,339.65
2022-12-13,22.99,-9.8,360.04
2022-12-14,23.14,-9.78,340.53
2022-12-15,22.4,-9.83,275.43
2022-12-16,22.08,-9.92,263.02
2022-12-19,21.53,-10.07,250.89
2022-12-20,20.48,-10.22,231.71
2022-12-21,19.66,-10.36,250.4
2022-12-22,19.31,-10.59,237.26
2022-12-23,18.78,-10.79,236.77
2022-12-27,18.4,-10.94,236.02
2022-12-28,18.34,-11.14,222.25
2022-12-29,18.34,-11.39,243.2
2022-12-30,18.5,-11.67,246.66
2023-01-03,18.58,-11.94,238.59
2023-01-04,18.62,-12.1,246.31
2023-01-05,18.88,-12.25,239.85
2023-01-06,19.57,-12.29,288.67
2023-01-09,19.27,-12.37,252.88
2023-01-10,19.75,-12.39,286.58
2023-01-11,20.21,-12.41,307.64
2023-01-12,20.18,-12.45,293.85
2023-01-13,19.68,-12.45,308.93
2023-01-17,19.76,-12.34,293.61
2023-01-18,18.82,-12.26,247.18
2023-01-19,17.84,-12.16,237.84
2023-01-20,17.09,-11.98,251.35
2023-01-23,16.24,-11.8,272.82
2023-01-24,15.86,-11.57,282.96
2023-01-25,15.95,-11.36,284.35
2023-01-26,15.95,-11.09,298.39
2023-01-27,16.15,-10.75,306.92
2023-01-30,16.18,-10.54,274.92
2023-01-31,16.16,-10.26,314.49
2023-02-01,16.06,-9.92,347.55
2023-02-02,15.39,-9.55,340.19
2023-02-03,15.52,-9.18,370.85
2023-02-06,16.27,-8.93,387.22
2023-02-07,16.76,-8.62,429.44
2023-02-08,17.21,-8.39,379.06
2023-02-09,18.33,-8.25,351.03
2023-02-10,18.93,-8.12,380.45
2023-02-13,19.23,-7.96,437.7
2023-02-14,19.13,-7.79,396.14
2023-02-15,18.96,-7.54,394.13
2023-02-16,18.37,-7.31,318.62
2023-02-17,17.84,-7.16,338.91
2023-02-21,17.06,-7.15,297.33
2023-02-22,16.46,-7.13,277.33
2023-02-23,15.77,-7.1,268.94
2023-02-24,15.02,-7.15,226.59
2023-02-27,13.96,-7.2,233.67
2023-02-28,12.84,-7.21,223.8
2023-03-01,11.72,-7.29,206.28
2023-03-02,10.87,-7.4,213.86
2023-03-03,10.93,-7.51,259.38
2023-03-06,10.94,-7.56,262.02
2023-03-07,10.82,-7.66,224.16
2023-03-08,10.98,-7.8,224.77
2023-03-09,10.79,-7.97,188.59
2023-03-10,10.37,-8.17,185.89
2023-03-13,9.93,-8.39,184.93
2023-03-14,9.8,-8.58,200.5
2023-03-15,9.65,-8.8,193.83
2023-03-16,9.89,-8.95,212.03
2023-03-17,9.29,-9.1,166.67
2023-03-20,9.28,-9.21,204.23
2023-03-21,9.1,-9.18,213.61
2023-03-22,8.6,-9.22,176.99
2023-03-23,8.3,-9.28,192.62
2023-03-24,9.04,-9.28,213.47
2023-03-27,9.07,-9.28,209.02
2023-03-28,9.57,-9.28,228.01
2023-03-29,10.53,-9.21,254.26
2023-03-30,11.27,-9.15,268.62
2023-03-31,12.09,-9.08,338.68
2023-04-03,13.03,-8.99,360.61
2023-04-04,13.28,-8.86,313.32
2023-04-05,13.86,-8.75,338.89
2023-04-06,14.32,-8.54,346.55
2023-04-10,14.16,-8.27,332.82
2023-04-11,13.97,-8.0,331.85
2023-04-12,13.98,-7.81,309.66
2023-04-13,13.88,-7.53,390.22
2023-04-14,13.78,-7.34,372.5
2023-04-17,14.06,-7.08,407.99
2023-04-18,14.4,-6.86,416.18
2023-04-19,14.93,-6.7,424.84
2023-04-20,15.32,-6.49,407.46
2023-04-21,16.3,-6.28,459.62
2023-04-24,17.14,-6.09,471.43
2023-04-25,17.64,-5.96,375.58
2023-04-26,17.54,-5.84,323.89
2023-04-27,17.22,-5.71,384.73
2023-04-28,16.03,-5.57,387.06
2023-05-01,14.53,-5.49,360.53
2023-05-02,13.07,-5.49,289.8
2023-05-03,11.85,-5.49,249.34
2023-05-04,10.43,-5.51,216.54
2023-05-05,9.71,-5.47,284.27
2023-05-08,8.95,-5.43,254.99
2023-05-09,8.5,-5.42,249.09
2023-05-10,8.14,-5.36,242.35
2023-05-11,8.19,-5.37,254.3
2023-05-12,7.76,-5.38,237.2
2023-05-15,7.7,-5.39,251.39
2023-05-16,7.57,-5.43,233.63
2023-05-17,7.76,-5.42,280.26
2023-05-18,7.63,-5.33,302.74
2023-05-19,7.81,-5.26,317.63
2023-05-22,7.88,-5.18,312.83
2023-05-23,7.95,-5.1,264.58
2023-05-24,8.02,-5.04,255.17
2023-05-25,7.86,-5.01,241.06
2023-05-26,7.38,-4.96,268.39
2023-05-30,6.75,-4.9,239.71
2023-05-31,6.3,-4.83,242.93
2023-06-01,5.51,-4.67,252.51
2023-06-02,5.55,-4.42,527.5
2023-06-05,5.7,-4.25,468.72
2023-06-06,5.64,-4.07,384.91
2023-06-07,5.38,-3.9,328.8
2023-06-08,5.97,-3.71,666.17
2023-06-09,6.04,-3.5,711.11
2023-06-12,6.08,-3.25,2618.52
2023-06-13,6.69,-2.98,1900.0
2023-06-14,7.2,-2.67,1437.78
2023-06-15,7.36,-2.36,385.47
2023-06-16,7.57,-2.11,504.44
2023-06-20,7.52,-1.88,640.45
2023-06-21,7.29,-1.67,1742.86
2023-06-22,7.34,-1.4,905.63
2023-06-23,6.92,-1.12,15750.0
2023-06-26,6.29,-0.91,1215.56
2023-06-27,5.83,-0.7,567.19
2023-06-28,5.44,-0.5,552.17
2023-06-29,4.86,-0.26,527.94
2023-06-30,4.76,-0.02,209.19
2023-07-03,4.78,0.16,156.5
2023-07-05,5.09,0.34,227.53
2023-07-06,5.09,0.46,361.86
2023-07-07,4.64,0.6,172.97
2023-07-10,4.24,0.71,270.3
2023-07-11,4.08,0.86,161.82
2023-07-12,3.85,0.99,91.8
2023-07-13,3.98,1.13,57.36
2023-07-14,4.73,1.27,81.76
2023-07-17,5.22,1.36,74.79
2023-07-18,5.79,1.51,66.59
2023-07-19,6.49,1.69,80.79
2023-07-20,7.37,1.87,146.89
2023-07-21,8.31,2.02,170.8
2023-07-24,8.36,2.24,49.3
2023-07-25,8.09,2.49,27.85
2023-07-26,7.61,2.69,26.2
2023-07-27,6.67,2.85,21.55
2023-07-28,5.64,3.06,10.12
2023-07-31,5.23,3.22,-13.37
2023-08-01,4.79,3.35,-21.89
2023-08-02,4.36,3.44,3.12
2023-08-03,4.08,3.56,3.93
2023-08-04,4.54,3.67,161.99
2023-08-07,5.74,3.8,184.3
2023-08-08,6.95,3.88,192.77
2023-08-09,8.19,3.9,244.21
2023-08-10,9.43,3.88,233.56
2023-08-11,9.83,3.87,240.64
2023-08-14,9.66,3.85,193.5
2023-08-15,9.57,3.76,280.74
2023-08-16,9.16,3.63,299.48
2023-08-17,8.5,3.5,356.12
2023-08-18,7.72,3.38,297.24
2023-08-21,6.99,3.26,206.32
2023-08-22,6.37,3.12,262.57
2023-08-23,6.19,3.01,181.48
2023-08-24,6.16,2.89,303.92
2023-08-25,6.34,2.75,238.58
2023-08-28,6.55,2.62,183.82
2023-08-29,6.89,2.55,134.32
2023-08-30,7.0,2.56,102.46
2023-08-31,7.03,2.57,76.54
2023-09-01,6.97,2.61,73.97
2023-09-05,6.6,2.6,49.25
2023-09-06,5.8,2.57,42.75
2023-09-07,5.03,2.55,42.97
2023-09-08,5.03,2.54,140.84
2023-09-11,5.3,2.56,136.2
2023-09-12,5.78,2.53,170.96
2023-09-13,6.6,2.55,184.15
2023-09-14,7.52,2.64,119.73
2023-09-15,7.42,2.69,137.96
2023-09-18,7.03,2.75,125.0
2023-09-19,6.75,2.77,152.54
2023-09-20,6.34,2.76,324.65
2023-09-21,5.77,2.63,2735.0
2023-09-22,5.59,2.53,1218.18
2023-09-25,5.37,2.43,15666.67
2023-09-26,5.31,2.23,481.08
2023-09-27,5.23,1.99,488.36
2023-09-28,5.28,1.74,535.71
2023-09-29,5.26,1.49,423.49
2023-10-02,5.04,1.23,343.54
2023-10-03,4.4,0.93,188.09
2023-10-04,4.16,0.69,315.94
2023-10-05,3.94,0.46,305.12
2023-10-06,3.87,0.27,542.57
2023-10-09,4.14,0.09,1463.89
2023-10-10,4.89,-0.04,4307.14
2023-10-11,5.5,-0.15,1246.43
2023-10-12,6.07,-0.34,24300.0
2023-10-13,6.88,-0.49,1645.45
2023-10-16,8.02,-0.59,2165.96
2023-10-17,9.28,-0.68,2489.58
2023-10-18,10.03,-0.8,1429.41
2023-10-19,10.49,-0.87,670.83
2023-10-20,10.53,-0.99,401.04
2023-10-23,10.08,-1.15,373.53
2023-10-24,9.43,-1.19,492.74
2023-10-25,9.07,-1.3,357.3
2023-10-26,9.09,-1.48,298.77
2023-10-27,8.76,-1.67,233.71
2023-10-30,8.82,-1.81,308.17
2023-10-31,8.93,-1.85,371.03
2023-11-01,9.39,-1.87,574.3
2023-11-02,10.1,-1.8,1990.0
2023-11-03,11.43,-1.74,7121.05
2023-11-06,12.32,-1.7,3347.37
2023-11-07,12.85,-1.67,1803.08
2023-11-08,12.21,-1.66,1082.19
2023-11-09,10.48,-1.66,46100.0
2023-11-10,8.92,-1.56,288.16
2023-11-13,7.21,-1.51,219.01
2023-11-14,5.58,-1.37,26.95
2023-11-15,4.79,-1.15,31.37
2023-11-16,4.67,-0.88,7.01
2023-11-17,4.54,-0.54,36.27
2023-11-20,4.84,-0.16,30.02
2023-11-21,4.83,0.18,-3.67
2023-11-22,5.01,0.6,16.42
2023-11-24,5.25,1.09,5.95
2023-11-27,5.1,1.59,-3.62
2023-11-28,4.69,2.04,-17.54
2023-11-29,4.84,2.45,4.87
2023-11-30,5.09,2.83,33.98
2023-12-01,5.69,3.15,45.2
2023-12-04,6.61,3.39,78.28
2023-12-05,7.83,3.63,97.83
2023-12-06,8.94,3.83,122.67
2023-12-07,9.31,4.07,61.3
2023-12-08,9.69,4.36,74.18
2023-12-11,10.17,4.59,88.24
2023-12-12,10.66,4.84,89.85
2023-12-13,11.7,5.07,97.85
2023-12-14,12.73,5.31,68.82
2023-12-15,13.09,5.52,47.02
2023-12-18,12.92,5.76,24.13
2023-12-19,12.55,5.99,16.7
2023-12-20,11.31,6.14,25.7
2023-12-21,10.52,6.32,18.54
2023-12-22,10.33,6.51,27.54
2023-12-26,10.46,6.72,26.73
2023-12-27,10.7,6.94,30.88
2023-12-28,11.41,7.15,42.48
2023-12-29,11.99,7.34,44.31
2024-01-02,12.92,7.47,91.18
2024-01-03,13.84,7.59,111.55
2024-01-04,14.92,7.7,139.42
2024-01-05,15.47,7.83,113.18
2024-01-08,16.23,8.0,87.91
2024-01-09,17.01,8.14,126.22
2024-01-10,17.29,8.3,88.07
2024-01-11,17.55,8.43,102.07
2024-01-12,18.4,8.5,116.03
2024-01-16,18.95,8.53,117.49
2024-01-17,19.07,8.55,138.48
2024-01-18,19.59,8.58,116.59
2024-01-19,20.12,8.64,105.03
2024-01-22,17.92,8.79,-15.26
2024-01-23,16.12,8.91,-4.06
2024-01-24,14.19,9.03,-4.12
2024-01-25,12.48,9.15,0.0
2024-01-26,10.33,9.27,-8.18
2024-01-29,10.51,9.42,-18.57
2024-01-30,10.27,9.57,-23.27
2024-01-31,9.92,9.69,-16.75
2024-02-01,9.31,9.88,-26.61
2024-02-02,8.58,10.14,-45.37
2024-02-05,7.91,10.38,-46.64
2024-02-06,7.63,10.55,-36.68
2024-02-07,6.55,10.77,-74.83
2024-02-08,5.35,10.97,-81.42
2024-02-09,4.45,11.19,-83.43
2024-02-12,3.83,11.41,-75.51
2024-02-13,2.68,11.57,-83.07
2024-02-14,2.3,11.81,-89.41
2024-02-15,2.18,12.04,-86.67
2024-02-16,1.6,12.18,-104.74
2024-02-20,0.93,12.29,-99.92
2024-02-21,0.84,12.39,-87.45
2024-02-22,0.77,12.6,-93.11
2024-02-23,0.82,12.77,-86.06
2024-02-26,1.2,12.93,-91.38
2024-02-27,1.47,13.07,-90.82
2024-02-28,1.33,13.21,-93.72
2024-02-29,1.14,13.44,-99.4
2024-03-01,0.8,13.65,-97.66
2024-03-04,0.61,13.82,-98.15
2024-03-05,0.59,13.94,-91.08
2024-03-06,0.57,14.08,-94.65
2024-03-07,1.0,14.24,-86.33
2024-03-08,1.77,14.36,-72.83
2024-03-11,2.61,14.45,-70.93
2024-03-12,3.19,14.6,-74.73
2024-03-13,4.1,14.81,-67.22
2024-03-14,4.25,14.96,-81.6
2024-03-15,3.85,15.04,-85.47
2024-03-18,3.28,15.18,-89.67
2024-03-19,2.82,15.38,-88.72
2024-03-20,2.28,15.6,-84.7
2024-03-21,1.97,15.74,-91.92
2024-03-22,1.68,15.85,-95.6
2024-03-25,1.49,15.98,-95.77
2024-03-26,1.21,16.07,-97.08
2024-03-27,0.94,16.22,-92.49
2024-03-28,0.99,16.34,-90.6
2024-04-01,1.06,16.41,-93.47
2024-04-02,0.92,16.45,-99.82
2024-04-03,0.5,16.55,-109.78
2024-04-04,-0.46,16.56,-122.6
2024-04-05,-1.47,16.57,-120.83
2024-04-08,-2.42,16.61,-122.12
2024-04-09,-3.01,16.66,-117.64
2024-04-10,-3.77,16.61,-135.03
2024-04-11,-4.02,16.61,-128.89
2024-04-12,-4.44,16.54,-137.16
2024-04-15,-4.9,16.44,-144.13
2024-04-16,-5.62,16.3,-149.4
2024-04-17,-5.95,16.1,-156.11
2024-04-18,-6.64,15.85,-165.86
2024-04-19,-7.0,15.54,-163.84
2024-04-22,-7.22,15.29,-156.87
2024-04-23,-7.3,15.13,-150.33
2024-04-24,-7.26,14.97,-150.11
2024-04-25,-7.5,14.76,-170.82
2024-04-26,-7.87,14.6,-163.88
2024-04-29,-8.15,14.48,-157.3
2024-04-30,-8.66,14.3,-173.18
2024-05-01,-9.06,14.09,-171.84
2024-05-02,-9.02,13.99,-168.24
2024-05-03,-9.16,13.91,-166.98
2024-05-06,-9.24,13.88,-155.67
2024-05-07,-9.14,13.86,-155.8
2024-05-08,-9.3,13.89,-160.44
2024-05-09,-9.51,13.91,-160.84
2024-05-10,-9.18,14.01,-149.08
2024-05-13,-8.64,14.18,-136.2
2024-05-14,-8.03,14.39,-134.14
2024-05-15,-7.46,14.7,-136.31
2024-05-16,-6.56,15.01,-130.41
2024-05-17,-6.07,15.37,-131.18
2024-05-20,-5.97,15.7,-129.68
2024-05-21,-6.07,15.97,-133.56
2024-05-22,-5.86,16.23,-130.47
2024-05-23,-6.32,16.46,-144.46
2024-05-24,-6.89,16.69,-146.22
2024-05-28,-7.98,16.89,-158.75
2024-05-29,-9.03,17.15,-164.84
2024-05-30,-10.06,17.39,-163.13
2024-05-31,-10.59,17.64,-158.21
2024-06-03,-11.18,17.8,-164.1
2024-06-04,-11.08,17.92,-158.12
2024-06-05,-10.93,18.1,-155.97
2024-06-06,-10.96,18.27,-156.28
2024-06-07,-10.8,18.41,-150.64
2024-06-10,-10.3,18.56,-145.89
2024-06-11,-10.1,18.72,-147.76
2024-06-12,-9.98,18.9,-149.15
2024-06-13,-10.06,19.03,-153.71
2024-06-14,-9.96,19.17,-143.73
2024-06-17,-10.23,19.34,-146.77
2024-06-18,-10.71,19.53,-153.0
2024-06-20,-9.56,19.69,-120.57
2024-06-21,-7.59,19.85,-107.08
2024-06-24,-6.01,20.04,-106.81
2024-06-25,-4.53,20.2,-113.69
2024-06-26,-2.82,20.37,-115.5
2024-06-27,-2.73,20.59,-118.38
2024-06-28,-3.3,20.81,-120.41
2024-07-01,-3.87,20.98,-120.01
2024-07-02,-4.19,21.18,-120.95
2024-07-03,-4.93,21.4,-131.62
2024-07-05,-5.5,21.58,-130.22
2024-07-08,-5.78,21.76,-124.99
2024-07-09,-6.02,21.96,-123.64
2024-07-10,-5.92,22.18,-117.09
2024-07-11,-4.99,22.35,-110.49
2024-07-12,-4.08,22.5,-110.27
