Date,rate_ALB,rate_VOO,Sector
2022-04-25,-10.68,-7.37,Basic Materials
2022-04-26,-15.37,-9.95,Basic Materials
2022-04-27,-13.41,-9.73,Basic Materials
2022-04-28,-12.08,-7.52,Basic Materials
2022-04-29,-13.14,-10.83,Basic Materials
2022-05-02,-13.37,-9.99,Basic Materials
2022-05-03,-10.88,-9.62,Basic Materials
2022-05-04,-2.86,-6.99,Basic Materials
2022-05-05,6.34,-10.13,Basic Materials
2022-05-06,8.92,-10.67,Basic Materials
2022-05-09,-0.16,-13.43,Basic Materials
2022-05-10,-0.25,-13.22,Basic Materials
2022-05-11,-3.95,-14.58,Basic Materials
2022-05-12,-3.77,-14.64,Basic Materials
2022-05-13,3.01,-12.68,Basic Materials
2022-05-16,1.9,-12.99,Basic Materials
2022-05-17,7.64,-11.29,Basic Materials
2022-05-18,6.2,-14.71,Basic Materials
2022-05-19,7.58,-15.27,Basic Materials
2022-05-20,6.4,-15.25,Basic Materials
2022-05-23,9.29,-13.68,Basic Materials
2022-05-24,9.39,-14.29,Basic Materials
2022-05-25,6.88,-13.59,Basic Materials
2022-05-26,14.68,-11.92,Basic Materials
2022-05-27,21.73,-9.77,Basic Materials
2022-05-31,17.07,-10.26,Basic Materials
2022-06-01,7.82,-10.69,Basic Materials
2022-06-02,12.73,-9.06,Basic Materials
2022-06-03,12.49,-10.5,Basic Materials
2022-06-06,15.61,-10.26,Basic Materials
2022-06-07,15.64,-9.4,Basic Materials
2022-06-08,14.03,-10.37,Basic Materials
2022-06-09,9.54,-12.42,Basic Materials
2022-06-10,7.68,-14.93,Basic Materials
2022-06-13,2.13,-18.12,Basic Materials
2022-06-14,2.6,-18.32,Basic Materials
2022-06-15,-0.85,-17.18,Basic Materials
2022-06-16,-6.26,-19.83,Basic Materials
2022-06-17,-2.13,-19.62,Basic Materials
2022-06-21,-0.33,-17.71,Basic Materials
2022-06-22,-0.37,-17.88,Basic Materials
2022-06-23,-1.47,-17.04,Basic Materials
2022-06-24,3.21,-14.53,Basic Materials
2022-06-27,3.97,-14.84,Basic Materials
2022-06-28,2.48,-16.63,Basic Materials
2022-06-29,-2.46,-16.92,Basic Materials
2022-06-30,-3.73,-17.56,Basic Materials
2022-07-01,-5.25,-16.28,Basic Materials
2022-07-05,-7.26,-16.14,Basic Materials
2022-07-06,-8.2,-15.85,Basic Materials
2022-07-07,-6.09,-14.65,Basic Materials
2022-07-08,-4.76,-14.7,Basic Materials
2022-07-11,-7.53,-15.64,Basic Materials
2022-07-12,-9.35,-16.4,Basic Materials
2022-07-13,-9.27,-16.77,Basic Materials
2022-07-14,-8.97,-16.99,Basic Materials
2022-07-15,-7.13,-15.46,Basic Materials
2022-07-18,-5.67,-16.14,Basic Materials
2022-07-19,-2.19,-13.93,Basic Materials
2022-07-20,1.46,-13.4,Basic Materials
2022-07-21,4.24,-12.55,Basic Materials
2022-07-22,2.35,-13.32,Basic Materials
2022-07-25,5.14,-13.24,Basic Materials
2022-07-26,4.01,-14.25,Basic Materials
2022-07-27,8.2,-12.07,Basic Materials
2022-07-28,9.13,-10.99,Basic Materials
2022-07-29,12.78,-9.72,Basic Materials
2022-08-01,10.51,-9.72,Basic Materials
2022-08-02,11.84,-10.15,Basic Materials
2022-08-03,10.37,-9.12,Basic Materials
2022-08-04,8.79,-9.18,Basic Materials
2022-08-05,9.84,-9.31,Basic Materials
2022-08-08,12.16,-9.37,Basic Materials
2022-08-09,12.1,-9.62,Basic Materials
2022-08-10,16.68,-8.33,Basic Materials
2022-08-11,18.69,-8.33,Basic Materials
2022-08-12,23.65,-7.26,Basic Materials
2022-08-15,24.44,-6.98,Basic Materials
2022-08-16,23.92,-6.87,Basic Materials
2022-08-17,23.41,-7.3,Basic Materials
2022-08-18,23.71,-7.11,Basic Materials
2022-08-19,22.19,-7.96,Basic Materials
2022-08-22,23.1,-9.24,Basic Materials
2022-08-23,24.49,-9.38,Basic Materials
2022-08-24,26.28,-9.2,Basic Materials
2022-08-25,28.32,-8.33,Basic Materials
2022-08-26,26.35,-10.4,Basic Materials
2022-08-29,25.52,-10.79,Basic Materials
2022-08-30,22.05,-11.42,Basic Materials
2022-08-31,20.68,-11.87,Basic Materials
2022-09-01,17.1,-11.4,Basic Materials
2022-09-02,17.91,-11.98,Basic Materials
2022-09-06,19.8,-12.17,Basic Materials
2022-09-07,24.31,-10.9,Basic Materials
2022-09-08,29.21,-10.38,Basic Materials
2022-09-09,32.79,-9.13,Basic Materials
2022-09-12,31.43,-8.23,Basic Materials
2022-09-13,31.9,-12.01,Basic Materials
2022-09-14,35.67,-11.7,Basic Materials
2022-09-15,27.13,-12.63,Basic Materials
2022-09-16,27.37,-13.28,Basic Materials
2022-09-19,31.42,-12.65,Basic Materials
2022-09-20,27.41,-13.61,Basic Materials
2022-09-21,26.29,-15.08,Basic Materials
2022-09-22,20.74,-15.78,Basic Materials
2022-09-23,19.58,-17.14,Basic Materials
2022-09-26,17.67,-17.92,Basic Materials
2022-09-27,19.71,-18.14,Basic Materials
2022-09-28,23.32,-16.92,Basic Materials
2022-09-29,17.85,-18.62,Basic Materials
2022-09-30,17.42,-19.84,Basic Materials
2022-10-03,20.94,-17.32,Basic Materials
2022-10-04,25.29,-14.89,Basic Materials
2022-10-05,22.27,-15.03,Basic Materials
2022-10-06,24.06,-15.9,Basic Materials
2022-10-07,20.42,-18.18,Basic Materials
2022-10-10,22.83,-18.77,Basic Materials
2022-10-11,20.6,-19.3,Basic Materials
2022-10-12,11.21,-19.54,Basic Materials
2022-10-13,13.19,-17.48,Basic Materials
2022-10-14,5.11,-19.3,Basic Materials
2022-10-17,9.72,-17.29,Basic Materials
2022-10-18,11.31,-16.34,Basic Materials
2022-10-19,13.42,-16.91,Basic Materials
2022-10-20,12.93,-17.57,Basic Materials
2022-10-21,19.3,-15.63,Basic Materials
2022-10-24,19.55,-14.63,Basic Materials
2022-10-25,24.28,-13.27,Basic Materials
2022-10-26,24.6,-13.9,Basic Materials
2022-10-27,24.61,-14.35,Basic Materials
2022-10-28,23.73,-12.4,Basic Materials
2022-10-31,23.6,-12.98,Basic Materials
2022-11-01,22.66,-13.0,Basic Materials
2022-11-02,17.35,-15.11,Basic Materials
2022-11-03,20.77,-15.97,Basic Materials
2022-11-04,25.21,-14.8,Basic Materials
2022-11-07,25.85,-14.03,Basic Materials
2022-11-08,34.27,-13.57,Basic Materials
2022-11-09,31.73,-15.28,Basic Materials
2022-11-10,40.65,-10.81,Basic Materials
2022-11-11,42.64,-9.98,Basic Materials
2022-11-14,38.74,-10.68,Basic Materials
2022-11-15,29.76,-9.96,Basic Materials
2022-11-16,25.78,-10.63,Basic Materials
2022-11-17,21.69,-10.88,Basic Materials
2022-11-18,21.49,-10.49,Basic Materials
2022-11-21,24.07,-10.8,Basic Materials
2022-11-22,24.17,-9.64,Basic Materials
2022-11-23,24.52,-9.09,Basic Materials
2022-11-25,19.67,-9.1,Basic Materials
2022-11-28,16.73,-10.5,Basic Materials
2022-11-29,18.44,-10.66,Basic Materials
2022-11-30,21.93,-7.97,Basic Materials
2022-12-01,20.25,-7.76,Basic Materials
2022-12-02,24.1,-7.89,Basic Materials
2022-12-05,15.95,-9.46,Basic Materials
2022-12-06,12.83,-10.72,Basic Materials
2022-12-07,12.67,-10.89,Basic Materials
2022-12-08,11.99,-10.21,Basic Materials
2022-12-09,10.79,-10.84,Basic Materials
2022-12-12,13.42,-9.61,Basic Materials
2022-12-13,14.53,-8.96,Basic Materials
2022-12-14,8.43,-9.5,Basic Materials
2022-12-15,5.24,-11.68,Basic Materials
2022-12-16,6.26,-12.71,Basic Materials
2022-12-19,2.13,-13.44,Basic Materials
2022-12-20,2.2,-13.72,Basic Materials
2022-12-21,1.82,-12.46,Basic Materials
2022-12-22,-1.06,-13.66,Basic Materials
2022-12-23,-0.64,-13.19,Basic Materials
2022-12-27,-6.19,-13.52,Basic Materials
2022-12-28,-6.24,-14.56,Basic Materials
2022-12-29,-4.75,-13.08,Basic Materials
2022-12-30,-5.02,-13.31,Basic Materials
2023-01-03,-5.9,-13.32,Basic Materials
2023-01-04,-2.0,-12.72,Basic Materials
2023-01-05,-4.15,-13.65,Basic Materials
2023-01-06,-2.84,-11.74,Basic Materials
2023-01-09,-1.82,-11.8,Basic Materials
2023-01-10,-1.86,-11.18,Basic Materials
2023-01-11,3.62,-10.08,Basic Materials
2023-01-12,6.5,-9.75,Basic Materials
2023-01-13,6.07,-9.41,Basic Materials
2023-01-17,6.44,-9.54,Basic Materials
2023-01-18,6.75,-10.98,Basic Materials
2023-01-19,4.72,-11.6,Basic Materials
2023-01-20,8.78,-10.01,Basic Materials
2023-01-23,14.04,-8.94,Basic Materials
2023-01-24,15.73,-9.04,Basic Materials
2023-01-25,18.52,-9.01,Basic Materials
2023-01-26,22.19,-8.06,Basic Materials
2023-01-27,23.17,-7.8,Basic Materials
2023-01-30,18.95,-8.93,Basic Materials
2023-01-31,23.05,-7.66,Basic Materials
2023-02-01,24.41,-6.52,Basic Materials
2023-02-02,26.21,-5.25,Basic Materials
2023-02-03,24.97,-6.21,Basic Materials
2023-02-06,20.57,-6.73,Basic Materials
2023-02-07,21.49,-5.74,Basic Materials
2023-02-08,17.41,-6.59,Basic Materials
2023-02-09,17.14,-7.25,Basic Materials
2023-02-10,17.46,-7.06,Basic Materials
2023-02-13,18.06,-6.18,Basic Materials
2023-02-14,18.37,-6.21,Basic Materials
2023-02-15,19.2,-5.96,Basic Materials
2023-02-16,24.33,-6.98,Basic Materials
2023-02-17,13.3,-7.17,Basic Materials
2023-02-21,6.89,-8.6,Basic Materials
2023-02-22,8.68,-8.69,Basic Materials
2023-02-23,11.64,-8.34,Basic Materials
2023-02-24,9.91,-9.1,Basic Materials
2023-02-27,12.9,-8.85,Basic Materials
2023-02-28,11.77,-9.16,Basic Materials
2023-03-01,10.83,-9.24,Basic Materials
2023-03-02,9.91,-8.66,Basic Materials
2023-03-03,13.57,-7.41,Basic Materials
2023-03-06,12.56,-7.32,Basic Materials
2023-03-07,9.19,-8.65,Basic Materials
2023-03-08,11.03,-8.52,Basic Materials
2023-03-09,4.06,-10.08,Basic Materials
2023-03-10,-0.85,-11.27,Basic Materials
2023-03-13,-1.76,-11.41,Basic Materials
2023-03-14,-0.74,-10.0,Basic Materials
2023-03-15,-5.46,-10.53,Basic Materials
2023-03-16,-5.37,-9.06,Basic Materials
2023-03-17,-8.01,-10.02,Basic Materials
2023-03-20,-5.98,-9.23,Basic Materials
2023-03-21,-1.76,-8.08,Basic Materials
2023-03-22,-4.72,-9.56,Basic Materials
2023-03-23,-4.92,-9.35,Basic Materials
2023-03-24,-3.99,-9.13,Basic Materials
2023-03-27,-3.51,-8.98,Basic Materials
2023-03-28,-3.83,-9.14,Basic Materials
2023-03-29,-1.08,-7.87,Basic Materials
2023-03-30,-1.96,-7.33,Basic Materials
2023-03-31,-2.57,-6.05,Basic Materials
2023-04-03,-3.63,-5.56,Basic Materials
2023-04-04,-7.47,-6.08,Basic Materials
2023-04-05,-13.03,-6.3,Basic Materials
2023-04-06,-13.91,-5.95,Basic Materials
2023-04-10,-11.69,-5.85,Basic Materials
2023-04-11,-10.86,-5.84,Basic Materials
2023-04-12,-10.87,-6.21,Basic Materials
2023-04-13,-10.3,-5.01,Basic Materials
2023-04-14,-9.87,-5.2,Basic Materials
2023-04-17,-9.04,-4.88,Basic Materials
2023-04-18,-9.31,-4.82,Basic Materials
2023-04-19,-9.97,-4.83,Basic Materials
2023-04-20,-14.68,-5.36,Basic Materials
2023-04-21,-23.14,-5.3,Basic Materials
2023-04-24,-18.66,-5.18,Basic Materials
2023-04-25,-21.87,-6.43,Basic Materials
2023-04-26,-19.87,-6.78,Basic Materials
2023-04-27,-17.77,-5.24,Basic Materials
2023-04-28,-18.0,-4.56,Basic Materials
2023-05-01,-21.14,-4.51,Basic Materials
2023-05-02,-22.82,-5.49,Basic Materials
2023-05-03,-23.03,-6.08,Basic Materials
2023-05-04,-21.84,-6.71,Basic Materials
2023-05-05,-20.08,-5.15,Basic Materials
2023-05-08,-17.39,-5.11,Basic Materials
2023-05-09,-13.33,-5.5,Basic Materials
2023-05-10,-13.62,-5.1,Basic Materials
2023-05-11,-11.86,-5.23,Basic Materials
2023-05-12,-13.06,-5.35,Basic Materials
2023-05-15,-9.57,-5.04,Basic Materials
2023-05-16,-8.73,-5.65,Basic Materials
2023-05-17,-7.71,-4.56,Basic Materials
2023-05-18,-6.76,-3.65,Basic Materials
2023-05-19,-9.4,-3.8,Basic Materials
2023-05-22,-8.36,-3.74,Basic Materials
2023-05-23,-4.15,-4.8,Basic Materials
2023-05-24,-5.84,-5.51,Basic Materials
2023-05-25,-9.04,-4.7,Basic Materials
2023-05-26,-9.47,-3.48,Basic Materials
2023-05-30,-10.41,-3.45,Basic Materials
2023-05-31,-14.07,-3.96,Basic Materials
2023-06-01,-12.91,-2.99,Basic Materials
2023-06-02,-7.32,-1.6,Basic Materials
2023-06-05,-8.28,-1.79,Basic Materials
2023-06-06,-5.21,-1.59,Basic Materials
2023-06-07,-2.69,-1.91,Basic Materials
2023-06-08,-2.33,-1.33,Basic Materials
2023-06-09,-1.94,-1.17,Basic Materials
2023-06-12,-2.81,-0.27,Basic Materials
2023-06-13,1.75,0.38,Basic Materials
2023-06-14,0.84,0.45,Basic Materials
2023-06-15,2.66,1.72,Basic Materials
2023-06-16,1.45,1.35,Basic Materials
2023-06-20,3.24,0.89,Basic Materials
2023-06-21,2.42,0.35,Basic Materials
2023-06-22,0.49,0.71,Basic Materials
2023-06-23,-2.08,-0.04,Basic Materials
2023-06-26,0.14,-0.45,Basic Materials
2023-06-27,0.96,0.64,Basic Materials
2023-06-28,-3.49,0.69,Basic Materials
2023-06-29,-2.62,0.68,Basic Materials
2023-06-30,-0.8,1.85,Basic Materials
2023-07-03,1.89,2.0,Basic Materials
2023-07-05,1.78,1.78,Basic Materials
2023-07-06,1.15,0.97,Basic Materials
2023-07-07,5.51,0.74,Basic Materials
2023-07-10,6.54,1.01,Basic Materials
2023-07-11,6.2,1.65,Basic Materials
2023-07-12,8.12,2.44,Basic Materials
2023-07-13,7.33,3.26,Basic Materials
2023-07-14,4.51,3.18,Basic Materials
2023-07-17,5.57,3.53,Basic Materials
2023-07-18,5.29,4.31,Basic Materials
2023-07-19,3.3,4.53,Basic Materials
2023-07-20,-0.85,3.86,Basic Materials
2023-07-21,-3.99,3.87,Basic Materials
2023-07-24,-6.28,4.3,Basic Materials
2023-07-25,-5.53,4.56,Basic Materials
2023-07-26,-6.62,4.58,Basic Materials
2023-07-27,-8.42,3.99,Basic Materials
2023-07-28,-7.49,4.84,Basic Materials
2023-07-31,-5.63,5.01,Basic Materials
2023-08-01,-7.37,4.66,Basic Materials
2023-08-02,-9.57,3.53,Basic Materials
2023-08-03,-11.1,3.31,Basic Materials
2023-08-04,-10.78,2.92,Basic Materials
2023-08-07,-12.23,3.63,Basic Materials
2023-08-08,-12.59,3.32,Basic Materials
2023-08-09,-13.06,2.85,Basic Materials
2023-08-10,-13.9,2.89,Basic Materials
2023-08-11,-15.29,2.83,Basic Materials
2023-08-14,-15.93,3.23,Basic Materials
2023-08-15,-16.39,2.44,Basic Materials
2023-08-16,-17.17,1.94,Basic Materials
2023-08-17,-16.81,1.39,Basic Materials
2023-08-18,-16.59,1.45,Basic Materials
2023-08-21,-15.15,1.9,Basic Materials
2023-08-22,-15.12,1.71,Basic Materials
2023-08-23,-14.03,2.43,Basic Materials
2023-08-24,-14.34,1.53,Basic Materials
2023-08-25,-14.65,1.97,Basic Materials
2023-08-28,-14.68,2.41,Basic Materials
2023-08-29,-12.25,3.38,Basic Materials
2023-08-30,-12.0,3.66,Basic Materials
2023-08-31,-11.96,3.58,Basic Materials
2023-09-01,-11.27,3.65,Basic Materials
2023-09-05,-11.11,3.35,Basic Materials
2023-09-06,-15.14,2.76,Basic Materials
2023-09-07,-16.06,2.49,Basic Materials
2023-09-08,-17.4,2.62,Basic Materials
2023-09-11,-16.59,3.26,Basic Materials
2023-09-12,-17.45,2.72,Basic Materials
2023-09-13,-17.35,2.84,Basic Materials
2023-09-14,-17.18,3.7,Basic Materials
2023-09-15,-17.67,2.45,Basic Materials
2023-09-18,-18.64,2.56,Basic Materials
2023-09-19,-19.36,2.36,Basic Materials
2023-09-20,-21.81,1.42,Basic Materials
2023-09-21,-24.24,-0.2,Basic Materials
2023-09-22,-24.56,-0.44,Basic Materials
2023-09-25,-25.14,-0.03,Basic Materials
2023-09-26,-26.58,-1.48,Basic Materials
2023-09-27,-27.04,-1.46,Basic Materials
2023-09-28,-22.7,-1.26,Basic Materials
2023-09-29,-23.75,-1.49,Basic Materials
2023-10-02,-26.61,-1.47,Basic Materials
2023-10-03,-29.11,-2.77,Basic Materials
2023-10-04,-28.39,-2.07,Basic Materials
2023-10-05,-29.88,-2.15,Basic Materials
2023-10-06,-27.75,-1.01,Basic Materials
2023-10-09,-29.56,-0.36,Basic Materials
2023-10-10,-26.74,0.14,Basic Materials
2023-10-11,-25.53,0.56,Basic Materials
2023-10-12,-22.86,-0.03,Basic Materials
2023-10-13,-26.16,-0.55,Basic Materials
2023-10-16,-24.23,0.47,Basic Materials
2023-10-17,-23.44,0.48,Basic Materials
2023-10-18,-30.87,-0.85,Basic Materials
2023-10-19,-34.6,-1.68,Basic Materials
2023-10-20,-37.24,-2.89,Basic Materials
2023-10-23,-38.31,-3.06,Basic Materials
2023-10-24,-36.98,-2.34,Basic Materials
2023-10-25,-38.74,-3.7,Basic Materials
2023-10-26,-38.79,-4.87,Basic Materials
2023-10-27,-39.13,-5.28,Basic Materials
2023-10-30,-42.28,-4.16,Basic Materials
2023-10-31,-42.57,-3.59,Basic Materials
2023-11-01,-43.45,-2.49,Basic Materials
2023-11-02,-42.72,-0.7,Basic Materials
2023-11-03,-41.23,0.19,Basic Materials
2023-11-06,-45.0,0.38,Basic Materials
2023-11-07,-43.81,0.65,Basic Materials
2023-11-08,-45.2,0.73,Basic Materials
2023-11-09,-47.18,-0.01,Basic Materials
2023-11-10,-46.11,1.52,Basic Materials
2023-11-13,-47.36,1.42,Basic Materials
2023-11-14,-42.31,3.34,Basic Materials
2023-11-15,-41.22,3.57,Basic Materials
2023-11-16,-43.55,3.71,Basic Materials
2023-11-17,-41.37,3.86,Basic Materials
2023-11-20,-40.02,4.63,Basic Materials
2023-11-21,-41.95,4.36,Basic Materials
2023-11-22,-41.74,4.81,Basic Materials
2023-11-24,-40.7,4.87,Basic Materials
2023-11-27,-44.4,4.69,Basic Materials
2023-11-28,-42.97,4.79,Basic Materials
2023-11-29,-43.21,4.72,Basic Materials
2023-11-30,-44.17,5.12,Basic Materials
2023-12-01,-41.16,5.62,Basic Materials
2023-12-04,-43.93,5.11,Basic Materials
2023-12-05,-46.99,5.08,Basic Materials
2023-12-06,-44.7,4.72,Basic Materials
2023-12-07,-41.49,5.4,Basic Materials
2023-12-08,-40.28,5.77,Basic Materials
2023-12-11,-40.94,6.12,Basic Materials
2023-12-12,-40.3,6.6,Basic Materials
2023-12-13,-34.72,7.92,Basic Materials
2023-12-14,-32.04,8.21,Basic Materials
2023-12-15,-31.5,8.06,Basic Materials
2023-12-18,-32.03,8.62,Basic Materials
2023-12-19,-30.63,9.16,Basic Materials
2023-12-20,-33.6,7.51,Basic Materials
2023-12-21,-32.24,8.36,Basic Materials
2023-12-22,-30.1,8.57,Basic Materials
2023-12-26,-29.03,8.94,Basic Materials
2023-12-27,-30.45,9.1,Basic Materials
2023-12-28,-30.4,9.11,Basic Materials
2023-12-29,-32.69,8.87,Basic Materials
2024-01-02,-31.0,8.16,Basic Materials
2024-01-03,-34.1,7.53,Basic Materials
2024-01-04,-36.07,7.23,Basic Materials
2024-01-05,-36.12,7.36,Basic Materials
2024-01-08,-35.77,8.85,Basic Materials
2024-01-09,-37.12,8.62,Basic Materials
2024-01-10,-37.46,9.22,Basic Materials
2024-01-11,-39.46,9.19,Basic Materials
2024-01-12,-40.67,9.23,Basic Materials
2024-01-16,-40.72,8.92,Basic Materials
2024-01-17,-43.17,8.42,Basic Materials
2024-01-18,-44.43,9.22,Basic Materials
2024-01-19,-45.76,10.34,Basic Materials
2024-01-22,-43.14,10.55,Basic Materials
2024-01-23,-42.28,10.83,Basic Materials
2024-01-24,-42.7,10.91,Basic Materials
2024-01-25,-44.22,11.43,Basic Materials
2024-01-26,-43.57,11.37,Basic Materials
2024-01-29,-42.0,12.06,Basic Materials
2024-01-30,-43.35,11.99,Basic Materials
2024-01-31,-45.96,10.45,Basic Materials
2024-02-01,-44.2,11.46,Basic Materials
2024-02-02,-45.36,12.41,Basic Materials
2024-02-05,-47.9,12.07,Basic Materials
2024-02-06,-45.89,12.35,Basic Materials
2024-02-07,-44.94,13.07,Basic Materials
2024-02-08,-45.27,13.13,Basic Materials
2024-02-09,-44.59,13.64,Basic Materials
2024-02-12,-42.57,13.6,Basic Materials
2024-02-13,-46.29,12.17,Basic Materials
2024-02-14,-45.26,13.12,Basic Materials
2024-02-15,-43.79,13.8,Basic Materials
2024-02-16,-41.39,13.28,Basic Materials
2024-02-20,-45.06,12.73,Basic Materials
2024-02-21,-43.3,12.83,Basic Materials
2024-02-22,-43.47,14.94,Basic Materials
2024-02-23,-42.31,14.99,Basic Materials
2024-02-26,-41.9,14.61,Basic Materials
2024-02-27,-38.55,14.81,Basic Materials
2024-02-28,-36.9,14.65,Basic Materials
2024-02-29,-34.16,15.05,Basic Materials
2024-03-01,-31.25,15.81,Basic Materials
2024-03-04,-35.72,15.68,Basic Materials
2024-03-05,-46.97,14.57,Basic Materials
2024-03-06,-42.15,15.15,Basic Materials
2024-03-07,-40.7,16.24,Basic Materials
2024-03-08,-42.75,15.57,Basic Materials
2024-03-11,-39.72,15.48,Basic Materials
2024-03-12,-40.11,16.5,Basic Materials
2024-03-13,-39.22,16.35,Basic Materials
2024-03-14,-42.03,16.14,Basic Materials
2024-03-15,-40.96,15.48,Basic Materials
2024-03-18,-39.8,16.07,Basic Materials
2024-03-19,-41.73,16.58,Basic Materials
2024-03-20,-39.86,17.38,Basic Materials
2024-03-21,-39.66,17.69,Basic Materials
2024-03-22,-41.58,17.27,Basic Materials
2024-03-25,-42.78,17.03,Basic Materials
2024-03-26,-42.47,16.78,Basic Materials
2024-03-27,-37.77,17.57,Basic Materials
2024-03-28,-36.36,17.56,Basic Materials
2024-04-01,-36.94,17.14,Basic Materials
2024-04-02,-38.23,16.47,Basic Materials
2024-04-03,-37.09,16.56,Basic Materials
2024-04-04,-40.79,15.31,Basic Materials
2024-04-05,-39.68,16.37,Basic Materials
2024-04-08,-35.74,16.41,Basic Materials
2024-04-09,-36.96,16.55,Basic Materials
2024-04-10,-37.69,15.5,Basic Materials
2024-04-11,-36.41,16.27,Basic Materials
2024-04-12,-40.14,14.8,Basic Materials
2024-04-15,-41.14,13.46,Basic Materials
2024-04-16,-44.24,13.26,Basic Materials
2024-04-17,-44.1,12.6,Basic Materials
2024-04-18,-45.36,12.36,Basic Materials
2024-04-19,-45.19,11.45,Basic Materials
2024-04-22,-45.12,12.38,Basic Materials
2024-04-23,-44.19,13.77,Basic Materials
2024-04-24,-43.67,13.69,Basic Materials
2024-04-25,-43.81,13.23,Basic Materials
2024-04-26,-42.89,14.34,Basic Materials
2024-04-29,-38.61,14.73,Basic Materials
2024-04-30,-41.23,12.94,Basic Materials
2024-05-01,-41.16,12.36,Basic Materials
2024-05-02,-38.16,13.38,Basic Materials
2024-05-03,-36.82,14.75,Basic Materials
2024-05-06,-35.55,15.88,Basic Materials
2024-05-07,-35.18,16.04,Basic Materials
2024-05-08,-35.7,16.05,Basic Materials
2024-05-09,-34.21,16.7,Basic Materials
2024-05-10,-36.11,16.85,Basic Materials
2024-05-13,-35.19,16.85,Basic Materials
2024-05-14,-33.27,17.4,Basic Materials
2024-05-15,-37.11,18.81,Basic Materials
2024-05-16,-36.33,18.58,Basic Materials
2024-05-17,-35.38,18.76,Basic Materials
2024-05-20,-35.86,18.87,Basic Materials
