Date,rate_CHTR,rate_CHTR_5D,rate_CHTR_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-02-18,-3.79,-2.638,-3.7565,-6.5,-5.204,-4.4704999999999995
2022-02-22,-4.0,-3.022,-3.6315,-7.48,-5.593999999999999,-4.5775
2022-02-23,-7.84,-4.2219999999999995,-3.604,-9.06,-6.590000000000001,-4.714
2022-02-24,-5.37,-4.928,-3.3939999999999997,-7.73,-7.340000000000001,-4.775
2022-02-25,-3.12,-4.824,-3.1135,-5.81,-7.316,-4.720000000000001
2022-02-28,-3.03,-4.672,-3.032,-6.04,-7.224000000000001,-4.774
2022-03-01,-3.99,-4.67,-3.0185,-7.18,-7.164,-4.96
2022-03-02,-7.54,-4.61,-3.2145,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-8.92,-5.32,-3.503,-6.03,-6.128,-5.3025
2022-03-04,-10.7,-6.836,-3.9529999999999994,-6.74,-6.314,-5.439500000000001
2022-03-07,-9.84,-8.198,-4.3495,-9.33,-6.9719999999999995,-5.726
2022-03-08,-10.49,-9.498,-4.791500000000001,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-9.52,-9.894,-5.1725,-7.69,-7.954000000000001,-6.258
2022-03-10,-8.84,-9.878,-5.562,-8.09,-8.366,-6.572
2022-03-11,-9.28,-9.594,-5.911499999999999,-9.21,-8.86,-6.8605
2022-03-14,-8.23,-9.272,-6.194999999999999,-9.84,-8.962,-7.0905000000000005
2022-03-15,-7.75,-8.724,-6.4784999999999995,-7.92,-8.55,-7.210000000000001
2022-03-16,-7.29,-8.278,-6.751,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-6.41,-7.791999999999999,-6.9795,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-6.47,-7.230000000000001,-7.1209999999999996,-3.77,-6.45,-7.235000000000001
2022-03-21,-8.29,-7.241999999999999,-7.345999999999999,-3.77,-5.236,-7.0985
2022-03-22,-6.89,-7.0699999999999985,-7.4905,-2.68,-4.188,-6.858499999999999
2022-03-23,-9.2,-7.452,-7.5584999999999996,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-9.3,-8.03,-7.755,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-9.47,-8.629999999999999,-8.072500000000002,-2.35,-3.106,-6.182499999999999
2022-03-28,-8.37,-8.646,-8.339500000000001,-1.69,-2.69,-5.965000000000001
2022-03-29,-7.25,-8.718,-8.502500000000001,-0.48,-2.25,-5.63
2022-03-30,-7.6,-8.398,-8.505500000000001,-1.09,-1.688,-5.4055
2022-03-31,-11.48,-8.834,-8.6335,-2.57,-1.636,-5.2325
2022-04-01,-8.67,-8.674000000000001,-8.532,-2.24,-1.614,-5.0075
2022-04-04,-8.62,-8.724,-8.471,-1.45,-1.566,-4.6135
2022-04-05,-9.44,-9.162,-8.4185,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-8.74,-9.39,-8.3795,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-10.11,-9.116,-8.443000000000001,-3.1,-2.596,-3.79
2022-04-08,-9.31,-9.244,-8.444500000000001,-3.33,-2.814,-3.496
2022-04-11,-8.95,-9.309999999999999,-8.4805,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-10.64,-9.55,-8.625,-5.28,-4.044,-3.119
2022-04-13,-8.56,-9.514,-8.6885,-4.23,-4.176,-3.0345
2022-04-14,-9.67,-9.425999999999998,-8.8515,-5.37,-4.630000000000001,-3.063
2022-04-18,-13.09,-10.181999999999999,-9.182500000000001,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-9.29,-10.25,-9.2325,-3.88,-4.822000000000001,-3.1475
2022-04-20,-12.7,-10.662,-9.523,-3.95,-4.556,-3.211
2022-04-21,-15.36,-12.022,-9.831,-5.34,-4.7780000000000005,-3.283
2022-04-22,-16.56,-13.4,-10.193999999999999,-7.86,-5.276,-3.5345
2022-04-25,-17.25,-14.232,-10.583,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-20.38,-16.45,-11.183499999999999,-9.95,-6.894,-4.1985
2022-04-27,-21.16,-18.142,-11.879,-9.73,-8.05,-4.661
2022-04-28,-24.38,-19.945999999999998,-12.718,-7.52,-8.485999999999999,-4.9825
2022-04-29,-29.55,-22.544,-13.621500000000001,-10.83,-9.08,-5.3955
2022-05-02,-28.09,-24.711999999999996,-14.592499999999998,-9.99,-9.604,-5.7829999999999995
2022-05-03,-29.17,-26.47,-15.62,-9.62,-9.538,-6.1915
2022-05-04,-25.62,-27.362000000000002,-16.429,-6.99,-8.99,-6.410000000000001
2022-05-05,-24.4,-27.366000000000003,-17.211999999999996,-10.13,-9.512,-6.7379999999999995
2022-05-06,-23.84,-26.224,-17.898500000000002,-10.67,-9.48,-7.1165
2022-05-09,-23.23,-25.252000000000002,-18.5945,-13.43,-10.168,-7.6215
2022-05-10,-22.5,-23.918,-19.272,-13.22,-10.888,-8.0355
2022-05-11,-25.68,-23.93,-20.023999999999997,-14.58,-12.406,-8.500499999999999
2022-05-12,-22.98,-23.645999999999997,-20.744999999999997,-14.64,-13.308000000000002,-9.021
2022-05-13,-22.0,-23.278,-21.3615,-12.68,-13.709999999999999,-9.3865
2022-05-16,-23.28,-23.288,-21.871000000000002,-12.99,-13.622,-9.7685
2022-05-17,-21.88,-23.163999999999998,-22.5005,-11.29,-13.236,-10.139
2022-05-18,-22.3,-22.488,-22.9805,-14.71,-13.262,-10.677
2022-05-19,-21.49,-22.19,-23.287,-15.27,-13.388,-11.1735
2022-05-20,-20.78,-21.946,-23.498,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-21.63,-21.616,-23.717000000000002,-13.68,-14.040000000000001,-11.8585
2022-05-24,-20.78,-21.395999999999997,-23.737000000000002,-14.29,-14.64,-12.075500000000002
2022-05-25,-19.41,-20.818,-23.6495,-13.59,-14.416,-12.2685
2022-05-26,-16.98,-19.916,-23.279500000000002,-11.92,-13.745999999999999,-12.4885
2022-05-27,-15.84,-18.928,-22.594,-9.77,-12.65,-12.435500000000001
2022-05-31,-16.32,-17.866000000000003,-22.0055,-10.26,-11.966,-12.449
2022-06-01,-17.66,-17.242,-21.43,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-17.21,-16.802,-21.0095,-9.06,-10.34,-12.606
2022-06-03,-18.37,-17.080000000000002,-20.708000000000002,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-19.41,-17.794,-20.4865,-10.26,-10.154,-12.604
2022-06-07,-19.76,-18.482000000000003,-20.313,-9.4,-9.982,-12.4025
2022-06-08,-18.88,-18.726,-20.131999999999998,-10.37,-9.918000000000001,-12.26
2022-06-09,-19.8,-19.244,-19.838,-12.42,-10.59,-12.152
2022-06-10,-21.12,-19.794,-19.745,-14.93,-11.475999999999999,-12.1665
2022-06-13,-24.32,-20.776000000000003,-19.861,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-24.73,-21.77,-19.9335,-18.32,-14.831999999999999,-12.705
2022-06-15,-25.21,-23.036,-20.1,-17.18,-16.194,-12.999500000000001
2022-06-16,-30.68,-25.212,-20.519000000000002,-19.83,-17.676,-13.255500000000001
2022-06-17,-26.35,-26.258000000000003,-20.762,-19.62,-18.614,-13.472999999999999
2022-06-21,-27.08,-26.810000000000002,-21.076999999999998,-17.71,-18.532,-13.596
2022-06-22,-25.33,-26.93,-21.262,-17.88,-18.444,-13.806000000000001
2022-06-23,-24.21,-26.73,-21.433500000000002,-17.04,-18.416,-13.9435
2022-06-24,-22.92,-25.177999999999997,-21.609,-14.53,-17.356,-13.9905
2022-06-27,-22.71,-24.45,-21.8955,-14.84,-16.4,-14.136499999999998
2022-06-28,-23.9,-23.814,-22.2985,-16.63,-16.184,-14.479499999999998
2022-06-29,-22.8,-23.308,-22.6225,-16.92,-15.992,-14.8125
2022-06-30,-22.04,-22.874000000000002,-22.8415,-17.56,-16.096,-15.156
2022-07-01,-19.48,-22.186,-22.955000000000002,-16.28,-16.446,-15.517
2022-07-05,-19.43,-21.53,-23.008000000000003,-16.14,-16.706,-15.799000000000001
2022-07-06,-20.98,-20.945999999999998,-23.086499999999997,-15.85,-16.55,-16.0785
2022-07-07,-21.99,-20.784,-23.198,-14.65,-16.096,-16.341
2022-07-08,-22.29,-20.834,-23.3685,-14.7,-15.524000000000001,-16.5575
2022-07-11,-23.93,-21.724,-23.575,-15.64,-15.395999999999997,-16.7185
2022-07-12,-21.55,-22.148,-23.5965,-16.4,-15.447999999999999,-16.792
2022-07-13,-21.95,-22.342000000000002,-23.478,-16.77,-15.632,-16.7245
2022-07-14,-21.45,-22.233999999999998,-23.314,-16.99,-16.1,-16.658
2022-07-15,-20.18,-21.812,-23.0625,-15.46,-16.252000000000002,-16.572
2022-07-18,-20.6,-21.145999999999997,-22.5585,-16.14,-16.352,-16.3875
2022-07-19,-19.15,-20.666,-22.198500000000003,-13.93,-15.857999999999999,-16.103
2022-07-20,-19.11,-20.098,-21.799999999999997,-13.4,-15.184000000000001,-15.8875
2022-07-21,-17.57,-19.322,-21.412,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-18.71,-19.028,-21.137,-13.32,-13.868,-15.434999999999999
2022-07-25,-19.8,-18.868000000000002,-20.981,-13.24,-13.288,-15.370499999999998
2022-07-26,-19.79,-18.996,-20.835,-14.25,-13.352,-15.341
2022-07-27,-20.29,-19.232,-20.6545,-12.07,-13.086000000000002,-15.113
2022-07-28,-26.81,-21.080000000000002,-20.855,-10.99,-12.774,-14.8165
2022-07-29,-27.37,-22.812,-21.1215,-9.72,-12.053999999999998,-14.4245
2022-08-01,-27.52,-24.356,-21.5235,-9.72,-11.350000000000001,-14.0965
2022-08-02,-26.16,-25.630000000000003,-21.86,-10.15,-10.53,-13.797
2022-08-03,-24.37,-26.445999999999998,-22.029500000000002,-9.12,-9.94,-13.460500000000001
2022-08-04,-23.47,-25.778,-22.1035,-9.18,-9.578,-13.187000000000001
2022-08-05,-23.04,-24.912,-22.141,-9.31,-9.496,-12.9175
2022-08-08,-22.91,-23.99,-22.089999999999996,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-24.21,-23.6,-22.223000000000003,-9.62,-9.319999999999999,-12.265
2022-08-10,-23.06,-23.338,-22.2785,-8.33,-9.162,-11.843
2022-08-11,-22.67,-23.178,-22.339499999999997,-8.33,-8.992,-11.41
2022-08-12,-21.32,-22.834,-22.3965,-7.26,-8.581999999999999,-11.0
2022-08-15,-21.0,-22.451999999999998,-22.416500000000003,-6.98,-8.104000000000001,-10.542
2022-08-16,-20.8,-21.77,-22.499,-6.87,-7.554,-10.189
2022-08-17,-22.69,-21.696,-22.678,-7.3,-7.348000000000001,-9.884
2022-08-18,-23.46,-21.854,-22.9725,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-23.85,-22.360000000000003,-23.229499999999998,-7.96,-7.244,-9.344
2022-08-22,-25.57,-23.274,-23.518,-9.24,-7.696,-9.144
2022-08-23,-26.27,-24.368000000000002,-23.842000000000002,-9.38,-8.198,-8.9005
2022-08-24,-26.59,-25.148,-24.157,-9.2,-8.578,-8.757
2022-08-25,-25.57,-25.57,-24.095,-8.33,-8.822,-8.623999999999999
2022-08-26,-26.96,-26.192,-24.0745,-10.4,-9.31,-8.658
2022-08-29,-27.77,-26.631999999999998,-24.087,-10.79,-9.620000000000001,-8.7115
2022-08-30,-28.76,-27.130000000000003,-24.217,-11.42,-10.028,-8.774999999999999
2022-08-31,-28.41,-27.494,-24.419,-11.87,-10.562,-8.9125
2022-09-01,-26.83,-27.746,-24.587,-11.4,-11.175999999999998,-9.0235
2022-09-02,-28.28,-28.01,-24.849,-11.98,-11.492,-9.157
2022-09-06,-29.39,-28.333999999999996,-25.173000000000002,-12.17,-11.768,-9.297
2022-09-07,-28.6,-28.302,-25.392500000000002,-10.9,-11.664,-9.361
2022-09-08,-29.66,-28.552000000000003,-25.722500000000004,-10.38,-11.366,-9.4635
2022-09-09,-28.06,-28.798000000000002,-25.992,-9.13,-10.912,-9.503499999999999
2022-09-12,-27.97,-28.736,-26.3245,-8.23,-10.162,-9.552
2022-09-13,-31.23,-29.104000000000003,-26.836000000000002,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-31.52,-29.688,-27.372000000000003,-11.7,-10.290000000000001,-10.045
2022-09-15,-33.04,-30.363999999999997,-27.889499999999998,-12.63,-10.74,-10.311499999999999
2022-09-16,-32.77,-31.306,-28.355,-13.28,-11.57,-10.620000000000001
2022-09-19,-33.68,-32.448,-28.846500000000002,-12.65,-12.453999999999999,-10.8545
2022-09-20,-35.24,-33.25,-29.330000000000002,-13.61,-12.774,-11.073
2022-09-21,-36.92,-34.33,-29.8625,-15.08,-13.45,-11.358
2022-09-22,-40.15,-35.752,-30.540499999999998,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-42.24,-37.646,-31.374000000000002,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-44.86,-39.882,-32.269,-17.92,-15.906,-12.503499999999999
2022-09-27,-44.74,-41.782000000000004,-33.1175,-18.14,-16.812,-12.871
2022-09-28,-42.29,-42.856,-33.794,-16.92,-17.18,-13.146
2022-09-29,-43.76,-43.577999999999996,-34.5615,-18.62,-17.748,-13.483500000000001
2022-09-30,-45.35,-44.2,-35.4875,-19.84,-18.288,-13.905499999999998
2022-10-03,-41.37,-43.501999999999995,-36.142,-17.32,-18.168,-14.172500000000003
2022-10-04,-39.92,-42.538,-36.6685,-14.89,-17.518,-14.3085
2022-10-05,-39.79,-42.038,-37.228,-15.03,-17.14,-14.515
2022-10-06,-40.72,-41.43,-37.78099999999999,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-42.72,-40.904,-38.513999999999996,-18.18,-16.264,-15.243500000000001
2022-10-10,-41.71,-40.972,-39.201,-18.77,-16.554,-15.770500000000002
2022-10-11,-43.47,-41.682,-39.813,-19.3,-17.436,-16.135
2022-10-12,-43.85,-42.494,-40.4295,-19.54,-18.338,-16.526999999999997
2022-10-13,-40.35,-42.42,-40.795,-17.48,-18.654,-16.7695
2022-10-14,-40.82,-42.04,-41.197500000000005,-19.3,-18.878,-17.070500000000003
2022-10-17,-39.32,-41.562,-41.479499999999994,-17.29,-18.582,-17.3025
2022-10-18,-39.83,-40.833999999999996,-41.708999999999996,-16.34,-17.99,-17.439
2022-10-19,-40.58,-40.18,-41.892,-16.91,-17.464,-17.530499999999996
2022-10-20,-39.96,-40.102,-41.8825,-17.57,-17.482,-17.619999999999997
2022-10-21,-39.55,-39.848,-41.748000000000005,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-38.36,-39.65599999999999,-41.423,-14.63,-16.216,-17.380000000000003
2022-10-25,-36.65,-39.019999999999996,-41.0185,-13.27,-15.602,-17.1365
2022-10-26,-36.97,-38.297999999999995,-40.752500000000005,-13.9,-15.0,-16.9855
2022-10-27,-35.12,-37.33,-40.3205,-14.35,-14.356,-16.772
2022-10-28,-32.81,-35.982,-39.6935,-12.4,-13.709999999999999,-16.4
2022-10-31,-32.92,-34.894000000000005,-39.271,-12.98,-13.38,-16.183
2022-11-01,-33.96,-34.356,-38.973,-13.0,-13.325999999999999,-16.0885
2022-11-02,-35.66,-34.094,-38.76649999999999,-15.11,-13.568000000000001,-16.0925
2022-11-03,-36.18,-34.306,-38.5395,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-35.38,-34.82,-38.1725,-14.8,-14.372,-15.927000000000001
2022-11-07,-34.61,-35.158,-37.8175,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-34.36,-35.238,-37.362,-13.57,-14.696000000000002,-15.4035
2022-11-09,-35.21,-35.148,-36.93,-15.28,-14.73,-15.1905
2022-11-10,-31.09,-34.13,-36.467,-10.81,-13.697999999999999,-14.857
2022-11-11,-27.32,-32.518,-35.792,-9.98,-12.734,-14.391
2022-11-14,-28.49,-31.294,-35.2505,-10.68,-12.064,-14.060500000000001
2022-11-15,-27.72,-29.966,-34.644999999999996,-9.96,-11.342,-13.741499999999998
2022-11-16,-28.29,-28.582,-34.030499999999996,-10.63,-10.412,-13.4275
2022-11-17,-29.13,-28.189999999999998,-33.489000000000004,-10.88,-10.426,-13.093
2022-11-18,-30.91,-28.907999999999998,-33.057,-10.49,-10.528,-12.836000000000002
2022-11-21,-31.88,-29.585999999999995,-32.733,-10.8,-10.552000000000001,-12.6445
2022-11-22,-28.9,-29.821999999999996,-32.3455,-9.64,-10.488000000000001,-12.463
2022-11-23,-28.05,-29.774,-31.899499999999996,-9.09,-10.180000000000001,-12.2225
2022-11-25,-28.08,-29.564,-31.547499999999996,-9.1,-9.824,-11.96
2022-11-28,-29.09,-29.2,-31.3615,-10.5,-9.825999999999999,-11.865
2022-11-29,-28.95,-28.613999999999997,-31.163,-10.66,-9.798,-11.749
2022-11-30,-27.86,-28.406,-30.857999999999997,-7.97,-9.464,-11.4975
2022-12-01,-27.57,-28.309999999999995,-30.453500000000002,-7.76,-9.198,-11.129999999999999
2022-12-02,-26.95,-28.084000000000003,-29.991999999999997,-7.89,-8.956,-10.725999999999999
2022-12-05,-27.82,-27.830000000000002,-29.613999999999997,-9.46,-8.748000000000001,-10.459
2022-12-06,-30.79,-28.198,-29.422999999999995,-10.72,-8.76,-10.2935
2022-12-07,-30.13,-28.651999999999997,-29.211499999999994,-10.89,-9.344,-10.1595
2022-12-08,-30.23,-29.184000000000005,-28.9625,-10.21,-9.834,-9.906000000000002
2022-12-09,-29.11,-29.616000000000003,-28.8635,-10.84,-10.424000000000001,-9.9075
2022-12-12,-28.42,-29.736,-28.918499999999995,-9.61,-10.454,-9.889
2022-12-13,-26.91,-28.96,-28.839500000000005,-8.96,-10.102,-9.803
2022-12-14,-38.64,-30.662,-29.3855,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-41.36,-32.888,-30.039000000000005,-11.68,-10.118,-9.8325
2022-12-16,-42.9,-35.646,-30.7275,-12.71,-10.492,-9.924
2022-12-19,-42.68,-38.498000000000005,-31.315999999999995,-13.44,-11.258,-10.0715
2022-12-20,-42.11,-41.538,-31.827499999999997,-13.72,-12.209999999999999,-10.2175
2022-12-21,-39.91,-41.791999999999994,-32.378,-12.46,-12.802000000000001,-10.3585
2022-12-22,-39.45,-41.410000000000004,-32.948,-13.66,-13.197999999999999,-10.587
2022-12-23,-37.62,-40.354,-33.425,-13.19,-13.294,-10.7915
2022-12-27,-37.83,-39.384,-33.862,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-37.91,-38.544,-34.31,-14.56,-13.478,-11.1375
2022-12-29,-36.71,-37.904,-34.752500000000005,-13.08,-13.602,-11.392999999999999
2022-12-30,-36.68,-37.35,-35.208,-13.31,-13.532,-11.6705
2023-01-03,-35.38,-36.902,-35.6295,-13.32,-13.558000000000002,-11.942
2023-01-04,-33.14,-35.964,-35.8955,-12.72,-13.398000000000001,-12.105
2023-01-05,-31.77,-34.736000000000004,-35.9445,-13.65,-13.216,-12.2515
2023-01-06,-30.61,-33.516,-35.9685,-11.74,-12.948000000000002,-12.294
2023-01-09,-30.71,-32.321999999999996,-35.9925,-11.8,-12.646,-12.3735
2023-01-10,-29.34,-31.113999999999997,-36.004000000000005,-11.18,-12.218,-12.3905
2023-01-11,-28.64,-30.214,-36.015,-10.08,-11.690000000000001,-12.414
2023-01-12,-27.34,-29.327999999999996,-36.0365,-9.75,-10.91,-12.4535
2023-01-13,-26.79,-28.564,-35.444,-9.41,-10.444,-12.449
2023-01-17,-26.81,-27.784000000000002,-34.716499999999996,-9.54,-9.992,-12.342
2023-01-18,-28.01,-27.518,-33.971999999999994,-10.98,-9.952,-12.255500000000001
2023-01-19,-27.58,-27.306,-33.217,-11.6,-10.256,-12.1635
2023-01-20,-25.39,-26.915999999999997,-32.381,-10.01,-10.308,-11.978
2023-01-23,-25.4,-26.637999999999998,-31.6555,-8.94,-10.213999999999999,-11.802
2023-01-24,-26.14,-26.504,-30.99,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-23.98,-25.698,-30.308,-9.01,-9.72,-11.362
2023-01-26,-22.76,-24.734,-29.554499999999997,-8.06,-9.012,-11.089
2023-01-27,-25.7,-24.796,-28.944,-7.8,-8.57,-10.751
2023-01-30,-26.34,-24.984,-28.4255,-8.93,-8.568,-10.5435
2023-01-31,-27.56,-25.268,-27.9695,-7.66,-8.291999999999998,-10.261
2023-02-01,-24.35,-25.342000000000002,-27.418,-6.52,-7.794,-9.921
2023-02-02,-21.91,-25.172,-26.8565,-5.25,-7.231999999999999,-9.5475
2023-02-03,-22.98,-24.627999999999997,-26.417,-6.21,-6.914,-9.175500000000001
2023-02-06,-23.28,-24.016000000000002,-26.0505,-6.73,-6.473999999999999,-8.925
2023-02-07,-23.65,-23.234,-25.6975,-5.74,-6.09,-8.622
2023-02-08,-23.52,-23.067999999999998,-25.4065,-6.59,-6.104,-8.3925
2023-02-09,-25.26,-23.738,-25.2375,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-24.68,-24.078000000000003,-25.104499999999998,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-24.1,-24.242,-24.97,-6.18,-6.564,-7.955
2023-02-14,-24.1,-24.332,-24.834500000000002,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-23.45,-24.318,-24.6065,-5.96,-6.531999999999999,-7.5375
2023-02-16,-24.05,-24.076,-24.43,-6.98,-6.478,-7.3065
2023-02-17,-24.94,-24.128,-24.407500000000002,-7.17,-6.5,-7.164500000000001
2023-02-21,-28.23,-24.954,-24.549,-8.6,-6.984,-7.147500000000001
2023-02-22,-27.35,-25.604000000000003,-24.6095,-8.69,-7.4799999999999995,-7.13
2023-02-23,-27.24,-26.362000000000002,-24.7725,-8.34,-7.956,-7.096500000000001
2023-02-24,-28.8,-27.312,-25.0745,-9.1,-8.379999999999999,-7.1485
2023-02-27,-28.76,-28.076,-25.2275,-8.85,-8.716,-7.2010000000000005
2023-02-28,-30.14,-28.458000000000006,-25.4175,-9.16,-8.828,-7.2125
2023-03-01,-30.39,-29.066000000000003,-25.559,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-30.29,-29.676,-25.856,-8.66,-9.001999999999999,-7.3985
2023-03-03,-29.04,-29.724,-26.2125,-7.41,-8.663999999999998,-7.5065
2023-03-06,-29.2,-29.812,-26.523500000000002,-7.32,-8.358,-7.561999999999999
2023-03-07,-31.28,-30.04,-26.9235,-8.65,-8.256,-7.6579999999999995
2023-03-08,-32.01,-30.363999999999997,-27.341500000000003,-8.52,-8.112,-7.797
2023-03-09,-34.01,-31.107999999999997,-27.866000000000003,-10.08,-8.396,-7.971499999999999
2023-03-10,-36.51,-32.602,-28.428500000000003,-11.27,-9.168000000000001,-8.1725
2023-03-13,-35.44,-33.85,-28.966499999999996,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-35.28,-34.64999999999999,-29.525500000000005,-10.0,-10.256,-8.581
2023-03-15,-34.19,-35.086,-30.03,-10.53,-10.658,-8.797
2023-03-16,-33.35,-34.95399999999999,-30.525,-9.06,-10.453999999999999,-8.952
2023-03-17,-32.68,-34.188,-30.9565,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-32.92,-33.684000000000005,-31.3555,-9.23,-9.768,-9.206999999999999
2023-03-21,-32.25,-33.078,-31.5565,-8.08,-9.384,-9.181000000000001
2023-03-22,-34.21,-33.08200000000001,-31.899499999999996,-9.56,-9.190000000000001,-9.2245
2023-03-23,-34.15,-33.242,-32.245000000000005,-9.35,-9.248000000000001,-9.275
2023-03-24,-33.82,-33.470000000000006,-32.495999999999995,-9.13,-9.069999999999999,-9.2765
2023-03-27,-32.99,-33.483999999999995,-32.707499999999996,-8.98,-9.02,-9.283
2023-03-28,-33.52,-33.738,-32.8765,-9.14,-9.232000000000001,-9.282
2023-03-29,-32.74,-33.444,-32.994,-7.87,-8.894,-9.2135
2023-03-30,-32.86,-33.186,-33.1225,-7.33,-8.49,-9.147
2023-03-31,-31.26,-32.67400000000001,-33.2335,-6.05,-7.8740000000000006,-9.079
2023-04-03,-30.83,-32.242000000000004,-33.315000000000005,-5.56,-7.19,-8.991000000000001
2023-04-04,-32.34,-32.006,-33.367999999999995,-6.08,-6.578,-8.8625
2023-04-05,-31.41,-31.74,-33.338,-6.3,-6.264,-8.7515
2023-04-06,-31.94,-31.556,-33.2345,-5.95,-5.988,-8.545
2023-04-10,-31.26,-31.556,-32.971999999999994,-5.85,-5.9479999999999995,-8.274
2023-04-11,-30.39,-31.468,-32.719500000000004,-5.84,-6.004,-7.9955
2023-04-12,-33.27,-31.654000000000003,-32.619,-6.21,-6.029999999999999,-7.806
2023-04-13,-32.45,-31.862000000000002,-32.532,-5.01,-5.772,-7.529999999999999
2023-04-14,-33.61,-32.196000000000005,-32.545,-5.2,-5.622,-7.337000000000001
2023-04-17,-32.72,-32.488,-32.547000000000004,-4.88,-5.428,-7.08
2023-04-18,-33.26,-33.062,-32.564,-4.82,-5.224,-6.8595
2023-04-19,-33.2,-33.048,-32.6115,-4.83,-4.948,-6.697
2023-04-20,-34.65,-33.488,-32.633500000000005,-5.36,-5.018000000000001,-6.487
