Date,rate_BR_5D,rate_VOO_20D,Max_Divergence
2022-12-05,-10.85,-10.46,-26.96
2022-12-06,-10.73,-10.29,-21.18
2022-12-07,-11.47,-10.16,-24.43
2022-12-08,-12.06,-9.91,-18.61
2022-12-09,-12.88,-9.91,-26.57
2022-12-12,-12.86,-9.89,-24.04
2022-12-13,-12.64,-9.8,-32.59
2022-12-14,-12.82,-9.78,-52.42
2022-12-15,-14.0,-9.83,-54.2
2022-12-16,-15.05,-9.92,-49.25
2022-12-19,-16.48,-10.07,-41.82
2022-12-20,-17.89,-10.22,-38.05
2022-12-21,-18.43,-10.36,-37.88
2022-12-22,-18.5,-10.59,-34.26
2022-12-23,-18.36,-10.79,-38.67
2022-12-27,-18.09,-10.94,-30.92
2022-12-28,-18.09,-11.14,-30.22
2022-12-29,-18.05,-11.39,-29.82
2022-12-30,-18.09,-11.67,-38.99
2023-01-03,-17.99,-11.94,-33.78
2023-01-04,-17.76,-12.1,-30.19
2023-01-05,-17.72,-12.25,-37.44
2023-01-06,-17.59,-12.29,-38.76
2023-01-09,-16.95,-12.37,-30.0
2023-01-10,-16.41,-12.39,-35.24
2023-01-11,-15.58,-12.41,-22.72
2023-01-12,-14.13,-12.45,-18.05
2023-01-13,-13.28,-12.45,-27.95
2023-01-17,-12.49,-12.34,-19.71
2023-01-18,-11.89,-12.26,-10.29
2023-01-19,-12.04,-12.16,-13.02
2023-01-20,-11.88,-11.98,-7.09
2023-01-23,-11.15,-11.8,6.15
2023-01-24,-10.53,-11.57,7.96
2023-01-25,-9.93,-11.36,-0.89
2023-01-26,-8.88,-11.09,1.99
2023-01-27,-8.5,-10.75,-12.82
2023-01-30,-8.52,-10.54,4.93
2023-01-31,-8.51,-10.26,-7.83
2023-02-01,-7.95,-9.92,3.68
2023-02-02,-7.63,-9.55,-20.57
2023-02-03,-7.1,-9.18,0.81
2023-02-06,-7.18,-8.93,-31.65
2023-02-07,-7.1,-8.62,-37.46
2023-02-08,-7.89,-8.39,-55.08
2023-02-09,-8.8,-8.25,-49.93
2023-02-10,-9.7,-8.12,-50.85
2023-02-13,-9.86,-7.96,-56.47
2023-02-14,-10.59,-7.79,-86.15
2023-02-15,-10.85,-7.54,-92.62
2023-02-16,-11.1,-7.31,-73.93
2023-02-17,-11.36,-7.16,-66.95
2023-02-21,-11.96,-7.15,-46.86
2023-02-22,-12.16,-7.13,-44.76
2023-02-23,-12.37,-7.1,-50.24
2023-02-24,-12.67,-7.15,-49.89
2023-02-27,-13.07,-7.2,-57.85
2023-02-28,-13.31,-7.21,-50.98
2023-03-01,-13.59,-7.29,-51.41
2023-03-02,-13.61,-7.4,-45.73
2023-03-03,-13.19,-7.51,-55.87
2023-03-06,-12.83,-7.56,-65.85
2023-03-07,-12.66,-7.66,-50.29
2023-03-08,-12.37,-7.8,-47.3
2023-03-09,-12.51,-7.97,-32.14
2023-03-10,-13.37,-8.17,-40.46
2023-03-13,-14.09,-8.39,-37.86
2023-03-14,-14.65,-8.58,-58.0
2023-03-15,-15.4,-8.8,-55.18
2023-03-16,-15.84,-8.95,-71.3
2023-03-17,-16.07,-9.1,-69.06
2023-03-20,-16.18,-9.21,-76.6
2023-03-21,-16.19,-9.18,-96.29
2023-03-22,-16.24,-9.22,-73.22
2023-03-23,-16.19,-9.28,-63.53
2023-03-24,-15.53,-9.28,-49.18
2023-03-27,-14.95,-9.28,-49.44
2023-03-28,-14.5,-9.28,-48.8
2023-03-29,-13.62,-9.21,-54.64
2023-03-30,-12.74,-9.15,-48.29
2023-03-31,-12.01,-9.08,-64.96
2023-04-03,-11.44,-8.99,-90.29
2023-04-04,-11.04,-8.86,-90.62
2023-04-05,-11.24,-8.75,-109.37
2023-04-06,-11.67,-8.54,-118.49
2023-04-10,-12.18,-8.27,-114.02
2023-04-11,-12.31,-8.0,-92.98
2023-04-12,-12.07,-7.81,-66.99
2023-04-13,-11.38,-7.53,-94.41
2023-04-14,-10.9,-7.34,-103.46
2023-04-17,-10.4,-7.08,-105.94
2023-04-18,-10.19,-6.86,-111.41
2023-04-19,-10.34,-6.7,-130.64
2023-04-20,-10.82,-6.49,-126.68
2023-04-21,-11.0,-6.28,-116.79
2023-04-24,-11.17,-6.09,-110.04
2023-04-25,-11.74,-5.96,-102.49
2023-04-26,-12.27,-5.84,-103.39
2023-04-27,-12.16,-5.71,-121.37
2023-04-28,-11.95,-5.57,-128.95
2023-05-01,-11.96,-5.49,-143.02
2023-05-02,-10.45,-5.49,0.73
2023-05-03,-8.56,-5.49,28.62
2023-05-04,-7.35,-5.51,16.99
2023-05-05,-6.4,-5.47,-10.29
2023-05-08,-5.38,-5.43,-14.87
2023-05-09,-5.47,-5.42,-6.91
2023-05-10,-5.49,-5.36,12.35
2023-05-11,-5.29,-5.37,12.62
2023-05-12,-5.09,-5.38,13.08
2023-05-15,-4.86,-5.39,6.35
2023-05-16,-4.86,-5.43,-4.42
2023-05-17,-5.12,-5.42,-26.54
2023-05-18,-5.18,-5.33,-33.7
2023-05-19,-5.34,-5.26,-43.16
2023-05-22,-5.43,-5.18,-38.24
2023-05-23,-5.6,-5.1,-40.83
2023-05-24,-5.94,-5.04,-34.85
2023-05-25,-6.67,-5.01,-82.13
2023-05-26,-7.12,-4.96,-120.98
2023-05-30,-7.85,-4.9,-155.07
2023-05-31,-8.39,-4.83,-138.64
2023-06-01,-8.48,-4.67,-163.88
2023-06-02,-7.83,-4.42,-231.87
2023-06-05,-7.32,-4.25,-186.59
2023-06-06,-6.49,-4.07,-193.08
2023-06-07,-5.57,-3.9,-155.5
2023-06-08,-4.97,-3.71,-264.66
2023-06-09,-4.89,-3.5,-322.22
2023-06-12,-4.8,-3.25,-1625.93
2023-06-13,-4.37,-2.98,-765.79
2023-06-14,-3.94,-2.67,-708.89
2023-06-15,-3.24,-2.36,-178.49
2023-06-16,-2.39,-2.11,-150.37
2023-06-20,-1.84,-1.88,-315.73
2023-06-21,-1.61,-1.67,-488.57
2023-06-22,-1.47,-1.4,-390.14
2023-06-23,-1.68,-1.12,-5875.0
2023-06-26,-1.79,-0.91,-171.11
2023-06-27,-1.48,-0.7,-160.94
2023-06-28,-1.27,-0.5,-139.13
2023-06-29,-0.75,-0.26,-20.59
2023-06-30,0.08,-0.02,-4.86
2023-07-03,0.49,0.16,-58.5
2023-07-05,0.74,0.34,-51.69
2023-07-06,0.92,0.46,-36.08
2023-07-07,0.91,0.6,-32.43
2023-07-10,0.87,0.71,53.47
2023-07-11,1.13,0.86,29.7
2023-07-12,1.4,0.99,-9.84
2023-07-13,1.87,1.13,-9.82
2023-07-14,2.36,1.27,-6.6
2023-07-17,2.52,1.36,-33.99
2023-07-18,2.62,1.51,-38.05
2023-07-19,2.98,1.69,-12.36
2023-07-20,3.13,1.87,-3.89
2023-07-21,3.35,2.02,4.91
2023-07-24,3.7,2.24,-5.12
2023-07-25,4.12,2.49,5.04
2023-07-26,4.39,2.69,16.16
2023-07-27,4.46,2.85,1.5
2023-07-28,4.23,3.06,-40.29
2023-07-31,4.0,3.22,-41.12
2023-08-01,3.65,3.35,-34.33
2023-08-02,3.02,3.44,-38.53
2023-08-03,2.56,3.56,-48.34
2023-08-04,2.3,3.67,-45.21
2023-08-07,2.08,3.8,-49.04
2023-08-08,2.8,3.88,101.2
2023-08-09,3.86,3.9,161.75
2023-08-10,5.08,3.88,170.24
2023-08-11,6.55,3.87,216.61
2023-08-14,8.06,3.85,190.09
2023-08-15,8.43,3.76,250.82
2023-08-16,8.69,3.63,352.06
2023-08-17,8.66,3.5,448.92
2023-08-18,8.43,3.38,438.62
2023-08-21,8.03,3.26,287.89
2023-08-22,7.78,3.12,327.49
2023-08-23,7.87,3.01,279.01
2023-08-24,8.18,2.89,501.96
2023-08-25,8.56,2.75,391.88
2023-08-28,9.21,2.62,341.49
2023-08-29,9.88,2.55,215.68
2023-08-30,10.2,2.56,194.81
2023-08-31,10.49,2.57,198.04
2023-09-01,10.71,2.61,194.79
2023-09-05,10.73,2.6,220.9
2023-09-06,10.56,2.57,255.43
2023-09-07,10.52,2.55,325.7
2023-09-08,10.56,2.54,314.89
2023-09-11,10.69,2.56,250.92
2023-09-12,10.82,2.53,318.38
2023-09-13,11.09,2.55,293.31
2023-09-14,11.2,2.64,201.08
2023-09-15,11.07,2.69,317.55
2023-09-18,10.82,2.75,297.66
2023-09-19,10.65,2.77,346.61
2023-09-20,10.41,2.76,601.41
2023-09-21,10.09,2.63,4860.0
2023-09-22,10.01,2.53,2340.91
2023-09-25,10.02,2.43,34233.33
2023-09-26,9.65,2.23,684.46
2023-09-27,9.3,1.99,662.33
2023-09-28,9.01,1.74,742.06
2023-09-29,8.45,1.49,574.5
2023-10-02,7.58,1.23,500.0
2023-10-03,6.89,0.93,287.0
2023-10-04,6.69,0.69,449.76
2023-10-05,6.51,0.46,433.49
2023-10-06,6.57,0.27,829.7
2023-10-09,7.11,0.09,2488.89
2023-10-10,7.75,-0.04,5864.29
2023-10-11,8.07,-0.15,1485.71
2023-10-12,8.28,-0.34,27466.67
2023-10-13,8.04,-0.49,1221.82
2023-10-16,7.78,-0.59,1448.94
2023-10-17,7.74,-0.68,1600.0
2023-10-18,7.19,-0.8,821.18
2023-10-19,6.57,-0.87,404.76
2023-10-20,6.04,-0.99,222.15
2023-10-23,5.23,-1.15,205.23
2023-10-24,4.27,-1.19,242.74
2023-10-25,3.37,-1.3,144.59
2023-10-26,2.6,-1.48,125.87
2023-10-27,1.92,-1.67,102.08
2023-10-30,1.54,-1.81,132.45
2023-10-31,1.28,-1.85,156.82
2023-11-01,1.34,-1.87,177.91
2023-11-02,2.44,-1.8,1062.86
2023-11-03,3.57,-1.74,2931.58
2023-11-06,4.47,-1.7,1447.37
2023-11-07,5.19,-1.67,766.15
2023-11-08,6.05,-1.66,754.79
2023-11-09,5.74,-1.66,52200.0
2023-11-10,5.74,-1.56,278.95
2023-11-13,5.8,-1.51,333.8
2023-11-14,6.28,-1.37,141.02
2023-11-15,6.56,-1.15,114.01
2023-11-16,7.16,-0.88,120.22
2023-11-17,7.81,-0.54,134.46
2023-11-20,8.51,-0.16,108.21
2023-11-21,9.01,0.18,142.2
2023-11-22,9.77,0.6,137.42
2023-11-24,10.4,1.09,133.06
2023-11-27,10.99,1.59,155.01
2023-11-28,11.56,2.04,161.38
2023-11-29,12.2,2.45,191.31
2023-11-30,13.04,2.83,205.27
2023-12-01,14.02,3.15,189.32
2023-12-04,14.85,3.39,215.07
2023-12-05,15.48,3.63,207.87
2023-12-06,15.51,3.83,194.7
2023-12-07,15.24,4.07,164.44
2023-12-08,14.77,4.36,140.9
2023-12-11,14.29,4.59,124.51
2023-12-12,14.19,4.84,129.09
2023-12-13,14.38,5.07,87.5
2023-12-14,14.53,5.31,82.95
2023-12-15,14.76,5.52,86.97
2023-12-18,15.32,5.76,92.11
2023-12-19,15.64,5.99,82.42
2023-12-20,15.95,6.14,118.11
2023-12-21,16.22,6.32,95.93
2023-12-22,16.81,6.51,110.5
2023-12-26,17.35,6.72,114.99
2023-12-27,18.07,6.94,123.63
2023-12-28,19.03,7.15,132.05
2023-12-29,19.97,7.34,137.88
2024-01-02,19.93,7.47,118.38
2024-01-03,19.39,7.59,119.65
2024-01-04,18.62,7.7,128.49
2024-01-05,17.62,7.83,118.89
2024-01-08,17.04,8.0,105.65
2024-01-09,17.11,8.14,111.14
2024-01-10,17.68,8.3,109.87
2024-01-11,18.15,8.43,105.77
2024-01-12,18.87,8.5,113.54
2024-01-16,19.13,8.53,118.16
2024-01-17,19.35,8.55,129.69
2024-01-18,19.27,8.58,105.21
2024-01-19,19.7,8.64,103.58
2024-01-22,20.14,8.79,107.68
2024-01-23,20.62,8.91,102.03
2024-01-24,21.1,9.03,99.18
2024-01-25,21.91,9.15,101.22
2024-01-26,22.26,9.27,100.35
2024-01-29,22.47,9.42,90.3
2024-01-30,22.77,9.57,95.25
2024-01-31,22.55,9.69,97.42
2024-02-01,21.71,9.88,63.96
2024-02-02,20.93,10.14,51.97
2024-02-05,19.71,10.38,39.52
2024-02-06,18.46,10.55,39.27
2024-02-07,17.71,10.77,29.0
2024-02-08,17.41,10.97,31.68
2024-02-09,17.09,11.19,26.69
2024-02-12,17.03,11.41,21.32
2024-02-13,16.41,11.57,16.02
2024-02-14,16.2,11.81,20.58
2024-02-15,16.12,12.04,22.39
2024-02-16,16.0,12.18,25.45
2024-02-20,15.71,12.29,18.3
2024-02-21,16.06,12.39,23.77
2024-02-22,16.45,12.6,19.01
2024-02-23,16.82,12.77,25.02
2024-02-26,17.23,12.93,27.93
2024-02-27,17.79,13.07,20.73
2024-02-28,18.36,13.21,27.78
2024-02-29,18.8,13.44,32.69
2024-03-01,18.99,13.65,24.67
2024-03-04,19.41,13.82,32.33
2024-03-05,19.48,13.94,25.12
2024-03-06,19.59,14.08,27.26
2024-03-07,19.67,14.24,25.43
2024-03-08,19.64,14.36,25.82
2024-03-11,19.27,14.45,22.09
2024-03-12,19.6,14.6,20.36
2024-03-13,19.6,14.81,17.8
2024-03-14,19.0,14.96,7.62
2024-03-15,18.61,15.04,14.02
2024-03-18,18.27,15.18,7.22
2024-03-19,18.07,15.38,13.63
2024-03-20,18.21,15.6,14.84
2024-03-21,18.95,15.74,19.05
2024-03-22,19.33,15.85,13.38
2024-03-25,19.67,15.98,10.98
2024-03-26,19.61,16.07,10.43
2024-03-27,19.57,16.22,12.52
2024-03-28,19.43,16.34,16.0
2024-04-01,19.33,16.41,11.32
2024-04-02,19.29,16.45,13.54
2024-04-03,18.97,16.55,2.11
2024-04-04,18.29,16.56,7.12
2024-04-05,17.98,16.57,14.84
2024-04-08,18.17,16.61,22.06
2024-04-09,18.71,16.66,29.31
2024-04-10,19.18,16.61,24.32
2024-04-11,19.43,16.61,8.42
2024-04-12,18.97,16.54,11.62
2024-04-15,17.9,16.44,9.14
2024-04-16,16.32,16.3,1.73
2024-04-17,15.15,16.1,6.35
2024-04-18,14.24,15.85,6.15
2024-04-19,13.61,15.54,16.68
2024-04-22,13.44,15.29,11.87
2024-04-23,13.71,15.13,7.7
2024-04-24,13.9,14.97,4.82
2024-04-25,14.2,14.76,10.58
2024-04-26,14.29,14.6,-3.77
2024-04-29,14.53,14.48,2.17
2024-04-30,14.24,14.3,3.32
2024-05-01,14.0,14.09,6.47
2024-05-02,13.93,13.99,6.58
2024-05-03,14.42,13.91,10.24
2024-05-06,14.87,13.88,9.01
2024-05-07,15.74,13.86,10.35
2024-05-08,15.39,13.89,-28.91
2024-05-09,15.12,13.91,-22.69
2024-05-10,14.75,14.01,-14.36
2024-05-13,14.42,14.18,-7.12
2024-05-14,14.25,14.39,-3.16
2024-05-15,15.6,14.7,-3.51
2024-05-16,16.87,15.01,3.66
2024-05-17,17.77,15.37,0.96
2024-05-20,18.07,15.7,-9.11
2024-05-21,18.08,15.97,-11.93
2024-05-22,18.29,16.23,2.02
2024-05-23,18.02,16.46,-0.39
2024-05-24,17.68,16.69,-8.1
2024-05-28,17.2,16.89,-21.9
2024-05-29,16.52,17.15,-25.12
2024-05-30,15.56,17.39,-16.41
2024-05-31,15.45,17.64,-4.87
2024-06-03,15.28,17.8,-9.29
2024-06-04,15.66,17.92,-8.73
2024-06-05,16.06,18.1,-21.07
2024-06-06,16.24,18.27,-21.76
2024-06-07,15.87,18.41,-20.17
2024-06-10,15.55,18.56,-25.14
2024-06-11,15.17,18.72,-26.69
2024-06-12,15.05,18.9,-29.3
2024-06-13,14.88,19.03,-32.05
2024-06-14,14.55,19.17,-35.31
2024-06-17,14.64,19.34,-31.5
2024-06-18,14.94,19.53,-28.4
2024-06-20,15.28,19.69,-25.5
2024-06-21,15.81,19.85,-22.37
2024-06-24,16.59,20.04,-18.42
2024-06-25,16.92,20.2,-23.49
2024-06-26,17.06,20.37,-24.08
2024-06-27,16.97,20.59,-27.79
2024-06-28,16.53,20.81,-31.16
2024-07-01,15.87,20.98,-33.05
2024-07-02,15.57,21.18,-30.43
2024-07-03,15.41,21.4,-28.65
2024-07-05,15.69,21.58,-23.96
2024-07-08,16.19,21.76,-25.12
2024-07-09,16.59,21.96,-29.81
2024-07-10,16.85,22.18,-31.12
2024-07-11,17.31,22.35,-21.58
2024-07-12,17.69,22.5,-18.75
2024-07-15,18.43,22.65,-13.35
2024-07-16,19.55,22.82,-10.96
