Date,rate_GE_5D,rate_VOO_20D,Max_Divergence
2022-04-04,-3.77,-4.61,-226.9
2022-04-05,-4.67,-4.25,-155.34
2022-04-06,-5.6,-4.04,-92.72
2022-04-07,-5.98,-3.79,-136.77
2022-04-08,-6.54,-3.5,-112.01
2022-04-11,-7.02,-3.25,-44.33
2022-04-12,-7.04,-3.12,-28.6
2022-04-13,-6.87,-3.03,-42.32
2022-04-14,-6.59,-3.06,-10.61
2022-04-18,-6.45,-3.14,-19.25
2022-04-19,-5.99,-3.15,-24.74
2022-04-20,-5.71,-3.21,-35.44
2022-04-21,-5.51,-3.28,5.99
2022-04-22,-5.87,-3.53,1.4
2022-04-25,-5.98,-3.79,6.11
2022-04-26,-8.31,-4.2,-65.83
2022-04-27,-11.03,-4.66,-94.76
2022-04-28,-13.91,-4.98,-158.64
2022-04-29,-16.91,-5.4,-109.88
2022-05-02,-19.74,-5.78,-111.01
2022-05-03,-20.23,-6.19,-96.67
2022-05-04,-19.65,-6.41,-130.19
2022-05-05,-19.36,-6.74,-77.39
2022-05-06,-18.48,-7.12,-71.88
2022-05-09,-19.01,-7.62,-76.62
2022-05-10,-19.9,-8.04,-76.7
2022-05-11,-21.53,-8.5,-66.39
2022-05-12,-22.62,-9.02,-59.84
2022-05-13,-23.26,-9.39,-70.11
2022-05-16,-22.92,-9.77,-69.36
2022-05-17,-22.28,-10.14,-78.65
2022-05-18,-21.71,-10.68,-45.55
2022-05-19,-21.2,-11.17,-36.54
2022-05-20,-21.16,-11.54,-40.07
2022-05-23,-20.99,-11.86,-54.53
2022-05-24,-21.38,-12.08,-54.79
2022-05-25,-21.52,-12.27,-62.69
2022-05-26,-21.25,-12.49,-63.84
2022-05-27,-20.52,-12.44,-81.27
2022-05-31,-19.93,-12.45,-77.39
2022-06-01,-19.2,-12.5,-72.78
2022-06-02,-18.38,-12.61,-98.45
2022-06-03,-18.28,-12.62,-81.43
2022-06-06,-18.54,-12.6,-85.38
2022-06-07,-18.5,-12.4,-91.17
2022-06-08,-18.57,-12.26,-81.77
2022-06-09,-19.25,-12.15,-71.82
2022-06-10,-20.45,-12.17,-67.78
2022-06-13,-22.39,-12.44,-58.55
2022-06-14,-24.47,-12.7,-54.91
2022-06-15,-26.16,-13.0,-58.79
2022-06-16,-28.14,-13.26,-57.69
2022-06-17,-29.24,-13.47,-55.61
2022-06-21,-29.65,-13.6,-73.86
2022-06-22,-30.39,-13.81,-79.31
2022-06-23,-31.44,-13.94,-91.02
2022-06-24,-31.07,-13.99,-102.34
2022-06-27,-30.92,-14.14,-100.74
2022-06-28,-30.89,-14.48,-84.37
2022-06-29,-31.07,-14.81,-94.74
2022-06-30,-31.15,-15.16,-87.76
2022-07-01,-31.72,-15.52,-97.85
2022-07-05,-32.51,-15.8,-109.11
2022-07-06,-33.22,-16.08,-115.96
2022-07-07,-33.18,-16.34,-123.41
2022-07-08,-33.08,-16.56,-120.82
2022-07-11,-33.41,-16.72,-116.62
2022-07-12,-33.2,-16.79,-99.39
2022-07-13,-33.11,-16.72,-101.43
2022-07-14,-33.51,-16.66,-104.53
2022-07-15,-33.6,-16.57,-112.61
2022-07-18,-33.22,-16.39,-98.27
2022-07-19,-32.43,-16.1,-106.39
2022-07-20,-31.18,-15.89,-105.37
2022-07-21,-29.68,-15.62,-117.29
2022-07-22,-28.55,-15.43,-104.28
2022-07-25,-27.55,-15.37,-104.08
2022-07-26,-26.54,-15.34,-66.11
2022-07-27,-25.75,-15.11,-95.53
2022-07-28,-24.69,-14.82,-99.64
2022-07-29,-23.47,-14.42,-117.28
2022-08-01,-21.79,-14.1,-91.46
2022-08-02,-21.0,-13.8,-94.58
2022-08-03,-20.17,-13.46,-113.27
2022-08-04,-19.85,-13.19,-121.13
2022-08-05,-19.57,-12.92,-112.14
2022-08-08,-19.67,-12.6,-103.84
2022-08-09,-19.58,-12.26,-100.42
2022-08-10,-19.22,-11.84,-112.0
2022-08-11,-18.43,-11.41,-96.4
2022-08-12,-17.6,-11.0,-114.88
2022-08-15,-16.92,-10.54,-124.79
2022-08-16,-16.02,-10.19,-115.28
2022-08-17,-15.61,-9.88,-113.84
2022-08-18,-15.56,-9.61,-126.72
2022-08-19,-15.88,-9.34,-115.83
2022-08-22,-16.59,-9.14,-108.55
2022-08-23,-17.3,-8.9,-95.31
2022-08-24,-17.75,-8.76,-94.24
2022-08-25,-17.9,-8.62,-102.4
2022-08-26,-18.25,-8.66,-81.92
2022-08-29,-18.07,-8.71,-70.16
2022-08-30,-18.21,-8.77,-66.55
2022-08-31,-18.68,-8.91,-70.35
2022-09-01,-19.29,-9.02,-75.0
2022-09-02,-19.59,-9.16,-70.37
2022-09-06,-20.04,-9.3,-69.19
2022-09-07,-20.1,-9.36,-77.25
2022-09-08,-19.88,-9.46,-84.3
2022-09-09,-19.66,-9.5,-106.57
2022-09-12,-19.1,-9.55,-113.73
2022-09-13,-19.43,-9.8,-85.43
2022-09-14,-20.19,-10.04,-97.52
2022-09-15,-21.22,-10.31,-92.24
2022-09-16,-22.83,-10.62,-102.64
2022-09-19,-24.56,-10.85,-107.27
2022-09-20,-25.45,-11.07,-96.33
2022-09-21,-26.46,-11.36,-86.87
2022-09-22,-27.21,-11.69,-77.63
2022-09-23,-27.61,-12.13,-68.61
2022-09-26,-28.19,-12.5,-62.5
2022-09-27,-28.64,-12.87,-59.81
2022-09-28,-28.81,-13.15,-71.39
2022-09-29,-29.38,-13.48,-65.84
2022-09-30,-29.95,-13.91,-60.13
2022-10-03,-29.96,-14.17,-68.48
2022-10-04,-29.15,-14.31,-67.29
2022-10-05,-28.35,-14.52,-66.47
2022-10-06,-27.44,-14.79,-65.66
2022-10-07,-26.72,-15.24,-54.79
2022-10-10,-26.42,-15.77,-47.52
2022-10-11,-27.19,-16.14,-49.02
2022-10-12,-27.78,-16.53,-43.04
2022-10-13,-27.4,-16.77,-39.82
2022-10-14,-26.74,-17.07,-28.7
2022-10-17,-25.93,-17.3,-36.96
2022-10-18,-24.46,-17.44,-30.97
2022-10-19,-23.19,-17.53,-27.62
2022-10-20,-22.74,-17.62,-26.35
2022-10-21,-21.58,-17.54,-21.94
2022-10-24,-20.54,-17.38,-26.18
2022-10-25,-20.03,-17.14,-42.13
2022-10-26,-18.94,-16.99,-16.12
2022-10-27,-17.61,-16.77,-8.29
2022-10-28,-16.39,-16.4,-4.6
2022-10-31,-15.41,-16.18,-4.31
2022-11-01,-14.19,-16.09,1.69
2022-11-02,-13.7,-16.09,9.6
2022-11-03,-13.11,-16.1,21.1
2022-11-04,-12.45,-15.93,34.53
2022-11-07,-11.17,-15.69,49.32
2022-11-08,-9.91,-15.4,52.03
2022-11-09,-8.67,-15.19,51.24
2022-11-10,-7.15,-14.86,54.02
2022-11-11,-6.0,-14.39,60.52
2022-11-14,-5.47,-14.06,58.15
2022-11-15,-4.77,-13.74,69.68
2022-11-16,-4.38,-13.43,48.17
2022-11-17,-4.38,-13.09,54.41
2022-11-18,-4.56,-12.84,53.67
2022-11-21,-4.55,-12.64,59.17
2022-11-22,-4.52,-12.46,70.54
2022-11-23,-3.85,-12.22,75.8
2022-11-25,-3.24,-11.96,79.12
2022-11-28,-3.24,-11.86,53.62
2022-11-29,-3.29,-11.75,56.29
2022-11-30,-3.59,-11.5,45.8
2022-12-01,-4.15,-11.13,35.82
2022-12-02,-4.41,-10.73,59.06
2022-12-05,-4.57,-10.46,40.38
2022-12-06,-4.62,-10.29,53.82
2022-12-07,-4.81,-10.16,51.7
2022-12-08,-5.17,-9.91,33.69
2022-12-09,-6.36,-9.91,15.5
2022-12-12,-6.67,-9.89,24.77
2022-12-13,-7.2,-9.8,15.29
2022-12-14,-7.98,-9.78,3.58
2022-12-15,-9.05,-9.83,-3.6
2022-12-16,-9.89,-9.92,-5.27
2022-12-19,-11.03,-10.07,3.79
2022-12-20,-11.6,-10.22,24.13
2022-12-21,-11.26,-10.36,40.13
2022-12-22,-10.6,-10.59,35.51
2022-12-23,-9.68,-10.79,33.36
2022-12-27,-8.62,-10.94,43.64
2022-12-28,-8.25,-11.14,41.0
2022-12-29,-8.08,-11.39,49.46
2022-12-30,-7.64,-11.67,50.64
2023-01-03,-6.9,-11.94,61.56
2023-01-04,-5.31,-12.1,102.52
2023-01-05,-3.22,-12.25,113.63
2023-01-06,-1.34,-12.29,123.76
2023-01-09,0.74,-12.37,132.54
2023-01-10,3.27,-12.39,167.53
2023-01-11,5.41,-12.41,209.23
2023-01-12,7.57,-12.45,230.05
2023-01-13,9.93,-12.45,255.05
2023-01-17,12.17,-12.34,257.23
2023-01-18,13.31,-12.26,220.77
2023-01-19,13.07,-12.16,184.66
2023-01-20,12.73,-11.98,209.79
2023-01-23,12.61,-11.8,256.38
2023-01-24,12.67,-11.57,269.25
2023-01-25,13.1,-11.36,271.25
2023-01-26,14.33,-11.09,297.64
2023-01-27,15.91,-10.75,342.56
2023-01-30,16.21,-10.54,273.46
2023-01-31,16.15,-10.26,295.69
2023-02-01,16.51,-9.92,364.11
2023-02-02,17.22,-9.55,471.05
2023-02-03,16.78,-9.18,369.24
2023-02-06,17.13,-8.93,356.46
2023-02-07,17.52,-8.61,403.77
2023-02-08,17.42,-8.38,354.34
2023-02-09,16.53,-8.25,305.18
2023-02-10,16.34,-8.11,321.49
2023-02-13,16.44,-7.95,390.97
2023-02-14,16.84,-7.78,409.48
2023-02-15,17.63,-7.52,455.94
2023-02-16,18.55,-7.29,377.29
2023-02-17,19.05,-7.16,348.7
2023-02-21,18.93,-7.17,287.62
2023-02-22,18.83,-7.18,299.68
2023-02-23,18.31,-7.17,305.8
2023-02-24,18.17,-7.25,294.36
2023-02-27,18.4,-7.33,305.19
2023-02-28,19.09,-7.38,310.85
2023-03-01,19.27,-7.49,296.05
2023-03-02,19.96,-7.62,333.37
2023-03-03,20.66,-7.75,385.62
2023-03-06,21.47,-7.83,401.94
2023-03-07,21.84,-7.95,346.11
2023-03-08,22.63,-8.12,358.78
2023-03-09,24.25,-8.32,379.53
2023-03-10,25.53,-8.55,343.67
2023-03-13,26.06,-8.79,317.36
2023-03-14,27.39,-9.01,375.76
2023-03-15,28.16,-9.26,344.59
2023-03-16,28.28,-9.45,414.67
2023-03-17,28.09,-9.63,363.61
2023-03-20,28.35,-9.75,379.57
2023-03-21,28.64,-9.73,454.41
2023-03-22,28.59,-9.77,365.91
2023-03-23,28.49,-9.83,399.9
2023-03-24,28.79,-9.82,403.82
2023-03-27,29.75,-9.83,436.9
2023-03-28,30.02,-9.82,429.21
2023-03-29,31.27,-9.75,494.18
2023-03-30,31.96,-9.68,521.07
2023-03-31,33.15,-9.62,634.95
2023-04-03,34.01,-9.54,695.91
2023-04-04,34.39,-9.41,610.26
2023-04-05,34.3,-9.31,577.81
2023-04-06,34.03,-9.1,589.85
2023-04-10,33.54,-8.83,613.75
2023-04-11,32.71,-8.55,604.85
2023-04-12,32.45,-8.36,581.07
2023-04-13,32.46,-8.08,688.87
2023-04-14,32.97,-7.89,697.05
2023-04-17,33.64,-7.63,766.18
2023-04-18,34.91,-7.41,817.84
2023-04-19,36.29,-7.25,832.34
2023-04-20,37.81,-7.04,783.93
2023-04-21,38.95,-6.84,783.79
2023-04-24,39.89,-6.64,814.83
2023-04-25,39.88,-6.52,635.69
2023-04-26,39.1,-6.42,565.97
2023-04-27,38.62,-6.29,755.86
2023-04-28,38.47,-6.14,884.63
2023-05-01,38.58,-6.06,936.69
2023-05-02,39.25,-6.06,799.17
2023-05-03,40.62,-6.06,737.2
2023-05-04,40.81,-6.08,632.97
2023-05-05,40.99,-6.04,811.86
2023-05-08,40.92,-6.0,834.82
2023-05-09,40.78,-5.98,787.67
2023-05-10,40.17,-5.92,801.97
2023-05-11,40.21,-5.93,785.31
2023-05-12,39.81,-5.93,753.33
2023-05-15,40.11,-5.94,871.07
2023-05-16,40.15,-5.97,774.92
2023-05-17,41.23,-5.96,986.31
2023-05-18,42.48,-5.87,1202.43
2023-05-19,43.99,-5.79,1171.66
2023-05-22,44.69,-5.71,1193.84
2023-05-23,44.85,-5.62,899.62
2023-05-24,44.16,-5.54,789.46
2023-05-25,43.47,-5.5,911.99
2023-05-26,43.05,-5.45,1205.32
2023-05-30,42.46,-5.4,1201.79
2023-05-31,42.41,-5.32,1045.72
2023-06-01,43.24,-5.16,1410.98
2023-06-02,44.22,-4.9,2365.22
2023-06-05,44.4,-4.73,2073.01
2023-06-06,45.06,-4.55,2355.34
2023-06-07,46.12,-4.37,2087.39
2023-06-08,46.51,-4.18,2727.22
2023-06-09,46.65,-3.98,3003.05
2023-06-12,47.23,-3.72,6520.27
2023-06-13,47.58,-3.45,53666.67
2023-06-14,47.2,-3.15,227100.0
2023-06-15,47.02,-2.83,3610.4
2023-06-16,47.02,-2.58,5307.95
2023-06-20,46.41,-2.35,10485.71
2023-06-21,45.94,-2.14,38333.33
2023-06-22,45.98,-1.87,18887.5
2023-06-23,45.53,-1.59,8752.94
2023-06-26,45.02,-1.38,4997.83
2023-06-27,45.27,-1.17,26788.24
2023-06-28,45.82,-0.97,22013.64
2023-06-29,46.63,-0.73,23523.81
2023-06-30,48.31,-0.49,3706.52
2023-07-03,49.17,-0.31,3103.25
2023-07-05,49.99,-0.13,3675.0
2023-07-06,49.88,-0.0,9327.45
2023-07-07,49.82,0.13,17510.71
2023-07-10,49.79,0.25,9603.7
2023-07-11,50.59,0.39,4458.97
2023-07-12,51.29,0.52,2633.85
2023-07-13,52.36,0.66,1828.52
2023-07-14,52.91,0.8,1835.32
2023-07-17,53.07,0.89,1650.99
2023-07-18,53.03,1.04,1294.23
2023-07-19,52.67,1.22,1178.41
2023-07-20,52.66,1.39,1488.39
2023-07-21,52.67,1.55,1446.59
2023-07-24,52.43,1.76,1268.68
2023-07-25,54.11,2.01,1400.24
2023-07-26,55.43,2.21,1307.99
2023-07-27,56.58,2.37,1623.32
2023-07-28,57.7,2.58,1205.43
2023-07-31,58.79,2.74,1144.37
2023-08-01,57.48,2.88,1202.61
2023-08-02,56.51,2.95,1782.69
2023-08-03,55.45,3.06,2010.2
2023-08-04,54.86,3.14,2557.77
2023-08-07,54.76,3.26,1832.2
2023-08-08,54.93,3.34,2029.77
2023-08-09,55.15,3.35,2465.57
2023-08-10,55.55,3.32,2472.35
2023-08-11,55.98,3.29,2608.1
2023-08-14,56.14,3.26,2195.24
2023-08-15,56.23,3.16,3170.35
2023-08-16,56.55,3.01,4526.45
2023-08-17,56.1,2.88,8012.12
2023-08-18,55.58,2.75,7443.06
2023-08-21,54.92,2.62,4560.68
2023-08-22,54.51,2.46,5430.61
2023-08-23,54.49,2.34,3186.47
2023-08-24,54.51,2.21,6520.99
2023-08-25,54.54,2.05,4258.4
2023-08-28,54.9,1.9,3232.54
2023-08-29,55.58,1.82,2081.06
2023-08-30,55.73,1.83,1833.11
2023-08-31,56.36,1.84,1899.3
2023-09-01,56.56,1.89,1793.17
2023-09-05,56.14,1.87,1962.74
2023-09-06,55.43,1.84,2535.12
2023-09-07,54.69,1.82,2872.47
2023-09-08,53.89,1.81,2665.45
2023-09-11,54.03,1.83,2110.24
2023-09-12,54.6,1.81,2742.29
2023-09-13,54.85,1.83,2494.37
2023-09-14,55.87,1.92,1845.97
2023-09-15,56.86,1.97,3220.69
2023-09-18,57.48,2.03,3101.08
2023-09-19,57.8,2.05,3460.0
2023-09-20,58.13,2.04,7694.52
2023-09-21,57.41,1.91,6351.72
2023-09-22,56.26,1.82,4830.91
2023-09-25,54.95,1.72,7625.71
2023-09-26,53.25,1.53,2459.15
2023-09-27,52.18,1.29,2543.13
2023-09-28,52.01,1.05,2887.5
2023-09-29,51.82,0.8,2476.28
2023-10-02,50.83,0.55,2363.51
2023-10-03,50.06,0.24,1468.14
2023-10-04,49.32,0.01,1871.85
2023-10-05,48.15,-0.22,1814.75
2023-10-06,48.2,-0.4,3212.73
2023-10-09,48.6,-0.58,4976.47
2023-10-10,49.6,-0.7,9980.77
2023-10-11,50.79,-0.82,53890.0
2023-10-12,51.49,-1.0,7517.39
2023-10-13,50.93,-1.15,4112.4
2023-10-16,50.63,-1.25,25484.21
2023-10-17,50.23,-1.34,26110.53
2023-10-18,48.7,-1.45,3173.33
2023-10-19,47.51,-1.52,2050.86
2023-10-20,46.62,-1.64,1355.84
2023-10-23,45.95,-1.79,1320.38
2023-10-24,46.93,-1.84,1928.28
2023-10-25,47.91,-1.95,1283.76
2023-10-26,48.42,-2.12,974.91
2023-10-27,48.49,-2.31,857.24
2023-10-30,49.34,-2.44,1132.35
2023-10-31,47.98,-2.48,1234.61
2023-11-01,46.74,-2.5,1550.16
2023-11-02,46.29,-2.43,3600.77
2023-11-03,46.81,-2.36,11297.62
2023-11-06,47.14,-2.33,22200.0
2023-11-07,47.81,-2.3,101620.0
2023-11-08,49.57,-2.29,41130.77
2023-11-09,50.98,-2.28,8719.67
2023-11-10,52.67,-2.18,5998.9
2023-11-13,53.68,-2.13,6793.83
2023-11-14,55.14,-1.98,2046.13
2023-11-15,55.79,-1.76,1841.3
2023-11-16,57.36,-1.49,1868.4
2023-11-17,58.61,-1.15,1817.7
2023-11-20,59.83,-0.77,1456.28
2023-11-21,60.54,-0.44,1558.6
2023-11-22,61.43,-0.01,1373.8
2023-11-24,61.7,0.47,1368.17
2023-11-27,61.71,0.97,1433.75
2023-11-28,61.39,1.41,1360.05
2023-11-29,61.11,1.82,1382.06
2023-11-30,61.7,2.2,1341.03
2023-12-01,62.14,2.51,1187.73
2023-12-04,62.32,2.76,1306.28
2023-12-05,62.46,2.99,1276.75
2023-12-06,62.48,3.19,1407.23
2023-12-07,61.63,3.42,1150.0
2023-12-08,61.12,3.72,1075.33
2023-12-11,60.79,3.95,984.55
2023-12-12,61.35,4.22,937.07
2023-12-13,61.71,4.46,722.46
2023-12-14,62.21,4.71,693.02
2023-12-15,62.92,4.94,741.84
2023-12-18,63.81,5.2,687.74
2023-12-19,64.78,5.45,664.77
2023-12-20,65.36,5.61,832.47
2023-12-21,66.86,5.8,773.53
2023-12-22,67.78,6.0,742.62
2023-12-26,68.8,6.24,711.95
2023-12-27,69.4,6.48,704.61
2023-12-28,70.72,6.72,704.6
2023-12-29,70.89,6.93,720.97
2024-01-02,70.45,7.07,763.72
2024-01-03,69.3,7.2,824.22
2024-01-04,68.11,7.31,881.61
2024-01-05,67.32,7.45,894.57
2024-01-08,67.24,7.63,745.98
2024-01-09,68.0,7.77,781.41
2024-01-10,69.49,7.93,724.97
2024-01-11,70.86,8.06,729.75
2024-01-12,71.79,8.12,724.46
2024-01-16,71.71,8.14,732.07
2024-01-17,71.2,8.15,776.25
2024-01-18,70.9,8.17,707.64
2024-01-19,70.89,8.23,618.53
2024-01-22,71.28,8.39,620.04
2024-01-23,71.8,8.53,581.8
2024-01-24,72.61,8.65,575.81
2024-01-25,72.97,8.78,539.52
2024-01-26,73.34,8.9,557.7
2024-01-29,73.3,9.06,513.22
2024-01-30,74.36,9.23,548.59
2024-01-31,75.02,9.35,643.15
2024-02-01,76.18,9.57,586.1
2024-02-02,77.31,9.87,537.13
2024-02-05,78.77,10.13,570.62
2024-02-06,79.44,10.34,550.48
2024-02-07,80.75,10.61,515.75
2024-02-08,81.7,10.84,517.43
2024-02-09,82.41,11.11,491.99
2024-02-12,83.05,11.38,502.28
2024-02-13,84.14,11.58,595.27
2024-02-14,86.23,11.86,586.77
2024-02-15,88.65,12.14,567.32
2024-02-16,91.22,12.32,603.06
2024-02-20,93.42,12.46,630.38
2024-02-21,95.32,12.59,628.77
2024-02-22,96.67,12.83,540.84
2024-02-23,97.96,13.04,552.63
2024-02-26,99.42,13.23,583.07
2024-02-27,100.82,13.4,567.12
2024-02-28,102.52,13.56,588.89
2024-02-29,103.88,13.83,581.06
2024-03-01,104.88,14.08,550.21
2024-03-04,106.12,14.27,573.93
2024-03-05,106.75,14.42,598.02
2024-03-06,107.37,14.58,584.77
2024-03-07,109.46,14.75,592.36
2024-03-08,111.84,14.89,633.81
2024-03-11,113.26,14.99,626.79
2024-03-12,115.71,15.15,582.26
2024-03-13,118.45,15.38,609.39
2024-03-14,118.51,15.55,593.84
2024-03-15,118.75,15.64,645.49
2024-03-18,119.62,15.8,621.36
2024-03-19,121.17,16.01,621.26
2024-03-20,122.15,16.28,585.1
2024-03-21,124.7,16.44,589.55
2024-03-22,126.32,16.58,598.96
2024-03-25,127.25,16.72,598.67
2024-03-26,127.28,16.83,611.75
2024-03-27,128.88,17.01,618.87
2024-03-28,128.6,17.16,587.8
2024-04-01,128.21,17.25,592.15
2024-04-02,127.13,17.31,590.26
2024-04-03,128.98,17.43,669.55
2024-04-04,129.69,17.45,754.86
2024-04-05,134.45,17.47,777.71
2024-04-08,139.78,17.53,777.7
2024-04-09,145.56,17.61,751.62
2024-04-10,149.09,17.56,830.94
2024-04-11,152.4,17.57,796.12
2024-04-12,151.86,17.51,855.2
2024-04-15,150.95,17.41,942.12
2024-04-16,151.68,17.27,992.08
2024-04-17,151.38,17.07,1034.63
2024-04-18,149.86,16.8,1023.62
2024-04-19,147.75,16.46,1045.96
2024-04-22,146.62,16.2,987.34
2024-04-23,148.51,16.03,1019.56
2024-04-24,149.65,15.87,988.29
2024-04-25,152.33,15.63,1047.96
2024-04-26,156.93,15.45,974.42
2024-04-29,161.53,15.31,968.88
2024-04-30,161.28,15.12,1078.09
2024-05-01,160.91,14.9,1085.56
2024-05-02,160.8,14.8,1032.01
2024-05-03,160.81,14.7,946.26
2024-05-06,161.35,14.67,911.3
2024-05-07,163.01,14.63,909.29
2024-05-08,165.91,14.65,909.46
2024-05-09,167.45,14.66,858.96
2024-05-10,167.21,14.76,814.31
2024-05-13,164.53,14.93,778.94
2024-05-14,161.75,15.13,756.69
2024-05-15,160.05,15.45,723.19
2024-05-16,158.03,15.76,713.22
2024-05-17,156.93,16.13,696.16
2024-05-20,156.86,16.46,686.36
2024-05-21,157.18,16.73,687.48
2024-05-22,156.33,16.99,699.95
2024-05-23,157.65,17.23,774.88
2024-05-24,160.02,17.45,756.35
2024-05-28,162.97,17.66,761.97
2024-05-29,163.8,17.91,758.05
2024-05-30,164.88,18.16,800.94
2024-05-31,164.84,18.41,761.01
2024-06-03,162.45,18.57,724.63
2024-06-04,159.64,18.69,717.86
2024-06-05,158.77,18.87,670.71
2024-06-06,157.11,19.05,656.95
2024-06-07,155.56,19.18,672.67
2024-06-10,155.99,19.33,665.45
2024-06-11,155.67,19.49,636.79
2024-06-12,155.19,19.68,608.33
2024-06-13,153.64,19.8,563.01
2024-06-14,151.73,19.94,561.33
2024-06-17,151.85,20.12,584.29
2024-06-18,153.31,20.31,586.68
2024-06-20,154.55,20.46,596.67
2024-06-21,157.25,20.62,599.65
2024-06-24,158.72,20.81,583.65
2024-06-25,157.61,20.99,563.28
2024-06-26,156.24,21.16,565.44
2024-06-27,154.82,21.39,559.08
2024-06-28,153.16,21.61,574.78
2024-07-01,152.17,21.78,566.65
2024-07-02,152.21,21.99,560.9
2024-07-03,152.44,22.22,555.77
2024-07-05,151.94,22.42,520.16
2024-07-08,152.86,22.63,536.38
2024-07-09,154.16,22.86,530.51
2024-07-10,155.49,23.12,517.23
2024-07-11,155.15,23.31,519.82
2024-07-12,154.68,23.5,483.59
2024-07-15,153.44,23.69,478.57
2024-07-16,153.36,23.91,482.45
2024-07-17,150.53,24.0,484.28
2024-07-18,149.56,24.03,520.89
2024-07-19,149.59,24.03,544.92
2024-07-22,150.59,24.11,534.89
2024-07-23,153.45,24.19,600.12
2024-07-24,155.22,24.11,620.91
2024-07-25,157.05,23.99,659.53
2024-07-26,160.39,23.93,650.2
