Date,rate_ADI,rate_ADI_5D,rate_ADI_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-10-21,-4.94,-7.862,-7.3015,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-6.26,-7.166000000000001,-7.173499999999999,-14.63,-16.216,-17.380000000000003
2022-10-25,-5.08,-6.488000000000001,-7.017999999999999,-13.27,-15.602,-17.1365
2022-10-26,-8.29,-6.482000000000001,-7.1114999999999995,-13.9,-15.0,-16.9855
2022-10-27,-8.74,-6.662000000000001,-7.1450000000000005,-14.35,-14.356,-16.772
2022-10-28,-6.04,-6.882000000000001,-6.958999999999999,-12.4,-13.709999999999999,-16.4
2022-10-31,-7.49,-7.128,-7.0375,-12.98,-13.38,-16.183
2022-11-01,-6.0,-7.312,-7.222499999999999,-13.0,-13.325999999999999,-16.0885
2022-11-02,-8.17,-7.288000000000001,-7.5489999999999995,-15.11,-13.568000000000001,-16.0925
2022-11-03,-10.19,-7.578,-7.947,-15.97,-13.892000000000001,-16.095999999999997
2022-11-04,-6.26,-7.622,-7.957000000000001,-14.8,-14.372,-15.927000000000001
2022-11-07,-3.35,-6.794000000000001,-7.694500000000001,-14.03,-14.581999999999999,-15.690000000000001
2022-11-08,-2.01,-5.996,-7.297999999999999,-13.57,-14.696000000000002,-15.4035
2022-11-09,-3.8,-5.122000000000001,-6.984,-15.28,-14.73,-15.1905
2022-11-10,3.93,-2.2980000000000005,-6.416499999999999,-10.81,-13.697999999999999,-14.857
2022-11-11,6.28,0.20999999999999944,-5.539,-9.98,-12.734,-14.391
2022-11-14,4.5,1.7799999999999994,-4.827,-10.68,-12.064,-14.060500000000001
2022-11-15,7.0,3.5819999999999994,-4.0535,-9.96,-11.342,-13.741499999999998
2022-11-16,4.51,5.244,-3.4120000000000004,-10.63,-10.412,-13.4275
2022-11-17,4.63,5.3839999999999995,-2.7885,-10.88,-10.426,-13.093
2022-11-18,4.88,5.103999999999999,-2.2975,-10.49,-10.528,-12.836000000000002
2022-11-21,3.21,4.845999999999999,-1.8239999999999998,-10.8,-10.552000000000001,-12.6445
2022-11-22,9.11,5.267999999999999,-1.1145,-9.64,-10.488000000000001,-12.463
2022-11-23,9.61,6.287999999999999,-0.21950000000000003,-9.09,-10.180000000000001,-12.2225
2022-11-25,8.25,7.011999999999999,0.63,-9.1,-9.824,-11.96
2022-11-28,6.27,7.289999999999999,1.2455,-10.5,-9.825999999999999,-11.865
2022-11-29,6.2,7.888,1.9300000000000002,-10.66,-9.798,-11.749
2022-11-30,11.35,8.335999999999999,2.7975000000000003,-7.97,-9.464,-11.4975
2022-12-01,10.81,8.575999999999999,3.7465,-7.76,-9.198,-11.129999999999999
2022-12-02,9.02,8.73,4.707,-7.89,-8.956,-10.725999999999999
2022-12-05,8.53,9.181999999999999,5.4465,-9.46,-8.748000000000001,-10.459
2022-12-06,7.68,9.478,5.997999999999999,-10.72,-8.76,-10.2935
2022-12-07,7.36,8.68,6.466500000000001,-10.89,-9.344,-10.1595
2022-12-08,9.68,8.453999999999999,7.1404999999999985,-10.21,-9.834,-9.906000000000002
2022-12-09,9.06,8.462,7.397,-10.84,-10.424000000000001,-9.9075
2022-12-12,11.34,9.024,7.65,-9.61,-10.454,-9.889
2022-12-13,13.1,10.107999999999999,8.08,-8.96,-10.102,-9.803
2022-12-14,11.03,10.841999999999999,8.2815,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,7.98,10.501999999999999,8.455,-11.68,-10.118,-9.8325
2022-12-16,8.38,10.366,8.6425,-12.71,-10.492,-9.924
2022-12-19,7.46,9.59,8.7715,-13.44,-11.258,-10.0715
2022-12-20,6.98,8.366,8.959999999999999,-13.72,-12.209999999999999,-10.2175
2022-12-21,8.82,7.9239999999999995,8.9455,-12.46,-12.802000000000001,-10.3585
2022-12-22,6.63,7.654000000000001,8.796499999999998,-13.66,-13.197999999999999,-10.587
2022-12-23,6.69,7.316,8.7185,-13.19,-13.294,-10.7915
2022-12-27,5.71,6.965999999999999,8.6905,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,4.56,6.481999999999999,8.6085,-14.56,-13.478,-11.1375
2022-12-29,6.77,6.071999999999999,8.3795,-13.08,-13.602,-11.392999999999999
2022-12-30,6.8,6.106,8.178999999999998,-13.31,-13.532,-11.6705
2023-01-03,5.72,5.911999999999999,8.014,-13.32,-13.558000000000002,-11.942
2023-01-04,7.85,6.339999999999999,7.980000000000001,-12.72,-13.398000000000001,-12.105
2023-01-05,3.92,6.211999999999999,7.792,-13.65,-13.216,-12.2515
2023-01-06,7.66,6.389999999999999,7.8069999999999995,-11.74,-12.948000000000002,-12.294
2023-01-09,8.68,6.766,7.757000000000001,-11.8,-12.646,-12.3735
2023-01-10,10.05,7.632,7.8065,-11.18,-12.218,-12.3905
2023-01-11,10.42,8.145999999999999,7.7605,-10.08,-11.690000000000001,-12.414
2023-01-12,9.69,9.3,7.590000000000001,-9.75,-10.91,-12.4535
2023-01-13,9.89,9.745999999999999,7.533000000000001,-9.41,-10.444,-12.449
2023-01-17,8.55,9.719999999999999,7.5615,-9.54,-9.992,-12.342
2023-01-18,7.97,9.304,7.5409999999999995,-10.98,-9.952,-12.255500000000001
2023-01-19,6.11,8.442,7.4735,-11.6,-10.256,-12.1635
2023-01-20,7.43,7.989999999999999,7.4959999999999996,-10.01,-10.308,-11.978
2023-01-23,10.33,8.078,7.5715,-8.94,-10.213999999999999,-11.802
2023-01-24,9.82,8.331999999999999,7.731,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,9.55,8.648,7.8740000000000006,-9.01,-9.72,-11.362
2023-01-26,11.03,9.632,8.14,-8.06,-9.012,-11.089
2023-01-27,11.09,10.364,8.4665,-7.8,-8.57,-10.751
2023-01-30,9.86,10.27,8.620999999999999,-8.93,-8.568,-10.5435
2023-01-31,11.51,10.608,8.8565,-7.66,-8.291999999999998,-10.261
2023-02-01,14.48,11.594,9.294500000000001,-6.52,-7.794,-9.921
2023-02-02,16.19,12.626,9.7115,-5.25,-7.231999999999999,-9.5475
2023-02-03,15.89,13.586000000000002,10.309999999999999,-6.21,-6.914,-9.175500000000001
2023-02-06,15.09,14.632,10.6815,-6.73,-6.473999999999999,-8.925
2023-02-07,17.3,15.789999999999997,11.1125,-5.74,-6.09,-8.622
2023-02-08,15.22,15.938000000000002,11.370999999999999,-6.59,-6.104,-8.3925
2023-02-09,15.71,15.841999999999999,11.6355,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,15.67,15.797999999999998,11.9345,-7.06,-6.6739999999999995,-8.1165
2023-02-13,16.94,16.168,12.287,-6.18,-6.564,-7.955
2023-02-14,18.08,16.324,12.7635,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,25.55,18.39,13.642500000000002,-5.96,-6.531999999999999,-7.5375
2023-02-16,24.26,20.1,14.55,-6.98,-6.478,-7.3065
2023-02-17,23.65,21.695999999999998,15.360999999999999,-7.17,-6.5,-7.164500000000001
2023-02-21,19.96,22.3,15.842500000000001,-8.6,-6.984,-7.147500000000001
2023-02-22,18.75,22.434,16.289,-8.69,-7.4799999999999995,-7.13
2023-02-23,19.78,21.28,16.8005,-8.34,-7.956,-7.096500000000001
2023-02-24,18.3,20.088,17.164,-9.1,-8.379999999999999,-7.1485
2023-02-27,18.43,19.044,17.531,-8.85,-8.716,-7.2010000000000005
2023-02-28,18.61,18.774,17.9685,-9.16,-8.828,-7.2125
2023-03-01,17.98,18.619999999999997,18.291999999999998,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,18.84,18.432,18.51,-8.66,-9.001999999999999,-7.3985
2023-03-03,19.81,18.734,18.691,-7.41,-8.663999999999998,-7.5065
2023-03-06,19.38,18.924,18.8655,-7.32,-8.358,-7.561999999999999
2023-03-07,19.03,19.008,19.0625,-8.65,-8.256,-7.6579999999999995
2023-03-08,20.03,19.418,19.199,-8.52,-8.112,-7.797
2023-03-09,18.19,19.288,19.3475,-10.08,-8.396,-7.971499999999999
2023-03-10,17.09,18.744,19.4165,-11.27,-9.168000000000001,-8.1725
2023-03-13,17.57,18.381999999999998,19.511499999999998,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,20.09,18.594,19.669,-10.0,-10.256,-8.581
2023-03-15,17.81,18.15,19.6555,-10.53,-10.658,-8.797
2023-03-16,20.12,18.536,19.384,-9.06,-10.453999999999999,-8.952
2023-03-17,19.63,19.044,19.1525,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,20.39,19.607999999999997,18.9895,-9.23,-9.768,-9.206999999999999
2023-03-21,21.24,19.837999999999997,19.0535,-8.08,-9.384,-9.181000000000001
2023-03-22,20.1,20.296,19.121,-9.56,-9.190000000000001,-9.2245
2023-03-23,21.9,20.651999999999997,19.227,-9.35,-9.248000000000001,-9.275
2023-03-24,20.79,20.884,19.351499999999998,-9.13,-9.069999999999999,-9.2765
2023-03-27,18.94,20.594,19.377,-8.98,-9.02,-9.283
2023-03-28,18.19,19.983999999999998,19.356,-9.14,-9.232000000000001,-9.282
2023-03-29,21.74,20.312,19.544,-7.87,-8.894,-9.2135
2023-03-30,24.94,20.919999999999998,19.848999999999997,-7.33,-8.49,-9.147
2023-03-31,26.86,22.134,20.2015,-6.05,-7.8740000000000006,-9.079
2023-04-03,25.69,23.484,20.517,-5.56,-7.19,-8.991000000000001
2023-04-04,24.96,24.838,20.8135,-6.08,-6.578,-8.8625
2023-04-05,21.96,24.881999999999998,20.91,-6.3,-6.264,-8.7515
2023-04-06,19.94,23.881999999999998,20.9975,-5.95,-5.988,-8.545
2023-04-10,22.33,22.976,21.2595,-5.85,-5.9479999999999995,-8.274
2023-04-11,21.35,22.108,21.448500000000003,-5.84,-6.004,-7.9955
2023-04-12,20.01,21.118000000000002,21.444499999999998,-6.21,-6.029999999999999,-7.806
2023-04-13,21.16,20.958000000000002,21.612000000000002,-5.01,-5.772,-7.529999999999999
2023-04-14,20.78,21.125999999999998,21.645,-5.2,-5.622,-7.337000000000001
2023-04-17,21.45,20.95,21.735999999999997,-4.88,-5.428,-7.08
2023-04-18,21.46,20.972,21.7895,-4.82,-5.224,-6.8595
2023-04-19,20.8,21.13,21.767500000000002,-4.83,-4.948,-6.697
2023-04-20,19.81,20.86,21.753000000000004,-5.36,-5.018000000000001,-6.487
2023-04-21,19.4,20.583999999999996,21.628,-5.3,-5.037999999999999,-6.2845
2023-04-24,19.79,20.252,21.578000000000003,-5.18,-5.098000000000001,-6.087
2023-04-25,16.09,19.178,21.435499999999998,-6.43,-5.42,-5.9595
2023-04-26,15.78,18.174,21.314999999999998,-6.78,-5.8100000000000005,-5.841500000000001
2023-04-27,13.85,16.982,20.9205,-5.24,-5.786,-5.71
2023-04-28,15.29,16.159999999999997,20.438000000000002,-4.56,-5.638,-5.5715
