Date,rate_KDP_5D,rate_VOO_20D,Max_Divergence
2022-09-16,2.88,-10.62,110.02
2022-09-19,2.24,-10.85,122.85
2022-09-20,2.1,-11.07,114.55
2022-09-21,1.79,-11.36,108.42
2022-09-22,1.72,-11.69,107.16
2022-09-23,1.66,-12.13,106.13
2022-09-26,1.4,-12.5,108.82
2022-09-27,0.62,-12.87,89.31
2022-09-28,0.3,-13.15,98.11
2022-09-29,-0.23,-13.48,91.73
2022-09-30,-0.91,-13.91,88.21
2022-10-03,-1.13,-14.17,102.71
2022-10-04,-0.44,-14.31,110.14
2022-10-05,0.02,-14.52,113.24
2022-10-06,0.56,-14.79,107.48
2022-10-07,0.93,-15.24,97.14
2022-10-10,0.98,-15.77,103.94
2022-10-11,1.14,-16.14,111.92
2022-10-12,1.29,-16.53,113.97
2022-10-13,1.83,-16.77,122.25
2022-10-14,2.27,-17.07,108.86
2022-10-17,2.7,-17.3,116.6
2022-10-18,3.14,-17.44,127.66
2022-10-19,3.18,-17.53,117.27
2022-10-20,2.72,-17.62,108.94
2022-10-21,2.87,-17.54,115.93
2022-10-24,3.24,-17.38,132.19
2022-10-25,3.34,-17.14,137.75
2022-10-26,3.87,-16.99,140.14
2022-10-27,4.32,-16.77,126.55
2022-10-28,5.37,-16.4,162.34
2022-10-31,5.59,-16.18,144.68
2022-11-01,5.18,-16.09,123.08
2022-11-02,4.21,-16.09,104.77
2022-11-03,3.23,-16.1,93.05
2022-11-04,1.83,-15.93,104.86
2022-11-07,1.06,-15.69,114.18
2022-11-08,1.12,-15.4,124.17
2022-11-09,1.43,-15.19,114.99
2022-11-10,2.31,-14.86,130.34
2022-11-11,2.5,-14.39,116.73
2022-11-14,2.01,-14.06,95.51
2022-11-15,1.28,-13.74,96.59
2022-11-16,0.81,-13.43,99.34
2022-11-17,0.22,-13.09,103.03
2022-11-18,0.27,-12.84,118.11
2022-11-21,1.06,-12.64,132.13
2022-11-22,2.0,-12.46,145.33
2022-11-23,2.88,-12.22,147.74
2022-11-25,3.65,-11.96,145.6
2022-11-28,4.07,-11.86,138.19
2022-11-29,4.12,-11.75,135.08
2022-11-30,4.31,-11.5,166.37
2022-12-01,4.49,-11.13,167.91
2022-12-02,4.73,-10.73,167.81
2022-12-05,4.59,-10.46,134.67
2022-12-06,4.34,-10.29,123.32
2022-12-07,3.93,-10.16,129.66
2022-12-08,3.72,-9.91,141.33
2022-12-09,3.29,-9.91,129.52
2022-12-12,3.36,-9.89,137.77
2022-12-13,3.34,-9.8,127.01
2022-12-14,3.01,-9.78,116.84
2022-12-15,2.11,-9.83,97.35
2022-12-16,1.1,-9.92,85.6
2022-12-19,0.15,-10.07,91.44
2022-12-20,-0.6,-10.22,90.45
2022-12-21,-1.04,-10.36,95.35
2022-12-22,-1.22,-10.59,91.0
2022-12-23,-1.06,-10.79,92.27
2022-12-27,-1.18,-10.94,87.06
2022-12-28,-1.44,-11.14,81.87
2022-12-29,-1.82,-11.39,81.04
2022-12-30,-2.17,-11.67,77.91
2023-01-03,-2.59,-11.94,76.28
2023-01-04,-2.72,-12.1,81.29
2023-01-05,-2.97,-12.25,71.65
2023-01-06,-2.72,-12.29,89.44
2023-01-09,-2.5,-12.37,84.15
2023-01-10,-2.43,-12.39,75.04
2023-01-11,-2.47,-12.41,74.5
2023-01-12,-2.32,-12.45,68.0
2023-01-13,-2.63,-12.45,70.35
2023-01-17,-2.79,-12.34,71.91
2023-01-18,-3.2,-12.26,55.74
2023-01-19,-3.97,-12.16,44.74
2023-01-20,-4.44,-11.98,45.45
2023-01-23,-4.98,-11.8,38.37
2023-01-24,-5.39,-11.57,47.79
2023-01-25,-5.38,-11.36,46.95
2023-01-26,-5.07,-11.09,39.7
2023-01-27,-5.07,-10.75,29.74
2023-01-30,-5.05,-10.54,39.19
2023-01-31,-4.89,-10.26,48.96
2023-02-01,-4.67,-9.92,43.87
2023-02-02,-4.5,-9.55,23.81
2023-02-03,-4.23,-9.18,33.01
2023-02-06,-3.94,-8.93,40.86
2023-02-07,-3.97,-8.62,29.79
2023-02-08,-4.22,-8.39,25.34
2023-02-09,-4.4,-8.25,32.14
2023-02-10,-4.33,-8.12,45.89
2023-02-13,-4.1,-7.96,54.85
2023-02-14,-3.99,-7.79,43.32
2023-02-15,-3.55,-7.54,55.03
2023-02-16,-2.99,-7.31,69.34
2023-02-17,-2.78,-7.16,61.37
2023-02-21,-2.84,-7.15,64.07
2023-02-22,-2.63,-7.13,71.58
2023-02-23,-2.41,-7.1,81.18
2023-02-24,-2.47,-7.15,73.19
2023-02-27,-2.63,-7.2,59.55
2023-02-28,-3.17,-7.21,36.68
2023-03-01,-4.0,-7.29,28.25
2023-03-02,-4.81,-7.4,35.45
2023-03-03,-5.45,-7.51,23.48
2023-03-06,-5.73,-7.56,32.24
2023-03-07,-5.56,-7.66,43.01
2023-03-08,-5.24,-7.8,40.49
2023-03-09,-5.26,-7.97,43.85
2023-03-10,-5.38,-8.17,44.1
2023-03-13,-5.69,-8.39,43.12
2023-03-14,-5.8,-8.58,45.4
2023-03-15,-5.72,-8.8,55.56
2023-03-16,-5.42,-8.95,53.75
2023-03-17,-5.13,-9.1,51.7
2023-03-20,-4.61,-9.21,58.18
2023-03-21,-4.32,-9.18,49.88
2023-03-22,-4.46,-9.22,43.93
2023-03-23,-5.0,-9.28,26.42
2023-03-24,-4.99,-9.28,47.21
2023-03-27,-5.06,-9.28,53.34
2023-03-28,-5.07,-9.28,55.36
2023-03-29,-4.73,-9.21,53.37
2023-03-30,-4.17,-9.15,43.93
2023-03-31,-3.95,-9.08,38.84
2023-04-03,-3.78,-8.99,40.11
2023-04-04,-3.64,-8.86,43.91
2023-04-05,-3.57,-8.75,47.62
2023-04-06,-3.28,-8.54,55.46
2023-04-10,-3.29,-8.27,35.73
2023-04-11,-3.36,-8.0,36.64
2023-04-12,-3.44,-7.81,38.65
2023-04-13,-3.53,-7.53,25.55
2023-04-14,-3.82,-7.34,20.96
2023-04-17,-3.73,-7.08,31.97
2023-04-18,-3.66,-6.86,31.12
2023-04-19,-3.58,-6.7,28.99
2023-04-20,-3.42,-6.49,45.15
2023-04-21,-3.31,-6.28,33.21
2023-04-24,-3.33,-6.09,34.17
2023-04-25,-3.06,-5.96,69.52
2023-04-26,-2.97,-5.84,55.46
2023-04-27,-4.06,-5.71,-59.54
2023-04-28,-5.48,-5.57,-133.55
2023-05-01,-6.95,-5.49,-138.8
2023-05-02,-8.73,-5.49,-97.63
2023-05-03,-10.16,-5.49,-67.43
2023-05-04,-10.69,-5.51,-63.79
2023-05-05,-10.36,-5.47,-74.56
2023-05-08,-10.2,-5.43,-95.89
2023-05-09,-10.11,-5.42,-88.91
2023-05-10,-10.22,-5.36,-110.2
2023-05-11,-10.25,-5.37,-113.38
2023-05-12,-10.56,-5.38,-96.26
2023-05-15,-10.82,-5.39,-125.2
2023-05-16,-11.29,-5.43,-124.96
2023-05-17,-11.54,-5.42,-163.16
2023-05-18,-11.85,-5.33,-247.4
2023-05-19,-12.31,-5.26,-236.58
2023-05-22,-12.55,-5.18,-236.1
2023-05-23,-12.46,-5.1,-155.62
2023-05-24,-12.57,-5.04,-127.77
2023-05-25,-12.75,-5.01,-188.51
2023-05-26,-12.98,-4.96,-300.57
2023-05-30,-13.48,-4.9,-336.52
2023-05-31,-13.97,-4.83,-271.97
2023-06-01,-14.32,-4.67,-377.93
2023-06-02,-14.31,-4.42,-745.62
2023-06-05,-14.3,-4.25,-677.09
2023-06-06,-14.2,-4.07,-814.47
2023-06-07,-14.04,-3.9,-628.27
2023-06-08,-13.91,-3.71,-925.56
2023-06-09,-13.98,-3.5,-1088.89
2023-06-12,-14.03,-3.25,-5133.33
2023-06-13,-13.79,-2.98,-3610.53
2023-06-14,-13.54,-2.67,-2917.78
2023-06-15,-13.35,-2.36,-837.21
2023-06-16,-12.88,-2.11,-955.56
2023-06-20,-12.49,-1.88,-1471.91
2023-06-21,-12.37,-1.67,-3737.14
2023-06-22,-12.28,-1.4,-1823.94
2023-06-23,-12.6,-1.12,-35575.0
2023-06-26,-13.18,-0.91,-3106.67
2023-06-27,-13.55,-0.7,-2300.0
2023-06-28,-14.01,-0.5,-2279.71
2023-06-29,-14.65,-0.26,-2367.65
2023-06-30,-14.6,-0.02,-857.84
2023-07-03,-14.35,0.16,-760.0
2023-07-05,-14.02,0.34,-798.88
2023-07-06,-13.26,0.46,-1255.67
2023-07-07,-12.66,0.6,-1777.03
2023-07-10,-12.5,0.71,-1409.9
2023-07-11,-12.54,0.86,-913.33
2023-07-12,-12.8,0.99,-663.52
2023-07-13,-13.18,1.13,-501.53
2023-07-14,-13.23,1.27,-498.74
2023-07-17,-13.15,1.36,-463.17
2023-07-18,-13.06,1.51,-400.46
2023-07-19,-12.72,1.69,-366.0
2023-07-20,-12.21,1.87,-373.58
2023-07-21,-11.71,2.02,-362.27
2023-07-24,-11.29,2.24,-350.23
2023-07-25,-10.88,2.49,-338.38
2023-07-26,-10.52,2.69,-324.02
2023-07-27,-9.79,2.85,-273.18
2023-07-28,-9.05,3.06,-233.68
2023-07-31,-8.15,3.22,-224.15
2023-08-01,-7.13,3.35,-223.82
2023-08-02,-6.05,3.44,-238.24
2023-08-03,-5.93,3.56,-290.63
2023-08-04,-6.08,3.67,-346.58
2023-08-07,-6.15,3.8,-282.09
2023-08-08,-6.48,3.88,-323.19
2023-08-09,-6.91,3.9,-346.32
2023-08-10,-7.14,3.88,-358.48
2023-08-11,-7.03,3.87,-334.98
2023-08-14,-7.06,3.85,-309.6
2023-08-15,-7.04,3.76,-398.36
2023-08-16,-6.95,3.63,-438.14
2023-08-17,-6.83,3.5,-596.4
2023-08-18,-6.85,3.38,-565.52
2023-08-21,-6.89,3.26,-467.37
2023-08-22,-6.9,3.12,-527.49
2023-08-23,-6.98,3.01,-385.6
2023-08-24,-7.07,2.89,-580.39
2023-08-25,-7.24,2.75,-487.31
2023-08-28,-7.22,2.62,-384.23
2023-08-29,-7.05,2.55,-291.72
2023-08-30,-7.01,2.56,-283.61
2023-08-31,-6.92,2.57,-293.85
2023-09-01,-6.8,2.61,-291.51
2023-09-05,-7.0,2.6,-335.52
2023-09-06,-7.22,2.57,-373.55
2023-09-07,-7.33,2.55,-391.97
2023-09-08,-7.37,2.54,-372.14
2023-09-11,-7.3,2.56,-304.91
2023-09-12,-7.21,2.53,-372.79
2023-09-13,-7.25,2.55,-373.59
2023-09-14,-7.06,2.64,-270.27
2023-09-15,-7.1,2.69,-398.37
2023-09-18,-7.03,2.75,-348.05
2023-09-19,-6.95,2.77,-397.46
2023-09-20,-6.6,2.76,-523.94
2023-09-21,-6.79,2.63,-3520.0
2023-09-22,-6.89,2.53,-1675.0
2023-09-25,-7.53,2.43,-31800.0
2023-09-26,-8.22,2.23,-606.76
2023-09-27,-9.38,1.99,-709.59
2023-09-28,-10.41,1.74,-884.13
2023-09-29,-11.27,1.49,-711.41
2023-10-02,-11.92,1.23,-773.47
2023-10-03,-12.46,0.93,-375.45
2023-10-04,-12.4,0.69,-455.07
2023-10-05,-13.04,0.46,-625.12
2023-10-06,-13.81,0.27,-1481.19
2023-10-09,-14.62,0.09,-4588.89
2023-10-10,-15.06,-0.04,-11071.43
2023-10-11,-16.39,-0.15,-3337.5
2023-10-12,-17.66,-0.34,-73166.67
2023-10-13,-18.75,-0.49,-3790.91
2023-10-16,-19.43,-0.59,-4417.02
2023-10-17,-20.27,-0.68,-4170.83
2023-10-18,-20.54,-0.8,-2195.29
2023-10-19,-20.24,-0.87,-1117.86
2023-10-20,-19.94,-0.99,-588.58
2023-10-23,-20.04,-1.15,-579.41
2023-10-24,-19.86,-1.19,-695.73
2023-10-25,-19.68,-1.3,-403.78
2023-10-26,-19.09,-1.48,-259.34
2023-10-27,-18.41,-1.67,-212.5
2023-10-30,-17.47,-1.81,-286.54
2023-10-31,-16.79,-1.85,-323.96
2023-11-01,-15.97,-1.87,-485.14
2023-11-02,-15.17,-1.8,-1825.71
2023-11-03,-14.42,-1.74,-6821.05
2023-11-06,-13.84,-1.7,-3568.42
2023-11-07,-13.42,-1.67,-2115.38
2023-11-08,-13.1,-1.66,-1875.34
2023-11-09,-13.08,-1.66,-133600.0
2023-11-10,-13.16,-1.56,-967.11
2023-11-13,-12.99,-1.51,-967.61
2023-11-14,-12.5,-1.37,-418.86
2023-11-15,-12.03,-1.15,-397.48
2023-11-16,-11.54,-0.88,-394.61
2023-11-17,-11.12,-0.54,-386.79
2023-11-20,-10.84,-0.16,-336.07
2023-11-21,-10.83,0.18,-343.58
2023-11-22,-10.6,0.6,-296.05
2023-11-24,-10.2,1.09,-283.37
2023-11-27,-9.8,1.59,-294.03
2023-11-28,-9.6,2.04,-306.68
2023-11-29,-9.72,2.45,-337.71
2023-11-30,-10.16,2.83,-327.15
2023-12-01,-10.35,3.15,-275.98
2023-12-04,-10.48,3.39,-290.61
2023-12-05,-10.54,3.63,-300.79
2023-12-06,-10.26,3.83,-308.26
2023-12-07,-9.82,4.07,-275.0
2023-12-08,-9.85,4.36,-273.66
2023-12-11,-9.61,4.59,-239.38
2023-12-12,-9.32,4.84,-232.73
2023-12-13,-8.81,5.07,-192.3
2023-12-14,-8.91,5.31,-220.95
2023-12-15,-9.01,5.52,-230.77
2023-12-18,-9.2,5.76,-209.51
2023-12-19,-9.26,5.99,-199.02
2023-12-20,-9.75,6.14,-229.96
2023-12-21,-9.59,6.32,-209.09
2023-12-22,-9.14,6.51,-196.85
2023-12-26,-8.79,6.72,-186.24
2023-12-27,-8.49,6.94,-182.97
2023-12-28,-7.92,7.15,-175.85
2023-12-29,-7.49,7.34,-178.8
2024-01-02,-7.18,7.47,-182.48
2024-01-03,-7.4,7.59,-217.4
2024-01-04,-7.78,7.7,-230.71
2024-01-05,-8.51,7.83,-243.48
2024-01-08,-9.32,8.0,-224.29
2024-01-09,-10.08,8.14,-222.16
2024-01-10,-10.53,8.3,-220.5
2024-01-11,-10.76,8.43,-215.45
2024-01-12,-10.79,8.5,-216.14
2024-01-16,-10.78,8.53,-222.76
2024-01-17,-10.92,8.55,-233.02
2024-01-18,-10.9,8.58,-219.63
2024-01-19,-10.94,8.64,-204.26
2024-01-22,-11.17,8.79,-212.51
2024-01-23,-11.22,8.91,-203.42
2024-01-24,-11.55,9.03,-217.97
2024-01-25,-11.67,9.15,-201.66
2024-01-26,-11.62,9.27,-192.61
2024-01-29,-11.33,9.42,-186.57
2024-01-30,-11.3,9.57,-191.99
2024-01-31,-11.13,9.69,-215.22
2024-02-01,-10.88,9.88,-190.23
2024-02-02,-11.02,10.14,-190.57
2024-02-05,-11.51,10.38,-207.04
2024-02-06,-11.85,10.55,-203.0
2024-02-07,-11.91,10.77,-194.19
2024-02-08,-12.17,10.97,-188.88
2024-02-09,-12.45,11.19,-192.45
2024-02-12,-12.29,11.41,-189.26
2024-02-13,-12.4,11.57,-208.96
2024-02-14,-12.49,11.81,-197.26
2024-02-15,-12.71,12.04,-192.61
2024-02-16,-12.81,12.18,-198.8
2024-02-20,-12.86,12.29,-197.33
2024-02-21,-12.48,12.39,-188.54
2024-02-22,-12.89,12.6,-199.0
2024-02-23,-13.39,12.77,-202.0
2024-02-26,-14.21,12.93,-217.86
2024-02-27,-15.18,13.07,-216.27
2024-02-28,-16.05,13.21,-207.37
2024-02-29,-16.31,13.44,-206.78
2024-03-01,-16.75,13.65,-210.82
2024-03-04,-16.91,13.82,-214.86
2024-03-05,-17.07,13.94,-223.82
2024-03-06,-17.47,14.08,-217.03
2024-03-07,-17.94,14.24,-213.3
2024-03-08,-18.02,14.36,-214.96
2024-03-11,-17.91,14.45,-212.79
2024-03-12,-17.79,14.6,-205.94
2024-03-13,-17.96,14.81,-213.64
2024-03-14,-17.94,14.96,-213.38
2024-03-15,-18.09,15.04,-220.35
2024-03-18,-17.97,15.18,-204.98
2024-03-19,-17.96,15.38,-205.13
2024-03-20,-17.51,15.6,-193.84
2024-03-21,-17.18,15.74,-194.23
2024-03-22,-16.67,15.85,-192.94
2024-03-25,-16.12,15.98,-183.09
2024-03-26,-15.32,16.07,-180.1
2024-03-27,-14.83,16.22,-178.77
2024-03-28,-14.22,16.34,-177.51
2024-04-01,-13.37,16.41,-169.02
2024-04-02,-13.08,16.45,-177.05
2024-04-03,-12.88,16.55,-175.12
2024-04-04,-12.79,16.56,-187.26
2024-04-05,-12.69,16.57,-180.09
2024-04-08,-12.93,16.61,-179.4
2024-04-09,-12.88,16.66,-175.17
2024-04-10,-13.08,16.61,-186.77
2024-04-11,-13.0,16.61,-179.72
2024-04-12,-13.31,16.54,-199.05
2024-04-15,-13.52,16.44,-204.53
2024-04-16,-13.84,16.3,-205.88
2024-04-17,-13.71,16.1,-201.59
2024-04-18,-13.53,15.85,-197.9
2024-04-19,-12.81,15.54,-196.59
2024-04-22,-12.07,15.29,-183.44
2024-04-23,-11.32,15.13,-175.02
2024-04-24,-10.5,14.97,-163.48
2024-04-25,-8.98,14.76,-133.79
2024-04-26,-7.72,14.6,-133.47
2024-04-29,-6.63,14.48,-132.99
2024-04-30,-5.54,14.3,-137.56
2024-05-01,-4.92,14.09,-145.55
2024-05-02,-5.05,13.99,-138.19
2024-05-03,-4.99,13.91,-130.31
2024-05-06,-5.04,13.88,-132.18
2024-05-07,-4.97,13.86,-128.37
2024-05-08,-4.81,13.89,-129.91
2024-05-09,-4.62,13.91,-124.85
2024-05-10,-4.53,14.01,-124.09
2024-05-13,-4.28,14.18,-122.91
2024-05-14,-4.12,14.39,-121.44
2024-05-15,-4.09,14.7,-124.67
2024-05-16,-4.02,15.01,-120.51
2024-05-17,-4.17,15.37,-125.53
2024-05-20,-4.39,15.7,-126.34
2024-05-21,-4.49,15.97,-121.99
2024-05-22,-4.24,16.23,-117.99
2024-05-23,-4.31,16.46,-123.21
2024-05-24,-4.07,16.69,-119.19
2024-05-28,-4.05,16.89,-125.93
2024-05-29,-4.21,17.15,-127.84
2024-05-30,-4.41,17.39,-125.39
2024-05-31,-4.27,17.64,-118.84
2024-06-03,-4.16,17.8,-116.98
2024-06-04,-3.55,17.92,-110.1
2024-06-05,-2.94,18.1,-109.95
2024-06-06,-2.6,18.27,-113.74
2024-06-07,-2.38,18.41,-112.15
2024-06-10,-2.5,18.56,-118.37
2024-06-11,-3.04,18.72,-122.71
2024-06-12,-3.68,18.9,-124.55
2024-06-13,-3.93,19.03,-118.42
2024-06-14,-4.25,19.17,-118.62
2024-06-17,-3.96,19.34,-109.72
2024-06-18,-3.58,19.53,-111.7
2024-06-20,-3.21,19.69,-114.88
2024-06-21,-3.01,19.85,-113.2
2024-06-24,-2.65,20.04,-110.22
2024-06-25,-2.8,20.2,-113.1
2024-06-26,-2.88,20.37,-113.61
2024-06-27,-2.94,20.59,-116.28
2024-06-28,-3.46,20.81,-125.48
2024-07-01,-4.39,20.98,-131.85
2024-07-02,-5.22,21.18,-131.69
2024-07-03,-6.05,21.4,-131.84
2024-07-05,-6.79,21.58,-131.74
2024-07-08,-7.35,21.76,-135.87
2024-07-09,-7.84,21.96,-139.74
2024-07-10,-8.29,22.18,-138.21
2024-07-11,-8.44,22.35,-133.94
2024-07-12,-8.46,22.5,-130.89
