Date,rate_MDT,rate_VOO
2023-02-17,-14.11,-7.17
2023-02-21,-13.42,-8.6
2023-02-22,-13.81,-8.69
2023-02-23,-14.92,-8.34
2023-02-24,-15.42,-9.1
2023-02-27,-15.52,-8.85
2023-02-28,-16.11,-9.16
2023-03-01,-16.46,-9.24
2023-03-02,-16.29,-8.66
2023-03-03,-15.16,-7.41
2023-03-06,-16.61,-7.32
2023-03-07,-18.8,-8.65
2023-03-08,-20.14,-8.52
2023-03-09,-20.54,-10.08
2023-03-10,-21.82,-11.27
2023-03-13,-20.56,-11.41
2023-03-14,-20.68,-10.0
2023-03-15,-20.13,-10.53
2023-03-16,-19.26,-9.06
2023-03-17,-20.25,-10.02
2023-03-20,-18.92,-9.23
2023-03-21,-17.28,-8.08
2023-03-22,-18.58,-9.56
2023-03-23,-20.98,-9.35
2023-03-24,-19.16,-9.13
2023-03-27,-18.89,-8.98
2023-03-28,-19.02,-9.14
2023-03-29,-19.47,-7.87
2023-03-30,-19.35,-7.33
2023-03-31,-17.89,-6.05
2023-04-03,-18.45,-5.56
2023-04-04,-18.65,-6.08
2023-04-05,-17.84,-6.3
2023-04-06,-17.81,-5.95
2023-04-10,-17.87,-5.85
2023-04-11,-17.1,-5.84
2023-04-12,-17.3,-6.21
2023-04-13,-16.51,-5.01
2023-04-14,-17.4,-5.2
2023-04-17,-15.97,-4.88
2023-04-18,-16.45,-4.82
2023-04-19,-13.18,-4.83
2023-04-20,-14.58,-5.36
2023-04-21,-12.3,-5.3
2023-04-24,-8.29,-5.18
2023-04-25,-8.29,-6.43
2023-04-26,-8.0,-6.78
2023-04-27,-6.56,-5.24
2023-04-28,-7.0,-4.56
2023-05-01,-7.12,-4.51
2023-05-02,-7.58,-5.49
2023-05-03,-7.11,-6.08
2023-05-04,-8.55,-6.71
2023-05-05,-7.75,-5.15
2023-05-08,-7.62,-5.11
2023-05-09,-8.13,-5.5
2023-05-10,-8.29,-5.1
2023-05-11,-8.63,-5.23
2023-05-12,-8.75,-5.35
2023-05-15,-8.38,-5.04
2023-05-16,-8.71,-5.65
2023-05-17,-8.97,-4.56
2023-05-18,-8.61,-3.65
2023-05-19,-8.36,-3.8
2023-05-22,-8.22,-3.74
2023-05-23,-10.11,-4.8
2023-05-24,-9.83,-5.51
2023-05-25,-12.98,-4.7
2023-05-26,-14.64,-3.48
2023-05-30,-13.81,-3.45
2023-05-31,-13.6,-3.96
2023-06-01,-13.32,-2.99
2023-06-02,-12.4,-1.6
2023-06-05,-12.43,-1.79
2023-06-06,-12.56,-1.59
2023-06-07,-13.28,-1.91
2023-06-08,-13.07,-1.33
2023-06-09,-12.43,-1.17
2023-06-12,-11.87,-0.27
2023-06-13,-10.36,0.38
2023-06-14,-8.14,0.45
2023-06-15,-7.8,1.72
2023-06-16,-6.87,1.35
2023-06-20,-7.09,0.89
2023-06-21,-7.72,0.35
2023-06-22,-8.66,0.71
2023-06-23,-8.59,-0.04
2023-06-26,-9.08,-0.45
2023-06-27,-8.92,0.64
2023-06-28,-9.74,0.69
2023-06-29,-9.32,0.68
2023-06-30,-7.94,1.85
2023-07-03,-8.75,2.0
2023-07-05,-9.03,1.78
2023-07-06,-9.85,0.97
2023-07-07,-10.04,0.74
2023-07-10,-9.46,1.01
2023-07-11,-8.59,1.65
2023-07-12,-8.3,2.44
2023-07-13,-7.8,3.26
2023-07-14,-8.22,3.18
2023-07-17,-9.19,3.53
2023-07-18,-9.31,4.31
2023-07-19,-9.81,4.53
2023-07-20,-6.45,3.86
2023-07-21,-6.85,3.87
2023-07-24,-7.06,4.3
2023-07-25,-6.85,4.56
2023-07-26,-5.35,4.58
2023-07-27,-7.32,3.99
2023-07-28,-7.59,4.84
2023-07-31,-8.1,5.01
2023-08-01,-8.02,4.66
2023-08-02,-10.29,3.53
2023-08-03,-11.29,3.31
2023-08-04,-11.75,2.92
2023-08-07,-11.05,3.63
2023-08-08,-12.98,3.32
2023-08-09,-12.44,2.85
2023-08-10,-12.3,2.89
2023-08-11,-12.04,2.83
2023-08-14,-12.27,3.23
2023-08-15,-12.5,2.44
2023-08-16,-13.41,1.94
2023-08-17,-13.42,1.39
2023-08-18,-13.45,1.45
2023-08-21,-13.38,1.9
2023-08-22,-11.89,1.71
2023-08-23,-11.92,2.43
2023-08-24,-13.77,1.53
2023-08-25,-12.97,1.97
2023-08-28,-13.54,2.41
2023-08-29,-13.05,3.38
2023-08-30,-12.89,3.66
2023-08-31,-13.46,3.58
2023-09-01,-12.76,3.65
2023-09-05,-14.1,3.35
2023-09-06,-13.65,2.76
2023-09-07,-14.41,2.49
2023-09-08,-14.38,2.62
2023-09-11,-12.91,3.26
2023-09-12,-13.35,2.72
2023-09-13,-12.99,2.84
2023-09-14,-12.33,3.7
2023-09-15,-12.52,2.45
2023-09-18,-11.45,2.56
2023-09-19,-11.63,2.36
2023-09-20,-12.84,1.42
2023-09-21,-13.92,-0.2
2023-09-22,-14.12,-0.44
2023-09-25,-14.44,-0.03
2023-09-26,-15.52,-1.48
2023-09-27,-16.29,-1.46
2023-09-28,-15.79,-1.26
2023-09-29,-16.14,-1.49
2023-10-02,-16.45,-1.47
2023-10-03,-17.75,-2.77
2023-10-04,-18.03,-2.07
2023-10-05,-18.16,-2.15
2023-10-06,-18.19,-1.01
2023-10-09,-19.23,-0.36
2023-10-10,-18.12,0.14
2023-10-11,-21.62,0.56
2023-10-12,-23.32,-0.03
2023-10-13,-22.6,-0.55
2023-10-16,-22.83,0.47
2023-10-17,-21.7,0.48
2023-10-18,-21.81,-0.85
2023-10-19,-22.19,-1.68
2023-10-20,-21.81,-2.89
2023-10-23,-22.14,-3.06
2023-10-24,-22.6,-2.34
2023-10-25,-23.2,-3.7
2023-10-26,-24.31,-4.87
2023-10-27,-25.31,-5.28
2023-10-30,-24.74,-4.16
2023-10-31,-24.1,-3.59
2023-11-01,-23.34,-2.49
2023-11-02,-22.04,-0.7
2023-11-03,-21.54,0.19
2023-11-06,-20.64,0.38
2023-11-07,-21.64,0.65
2023-11-08,-22.46,0.73
2023-11-09,-24.18,-0.01
2023-11-10,-23.55,1.52
2023-11-13,-22.06,1.42
2023-11-14,-21.52,3.34
2023-11-15,-19.98,3.57
2023-11-16,-19.06,3.71
2023-11-17,-19.19,3.86
2023-11-20,-18.76,4.63
2023-11-21,-15.04,4.36
2023-11-22,-15.31,4.81
2023-11-24,-14.67,4.87
2023-11-27,-14.63,4.69
2023-11-28,-15.03,4.79
2023-11-29,-14.78,4.72
2023-11-30,-14.34,5.12
2023-12-01,-13.32,5.62
2023-12-04,-13.56,5.11
2023-12-05,-14.56,5.08
2023-12-06,-14.33,4.72
2023-12-07,-13.78,5.4
2023-12-08,-14.0,5.77
2023-12-11,-13.6,6.12
2023-12-12,-13.27,6.6
2023-12-13,-11.61,7.92
2023-12-14,-10.21,8.21
2023-12-15,-10.96,8.06
2023-12-18,-10.55,8.62
2023-12-19,-11.39,9.16
2023-12-20,-12.65,7.51
2023-12-21,-11.49,8.36
2023-12-22,-11.52,8.57
2023-12-26,-11.2,8.94
2023-12-27,-11.09,9.1
2023-12-28,-10.83,9.11
2023-12-29,-11.13,8.87
2024-01-02,-10.54,8.16
2024-01-03,-10.19,7.53
2024-01-04,-9.45,7.23
2024-01-05,-8.78,7.36
2024-01-08,-6.66,8.85
2024-01-09,-6.56,8.62
2024-01-10,-6.11,9.22
2024-01-11,-6.1,9.19
2024-01-12,-5.75,9.23
2024-01-16,-6.69,8.92
2024-01-17,-7.21,8.42
2024-01-18,-6.96,9.22
2024-01-19,-6.74,10.34
2024-01-22,-6.76,10.55
2024-01-23,-6.88,10.83
2024-01-24,-8.36,10.91
2024-01-25,-7.38,11.43
2024-01-26,-6.7,11.37
2024-01-29,-5.88,12.06
2024-01-30,-6.35,11.99
2024-01-31,-5.78,10.45
2024-02-01,-5.14,11.46
2024-02-02,-5.59,12.41
2024-02-05,-6.45,12.07
2024-02-06,-5.43,12.35
2024-02-07,-6.03,13.07
2024-02-08,-7.03,13.13
2024-02-09,-8.26,13.64
2024-02-12,-8.17,13.6
2024-02-13,-9.73,12.17
2024-02-14,-9.64,13.12
2024-02-15,-8.54,13.8
2024-02-16,-8.86,13.28
2024-02-20,-7.35,12.73
2024-02-21,-7.3,12.83
2024-02-22,-8.19,14.94
2024-02-23,-7.54,14.99
2024-02-26,-9.65,14.61
2024-02-27,-9.47,14.81
2024-02-28,-9.98,14.65
2024-02-29,-9.98,15.05
2024-03-01,-9.55,15.81
2024-03-04,-8.03,15.68
2024-03-05,-8.51,14.57
2024-03-06,-7.51,15.15
2024-03-07,-7.93,16.24
2024-03-08,-7.95,15.57
2024-03-11,-7.56,15.48
2024-03-12,-7.3,16.5
2024-03-13,-8.01,16.35
2024-03-14,-8.75,16.14
2024-03-15,-9.62,15.48
2024-03-18,-9.53,16.07
2024-03-19,-9.04,16.58
2024-03-20,-9.12,17.38
2024-03-21,-9.8,17.69
2024-03-22,-10.15,17.27
2024-03-25,-9.98,17.03
2024-03-26,-9.48,16.78
2024-03-27,-6.02,17.57
2024-03-28,-5.77,17.56
2024-04-01,-5.81,17.14
2024-04-02,-7.75,16.47
2024-04-03,-7.97,16.56
2024-04-04,-9.12,15.31
2024-04-05,-8.44,16.37
2024-04-08,-10.2,16.41
2024-04-09,-9.25,16.55
2024-04-10,-10.83,15.5
2024-04-11,-11.0,16.27
2024-04-12,-13.19,14.8
2024-04-15,-13.08,13.46
2024-04-16,-14.14,13.26
2024-04-17,-14.32,12.6
2024-04-18,-14.2,12.36
2024-04-19,-13.89,11.45
2024-04-22,-12.72,12.38
2024-04-23,-11.94,13.77
2024-04-24,-12.92,13.69
2024-04-25,-14.14,13.23
2024-04-26,-13.61,14.34
2024-04-29,-12.4,14.73
2024-04-30,-13.07,12.94
2024-05-01,-12.16,12.36
2024-05-02,-12.13,13.38
2024-05-03,-11.31,14.75
2024-05-06,-11.24,15.88
2024-05-07,-11.09,16.04
2024-05-08,-11.46,16.05
2024-05-09,-10.17,16.7
2024-05-10,-10.08,16.85
2024-05-13,-9.35,16.85
2024-05-14,-8.51,17.4
2024-05-15,-8.06,18.81
2024-05-16,-7.07,18.58
2024-05-17,-6.77,18.76
2024-05-20,-8.29,18.87
2024-05-21,-7.57,19.19
2024-05-22,-6.94,18.84
2024-05-23,-11.67,17.97
2024-05-24,-10.68,18.76
2024-05-28,-11.0,18.86
2024-05-29,-11.55,18.03
2024-05-30,-12.51,17.25
2024-05-31,-11.68,18.26
2024-06-03,-10.69,18.08
2024-06-04,-9.45,18.22
2024-06-05,-10.48,19.6
2024-06-06,-10.45,19.58
2024-06-07,-8.59,19.43
2024-06-10,-9.59,19.81
2024-06-11,-10.88,20.08
2024-06-12,-10.57,21.06
2024-06-13,-11.19,21.28
2024-06-14,-11.86,21.38
2024-06-17,-13.04,22.32
2024-06-18,-13.25,22.64
2024-06-20,-12.8,22.31
2024-06-21,-11.21,22.04
2024-06-24,-11.86,21.72
2024-06-25,-12.54,22.14
2024-06-26,-12.93,22.26
2024-06-27,-13.71,22.42
2024-06-28,-14.38,21.66
2024-07-01,-15.84,21.54
2024-07-02,-15.57,22.15
2024-07-03,-15.79,22.58
2024-07-05,-15.32,23.16
2024-07-08,-16.14,23.25
2024-07-09,-16.1,23.35
2024-07-10,-15.91,24.29
2024-07-11,-14.81,23.45
2024-07-12,-14.94,24.05
