Date,rate_TMUS_5D,rate_VOO_20D,Max_Divergence
2022-03-31,13.58,-5.23,666.93
2022-04-01,14.63,-5.01,823.66
2022-04-04,15.6,-4.61,1326.21
2022-04-05,16.12,-4.25,758.02
2022-04-06,16.91,-4.04,625.21
2022-04-07,17.67,-3.79,692.9
2022-04-08,18.03,-3.5,640.54
2022-04-11,17.66,-3.25,422.27
2022-04-12,17.57,-3.12,418.37
2022-04-13,17.78,-3.03,567.61
2022-04-14,17.73,-3.06,437.62
2022-04-18,17.37,-3.14,402.99
2022-04-19,17.79,-3.15,564.95
2022-04-20,18.02,-3.21,553.67
2022-04-21,17.54,-3.28,425.66
2022-04-22,16.78,-3.53,282.44
2022-04-25,16.44,-3.79,296.74
2022-04-26,15.05,-4.2,211.56
2022-04-27,14.55,-4.66,258.38
2022-04-28,14.58,-4.98,333.64
2022-04-29,13.61,-5.4,187.63
2022-05-02,13.12,-5.78,220.32
2022-05-03,13.28,-6.19,223.6
2022-05-04,13.64,-6.41,346.21
2022-05-05,13.07,-6.74,245.71
2022-05-06,13.65,-7.12,215.84
2022-05-09,12.84,-7.62,159.27
2022-05-10,12.27,-8.04,168.61
2022-05-11,10.69,-8.5,163.92
2022-05-12,9.74,-9.02,168.1
2022-05-13,9.66,-9.39,194.56
2022-05-16,10.51,-9.77,193.76
2022-05-17,11.49,-10.14,224.09
2022-05-18,11.84,-10.68,174.98
2022-05-19,12.16,-11.17,175.9
2022-05-20,12.11,-11.54,176.92
2022-05-23,12.7,-11.86,210.53
2022-05-24,12.8,-12.08,201.68
2022-05-25,13.89,-12.27,221.34
2022-05-26,15.1,-12.49,247.9
2022-05-27,16.52,-12.44,292.84
2022-05-31,17.12,-12.45,276.61
2022-06-01,17.96,-12.5,274.93
2022-06-02,18.61,-12.61,318.21
2022-06-03,19.18,-12.62,295.05
2022-06-06,19.61,-12.6,304.29
2022-06-07,20.42,-12.4,336.06
2022-06-08,20.53,-12.26,285.73
2022-06-09,20.05,-12.15,239.86
2022-06-10,18.99,-12.17,201.74
2022-06-13,16.82,-12.44,155.68
2022-06-14,14.45,-12.7,156.39
2022-06-15,12.95,-13.0,168.39
2022-06-16,11.43,-13.26,149.37
2022-06-17,10.93,-13.47,164.63
2022-06-21,12.16,-13.6,191.76
2022-06-22,13.61,-13.81,198.21
2022-06-23,15.25,-13.94,217.25
2022-06-24,17.49,-13.99,244.32
2022-06-27,19.05,-14.14,238.14
2022-06-28,19.29,-14.48,204.75
2022-06-29,19.49,-14.81,209.93
2022-06-30,19.25,-15.16,206.78
2022-07-01,19.09,-15.52,223.96
2022-07-05,19.15,-15.8,229.0
2022-07-06,19.74,-16.08,228.33
2022-07-07,19.97,-16.34,234.81
2022-07-08,20.06,-16.56,230.75
2022-07-11,19.7,-16.72,217.39
2022-07-12,19.16,-16.79,210.43
2022-07-13,18.79,-16.72,210.49
2022-07-14,18.68,-16.66,212.83
2022-07-15,18.97,-16.57,233.7
2022-07-18,18.92,-16.39,212.33
2022-07-19,19.46,-16.1,249.32
2022-07-20,19.9,-15.89,254.78
2022-07-21,19.47,-15.62,235.54
2022-07-22,18.61,-15.43,223.05
2022-07-25,18.63,-15.37,237.54
2022-07-26,18.0,-15.34,223.79
2022-07-27,18.6,-15.11,296.93
2022-07-28,20.09,-14.82,322.57
2022-07-29,21.95,-14.42,363.89
2022-08-01,23.42,-14.1,363.27
2022-08-02,24.89,-13.8,346.11
2022-08-03,25.25,-13.46,380.26
2022-08-04,25.47,-13.19,378.76
2022-08-05,25.53,-12.92,378.41
2022-08-08,25.6,-12.6,376.73
2022-08-09,25.83,-12.26,371.73
2022-08-10,25.91,-11.84,412.0
2022-08-11,25.94,-11.41,408.76
2022-08-12,26.02,-11.0,462.67
2022-08-15,26.11,-10.54,477.94
2022-08-16,26.16,-10.19,483.84
2022-08-17,26.21,-9.88,459.73
2022-08-18,26.35,-9.61,471.31
2022-08-19,26.35,-9.34,431.03
2022-08-22,26.31,-9.14,383.12
2022-08-23,26.2,-8.9,375.27
2022-08-24,26.25,-8.76,388.04
2022-08-25,26.43,-8.62,427.73
2022-08-26,26.24,-8.66,344.62
2022-08-29,26.27,-8.71,343.74
2022-08-30,26.44,-8.77,333.27
2022-08-31,26.29,-8.91,317.27
2022-09-01,25.86,-9.02,320.26
2022-09-02,25.58,-9.16,300.92
2022-09-06,25.13,-9.3,297.45
2022-09-07,25.11,-9.36,343.58
2022-09-08,25.24,-9.46,354.82
2022-09-09,25.56,-9.5,392.44
2022-09-12,26.0,-9.55,419.2
2022-09-13,25.23,-9.8,267.94
2022-09-14,24.64,-10.04,301.88
2022-09-15,23.93,-10.31,281.08
2022-09-16,22.98,-10.62,265.59
2022-09-19,22.25,-10.85,278.74
2022-09-20,22.56,-11.07,259.52
2022-09-21,21.69,-11.36,227.79
2022-09-22,20.68,-11.69,212.93
2022-09-23,19.38,-12.13,190.49
2022-09-26,17.96,-12.5,186.5
2022-09-27,16.78,-12.87,187.16
2022-09-28,16.58,-13.15,207.86
2022-09-29,16.51,-13.48,193.93
2022-09-30,16.83,-13.91,186.14
2022-10-03,17.85,-14.17,219.05
2022-10-04,19.43,-14.31,259.23
2022-10-05,20.3,-14.52,250.37
2022-10-06,21.02,-14.79,232.45
2022-10-07,21.5,-15.24,207.26
2022-10-10,21.3,-15.77,204.53
2022-10-11,20.38,-16.14,199.12
2022-10-12,18.97,-16.53,179.43
2022-10-13,17.88,-16.77,189.47
2022-10-14,16.84,-17.07,174.15
2022-10-17,16.18,-17.3,194.22
2022-10-18,16.01,-17.44,211.93
2022-10-19,16.49,-17.53,206.03
2022-10-20,17.0,-17.62,203.41
2022-10-21,17.85,-17.54,218.68
2022-10-24,18.79,-17.38,243.68
2022-10-25,19.56,-17.14,266.92
2022-10-26,20.44,-16.99,260.65
2022-10-27,21.24,-16.77,254.36
2022-10-28,23.75,-16.4,350.73
2022-10-31,25.86,-16.18,343.22
2022-11-01,27.71,-16.09,341.62
2022-11-02,29.15,-16.09,295.3
2022-11-03,30.31,-16.1,275.02
2022-11-04,29.79,-15.93,292.64
2022-11-07,29.34,-15.69,308.84
2022-11-08,28.93,-15.4,316.58
2022-11-09,28.73,-15.19,286.39
2022-11-10,29.09,-14.86,375.58
2022-11-11,28.73,-14.39,367.54
2022-11-14,28.11,-14.06,345.04
2022-11-15,27.39,-13.74,359.14
2022-11-16,26.84,-13.43,341.86
2022-11-17,26.48,-13.09,357.44
2022-11-18,26.91,-12.84,375.02
2022-11-21,27.61,-12.64,374.91
2022-11-22,28.67,-12.46,422.72
2022-11-23,29.51,-12.22,428.71
2022-11-25,30.04,-11.96,436.92
2022-11-28,30.21,-11.86,382.86
2022-11-29,29.99,-11.75,368.48
2022-11-30,29.98,-11.5,489.21
2022-12-01,30.11,-11.13,493.94
2022-12-02,30.2,-10.73,493.79
2022-12-05,30.17,-10.46,412.79
2022-12-06,30.16,-10.29,366.32
2022-12-07,29.57,-10.16,357.58
2022-12-08,28.22,-9.91,333.69
2022-12-09,26.41,-9.91,302.77
2022-12-12,25.02,-9.89,336.0
2022-12-13,23.54,-9.8,335.83
2022-12-14,22.46,-9.78,338.32
2022-12-15,21.85,-9.83,278.17
2022-12-16,21.98,-9.92,278.13
2022-12-19,21.85,-10.07,263.76
2022-12-20,21.8,-10.22,252.48
2022-12-21,21.65,-10.36,275.68
2022-12-22,21.54,-10.59,248.1
2022-12-23,21.14,-10.79,256.56
2022-12-27,21.03,-10.94,258.88
2022-12-28,20.8,-11.14,235.71
2022-12-29,20.45,-11.39,253.82
2022-12-30,20.53,-11.67,255.0
2023-01-03,20.27,-11.94,245.27
2023-01-04,20.0,-12.1,258.25
2023-01-05,20.84,-12.25,275.68
2023-01-06,22.31,-12.29,333.99
2023-01-09,23.71,-12.37,334.24
2023-01-10,25.51,-12.39,353.31
2023-01-11,27.02,-12.41,374.5
2023-01-12,27.94,-12.45,393.54
2023-01-13,28.13,-12.45,402.02
2023-01-17,27.83,-12.34,373.79
2023-01-18,27.2,-12.26,329.42
2023-01-19,26.58,-12.16,311.55
2023-01-20,25.76,-11.98,345.05
2023-01-23,24.85,-11.8,367.11
2023-01-24,24.65,-11.57,377.88
2023-01-25,25.02,-11.36,400.22
2023-01-26,25.63,-11.09,442.18
2023-01-27,25.91,-10.75,432.05
2023-01-30,26.35,-10.54,392.5
2023-01-31,26.95,-10.26,466.97
2023-02-01,27.31,-9.92,542.48
2023-02-02,26.9,-9.55,585.71
2023-02-03,26.52,-9.18,486.96
2023-02-06,25.57,-8.93,417.09
2023-02-07,24.38,-8.62,486.76
2023-02-08,23.19,-8.39,447.34
2023-02-09,22.51,-8.25,404.55
2023-02-10,22.26,-8.12,422.95
2023-02-13,23.04,-7.96,508.25
2023-02-14,23.8,-7.79,518.68
2023-02-15,24.43,-7.54,537.08
2023-02-16,25.09,-7.31,463.32
2023-02-17,26.04,-7.16,484.52
2023-02-21,26.13,-7.15,398.37
2023-02-22,26.1,-7.13,397.58
2023-02-23,25.62,-7.1,383.69
2023-02-24,25.23,-7.15,357.03
2023-02-27,24.34,-7.2,361.58
2023-02-28,23.51,-7.21,334.72
2023-03-01,22.4,-7.29,319.48
2023-03-02,21.7,-7.4,332.79
2023-03-03,21.18,-7.51,380.57
2023-03-06,21.01,-7.56,404.64
2023-03-07,21.02,-7.66,349.48
2023-03-08,21.33,-7.8,356.34
2023-03-09,21.32,-7.97,299.31
2023-03-10,20.91,-8.17,266.46
2023-03-13,20.24,-8.39,266.08
2023-03-14,20.27,-8.58,317.1
2023-03-15,20.48,-8.8,317.47
2023-03-16,20.55,-8.95,325.72
2023-03-17,21.05,-9.1,311.98
2023-03-20,22.04,-9.21,358.94
2023-03-21,22.32,-9.18,386.01
2023-03-22,22.16,-9.22,330.96
2023-03-23,22.29,-9.28,325.67
2023-03-24,22.3,-9.28,333.41
2023-03-27,22.01,-9.28,350.11
2023-03-28,21.69,-9.28,335.45
2023-03-29,21.75,-9.21,384.37
2023-03-30,22.14,-9.15,414.05
2023-03-31,22.53,-9.08,484.3
2023-04-03,22.9,-8.99,537.59
2023-04-04,23.39,-8.86,494.08
2023-04-05,24.17,-8.75,517.62
2023-04-06,24.91,-8.54,549.08
2023-04-10,25.67,-8.27,562.05
2023-04-11,26.2,-8.0,562.33
2023-04-12,26.74,-7.81,528.82
2023-04-13,26.95,-7.53,645.91
2023-04-14,26.94,-7.34,613.46
2023-04-17,27.03,-7.08,662.5
2023-04-18,27.09,-6.86,666.6
2023-04-19,26.96,-6.7,638.51
2023-04-20,26.22,-6.49,540.67
2023-04-21,25.65,-6.28,550.19
2023-04-24,24.87,-6.09,554.83
2023-04-25,24.48,-5.96,494.4
2023-04-26,24.4,-5.84,477.58
2023-04-27,25.08,-5.71,615.27
2023-04-28,24.68,-5.57,580.26
2023-05-01,24.15,-5.49,562.75
2023-05-02,22.77,-5.49,436.79
2023-05-03,21.27,-5.49,397.86
2023-05-04,19.72,-5.51,386.74
2023-05-05,19.57,-5.47,510.87
2023-05-08,19.74,-5.43,524.27
2023-05-09,20.01,-5.42,461.45
2023-05-10,20.37,-5.36,489.8
2023-05-11,20.61,-5.37,490.82
2023-05-12,20.7,-5.38,504.3
2023-05-15,20.77,-5.39,537.3
2023-05-16,21.05,-5.43,476.46
2023-05-17,20.97,-5.42,527.41
2023-05-18,20.21,-5.33,555.62
2023-05-19,19.36,-5.26,556.58
2023-05-22,18.85,-5.18,621.66
2023-05-23,18.46,-5.1,502.29
2023-05-24,18.19,-5.04,429.58
2023-05-25,17.79,-5.01,410.64
2023-05-26,17.13,-4.96,504.89
2023-05-30,16.04,-4.9,507.54
2023-05-31,15.35,-4.83,500.25
2023-06-01,15.1,-4.67,664.88
2023-06-02,14.27,-4.42,755.0
2023-06-05,13.72,-4.25,733.52
2023-06-06,12.56,-4.07,618.87
2023-06-07,10.71,-3.9,444.5
2023-06-08,9.28,-3.71,832.33
2023-06-09,9.31,-3.5,1007.69
2023-06-12,9.06,-3.25,3851.85
2023-06-13,9.29,-2.98,2365.79
2023-06-14,9.54,-2.67,1642.22
2023-06-15,9.95,-2.36,585.47
2023-06-16,9.88,-2.11,659.26
2023-06-20,9.95,-1.88,1080.9
2023-06-21,10.42,-1.67,3248.57
2023-06-22,11.48,-1.4,1746.48
2023-06-23,11.48,-1.12,29650.0
2023-06-26,12.14,-0.91,3108.89
2023-06-27,12.97,-0.7,2189.06
2023-06-28,13.57,-0.5,2034.78
2023-06-29,13.99,-0.26,2136.76
2023-06-30,15.01,-0.02,815.68
2023-07-03,15.7,0.16,747.5
2023-07-05,16.19,0.34,862.92
2023-07-06,16.61,0.46,1632.99
2023-07-07,16.9,0.6,2150.0
2023-07-10,16.74,0.71,1497.03
2023-07-11,16.85,0.86,961.82
2023-07-12,17.07,0.99,647.95
2023-07-13,17.33,1.13,454.6
2023-07-14,17.44,1.27,442.14
2023-07-17,17.39,1.36,348.73
2023-07-18,17.13,1.51,276.33
2023-07-19,16.57,1.69,241.94
2023-07-20,16.48,1.87,355.96
2023-07-21,16.68,2.02,371.83
2023-07-24,17.25,2.24,333.95
2023-07-25,17.92,2.49,329.39
2023-07-26,18.5,2.69,302.18
2023-07-27,18.47,2.85,336.34
2023-07-28,18.46,3.06,276.86
2023-07-31,17.86,3.22,212.38
2023-08-01,16.93,3.35,220.17
2023-08-02,15.99,3.44,288.39
2023-08-03,15.18,3.56,303.93
2023-08-04,14.08,3.67,336.3
2023-08-07,13.83,3.8,297.25
2023-08-08,13.68,3.88,327.11
2023-08-09,13.96,3.9,429.12
2023-08-10,14.3,3.88,422.15
2023-08-11,14.85,3.87,446.64
2023-08-14,15.2,3.85,401.55
2023-08-15,15.5,3.76,542.21
2023-08-16,15.58,3.63,697.94
2023-08-17,15.45,3.5,936.69
2023-08-18,15.21,3.38,884.83
2023-08-21,14.76,3.26,633.68
2023-08-22,14.37,3.12,702.34
2023-08-23,14.15,3.01,491.77
2023-08-24,13.8,2.89,729.41
2023-08-25,13.49,2.75,544.67
2023-08-28,13.44,2.62,469.71
2023-08-29,13.62,2.55,331.95
2023-08-30,13.74,2.56,309.02
2023-08-31,14.07,2.57,300.28
2023-09-01,14.45,2.61,301.1
2023-09-05,14.59,2.6,329.85
2023-09-06,14.17,2.57,352.54
2023-09-07,14.15,2.55,498.39
2023-09-08,14.32,2.54,479.39
2023-09-11,14.85,2.56,430.37
2023-09-12,15.4,2.53,530.88
2023-09-13,16.57,2.55,544.37
2023-09-14,17.51,2.64,430.54
2023-09-15,18.21,2.69,661.22
2023-09-18,18.3,2.75,592.97
2023-09-19,18.69,2.77,709.75
2023-09-20,18.78,2.76,1222.54
2023-09-21,18.27,2.63,8630.0
2023-09-22,17.84,2.53,3856.82
2023-09-25,17.71,2.43,57033.33
2023-09-26,17.38,2.23,1279.05
2023-09-27,16.99,1.99,1252.05
2023-09-28,16.94,1.74,1434.92
2023-09-29,17.06,1.49,1248.32
2023-10-02,16.87,1.23,1197.96
2023-10-03,16.14,0.93,598.56
2023-10-04,15.81,0.69,831.88
2023-10-05,15.37,0.46,780.47
2023-10-06,15.14,0.27,1679.21
2023-10-09,15.28,0.09,4783.33
2023-10-10,16.27,-0.04,13285.71
2023-10-11,17.1,-0.15,3350.0
2023-10-12,17.71,-0.34,59066.67
2023-10-13,18.15,-0.49,3396.36
2023-10-16,18.66,-0.59,4031.91
2023-10-17,18.72,-0.68,3864.58
2023-10-18,18.15,-0.8,2038.82
2023-10-19,17.6,-0.87,989.29
2023-10-20,16.82,-0.99,592.73
2023-10-23,15.91,-1.15,585.62
2023-10-24,15.63,-1.19,852.99
2023-10-25,15.84,-1.3,574.59
2023-10-26,16.68,-1.48,492.4
2023-10-27,17.18,-1.67,417.05
2023-10-30,17.81,-1.81,533.65
2023-10-31,18.28,-1.85,655.43
2023-11-01,18.87,-1.87,924.5
2023-11-02,19.39,-1.8,3201.43
2023-11-03,20.55,-1.74,11752.63
2023-11-06,21.42,-1.7,5794.74
2023-11-07,21.88,-1.67,3318.46
2023-11-08,22.13,-1.66,2889.04
2023-11-09,22.2,-1.66,220400.0
2023-11-10,22.22,-1.56,1388.16
2023-11-13,22.2,-1.51,1469.72
2023-11-14,22.18,-1.37,563.17
2023-11-15,22.27,-1.15,524.09
2023-11-16,22.37,-0.88,506.2
2023-11-17,22.37,-0.54,486.53
2023-11-20,22.55,-0.16,400.86
2023-11-21,22.78,0.18,433.94
2023-11-22,23.02,0.6,388.77
2023-11-24,23.24,1.09,383.78
2023-11-27,23.39,1.59,399.36
2023-11-28,23.37,2.04,382.05
2023-11-29,23.52,2.45,408.9
2023-11-30,23.77,2.83,383.2
2023-12-01,24.19,3.15,357.12
2023-12-04,24.73,3.39,410.96
2023-12-05,25.52,3.63,432.48
2023-12-06,26.36,3.83,497.88
2023-12-07,27.19,4.07,435.19
2023-12-08,27.84,4.36,401.39
2023-12-11,28.79,4.59,403.92
2023-12-12,29.72,4.84,380.45
2023-12-13,30.32,5.07,294.19
2023-12-14,30.49,5.31,262.48
2023-12-15,30.58,5.52,264.27
2023-12-18,30.29,5.76,241.3
2023-12-19,29.79,5.99,218.67
2023-12-20,29.22,6.14,277.9
2023-12-21,28.99,6.32,242.34
2023-12-22,28.94,6.51,239.44
2023-12-26,29.01,6.72,233.0
2023-12-27,29.26,6.94,234.51
2023-12-28,29.79,7.15,240.83
2023-12-29,30.45,7.34,259.41
2024-01-02,31.08,7.47,295.1
2024-01-03,31.59,7.59,329.48
2024-01-04,32.0,7.7,349.1
2024-01-05,32.41,7.83,349.86
2024-01-08,32.66,8.0,274.35
2024-01-09,32.81,8.14,282.95
2024-01-10,32.96,8.3,258.57
2024-01-11,32.94,8.43,252.45
2024-01-12,32.84,8.5,253.3
2024-01-16,32.8,8.53,269.17
2024-01-17,32.93,8.55,299.52
2024-01-18,33.12,8.58,268.87
2024-01-19,33.47,8.64,230.46
2024-01-22,33.69,8.79,219.53
2024-01-23,33.76,8.91,207.11
2024-01-24,33.44,9.03,193.68
2024-01-25,33.12,9.15,183.73
2024-01-26,32.72,9.27,182.76
2024-01-29,32.54,9.42,171.97
2024-01-30,32.26,9.57,165.97
2024-01-31,32.17,9.69,202.3
2024-02-01,32.05,9.88,177.84
2024-02-02,31.9,10.14,152.86
2024-02-05,31.64,10.38,161.14
2024-02-06,31.42,10.55,149.31
2024-02-07,31.38,10.77,139.94
2024-02-08,31.16,10.97,134.12
2024-02-09,31.21,11.19,132.04
2024-02-12,31.18,11.41,130.44
2024-02-13,31.24,11.57,155.79
2024-02-14,31.19,11.81,136.89
2024-02-15,31.28,12.04,126.09
2024-02-16,31.01,12.18,128.24
2024-02-20,31.06,12.29,147.92
2024-02-21,31.45,12.39,157.99
2024-02-22,31.78,12.6,118.94
2024-02-23,32.2,12.77,122.28
2024-02-26,32.74,12.93,125.8
2024-02-27,33.13,13.07,126.54
2024-02-28,33.09,13.21,124.57
2024-02-29,33.05,13.44,116.01
2024-03-01,32.79,13.65,102.34
2024-03-04,32.58,13.82,103.89
2024-03-05,32.67,13.94,133.29
2024-03-06,33.13,14.08,132.28
2024-03-07,33.19,14.24,101.97
2024-03-08,33.29,14.36,108.61
2024-03-11,33.51,14.45,113.76
2024-03-12,33.16,14.6,95.33
2024-03-13,32.63,14.81,99.08
2024-03-14,32.38,14.96,95.6
2024-03-15,32.04,15.04,98.58
2024-03-18,31.46,15.18,87.99
2024-03-19,30.99,15.38,80.22
2024-03-20,30.52,15.6,73.88
2024-03-21,30.22,15.74,69.76
2024-03-22,30.02,15.85,72.44
2024-03-25,30.02,15.98,77.22
2024-03-26,30.08,16.07,79.8
2024-03-27,30.21,16.22,75.87
2024-03-28,30.58,16.34,81.49
2024-04-01,30.8,16.41,80.22
2024-04-02,30.85,16.45,84.7
2024-04-03,31.09,16.55,89.37
2024-04-04,30.92,16.56,96.21
2024-04-05,30.47,16.57,81.12
2024-04-08,30.19,16.61,79.65
2024-04-09,30.02,16.66,78.61
2024-04-10,29.56,16.61,87.48
2024-04-11,29.41,16.61,80.15
2024-04-12,29.24,16.54,94.59
2024-04-15,29.07,16.44,112.56
2024-04-16,28.87,16.3,115.61
2024-04-17,28.83,16.1,128.81
2024-04-18,28.85,15.85,138.19
2024-04-19,29.22,15.54,167.51
2024-04-22,29.63,15.29,147.58
2024-04-23,30.18,15.13,127.81
2024-04-24,30.84,14.97,134.55
2024-04-25,31.35,14.76,141.95
2024-04-26,31.62,14.6,122.73
2024-04-29,31.92,14.48,118.4
2024-04-30,32.07,14.3,148.07
2024-05-01,32.16,14.09,163.59
2024-05-02,32.19,13.99,140.21
2024-05-03,32.18,13.91,116.27
2024-05-06,31.77,13.88,89.8
2024-05-07,31.35,13.86,87.03
2024-05-08,30.94,13.89,90.03
2024-05-09,30.9,13.91,91.44
2024-05-10,30.84,14.01,87.48
2024-05-13,31.0,14.18,83.5
2024-05-14,31.03,14.39,73.39
2024-05-15,31.01,14.7,61.51
2024-05-16,30.83,15.01,67.38
2024-05-17,30.8,15.37,67.54
2024-05-20,30.89,15.7,66.14
2024-05-21,31.2,15.97,65.29
2024-05-22,31.65,16.23,73.2
2024-05-23,31.87,16.46,79.24
2024-05-24,32.19,16.69,76.07
2024-05-28,32.73,16.89,80.65
2024-05-29,33.45,17.15,95.95
2024-05-30,34.28,17.39,113.22
2024-05-31,35.88,17.64,119.99
2024-06-03,36.88,17.8,110.34
2024-06-04,38.43,17.92,129.69
2024-06-05,40.11,18.1,123.01
2024-06-06,41.42,18.27,121.25
2024-06-07,42.05,18.41,123.16
2024-06-10,43.26,18.56,122.36
2024-06-11,43.44,18.72,113.05
2024-06-12,42.75,18.9,91.03
2024-06-13,42.28,19.03,92.48
2024-06-14,41.89,19.17,93.87
2024-06-17,41.53,19.34,89.11
2024-06-18,41.44,19.53,87.06
2024-06-20,41.73,19.69,86.73
2024-06-21,41.9,19.85,89.79
2024-06-24,42.12,20.04,95.9
2024-06-25,42.15,20.2,91.33
2024-06-26,41.99,20.37,86.7
2024-06-27,42.11,20.59,88.36
2024-06-28,42.04,20.81,91.51
2024-07-01,42.03,20.98,97.45
2024-07-02,42.18,21.18,94.49
2024-07-03,42.3,21.4,86.71
2024-07-05,42.38,21.58,84.07
2024-07-08,42.6,21.76,83.18
2024-07-09,42.59,21.96,82.01
2024-07-10,42.68,22.18,79.21
2024-07-11,42.72,22.35,80.51
2024-07-12,42.76,22.5,78.13
